,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Illinois,8083,7925.1,7802.0,,7462.4,7226.0,8093.0,8003.0,7891.6,7224.3,,8087.1,7424.0,8641.0,7872.0,-157.9,-281.0,,-620.6,-857.0,10.0,-80.0,-191.4,-858.7,,4.1,-659.0,558.0,-211.0,False,,False,False,True,True,False,False,,True,False,False,False
Indiana,3218,3200.4,2949.0,,3001.9,2998.0,2948.3,2870.0,3260.5,3040.8,,2998.5,3205.6,3535.1,3257.9,-17.6,-269.0,,-216.1,-220.0,-269.7,-348.0,42.5,-177.2,,-219.5,-12.4,317.1,39.9,False,,False,False,False,False,False,False,,False,True,False,False
Iowa,1033,823.9,896.0,,1042.2,845.0,805.9,819.0,863.6,1069.2,,833.7,921.5,1106.3,843.7,-209.1,-137.0,,9.2,-188.0,-227.1,-214.0,-169.4,36.2,,-199.3,-111.5,73.3,-189.3,True,,True,True,False,False,True,True,,True,True,True,True
Kansas,426,386.9,374.0,,489.9,328.0,412.9,321.0,369.4,370.6,,335.9,351.5,803.0,367.5,-39.1,-52.0,,63.9,-98.0,-13.1,-105.0,-56.6,-55.4,,-90.1,-74.5,377.0,-58.5,False,,False,False,True,False,False,False,,False,False,False,False
Kentucky,872,770.1,705.0,,721.7,776.0,802.9,776.0,645.9,1534.7,,718.0,828.7,802.8,812.4,-101.9,-167.0,,-150.3,-96.0,-69.1,-96.0,-226.1,662.7,,-154.0,-43.3,-69.2,-59.6,False,,False,True,True,True,False,False,,False,True,True,True
Louisiana,4687,3898.3,3643.0,,4020.1,4265.0,3978.7,4898.0,3956.9,3521.5,,3739.1,4160.7,4862.7,4070.1,-788.7,-1044.0,,-666.9,-422.0,-708.3,211.0,-730.1,-1165.5,,-947.9,-526.3,175.7,-616.9,False,,True,True,True,True,True,False,,False,True,True,True
Maine,130,143.3,127.0,,124.4,127.0,120.0,127.0,123.1,199.4,,114.5,142.6,131.9,130.7,13.3,-3.0,,-5.6,-3.0,-10.0,-3.0,-6.9,69.4,,-15.5,12.6,1.9,0.7,True,,True,True,True,True,True,False,,False,True,True,True
Maryland,3685,3757.3,3613.0,,3486.9,3384.0,3568.6,3691.0,3618.7,4362.7,,3582.4,3653.2,4035.9,3734.0,72.3,-72.0,,-198.1,-301.0,-116.4,6.0,-66.3,677.7,,-102.6,-31.8,350.9,49.0,True,,False,False,False,True,True,False,,False,True,False,True
Massachusetts,8921,9026.4,8746.0,,8351.1,8379.0,9756.8,8878.0,8806.9,8502.5,,8755.7,8354.5,9417.9,8714.8,105.4,-175.0,,-569.9,-542.0,835.8,-43.0,-114.1,-418.5,,-165.3,-566.5,496.9,-206.2,False,,False,False,False,True,False,False,,False,False,False,False
Michigan,6655,6636.3,6590.0,,6447.3,6714.0,6628.1,6707.0,6647.8,7362.3,,6467.1,6661.5,7689.2,6725.9,-18.7,-65.0,,-207.7,59.0,-26.9,52.0,-7.2,707.3,,-187.9,6.5,1034.2,70.9,False,,False,False,False,False,True,False,,False,True,False,False
Minnesota,1807,1837.1,1714.0,,1816.5,1699.0,1798.2,1869.0,1726.0,2210.6,,1736.4,1710.6,1863.4,1945.9,30.1,-93.0,,9.5,-108.0,-8.8,62.0,-81.0,403.6,,-70.6,-96.4,56.4,138.9,False,,True,False,True,False,False,False,,False,False,False,False
Mississippi,2237,1604.7,1303.0,,1867.4,1956.0,1780.6,1889.0,1420.1,1976.2,,1659.5,1914.9,2699.9,1798.8,-632.3,-934.0,,-369.6,-281.0,-456.4,-348.0,-816.9,-260.8,,-577.5,-322.1,462.9,-438.2,False,,True,True,True,True,False,True,,True,True,True,True
Missouri,1451,1304.7,1197.0,,1504.1,1545.0,1442.1,1303.0,1343.1,2059.0,,1430.0,1673.3,1939.1,1356.3,-146.3,-254.0,,53.1,94.0,-8.9,-148.0,-107.9,608.0,,-21.0,222.3,488.1,-94.7,False,,True,True,True,False,True,False,,True,False,False,True
Montana,90,29.9,30.0,,61.8,37.0,21.9,35.0,52.6,33.4,,33.4,133.5,161.8,34.4,-60.1,-60.0,,-28.2,-53.0,-68.1,-55.0,-37.4,-56.6,,-56.6,43.5,71.8,-55.6,True,,True,True,False,True,True,True,,True,True,False,True
Nebraska,376,400.6,394.0,,362.8,312.0,426.8,383.0,360.1,526.8,,347.7,317.8,402.5,419.0,24.6,18.0,,-13.2,-64.0,50.8,7.0,-15.9,150.8,,-28.3,-58.2,26.5,43.0,True,,True,False,False,True,True,False,,False,False,False,False
Nevada,1197,767.1,663.0,,1249.7,1317.0,778.6,623.0,767.9,719.9,,703.2,1604.1,1543.8,864.4,-429.9,-534.0,,52.7,120.0,-418.4,-574.0,-429.1,-477.1,,-493.8,407.1,346.8,-332.6,False,,True,True,True,False,True,False,,False,True,True,True
New Hampshire,429,477.0,446.0,,449.4,445.0,514.6,386.0,429.5,695.1,,483.9,448.4,439.4,510.2,48.0,17.0,,20.4,16.0,85.6,-43.0,0.5,266.1,,54.9,19.4,10.4,81.2,True,,True,True,False,True,True,False,,False,True,True,False
New Jersey,15943,16829.3,18909.0,,13523.3,15683.0,16243.9,17526.0,16181.5,13620.4,,16131.5,15390.7,21143.2,15914.4,886.3,2966.0,,-2419.7,-260.0,300.9,1583.0,238.5,-2322.6,,188.5,-552.3,5200.2,-28.6,False,,False,True,True,False,True,False,,True,True,False,True
New Mexico,743,657.0,596.0,,734.0,684.0,705.8,568.0,667.3,740.2,,692.8,754.8,1029.8,686.6,-86.0,-147.0,,-9.0,-59.0,-37.2,-175.0,-75.7,-2.8,,-50.2,11.8,286.8,-56.4,False,,True,True,True,False,True,True,,True,True,False,True
New York,32871,34009.4,34232.0,,32522.3,32755.0,31838.5,34188.0,33249.2,27384.2,,32634.0,32349.0,34439.0,32965.0,1138.4,1361.0,,-348.7,-116.0,-1032.5,1317.0,378.2,-5486.8,,-237.0,-522.0,1568.0,94.0,False,,True,True,True,False,True,False,,True,True,False,True
North Carolina,2521,1909.9,1835.0,,2462.7,3725.0,1842.4,1954.0,1786.8,1725.5,,2206.6,2697.3,2457.9,2062.7,-611.1,-686.0,,-58.3,1204.0,-678.6,-567.0,-734.2,-795.5,,-314.4,176.3,-63.1,-458.3,False,,True,False,False,True,False,False,,True,True,True,True
North Dakota,135,86.9,101.0,,101.9,96.0,91.4,114.0,103.4,110.7,,84.4,97.2,121.1,102.7,-48.1,-34.0,,-33.1,-39.0,-43.6,-21.0,-31.6,-24.3,,-50.6,-37.8,-13.9,-32.3,True,,True,True,True,True,True,True,,False,True,True,True
Ohio,3975,3624.1,3319.0,,3826.9,5806.0,4160.4,3294.0,3547.4,4548.0,,3781.0,4342.6,5902.0,3764.6,-350.9,-656.0,,-148.1,1831.0,185.4,-681.0,-427.6,573.0,,-194.0,367.6,1927.0,-210.4,False,,True,False,True,False,False,False,,True,False,False,True
Oklahoma,725,487.1,488.0,,784.2,750.0,494.0,496.0,482.7,648.2,,481.7,858.0,700.5,544.4,-237.9,-237.0,,59.2,25.0,-231.0,-229.0,-242.3,-76.8,,-243.3,133.0,-24.5,-180.6,True,,True,True,True,True,False,True,,False,True,True,True
Oregon,417,304.1,273.0,,395.4,418.0,300.1,361.0,321.2,309.1,,281.8,528.8,443.5,352.1,-112.9,-144.0,,-21.6,1.0,-116.9,-56.0,-95.8,-107.9,,-135.2,111.8,26.5,-64.9,False,,True,True,False,True,True,True,,False,True,True,True
Pennsylvania,7555,7761.0,7297.0,,7546.9,7720.0,8164.4,7521.0,7469.6,7219.3,,7532.0,7646.9,9165.7,7843.5,206.0,-258.0,,-8.1,165.0,609.4,-34.0,-85.4,-335.7,,-23.0,91.9,1610.7,288.5,False,,True,True,False,True,True,False,,True,True,False,False
Rhode Island,1030,1186.3,1057.0,,1066.3,1057.0,1152.1,1225.0,1062.4,1020.6,,1084.6,1009.1,1065.2,1120.4,156.3,27.0,,36.3,27.0,122.1,195.0,32.4,-9.4,,54.6,-20.9,35.2,90.4,True,,True,True,True,False,True,True,,True,True,True,True
South Carolina,2493,1533.1,1207.0,,2134.7,1940.0,1857.3,1899.0,1308.1,1035.1,,1387.1,2151.1,2407.4,1725.5,-959.9,-1286.0,,-358.3,-553.0,-635.7,-594.0,-1184.9,-1457.9,,-1105.9,-341.9,-85.6,-767.5,False,,True,True,True,True,False,False,,False,True,True,True
South Dakota,160,138.1,136.0,,131.0,128.0,166.4,126.0,125.2,252.8,,109.2,116.8,158.2,161.0,-21.9,-24.0,,-29.0,-32.0,6.4,-34.0,-34.8,92.8,,-50.8,-43.2,-1.8,1.0,False,,False,False,True,False,False,False,,False,False,True,True
Tennessee,1563,1063.3,939.0,,1419.0,1647.0,1192.4,1489.0,968.1,1082.2,,970.9,1326.0,2140.0,1339.9,-499.7,-624.0,,-144.0,84.0,-370.6,-74.0,-594.9,-480.8,,-592.1,-237.0,577.0,-223.1,False,,True,True,True,True,False,True,,False,True,False,True
Texas,11578,4177.7,3761.0,,7945.7,7822.0,5822.3,6458.0,3150.5,3969.1,2952.0,4013.7,6721.8,8354.8,5127.1,-7028.3,-7445.0,,-3260.3,-3384.0,-5383.7,-4748.0,-8055.5,-7236.9,-8254.0,-7192.3,-4484.2,-2851.2,-6078.9,False,,True,True,True,True,False,False,False,False,True,True,True
Utah,385,300.6,327.0,,584.2,512.0,274.2,385.0,258.8,304.4,,307.7,382.6,303.1,350.6,-84.4,-58.0,,199.2,127.0,-110.8,0.0,-126.2,-80.6,,-77.3,-2.4,-81.9,-34.4,True,,False,False,False,True,False,True,,True,True,True,True
Vermont,58,56.0,62.0,,59.8,57.0,58.4,56.0,60.0,59.5,,57.8,56.1,58.2,62.4,-2.0,4.0,,1.8,-1.0,0.4,-2.0,2.0,1.5,,-0.2,-1.9,0.2,4.4,False,,True,True,True,False,False,True,,True,True,True,False
Virginia,2443,2682.7,2230.0,,2103.4,2046.0,2836.2,2358.0,2352.0,2305.7,,2130.8,2197.4,2172.6,2353.8,239.7,-213.0,,-339.6,-397.0,393.2,-85.0,-91.0,-137.3,,-312.2,-245.6,-270.4,-89.2,True,,False,False,False,True,True,True,,False,False,False,True
Washington,1857,1695.0,1556.0,,1730.4,1798.0,1673.7,1424.0,1623.4,1666.3,,1566.7,1899.9,2241.8,1695.9,-162.0,-301.0,,-126.6,-59.0,-183.3,-433.0,-233.6,-190.7,,-290.3,42.9,384.8,-161.1,False,,True,True,False,False,False,False,,False,True,False,True
West Virginia,177,100.9,112.0,,132.2,147.0,109.9,103.0,127.8,265.7,,116.1,158.9,176.1,109.7,-76.1,-65.0,,-44.8,-30.0,-67.1,-74.0,-49.2,88.7,,-60.9,-18.1,-0.9,-67.3,True,,True,True,True,True,True,False,,True,True,True,True
Wisconsin,1081,926.3,971.0,,1078.1,1035.0,1085.9,1064.0,993.6,1191.6,,1017.1,1230.5,1353.3,1099.7,-154.7,-110.0,,-2.9,-46.0,4.9,-17.0,-87.4,110.6,,-63.9,149.5,272.3,18.7,True,,True,True,True,True,True,True,,True,True,False,True
Wyoming,37,20.0,29.0,,53.4,36.0,18.4,23.0,29.6,36.6,,25.8,38.3,26.5,26.2,-17.0,-8.0,,16.4,-1.0,-18.6,-14.0,-7.4,-0.4,,-11.2,1.3,-10.5,-10.8,True,,True,True,False,True,True,True,,True,True,True,True
US,176350,154543.6,146426.0,198967.0,169685.7,178669.0,160156.8,169336.0,146696.3,151478.4,130633.0,149929.6,169640.5,222116.6,159726.3,-21434.4,-29552.0,22989.0,-6292.3,2691.0,-15821.2,-6642.0,-29281.7,-24499.6,-45345.0,-26048.4,-6337.5,46138.6,-16251.7,False,False,True,True,True,True,False,False,False,False,True,False,True
