,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Kansas,426,415.3,487.0,424.2,430.0,424.0,428.0,454.0,,428.0,440.7,441.1,,473.3,441.5,501.3,452.2,407.7,417.7,437.2,,439.4,415.9,437.0,,,425.1,,434.0,411.1,,409.0,400.9,446.6,420.0,427.4,,-10.7,61.0,-1.8,4.0,-2.0,2.0,28.0,,2.0,14.7,15.1,,47.3,15.5,75.3,26.2,-18.3,-8.3,11.2,,13.4,-10.1,11.0,,,-0.9,,8.0,-14.9,,-17.0,-25.1,20.6,-6.0,1.4,,False,True,True,True,True,False,,True,False,False,,False,False,False,False,False,True,False,,False,True,False,,,True,,True,False,,False,False,False,True,True,
Kentucky,872,830.6,895.0,843.5,842.0,836.0,847.0,862.0,,869.0,875.5,866.3,,937.7,894.3,957.0,882.6,822.3,826.8,843.2,846.0,894.8,844.3,837.0,,856.8,885.6,,852.0,825.6,,842.0,826.8,942.1,843.0,851.9,,-41.4,23.0,-28.5,-30.0,-36.0,-25.0,-10.0,,-3.0,3.5,-5.7,,65.7,22.3,85.0,10.6,-49.7,-45.2,-28.8,-26.0,22.8,-27.7,-35.0,,-15.2,13.6,,-20.0,-46.4,,-30.0,-45.2,70.1,-29.0,-20.1,,True,True,True,True,True,True,,True,True,True,,False,True,False,True,False,False,True,True,True,True,True,,True,True,,True,False,,True,False,False,True,True,
Louisiana,4687,4738.4,4754.0,4720.7,4731.0,4723.4,4693.0,4596.0,,4547.0,4824.4,4688.6,,4677.8,4804.0,4514.9,5032.7,4655.3,4699.8,4719.3,,4427.2,4694.1,4929.5,,4807.4,5295.6,,4701.0,4669.3,,4688.0,,5082.5,4560.0,4662.6,4509.0,51.4,67.0,33.7,44.0,36.4,6.0,-91.0,,-140.0,137.4,1.6,,-9.2,117.0,-172.1,345.7,-31.7,12.8,32.3,,-259.8,7.1,242.5,,120.4,608.6,,14.0,-17.7,,1.0,,395.5,-127.0,-24.4,-178.0,False,True,True,True,True,False,,False,False,True,,True,False,False,False,True,True,True,,False,True,False,,False,False,,True,True,,True,,False,False,True,False
Maine,130,128.7,138.0,129.0,128.0,129.0,129.0,125.0,,126.0,133.5,130.9,,128.5,129.6,136.5,130.9,128.1,125.2,128.3,,140.1,128.7,128.0,,,134.1,,134.0,127.6,,128.0,129.1,132.8,128.0,128.6,,-1.3,8.0,-1.0,-2.0,-1.0,-1.0,-5.0,,-4.0,3.5,0.9,,-1.5,-0.4,6.5,0.9,-1.9,-4.8,-1.7,,10.1,-1.3,-2.0,,,4.1,,4.0,-2.4,,-2.0,-0.9,2.8,-2.0,-1.4,,False,True,False,True,True,False,,False,False,True,,False,True,False,True,False,False,False,,False,False,False,,,False,,False,False,,False,True,False,False,False,
Maryland,3685,3715.0,3908.0,3719.3,3741.0,3718.8,3719.0,3754.0,,3756.0,3718.1,3715.7,,3729.9,3778.1,3735.1,3783.2,3672.2,3715.3,3657.7,,3655.4,3718.8,3673.0,,3764.6,3735.1,,3729.0,3704.2,,3721.0,3719.1,4009.6,3712.0,3758.2,3712.0,30.0,223.0,34.3,56.0,33.8,34.0,69.0,,71.0,33.1,30.7,,44.9,93.1,50.1,98.2,-12.8,30.3,-27.3,,-29.6,33.8,-12.0,,79.6,50.1,,44.0,19.2,,36.0,34.1,324.6,27.0,73.2,27.0,False,False,False,False,False,False,,False,False,False,,False,False,False,False,True,False,True,,True,False,True,,False,False,,False,True,,False,False,False,True,False,True
Massachusetts,8921,8915.1,9125.0,8910.2,8922.0,8917.9,8910.0,8952.0,,8748.0,8894.6,8951.8,,8873.1,8972.1,8885.1,8863.4,8907.1,8891.3,8911.0,,8734.9,8935.3,8782.0,,8945.6,9657.5,,8984.0,8875.3,,8916.0,8874.7,9074.3,8972.0,8936.0,8703.0,-5.9,204.0,-10.8,1.0,-3.1,-11.0,31.0,,-173.0,-26.4,30.8,,-47.9,51.1,-35.9,-57.6,-13.9,-29.7,-10.0,,-186.1,14.3,-139.0,,24.6,736.5,,63.0,-45.7,,-5.0,-46.3,153.3,51.0,15.0,-218.0,False,False,True,True,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,,True,False,False,False,False,False
Michigan,6655,6634.1,6835.0,6647.9,6661.0,6647.7,6640.0,6663.0,,6678.0,6612.7,6706.3,,6623.1,6646.2,6702.0,6618.3,6596.8,6640.6,6556.0,6898.0,6558.5,6643.4,6559.0,,6539.6,6912.9,,6637.0,6639.9,,6630.0,6607.1,7144.5,6641.0,6641.7,6538.0,-20.9,180.0,-7.1,6.0,-7.3,-15.0,8.0,,23.0,-42.3,51.3,,-31.9,-8.8,47.0,-36.7,-58.2,-14.4,-99.0,243.0,-96.5,-11.6,-96.0,,-115.4,257.9,,-18.0,-15.1,,-25.0,-47.9,489.5,-14.0,-13.3,-117.0,False,True,True,True,True,True,,False,False,False,,False,True,False,False,False,True,False,False,False,True,False,,False,False,,True,True,,False,False,False,True,True,False
Minnesota,1807,1779.7,1907.0,1776.6,1790.0,1775.1,1778.0,1839.0,,1755.0,1772.9,1793.0,,1745.9,1788.8,1817.7,1804.0,1766.0,1781.3,1810.8,1748.0,1697.1,1778.1,1707.0,,1783.7,1741.5,,1789.0,1777.5,,1788.0,1797.1,1947.5,1780.0,1798.5,,-27.3,100.0,-30.4,-17.0,-31.9,-29.0,32.0,,-52.0,-34.1,-14.0,,-61.1,-18.2,10.7,-3.0,-41.0,-25.7,3.8,-59.0,-109.9,-28.9,-100.0,,-23.3,-65.5,,-18.0,-29.5,,-19.0,-9.9,140.5,-27.0,-8.5,,False,False,True,False,False,False,,False,False,True,,False,True,True,True,False,True,True,False,False,False,False,,True,False,,True,False,,True,True,False,True,True,
Mississippi,2237,2254.4,2364.0,2228.4,2270.0,2236.1,2206.0,2119.0,,2204.0,2452.9,2207.9,,2300.9,2352.4,2205.3,2192.4,2129.0,2196.6,2172.7,,2205.2,2198.4,2387.0,,2376.1,2196.7,,2243.0,2162.9,,2206.0,2226.9,2349.9,2242.0,2251.6,2071.0,17.4,127.0,-8.6,33.0,-0.9,-31.0,-118.0,,-33.0,215.9,-29.1,,63.9,115.4,-31.7,-44.6,-108.0,-40.4,-64.3,,-31.8,-38.6,150.0,,139.1,-40.3,,6.0,-74.1,,-31.0,-10.1,112.9,5.0,14.6,-166.0,False,True,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,,False,False,,True,False,,False,True,False,True,True,False
Missouri,1451,1441.7,1543.0,1423.8,1488.0,1428.9,1463.0,1479.0,,1528.0,1495.6,1467.8,,1628.9,1592.2,1537.8,1503.1,1409.1,1461.6,1441.5,,1452.0,1457.3,1442.0,,1384.2,1469.3,,1380.0,1436.9,,1436.0,1435.5,1691.4,1470.0,1466.4,1398.0,-9.3,92.0,-27.2,37.0,-22.1,12.0,28.0,,77.0,44.6,16.8,,177.9,141.2,86.8,52.1,-41.9,10.6,-9.5,,1.0,6.3,-9.0,,-66.8,18.3,,-71.0,-14.1,,-15.0,-15.5,240.4,19.0,15.4,-53.0,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,True,True,True,,False,False,,False,False,,False,False,False,False,False,False
Montana,90,101.0,111.0,102.4,95.0,103.0,103.0,83.0,,92.0,131.6,102.9,,96.5,108.9,126.9,118.0,95.0,90.8,121.3,,117.5,103.8,110.0,,,101.2,,101.0,95.3,,100.0,110.9,98.2,107.0,101.4,,11.0,21.0,12.4,5.0,13.0,13.0,-7.0,,2.0,41.6,12.9,,6.5,18.9,36.9,28.0,5.0,0.8,31.3,,27.5,13.8,20.0,,,11.2,,11.0,5.3,,10.0,20.9,8.2,17.0,11.4,,False,False,True,False,False,True,,True,False,False,,True,False,False,False,True,True,False,,False,False,False,,,False,,False,True,,True,False,True,False,False,
Nebraska,376,369.1,444.0,367.4,378.0,371.0,373.0,381.0,,365.0,389.1,,,378.0,383.2,411.8,377.3,361.1,367.1,370.3,,388.5,373.8,357.0,,,380.9,,377.0,365.5,,371.0,376.6,390.1,375.0,376.4,,-6.9,68.0,-8.6,2.0,-5.0,-3.0,5.0,,-11.0,13.1,,,2.0,7.2,35.8,1.3,-14.9,-8.9,-5.7,,12.5,-2.2,-19.0,,,4.9,,1.0,-10.5,,-5.0,0.6,14.1,-1.0,0.4,,False,False,True,True,True,True,,False,False,,,True,False,False,True,False,False,True,,False,True,False,,,True,,True,False,,True,True,False,True,True,
Nevada,1197,1189.1,1197.0,1184.9,1123.0,1183.0,1158.0,1107.0,,1079.0,1310.8,1140.8,,1133.3,1184.5,1185.6,1221.5,1107.1,1149.9,1194.6,,1155.6,1238.2,1310.0,,1259.0,1197.8,,1146.0,1158.7,,1130.0,1118.9,1181.0,1161.0,1170.1,1081.0,-7.9,0.0,-12.1,-74.0,-14.0,-39.0,-90.0,,-118.0,113.8,-56.2,,-63.7,-12.5,-11.4,24.5,-89.9,-47.1,-2.4,,-41.4,41.2,113.0,,62.0,0.8,,-51.0,-38.3,,-67.0,-78.1,-16.0,-36.0,-26.9,-116.0,True,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,True,,False,False,False,,False,True,,False,False,,False,False,False,False,False,False
New Hampshire,429,422.7,441.0,427.6,428.0,426.3,428.0,422.0,,426.0,434.4,442.0,,438.5,437.2,434.8,427.2,434.7,420.0,449.9,,428.6,425.3,421.0,,,424.4,,430.0,427.2,,428.0,446.3,440.5,426.0,437.5,,-6.3,12.0,-1.4,-1.0,-2.7,-1.0,-7.0,,-3.0,5.4,13.0,,9.5,8.2,5.8,-1.8,5.7,-9.0,20.9,,-0.4,-3.7,-8.0,,,-4.6,,1.0,-1.8,,-1.0,17.3,11.5,-3.0,8.5,,False,True,True,True,True,False,,True,True,False,,False,False,True,True,True,False,False,,True,True,False,,,True,,True,True,,True,False,False,True,False,
New Jersey,15943,15944.6,16459.0,15924.6,16007.0,15993.1,15990.0,16074.0,,15905.0,16002.8,16228.6,,16049.2,15994.9,15989.4,15994.4,16080.8,15929.9,15975.0,,16029.5,15940.3,15911.0,,16012.9,15982.5,,16055.0,15953.7,,15954.0,16461.8,16214.5,16017.0,15972.0,16050.0,1.6,516.0,-18.4,64.0,50.1,47.0,131.0,,-38.0,59.8,285.6,,106.2,51.9,46.4,51.4,137.8,-13.1,32.0,,86.5,-2.7,-32.0,,69.9,39.5,,112.0,10.7,,11.0,518.8,271.5,74.0,29.0,107.0,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,,False,False,False,False,False,False
