,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Georgia,5092,4004.6,,5158.4,5004.0,3849.8,3738.0,4718.5,3711.3,3671.2,,3397.4,4355.5,,,4511.0,7131.6,4742.8,4314.3,-1087.4,,66.4,-88.0,-1242.2,-1354.0,-373.5,-1380.7,-1420.8,,-1694.6,-736.5,,,-581.0,2039.6,-349.2,-777.7,,True,True,False,False,True,False,False,,False,True,,,True,False,True,True
Hawaii,47,48.3,,35.4,28.0,20.6,,93.2,28.9,21.4,,76.8,,,,37.0,39.4,44.9,30.8,1.3,,-11.6,-19.0,-26.4,,46.2,-18.1,-25.6,,29.8,,,,-10.0,-7.6,-2.1,-16.2,,False,False,False,,False,False,False,,False,,,,False,False,False,False
Idaho,306,201.6,,426.2,241.0,181.6,194.0,412.5,198.5,181.7,,215.2,384.0,,,175.4,617.9,265.0,279.0,-104.4,,120.2,-65.0,-124.4,-112.0,106.5,-107.5,-124.3,,-90.8,78.0,,,-130.6,311.9,-41.0,-27.0,,False,True,False,False,False,False,False,,True,True,,,False,False,True,True
Illinois,8083,7973.7,,7823.8,7554.0,7843.6,7969.0,8913.6,7931.9,8271.9,9260.0,7695.4,7946.0,,,8066.2,8383.0,9590.6,7946.9,-109.3,,-259.2,-529.0,-239.4,-114.0,830.6,-151.1,188.9,1177.0,-387.6,-137.0,,,-16.8,300.0,1507.6,-136.1,,False,False,False,False,False,False,False,False,False,False,,,True,False,False,False
Indiana,3218,3123.1,,3103.0,3023.0,3030.3,2899.0,3406.7,3174.7,3351.9,3301.5,2992.3,2958.0,,,3120.1,4182.0,3904.5,3217.0,-94.9,,-115.0,-195.0,-187.7,-319.0,188.7,-43.3,133.9,83.5,-225.7,-260.0,,,-97.9,964.0,686.5,-1.0,,False,False,False,False,False,True,False,True,False,False,,,False,False,False,True
Iowa,1033,992.1,,1063.4,901.0,937.0,847.0,1209.4,875.8,912.8,,872.3,819.0,,,925.7,1315.6,928.4,953.9,-40.9,,30.4,-132.0,-96.0,-186.0,176.4,-157.2,-120.2,,-160.7,-214.0,,,-107.3,282.6,-104.6,-79.1,,True,False,False,False,False,False,False,,False,False,,,False,False,False,False
Kansas,426,367.3,,559.2,344.0,352.9,379.0,660.6,360.4,400.6,,357.1,330.0,,,362.4,626.2,371.2,405.1,-58.7,,133.2,-82.0,-73.1,-47.0,234.6,-65.6,-25.4,,-68.9,-96.0,,,-63.6,200.2,-54.8,-20.9,,False,False,False,True,False,False,True,,False,False,,,False,False,True,True
Kentucky,872,888.6,,833.4,893.0,885.1,735.0,1251.4,1013.4,1296.8,996.0,795.7,759.0,,,875.5,1777.9,1423.2,997.9,16.6,,-38.6,21.0,13.1,-137.0,379.4,141.4,424.8,124.0,-76.3,-113.0,,,3.5,905.9,551.2,125.9,,False,False,True,False,False,False,False,False,False,False,,,True,False,False,False
Louisiana,4687,4159.9,,4402.3,4543.0,4230.7,4148.0,4452.1,4148.9,3772.6,,3830.3,3605.0,,,4302.0,4450.9,3666.6,4593.7,-527.1,,-284.7,-144.0,-456.3,-539.0,-234.9,-538.1,-914.4,,-856.7,-1082.0,,,-385.0,-236.1,-1020.4,-93.3,,True,True,True,False,True,False,False,,False,False,,,True,True,False,True
Maine,130,131.6,,122.1,124.0,133.3,129.0,162.3,122.7,134.9,,125.0,123.0,,,125.8,141.6,130.6,133.6,1.6,,-7.9,-6.0,3.3,-1.0,32.3,-7.3,4.9,,-5.0,-7.0,,,-4.2,11.6,0.6,3.6,,False,False,False,True,False,False,False,,False,False,,,False,False,True,False
Maryland,3685,3658.7,,3571.2,3480.0,3774.7,3651.0,3923.2,3737.3,3599.9,,3607.9,3545.0,,,3646.0,4498.4,4249.1,3771.0,-26.3,,-113.8,-205.0,89.7,-34.0,238.2,52.3,-85.1,,-77.1,-140.0,,,-39.0,813.4,564.1,86.0,,False,False,False,False,False,False,False,,False,False,,,False,False,False,False
Massachusetts,8921,8945.9,,8456.2,8524.0,9164.0,8636.0,8796.1,9081.0,8354.6,,8713.2,8639.0,,,8811.5,9032.0,9220.6,8867.3,24.9,,-464.8,-397.0,243.0,-285.0,-124.9,160.0,-566.4,,-207.8,-282.0,,,-109.5,111.0,299.6,-53.7,,False,False,False,False,False,False,False,,False,False,,,False,False,False,False
Michigan,6655,6618.6,,6629.8,6670.0,6948.5,6745.0,7474.9,6695.2,7321.4,6864.0,6818.5,6434.0,,,6603.1,7472.2,7215.7,6787.0,-36.4,,-25.2,15.0,293.5,90.0,819.9,40.2,666.4,209.0,163.5,-221.0,,,-51.9,817.2,560.7,132.0,,True,True,False,False,False,False,False,False,False,False,,,False,False,False,False
Minnesota,1807,1780.1,,1864.8,1702.0,1678.6,1845.0,2077.6,1749.1,1832.6,1896.0,1642.7,1679.0,,,1756.0,1836.0,1724.3,1865.1,-26.9,,57.8,-105.0,-128.4,38.0,270.6,-57.9,25.6,89.0,-164.3,-128.0,,,-51.0,29.0,-82.7,58.1,,False,False,False,False,False,False,True,False,False,False,,,False,False,False,False
Mississippi,2237,1869.9,,2001.0,1829.0,2112.7,1718.0,2013.6,1759.6,2112.1,,1893.9,1638.0,,,1799.8,1873.8,2170.0,1931.7,-367.1,,-236.0,-408.0,-124.3,-519.0,-223.4,-477.4,-124.9,,-343.1,-599.0,,,-437.2,-363.2,-67.0,-305.3,,True,False,True,False,True,False,True,,True,False,,,False,True,True,True
Missouri,1451,1349.7,,1495.7,1547.0,1403.3,1239.0,1791.9,1365.8,1529.6,,1313.5,1228.0,,,1497.0,1601.8,1687.4,1437.9,-101.3,,44.7,96.0,-47.7,-212.0,340.9,-85.2,78.6,,-137.5,-223.0,,,46.0,150.8,236.4,-13.1,,True,True,True,False,False,True,True,,False,False,,,True,False,False,True
Montana,90,75.9,,90.6,71.0,60.6,62.0,131.5,74.5,91.0,,174.3,60.5,,,66.7,118.5,144.9,78.5,-14.1,,0.6,-19.0,-29.4,-28.0,41.5,-15.5,1.0,,84.3,-29.5,,,-23.3,28.5,54.9,-11.5,,True,False,False,False,False,False,True,,False,False,,,False,False,False,True
Nebraska,376,378.7,,381.6,312.0,293.9,338.0,536.0,335.2,355.4,,400.9,366.0,,,355.5,528.6,380.9,375.8,2.7,,5.6,-64.0,-82.1,-38.0,160.0,-40.8,-20.6,,24.9,-10.0,,,-20.5,152.6,4.9,-0.2,,False,False,False,False,False,False,False,,False,False,,,False,False,False,True
Nevada,1197,909.3,,1198.1,1125.0,1326.5,973.0,1218.7,951.3,795.9,,1373.2,1367.0,,,872.2,2172.7,1099.7,1074.4,-287.7,,1.1,-72.0,129.5,-224.0,21.7,-245.7,-401.1,,176.2,170.0,,,-324.8,975.7,-97.3,-122.6,,True,True,True,True,True,True,False,,True,True,,,False,False,True,True
New Hampshire,429,432.0,,442.9,427.0,430.9,400.0,458.5,444.0,450.9,,425.8,448.0,,,442.2,446.3,415.9,427.7,3.0,,13.9,-2.0,1.9,-29.0,29.5,15.0,21.9,,-3.2,19.0,,,13.2,17.3,-13.1,-1.3,,False,True,True,False,False,False,False,,False,False,,,False,False,False,True
New Jersey,15943,16585.1,,16117.3,16075.0,17064.5,16157.0,16312.9,16116.5,15922.4,,16329.7,16137.0,,,16164.6,15928.0,16304.3,16230.3,642.1,,174.3,132.0,1121.5,214.0,369.9,173.5,-20.6,,386.7,194.0,,,221.6,-15.0,361.3,287.3,,True,True,False,True,True,True,True,,True,True,,,True,True,True,True
New Mexico,743,697.3,,722.1,701.0,812.6,700.0,904.7,676.9,756.3,,645.4,641.0,,,698.7,689.7,734.1,763.3,-45.7,,-20.9,-42.0,69.6,-43.0,161.7,-66.1,13.3,,-97.6,-102.0,,,-44.3,-53.3,-8.9,20.3,,True,True,False,True,False,False,True,,False,False,,,True,False,True,True
New York,32871,33199.3,,32640.4,32629.0,33760.5,33253.0,33692.5,33049.7,28237.7,,32526.6,32814.5,,,32938.7,33430.4,33161.7,33000.2,328.3,,-230.6,-242.0,889.5,382.0,821.5,178.7,-4633.3,,-344.4,-56.5,,,67.7,559.4,290.7,129.2,,True,True,False,False,False,True,False,,False,True,,,True,False,True,True
North Carolina,2521,2283.4,,2490.1,3412.0,1961.2,2022.0,3363.5,2025.3,2037.3,,2041.2,1891.0,,,2277.9,4872.4,2683.3,2284.1,-237.6,,-30.9,891.0,-559.8,-499.0,842.5,-495.7,-483.7,,-479.8,-630.0,,,-243.1,2351.4,162.3,-236.9,,True,False,False,False,False,False,False,,False,False,,,False,False,True,True
North Dakota,135,116.3,,127.5,99.0,148.8,97.0,181.0,117.6,124.2,,121.5,99.0,,,114.8,173.4,170.0,117.2,-18.7,,-7.5,-36.0,13.8,-38.0,46.0,-17.4,-10.8,,-13.5,-36.0,,,-20.2,38.4,35.0,-17.8,,True,False,True,False,False,True,True,,True,False,,,False,False,False,True
Ohio,3975,3737.4,,3996.1,4062.0,3775.3,3424.0,4428.4,3558.9,4157.1,3585.0,3394.8,3397.0,,,3793.0,3930.6,4288.6,4106.4,-237.6,,21.1,87.0,-199.7,-551.0,453.4,-416.1,182.1,-390.0,-580.2,-578.0,,,-182.0,-44.4,313.6,131.4,,True,True,True,False,False,False,True,False,False,False,,,True,True,False,True
Oklahoma,725,591.9,,779.6,721.0,610.0,636.0,1056.7,516.9,575.9,,558.9,541.0,,,554.9,1098.1,757.9,611.7,-133.1,,54.6,-4.0,-115.0,-89.0,331.7,-208.1,-149.1,,-166.1,-184.0,,,-170.1,373.1,32.9,-113.3,,True,True,True,True,False,False,False,,False,False,,,False,False,True,True
Oregon,417,386.3,,400.1,404.0,363.0,328.0,722.5,357.0,484.3,,551.3,465.5,,,346.0,723.5,429.8,417.5,-30.7,,-16.9,-13.0,-54.0,-89.0,305.5,-60.0,67.3,,134.3,48.5,,,-71.0,306.5,12.8,0.5,,True,True,False,False,False,False,False,,False,False,,,False,False,True,True
Pennsylvania,7555,7595.1,,7555.9,7494.0,7658.1,7333.0,7959.2,7453.2,7886.7,,7431.6,7341.0,,,7542.4,7963.4,7609.8,7714.5,40.1,,0.9,-61.0,103.1,-222.0,404.2,-101.8,331.7,,-123.4,-214.0,,,-12.6,408.4,54.8,159.5,,True,False,False,False,False,False,False,,False,False,,,True,False,False,False
Rhode Island,1030,1058.0,,1077.6,1032.0,1019.7,1131.0,985.3,1079.1,1026.8,,1040.1,1025.0,,,1050.0,1080.3,1034.2,1052.1,28.0,,47.6,2.0,-10.3,101.0,-44.7,49.1,-3.2,,10.1,-5.0,,,20.0,50.3,4.2,22.1,,False,True,True,False,False,False,True,,True,True,,,True,False,True,True
South Carolina,2493,2097.3,,2001.2,1935.0,2142.2,1581.0,2423.3,2044.5,1282.2,,2377.4,3296.0,,,1894.5,3338.7,2101.7,2025.5,-395.7,,-491.8,-558.0,-350.8,-912.0,-69.7,-448.5,-1210.8,,-115.6,803.0,,,-598.5,845.7,-391.3,-467.5,,False,False,True,False,True,False,False,,True,False,,,False,False,True,False
South Dakota,160,161.7,,129.6,137.0,160.1,162.0,193.0,149.8,153.0,,171.9,148.0,,,162.7,224.1,180.3,153.4,1.7,,-30.4,-23.0,0.1,2.0,33.0,-10.2,-7.0,,11.9,-12.0,,,2.7,64.1,20.3,-6.6,,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
Tennessee,1563,1338.4,,1768.3,1619.0,1387.7,1235.0,2027.3,1202.0,1594.1,,1279.4,1136.0,,,1267.7,2001.9,1681.1,1408.8,-224.6,,205.3,56.0,-175.3,-328.0,464.3,-361.0,31.1,,-283.6,-427.0,,,-295.3,438.9,118.1,-154.2,,True,True,True,False,False,False,True,,False,False,,,False,False,True,True
Texas,11581,7878.3,,8651.2,8218.0,10536.9,8991.0,9325.4,6574.9,4660.1,,8665.5,14146.0,,11897.0,7188.7,14095.7,10325.9,8176.1,-3035.7,,-2262.8,-2696.0,-377.1,-1923.0,-1588.6,-4339.1,-6253.9,,-2248.5,3232.0,,983.0,-3725.3,3181.7,-588.1,-2737.9,,True,True,True,True,True,False,False,,True,False,,True,False,False,True,True
Utah,385,379.0,,540.1,455.0,514.0,338.0,604.4,362.4,295.7,,484.8,319.0,,,373.4,616.4,397.3,420.2,-6.0,,155.1,70.0,129.0,-47.0,219.4,-22.6,-89.3,,99.8,-66.0,,,-11.6,231.4,12.3,35.2,,False,False,False,False,False,False,False,,False,False,,,False,False,False,False
Vermont,58,56.0,,60.2,56.0,56.4,56.0,69.3,58.7,59.2,,61.5,56.0,,,56.3,64.7,56.0,60.1,-2.0,,2.2,-2.0,-1.6,-2.0,11.3,0.7,1.2,,3.5,-2.0,,,-1.7,6.7,-2.0,2.1,,False,False,True,False,False,True,True,,False,False,,,True,False,True,False
Virginia,2443,2323.3,,2317.3,2247.0,2720.9,2182.0,3032.8,2409.3,2546.2,,2350.2,2243.0,,,2291.0,2902.5,2332.9,2408.0,-119.7,,-125.7,-196.0,277.9,-261.0,589.8,-33.7,103.2,,-92.8,-200.0,,,-152.0,459.5,-110.1,-35.0,,False,False,False,False,False,True,True,,True,False,,,False,False,True,True
Washington,1857,1490.7,,1803.7,1799.0,1835.4,1636.0,2102.4,1644.3,2054.7,,1695.8,1649.0,,,1549.4,1917.3,1911.8,1672.4,-366.3,,-53.3,-58.0,-21.6,-221.0,245.4,-212.7,197.7,,-161.2,-208.0,,,-307.6,60.3,54.8,-184.6,,True,True,True,True,True,True,True,,True,True,,,True,True,True,True
West Virginia,177,119.4,,171.3,156.0,108.7,108.0,241.8,115.2,130.8,,122.9,101.0,,,116.5,181.1,155.7,117.9,-57.6,,-5.7,-21.0,-68.3,-69.0,64.8,-61.8,-46.2,,-54.1,-76.0,,,-60.5,4.1,-21.3,-59.1,,True,True,False,False,False,False,True,,True,False,,,False,True,True,False
Wisconsin,1081,960.6,,1230.0,1042.0,913.0,904.0,1703.4,961.6,1055.1,1166.0,1105.2,964.0,,,987.8,1960.2,1097.6,1056.6,-120.4,,149.0,-39.0,-168.0,-177.0,622.4,-119.4,-25.9,85.0,24.2,-117.0,,,-93.2,879.2,16.6,-24.4,,False,True,False,False,False,True,True,True,True,True,,,True,False,True,True
Wyoming,37,44.4,,42.6,35.0,21.5,26.0,81.9,30.1,35.6,,67.1,25.0,,,35.8,43.6,39.0,35.5,7.4,,5.6,-2.0,-15.5,-11.0,44.9,-6.9,-1.4,,30.1,-12.0,,,-1.2,6.6,2.0,-1.5,,True,True,False,False,False,True,True,,False,False,,,True,True,True,True
US,176353,166417.7,171110.0,169681.1,171820.0,172477.3,163720.0,184789.2,159228.8,154420.7,,164124.4,178129.5,181330.7,164204.0,164868.4,210630.7,170805.7,170183.2,-9268.3,-4576.0,-6004.9,-3866.0,-3208.7,-11966.0,9103.2,-16457.2,-21265.3,,-11561.6,2443.5,5644.7,-11482.0,-10817.6,34944.7,-4880.3,-5502.8,True,True,True,True,False,True,False,False,,False,True,True,False,False,False,True,True
