,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,5092,4747.7,4593.0,4794.6,4805.0,5409.0,,4958.3,5174.0,4918.2,4473.7,4817.0,4653.0,4288.0,5125.9,4744.5,5655.6,4180.5,4688.6,3856.0,5016.5,,3700.2,5055.9,3868.0,,4000.3,,5049.0,5074.2,,4568.0,4139.3,5224.7,4713.0,4452.0,4882.6,6347.0,-344.3,-499.0,-297.4,-287.0,317.0,,-133.7,82.0,-173.8,-618.3,-275.0,-439.0,-804.0,33.9,-347.5,563.6,-911.5,-403.4,-1236.0,-75.5,,-1391.8,-36.1,-1224.0,,-1091.7,,-43.0,-17.8,,-524.0,-952.7,132.7,-379.0,-640.0,-209.4,1255.0,False,True,True,True,,True,True,True,False,True,False,False,True,False,False,False,False,False,True,,False,True,False,,False,,True,True,,False,False,True,False,False,True,False
Hawaii,47,33.7,36.0,34.0,43.0,64.0,,35.4,29.0,71.2,,,27.4,,39.3,70.9,34.0,41.4,27.0,27.7,37.2,,71.5,39.1,139.5,,29.5,,46.0,29.0,,43.0,,46.6,46.0,43.0,38.1,,-13.3,-11.0,-13.0,-4.0,17.0,,-11.6,-18.0,24.2,,,-19.6,,-7.7,23.9,-13.0,-5.6,-20.0,-19.3,-9.8,,24.5,-7.9,92.5,,-17.5,,-1.0,-18.0,,-4.0,,-0.4,-1.0,-4.0,-8.9,,True,True,True,False,,True,False,False,,,False,,True,False,True,True,False,False,True,,False,True,False,,False,,True,False,,True,,True,True,True,True,
Idaho,306,250.1,262.0,244.0,262.0,235.0,,411.1,262.0,1073.0,249.3,,180.0,228.0,337.5,419.9,273.0,203.9,226.3,221.1,281.7,,234.3,254.0,838.0,,171.1,,323.0,233.8,,222.0,,249.1,267.0,1239.5,286.9,,-55.9,-44.0,-62.0,-44.0,-71.0,,105.1,-44.0,767.0,-56.7,,-126.0,-78.0,31.5,113.9,-33.0,-102.1,-79.7,-84.9,-24.3,,-71.7,-52.0,532.0,,-134.9,,17.0,-72.2,,-84.0,,-56.9,-39.0,933.5,-19.1,,True,False,True,False,,False,True,False,False,,False,False,True,False,True,False,False,False,True,,False,True,False,,False,,True,False,,False,,False,True,False,True,
Illinois,8083,7983.4,8035.0,8028.9,8096.0,8471.0,,8053.7,7653.0,7882.6,8366.3,,7915.7,8024.0,8078.9,8405.0,7999.3,7982.5,7983.4,8484.1,8037.2,8151.0,7753.3,8158.8,7909.0,,8284.8,,8274.0,8096.1,,8036.0,8546.2,9162.3,8033.0,7812.0,8053.2,7759.0,-99.6,-48.0,-54.1,13.0,388.0,,-29.3,-430.0,-200.4,283.3,,-167.3,-59.0,-4.1,322.0,-83.7,-100.5,-99.6,401.1,-45.8,68.0,-329.7,75.8,-174.0,,201.8,,191.0,13.1,,-47.0,463.2,1079.3,-50.0,-271.0,-29.8,-324.0,True,True,True,False,,True,False,False,False,,False,True,True,False,True,False,False,False,True,True,False,True,False,,False,,False,True,,True,False,False,True,False,True,False
Indiana,3218,3215.4,3167.0,3196.7,3290.0,3433.0,,3145.1,3230.0,3136.8,3297.5,,3087.8,3097.0,3500.5,3287.6,3252.9,3143.4,3227.2,3384.6,3494.7,3374.5,3020.3,3330.6,3000.5,,3282.9,,3457.0,3212.5,,3371.0,3185.3,3873.6,3312.0,3264.0,3375.5,3503.0,-2.6,-51.0,-21.3,72.0,215.0,,-72.9,12.0,-81.2,79.5,,-130.2,-121.0,282.5,69.6,34.9,-74.6,9.2,166.6,276.7,156.5,-197.7,112.6,-217.5,,64.9,,239.0,-5.5,,153.0,-32.7,655.6,94.0,46.0,157.5,285.0,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False
Iowa,1033,967.9,1006.0,973.9,964.0,984.0,,1047.7,917.0,918.8,984.1,,1046.2,936.0,1035.0,1136.2,1157.2,909.3,944.8,947.4,1107.5,,920.2,978.0,853.0,,914.3,,964.0,926.0,,923.0,958.2,1100.0,959.0,1033.0,1030.4,,-65.1,-27.0,-59.1,-69.0,-49.0,,14.7,-116.0,-114.2,-48.9,,13.2,-97.0,2.0,103.2,124.2,-123.7,-88.2,-85.6,74.5,,-112.8,-55.0,-180.0,,-118.7,,-69.0,-107.0,,-110.0,-74.8,67.0,-74.0,0.0,-2.6,,True,True,False,True,,True,False,False,True,,True,False,True,False,False,False,False,False,False,,False,True,False,,False,,False,False,,False,False,False,False,True,True,
Kansas,426,415.9,442.0,413.0,437.0,576.0,,538.3,365.0,468.2,,,357.6,435.0,504.0,612.0,398.3,378.3,419.3,392.1,402.8,,364.1,440.7,389.5,,815.6,,439.0,417.4,,411.0,,484.4,400.0,527.0,416.3,,-10.1,16.0,-13.0,11.0,150.0,,112.3,-61.0,42.2,,,-68.4,9.0,78.0,186.0,-27.7,-47.7,-6.7,-33.9,-23.2,,-61.9,14.7,-36.5,,389.6,,13.0,-8.6,,-15.0,,58.4,-26.0,101.0,-9.7,,False,False,False,False,,False,False,False,,,False,True,False,False,False,False,True,False,False,,False,False,False,,False,,False,True,,False,,False,False,False,True,
Kentucky,872,815.7,862.0,812.0,910.0,1227.0,,898.3,914.0,961.2,850.2,,849.9,789.0,913.0,1129.7,1017.4,816.1,861.4,1048.8,839.7,900.5,920.5,875.4,919.0,,875.9,,892.0,792.3,,910.0,810.5,1075.0,839.0,962.0,951.4,,-56.3,-10.0,-60.0,38.0,355.0,,26.3,42.0,89.2,-21.8,,-22.1,-83.0,41.0,257.7,145.4,-55.9,-10.6,176.8,-32.3,28.5,48.5,3.4,47.0,,3.9,,20.0,-79.7,,38.0,-61.5,203.0,-33.0,90.0,79.4,,True,False,True,False,,True,True,False,True,,True,False,True,False,False,True,True,False,True,True,True,True,True,,True,,True,False,,True,False,False,True,False,False,
Louisiana,4687,4611.6,4414.0,4538.9,4711.0,4919.0,,4417.2,4711.0,5371.8,4661.7,,4220.9,4635.0,5081.8,4440.9,4720.0,4460.7,4519.3,3862.0,4946.0,,4021.6,4500.0,4247.0,,4475.4,,5022.0,4690.5,,4730.0,,5673.5,4578.0,5143.5,4510.1,5229.0,-75.4,-273.0,-148.1,24.0,232.0,,-269.8,24.0,684.8,-25.3,,-466.1,-52.0,394.8,-246.1,33.0,-226.3,-167.7,-825.0,259.0,,-665.4,-187.0,-440.0,,-211.6,,335.0,3.5,,43.0,,986.5,-109.0,456.5,-176.9,542.0,False,False,True,False,,False,True,False,True,,False,True,False,False,True,False,False,False,False,,False,False,False,,False,,False,True,,True,,False,False,False,False,False
Maine,130,126.7,132.0,127.9,129.0,118.0,,122.0,124.0,133.7,135.7,,135.6,142.0,126.9,149.8,130.0,124.6,119.9,139.4,125.2,,128.7,128.8,124.0,,127.1,,126.0,120.5,,127.0,129.2,137.4,129.0,139.0,129.5,,-3.3,2.0,-2.1,-1.0,-12.0,,-8.0,-6.0,3.7,5.7,,5.6,12.0,-3.1,19.8,0.0,-5.4,-10.1,9.4,-4.8,,-1.3,-1.2,-6.0,,-2.9,,-4.0,-9.5,,-3.0,-0.8,7.4,-1.0,9.0,-0.5,,True,True,True,False,,False,False,False,False,,False,False,True,False,True,False,False,False,False,,True,True,False,,True,,False,False,,True,True,False,True,False,True,
Maryland,3685,3683.0,3681.0,3696.2,3740.0,4068.0,,3664.4,3648.0,3591.3,3885.1,,3765.4,3745.0,3777.6,3835.4,3657.8,3673.1,3702.7,3687.1,3604.7,,3623.0,3863.9,3574.5,,3672.9,,3904.0,3711.7,,3790.0,,4291.0,3759.0,3738.0,3832.5,3797.0,-2.0,-4.0,11.2,55.0,383.0,,-20.6,-37.0,-93.7,200.1,,80.4,60.0,92.6,150.4,-27.2,-11.9,17.7,2.1,-80.3,,-62.0,178.9,-110.5,,-12.1,,219.0,26.7,,105.0,,606.0,74.0,53.0,147.5,112.0,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,,False,,False,False,,False,,False,False,False,False,False
Massachusetts,8921,8907.0,8776.0,8931.6,8960.0,8971.0,,8529.0,8582.0,8791.1,9072.1,,9177.4,8700.0,8872.0,8878.4,8637.1,9062.2,8811.8,8451.6,9017.1,,8648.5,8991.6,8595.0,,8874.8,,8960.0,8802.7,,8896.0,,9160.9,9019.0,9174.5,8796.8,8678.0,-14.0,-145.0,10.6,39.0,50.0,,-392.0,-339.0,-129.9,151.1,,256.4,-221.0,-49.0,-42.6,-283.9,141.2,-109.2,-469.4,96.1,,-272.5,70.6,-326.0,,-46.2,,39.0,-118.3,,-25.0,,239.9,98.0,253.5,-124.2,-243.0,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,,False,,False,False,,False,,False,False,False,False,False
Michigan,6655,6531.1,6600.0,6595.5,6632.0,6655.0,,6658.6,6684.0,6592.5,6854.8,,6789.6,6695.0,6714.6,7019.6,6655.0,6609.3,6543.7,7218.4,6463.9,12261.0,6780.9,6536.2,6446.0,,6663.1,,6579.0,6533.9,,6552.0,6700.1,7743.8,6516.0,6562.5,6541.9,6618.0,-123.9,-55.0,-59.5,-23.0,0.0,,3.6,29.0,-62.5,199.8,,134.6,40.0,59.6,364.6,0.0,-45.7,-111.3,563.4,-191.1,5606.0,125.9,-118.8,-209.0,,8.1,,-76.0,-121.1,,-103.0,45.1,1088.8,-139.0,-92.5,-113.1,-37.0,True,True,True,True,,True,True,True,False,,False,True,True,False,True,True,True,False,False,False,False,True,False,,True,,True,True,,True,True,False,False,True,True,True
Minnesota,1807,1741.3,1794.0,1743.4,1761.0,1996.0,,1874.6,1713.0,1673.4,1829.4,,1733.2,1761.0,1860.3,1857.6,1832.8,1751.1,1759.7,1792.3,1754.5,1750.0,1650.8,1783.2,1633.0,,,,1824.0,1737.1,,1768.0,1842.3,2212.6,1762.0,1689.5,1790.3,,-65.7,-13.0,-63.6,-46.0,189.0,,67.6,-94.0,-133.6,22.4,,-73.8,-46.0,53.3,50.6,25.8,-55.9,-47.3,-14.7,-52.5,-57.0,-156.2,-23.8,-174.0,,,,17.0,-69.9,,-39.0,35.3,405.6,-45.0,-117.5,-16.7,,True,True,True,False,,False,False,False,True,,False,True,True,True,True,True,True,True,True,True,False,True,False,,,,True,False,,True,True,False,True,False,True,
Mississippi,2237,2025.3,1920.0,2006.0,2105.0,2567.0,,2127.4,2105.0,2230.7,2221.8,,1945.0,1834.0,2452.8,2084.4,1914.4,1924.1,2089.9,1947.5,2090.1,,1932.9,2278.2,2192.0,,1727.3,,2329.0,1977.8,,2208.0,1972.1,2371.9,2182.0,2202.5,2077.1,2185.0,-211.7,-317.0,-231.0,-132.0,330.0,,-109.6,-132.0,-6.3,-15.2,,-292.0,-403.0,215.8,-152.6,-322.6,-312.9,-147.1,-289.5,-146.9,,-304.1,41.2,-45.0,,-509.7,,92.0,-259.2,,-29.0,-264.9,134.9,-55.0,-34.5,-159.9,-52.0,False,False,True,False,,True,True,True,True,,False,False,False,True,False,False,True,False,True,,False,True,True,,False,,True,False,,True,False,True,True,True,True,True
Missouri,1451,1490.6,1456.0,1455.8,1529.0,2124.0,,1580.6,1718.0,1515.9,1413.6,,1375.3,1357.0,1871.5,1747.2,1441.0,1452.9,1545.5,1450.6,1506.2,,1349.6,1626.3,1371.0,,1361.8,,1821.0,1556.4,,1920.0,1377.8,1962.6,1658.0,1573.0,1543.0,,39.6,5.0,4.8,78.0,673.0,,129.6,267.0,64.9,-37.4,,-75.7,-94.0,420.5,296.2,-10.0,1.9,94.5,-0.4,55.2,,-101.4,175.3,-80.0,,-89.2,,370.0,105.4,,469.0,-73.2,511.6,207.0,122.0,92.0,,True,True,False,False,,False,False,False,True,,False,False,False,False,True,True,False,True,False,,False,False,False,,False,,False,False,,False,False,False,False,False,False,
Montana,90,80.7,79.0,82.0,92.0,47.0,,90.0,70.0,215.2,84.3,,60.6,58.0,91.7,133.2,114.4,79.0,74.5,99.4,128.6,,140.0,102.3,174.0,,51.3,,105.0,65.3,,92.0,,88.3,73.0,275.5,90.3,,-9.3,-11.0,-8.0,2.0,-43.0,,0.0,-20.0,125.2,-5.7,,-29.4,-32.0,1.7,43.2,24.4,-11.0,-15.5,9.4,38.6,,50.0,12.3,84.0,,-38.7,,15.0,-24.7,,2.0,,-1.7,-17.0,185.5,0.3,,False,True,True,False,,True,False,False,True,,False,False,True,False,False,False,False,False,False,,False,False,False,,False,,False,False,,True,,True,False,False,True,
Nebraska,376,373.9,382.0,376.1,370.0,444.0,,404.0,349.0,379.7,384.7,,320.2,353.0,443.7,483.9,346.7,358.6,373.8,371.9,367.6,,377.6,405.8,325.0,,331.4,,427.0,362.7,,382.0,,403.1,389.0,379.5,379.4,,-2.1,6.0,0.1,-6.0,68.0,,28.0,-27.0,3.7,8.7,,-55.8,-23.0,67.7,107.9,-29.3,-17.4,-2.2,-4.1,-8.4,,1.6,29.8,-51.0,,-44.6,,51.0,-13.3,,6.0,,27.1,13.0,3.5,3.4,,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,True,False,False,,False,,False,False,,False,,False,False,False,False,
Nevada,1197,1069.6,1074.0,1076.1,1129.0,1049.0,,1126.5,1154.0,1459.8,1043.0,,1019.6,1106.0,1316.1,1158.3,1178.8,946.5,1035.0,864.7,1203.0,,1093.1,1119.2,1598.0,,876.6,,1131.0,1080.8,,1031.0,,1186.9,1080.0,2281.0,1194.9,1533.0,-127.4,-123.0,-120.9,-68.0,-148.0,,-70.5,-43.0,262.8,-154.0,,-177.4,-91.0,119.1,-38.7,-18.2,-250.5,-162.0,-332.3,6.0,,-103.9,-77.8,401.0,,-320.4,,-66.0,-116.2,,-166.0,,-10.1,-117.0,1084.0,-2.1,336.0,True,True,True,False,,True,True,False,False,,False,True,True,True,True,False,False,False,True,,True,True,False,,False,,True,True,,False,,True,True,False,True,False
New Hampshire,429,451.4,444.0,461.1,454.0,467.0,,442.5,428.0,436.2,460.1,,425.0,413.0,472.3,454.7,425.4,465.2,427.9,454.6,456.3,,466.4,482.3,420.0,,459.0,,484.0,484.8,,446.0,477.8,462.5,472.0,432.0,448.4,,22.4,15.0,32.1,25.0,38.0,,13.5,-1.0,7.2,31.1,,-4.0,-16.0,43.3,25.7,-3.6,36.2,-1.1,25.6,27.3,,37.4,53.3,-9.0,,30.0,,55.0,55.8,,17.0,48.8,33.5,43.0,3.0,19.4,,True,False,False,False,,True,True,True,False,,True,True,False,False,True,False,True,False,False,,False,False,True,,False,,False,False,,True,False,False,False,True,True,
