,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Georgia,5092,3840.6,,5077.5,5062.0,4244.0,3446.8,3585.8,,3265.7,3985.5,,,4018.9,5314.6,5961.1,4473.3,-1251.4,,-14.5,-30.0,-848.0,-1645.2,-1506.2,,-1826.3,-1106.5,,,-1073.1,222.6,869.1,-618.7,,True,True,True,False,False,,False,True,,,True,True,True,True
Hawaii,47,19.0,,35.4,22.0,,25.3,18.5,,58.3,19.0,,,20.1,29.0,43.5,22.5,-28.0,,-11.6,-25.0,,-21.7,-28.5,,11.3,-28.0,,,-26.9,-18.0,-3.5,-24.5,,True,True,,True,False,,True,False,,,True,True,True,True
Idaho,306,154.7,,389.0,219.0,198.0,177.8,158.4,,171.4,104.0,,,141.8,179.9,232.5,184.6,-151.3,,83.0,-87.0,-108.0,-128.2,-147.6,,-134.6,-202.0,,,-164.2,-126.1,-73.5,-121.4,,True,True,True,True,True,,True,False,,,False,True,True,True
Illinois,8083,9543.4,,7642.8,7507.0,8291.0,8001.5,7226.0,9675.0,7772.2,8457.0,,,8797.3,7734.2,10947.8,7966.2,1460.4,,-440.2,-576.0,208.0,-81.5,-857.0,1592.0,-310.8,374.0,,,714.3,-348.8,2864.8,-116.8,,True,True,True,True,True,False,True,True,,,True,True,False,True
Indiana,3218,3152.4,,3071.7,3003.0,3082.0,3173.4,3043.8,3432.0,3002.7,3366.5,,,3105.4,3331.8,3671.9,3239.7,-65.6,,-146.3,-215.0,-136.0,-44.6,-174.2,214.0,-215.3,148.5,,,-112.6,113.8,453.9,21.7,,False,False,False,True,False,False,False,False,,,False,False,False,True
Iowa,1033,933.6,,1072.5,852.0,891.0,906.1,1072.2,,804.0,774.0,,,889.7,1000.3,1108.9,941.9,-99.4,,39.5,-181.0,-142.0,-126.9,39.2,,-229.0,-259.0,,,-143.3,-32.7,75.9,-91.1,,True,False,False,False,True,,False,False,,,False,True,True,True
Kansas,426,373.1,,558.6,335.0,539.0,369.8,370.5,,331.2,341.0,,,365.3,400.1,531.2,401.4,-52.9,,132.6,-91.0,113.0,-56.2,-55.5,,-94.8,-85.0,,,-60.7,-25.9,105.2,-24.6,,False,False,False,False,False,,False,False,,,False,True,False,True
Kentucky,872,859.3,,794.4,816.0,846.0,789.0,1533.7,926.5,853.9,849.0,,,794.2,885.2,1184.8,939.9,-12.7,,-77.6,-56.0,-26.0,-83.0,661.7,54.5,-18.1,-23.0,,,-77.8,13.2,312.8,67.9,,False,False,False,False,False,False,False,False,,,False,False,False,False
Louisiana,4687,4165.7,,4342.6,4397.0,4847.0,3855.9,3523.9,,3786.6,3681.0,,,3999.4,5985.1,5809.9,4360.4,-521.3,,-344.4,-290.0,160.0,-831.1,-1163.1,,-900.4,-1006.0,,,-687.6,1298.1,1122.9,-326.6,,True,True,True,False,False,,False,False,,,False,False,False,True
Maine,130,143.3,,123.3,124.0,115.0,119.6,199.3,,142.5,113.0,,,128.4,137.8,120.8,133.9,13.3,,-6.7,-6.0,-15.0,-10.4,69.3,,12.5,-17.0,,,-1.6,7.8,-9.2,3.9,,True,True,False,True,False,,True,False,,,True,True,True,True
Maryland,3685,3764.1,,3516.7,3418.0,3628.0,3730.1,4364.5,,3567.8,3519.5,,,3697.1,3649.0,4120.4,3699.4,79.1,,-168.3,-267.0,-57.0,45.1,679.5,,-117.2,-165.5,,,12.1,-36.0,435.4,14.4,,False,False,True,True,False,,False,False,,,True,True,False,True
Massachusetts,8921,9156.7,,8422.6,8481.0,9602.0,8948.7,8502.6,,8736.4,9306.0,,,8849.7,8453.0,10054.5,8737.7,235.7,,-498.4,-440.0,681.0,27.7,-418.4,,-184.6,385.0,,,-71.3,-468.0,1133.5,-183.3,,False,False,False,True,False,,True,False,,,True,False,False,True
Michigan,6655,6876.3,,6555.8,6703.0,6519.0,6673.4,7361.7,9295.0,6747.1,6740.5,,,6697.6,6740.2,7858.8,6852.6,221.3,,-99.2,48.0,-136.0,18.4,706.7,2640.0,92.1,85.5,,,42.6,85.2,1203.8,197.6,,True,True,True,True,False,False,True,True,,,True,True,False,True
Minnesota,1807,1727.4,,1831.5,1673.0,1865.0,1814.8,2208.8,2088.5,1626.0,1595.5,,,1708.5,1765.2,2118.6,1790.4,-79.6,,24.5,-134.0,58.0,7.8,401.8,281.5,-181.0,-211.5,,,-98.5,-41.8,311.6,-16.6,,True,False,True,True,False,False,False,False,,,False,True,False,True
Mississippi,2237,2057.3,,1964.5,1768.0,1811.0,1669.5,1998.3,,1841.2,1735.0,,,1840.6,2075.8,2260.9,2091.8,-179.7,,-272.5,-469.0,-426.0,-567.5,-238.7,,-395.8,-502.0,,,-396.4,-161.2,23.9,-145.2,,False,False,False,False,False,,False,False,,,False,True,True,True
Missouri,1451,1332.1,,1475.1,1528.0,1438.0,1256.8,2056.4,,1223.9,1371.0,,,1471.9,1761.5,2086.6,1449.1,-118.9,,24.1,77.0,-13.0,-194.2,605.4,,-227.1,-80.0,,,20.9,310.5,635.6,-1.9,,True,True,True,False,False,,False,True,,,True,False,False,True
Montana,90,64.1,,77.9,49.0,38.0,69.2,33.4,,164.2,51.0,,,53.7,210.5,267.0,68.6,-25.9,,-12.1,-41.0,-52.0,-20.8,-56.6,,74.2,-39.0,,,-36.3,120.5,177.0,-21.4,,True,False,False,True,False,,False,False,,,False,False,False,True
Nebraska,376,290.9,,370.2,303.0,381.0,351.1,527.0,,370.3,513.0,,,307.5,312.1,418.4,364.9,-85.1,,-5.8,-73.0,5.0,-24.9,151.0,,-5.7,137.0,,,-68.5,-63.9,42.4,-11.1,,True,True,True,True,False,,True,False,,,True,True,True,True
Nevada,1197,938.6,,1135.2,1132.0,918.0,801.1,719.8,,931.8,640.0,,,840.7,1346.0,979.1,1066.3,-258.4,,-61.8,-65.0,-279.0,-395.9,-477.2,,-265.2,-557.0,,,-356.3,149.0,-217.9,-130.7,,True,True,False,False,False,,False,False,,,False,True,True,True
New Hampshire,429,449.6,,442.9,437.0,428.0,454.1,694.6,,426.0,483.0,,,457.3,435.9,434.8,431.1,20.6,,13.9,8.0,-1.0,25.1,265.6,,-3.0,54.0,,,28.3,6.9,5.8,2.1,,True,True,True,False,False,,True,False,,,False,True,True,True
New Jersey,15943,17364.1,,15996.0,15950.0,17467.0,16282.5,13621.7,,16419.7,19474.0,,,16488.5,15644.8,18546.1,16034.4,1421.1,,53.0,7.0,1524.0,339.5,-2321.3,,476.7,3531.0,,,545.5,-298.2,2603.1,91.4,,True,True,False,True,False,,True,False,,,True,True,False,True
New Mexico,743,732.4,,733.4,685.0,892.0,665.9,739.4,,628.8,754.0,,,726.5,775.6,909.2,731.2,-10.6,,-9.6,-58.0,149.0,-77.1,-3.6,,-114.2,11.0,,,-16.5,32.6,166.2,-11.8,,True,False,False,False,True,,False,False,,,False,False,False,False
New York,32839,33193.4,,32559.9,32624.0,34048.0,33102.6,27382.4,,32552.5,33252.0,,,32797.7,32437.2,33493.9,32925.7,399.4,,-234.1,-170.0,1254.0,308.6,-5411.6,,-241.5,458.0,,,3.7,-356.8,699.9,131.7,,True,True,False,True,False,,True,False,,,True,True,False,True
North Carolina,2521,2101.9,,2460.6,3566.0,2626.0,1932.5,1719.8,,1978.4,2433.0,,,2207.6,2578.6,2442.5,2277.1,-419.1,,-60.4,1045.0,105.0,-588.5,-801.2,,-542.6,-88.0,,,-313.4,57.6,-78.5,-243.9,,True,False,True,False,False,,False,True,,,True,True,True,True
North Dakota,135,128.0,,111.7,98.0,138.0,122.0,110.7,,119.3,87.0,,,105.5,116.4,228.9,126.2,-7.0,,-23.3,-37.0,3.0,-13.0,-24.3,,-15.7,-48.0,,,-29.5,-18.6,93.9,-8.8,,False,False,True,False,False,,False,False,,,False,False,False,False
Ohio,3975,3919.0,,4057.4,5325.0,3763.0,3693.1,4545.9,4184.5,3417.0,3735.0,,,3940.4,4590.3,5139.5,4150.7,-56.0,,82.4,1350.0,-212.0,-281.9,570.9,209.5,-558.0,-240.0,,,-34.6,615.3,1164.5,175.7,,False,False,False,False,False,False,False,False,,,True,False,False,False
Oklahoma,725,562.6,,786.4,717.0,966.0,514.8,645.7,,622.5,439.0,,,538.6,855.8,646.6,571.6,-162.4,,61.4,-8.0,241.0,-210.2,-79.3,,-102.5,-286.0,,,-186.4,130.8,-78.4,-153.4,,True,True,False,False,True,,True,False,,,False,True,True,True
Oregon,417,345.3,,396.3,388.0,401.0,318.1,308.7,,385.3,338.0,,,316.7,497.5,407.1,417.5,-71.7,,-20.7,-29.0,-16.0,-98.9,-108.3,,-31.7,-79.0,,,-100.3,80.5,-9.9,0.5,,True,True,True,False,False,,True,False,,,False,False,True,True
Pennsylvania,7555,7788.4,,7584.7,7605.0,7755.0,7458.0,7221.7,,7368.7,7819.0,,,7776.1,7633.1,8771.7,7834.2,233.4,,29.7,50.0,200.0,-97.0,-333.3,,-186.3,264.0,,,221.1,78.1,1216.7,279.2,,True,True,True,True,False,,True,False,,,True,True,False,False
Rhode Island,1038,1069.7,,1061.5,1036.0,1160.0,1052.7,1020.2,,1041.5,1199.0,,,1056.3,1012.3,1086.0,1055.3,42.7,,34.5,9.0,133.0,25.7,-6.8,,14.5,172.0,,,29.3,-14.7,59.0,28.3,,True,True,False,True,True,,True,False,,,True,True,False,True
South Carolina,2493,1786.9,,2151.7,1853.0,1825.0,1732.2,1037.2,,2088.0,1447.0,,,1680.2,1925.1,2007.1,2238.7,-706.1,,-341.3,-640.0,-668.0,-760.8,-1455.8,,-405.0,-1046.0,,,-812.8,-567.9,-485.9,-254.3,,True,True,True,False,False,,True,False,,,False,True,True,True
South Dakota,160,179.3,,129.0,134.0,143.0,140.1,253.8,,204.7,160.0,,,134.2,131.1,207.9,160.2,19.3,,-31.0,-26.0,-17.0,-19.9,93.8,,44.7,0.0,,,-25.8,-28.9,47.9,0.2,,False,False,True,False,False,,False,True,,,False,False,False,True
Tennessee,1563,1303.3,,1608.9,1563.0,1714.0,1005.7,1083.2,,1300.6,1373.5,,,1185.1,1404.3,1920.0,1666.9,-259.7,,45.9,0.0,151.0,-557.3,-479.8,,-262.4,-189.5,,,-377.9,-158.7,357.0,103.9,,True,True,True,False,False,,False,True,,,False,True,False,True
Texas,11582,6583.9,,9009.9,7577.0,8046.0,5727.4,3975.4,,6786.8,4325.5,,8091.0,6495.2,8302.1,10751.6,7542.1,-4468.1,,-2042.1,-3475.0,-3006.0,-5324.6,-7076.6,,-4265.2,-6726.5,,-2961.0,-4556.8,-2749.9,-300.4,-3509.9,,True,True,True,False,False,,True,False,,True,False,True,True,True
Utah,385,396.6,,570.7,474.0,434.0,314.1,303.3,,459.5,327.0,,,384.8,411.7,397.8,470.5,11.6,,185.7,89.0,49.0,-70.9,-81.7,,74.5,-58.0,,,-0.2,26.7,12.8,85.5,,False,False,False,False,False,,False,False,,,True,False,False,False
Vermont,58,56.0,,59.7,56.0,56.0,58.5,59.5,,57.2,58.0,,,56.4,56.0,58.4,60.4,-2.0,,1.7,-2.0,-2.0,0.5,1.5,,-0.8,0.0,,,-1.6,-2.0,0.4,2.4,,True,False,False,True,True,,True,True,,,True,True,True,False
Virginia,2443,2627.9,,2204.2,2155.0,2449.0,2580.6,2309.3,,2501.1,2316.0,,,2375.6,2344.4,2346.3,2571.0,184.9,,-238.8,-288.0,6.0,137.6,-133.7,,58.1,-127.0,,,-67.4,-98.6,-96.7,128.0,,False,False,True,True,True,,True,True,,,True,True,True,True
Washington,1857,1900.7,,1799.1,1804.0,1898.0,1791.6,1665.3,,1705.7,1632.5,,,1761.5,2045.7,1816.5,1801.0,43.7,,-57.9,-53.0,41.0,-65.4,-191.7,,-151.3,-224.5,,,-95.5,188.7,-40.5,-56.0,,False,False,True,False,False,,False,False,,,False,False,True,False
West Virginia,177,107.7,,164.9,188.0,129.0,140.1,265.8,,120.0,118.0,,,112.9,223.4,217.6,116.1,-69.3,,-12.1,11.0,-48.0,-36.9,88.8,,-57.0,-59.0,,,-64.1,46.4,40.6,-60.9,,True,True,True,True,False,,True,True,,,True,True,True,True
Wisconsin,1131,960.6,,1173.0,1021.0,1026.0,990.8,1190.6,1097.0,915.1,1182.0,,,980.4,1215.6,1342.6,1095.1,-141.4,,71.0,-81.0,-76.0,-111.2,88.6,-5.0,-186.9,80.0,,,-121.6,113.6,240.6,-6.9,,True,True,True,True,True,True,False,True,,,True,True,False,True
Wyoming,37,26.9,,46.6,33.0,30.0,26.9,36.6,,47.7,43.0,,,25.1,36.9,25.9,29.9,-10.1,,9.6,-4.0,-7.0,-10.1,-0.4,,10.7,6.0,,,-11.9,-0.1,-11.1,-7.1,,True,True,True,True,True,,False,True,,,False,True,False,True
US,176381,165925.7,185729.0,167484.1,172817.0,163015.0,155453.5,151474.5,,157521.4,159470.0,195278.5,142643.0,161809.8,173721.6,211465.8,169573.5,-9840.3,9963.0,-8281.9,-2949.0,-12751.0,-20312.5,-24291.5,,-18244.6,-16296.0,19512.5,-33123.0,-13956.2,-2044.4,35699.8,-6192.5,False,True,True,False,False,False,,False,False,False,False,False,True,False,True
