,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,10685,9654.6,11029.1,9692.1,10999.0,9897.9,8986.0,,9643.0,9821.1,9626.0,,9632.0,9791.0,8889.3,-576.4,798.1,-538.9,768.0,-333.1,-1245.0,,-588.0,-409.9,-605.0,,-599.0,-440.0,-1341.7,False,True,False,True,False,,False,True,False,,False,True,False
Hawaii,285,234.7,221.9,237.2,249.0,336.0,288.0,,,295.8,296.6,,247.2,247.0,252.9,-50.3,-63.1,-47.8,-36.0,51.0,3.0,,,10.8,11.6,,-37.8,-38.0,-32.1,False,True,True,False,True,,,True,True,,True,True,True
Idaho,1354,1070.0,1004.7,1060.9,1204.0,1321.1,887.0,,1097.0,1176.8,1234.0,,922.4,1042.0,810.6,-284.0,-349.3,-293.1,-150.0,-32.9,-467.0,,-257.0,-177.2,-120.0,,-431.6,-312.0,-543.4,False,False,True,True,False,,True,True,True,,False,False,False
Illinois,17224,13712.9,16927.3,13624.1,25482.0,17432.6,14345.0,,12652.0,14806.4,14548.0,,12988.5,14270.0,11532.6,-3511.1,-296.7,-3599.9,8258.0,208.6,-2879.0,,-4572.0,-2417.6,-2676.0,,-4235.5,-2954.0,-5691.4,True,False,False,True,True,,False,True,True,,False,True,False
Indiana,7801,6446.1,7438.0,6413.9,10496.0,8080.8,12457.0,,6114.0,7603.2,7795.5,,5868.4,8583.0,4875.9,-1354.9,-363.0,-1387.1,2695.0,279.8,4656.0,,-1687.0,-197.8,-5.5,,-1932.6,782.0,-2925.1,True,False,False,True,False,,False,True,True,,False,True,False
Iowa,3743,2613.0,3760.3,2724.3,12359.0,3546.2,2817.0,,2682.0,3067.5,4144.5,,2643.4,4916.0,2117.3,-1130.0,17.3,-1018.7,8616.0,-196.8,-926.0,,-1061.0,-675.5,401.5,,-1099.6,1173.0,-1625.7,True,True,False,True,True,,True,True,True,,True,False,False
Kansas,2503,1606.4,2045.4,1609.2,4551.0,2406.6,1627.0,,1785.0,1913.0,2280.6,,1518.3,1807.0,1329.9,-829.6,-390.6,-826.8,2115.0,-29.4,-809.0,,-651.0,-523.0,-155.4,,-917.7,-629.0,-1106.1,True,True,False,True,True,,True,True,True,,False,True,False
Kentucky,2534,2086.1,2177.5,2093.1,3045.0,2568.5,2212.0,,2178.0,2459.2,2595.9,,2223.7,2392.0,1798.0,-447.9,-356.5,-440.9,511.0,34.5,-322.0,,-356.0,-74.8,61.9,,-310.3,-142.0,-736.0,True,True,False,True,True,,True,True,True,,True,True,False
Louisiana,7272,6790.3,6686.0,6698.8,7042.0,6787.4,6253.0,,6488.0,6928.8,6474.1,,6847.4,6542.0,6272.9,-481.7,-586.0,-573.2,-230.0,-484.6,-1019.0,,-784.0,-343.2,-797.9,,-424.6,-730.0,-999.1,False,False,True,False,False,,False,True,False,,True,False,False
Maine,319,186.3,1083.0,179.5,3228.0,186.6,207.0,,211.5,164.9,234.9,,157.2,301.0,161.8,-132.7,764.0,-139.5,2909.0,-132.4,-112.0,,-107.5,-154.1,-84.1,,-161.8,-18.0,-157.2,False,False,False,True,True,,True,False,True,,False,True,False
Maryland,5680,4623.4,4727.4,4586.6,6545.0,4834.9,4489.0,,4594.0,4714.6,4723.9,,4497.2,4794.0,4429.9,-1056.6,-952.6,-1093.4,865.0,-845.1,-1191.0,,-1086.0,-965.4,-956.1,,-1182.8,-886.0,-1250.1,True,False,True,True,False,,False,True,True,,False,True,False
Massachusetts,12010,11081.6,11041.2,11134.7,14793.0,12416.8,11136.0,,10993.0,11696.7,11523.7,,10570.7,11761.0,10546.3,-928.4,-968.8,-875.3,2783.0,406.8,-874.0,,-1017.0,-313.3,-486.3,,-1439.3,-249.0,-1463.7,False,True,False,True,True,,False,True,True,,False,True,False
Michigan,12690,9631.9,10727.2,9672.4,22509.0,13010.8,12957.0,,9554.0,10704.2,12032.5,,9127.7,11912.0,8269.2,-3058.1,-1962.8,-3017.6,9819.0,320.8,267.0,,-3136.0,-1985.8,-657.5,,-3562.3,-778.0,-4420.8,True,True,False,True,True,,False,True,True,,False,True,False
Minnesota,5166,3951.1,5733.6,3854.5,10920.0,4793.6,4706.0,,4439.0,4451.3,5193.7,,3604.2,4553.0,2994.4,-1214.9,567.6,-1311.5,5754.0,-372.4,-460.0,,-727.0,-714.7,27.7,,-1561.8,-613.0,-2171.6,True,False,False,True,True,,True,True,True,,False,True,False
Mississippi,4565,4094.4,4135.1,4126.0,3938.0,4009.6,3761.0,,3934.0,4116.6,3907.0,,4203.5,4058.0,3810.8,-470.6,-429.9,-439.0,-627.0,-555.4,-804.0,,-631.0,-448.4,-658.0,,-361.5,-507.0,-754.2,True,True,False,False,False,,False,True,False,,True,False,False
Missouri,5470,4035.9,4144.1,4038.2,9102.0,5520.2,4286.0,,4547.0,5602.1,5432.9,,3537.2,4230.0,3463.6,-1434.1,-1325.9,-1431.8,3632.0,50.2,-1184.0,,-923.0,132.1,-37.1,,-1932.8,-1240.0,-2006.4,True,True,False,True,True,,True,True,True,,False,True,False
Montana,919,1004.6,843.8,934.8,970.0,1336.9,958.0,,1074.0,1388.1,1463.8,,692.2,968.0,621.8,85.6,-75.2,15.8,51.0,417.9,39.0,,155.0,469.1,544.8,,-226.8,49.0,-297.2,True,True,True,False,True,,False,False,False,,False,True,False
Nebraska,1559,1039.0,1228.7,1060.0,2175.0,1493.8,1311.0,,1111.0,1340.5,1540.8,,805.4,1085.0,815.5,-520.0,-330.3,-499.0,616.0,-65.2,-248.0,,-448.0,-218.5,-18.2,,-753.6,-474.0,-743.5,True,True,False,True,True,,True,True,True,,False,True,False
Nevada,2942,2331.0,3577.1,2361.2,2336.0,2306.0,2037.0,,2141.0,2282.5,2159.4,,2377.6,2664.0,2051.3,-611.0,635.1,-580.8,-606.0,-636.0,-905.0,,-801.0,-659.5,-782.6,,-564.4,-278.0,-890.7,False,True,True,False,False,,False,False,False,,True,True,False
New Hampshire,701,530.1,544.3,535.6,647.0,639.1,589.0,,601.0,600.6,863.4,,513.9,590.0,509.0,-170.9,-156.7,-165.4,-54.0,-61.9,-112.0,,-100.0,-100.4,162.4,,-187.1,-111.0,-192.0,True,True,True,True,True,,True,True,True,,False,True,False
New Jersey,18613,16943.3,16850.3,17194.5,18655.0,17528.9,18323.0,,17150.0,17251.9,17997.1,,16828.1,17286.0,16586.3,-1669.7,-1762.7,-1418.5,42.0,-1084.1,-290.0,,-1463.0,-1361.1,-615.9,,-1784.9,-1327.0,-2026.7,False,True,True,True,True,,True,True,True,,False,True,False
New Mexico,2316,1748.9,2006.6,1706.5,1839.0,1931.3,1319.0,,1621.0,1876.3,1720.4,,1547.1,1842.0,1252.2,-567.1,-309.4,-609.5,-477.0,-384.7,-997.0,,-695.0,-439.7,-595.6,,-768.9,-474.0,-1063.8,True,False,True,True,False,,False,True,False,,False,True,False
New York,37286,34938.4,37059.2,35405.9,35470.0,35887.5,34753.0,,34830.0,34438.4,35632.0,,33901.2,35627.0,33713.6,-2347.6,-226.8,-1880.1,-1816.0,-1398.5,-2533.0,,-2456.0,-2847.6,-1654.0,,-3384.8,-1659.0,-3572.4,True,True,True,True,False,,False,False,True,,False,True,False
North Carolina,6526,6143.0,6781.9,6193.7,6444.0,6458.0,5697.0,,5998.0,6557.7,6132.9,,5838.9,6359.0,5283.7,-383.0,255.9,-332.3,-82.0,-68.0,-829.0,,-528.0,31.7,-393.1,,-687.1,-167.0,-1242.3,True,True,True,True,False,,False,True,False,,False,True,False
North Dakota,1264,1379.6,1798.6,1356.0,2861.0,1532.2,1253.0,,1320.0,1454.3,1528.5,,950.9,1479.0,859.0,115.6,534.6,92.0,1597.0,268.2,-11.0,,56.0,190.3,264.5,,-313.1,215.0,-405.0,False,True,False,False,True,,True,False,False,,False,False,False
Ohio,8476,6984.4,9259.5,6939.1,10111.0,7135.6,6561.0,,7159.0,7191.1,7581.8,,6978.2,8184.0,6072.3,-1491.6,783.5,-1536.9,1635.0,-1340.4,-1915.0,,-1317.0,-1284.9,-894.2,,-1497.8,-292.0,-2403.7,True,False,False,True,False,,True,True,True,,False,True,False
Oklahoma,2357,2075.7,2408.8,2072.5,2419.0,2142.6,2009.0,,2310.0,2271.8,2109.8,,1902.4,1970.0,1678.9,-281.3,51.8,-284.5,62.0,-214.4,-348.0,,-47.0,-85.2,-247.2,,-454.6,-387.0,-678.1,True,False,True,True,False,,True,True,True,,False,False,False
Oregon,1422,997.4,1303.3,1008.9,1508.0,1099.7,906.0,,1004.0,1068.3,1173.4,,952.5,1273.0,833.8,-424.6,-118.7,-413.1,86.0,-322.3,-516.0,,-418.0,-353.7,-248.6,,-469.5,-149.0,-588.2,True,True,True,True,False,,True,True,True,,False,True,False
Pennsylvania,14858,10390.1,11457.9,10414.5,13073.0,11451.0,10379.0,,10425.0,11138.2,11276.4,,10141.3,11227.0,9587.6,-4467.9,-3400.1,-4443.5,-1785.0,-3407.0,-4479.0,,-4433.0,-3719.8,-3581.6,,-4716.7,-3631.0,-5270.4,True,True,True,True,False,,True,True,True,,False,True,False
Rhode Island,1704,1381.7,1383.5,1402.2,1767.0,1842.2,1523.0,,1422.0,1562.9,1533.0,,1260.4,1386.0,1265.4,-322.3,-320.5,-301.8,63.0,138.2,-181.0,,-282.0,-141.1,-171.0,,-443.6,-318.0,-438.6,True,True,True,True,True,,True,True,True,,False,True,False
South Carolina,5124,4721.7,4332.9,4575.3,6147.0,5286.3,4464.0,,4800.0,4758.6,4829.7,,4465.4,4940.0,4492.9,-402.3,-791.1,-548.7,1023.0,162.3,-660.0,,-324.0,-365.4,-294.3,,-658.6,-184.0,-631.1,False,False,False,True,False,,True,True,True,,False,True,False
South Dakota,1446,1214.9,1647.4,1209.1,1789.0,1294.3,977.0,,1118.0,1310.3,1303.4,,949.3,946.0,703.8,-231.1,201.4,-236.9,343.0,-151.7,-469.0,,-328.0,-135.7,-142.6,,-496.7,-500.0,-742.2,True,False,False,True,False,,False,True,True,,False,False,False
Tennessee,6443,5254.4,4768.4,5249.7,5014.0,5754.8,4678.0,,4968.0,6009.7,5160.0,,5120.3,5129.0,4172.9,-1188.6,-1674.6,-1193.3,-1429.0,-688.2,-1765.0,,-1475.0,-433.3,-1283.0,,-1322.7,-1314.0,-2270.1,False,False,False,True,False,,False,True,False,,False,False,False
Texas,26916,23860.6,27204.3,23915.3,32338.0,24551.1,21202.0,,23489.0,24210.3,25328.7,,23367.9,25855.0,21414.2,-2942.4,401.3,-2887.7,5535.0,-2251.9,-5601.0,,-3314.0,-2592.7,-1474.3,,-3435.1,-948.0,-5388.8,True,True,False,True,False,,False,True,True,,False,True,False
Utah,1212,967.6,1642.6,1035.8,1391.0,1388.5,788.0,,1094.0,1004.5,749.5,,1100.3,957.0,594.2,-244.4,430.6,-176.2,179.0,176.5,-424.0,,-118.0,-207.5,-462.5,,-111.7,-255.0,-617.8,False,True,True,True,False,,True,True,False,,True,False,False
Vermont,121,65.9,323.1,67.4,59.0,58.7,68.0,,66.0,59.0,63.6,,60.3,62.0,59.6,-55.1,202.1,-53.6,-62.0,-62.3,-53.0,,-55.0,-62.0,-57.4,,-60.7,-59.0,-61.4,False,True,False,False,True,,True,False,False,,False,False,False
Virginia,4840,4063.6,3818.9,4082.2,4730.0,4620.3,4047.0,,4361.0,4217.7,4654.9,,3903.0,4225.0,4106.6,-776.4,-1021.1,-757.8,-110.0,-219.7,-793.0,,-479.0,-622.3,-185.1,,-937.0,-615.0,-733.4,False,True,True,True,False,,True,True,True,,False,True,True
Washington,3184,2939.6,3452.0,2950.2,3702.0,3392.7,2692.0,,2958.0,3064.1,3111.1,,2949.6,3390.0,2666.6,-261.4,251.0,-250.8,501.0,191.7,-509.0,,-243.0,-136.9,-89.9,,-251.4,189.0,-534.4,True,True,False,True,False,,True,True,True,,True,True,False
West Virginia,1253,805.7,1132.9,811.0,2149.0,802.1,771.0,,929.0,880.6,1223.6,,746.1,814.0,597.1,-447.3,-120.1,-442.0,896.0,-450.9,-482.0,,-324.0,-372.4,-29.4,,-506.9,-439.0,-655.9,True,True,False,False,False,,True,True,True,,False,True,False
Wisconsin,5029,4129.1,4716.5,4192.0,9342.0,5463.3,3502.0,,4116.0,5601.7,6029.1,,3717.0,3855.0,2782.3,-641.9,-54.5,-579.0,4571.0,692.3,-1269.0,,-655.0,830.7,1258.1,,-1054.0,-916.0,-1988.7,True,True,False,False,False,,False,False,False,,False,False,False
Wyoming,373,299.1,266.9,303.0,861.0,445.8,249.0,,286.0,309.7,571.8,,173.5,305.0,147.9,-73.9,-106.1,-70.0,488.0,72.8,-124.0,,-87.0,-63.3,198.8,,-199.5,-68.0,-225.1,False,True,False,True,False,,False,True,False,,False,True,False
US,331909,282782.4,311499.9,282691.4,359151.0,328422.1,290940.0,298909.0,279546.0,299359.2,303549.0,309559.5,286698.3,301799.5,260065.8,-48250.6,-19533.1,-48341.6,28118.0,-2610.9,-40093.0,-32124.0,-51487.0,-31673.8,-27484.0,-21473.5,-44334.7,-29233.5,-70967.2,True,False,True,True,True,True,False,True,True,True,True,True,False
