,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Georgia,10685,10766.9,9540.1,10810.0,23183.0,9990.0,,10558.0,12283.6,11750.8,10051.0,11481.5,,10327.0,14372.0,,9906.8,10704.0,9714.4,81.9,-1144.9,125.0,12498.0,-695.0,,-127.0,1598.6,1065.8,-634.0,796.5,,-358.0,3687.0,,-778.2,19.0,-970.6,False,False,False,False,,False,False,False,False,False,,False,False,,False,True,False
Hawaii,285,227.9,227.0,239.9,,267.0,,,257.1,242.6,409.1,274.0,,973.9,658.0,,250.3,244.5,246.1,-57.1,-58.0,-45.1,,-18.0,,,-27.9,-42.4,124.1,-11.0,,688.9,373.0,,-34.7,-40.5,-38.9,False,True,,True,,,True,True,False,True,,False,False,,True,True,True
Idaho,1354,1186.6,1417.3,1215.0,1642.0,957.0,,1279.0,1556.0,1214.3,1182.8,1159.0,,1140.8,1625.0,,1121.4,1214.6,893.3,-167.4,63.3,-139.0,288.0,-397.0,,-75.0,202.0,-139.7,-171.2,-195.0,,-213.2,271.0,,-232.6,-139.4,-460.7,True,True,False,False,,True,False,True,False,False,,False,False,,False,True,False
Illinois,17224,14816.9,18462.0,14688.1,28920.0,17387.0,,14786.0,16744.1,21404.0,15196.4,16848.0,14688.5,14006.0,13958.0,,12068.9,24725.6,12198.2,-2407.1,1238.0,-2535.9,11696.0,163.0,,-2438.0,-479.9,4180.0,-2027.6,-376.0,-2535.5,-3218.0,-3266.0,,-5155.1,7501.6,-5025.8,True,False,False,True,,False,True,False,True,True,False,False,False,,False,False,False
Indiana,8904,6555.9,7801.0,6664.5,12419.0,11924.0,,6907.0,8764.4,9951.2,7196.3,7809.0,6905.5,7998.4,6877.0,,6122.9,12915.9,5148.8,-1998.1,-753.0,-1889.5,3865.0,3370.0,,-1647.0,210.4,1397.2,-1357.7,-745.0,-1648.5,-555.6,-1677.0,,-2431.1,4361.9,-3405.2,True,True,False,False,,True,True,True,True,True,True,True,True,,False,False,False
Iowa,3743,2832.4,4015.8,2843.0,20664.0,4325.0,,2964.0,3590.1,6083.5,3343.2,3576.5,,5334.0,2654.0,,2710.4,3916.4,2259.4,-910.6,272.8,-900.0,16921.0,582.0,,-779.0,-152.9,2340.5,-399.8,-166.5,,1591.0,-1089.0,,-1032.6,173.4,-1483.6,True,True,False,True,,True,True,False,True,True,,False,False,,False,True,False
Kansas,2503,1681.9,2177.0,1700.1,4542.0,1665.0,,1815.0,2108.3,2400.4,2075.6,1673.0,,2050.5,1771.0,,1669.7,1865.7,1400.2,-749.1,-254.0,-730.9,2111.0,-766.0,,-616.0,-322.7,-30.6,-355.4,-758.0,,-380.5,-660.0,,-761.3,-565.3,-1030.8,True,True,False,False,,True,True,True,True,False,,True,True,,False,True,False
Kentucky,2534,2223.3,2756.8,2240.0,2747.0,2244.0,,2243.0,2609.8,2331.1,2884.2,2092.0,2916.0,1970.8,2470.0,,2343.9,3417.5,1886.7,-310.7,222.8,-294.0,213.0,-290.0,,-291.0,75.8,-202.9,350.2,-442.0,382.0,-563.2,-64.0,,-190.1,883.5,-647.3,True,True,True,True,,True,True,True,False,False,False,False,True,,True,False,False
Louisiana,7272,6618.9,7121.1,6752.6,7687.0,6318.0,,6611.0,6922.8,8506.2,6660.1,6848.0,,6557.6,6407.0,,6948.0,7388.6,6290.0,-642.1,-139.9,-508.4,426.0,-943.0,,-650.0,-338.2,1245.2,-600.9,-413.0,,-703.4,-854.0,,-313.0,127.6,-971.0,True,True,True,False,,False,True,False,True,True,,False,False,,True,True,False
Maine,319,241.1,309.6,235.0,1834.0,540.0,,217.0,212.3,728.7,458.1,193.0,,174.6,175.0,,225.1,386.1,175.7,-77.9,-9.4,-84.0,1515.0,221.0,,-102.0,-106.7,409.7,139.1,-126.0,,-144.4,-144.0,,-93.9,67.1,-143.3,True,False,False,False,,False,False,False,False,False,,False,False,,False,True,False
Maryland,5680,4829.1,5652.7,4846.3,6929.0,4928.0,,4687.0,5140.0,5632.7,5235.9,5041.0,,4793.5,4419.0,,4785.4,7193.0,4499.2,-850.9,-27.3,-833.7,1249.0,-752.0,,-993.0,-540.0,-47.3,-444.1,-639.0,,-886.5,-1261.0,,-894.6,1513.0,-1180.8,True,True,False,True,,False,True,True,True,True,,False,False,,False,False,False
Massachusetts,12010,11383.3,11760.3,11293.2,16118.0,11919.0,,11564.0,12362.5,14803.4,11724.5,11425.5,,10747.0,10951.0,,10914.4,17966.1,10720.3,-626.7,-249.7,-716.8,4108.0,-91.0,,-446.0,352.5,2793.4,-285.5,-584.5,,-1263.0,-1059.0,,-1095.6,5956.1,-1289.7,True,False,False,True,,True,True,False,True,True,,False,False,,False,False,False
Michigan,12690,10900.4,14298.6,10961.3,21508.0,16469.0,,10829.0,12573.9,15093.9,12153.9,13675.5,10649.0,9335.3,10019.5,,10347.9,20371.2,8715.1,-1789.6,1608.6,-1728.7,8818.0,3779.0,,-1861.0,-116.1,2403.9,-536.1,985.5,-2041.0,-3354.7,-2670.5,,-2342.1,7681.2,-3974.9,True,True,False,False,,False,True,False,True,True,False,False,False,,False,False,False
Minnesota,5166,4431.1,7126.7,4435.0,20005.0,6394.0,,4860.0,5540.4,8516.1,4965.2,6262.5,3776.0,3815.6,5000.5,,4174.0,8753.9,3229.5,-734.9,1960.7,-731.0,14839.0,1228.0,,-306.0,374.4,3350.1,-200.8,1096.5,-1390.0,-1350.4,-165.5,,-992.0,3587.9,-1936.5,False,True,False,False,,True,True,False,True,False,False,False,True,,False,False,False
Mississippi,4565,4128.7,4306.2,4182.7,4323.0,3831.0,,4242.0,4442.6,4310.5,4024.0,4342.0,,4247.9,4042.0,,4170.7,4876.4,3876.1,-436.3,-258.8,-382.3,-242.0,-734.0,,-323.0,-122.4,-254.5,-541.0,-223.0,,-317.1,-523.0,,-394.3,311.4,-688.9,True,True,True,False,,True,True,True,False,True,,True,False,,True,True,False
Missouri,5500,4687.3,6271.0,4737.5,10731.0,4534.0,,4832.0,5622.2,6541.7,5013.7,4364.0,,6473.5,5079.0,,3827.4,5986.2,3650.0,-790.7,793.0,-740.5,5253.0,-944.0,,-646.0,144.2,1063.7,-464.3,-1114.0,,995.5,-399.0,,-1650.6,508.2,-1828.0,False,True,False,False,,True,True,False,True,False,,False,True,,False,True,False
Montana,919,894.9,874.9,928.0,1041.0,1006.0,,1070.0,1301.6,916.0,897.4,1025.0,,623.4,979.0,,685.4,1142.1,684.3,-24.1,-44.1,9.0,122.0,87.0,,151.0,382.6,-3.0,-21.6,106.0,,-295.6,60.0,,-233.6,223.1,-234.7,False,True,False,False,,False,False,True,True,False,,False,False,,False,False,False
Nebraska,1559,1224.1,2128.9,1235.2,3404.0,1462.0,,1384.0,1709.2,1665.2,1392.1,1040.0,,1082.6,1183.0,,876.7,1449.6,901.2,-334.9,569.9,-323.8,1845.0,-97.0,,-175.0,150.2,106.2,-166.9,-519.0,,-476.4,-376.0,,-682.3,-109.4,-657.8,False,True,False,True,,True,True,True,True,False,,False,False,,False,True,False
Nevada,2942,2248.7,2425.5,2255.9,3008.0,2106.0,,2235.0,2459.8,2615.4,2580.0,2428.0,,2656.9,3442.0,,2260.3,2955.7,2089.8,-693.3,-516.5,-686.1,66.0,-836.0,,-707.0,-482.2,-326.6,-362.0,-514.0,,-285.1,500.0,,-681.7,13.7,-852.2,True,True,True,False,,False,True,True,True,True,,True,True,,True,True,False
New Hampshire,701,557.6,757.1,560.0,872.0,661.0,,617.0,621.4,933.2,707.8,620.0,,574.4,625.0,,555.1,1504.8,517.1,-143.4,56.1,-141.0,171.0,-40.0,,-84.0,-79.6,232.2,6.8,-81.0,,-126.6,-76.0,,-145.9,803.8,-183.9,True,True,False,True,,True,True,False,True,True,,True,True,,False,False,False
New Jersey,18613,17368.4,17952.5,17397.9,19868.0,18229.0,,17239.0,17757.7,19663.0,18594.5,18031.0,,17340.7,16638.0,,17194.2,29727.0,16703.2,-1244.6,-660.5,-1215.1,1255.0,-384.0,,-1374.0,-855.3,1050.0,-18.5,-582.0,,-1272.3,-1975.0,,-1418.8,11114.0,-1909.8,True,True,False,True,,False,True,True,True,True,,False,False,,False,False,False
New Mexico,2316,1783.1,1945.0,1832.4,2725.0,1431.0,,1832.0,2508.7,2707.3,1886.9,2127.0,,1698.9,2451.0,,1605.3,2509.1,1356.4,-532.9,-371.0,-483.6,409.0,-885.0,,-484.0,192.7,391.3,-429.1,-189.0,,-617.1,135.0,,-710.7,193.1,-959.6,True,True,True,False,,True,True,True,True,True,,False,True,,False,True,False
New York,37286,34787.6,34891.4,35127.1,41246.0,35356.0,,35102.0,35316.7,44389.9,37603.3,36283.0,,34752.8,33917.0,,34362.0,49443.0,33929.5,-2498.4,-2394.6,-2158.9,3960.0,-1930.0,,-2184.0,-1969.3,7103.9,317.3,-1003.0,,-2533.2,-3369.0,,-2924.0,12157.0,-3356.5,True,True,False,True,,True,True,False,True,True,,False,False,,False,False,False
North Carolina,6526,5971.6,5545.0,5662.0,5856.0,5744.0,,5776.0,6489.0,6001.3,6679.1,5676.0,,5609.1,8192.0,,5670.4,6676.1,5408.1,-554.4,-981.0,-864.0,-670.0,-782.0,,-750.0,-37.0,-524.7,153.1,-850.0,,-916.9,1666.0,,-855.6,150.1,-1117.9,False,False,False,False,,False,True,True,True,False,,False,False,,False,True,False
North Dakota,1264,1304.1,1308.6,1313.8,1994.0,1322.0,,1506.0,1778.4,1114.2,1018.7,1271.0,,1587.3,1344.0,,1017.2,1249.9,958.6,40.1,44.6,49.8,730.0,58.0,,242.0,514.4,-149.8,-245.3,7.0,,323.3,80.0,,-246.8,-14.1,-305.4,False,False,False,False,,False,False,False,False,True,,False,False,,False,True,False
Ohio,12625,6922.7,8296.6,6961.7,12273.0,6685.0,,7579.0,7934.4,11568.7,9825.0,9769.0,9107.5,14240.2,7202.0,,6436.6,16366.5,6238.5,-5218.3,-3844.4,-5179.3,132.0,-5456.0,,-4562.0,-4206.6,-572.3,-2316.0,-2372.0,-3033.5,2099.2,-4939.0,,-5704.4,4225.5,-5902.5,True,True,True,False,,True,True,True,True,True,True,True,True,,False,True,False
Oklahoma,2357,2055.1,2444.8,2037.9,4257.0,2040.0,,2192.0,2567.8,3216.3,2360.7,2618.0,,1821.7,1944.0,,1886.6,3142.5,1754.8,-301.9,87.8,-319.1,1900.0,-317.0,,-165.0,210.8,859.3,3.7,261.0,,-535.3,-413.0,,-470.4,785.5,-602.2,True,False,False,False,,True,True,False,True,True,,False,False,,False,False,False
Oregon,1422,942.6,1064.6,938.7,2635.0,959.0,,1023.0,1266.1,1757.8,1612.7,1178.0,,856.9,1101.0,,880.9,1501.3,855.1,-479.4,-357.4,-483.3,1213.0,-463.0,,-399.0,-155.9,335.8,190.7,-244.0,,-565.1,-321.0,,-541.1,79.3,-566.9,True,False,False,True,,True,True,True,True,True,,False,True,,False,True,False
Pennsylvania,14858,10959.3,13276.8,10758.1,16050.0,12290.0,,10776.0,12032.1,17046.9,13161.6,11406.0,,12137.7,12261.5,,10450.4,20384.0,9823.4,-3898.7,-1581.2,-4099.9,1192.0,-2568.0,,-4082.0,-2825.9,2188.9,-1696.4,-3452.0,,-2720.3,-2596.5,,-4407.6,5526.0,-5034.6,True,False,True,True,,False,True,True,True,True,,True,True,,False,False,False
Rhode Island,1856,1429.7,1493.6,1440.4,1650.0,1639.0,,1439.0,1624.5,1816.5,1508.7,1434.0,,1682.4,1462.0,,1376.0,1916.0,1285.4,-389.3,-325.4,-378.6,-169.0,-180.0,,-380.0,-194.5,-2.5,-310.3,-385.0,,-136.6,-357.0,,-443.0,97.0,-533.6,True,True,True,True,,True,True,True,True,True,,True,True,,False,True,False
South Carolina,5124,4557.1,4566.7,4680.4,5423.0,4498.0,,4585.5,4824.3,4728.5,4886.1,4370.0,,4532.8,4652.0,,4702.8,5617.1,4509.8,-566.9,-557.3,-443.6,299.0,-626.0,,-538.5,-299.7,-395.5,-237.9,-754.0,,-591.2,-472.0,,-421.2,493.1,-614.2,True,True,True,False,,True,True,True,True,False,,False,True,,True,True,False
South Dakota,1446,1276.6,1321.9,1209.0,1504.0,1075.0,,1335.0,1665.2,1191.8,881.5,1358.0,,2012.8,1196.0,,727.3,1211.6,834.0,-169.4,-124.1,-237.0,58.0,-371.0,,-111.0,219.2,-254.2,-564.5,-88.0,,566.8,-250.0,,-718.7,-234.4,-612.0,True,False,True,False,,True,False,False,False,True,,False,False,,False,False,False
Tennessee,6443,5638.4,7327.7,5599.1,6878.0,4932.0,,5810.0,6477.2,6539.0,5481.6,6495.0,,4932.2,6052.0,,5199.5,5681.9,4464.8,-804.6,884.7,-843.9,435.0,-1511.0,,-633.0,34.2,96.0,-961.4,52.0,,-1510.8,-391.0,,-1243.5,-761.1,-1978.2,False,False,True,False,,True,True,True,False,True,,False,True,,False,True,False
Texas,27075,24768.6,27115.0,24547.7,33907.0,21900.0,,23704.0,26746.1,29443.5,24135.7,27689.5,,24176.9,30946.5,,23737.6,27092.5,22085.1,-1928.4,418.0,-2149.3,7210.0,-4797.0,,-2993.0,49.1,2746.5,-2561.3,992.5,,-2520.1,4249.5,,-2959.4,395.5,-4611.9,True,False,False,False,,False,True,False,False,True,,False,False,,False,True,False
Utah,1212,1063.6,1580.4,1022.1,2313.0,863.0,,1230.0,1311.2,907.7,1456.0,1285.0,,837.0,1249.0,,1023.6,1396.1,634.2,-148.4,368.4,-189.9,1101.0,-349.0,,18.0,99.2,-304.3,244.0,73.0,,-375.0,37.0,,-188.4,184.1,-577.8,False,False,False,False,,True,True,False,False,True,,False,True,,False,False,False
Vermont,121,59.0,73.5,61.8,101.0,69.0,,65.0,59.0,137.7,131.0,60.0,,63.3,59.0,,59.5,304.5,59.5,-62.0,-47.5,-59.2,-20.0,-52.0,,-56.0,-62.0,16.7,10.0,-61.0,,-57.7,-62.0,,-61.5,183.5,-61.5,True,True,True,True,,True,False,True,True,True,,True,False,,True,False,True
Virginia,4840,4344.7,5372.3,4373.0,4506.0,4237.0,,4430.0,4253.3,4522.2,5031.9,4087.0,,4427.3,4795.0,,4321.2,4916.9,4149.2,-495.3,532.3,-467.0,-334.0,-603.0,,-410.0,-586.7,-317.8,191.9,-753.0,,-412.7,-45.0,,-518.8,76.9,-690.8,False,True,True,False,,True,False,True,True,False,,True,True,,False,True,False
Washington,3184,2987.6,3554.8,2998.2,6840.0,2759.0,,3029.0,3462.9,4329.7,3890.2,3886.0,,2933.6,3063.0,,2990.5,5290.0,2727.8,-210.4,356.8,-199.8,3642.0,-439.0,,-169.0,264.9,1131.7,692.2,688.0,,-264.4,-135.0,,-207.5,2092.0,-470.2,False,True,False,False,,True,False,False,False,False,,False,True,,True,False,False
West Virginia,1253,1038.9,1434.5,1000.0,2670.0,840.0,,1095.0,1134.7,1786.9,1130.5,1210.0,,794.2,742.0,,928.0,1385.4,693.1,-214.1,181.5,-253.0,1417.0,-413.0,,-158.0,-118.3,533.9,-122.5,-43.0,,-458.8,-511.0,,-325.0,132.4,-559.9,True,False,False,False,,True,True,False,True,True,,False,False,,False,True,False
Wisconsin,5029,3811.1,3690.9,3885.3,4817.0,4162.0,,4102.0,5619.7,5079.0,4839.5,3179.5,4278.5,5189.0,3781.0,,3773.9,5803.3,3263.7,-1217.9,-1338.1,-1143.7,-212.0,-867.0,,-927.0,590.7,50.0,-189.5,-1849.5,-750.5,160.0,-1248.0,,-1255.1,774.3,-1765.3,False,True,True,True,,True,True,True,True,False,True,True,False,,False,True,False
Wyoming,373,319.7,431.6,324.0,1193.0,305.0,,307.0,445.4,621.2,366.7,276.0,,176.1,815.0,,203.4,342.1,198.4,-53.3,58.6,-49.0,820.0,-68.0,,-66.0,72.4,248.2,-6.3,-97.0,,-196.9,442.0,,-169.6,-30.9,-174.6,False,True,False,False,,False,False,False,True,False,,False,False,,False,True,False
US,337631,291424.1,320435.2,291052.3,348855.0,308114.0,308122.0,293361.0,323323.6,367809.5,317464.7,315752.5,,301995.2,328767.5,330041.5,296081.3,414718.5,266983.1,-44828.9,-15817.8,-45200.7,12602.0,-28139.0,-28131.0,-42892.0,-12929.4,31556.5,-18788.3,-20500.5,,-34257.8,-7485.5,-6211.5,-40171.7,78465.5,-69269.9,True,False,True,True,True,True,True,True,True,True,,True,True,True,True,False,False
