,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,10685,10846.0,11402.5,10999.5,11088.0,10899.8,10934.0,10750.0,10828.2,9845.0,10163.4,11185.0,11022.3,10880.5,10806.4,,10423.8,10817.0,10888.7,10720.8,10830.0,10104.8,11100.2,10884.0,11145.9,10736.0,10943.3,11024.5,10983.2,,10556.4,11305.6,10838.0,,11168.8,12051.1,11194.0,10660.7,10887.0,11003.8,,10909.5,10958.8,11019.0,,11056.0,10589.0,,10056.9,10380.0,161.0,717.5,314.5,403.0,214.8,249.0,65.0,143.2,-840.0,-521.6,500.0,337.3,195.5,121.4,,-261.2,132.0,203.7,35.8,145.0,-580.2,415.2,199.0,460.9,51.0,258.3,339.5,298.2,,-128.6,620.6,153.0,,483.8,1366.1,509.0,-24.3,202.0,318.8,,224.5,273.8,334.0,,371.0,-96.0,,-628.1,-305.0,False,False,False,False,False,True,True,False,False,False,False,False,True,,False,True,False,True,True,False,False,False,False,True,False,False,False,,True,False,True,,False,False,False,True,False,False,,False,False,False,,False,True,,False,False
Hawaii,285,313.4,363.7,324.3,327.0,324.0,302.0,285.0,299.2,269.0,255.8,285.0,292.9,,296.6,,285.7,,284.7,293.9,309.0,309.1,301.6,290.0,297.9,320.0,308.6,301.6,309.6,,540.4,282.4,351.0,,,369.7,305.0,291.2,301.0,279.0,,278.6,331.2,299.0,,315.0,314.0,360.3,279.3,351.0,28.4,78.7,39.3,42.0,39.0,17.0,0.0,14.2,-16.0,-29.2,0.0,7.9,,11.6,,0.7,,-0.3,8.9,24.0,24.1,16.6,5.0,12.9,35.0,23.6,16.6,24.6,,255.4,-2.6,66.0,,,84.7,20.0,6.2,16.0,-6.0,,-6.4,46.2,14.0,,30.0,29.0,75.3,-5.7,66.0,False,False,False,False,True,True,True,True,False,True,True,,True,,True,,True,True,True,True,True,True,True,False,True,True,True,,False,True,False,,,False,True,True,True,True,,True,False,True,,False,False,False,True,False
Idaho,1354,1363.6,1519.5,1385.2,1497.0,1389.0,1359.0,1239.0,1336.8,1174.0,1268.7,1285.0,1351.2,1376.8,1364.0,,1434.8,1415.0,1434.9,1321.6,1487.0,1263.9,1360.0,1279.0,1370.9,1352.0,1393.9,1351.0,1362.1,,1261.6,1446.3,1308.0,,,1505.9,1402.0,1271.0,1397.0,1411.3,,1362.5,1417.6,1265.0,,1327.0,1201.5,1357.3,1151.1,1346.0,9.6,165.5,31.2,143.0,35.0,5.0,-115.0,-17.2,-180.0,-85.3,-69.0,-2.8,22.8,10.0,,80.8,61.0,80.9,-32.4,133.0,-90.1,6.0,-75.0,16.9,-2.0,39.9,-3.0,8.1,,-92.4,92.3,-46.0,,,151.9,48.0,-83.0,43.0,57.3,,8.5,63.6,-89.0,,-27.0,-152.5,3.3,-202.9,-8.0,False,False,False,False,True,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,True,False,False,True,False,True,True,,False,False,False,,,False,False,False,False,False,,True,False,False,,False,False,True,False,True
Illinois,17224,17641.7,17889.9,17555.8,18027.0,17549.9,17137.0,16400.0,17217.1,14859.0,16759.3,16754.0,17413.1,17396.7,16223.4,,17471.2,16954.0,17573.9,16616.4,16834.0,15759.7,16878.5,17521.0,17726.0,17131.0,17286.1,17665.1,17789.3,16239.0,15603.7,17664.1,16746.0,,18120.9,18964.2,17137.0,16040.9,16756.0,17373.2,,17590.9,17394.3,16813.0,17180.7,16945.0,17632.5,,14898.1,17803.0,417.7,665.9,331.8,803.0,325.9,-87.0,-824.0,-6.9,-2365.0,-464.7,-470.0,189.1,172.7,-1000.6,,247.2,-270.0,349.9,-607.6,-390.0,-1464.3,-345.5,297.0,502.0,-93.0,62.1,441.1,565.3,-985.0,-1620.3,440.1,-478.0,,896.9,1740.2,-87.0,-1183.1,-468.0,149.2,,366.9,170.3,-411.0,-43.3,-279.0,408.5,,-2325.9,579.0,False,True,False,True,True,False,True,False,False,False,True,True,False,,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,False,,False,False,True,False,False,True,,True,True,True,True,True,True,,False,False
Indiana,8904,7833.4,8270.3,7842.2,8138.0,7838.7,7870.0,7597.0,7805.4,6883.0,7554.2,7767.0,7827.7,8131.3,7636.5,,7675.7,7764.0,8064.1,7742.3,8325.0,6948.4,7978.1,7991.0,8056.1,7705.0,8163.1,8039.1,8079.0,6524.0,8113.2,7863.0,7857.0,,7693.2,8207.5,8033.0,7854.3,7677.0,7929.0,,7876.0,8193.2,7976.0,7821.6,7675.0,7478.0,8752.2,6339.0,8051.0,-325.6,111.3,-316.8,-21.0,-320.3,-289.0,-562.0,-353.6,-1276.0,-604.8,-392.0,-331.3,-27.7,-522.5,,-483.3,-395.0,-94.9,-416.7,166.0,-1210.6,-180.9,-168.0,-102.9,-454.0,4.1,-119.9,-80.0,-1635.0,-45.8,-296.0,-302.0,,-465.8,48.5,-126.0,-304.7,-482.0,-230.0,,-283.0,34.2,-183.0,-337.4,-484.0,-681.0,593.2,-1820.0,-108.0,True,True,True,True,True,False,False,False,False,False,False,True,False,,False,False,True,False,True,False,True,True,True,False,True,True,True,False,True,True,True,,False,True,True,True,False,True,,True,True,True,False,False,False,False,False,True
Iowa,3743,3625.6,3841.4,3653.3,3861.0,3602.9,3459.0,3128.0,3349.1,2773.0,3091.6,3380.0,3681.3,3660.6,3099.2,,3357.2,3800.0,3363.4,3096.2,3524.0,3170.9,3199.2,3262.0,3549.4,3483.0,3638.8,3450.9,3531.3,,4948.9,3384.7,3674.0,,4381.8,4014.6,3255.0,2878.5,3185.0,3660.4,,3546.5,3679.4,3231.0,,3254.0,3459.0,3377.7,2968.6,3742.0,-117.4,98.4,-89.7,118.0,-140.1,-284.0,-615.0,-393.9,-970.0,-651.4,-363.0,-61.7,-82.4,-643.8,,-385.8,57.0,-379.6,-646.8,-219.0,-572.1,-543.8,-481.0,-193.6,-260.0,-104.2,-292.1,-211.7,,1205.9,-358.3,-69.0,,638.8,271.6,-488.0,-864.5,-558.0,-82.6,,-196.5,-63.6,-512.0,,-489.0,-284.0,-365.3,-774.4,-1.0,True,True,False,False,False,False,False,False,False,False,True,True,False,,False,True,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,,False,False,False,False,False,True,,False,True,False,,False,False,False,False,True
Kansas,2503,2520.3,2867.6,2595.2,2718.0,2556.9,2415.0,2211.0,2254.5,1919.0,2184.0,2522.0,2347.0,2544.9,2374.5,,2703.2,2664.0,2575.4,2255.2,2402.0,2053.4,2380.1,2222.0,2287.6,2488.0,2607.4,2328.4,2402.9,,2465.7,2599.0,2542.0,,,3633.4,2410.0,2296.4,2330.0,2274.8,,2420.7,2674.4,2513.0,,2379.0,2248.0,2090.3,1807.6,2266.0,17.3,364.6,92.2,215.0,53.9,-88.0,-292.0,-248.5,-584.0,-319.0,19.0,-156.0,41.9,-128.5,,200.2,161.0,72.4,-247.8,-101.0,-449.6,-122.9,-281.0,-215.4,-15.0,104.4,-174.6,-100.1,,-37.3,96.0,39.0,,,1130.4,-93.0,-206.6,-173.0,-228.2,,-82.3,171.4,10.0,,-124.0,-255.0,-412.7,-695.4,-237.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,True,,False,False,False,False,False
Kentucky,2534,2574.9,2798.3,2599.5,2757.0,2592.9,2645.0,2680.0,2798.8,2370.0,2417.2,2467.0,2530.1,2635.1,2542.9,,2615.0,2584.0,2676.0,2475.2,2687.0,2665.3,2685.6,2547.0,2677.0,2808.0,2733.9,2730.3,2715.9,2642.0,2169.8,2697.5,2544.0,,2477.0,3152.0,2672.0,2965.6,2604.0,2723.2,,2675.1,2769.4,2672.0,,2651.0,2525.5,2481.2,2251.5,2641.0,40.9,264.3,65.5,223.0,58.9,111.0,146.0,264.8,-164.0,-116.8,-67.0,-3.9,101.1,8.9,,81.0,50.0,142.0,-58.8,153.0,131.3,151.6,13.0,143.0,274.0,199.9,196.3,181.9,108.0,-364.2,163.5,10.0,,-57.0,618.0,138.0,431.6,70.0,189.2,,141.1,235.4,138.0,,117.0,-8.5,-52.8,-282.5,107.0,False,False,False,False,False,False,False,False,False,False,True,False,True,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,,False,False,False,,False,True,False,False,False
Louisiana,7272,7089.7,7184.0,7025.1,7132.0,7018.6,7167.0,7038.0,7168.6,6911.0,7372.6,7079.0,7252.3,7231.4,7216.1,,7404.0,7087.0,7256.6,7939.1,7195.0,7034.5,7279.1,7082.0,7163.3,7323.0,7198.4,7248.0,7245.3,,7052.4,7158.1,7393.0,,6985.0,6828.7,7289.0,8127.1,7148.0,7027.2,,7060.1,7218.4,7226.0,,7099.0,7014.0,7423.9,6845.0,7175.0,-182.3,-88.0,-246.9,-140.0,-253.4,-105.0,-234.0,-103.4,-361.0,100.6,-193.0,-19.7,-40.6,-55.9,,132.0,-185.0,-15.4,667.1,-77.0,-237.5,7.1,-190.0,-108.7,51.0,-73.6,-24.0,-26.7,,-219.6,-113.9,121.0,,-287.0,-443.3,17.0,855.1,-124.0,-244.8,,-211.9,-53.6,-46.0,,-173.0,-258.0,151.9,-427.0,-97.0,True,False,True,False,True,False,True,False,True,False,True,True,True,,True,False,True,False,True,False,True,False,True,True,True,True,True,,False,True,True,,False,False,True,False,True,False,,False,True,True,,True,False,True,False,True
Maine,319,329.9,373.3,336.0,359.0,335.0,330.0,261.0,306.7,224.0,296.0,288.0,297.0,352.1,372.7,,280.9,352.0,342.3,306.5,313.0,358.6,328.5,282.0,302.1,356.0,309.3,317.7,328.0,,244.5,365.9,351.0,,,332.8,370.0,308.1,337.0,241.3,,297.5,338.0,287.0,,316.0,326.0,292.8,239.2,363.0,10.9,54.3,17.0,40.0,16.0,11.0,-58.0,-12.3,-95.0,-23.0,-31.0,-22.0,33.1,53.7,,-38.1,33.0,23.3,-12.5,-6.0,39.6,9.5,-37.0,-16.9,37.0,-9.7,-1.3,9.0,,-74.5,46.9,32.0,,,13.8,51.0,-10.9,18.0,-77.7,,-21.5,19.0,-32.0,,-3.0,7.0,-26.2,-79.8,44.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,True,False,False,False,True,True,True,,False,False,False,,,False,False,False,False,False,,False,False,False,,True,True,False,False,False
Maryland,5680,5477.4,5785.5,5467.7,5594.0,5473.7,5629.0,5611.0,5540.2,5067.0,5573.3,5650.0,5617.5,5842.1,5583.3,,5705.2,5484.0,5701.4,5629.0,5503.0,5301.5,5688.8,5712.0,5656.3,5507.0,5639.0,5692.4,5704.8,,5405.4,5651.0,6007.0,,6046.0,5477.5,5727.0,5440.8,5546.0,5383.2,,5427.0,5667.1,5588.0,,5649.0,6168.5,5904.5,4948.3,5774.0,-202.6,105.5,-212.3,-86.0,-206.3,-51.0,-69.0,-139.8,-613.0,-106.7,-30.0,-62.5,162.1,-96.7,,25.2,-196.0,21.4,-51.0,-177.0,-378.5,8.8,32.0,-23.7,-173.0,-41.0,12.4,24.8,,-274.6,-29.0,327.0,,366.0,-202.5,47.0,-239.2,-134.0,-296.8,,-253.0,-12.9,-92.0,,-31.0,488.5,224.5,-731.7,94.0,True,False,True,False,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,False,,False,True,True,False,True,False,,False,True,True,,True,False,False,False,True
Massachusetts,12010,11809.7,12051.7,11787.7,11979.0,11783.8,12008.0,12172.0,11933.9,11358.0,11659.3,11942.0,12032.7,12007.3,11982.2,,11841.0,11815.0,11965.9,12068.7,11936.0,11746.0,12284.7,12170.0,12104.1,11775.0,12078.1,12231.2,12170.0,,12452.0,12171.1,11640.0,,12074.7,11947.2,12104.0,12669.8,12090.0,11795.6,,11727.1,12107.6,12337.0,,12095.0,11798.0,11652.2,11250.7,12001.0,-200.3,41.7,-222.3,-31.0,-226.2,-2.0,162.0,-76.1,-652.0,-350.7,-68.0,22.7,-2.7,-27.8,,-169.0,-195.0,-44.1,58.7,-74.0,-264.0,274.7,160.0,94.1,-235.0,68.1,221.2,160.0,,442.0,161.1,-370.0,,64.7,-62.8,94.0,659.8,80.0,-214.4,,-282.9,97.6,327.0,,85.0,-212.0,-357.8,-759.3,-9.0,True,False,True,False,True,True,True,False,False,True,True,True,True,,True,True,True,True,True,False,False,True,True,False,True,False,True,,False,True,False,,True,True,True,False,True,False,,False,True,False,,True,False,False,False,True
Michigan,12690,12761.0,13542.2,12858.8,13176.0,12882.8,12702.0,11922.0,12784.2,10741.0,12499.1,12395.0,12920.5,12685.9,11825.9,,12141.5,12623.0,13153.4,12283.1,12935.0,11753.1,12859.5,13262.5,12695.4,12670.0,13113.9,13037.4,13107.8,10234.0,11136.4,12706.2,12452.0,,12530.6,15655.5,12821.0,11956.6,11765.0,12902.1,,12992.0,13184.3,12700.0,12849.4,12656.0,12355.5,12914.2,10613.6,12894.0,71.0,852.2,168.8,486.0,192.8,12.0,-768.0,94.2,-1949.0,-190.9,-295.0,230.5,-4.1,-864.1,,-548.5,-67.0,463.4,-406.9,245.0,-936.9,169.5,572.5,5.4,-20.0,423.9,347.4,417.8,-2456.0,-1553.6,16.2,-238.0,,-159.4,2965.5,131.0,-733.4,-925.0,212.1,,302.0,494.3,10.0,159.4,-34.0,-334.5,224.2,-2076.4,204.0,False,False,False,False,True,False,False,False,False,False,False,True,False,,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,,False,False,False,False,False,False,,False,False,True,False,True,False,False,False,False
Minnesota,5166,5203.0,5259.9,5171.4,5448.0,5176.1,5231.0,5210.0,5410.4,4453.0,5368.4,5987.0,5347.6,5231.0,4864.7,,5337.1,5387.0,5504.0,5218.0,5216.0,4826.5,5195.5,4811.0,5333.3,5502.0,5610.2,5641.7,5602.4,4406.5,5248.3,5096.7,5031.0,,7507.7,5652.4,5088.0,4588.4,5165.0,5274.1,,5738.5,5626.9,5206.0,,5146.0,5145.5,5133.5,4293.4,5260.0,37.0,93.9,5.4,282.0,10.1,65.0,44.0,244.4,-713.0,202.4,821.0,181.6,65.0,-301.3,,171.1,221.0,338.0,52.0,50.0,-339.5,29.5,-355.0,167.3,336.0,444.2,475.7,436.4,-759.5,82.3,-69.3,-135.0,,2341.7,486.4,-78.0,-577.6,-1.0,108.1,,572.5,460.9,40.0,,-20.0,-20.5,-32.5,-872.6,94.0,False,True,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,,False,False,False,,True,True,True,False,False
Mississippi,4565,4403.9,4431.6,4455.0,4536.0,4458.8,4494.0,4216.0,4529.1,4424.0,4394.3,4327.0,4514.3,4597.3,4543.1,,4455.2,4378.0,4536.3,4609.5,4481.0,4233.4,4543.6,4562.0,4503.4,4440.0,4555.4,4569.8,4550.4,,4390.5,4580.1,4074.5,,4388.8,4935.5,4684.0,4576.4,4407.0,4495.7,,4334.6,4583.2,4671.0,,4505.0,4494.5,4375.1,4165.5,4519.0,-161.1,-133.4,-110.0,-29.0,-106.2,-71.0,-349.0,-35.9,-141.0,-170.7,-238.0,-50.7,32.3,-21.9,,-109.8,-187.0,-28.7,44.5,-84.0,-331.6,-21.4,-3.0,-61.6,-125.0,-9.6,4.8,-14.6,,-174.5,15.1,-490.5,,-176.2,370.5,119.0,11.4,-158.0,-69.3,,-230.4,18.2,106.0,,-60.0,-70.5,-189.9,-399.5,-46.0,True,True,True,True,True,False,True,True,False,False,True,True,True,,True,False,True,True,True,False,True,True,True,True,True,True,True,,False,True,False,,False,False,True,True,True,True,,False,True,True,,True,True,False,False,True
Missouri,5500,5524.0,6314.9,5544.6,5721.0,5572.2,5367.0,5134.0,5146.1,4490.0,4755.4,5494.0,5100.4,5230.8,4755.6,,5024.3,5405.0,5372.9,4629.8,5322.0,4734.8,5188.2,5101.0,5509.4,5342.0,5396.3,5665.4,5694.8,,5576.6,5626.6,5512.5,,5492.2,7814.6,5330.0,5440.3,4983.0,5529.4,,5360.6,5484.6,5223.0,,5158.0,4948.5,,4375.4,4763.0,53.0,843.9,73.6,250.0,101.2,-104.0,-337.0,-324.9,-981.0,-715.6,23.0,-370.6,-240.2,-715.4,,-446.7,-66.0,-98.1,-841.2,-149.0,-736.2,-282.8,-370.0,38.4,-129.0,-74.7,194.4,223.8,,105.6,155.6,41.5,,21.2,2343.6,-141.0,-30.7,-488.0,58.4,,-110.4,13.6,-248.0,,-313.0,-522.5,,-1095.6,-708.0,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,True,,True,False,False,True,False,False,,False,True,False,,False,False,,False,False
Montana,919,921.7,871.4,936.1,960.0,929.0,937.0,945.0,906.6,833.0,968.1,888.0,896.0,940.8,917.3,,1394.2,1013.0,1012.0,952.5,979.0,887.5,935.8,912.0,915.4,1017.0,961.5,989.7,982.0,,822.6,888.9,928.0,,,835.1,958.0,933.1,897.0,947.0,,1048.6,989.0,970.0,,877.0,859.0,952.6,847.0,,2.7,-47.6,17.1,41.0,10.0,18.0,26.0,-12.4,-86.0,49.1,-31.0,-23.0,21.8,-1.7,,475.2,94.0,93.0,33.5,60.0,-31.5,16.8,-7.0,-3.6,98.0,42.5,70.7,63.0,,-96.4,-30.1,9.0,,,-83.9,39.0,14.1,-22.0,28.0,,129.6,70.0,51.0,,-42.0,-60.0,33.6,-72.0,,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,,False,False,False,False,
Nebraska,1559,1822.1,2092.4,1775.2,1952.0,1809.0,1696.0,1551.0,1633.3,1335.0,1511.8,1585.0,1720.7,1696.6,1610.7,,1990.9,1945.0,1660.4,1554.8,1776.0,1477.6,1631.4,1820.5,1733.2,1756.0,1732.4,1711.6,1759.1,,1574.5,1825.3,1820.0,,,2156.6,1718.0,1449.1,1628.0,1818.7,,1672.0,1760.4,1541.0,,1618.0,1534.0,1607.6,1346.9,1726.0,263.1,533.4,216.2,393.0,250.0,137.0,-8.0,74.3,-224.0,-47.2,26.0,161.7,137.6,51.7,,431.9,386.0,101.4,-4.2,217.0,-81.4,72.4,261.5,174.2,197.0,173.4,152.6,200.1,,15.5,266.3,261.0,,,597.6,159.0,-109.9,69.0,259.7,,113.0,201.4,-18.0,,59.0,-25.0,48.6,-212.1,167.0,False,True,False,True,True,True,True,True,True,True,True,True,True,,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,,,False,True,True,True,True,,True,True,True,,True,True,True,True,True
Nevada,2942,2826.4,3087.8,2854.0,3024.0,2847.0,2889.0,2798.0,2871.0,2731.0,2789.7,2792.0,2802.7,2976.7,2896.3,,2726.5,2819.0,3014.3,2986.5,2924.0,2739.0,3029.5,3180.0,2961.8,2918.0,2890.0,2932.1,2952.2,,2344.8,2881.2,2827.0,,2800.9,3234.9,2924.0,3227.8,2854.0,2890.2,,2827.8,2918.1,2862.0,,2897.0,3107.5,2784.6,2460.1,2889.0,-115.6,145.8,-88.0,82.0,-95.0,-53.0,-144.0,-71.0,-211.0,-152.3,-150.0,-139.3,34.7,-45.7,,-215.5,-123.0,72.3,44.5,-18.0,-203.0,87.5,238.0,19.8,-24.0,-52.0,-9.9,10.2,,-597.2,-60.8,-115.0,,-141.1,292.9,-18.0,285.8,-88.0,-51.8,,-114.2,-23.9,-80.0,,-45.0,165.5,-157.4,-481.9,-53.0,False,True,True,True,True,False,True,False,False,False,False,True,True,,False,False,True,True,True,False,True,False,True,True,True,True,True,,False,True,True,,False,False,True,False,True,True,,True,True,True,,True,False,False,False,True
New Hampshire,701,672.6,814.3,666.0,692.0,667.0,684.0,685.0,687.0,622.0,592.8,710.0,661.8,691.8,670.8,,565.4,673.0,649.4,646.9,684.0,723.2,700.1,689.0,678.7,694.0,672.3,709.2,708.7,,677.7,691.3,617.0,,,800.9,708.0,810.9,716.0,674.0,,632.3,702.2,709.0,,689.0,788.5,600.3,576.5,671.0,-28.4,113.3,-35.0,-9.0,-34.0,-17.0,-16.0,-14.0,-79.0,-108.2,9.0,-39.2,-9.2,-30.2,,-135.6,-28.0,-51.6,-54.1,-17.0,22.2,-0.9,-12.0,-22.3,-7.0,-28.7,8.2,7.7,,-23.3,-9.7,-84.0,,,99.9,7.0,109.9,15.0,-27.0,,-68.7,1.2,8.0,,-12.0,87.5,-100.7,-124.5,-30.0,False,False,True,False,True,True,True,False,False,True,False,True,False,,False,True,False,False,True,True,True,True,True,True,False,True,True,,True,True,False,,,False,True,False,True,True,,False,True,True,,True,False,False,False,False
New Jersey,18613,18301.0,18662.7,18327.0,18551.0,18330.0,18384.0,18540.0,18432.9,17876.0,18307.5,18182.0,18256.6,18577.9,18479.3,,18730.6,18245.0,18440.9,18362.4,18252.0,18157.7,18529.8,18316.0,18575.1,18434.0,18457.9,18605.5,18622.3,,17857.6,18619.7,17330.0,,18125.7,18455.8,18823.0,18484.4,18313.0,18442.4,,18301.7,18490.2,18284.0,,18406.0,18666.0,18257.5,17470.8,18643.0,-312.0,49.7,-286.0,-62.0,-283.0,-229.0,-73.0,-180.1,-737.0,-305.5,-431.0,-356.4,-35.1,-133.7,,117.6,-368.0,-172.1,-250.6,-361.0,-455.3,-83.2,-297.0,-37.9,-179.0,-155.1,-7.5,9.3,,-755.4,6.7,-1283.0,,-487.3,-157.2,210.0,-128.6,-300.0,-170.6,,-311.3,-122.8,-329.0,,-207.0,53.0,-355.5,-1142.2,30.0,True,True,True,True,True,True,True,False,True,False,False,True,True,,True,False,True,True,False,False,True,True,True,True,True,True,True,,False,True,False,,False,True,True,True,True,True,,True,True,False,,True,True,False,False,True
New Mexico,2316,2346.1,2443.6,2370.0,2550.0,2371.1,2371.0,2183.0,2424.4,2138.0,2582.9,2339.0,2393.7,2432.0,2550.0,,2745.6,2303.0,2564.0,2485.9,2341.0,2119.0,2396.8,2268.0,2345.5,2351.0,2661.3,2454.3,2460.7,,2180.3,2348.8,2766.5,,,2828.9,2469.0,2303.8,2148.0,2260.2,,2454.8,2688.0,2297.0,,2311.0,2212.0,2282.1,1902.9,2487.0,30.1,127.6,54.0,234.0,55.1,55.0,-133.0,108.4,-178.0,266.9,23.0,77.7,116.0,234.0,,429.6,-13.0,248.0,169.9,25.0,-197.0,80.8,-48.0,29.5,35.0,345.3,138.3,144.7,,-135.7,32.8,450.5,,,512.9,153.0,-12.2,-168.0,-55.8,,138.8,372.0,-19.0,,-5.0,-104.0,-33.9,-413.1,171.0,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,True,False,False,True,False,False,False,True,False,False,False,False,,False,False,False,,,False,False,True,False,False,,False,False,True,,True,False,False,False,False
