,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IowaStateLW-STEM,JHUAPL-Bucky,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Montana,919,459.7,911.5,1014.9,432.0,860.2,,383.3,-459.3,-7.5,95.9,-487.0,-58.8,,-535.7,True,True,False,True,,False
Nebraska,1559,714.4,729.3,902.6,797.0,817.5,,628.5,-844.6,-829.7,-656.4,-762.0,-741.5,,-930.5,True,True,True,True,,False
Nevada,2942,2073.6,2315.4,2492.8,1893.0,2079.4,,2389.3,-868.4,-626.6,-449.2,-1049.0,-862.6,,-552.7,True,True,False,True,,True
New Hampshire,701,597.1,763.5,495.7,500.0,573.6,,519.5,-103.9,62.5,-205.3,-201.0,-127.4,,-181.5,True,False,False,False,,False
New Jersey,18613,16586.6,16531.1,17292.2,16468.5,17161.1,,16441.5,-2026.4,-2081.9,-1320.8,-2144.5,-1451.9,,-2171.5,False,True,False,True,,False
New Mexico,2316,1117.3,1078.2,1703.9,1099.0,1408.2,,1019.9,-1198.7,-1237.8,-612.1,-1217.0,-907.8,,-1296.1,False,True,False,True,,False
New York,37286,34260.3,34940.9,34880.7,33796.0,35227.4,,33656.7,-2850.7,-2170.1,-2230.3,-3315.0,-1883.6,,-3454.3,True,True,False,True,,False
North Carolina,6526,5246.6,4946.1,5902.5,5583.0,5863.1,,5082.5,-1279.4,-1579.9,-623.5,-943.0,-662.9,,-1443.5,False,True,True,True,,False
North Dakota,1264,1021.0,1175.8,1005.7,753.0,725.4,,508.2,-243.0,-88.2,-258.3,-511.0,-538.6,,-755.8,True,False,False,False,,False
Ohio,8476,5802.4,5836.5,6831.2,6361.0,6949.7,,6008.6,-2673.6,-2639.5,-1644.8,-2115.0,-1526.3,,-2467.4,True,True,True,True,,True
Oklahoma,2357,1608.3,1701.4,1814.5,1808.0,1561.4,,1662.3,-748.7,-655.6,-542.5,-549.0,-795.6,,-694.7,True,True,True,False,,True
Oregon,1422,892.1,1548.6,927.1,786.0,963.1,,876.3,-529.9,126.6,-494.9,-636.0,-458.9,,-545.7,True,True,False,True,,False
Pennsylvania,14858,9795.7,11058.9,10045.8,9386.0,10191.9,,9050.2,-5062.3,-3799.1,-4812.2,-5472.0,-4666.1,,-5807.8,True,True,False,True,,False
Rhode Island,1704,1260.3,1185.0,1327.4,1229.0,1349.9,,1172.0,-443.7,-519.0,-376.6,-475.0,-354.1,,-532.0,False,True,False,True,,False
South Carolina,5124,4626.9,5073.7,4461.6,4578.0,4302.7,,4625.6,-497.1,-50.3,-662.4,-546.0,-821.3,,-498.4,True,False,False,False,,False
South Dakota,1446,698.6,1118.0,776.2,555.0,763.2,,297.2,-747.4,-328.0,-669.8,-891.0,-682.8,,-1148.8,True,True,False,True,,False
Tennessee,6443,4829.9,6563.8,4688.9,4604.0,4539.9,,4606.8,-1613.1,120.8,-1754.1,-1839.0,-1903.1,,-1836.2,True,False,False,False,,False
Texas,27075,24039.0,27149.9,24637.9,22330.0,20734.7,18956.0,21809.4,-2768.0,342.9,-2169.1,-4477.0,-6072.3,-7851.0,-4997.6,True,True,False,False,False,False
Utah,1212,940.4,1138.8,1129.4,819.0,699.9,,775.7,-271.6,-73.2,-82.6,-393.0,-512.1,,-436.3,True,True,False,False,,False
Vermont,121,58.0,60.8,66.5,59.0,60.1,,59.5,-63.0,-60.2,-54.5,-62.0,-60.9,,-61.5,True,True,True,True,,True
Virginia,4840,4277.9,3855.6,4577.3,4010.0,4437.4,,3800.8,-559.1,-981.4,-259.7,-827.0,-399.6,,-1036.2,False,True,False,True,,False
Washington,3184,2711.1,2808.9,2835.4,2563.0,2802.5,,2759.1,-491.9,-394.1,-367.6,-640.0,-400.5,,-443.9,True,True,False,True,,True
West Virginia,1253,613.0,677.4,642.5,650.0,731.8,,586.4,-640.0,-575.6,-610.5,-603.0,-521.2,,-666.6,True,True,True,True,,False
Wisconsin,5029,2420.4,3079.7,2924.0,2319.0,2498.8,,2125.0,-2477.6,-1818.3,-1974.0,-2579.0,-2399.2,,-2773.0,True,True,False,True,,False
Wyoming,373,64.9,87.4,157.0,87.0,116.9,,70.3,-308.1,-285.6,-216.0,-286.0,-256.1,,-302.7,True,True,True,True,,True
US,332075,269564.0,279348.8,282699.7,261106.0,261849.2,263481.0,258405.9,-61967.0,-52182.2,-48831.3,-70425.0,-69681.8,-68050.0,-73125.1,True,True,False,False,False,False
