,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Illinois,17224,11879.1,15193.5,12089.9,14838.8,10981.0,,10760.9,-5344.9,-2030.5,-5134.1,-2385.2,-6243.0,,-6463.1,True,True,True,False,,False
Indiana,8904,5395.9,7194.9,5540.5,7346.3,4755.0,,4594.3,-3390.1,-1591.1,-3245.5,-1439.7,-4031.0,,-4191.7,True,True,True,False,,False
Iowa,3743,2222.0,2286.9,2364.8,3019.0,2123.0,,2064.3,-1521.0,-1456.1,-1378.2,-724.0,-1620.0,,-1678.7,True,True,True,False,,False
Kansas,2503,1696.9,2348.9,1447.0,2488.3,1300.0,,1320.4,-806.1,-154.1,-1056.0,-14.7,-1203.0,,-1182.6,True,False,True,False,,False
Kentucky,2534,1968.6,2963.1,1958.4,2851.9,1791.0,,1960.6,-565.4,429.1,-575.6,317.9,-743.0,,-573.4,True,False,True,False,,False
Louisiana,7272,6686.4,6314.0,6336.8,7264.5,6353.0,,6938.7,-585.6,-958.0,-935.2,-7.5,-919.0,,-333.3,False,False,True,False,,True
Maine,319,175.6,425.7,158.3,160.5,179.0,,152.1,-143.4,106.7,-160.7,-158.5,-140.0,,-166.9,True,False,False,True,,False
Maryland,5680,4411.6,4878.9,4325.4,4495.1,4239.0,14121.0,4246.1,-1268.4,-801.1,-1354.6,-1184.9,-1441.0,8441.0,-1433.9,True,False,True,False,False,False
Massachusetts,12010,11048.0,11594.1,11064.7,11733.5,10513.0,,10212.1,-962.0,-415.9,-945.3,-276.5,-1497.0,,-1797.9,True,True,True,False,,False
Michigan,12690,8532.7,11111.0,8612.2,9818.1,8064.0,,7834.2,-4157.3,-1579.0,-4077.8,-2871.9,-4626.0,,-4855.8,True,True,True,False,,False
Minnesota,5166,3203.7,4577.7,3241.6,4092.1,3192.0,,2981.9,-1962.3,-588.3,-1924.4,-1073.9,-1974.0,,-2184.1,True,True,True,False,,False
Mississippi,4565,3861.0,4209.9,3951.7,4016.2,3892.0,,3877.4,-704.0,-355.1,-613.3,-548.8,-673.0,,-687.6,True,True,True,True,,True
Missouri,5500,4248.0,5201.5,4505.6,4006.9,4155.0,,3027.2,-1235.0,-281.5,-977.4,-1476.1,-1328.0,,-2455.8,True,True,False,False,,False
Montana,919,546.6,954.0,730.9,575.2,545.0,,427.0,-372.4,35.0,-188.1,-343.8,-374.0,,-492.0,True,True,True,False,,False
Nebraska,1559,833.9,1590.4,951.6,1411.9,762.0,,615.3,-725.1,31.4,-607.4,-147.1,-797.0,,-943.7,True,True,True,False,,False
Nevada,2942,2193.0,2610.6,2276.6,2208.8,2001.0,,2365.8,-749.0,-331.4,-665.4,-733.2,-941.0,,-576.2,True,True,True,False,,True
New Hampshire,701,564.6,543.7,601.5,1042.5,544.0,,506.5,-136.4,-157.3,-99.5,341.5,-157.0,,-194.5,False,True,False,False,,False
New Jersey,18613,16575.7,16517.3,16797.8,16381.1,16423.0,,16419.8,-2037.3,-2095.7,-1815.2,-2231.9,-2190.0,,-2193.2,False,True,False,False,,False
New Mexico,2316,1160.7,1436.1,1578.9,1322.9,1080.0,,1042.1,-1155.3,-879.9,-737.1,-993.1,-1236.0,,-1273.9,True,True,True,False,,False
New York,37286,33978.0,33555.3,34029.0,35924.7,33727.0,,33700.3,-3106.0,-3528.7,-3055.0,-1159.3,-3357.0,,-3383.7,False,True,True,False,,False
North Carolina,6526,5550.6,9219.9,5671.6,6274.1,5132.0,,5047.3,-975.4,2693.9,-854.4,-251.9,-1394.0,,-1478.7,False,True,True,False,,False
North Dakota,1264,1064.4,1151.6,1138.5,968.4,924.0,,630.3,-199.6,-112.4,-125.5,-295.6,-340.0,,-633.7,True,True,False,False,,False
Ohio,12625,5737.3,5627.2,6844.8,7440.5,6407.0,,5957.4,-7143.7,-7253.8,-6036.2,-5440.5,-6474.0,,-6923.6,False,True,True,True,,True
Oklahoma,2357,1890.6,3269.6,1667.3,1855.8,1800.0,,1719.4,-466.4,912.6,-689.7,-501.2,-557.0,,-637.6,False,False,False,False,,False
Oregon,1422,827.0,817.9,977.5,1129.2,750.0,,843.9,-595.0,-604.1,-444.5,-292.8,-672.0,,-578.1,False,True,True,False,,True
Pennsylvania,14858,9795.7,10019.0,10164.7,12061.7,9484.0,,8946.7,-5062.3,-4839.0,-4693.3,-2796.3,-5374.0,,-5911.3,True,True,True,False,,False
Rhode Island,1856,1368.9,1934.7,1289.0,1250.8,1238.0,,1184.9,-463.1,102.7,-543.0,-581.2,-594.0,,-647.1,True,False,False,False,,False
South Carolina,5124,4616.0,4637.5,4336.2,5218.2,4134.0,,4514.3,-508.0,-486.5,-787.8,94.2,-990.0,,-609.7,True,False,True,False,,False
South Dakota,1446,687.7,659.6,961.5,799.8,539.0,,379.3,-758.3,-786.4,-484.5,-646.2,-907.0,,-1066.7,False,True,True,False,,False
Tennessee,6443,4308.7,4480.3,5075.6,6396.5,4349.0,,4437.5,-2134.3,-1962.7,-1367.4,-46.5,-2094.0,,-2005.5,True,True,True,True,,True
Texas,27075,22334.4,23064.3,21224.1,24059.2,22431.0,37838.0,21316.2,-4452.6,-3722.7,-5562.9,-2727.8,-4356.0,11051.0,-5470.8,True,False,True,True,False,False
Utah,1212,799.3,710.4,1128.7,2309.9,820.0,,788.5,-412.7,-501.6,-83.3,1097.9,-392.0,,-423.5,False,True,False,True,,False
Vermont,121,58.0,58.9,63.0,61.2,58.0,,59.5,-63.0,-62.1,-58.0,-59.8,-63.0,,-61.5,True,True,True,False,,True
Virginia,4840,4169.3,4677.0,4231.0,4919.3,4141.0,,3761.9,-667.7,-160.0,-606.0,82.3,-696.0,,-1075.1,True,True,True,False,,False
Washington,3184,2722.0,3522.5,2684.7,2968.2,2604.0,,2751.8,-480.0,320.5,-517.3,-233.8,-598.0,,-450.2,True,False,True,False,,True
West Virginia,1253,569.6,744.2,599.5,743.3,648.0,,581.4,-683.4,-508.8,-653.5,-509.7,-605.0,,-671.6,True,True,True,True,,True
Wisconsin,5029,2648.4,3406.2,3051.8,4622.2,2608.0,,2376.8,-2155.6,-1397.8,-1752.2,-181.8,-2196.0,,-2427.2,True,True,True,False,,False
Wyoming,373,86.6,154.0,144.8,92.5,97.0,,74.6,-286.4,-219.0,-228.2,-280.5,-276.0,,-298.4,True,True,True,True,,False
US,337631,268033.1,300015.5,260140.5,304240.2,257448.0,264299.0,260337.0,-68968.9,-36986.5,-76861.5,-32761.8,-79554.0,-72703.0,-76665.0,True,False,True,False,False,False
