,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Illinois,17224,12432.1,14974.4,11938.6,34844.0,16313.2,,12148.0,13683.0,13830.2,,,11099.4,12631.0,10712.3,-4791.9,-2249.6,-5285.4,17620.0,-910.8,,-5076.0,-3541.0,-3393.8,,,-6124.6,-4593.0,-6511.7,True,False,False,True,,False,True,True,,,False,True,False
Indiana,7801,6202.6,7079.2,6044.4,10921.0,7647.4,,5901.0,7129.2,7128.9,,,5335.0,8020.0,4599.8,-1598.4,-721.8,-1756.6,3120.0,-153.6,,-1900.0,-671.8,-672.1,,,-2466.0,219.0,-3201.2,True,False,False,True,,False,True,True,,,False,True,False
Iowa,3743,2503.0,3139.3,2371.9,5080.0,3075.2,,2485.0,2844.0,2932.1,,,2108.3,3607.0,2007.9,-1240.0,-603.7,-1371.1,1337.0,-667.8,,-1258.0,-899.0,-810.9,,,-1634.7,-136.0,-1735.1,True,False,False,True,,False,True,True,,,False,True,False
Kansas,2503,1567.1,2226.9,1576.5,2886.0,2393.8,,1686.0,2068.4,2228.3,,,1325.2,1539.0,1271.2,-931.9,-272.1,-922.5,387.0,-105.2,,-813.0,-430.6,-270.7,,,-1173.8,-960.0,-1227.8,True,True,True,True,,True,True,True,,,False,False,False
Kentucky,2534,2133.3,2924.3,2132.9,3346.0,2581.5,,2263.0,2512.7,2721.3,,,2081.0,2975.0,1732.4,-400.7,390.3,-401.1,812.0,47.5,,-271.0,-21.3,187.3,,,-453.0,441.0,-801.6,True,False,False,True,,True,True,True,,,False,False,False
Louisiana,7272,6625.3,6557.1,6717.6,7615.0,6726.8,,6571.0,6836.1,6374.5,,,6926.4,6365.0,6246.3,-646.7,-714.9,-554.4,343.0,-545.2,,-701.0,-435.9,-897.5,,,-345.6,-907.0,-1025.7,False,True,True,True,,False,True,False,,,True,False,False
Maine,319,154.9,150.0,159.5,228.0,167.0,,212.0,155.7,293.5,,,153.5,175.0,157.2,-164.1,-169.0,-159.5,-91.0,-152.0,,-107.0,-163.3,-25.5,,,-165.5,-144.0,-161.8,False,True,True,True,,True,True,True,,,False,True,True
Maryland,5680,4592.0,4709.9,4607.0,5300.0,4661.8,,4419.0,4674.4,4553.5,,22265.0,4509.9,4840.0,4406.8,-1088.0,-970.1,-1073.0,-380.0,-1018.2,,-1261.0,-1005.6,-1126.5,,16585.0,-1170.1,-840.0,-1273.2,True,True,True,True,,False,True,False,,False,False,True,False
Massachusetts,12010,11183.7,11243.4,11262.3,15050.0,11935.4,,10884.0,11755.8,11469.6,,,10721.7,12364.0,10313.3,-826.3,-766.6,-747.7,3040.0,-74.6,,-1126.0,-254.2,-540.4,,,-1288.3,354.0,-1696.7,True,True,False,True,,False,True,True,,,False,True,False
Michigan,12690,9089.7,11235.4,9129.1,28734.0,11803.3,,9349.0,10436.4,10889.8,,,8377.7,12022.0,8036.6,-3600.3,-1454.6,-3560.9,16044.0,-886.7,,-3341.0,-2253.6,-1800.2,,,-4312.3,-668.0,-4653.4,True,True,False,True,,True,True,True,,,False,True,False
Minnesota,5166,3526.9,4121.7,3550.7,5056.0,4238.0,,3779.0,4028.4,3589.5,,,3304.1,3690.0,2792.4,-1639.1,-1044.3,-1615.3,-110.0,-928.0,,-1387.0,-1137.6,-1576.5,,,-1861.9,-1476.0,-2373.6,True,True,True,True,,True,True,True,,,False,True,False
Mississippi,4565,4078.7,4030.8,3966.6,4206.0,4115.9,,3901.0,3999.6,3981.6,,,4041.9,3963.0,3742.0,-486.3,-534.2,-598.4,-359.0,-449.1,,-664.0,-565.4,-583.4,,,-523.1,-602.0,-823.0,False,False,True,True,,False,False,False,,,False,False,False
Missouri,5470,4750.9,5203.6,4869.5,6736.0,5625.9,,4362.0,5730.2,4704.5,,,3972.2,4849.0,3412.4,-719.1,-266.4,-600.5,1266.0,155.9,,-1108.0,260.2,-765.5,,,-1497.8,-621.0,-2057.6,True,True,False,True,,False,True,False,,,False,True,False
Montana,919,996.7,981.5,1023.1,927.0,1150.2,,1048.0,1304.2,1387.0,,,837.1,977.0,522.4,77.7,62.5,104.1,8.0,231.2,,129.0,385.2,468.0,,,-81.9,58.0,-396.6,True,False,True,False,,False,False,False,,,False,True,False
Nebraska,1559,1109.7,1856.1,1107.8,1411.0,1314.4,,1098.0,1333.1,1220.8,,,904.4,1106.0,773.9,-449.3,297.1,-451.2,-148.0,-244.6,,-461.0,-225.9,-338.2,,,-654.6,-453.0,-785.1,True,False,True,True,,False,True,True,,,False,False,False
Nevada,2942,2036.3,1944.2,2045.0,2223.0,2294.5,,2029.0,2169.4,2104.7,,,2259.7,2129.0,1981.5,-901.7,-993.8,-893.0,-715.0,-643.5,,-909.0,-768.6,-833.3,,,-678.3,-809.0,-956.5,False,True,True,True,,False,True,True,,,True,True,False
New Hampshire,701,561.6,495.9,565.5,633.0,690.9,,607.0,617.9,601.2,,,542.1,640.0,505.4,-139.4,-205.1,-135.5,-68.0,-10.1,,-94.0,-83.1,-99.8,,,-158.9,-61.0,-195.6,False,True,True,True,,True,True,True,,,False,True,False
New Jersey,18613,16896.1,17440.3,17254.3,18750.0,17259.2,,16834.0,17133.6,17819.7,,,16665.7,17502.0,16542.6,-1716.9,-1172.7,-1358.7,137.0,-1353.8,,-1779.0,-1479.4,-793.3,,,-1947.3,-1111.0,-2070.4,True,True,True,True,,False,True,True,,,False,True,False
New Mexico,2316,1489.6,1588.9,1442.0,1913.0,1813.3,,1377.0,1660.2,1606.7,,,1327.6,1415.0,1148.7,-826.4,-727.1,-874.0,-403.0,-502.7,,-939.0,-655.8,-709.3,,,-988.4,-901.0,-1167.3,True,False,True,True,,False,True,True,,,False,False,False
New York,37286,34422.9,33908.2,35249.9,34143.0,35268.5,,34298.0,34249.2,35349.1,,,33784.0,34539.0,33581.8,-2646.1,-3160.8,-1819.1,-2926.0,-1800.5,,-2771.0,-2819.8,-1719.9,,,-3285.0,-2530.0,-3487.2,False,True,False,True,,False,False,True,,,False,True,False
North Carolina,6526,6158.7,7816.0,6250.1,6851.0,6475.4,,6017.0,6619.2,5905.3,,,5923.3,6656.0,5085.4,-367.3,1290.0,-275.9,325.0,-50.6,,-509.0,93.2,-620.7,,,-602.7,130.0,-1440.6,False,True,True,True,,False,True,False,,,False,True,False
North Dakota,1264,1120.3,834.6,1132.2,2553.0,1558.7,,1149.0,1716.4,1401.8,,,746.9,1424.0,724.5,-143.7,-429.4,-131.8,1289.0,294.7,,-115.0,452.4,137.8,,,-517.1,160.0,-539.5,False,True,False,False,,True,False,True,,,False,False,False
Ohio,8476,6065.1,13082.4,6082.7,9988.0,6660.2,,6858.0,6208.8,6961.6,,,5918.3,6387.0,5879.2,-2410.9,4606.4,-2393.3,1512.0,-1815.8,,-1618.0,-2267.2,-1514.4,,,-2557.7,-2089.0,-2596.8,False,True,True,True,,True,True,True,,,False,True,False
Oklahoma,2357,2099.3,2511.2,2073.1,2214.0,2063.4,,2137.0,2185.0,1936.0,,,1896.7,1851.0,1589.4,-257.7,154.2,-283.9,-143.0,-293.6,,-220.0,-172.0,-421.0,,,-460.3,-506.0,-767.6,True,False,True,False,,True,True,False,,,False,False,False
Oregon,1422,989.6,1172.5,976.8,950.0,1009.5,,919.0,964.0,1006.8,,,877.0,1131.0,796.9,-432.4,-249.5,-445.2,-472.0,-412.5,,-503.0,-458.0,-415.2,,,-545.0,-291.0,-625.1,True,False,False,True,,False,False,True,,,False,True,False
Pennsylvania,14858,10028.7,11069.3,10129.6,14438.0,11459.7,,10342.0,11085.3,11137.2,,,9603.5,10944.0,9432.1,-4829.3,-3788.7,-4728.4,-420.0,-3398.3,,-4516.0,-3772.7,-3720.8,,,-5254.5,-3914.0,-5425.9,True,True,True,True,,True,True,True,,,False,True,False
Rhode Island,1704,1389.6,1478.3,1415.3,3630.0,1932.1,,1405.0,1586.6,1541.1,,,1285.7,1378.0,1220.9,-314.4,-225.7,-288.7,1926.0,228.1,,-299.0,-117.4,-162.9,,,-418.3,-326.0,-483.1,True,True,False,True,,True,True,True,,,False,False,False
South Carolina,5124,4988.9,6892.9,5069.9,7409.0,5085.9,,4907.0,4775.5,4900.4,,,4735.2,5124.0,4454.1,-135.1,1768.9,-54.1,2285.0,-38.1,,-217.0,-348.5,-223.6,,,-388.8,0.0,-669.9,False,True,False,True,,False,False,False,,,False,True,False
South Dakota,1446,924.1,1091.9,897.0,1956.0,1199.7,,904.0,1229.4,1160.4,,,597.5,808.0,568.7,-521.9,-354.1,-549.0,510.0,-246.3,,-542.0,-216.6,-285.6,,,-848.5,-638.0,-877.3,True,False,True,True,,False,True,True,,,False,False,False
Tennessee,6443,5097.3,6665.1,5377.3,9862.0,6016.9,,4858.0,5937.8,5190.5,,,5460.8,4920.0,3943.5,-1345.7,222.1,-1065.7,3419.0,-426.1,,-1585.0,-505.2,-1252.5,,,-982.2,-1523.0,-2499.5,True,True,False,True,,False,True,True,,,True,False,False
Texas,26916,22799.9,23199.9,22866.2,31278.0,23271.5,,23040.0,23577.6,24171.8,,36132.0,22538.2,25254.0,20860.1,-4016.1,-3616.1,-3949.8,4462.0,-3544.5,,-3776.0,-3238.4,-2644.2,,9316.0,-4277.8,-1562.0,-5955.9,True,True,False,True,,True,True,True,,False,False,True,False
Utah,1212,944.0,925.6,891.9,841.0,1300.4,,986.0,1037.9,667.2,,,910.7,854.0,551.1,-268.0,-286.4,-320.1,-371.0,88.4,,-226.0,-174.1,-544.8,,,-301.3,-358.0,-660.9,False,False,False,True,,True,True,False,,,False,False,False
Vermont,121,58.0,58.7,62.6,58.0,59.4,,59.0,58.0,62.8,,,59.3,58.0,57.9,-63.0,-62.3,-58.4,-63.0,-61.6,,-62.0,-63.0,-58.2,,,-61.7,-63.0,-63.1,True,True,False,True,,True,False,True,,,True,False,False
Virginia,4840,4252.1,6863.1,4276.7,5119.0,4480.5,,4557.0,4359.3,4904.9,,,3913.6,4812.0,4121.9,-587.9,2023.1,-563.3,279.0,-359.5,,-283.0,-480.7,64.9,,,-926.4,-28.0,-718.1,False,True,True,True,,True,True,True,,,False,True,False
Washington,3184,2916.0,3263.9,2926.6,3052.0,3062.2,,2888.0,3113.5,2876.3,,,2956.1,3022.0,2639.5,-281.0,66.9,-270.4,-145.0,-134.8,,-309.0,-83.5,-320.7,,,-240.9,-175.0,-557.5,True,True,True,True,,False,True,False,,,True,True,False
West Virginia,1253,735.0,1107.6,738.8,1662.0,675.0,,731.0,753.9,1101.3,,,715.5,846.0,545.4,-518.0,-145.4,-514.2,409.0,-578.0,,-522.0,-499.1,-151.7,,,-537.5,-407.0,-707.6,True,True,True,False,,False,True,True,,,False,True,False
Wisconsin,5029,4160.6,6022.2,4118.1,7881.0,4374.0,,3727.0,4989.8,4773.7,,,3835.6,4065.0,2466.4,-552.4,1309.2,-594.9,3168.0,-339.0,,-986.0,276.8,60.7,,,-877.4,-648.0,-2246.6,False,False,False,True,,False,True,True,,,False,False,False
Wyoming,373,236.3,568.9,239.0,753.0,272.3,,238.0,301.4,438.4,,,152.5,287.0,94.1,-136.7,195.9,-134.0,380.0,-100.7,,-135.0,-71.6,65.4,,,-220.5,-86.0,-278.9,False,True,False,True,,True,True,True,,,False,True,False
US,331909,276267.9,301400.2,275773.0,335758.0,314189.4,289562.0,275370.0,295192.0,291929.6,302787.5,269449.0,273200.0,297154.5,255600.4,-55013.1,-29880.8,-55508.0,4477.0,-17091.6,-41719.0,-55911.0,-36089.0,-39351.4,-28493.5,-61832.0,-58081.0,-34126.5,-75680.6,True,False,True,True,True,False,True,True,True,False,False,True,False
