,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Georgia,10685,10368.6,10296.4,9475.0,15511.5,12894.0,,12264.6,10714.0,11394.7,10097.0,10127.3,11390.4,11699.0,,10412.9,11015.0,,10076.8,,11670.9,9784.1,-316.4,-388.6,-1210.0,4826.5,2209.0,,1579.6,29.0,709.7,-588.0,-557.7,705.4,1014.0,,-272.1,330.0,,-608.2,,985.9,-900.9,False,False,False,False,,False,True,False,False,False,False,False,,True,False,,False,,False,False
Hawaii,285,286.4,276.2,222.0,282.4,274.0,,237.8,,231.0,242.3,329.6,240.2,260.0,,687.2,401.0,,258.5,,258.4,253.5,1.4,-8.8,-63.0,-2.6,-11.0,,-47.2,,-54.0,-42.7,44.6,-44.8,-25.0,,402.2,116.0,,-26.5,,-26.6,-31.5,False,False,False,False,,False,,False,False,False,False,False,,False,False,,False,,False,False
Idaho,1354,1286.1,1287.0,1599.0,1469.3,1294.0,,1375.5,1338.0,1444.0,1189.6,1215.7,1509.3,1211.0,,1156.1,1688.0,,1238.2,,1273.0,988.4,-67.9,-67.0,245.0,115.3,-60.0,,21.5,-16.0,90.0,-164.4,-138.3,155.3,-143.0,,-197.9,334.0,,-115.8,,-81.0,-365.6,True,False,False,True,,True,True,False,False,False,False,False,,False,False,,False,,False,False
Illinois,17224,16363.1,16267.4,17990.0,19335.9,18572.0,,17159.7,16304.0,19180.0,14755.2,15546.2,17457.5,17505.0,14910.0,14752.4,14137.0,,16869.1,,24037.7,13144.7,-860.9,-956.6,766.0,2111.9,1348.0,,-64.3,-920.0,1956.0,-2468.8,-1677.8,233.5,281.0,-2314.0,-2471.6,-3087.0,,-354.9,,6813.7,-4079.3,False,True,False,False,,True,False,False,False,False,True,True,False,False,False,,True,,False,False
Indiana,7801,7223.6,7035.6,10276.0,9238.3,8809.0,,7531.3,7516.0,8774.0,8347.2,7260.4,8552.4,6848.0,5750.0,8265.8,6790.5,,7363.2,,11894.7,5501.9,-577.4,-765.4,2475.0,1437.3,1008.0,,-269.7,-285.0,973.0,546.2,-540.6,751.4,-953.0,-2051.0,464.8,-1010.5,,-437.8,,4093.7,-2299.1,False,False,False,False,,True,True,False,True,True,False,False,False,True,False,,True,,False,False
Iowa,3743,3236.6,3220.7,3869.0,4412.9,3678.0,,3561.0,3295.0,3887.5,2888.5,3182.6,3531.5,2945.0,,5151.0,3627.0,,3336.4,,3991.4,2481.5,-506.4,-522.3,126.0,669.9,-65.0,,-182.0,-448.0,144.5,-854.5,-560.4,-211.5,-798.0,,1408.0,-116.0,,-406.6,,248.4,-1261.5,False,True,False,True,,True,True,True,False,False,True,False,,False,True,,True,,True,False
Kansas,2503,2015.7,2029.9,2470.0,2278.3,2757.0,,1927.1,2176.0,2195.7,2580.9,2103.5,2683.2,2006.0,,2469.0,1775.0,,2202.8,,2052.7,1550.2,-403.3,-389.1,51.0,-140.7,338.0,,-491.9,-243.0,-223.3,161.9,-315.5,264.2,-413.0,,50.0,-644.0,,-216.2,,-366.3,-868.8,True,True,True,True,,False,True,True,True,True,True,False,,True,False,,True,,True,False
Kentucky,2534,2399.0,2407.8,2630.0,2605.0,2453.0,,2820.1,2501.5,2704.7,2605.0,2836.9,2800.2,2456.0,2569.0,2036.5,2211.0,,2561.1,,3523.1,2008.6,-135.0,-126.2,96.0,71.0,-81.0,,286.1,-32.5,170.7,71.0,302.9,266.2,-78.0,35.0,-497.5,-323.0,,27.1,,989.1,-525.4,True,True,True,True,,False,True,False,True,False,False,True,True,False,False,,True,,False,False
Louisiana,7272,6935.1,6793.0,14318.0,7296.8,6700.0,,9045.6,7428.0,7228.9,16886.0,6992.1,7287.8,7334.0,,6782.0,6483.0,,6897.0,,9001.3,6668.7,-336.9,-479.0,7046.0,24.8,-572.0,,1773.6,156.0,-43.1,9614.0,-279.9,15.8,62.0,,-490.0,-789.0,,-375.0,,1729.3,-603.3,False,False,True,False,,False,True,True,False,True,True,True,,False,False,,False,,False,False
Maine,319,229.4,229.0,386.0,373.4,330.0,,249.5,248.0,285.8,240.8,439.4,411.0,350.0,,182.8,217.0,,205.4,,380.7,186.4,-89.6,-90.0,67.0,54.4,11.0,,-69.5,-71.0,-33.2,-78.2,120.4,92.0,31.0,,-136.2,-102.0,,-113.6,,61.7,-132.6,False,True,True,True,,True,True,True,True,False,False,True,,False,False,,False,,True,False
Maryland,5680,5075.1,5025.3,7136.0,5422.5,4967.0,,5423.1,5214.0,5324.8,5502.6,5310.6,6735.0,5519.0,,5129.8,5052.0,,4956.9,,7097.7,4597.6,-604.9,-654.7,1456.0,-257.5,-713.0,,-256.9,-466.0,-355.2,-177.4,-369.4,1055.0,-161.0,,-550.2,-628.0,,-723.1,,1417.7,-1082.4,False,False,True,False,,True,True,True,True,True,False,True,,True,False,,False,,False,False
Massachusetts,12010,11400.9,11467.4,13338.0,12520.8,12475.0,,11948.4,11685.0,12184.4,12432.9,11655.7,12385.4,11356.0,,11401.8,11115.5,,11447.0,,16281.1,10880.6,-609.1,-542.6,1328.0,510.8,465.0,,-61.6,-325.0,174.4,422.9,-354.3,375.4,-654.0,,-608.2,-894.5,,-563.0,,4271.1,-1129.4,True,False,True,True,,True,True,True,True,True,True,False,,True,False,,True,,False,False
Michigan,12690,11298.7,11369.3,15634.0,14942.8,14828.0,,13284.2,12355.0,13157.6,12170.1,12130.8,15477.0,13882.0,10210.5,9835.4,10591.0,,10829.7,,19808.1,9195.4,-1391.3,-1320.7,2944.0,2252.8,2138.0,,594.2,-335.0,467.6,-519.9,-559.2,2787.0,1192.0,-2479.5,-2854.6,-2099.0,,-1860.3,,7118.1,-3494.6,True,False,False,False,,True,True,True,True,True,False,True,False,False,False,,False,,False,False
Minnesota,5166,4929.0,4892.3,11090.0,7254.8,7379.0,,5664.3,5556.0,6329.6,6250.8,4836.9,7669.3,5431.5,4185.0,4002.7,5849.0,,4993.7,,8215.3,3575.4,-237.0,-273.7,5924.0,2088.8,2213.0,,498.3,390.0,1163.6,1084.8,-329.1,2503.3,265.5,-981.0,-1163.3,683.0,,-172.3,,3049.3,-1590.6,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,True,,False,False
Mississippi,4565,4322.0,4241.1,4699.0,4315.9,3991.0,,4493.8,4324.0,4559.3,4462.8,4088.1,4584.3,4472.0,,4150.9,4417.5,,4304.2,,4868.5,3970.8,-243.0,-323.9,134.0,-249.1,-574.0,,-71.2,-241.0,-5.7,-102.2,-476.9,19.3,-93.0,,-414.1,-147.5,,-260.8,,303.5,-594.2,False,True,False,False,,True,True,True,True,False,True,True,,False,True,,False,,False,False
Missouri,5470,4505.7,4508.2,6223.0,5999.1,6604.0,,5352.2,4964.0,5423.1,5144.7,4954.3,5590.9,4270.0,,5756.2,4476.0,,4328.1,,5982.1,3771.7,-964.3,-961.8,753.0,529.1,1134.0,,-117.8,-506.0,-46.9,-325.3,-515.7,120.9,-1200.0,,286.2,-994.0,,-1141.9,,512.1,-1698.3,True,True,True,False,,True,True,True,True,True,True,False,,True,False,,False,,True,False
Montana,919,1006.1,1030.0,1337.0,1243.0,979.0,,723.2,1136.0,1356.2,1478.0,915.9,1216.1,775.0,,700.2,914.0,,990.7,,1079.4,767.9,87.1,111.0,418.0,324.0,60.0,,-195.8,217.0,437.2,559.0,-3.1,297.1,-144.0,,-218.8,-5.0,,71.7,,160.4,-151.1,False,False,False,True,,False,False,False,False,True,False,False,,False,True,,True,,False,False
Nebraska,1559,1540.4,1534.7,2248.0,1798.4,1627.0,,1533.2,1513.0,1937.5,1451.1,1453.5,1915.2,1403.0,,1283.7,1792.5,,1452.1,,1585.8,1050.8,-18.6,-24.3,689.0,239.4,68.0,,-25.8,-46.0,378.5,-107.9,-105.5,356.2,-156.0,,-275.3,233.5,,-106.9,,26.8,-508.2,False,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,,False,False
Nevada,2942,2541.6,2526.0,3236.0,2633.6,2531.0,,2665.3,2312.0,2736.3,2672.3,2670.9,2944.7,2756.0,,2415.6,2262.0,,2585.1,,3140.9,2194.3,-400.4,-416.0,294.0,-308.4,-411.0,,-276.7,-630.0,-205.7,-269.7,-271.1,2.7,-186.0,,-526.4,-680.0,,-356.9,,198.9,-747.7,False,True,True,False,,True,False,True,True,True,True,True,,False,False,,True,,True,False
New Hampshire,701,575.1,553.7,912.0,612.3,842.0,,552.9,631.0,608.1,837.8,809.5,765.9,613.0,,625.6,586.0,,548.6,,1271.4,528.0,-125.9,-147.3,211.0,-88.7,141.0,,-148.1,-70.0,-92.9,136.8,108.5,64.9,-88.0,,-75.4,-115.0,,-152.4,,570.4,-173.0,False,False,True,False,,False,True,True,False,True,True,True,,True,True,,False,,False,False
New Jersey,18613,17708.1,17769.2,20844.0,18549.9,18308.0,,18104.6,17910.0,18185.7,18278.9,18400.6,18957.5,18760.0,,17596.7,16970.0,,18394.7,,26714.8,16901.8,-904.9,-843.8,2231.0,-63.1,-305.0,,-508.4,-703.0,-427.3,-334.1,-212.4,344.5,147.0,,-1016.3,-1643.0,,-218.3,,8101.8,-1711.2,True,False,True,True,,True,True,True,True,True,True,True,,False,False,,True,,False,False
New Mexico,2316,2199.0,2060.1,3328.0,2677.5,2341.0,,2061.8,2242.0,2553.2,2237.9,2052.8,3172.0,3016.0,,1771.6,3290.0,,1935.4,,3405.4,1536.9,-117.0,-255.9,1012.0,361.5,25.0,,-254.2,-74.0,237.2,-78.1,-263.2,856.0,700.0,,-544.4,974.0,,-380.6,,1089.4,-779.1,False,False,False,True,,False,True,False,True,False,False,False,,False,False,,False,,False,False
New York,37286,35713.0,35853.3,41392.0,35960.7,37339.0,,36844.5,35802.0,35808.4,37065.2,37181.4,37528.3,35680.0,,35444.6,34444.5,,37819.9,,47341.3,34473.9,-1573.0,-1432.7,4106.0,-1325.3,53.0,,-441.5,-1484.0,-1477.6,-220.8,-104.6,242.3,-1606.0,,-1841.4,-2841.5,,533.9,,10055.3,-2812.1,True,False,True,True,,True,True,True,True,True,True,False,,False,False,,True,,False,False
North Carolina,6526,6141.4,6250.9,6178.0,6587.3,6423.0,,7282.7,6281.0,6450.9,6231.3,6662.5,6816.2,6046.5,,5748.8,6975.0,,6395.8,,7030.6,5585.3,-384.6,-275.1,-348.0,61.3,-103.0,,756.7,-245.0,-75.1,-294.7,136.5,290.2,-479.5,,-777.2,449.0,,-130.2,,504.6,-940.7,True,True,True,True,,False,True,True,True,True,True,False,,False,False,,True,,False,False
North Dakota,1264,1380.3,1410.1,1358.0,1731.3,1252.0,,1307.1,1526.0,1689.8,1175.3,1072.5,1524.4,1194.0,,2226.8,1414.0,,1130.6,,1337.0,1054.5,116.3,146.1,94.0,467.3,-12.0,,43.1,262.0,425.8,-88.7,-191.5,260.4,-70.0,,962.8,150.0,,-133.4,,73.0,-209.5,False,True,False,True,,True,False,False,True,False,False,True,,False,False,,False,,True,False
Ohio,8476,7326.9,7334.2,10243.0,9195.5,8288.0,,8382.6,8002.0,8418.2,8505.0,9577.0,9834.3,7658.0,10532.5,10601.1,6630.0,,7942.7,,14053.2,6476.0,-1149.1,-1141.8,1767.0,719.5,-188.0,,-93.4,-474.0,-57.8,29.0,1101.0,1358.3,-818.0,2056.5,2125.1,-1846.0,,-533.3,,5577.2,-2000.0,True,False,True,True,,True,True,True,True,True,False,True,False,False,False,,True,,False,False
Oklahoma,2357,2148.9,2164.0,4534.0,2579.0,2520.0,,2335.6,2347.0,2650.1,2753.1,2420.3,2420.5,1992.0,,1958.0,2411.0,,2294.9,,2967.5,1847.7,-208.1,-193.0,2177.0,222.0,163.0,,-21.4,-10.0,293.1,396.1,63.3,63.5,-365.0,,-399.0,54.0,,-62.1,,610.5,-509.3,True,False,False,True,,True,True,False,False,True,True,False,,False,True,,True,,False,False
Oregon,1422,1106.6,1119.0,1804.0,1347.7,1415.0,,1033.8,1195.0,1279.8,1177.5,1601.0,1530.9,1067.5,,858.2,1101.5,,1231.7,,1614.9,913.1,-315.4,-303.0,382.0,-74.3,-7.0,,-388.2,-227.0,-142.2,-244.5,179.0,108.9,-354.5,,-563.8,-320.5,,-190.3,,192.9,-508.9,True,False,True,True,,False,True,True,True,True,True,False,,False,False,,True,,True,False
Pennsylvania,14858,12370.9,12389.7,19740.0,13087.0,13235.0,,13250.3,13495.0,12732.7,14808.3,13391.5,15609.3,16518.0,,13081.8,11999.0,,12408.5,,20733.9,10345.4,-2487.1,-2468.3,4882.0,-1771.0,-1623.0,,-1607.7,-1363.0,-2125.3,-49.7,-1466.5,751.3,1660.0,,-1776.2,-2859.0,,-2449.5,,5875.9,-4512.6,True,False,True,True,,True,True,True,True,True,True,True,,True,False,,True,,False,False
Rhode Island,1704,1488.3,1496.3,1682.0,1641.0,1650.0,,1603.7,1496.0,1624.8,1686.2,1533.7,1726.0,1591.0,,1740.1,1518.0,,1486.1,,2113.2,1312.4,-215.7,-207.7,-22.0,-63.0,-54.0,,-100.3,-208.0,-79.2,-17.8,-170.3,22.0,-113.0,,36.1,-186.0,,-217.9,,409.2,-391.6,True,True,True,True,,True,True,True,True,True,True,True,,True,True,,False,,False,False
South Carolina,5124,5113.6,5094.2,5212.0,5020.8,5119.0,,4613.9,4881.0,4931.6,5072.0,4888.3,4897.3,5139.0,,4297.1,5400.0,,5175.4,,5461.1,4643.7,-10.4,-29.8,88.0,-103.2,-5.0,,-510.1,-243.0,-192.4,-52.0,-235.7,-226.7,15.0,,-826.9,276.0,,51.4,,337.1,-480.3,False,False,False,True,,False,False,False,False,False,False,False,,False,False,,False,,False,False
South Dakota,1446,1669.0,1557.2,1364.0,1585.9,1427.0,,1160.3,1777.0,1882.1,1050.8,983.8,1517.4,1340.0,,1392.2,2040.0,,1211.7,,1225.3,1053.8,223.0,111.2,-82.0,139.9,-19.0,,-285.7,331.0,436.1,-395.2,-462.2,71.4,-106.0,,-53.8,594.0,,-234.3,,-220.7,-392.2,True,True,True,True,,False,False,False,False,False,True,True,,True,False,,False,,True,False
Tennessee,6443,6077.7,5880.0,8925.0,6442.4,6624.0,,6407.6,6208.0,6665.1,6852.2,5630.7,6197.0,6310.5,,4440.6,7981.5,,6037.0,,5581.0,4816.5,-365.3,-563.0,2482.0,-0.6,181.0,,-35.4,-235.0,222.1,409.2,-812.3,-246.0,-132.5,,-2002.4,1538.5,,-406.0,,-862.0,-1626.5,False,False,True,True,,True,True,True,False,False,True,True,,False,False,,False,,False,False
Texas,26916,25957.6,25868.6,30732.0,27213.3,23782.0,,26934.1,27401.0,27932.7,27994.8,24729.0,28822.3,29377.0,,23589.3,28357.0,,25471.5,,27687.4,23053.1,-862.4,-951.4,3912.0,393.3,-3038.0,,114.1,581.0,1112.7,1174.8,-2091.0,2002.3,2557.0,,-3230.7,1537.0,,-1348.5,,867.4,-3766.9,False,False,True,False,,True,True,False,False,False,False,False,,False,False,,False,,False,False
Utah,1212,1157.3,1171.9,1894.0,1588.6,1189.0,,1234.2,1322.0,1378.9,1101.0,1453.5,1542.9,1284.0,,936.8,1285.0,,1213.5,,1410.5,683.8,-54.7,-40.1,682.0,376.6,-23.0,,22.2,110.0,166.9,-111.0,241.5,330.9,72.0,,-275.2,73.0,,1.5,,198.5,-528.2,True,False,False,True,,True,False,False,False,False,False,False,,False,False,,True,,False,False
Vermont,121,82.4,83.0,333.0,57.9,149.0,,65.2,77.0,71.0,89.2,125.3,144.1,69.0,,69.1,63.0,,83.9,,188.6,63.6,-38.6,-38.0,212.0,-63.1,28.0,,-55.8,-44.0,-50.0,-31.8,4.3,23.1,-52.0,,-51.9,-58.0,,-37.1,,67.6,-57.4,True,False,False,True,,False,False,False,True,True,True,False,,False,False,,True,,False,False
Virginia,4840,4608.3,4634.0,4591.0,4524.9,4425.0,,4742.3,4751.0,4550.0,4754.3,5046.6,4864.6,4924.0,,3937.3,4478.0,,4618.2,,5566.5,4258.2,-231.7,-206.0,-249.0,-315.1,-415.0,,-97.7,-89.0,-290.0,-85.7,206.6,24.6,84.0,,-902.7,-362.0,,-221.8,,726.5,-581.8,True,False,False,False,,True,True,False,True,True,True,True,,False,False,,True,,False,False
Washington,3184,3104.7,3118.5,5813.0,4065.4,4107.0,,3131.3,3273.0,3542.9,4305.9,3737.9,3878.7,3067.0,,2948.3,3045.0,,3216.0,,3821.5,2805.9,-86.3,-72.5,2622.0,874.4,916.0,,-59.7,82.0,351.9,1114.9,546.9,687.7,-124.0,,-242.7,-146.0,,25.0,,630.5,-385.1,True,False,False,False,,True,True,False,False,False,False,False,,False,False,,True,,False,False
West Virginia,1253,1050.6,1078.2,2517.0,1507.0,1192.0,,1119.5,1202.0,1345.5,1596.9,1191.1,1780.3,1446.0,,916.6,1842.0,,1108.5,,1292.0,783.9,-202.4,-174.8,1264.0,254.0,-61.0,,-133.5,-51.0,92.5,343.9,-61.9,527.3,193.0,,-336.4,589.0,,-144.5,,39.0,-469.1,True,False,False,True,,True,True,True,False,True,False,True,,False,False,,True,,True,False
Wisconsin,5029,5088.0,5162.2,4469.0,4800.5,4098.0,,5227.8,4908.0,5379.1,4561.6,4861.1,5488.5,4731.0,4402.0,5303.0,4312.0,,5538.9,,6035.0,3811.3,59.0,133.2,-560.0,-228.5,-931.0,,198.8,-121.0,350.1,-467.4,-167.9,459.5,-298.0,-627.0,274.0,-717.0,,509.9,,1006.0,-1217.7,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,,False,False
Wyoming,373,331.4,336.0,760.0,607.2,415.0,,351.1,475.0,430.0,436.6,351.0,601.3,310.0,,237.1,444.0,,293.2,,380.3,237.7,-41.6,-37.0,387.0,234.2,42.0,,-21.9,102.0,57.0,63.6,-22.0,228.3,-63.0,,-135.9,71.0,,-79.8,,7.3,-135.3,True,False,False,False,,True,False,False,False,True,False,False,,False,False,,False,,True,False
US,331909,308146.3,307232.7,347565.0,340245.3,327561.0,322097.0,324309.9,318078.0,332996.6,339225.9,320099.5,349730.6,309101.5,,301902.7,323723.0,335832.2,311631.7,290104.0,406598.5,275841.9,-23586.7,-24500.3,15832.0,8512.3,-4172.0,-9636.0,-7423.1,-13655.0,1263.6,7492.9,-11633.5,17997.6,-22631.5,,-29830.3,-8010.0,4099.2,-20101.3,-41629.0,74865.5,-55891.1,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,False,False,False
