,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Pennsylvania,14858,14986.0,15197.8,15307.0,15201.6,15123.0,15137.0,15134.0,14907.0,15058.5,15342.0,14334.8,15069.0,15467.8,15164.0,15111.6,15061.7,,15117.2,15335.0,15387.2,15199.6,15062.0,15183.3,15143.9,15223.0,15083.3,15195.0,15278.5,15325.7,15127.1,14979.5,,14872.8,15035.8,15490.0,14419.5,14779.0,15085.3,,14662.0,15309.2,15008.2,14891.0,15588.6,15324.0,15315.5,15538.1,13972.7,14947.5,128.0,339.8,449.0,343.6,265.0,279.0,276.0,49.0,200.5,484.0,-523.2,211.0,609.8,306.0,253.6,203.7,,259.2,477.0,529.2,341.6,204.0,325.3,285.9,365.0,225.3,337.0,420.5,467.7,269.1,121.5,,14.8,177.8,632.0,-438.5,-79.0,227.3,,-196.0,451.2,150.2,33.0,730.6,466.0,457.5,680.1,-885.3,89.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,True,False,False,False,True,False,,False,False,False,True,False,False,False,False,False,True
Rhode Island,1704,1724.4,1697.6,1745.8,1741.1,1714.0,1741.0,1741.0,1709.0,1672.6,1749.0,1665.6,1725.0,1842.8,1706.0,1763.9,1742.6,,1758.6,1760.0,1740.9,1748.8,1741.0,1630.8,1734.2,1732.0,1708.3,1727.0,1736.9,1755.5,1749.0,1748.0,,,1781.2,1691.0,1745.4,1652.0,1736.8,,1712.4,1747.5,1733.4,1716.0,1749.5,1735.0,1696.0,1779.3,1543.1,1711.0,20.4,-6.4,41.8,37.1,10.0,37.0,37.0,5.0,-31.4,45.0,-38.4,21.0,138.8,2.0,59.9,38.6,,54.6,56.0,36.9,44.8,37.0,-73.2,30.2,28.0,4.3,23.0,32.9,51.5,45.0,44.0,,,77.2,-13.0,41.4,-52.0,32.8,,8.4,43.5,29.4,12.0,45.5,31.0,-8.0,75.3,-160.9,7.0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,False,True,False,False,False,,True,False,False,True,False,False,True,False,False,True
South Carolina,5124,5103.0,5138.1,5125.1,5103.2,5098.0,5105.0,5136.0,5174.0,5116.8,5201.0,4929.0,5075.0,5147.2,5132.1,5160.3,5130.5,,5173.5,5104.0,5136.7,5227.9,5127.0,5212.5,5164.2,5107.0,5145.9,5132.0,5139.3,5148.3,5163.8,5083.0,,5101.1,5086.6,5173.0,5712.2,5140.0,5111.2,,5057.6,5149.4,5134.7,5143.0,5074.7,5137.0,5163.5,5094.7,4985.0,5147.6,-21.0,14.1,1.1,-20.8,-26.0,-19.0,12.0,50.0,-7.2,77.0,-195.0,-49.0,23.2,8.1,36.3,6.5,,49.5,-20.0,12.7,103.9,3.0,88.5,40.2,-17.0,21.9,8.0,15.3,24.3,39.8,-41.0,,-22.9,-37.4,49.0,588.2,16.0,-12.8,,-66.4,25.4,10.7,19.0,-49.3,13.0,39.5,-29.3,-139.0,23.6,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,,False,True,True,False,True,False,False,True,False,True,True,False,False,False,,False,False,False,False,True,True,,False,False,True,True,False,True,False,False,False,False
South Dakota,1446,1448.4,1458.2,1447.8,1453.3,1461.0,1457.0,1455.0,1398.0,1432.8,1467.0,1446.2,1469.0,1489.8,1455.0,1432.2,1437.6,,1508.6,1506.0,1503.0,1408.5,1483.0,1427.7,1452.6,1433.0,1437.3,1474.0,1461.6,1466.2,1442.7,1455.0,,,1447.0,1440.0,1229.2,1441.0,1451.9,,1440.2,1468.9,1432.5,1457.0,1476.9,1455.0,1484.0,1495.3,1434.9,1464.6,2.4,12.2,1.8,7.3,15.0,11.0,9.0,-48.0,-13.2,21.0,0.2,23.0,43.8,9.0,-13.8,-8.4,,62.6,60.0,57.0,-37.5,37.0,-18.3,6.6,-13.0,-8.7,28.0,15.6,20.2,-3.3,9.0,,,1.0,-6.0,-216.8,-5.0,5.9,,-5.8,22.9,-13.5,11.0,30.9,9.0,38.0,49.3,-11.1,18.6,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
Tennessee,6443,6593.0,6436.0,6711.5,6522.9,6601.0,6520.0,6575.0,6542.0,6534.0,6939.0,6032.8,6585.0,6570.4,6540.4,6648.5,6561.3,,6564.8,6623.0,6561.0,7671.5,6581.0,6431.9,6583.8,7115.0,6699.4,6482.0,6526.5,6684.2,6682.7,6477.0,,6439.4,6528.3,6718.0,6578.4,6769.0,6526.3,,6376.2,6540.8,6572.1,6639.0,6580.9,6616.0,6647.5,6704.6,6066.0,6692.1,150.0,-7.0,268.5,79.9,158.0,77.0,132.0,99.0,91.0,496.0,-410.2,142.0,127.4,97.4,205.5,118.3,,121.8,180.0,118.0,1228.5,138.0,-11.1,140.8,672.0,256.4,39.0,83.5,241.2,239.7,34.0,,-3.6,85.3,275.0,135.4,326.0,83.3,,-66.8,97.8,129.1,196.0,137.9,173.0,204.5,261.6,-377.0,249.1,True,False,True,False,True,True,True,True,False,False,True,True,True,False,True,,True,False,True,False,True,True,True,False,False,True,True,False,False,True,,True,True,False,True,False,True,,True,True,True,False,True,False,False,False,False,False
Texas,27075,27050.1,27410.6,27155.6,27136.8,27126.0,27120.0,27105.0,27737.0,27117.3,27167.0,25981.3,26867.0,27113.2,27208.2,27208.0,26992.9,,26806.9,26912.0,27221.4,26882.9,27020.0,27355.4,27209.9,27189.0,27261.7,27073.0,27216.0,27192.6,27272.0,27042.5,,26904.8,27093.4,27189.0,26979.1,26932.0,27106.0,,26852.6,27247.6,27220.8,27042.0,27109.6,27215.0,27045.0,27237.2,26280.9,26477.2,182.1,542.6,287.6,268.8,258.0,252.0,237.0,869.0,249.3,299.0,-886.7,-1.0,245.2,340.2,340.0,124.9,,-61.1,44.0,353.4,14.9,152.0,487.4,341.9,321.0,393.7,205.0,348.0,324.6,404.0,174.5,,36.8,225.4,321.0,111.1,64.0,238.0,,-15.4,379.6,352.8,174.0,241.6,347.0,177.0,369.2,-587.1,-390.8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,True,True,False,True,True,False,False,False,False,False,False,False,False,True,,True,False,False,True,True,False,,True,False,False,True,False,False,True,False,False,False
Utah,1212,1240.7,1219.5,1361.4,1258.7,1266.0,1258.0,1245.0,1233.0,1261.4,1244.0,1192.6,1220.0,1248.9,1238.2,1256.1,1243.6,,1247.2,1279.0,1252.6,1211.1,1296.0,961.1,1239.7,1241.0,1265.2,1288.0,1245.1,1269.1,1246.2,1264.0,,,1242.8,1232.0,1145.4,1232.0,1255.4,,1299.5,1256.6,1238.5,1230.0,1258.1,1255.0,1247.0,1275.6,866.7,1238.6,28.7,7.5,149.4,46.7,54.0,46.0,33.0,21.0,49.4,32.0,-19.4,8.0,36.9,26.2,44.1,31.6,,35.2,67.0,40.6,-0.9,84.0,-250.9,27.7,29.0,53.2,76.0,33.1,57.1,34.2,52.0,,,30.8,20.0,-66.6,20.0,43.4,,87.5,44.6,26.5,18.0,46.1,43.0,35.0,63.6,-345.3,26.6,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,,False,False,False,True,False,False,True,False,False,False,False,False,False,False,,,False,True,False,True,False,,False,False,True,True,False,False,False,False,False,True
Vermont,121,124.7,122.5,125.8,120.4,121.0,121.0,124.0,116.0,119.3,123.0,124.2,117.0,124.4,119.9,117.9,124.4,,127.0,132.0,126.9,127.1,128.0,148.4,130.5,125.0,121.5,135.0,119.7,128.1,121.7,110.5,,,118.6,124.0,94.9,124.0,112.7,,119.5,131.4,121.9,122.0,122.0,124.0,133.0,140.7,109.4,129.1,3.7,1.5,4.8,-0.6,0.0,0.0,3.0,-5.0,-1.7,2.0,3.2,-4.0,3.4,-1.1,-3.1,3.4,,6.0,11.0,5.9,6.1,7.0,27.4,9.5,4.0,0.5,14.0,-1.3,7.1,0.7,-10.5,,,-2.4,3.0,-26.1,3.0,-8.3,,-1.5,10.4,0.9,1.0,1.0,3.0,12.0,19.7,-11.6,8.1,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,,False,False,False,False,False,False,False,False,True,False,True,False,True,False,,,True,True,False,True,False,,True,False,True,True,True,True,False,False,False,False
Virginia,4840,4854.9,4900.2,4913.9,4872.4,4877.0,4877.0,4890.0,4935.0,4880.3,4913.0,4670.1,4849.0,4902.3,4861.8,4917.8,4898.5,,4799.9,4918.0,4910.6,4867.4,4926.0,5105.8,4910.4,4929.0,4903.7,4935.0,4879.4,4909.8,4891.9,4773.0,,4802.7,4790.4,4881.0,5134.9,4833.0,4870.3,,4873.3,4887.5,4905.5,4855.0,4891.6,4916.0,4870.5,4799.4,4729.1,4867.1,14.9,60.2,73.9,32.4,37.0,37.0,50.0,95.0,40.3,73.0,-169.9,9.0,62.3,21.8,77.8,58.5,,-40.1,78.0,70.6,27.4,86.0,265.8,70.4,89.0,63.7,95.0,39.4,69.8,51.9,-67.0,,-37.3,-49.6,41.0,294.9,-7.0,30.3,,33.3,47.5,65.5,15.0,51.6,76.0,30.5,-40.6,-110.9,27.1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,False
Washington,3184,3243.7,3180.0,3232.6,3272.5,3243.0,3267.0,3232.0,3293.0,3280.4,3170.0,3163.4,3256.0,3211.5,3254.6,3107.5,3229.5,,3265.9,3429.0,3204.8,3160.2,3233.0,3411.1,3284.7,3116.0,3211.6,3298.0,3279.1,3264.7,3254.0,3219.0,,3168.6,3163.2,3197.0,3674.2,3178.0,3239.3,,3320.0,3286.4,3270.1,3210.0,3204.7,3263.0,3167.0,,3154.3,3237.5,59.7,-4.0,48.6,88.5,59.0,83.0,48.0,109.0,96.4,-14.0,-20.6,72.0,27.5,70.6,-76.5,45.5,,81.9,245.0,20.8,-23.8,49.0,227.1,100.7,-68.0,27.6,114.0,95.1,80.7,70.0,35.0,,-15.4,-20.8,13.0,490.2,-6.0,55.3,,136.0,102.4,86.1,26.0,20.7,79.0,-17.0,,-29.7,53.5,True,True,False,True,False,True,False,False,True,True,False,True,False,False,True,,False,False,True,True,True,False,False,False,True,False,False,False,False,True,,True,True,True,False,True,True,,False,False,False,True,True,False,True,,True,True
West Virginia,1253,1265.1,1232.2,1297.1,1281.9,1271.0,1278.0,1282.0,1353.0,1281.1,1264.0,1124.9,1265.0,1259.4,1289.9,1296.8,1281.6,,1268.7,1283.0,1304.5,1242.2,1262.0,1317.5,1289.6,1286.0,1266.3,1271.0,1306.5,1290.4,1278.1,1291.0,,,1276.4,1297.0,1254.4,1270.0,1278.9,,1234.3,1317.0,1275.4,1255.0,1282.8,1291.0,1274.5,1333.6,1178.7,1251.6,12.1,-20.8,44.1,28.9,18.0,25.0,29.0,100.0,28.1,11.0,-128.1,12.0,6.4,36.9,43.8,28.6,,15.7,30.0,51.5,-10.8,9.0,64.5,36.6,33.0,13.3,18.0,53.5,37.4,25.1,38.0,,,23.4,44.0,1.4,17.0,25.9,,-18.7,64.0,22.4,2.0,29.8,38.0,21.5,80.6,-74.3,-1.4,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,,,False,False,True,False,False,,False,False,False,True,False,False,False,False,False,True
Wisconsin,5029,5089.3,5140.5,5070.0,5139.6,5091.0,5120.0,5070.0,5168.0,5054.0,5071.0,4891.5,5069.0,4991.1,5022.1,5085.6,5029.0,,5234.9,5046.0,5131.6,4808.9,5144.0,5150.1,5057.0,5096.0,5120.5,5143.0,5083.1,5108.0,5091.3,5131.0,,5033.6,5054.1,5020.0,4353.2,5022.0,5109.1,,5032.7,5088.0,5105.1,5010.0,5133.0,5102.0,5007.0,5090.2,4945.2,4778.4,60.3,111.5,41.0,110.6,62.0,91.0,41.0,139.0,25.0,42.0,-137.5,40.0,-37.9,-6.9,56.6,0.0,,205.9,17.0,102.6,-220.1,115.0,121.1,28.0,67.0,91.5,114.0,54.1,79.0,62.3,102.0,,4.6,25.1,-9.0,-675.8,-7.0,80.1,,3.7,59.0,76.1,-19.0,104.0,73.0,-22.0,61.2,-83.8,-250.6,False,True,False,False,False,True,False,True,True,False,True,True,True,True,True,,False,True,False,False,False,False,True,False,False,False,True,False,False,False,,True,True,True,False,True,False,,True,True,False,True,False,False,True,False,False,False
Wyoming,373,376.7,388.4,379.9,379.1,383.0,381.0,386.0,404.0,382.2,382.0,376.9,394.0,404.6,378.8,452.4,384.6,,389.1,414.0,378.6,354.3,392.0,401.3,384.2,386.0,373.5,402.0,399.1,391.2,378.4,393.0,,,361.2,382.0,369.9,372.0,376.3,,392.5,410.1,389.2,378.0,386.7,382.0,386.0,405.3,377.2,395.0,3.7,15.4,6.9,6.1,10.0,8.0,13.0,31.0,9.2,9.0,3.9,21.0,31.6,5.8,79.4,11.6,,16.1,41.0,5.6,-18.7,19.0,28.3,11.2,13.0,0.5,29.0,26.1,18.2,5.4,20.0,,,-11.8,9.0,-3.1,-1.0,3.3,,19.5,37.1,16.2,5.0,13.7,9.0,13.0,32.3,4.2,22.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,False,False,True,True,True,,False,False,False,False,False,False,False,False,False,False
US,332075,333418.0,338962.8,336327.3,334916.7,,334414.0,335081.0,335081.0,333914.4,336510.0,321032.9,332997.0,336653.0,333938.3,336113.3,,340842.0,332623.6,337627.0,336278.1,333088.3,335477.0,336002.7,335360.9,336674.5,336258.2,336653.0,335063.3,336837.0,334960.7,333602.0,334617.0,331777.5,334183.3,336012.0,338112.2,332280.0,334202.6,347621.0,,335666.0,334694.4,333454.0,336762.8,335848.0,335152.0,,322014.5,329214.9,1552.0,7096.8,4461.3,3050.7,,2548.0,3215.0,3215.0,2048.4,4644.0,-10833.1,1131.0,4787.0,2072.3,4247.3,,8976.0,757.6,5761.0,4412.1,1222.3,3611.0,4136.7,3494.9,4808.5,4392.2,4787.0,3197.3,4971.0,3094.7,1736.0,2751.0,-88.5,2317.3,4146.0,6246.2,414.0,2336.6,15755.0,,3800.0,2828.4,1588.0,4896.8,3982.0,3286.0,,-9851.5,-2651.1,False,False,False,,False,False,False,False,False,False,True,False,False,False,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,False,False,False,False,False,,False,False
