,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,10685,10577.4,10837.9,10654.7,10861.0,10638.9,10916.0,10902.0,10807.5,11120.0,10305.0,11002.0,10965.1,10872.5,10999.9,,11125.3,11009.0,10880.6,10916.7,10964.0,10317.5,11049.7,10743.0,10877.6,10901.0,10909.2,10952.7,,10657.6,11205.2,10396.0,,10983.8,10847.4,10951.0,11426.4,10912.0,10553.8,,10867.9,10924.4,10910.5,10912.0,,10908.0,10512.0,,10149.8,10244.5,-107.6,152.9,-30.3,176.0,-46.1,231.0,217.0,122.5,435.0,-380.0,317.0,280.1,187.5,314.9,,440.3,324.0,195.6,231.7,279.0,-367.5,364.7,58.0,192.6,216.0,224.2,267.7,,-27.4,520.2,-289.0,,298.8,162.4,266.0,741.4,227.0,-131.2,,182.9,239.4,225.5,227.0,,223.0,-173.0,,-535.2,-440.5,False,True,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,False,,False,False,False,False,False,False,,False,False,False,False,,False,False,,False,False
Hawaii,285,296.3,312.2,292.7,305.0,291.0,299.0,298.0,298.1,314.0,270.4,289.0,300.9,,301.3,,283.3,,291.2,301.3,302.0,305.2,299.2,294.0,294.7,328.0,301.1,300.7,,383.8,277.3,297.0,,,300.9,300.0,292.5,297.0,284.6,,303.0,321.4,293.0,297.0,,296.0,304.0,336.2,285.3,301.4,11.3,27.2,7.7,20.0,6.0,14.0,13.0,13.1,29.0,-14.6,4.0,15.9,,16.3,,-1.7,,6.2,16.3,17.0,20.2,14.2,9.0,9.7,43.0,16.1,15.7,,98.8,-7.7,12.0,,,15.9,15.0,7.5,12.0,-0.4,,18.0,36.4,8.0,12.0,,11.0,19.0,51.2,0.3,16.4,False,True,False,True,False,False,False,False,False,True,False,,False,,True,,True,False,False,False,False,True,True,False,False,False,,False,True,False,,,False,False,True,False,True,,False,False,True,False,,True,False,False,True,False
Idaho,1354,1435.0,1520.9,1450.4,1485.0,1443.0,1424.0,1425.0,1398.7,1428.0,1266.7,1337.0,1685.8,1411.6,1429.3,,1337.8,1496.0,1458.2,1379.2,1503.0,1317.0,1420.5,1491.0,1444.5,1436.0,1462.7,1457.9,,1404.1,1505.4,1421.0,,,1495.1,1414.0,1271.1,1437.0,1422.4,,1409.0,1486.1,1475.0,1401.0,,1427.0,1413.0,1459.2,1271.5,1416.2,81.0,166.9,96.4,131.0,89.0,70.0,71.0,44.7,74.0,-87.3,-17.0,331.8,57.6,75.3,,-16.2,142.0,104.2,25.2,149.0,-37.0,66.5,137.0,90.5,82.0,108.7,103.9,,50.1,151.4,67.0,,,141.1,60.0,-82.9,83.0,68.4,,55.0,132.1,121.0,47.0,,73.0,59.0,105.2,-82.5,62.2,False,False,False,False,True,True,True,True,False,True,False,True,True,,True,False,False,True,False,True,True,False,False,False,False,False,,True,False,True,,,False,True,False,False,True,,True,False,False,True,,True,True,False,False,True
Illinois,17224,17610.3,18076.9,17710.8,17973.0,17661.0,17484.0,17528.0,17291.3,17208.0,16632.2,17024.0,19073.5,17484.8,17468.1,,16953.5,17924.0,17735.0,16989.5,17714.0,16396.8,17360.7,17591.0,17765.0,17574.0,17710.5,17949.0,16711.0,15410.3,15598.8,18036.5,,17860.3,18149.8,17371.0,16067.4,17293.0,17407.0,,17402.9,17742.8,17343.8,17304.0,18207.1,17214.0,17767.5,,15984.0,17030.0,386.3,852.9,486.8,749.0,437.0,260.0,304.0,67.3,-16.0,-591.8,-200.0,1849.5,260.8,244.1,,-270.5,700.0,511.0,-234.5,490.0,-827.2,136.7,367.0,541.0,350.0,486.5,725.0,-513.0,-1813.7,-1625.2,812.5,,636.3,925.8,147.0,-1156.6,69.0,183.0,,178.9,518.8,119.8,80.0,983.1,-10.0,543.5,,-1240.0,-194.0,False,False,False,False,True,True,True,True,False,True,False,True,True,,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,,False,False,True,False,True,True,,True,False,True,True,False,True,False,,False,True
Indiana,8904,7850.6,8077.8,7862.7,8039.0,7860.1,7903.0,8202.0,7849.1,7770.0,7427.0,7762.0,8402.3,7921.3,7864.3,,7718.1,8037.0,8001.2,7756.6,8093.0,7150.9,7888.6,7903.0,8007.1,7953.0,8031.9,8165.5,7375.0,8081.1,7922.2,8278.0,,7668.0,8166.5,7923.0,7854.3,7836.0,7763.3,,7854.4,8047.4,7960.2,7892.0,8075.4,7899.0,7893.5,8120.6,6819.5,7738.6,-169.4,57.8,-157.3,19.0,-159.9,-117.0,182.0,-170.9,-250.0,-593.0,-258.0,382.3,-98.7,-155.7,,-301.9,17.0,-18.8,-263.4,73.0,-869.1,-131.4,-117.0,-12.9,-67.0,11.9,145.5,-645.0,61.1,-97.8,258.0,,-352.0,146.5,-97.0,-165.7,-184.0,-256.7,,-165.6,27.4,-59.8,-128.0,55.4,-121.0,-126.5,100.6,-1200.5,-281.4,True,True,True,True,True,False,False,False,False,False,False,True,True,,False,True,True,False,True,False,True,True,True,True,True,True,False,True,True,False,,False,True,True,True,False,False,,True,True,True,True,True,True,True,True,False,False
Iowa,3743,4122.7,4336.3,4227.4,4335.0,4260.0,3822.0,3598.0,3720.7,3582.0,3168.2,3591.0,4038.1,4357.4,3585.6,,3162.4,4181.0,3604.9,3047.8,3929.0,3462.6,3468.0,3285.0,3786.9,3844.0,3801.0,3911.8,,3678.5,3885.6,4245.0,,4167.6,3365.4,3750.0,2878.5,3861.0,3543.8,,3785.0,3881.2,3910.8,3648.0,,3599.0,3962.5,3446.8,3452.2,3993.5,379.7,593.3,484.4,592.0,517.0,79.0,-145.0,-22.3,-161.0,-574.8,-152.0,295.1,614.4,-157.4,,-580.6,438.0,-138.1,-695.2,186.0,-280.4,-275.0,-458.0,43.9,101.0,58.0,168.8,,-64.5,142.6,502.0,,424.6,-377.6,7.0,-864.5,118.0,-199.2,,42.0,138.2,167.8,-95.0,,-144.0,219.5,-296.2,-290.8,250.5,False,False,False,False,True,True,True,True,False,True,True,False,True,,False,False,True,False,True,True,True,False,True,True,True,True,,True,True,False,,False,True,True,False,True,True,,True,True,True,True,,True,True,True,True,True
Kansas,2503,2603.1,2888.6,2619.8,2804.0,2644.0,2558.0,2601.0,2426.2,2526.0,2243.6,2569.0,2470.4,2603.6,2638.5,,2610.2,2786.0,2678.2,2346.6,2688.0,2109.9,2519.3,2439.0,2429.9,2591.0,2529.6,2679.4,,2314.9,2695.5,2942.0,,,2904.7,2547.0,2296.4,2491.0,2417.1,,2498.6,2572.8,2595.0,2606.0,,2538.0,2462.0,2636.4,1997.2,2582.2,100.1,385.6,116.8,301.0,141.0,55.0,98.0,-76.8,23.0,-259.4,66.0,-32.6,100.6,135.5,,107.2,283.0,175.2,-156.4,185.0,-393.1,16.3,-64.0,-73.1,88.0,26.6,176.4,,-188.1,192.5,439.0,,,401.7,44.0,-206.6,-12.0,-85.9,,-4.4,69.8,92.0,103.0,,35.0,-41.0,133.4,-505.8,79.2,False,False,False,False,True,True,True,True,False,True,True,False,False,,False,False,False,False,False,False,True,True,True,True,True,False,,False,False,False,,,False,True,False,True,True,,True,True,True,False,,True,True,False,False,True
Kentucky,2534,2457.7,2560.3,2434.8,2582.0,2452.1,2529.0,2679.0,2710.7,2546.0,2424.2,2472.0,2637.2,2464.6,2560.7,,2487.5,2660.0,2536.6,2412.7,2726.0,2581.4,2504.8,2493.0,2559.6,2737.0,2527.4,2614.1,2524.0,2637.1,2575.5,2550.0,,2517.8,2509.3,2517.0,2965.6,2468.0,2438.8,,2648.7,2551.0,2675.9,2544.0,,2518.0,2437.0,2503.2,2339.7,2532.3,-76.3,26.3,-99.2,48.0,-81.9,-5.0,145.0,176.7,12.0,-109.8,-62.0,103.2,-69.4,26.7,,-46.5,126.0,2.6,-121.3,192.0,47.4,-29.2,-41.0,25.6,203.0,-6.6,80.1,-10.0,103.1,41.5,16.0,,-16.2,-24.7,-17.0,431.6,-66.0,-95.2,,114.7,17.0,141.9,10.0,,-16.0,-97.0,-30.8,-194.3,-1.7,True,False,True,False,True,False,False,True,False,True,False,True,True,,True,False,True,False,False,True,True,True,True,False,True,False,True,False,True,True,,True,True,True,False,True,False,,False,True,False,True,,True,False,True,False,True
Louisiana,7272,7252.6,7323.8,7216.9,7266.0,7205.2,7247.0,7198.0,7217.6,7188.0,7082.1,7338.0,7382.6,7332.7,7286.8,,7085.9,7281.0,7284.7,7406.4,7266.0,7100.0,7318.8,7247.0,7244.0,7233.0,7308.4,7344.1,,7159.6,7290.8,7135.0,,7074.9,7241.6,7225.0,8127.1,7323.0,7244.2,,7157.7,7328.6,7216.0,7308.0,,7182.0,7211.0,7164.8,7000.7,7276.0,-19.4,51.8,-55.1,-6.0,-66.8,-25.0,-74.0,-54.4,-84.0,-189.9,66.0,110.6,60.7,14.8,,-186.1,9.0,12.7,134.4,-6.0,-172.0,46.8,-25.0,-28.0,-39.0,36.4,72.1,,-112.4,18.8,-137.0,,-197.1,-30.4,-47.0,855.1,51.0,-27.8,,-114.3,56.6,-56.0,36.0,,-90.0,-61.0,-107.2,-271.3,4.0,False,False,True,False,False,False,False,False,False,False,False,False,True,,False,True,True,False,True,False,False,False,False,False,False,False,,False,True,False,,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,True
Maine,319,312.7,321.2,316.5,326.0,317.0,332.0,335.0,323.2,345.0,320.9,300.0,335.0,323.9,356.6,,300.2,367.0,335.0,343.0,333.0,341.6,344.7,326.5,313.6,366.0,350.7,339.0,,273.8,343.8,394.0,,,349.8,356.0,299.1,333.0,298.9,,323.3,376.0,328.0,320.0,,327.0,308.0,384.5,268.5,319.2,-6.3,2.2,-2.5,7.0,-2.0,13.0,16.0,4.2,26.0,1.9,-19.0,16.0,4.9,37.6,,-18.8,48.0,16.0,24.0,14.0,22.6,25.7,7.5,-5.4,47.0,31.7,20.0,,-45.2,24.8,75.0,,,30.8,37.0,-19.9,14.0,-20.1,,4.3,57.0,9.0,1.0,,8.0,-11.0,65.5,-50.5,0.2,True,True,False,True,False,False,True,False,True,False,False,True,False,,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,,False,False,False,False,False,,True,False,False,True,,False,False,False,False,True
Maryland,5680,5620.3,5734.2,5664.7,5716.0,5660.0,5695.0,5793.0,5659.6,5687.0,5535.3,5644.0,5801.5,5699.4,5695.1,,5593.4,5660.0,5729.4,5615.3,5693.0,5413.2,5718.6,5802.0,5702.0,5716.0,5737.5,5803.0,,5559.4,5790.9,6034.0,,5696.2,5828.6,5699.0,5440.8,5634.0,5624.2,,5576.4,5760.8,5677.1,5650.0,,5704.0,5828.0,5669.9,5205.0,5695.0,-59.7,54.2,-15.3,36.0,-20.0,15.0,113.0,-20.4,7.0,-144.7,-36.0,121.5,19.4,15.1,,-86.6,-20.0,49.4,-64.7,13.0,-266.8,38.6,122.0,22.0,36.0,57.5,123.0,,-120.6,110.9,354.0,,16.2,148.6,19.0,-239.2,-46.0,-55.8,,-103.6,80.8,-2.9,-30.0,,24.0,148.0,-10.1,-475.0,15.0,True,True,True,True,True,False,True,True,False,True,False,True,True,,False,True,True,False,True,False,True,False,True,True,True,False,,False,False,False,,True,False,True,False,True,True,,False,False,True,True,,True,False,True,False,True
Massachusetts,12010,11989.7,12260.4,12005.2,12145.0,12015.0,12122.0,12270.0,12047.1,12420.0,11693.1,12062.0,12092.2,12184.0,12339.1,,11702.7,12100.0,12160.9,12028.5,12128.0,11881.0,12254.9,12203.0,12134.0,12115.0,12143.8,12339.2,,12461.8,12168.3,11831.0,,12010.7,12101.2,12081.0,12674.8,12057.0,11994.0,,11916.1,12173.9,12100.8,12172.0,,12258.0,12138.0,12248.5,11523.0,11964.6,-20.3,250.4,-4.8,135.0,5.0,112.0,260.0,37.1,410.0,-316.9,52.0,82.2,174.0,329.1,,-307.3,90.0,150.9,18.5,118.0,-129.0,244.9,193.0,124.0,105.0,133.8,329.2,,451.8,158.3,-179.0,,0.7,91.2,71.0,664.8,47.0,-16.0,,-93.9,163.9,90.8,162.0,,248.0,128.0,238.5,-487.0,-45.4,False,True,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,,True,False,False,False,False,True,,False,False,False,False,,False,False,False,False,False
Michigan,12690,12818.1,13183.7,12961.3,12989.0,12943.2,12727.0,12632.0,12795.6,12713.0,12309.1,12629.0,14286.6,12767.6,12598.5,,12771.2,12876.0,13167.2,12615.9,13148.0,11953.1,12763.0,12748.0,12750.1,12962.0,12916.0,13261.1,11402.0,11219.0,13033.5,12594.0,,12696.8,13539.6,12708.0,11956.6,12034.0,12561.7,,13015.4,12956.8,12668.4,12659.0,13610.8,12903.0,12660.5,13646.0,11431.7,12784.4,128.1,493.7,271.3,299.0,253.2,37.0,-58.0,105.6,23.0,-380.9,-61.0,1596.6,77.6,-91.5,,81.2,186.0,477.2,-74.1,458.0,-736.9,73.0,58.0,60.1,272.0,226.0,571.1,-1288.0,-1471.0,343.5,-96.0,,6.8,849.6,18.0,-733.4,-656.0,-128.3,,325.4,266.8,-21.6,-31.0,920.8,213.0,-29.5,956.0,-1258.3,94.4,False,False,False,False,True,True,True,True,False,True,False,True,True,,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,True,,True,False,True,False,False,False,,False,False,True,True,False,False,True,False,False,True
Minnesota,5166,5357.3,5461.9,5294.6,5441.0,5296.0,5226.0,5453.0,5267.7,5060.0,4979.5,5313.0,5622.1,5191.5,5026.0,,5012.3,5489.0,5343.6,5123.3,5435.0,4959.7,5125.3,5167.0,5352.3,5408.0,5226.5,5494.4,4736.0,4916.1,5175.6,5238.0,,6278.5,5445.9,5065.0,4592.4,5232.0,5273.9,,5522.1,5238.0,5307.0,5226.0,,5218.0,5514.5,5265.5,4697.8,5154.9,191.3,295.9,128.6,275.0,130.0,60.0,287.0,101.7,-106.0,-186.5,147.0,456.1,25.5,-140.0,,-153.7,323.0,177.6,-42.7,269.0,-206.3,-40.7,1.0,186.3,242.0,60.5,328.4,-430.0,-249.9,9.6,72.0,,1112.5,279.9,-101.0,-573.6,66.0,107.9,,356.1,72.0,141.0,60.0,,52.0,348.5,99.5,-468.2,-11.1,False,True,False,True,True,False,True,True,True,True,False,True,True,,True,False,True,True,False,False,True,True,True,False,True,False,False,False,True,True,,False,False,True,False,True,True,,False,True,True,True,,True,False,True,False,True
Mississippi,4565,4641.0,4758.2,4643.4,4643.0,4642.0,4649.0,4549.0,4678.6,4765.0,4382.3,4464.0,4688.5,4662.3,4645.7,,4298.8,4608.0,4719.4,4564.5,4603.0,4385.0,4677.5,4662.0,4668.5,4621.0,4624.5,4702.9,,4553.9,4808.3,4498.0,,4447.2,4780.2,4675.0,4576.4,4653.0,4662.7,,4485.7,4649.3,4619.6,4740.0,,4679.0,4635.5,4565.6,4354.5,4602.8,76.0,193.2,78.4,78.0,77.0,84.0,-16.0,113.6,200.0,-182.7,-101.0,123.5,97.3,80.7,,-266.2,43.0,154.4,-0.5,38.0,-180.0,112.5,97.0,103.5,56.0,59.5,137.9,,-11.1,243.3,-67.0,,-117.8,215.2,110.0,11.4,88.0,97.7,,-79.3,84.3,54.6,175.0,,114.0,70.5,0.6,-210.5,37.8,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,True,False,True,True,False,False,False,False,True,True,False,,True,False,True,,False,False,False,True,False,False,,False,False,True,False,,False,True,True,False,True
Missouri,5500,5212.6,5471.1,5301.6,5367.0,5254.0,5273.0,5488.0,5185.7,5237.0,4914.6,5342.0,5350.8,5191.8,4962.5,,4846.5,5850.0,5290.2,4899.2,5512.0,4790.4,5276.7,5335.0,5339.5,5408.0,5265.3,5529.6,,5526.9,5197.5,5872.0,,5274.0,5631.4,5252.0,5350.8,5113.0,5057.7,,5272.6,5297.3,5286.7,5200.0,,5241.0,5221.5,,4589.4,4585.0,-258.4,0.1,-169.4,-104.0,-217.0,-198.0,17.0,-285.3,-234.0,-556.4,-129.0,-120.2,-279.2,-508.5,,-624.5,379.0,-180.8,-571.8,41.0,-680.6,-194.3,-136.0,-131.5,-63.0,-205.7,58.6,,55.9,-273.5,401.0,,-197.0,160.4,-219.0,-120.2,-358.0,-413.3,,-198.4,-173.7,-184.3,-271.0,,-230.0,-249.5,,-881.6,-886.0,True,True,True,True,True,True,False,True,False,True,True,False,False,,False,False,True,False,True,False,True,True,True,True,True,True,,True,False,False,,True,True,True,True,False,False,,True,True,True,False,,True,True,,False,False
Montana,919,970.3,941.7,981.7,972.0,980.0,946.0,923.0,942.9,912.0,885.7,906.0,1063.7,966.1,920.5,,867.6,1020.0,945.7,912.9,975.0,910.0,939.5,936.0,954.3,998.0,968.0,973.0,,978.1,968.3,942.0,,,974.1,948.0,933.1,913.0,1001.1,,972.4,992.3,1021.6,962.0,,952.0,920.0,953.6,899.5,932.9,51.3,22.7,62.7,53.0,61.0,27.0,4.0,23.9,-7.0,-33.3,-13.0,144.7,47.1,1.5,,-51.4,101.0,26.7,-6.1,56.0,-9.0,20.5,17.0,35.3,79.0,49.0,54.0,,59.1,49.3,23.0,,,55.1,29.0,14.1,-6.0,82.1,,53.4,73.3,102.6,43.0,,33.0,1.0,34.6,-19.5,13.9,True,False,False,False,True,True,True,True,True,True,False,True,True,,False,False,True,True,False,True,True,True,True,False,True,False,,False,True,True,,,False,True,True,True,False,,False,False,False,True,,True,True,True,True,True
Nebraska,1559,1685.0,1805.8,1735.5,1787.0,1707.0,1657.0,1647.0,1654.2,1668.0,1585.3,1639.0,1960.3,1656.0,1712.2,,1596.9,1826.0,1715.6,1657.5,1767.0,1531.8,1630.3,1655.0,1672.4,1777.0,1714.9,1762.2,,1592.4,1645.6,1999.0,,,1791.4,1653.0,1449.1,1651.0,1603.1,,1719.3,1738.3,1682.5,1584.0,,1655.0,1750.0,1931.4,1493.7,1829.3,126.0,246.8,176.5,228.0,148.0,98.0,88.0,95.2,109.0,26.3,80.0,401.3,97.0,153.2,,37.9,267.0,156.6,98.5,208.0,-27.2,71.3,96.0,113.4,218.0,155.9,203.2,,33.4,86.6,440.0,,,232.4,94.0,-109.9,92.0,44.1,,160.3,179.3,123.5,25.0,,96.0,191.0,372.4,-65.3,270.3,False,False,False,False,True,True,True,True,True,True,False,True,False,,True,False,False,True,False,True,True,True,True,False,False,False,,True,True,False,,,False,True,True,True,True,,False,False,True,True,,True,False,False,True,False
Nevada,2942,2955.0,3082.1,2962.8,3050.0,2958.0,2981.0,3084.0,2961.5,2976.0,2814.2,2871.0,3226.0,3045.7,2998.6,,2821.0,2948.0,3005.4,3084.2,3029.0,2821.6,3045.9,2987.0,3006.7,3051.0,2938.4,3094.3,,2875.2,3086.4,3090.0,,2833.6,3088.9,3003.0,3227.8,2967.0,2944.6,,2893.1,2960.3,2942.0,2938.0,,2997.0,3089.0,3034.8,2658.6,2940.4,13.0,140.1,20.8,108.0,16.0,39.0,142.0,19.5,34.0,-127.8,-71.0,284.0,103.7,56.6,,-121.0,6.0,63.4,142.2,87.0,-120.4,103.9,45.0,64.7,109.0,-3.6,152.3,,-66.8,144.4,148.0,,-108.4,146.9,61.0,285.8,25.0,2.6,,-48.9,18.3,0.0,-4.0,,55.0,147.0,92.8,-283.4,-1.6,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,True,False,,False,False,False,,False,False,False,False,False,True,,False,False,True,True,,False,False,False,False,True
New Hampshire,701,675.4,745.9,682.8,695.0,682.0,714.0,753.0,710.7,722.0,634.1,692.0,671.0,692.7,726.6,,677.8,721.0,708.4,680.9,721.0,712.1,739.2,712.0,695.4,725.0,682.2,724.5,,716.0,700.0,668.0,,,725.5,716.0,810.9,709.0,672.9,,680.5,708.0,725.1,720.0,,716.0,738.5,718.7,617.4,682.4,-25.6,44.9,-18.2,-6.0,-19.0,13.0,52.0,9.7,21.0,-66.9,-9.0,-30.0,-8.3,25.6,,-23.2,20.0,7.4,-20.1,20.0,11.1,38.2,11.0,-5.6,24.0,-18.8,23.5,,15.0,-1.0,-33.0,,,24.5,15.0,109.9,8.0,-28.1,,-20.5,7.0,24.1,19.0,,15.0,37.5,17.7,-83.6,-18.6,False,True,True,True,True,False,True,True,False,True,False,True,False,,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,False,,,True,True,False,True,False,,True,True,True,True,,True,False,True,False,True
New Jersey,18613,18549.6,18847.2,18601.0,18679.0,18584.0,18636.0,18766.0,18605.4,18605.0,18271.7,18319.0,18781.0,18630.5,18807.2,,18224.7,18586.0,18641.1,18485.1,18753.0,18295.0,18626.6,18963.0,18646.7,18750.0,18706.2,18834.6,,18223.6,18810.9,18841.0,,18249.0,18654.7,18777.0,18484.4,18420.0,18643.1,,18421.4,18736.0,18659.6,18586.0,,18640.0,18804.5,18360.4,17927.1,18737.8,-63.4,234.2,-12.0,66.0,-29.0,23.0,153.0,-7.6,-8.0,-341.3,-294.0,168.0,17.5,194.2,,-388.3,-27.0,28.1,-127.9,140.0,-318.0,13.6,350.0,33.7,137.0,93.2,221.6,,-389.4,197.9,228.0,,-364.0,41.7,164.0,-128.6,-193.0,30.1,,-191.6,123.0,46.6,-27.0,,27.0,191.5,-252.6,-685.9,124.8,False,True,False,True,True,False,True,True,False,False,False,True,False,,False,True,True,False,False,False,True,False,True,False,False,False,,False,False,False,,False,True,False,False,False,True,,False,False,True,True,,True,False,False,False,False
New Mexico,2316,2343.3,2323.4,2252.7,2405.0,2263.0,2312.0,2339.0,2345.2,2216.0,2306.5,2296.0,2638.8,2267.3,2363.8,,2378.7,2408.0,2379.6,2253.8,2314.0,2163.9,2302.1,2283.0,2332.1,2324.0,2420.2,2429.0,,2255.9,2311.8,2549.5,,,2341.6,2327.0,2304.8,2278.0,2151.7,,2313.3,2437.0,2230.9,2360.0,,2245.0,2343.0,2327.8,2081.9,2347.7,27.3,7.4,-63.3,89.0,-53.0,-4.0,23.0,29.2,-100.0,-9.5,-20.0,322.8,-48.7,47.8,,62.7,92.0,63.6,-62.2,-2.0,-152.1,-13.9,-33.0,16.1,8.0,104.2,113.0,,-60.1,-4.2,233.5,,,25.6,11.0,-11.2,-38.0,-164.3,,-2.7,121.0,-85.1,44.0,,-71.0,27.0,11.8,-234.1,31.7,True,False,False,False,True,True,False,False,True,True,False,False,False,,False,False,False,False,True,False,True,False,True,True,False,False,,False,True,False,,,True,True,True,False,False,,True,False,False,False,,False,True,True,False,False
New York,37286,36669.4,37230.2,36521.7,36817.0,36523.6,36790.0,36757.0,36848.0,36808.0,36143.8,36774.0,36805.5,36561.7,36822.8,,36378.5,36857.0,36705.3,36542.2,36876.0,36559.1,36861.9,36905.0,36997.6,36937.0,36494.4,36981.4,,36285.9,36823.8,35979.0,,36074.7,36453.7,37633.0,37950.7,36889.0,36668.0,,36513.0,36525.0,36779.3,36935.0,,36830.0,36909.5,36433.7,35458.1,36924.2,-553.6,7.2,-701.3,-406.0,-699.4,-433.0,-466.0,-375.0,-415.0,-1079.2,-449.0,-417.5,-661.3,-400.2,,-844.5,-366.0,-517.7,-680.8,-347.0,-663.9,-361.1,-318.0,-225.4,-286.0,-728.6,-241.6,,-937.1,-399.2,-1244.0,,-1148.3,-769.3,410.0,727.7,-334.0,-555.0,,-710.0,-698.0,-443.7,-288.0,,-393.0,-313.5,-789.3,-1764.9,-298.8,True,False,True,False,True,True,True,True,False,True,True,False,True,,False,True,True,False,True,False,True,True,True,True,False,True,,False,True,False,,False,False,True,False,True,False,,False,False,True,True,,True,True,False,False,True
