,actual_deaths,Baseline,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,PSI-DRAFT,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_10_+,UChicago-CovidIL_30_+,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-PSI-DRAFT,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_10_+,error-UChicago-CovidIL_30_+,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_10_+,beat_baseline-UChicago-CovidIL_30_+,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Georgia,2642,2600.9,1980.0,2237.6,1879.0,2003.3,2468.0,2115.9,,,,,1905.3,2647.9,-41.1,-662.0,-404.4,-763.0,-638.7,-174.0,-526.1,,,,,-736.7,5.9,False,False,False,False,False,False,,,,,False,True
Hawaii,17,17.0,19.0,19.0,,18.0,17.0,22.0,,,,,19.1,23.9,0.0,2.0,2.0,,1.0,0.0,5.0,,,,,2.1,6.9,False,False,,False,True,False,,,,,False,False
Idaho,89,102.1,83.0,81.0,76.0,96.0,78.0,104.7,,,,,84.2,90.3,13.1,-6.0,-8.0,-13.0,7.0,-11.0,15.7,,,,,-4.8,1.3,True,True,True,True,True,False,,,,,True,True
Illinois,6625,7921.9,8276.0,7942.8,6871.0,6215.1,9402.0,7248.3,9908.1,9851.2,9908.1,10105.7,5907.1,8486.3,1296.9,1651.0,1317.8,246.0,-409.9,2777.0,623.3,3283.1,3226.2,3283.1,3480.7,-717.9,1861.3,False,False,True,True,False,True,False,False,False,False,True,False
Indiana,2536,2931.3,2780.0,2278.3,2362.0,2453.9,3667.5,2367.3,,,,,2637.6,3397.9,395.3,244.0,-257.7,-174.0,-82.1,1131.5,-168.7,,,,,101.6,861.9,True,True,True,True,False,True,,,,,True,False
Iowa,681,768.7,810.0,836.1,533.0,594.1,1350.0,753.2,,,,,418.4,1124.3,87.7,129.0,155.1,-148.0,-86.9,669.0,72.2,,,,,-262.6,443.3,False,False,False,True,False,True,,,,,False,False
Kansas,256,297.0,510.0,295.9,269.0,228.1,263.0,276.0,,,,,385.6,280.2,41.0,254.0,39.9,13.0,-27.9,7.0,20.0,,,,,129.6,24.2,False,True,True,True,True,True,,,,,False,True
Kentucky,524,479.7,602.0,477.7,434.0,451.1,496.0,428.6,,,,,635.1,470.3,-44.3,78.0,-46.3,-90.0,-72.9,-28.0,-95.4,,,,,111.1,-53.7,False,False,False,False,True,False,,,,,False,False
Louisiana,3104,3486.7,2587.0,3074.1,2948.0,3492.0,3146.0,3002.0,,,,,2706.6,3207.1,382.7,-517.0,-29.9,-156.0,388.0,42.0,-102.0,,,,,-397.4,103.1,False,True,True,False,True,True,,,,,False,True
Maine,102,99.1,116.0,79.5,327.0,113.6,76.0,106.1,,,,,114.2,96.5,-2.9,14.0,-22.5,225.0,11.6,-26.0,4.1,,,,,12.2,-5.5,False,False,False,False,False,False,,,,,False,False
Maryland,3052,3682.3,4031.0,3459.9,2999.0,2917.3,3445.0,3233.0,,,,,2840.8,3437.6,630.3,979.0,407.9,-53.0,-134.7,393.0,181.0,,,,,-211.2,385.6,False,True,True,True,True,True,,,,,True,True
Massachusetts,7828,9770.1,8849.0,8516.2,8092.0,7893.5,8824.5,8806.9,,,,,6476.1,8439.3,1942.1,1021.0,688.2,264.0,65.5,996.5,978.9,,,,,-1351.9,611.3,True,True,True,True,True,True,,,,,True,True
Michigan,6087,6523.0,5932.0,5932.0,5769.0,6348.7,5323.0,5972.3,,,,,4916.3,6036.1,669.0,78.0,78.0,-85.0,494.7,-531.0,118.3,,,,,-937.7,182.1,True,True,True,True,True,True,,,,,False,True
Minnesota,1404,1474.1,4496.0,1541.2,1417.5,1269.3,1620.0,1518.1,,,,,2109.2,1554.0,70.1,3092.0,137.2,13.5,-134.7,216.0,114.1,,,,,705.2,150.0,False,False,True,False,False,False,,,,,False,False
Mississippi,938,963.0,899.0,882.8,702.0,842.6,1342.0,855.1,,,,,798.3,1241.6,25.0,-39.0,-55.2,-236.0,-95.4,404.0,-82.9,,,,,-139.7,303.6,False,False,False,False,False,False,,,,,False,False
Missouri,973,1071.1,902.0,1202.7,916.0,862.9,1212.0,884.3,,,,,785.3,1259.1,196.1,27.0,327.7,41.0,-12.1,337.0,9.3,,,,,-89.7,384.1,True,False,True,True,False,True,,,,,True,False
Montana,20,16.0,16.0,12.0,16.0,17.2,16.0,20.2,,,,,17.7,20.2,-4.0,-4.0,-8.0,-4.0,-2.8,-4.0,0.2,,,,,-2.3,0.2,False,False,False,True,False,True,,,,,True,True
Nebraska,244,283.3,429.0,214.1,309.0,165.5,182.0,343.5,,,,,141.1,298.0,39.3,185.0,-29.9,65.0,-78.5,-62.0,99.5,,,,,-102.9,54.0,False,True,False,False,False,False,,,,,False,False
Nevada,486,544.3,456.0,541.0,507.0,526.5,594.0,495.8,,,,,469.8,549.1,58.3,-30.0,55.0,21.0,40.5,108.0,9.8,,,,,-16.2,63.1,True,True,True,True,False,True,,,,,True,False
New Hampshire,339,361.4,399.0,296.8,290.0,260.0,729.0,348.7,,,,,290.5,424.3,22.4,60.0,-42.2,-49.0,-79.0,390.0,9.7,,,,,-48.5,85.3,False,False,False,False,False,True,,,,,False,False
New Jersey,12924,15739.9,12761.0,13669.4,13041.5,12495.9,14235.5,12912.5,,,,,10938.6,14014.8,2815.9,-163.0,745.4,117.5,-428.1,1311.5,-11.5,,,,,-1985.4,1090.8,True,True,True,True,True,True,,,,,True,True
New Mexico,466,580.7,566.0,476.0,328.0,442.7,685.5,640.8,,,,,461.4,614.9,114.7,100.0,10.0,-138.0,-23.3,219.5,174.8,,,,,-4.6,148.9,True,True,False,True,False,False,,,,,True,False
New York,31703,35959.7,30301.0,31879.6,32604.0,32227.2,27238.0,31562.7,,,,,29058.3,31958.4,5007.7,-651.0,927.6,1652.0,1275.2,-3714.0,610.7,,,,,-1893.7,1006.4,True,True,True,True,True,True,,,,,True,True
North Carolina,1215,1278.6,1629.0,1582.8,720.0,1212.4,1370.0,1184.0,,,,,1423.8,1228.2,63.6,414.0,367.8,-495.0,-2.6,155.0,-31.0,,,,,208.8,13.2,False,False,False,True,False,True,,,,,False,True
North Dakota,76,81.9,88.0,111.9,80.0,93.7,72.0,70.3,,,,,91.8,104.7,5.9,12.0,35.9,4.0,17.7,-4.0,-5.7,,,,,15.8,28.7,False,False,True,False,True,True,,,,,False,False
Ohio,2697,3004.4,2417.0,2734.5,2130.0,2345.8,3868.0,2540.7,,,,,2831.8,3207.8,307.4,-280.0,37.5,-567.0,-351.2,1171.0,-156.3,,,,,134.8,510.8,True,True,False,False,False,True,,,,,True,False
Oklahoma,368,365.7,405.0,360.7,291.0,417.8,424.0,402.8,,,,,428.2,397.1,-2.3,37.0,-7.3,-77.0,49.8,56.0,34.8,,,,,60.2,29.1,False,False,False,False,False,False,,,,,False,False
Oregon,189,185.6,202.0,211.5,157.0,169.2,187.0,204.8,,,,,209.4,180.0,-3.4,13.0,22.5,-32.0,-19.8,-2.0,15.8,,,,,20.4,-9.0,False,False,False,False,True,False,,,,,False,False
Pennsylvania,6419,7841.6,7978.0,8322.6,6297.5,5915.8,9244.5,6559.0,,,,,5221.9,7656.3,1422.6,1559.0,1903.6,-121.5,-503.2,2825.5,140.0,,,,,-1197.1,1237.3,False,False,True,True,False,True,,,,,True,True
Rhode Island,894,873.0,649.0,739.6,1019.0,730.0,880.0,794.5,,,,,542.8,849.1,-21.0,-245.0,-154.4,125.0,-164.0,-14.0,-99.5,,,,,-351.2,-44.9,False,False,False,False,True,False,,,,,False,False
South Carolina,644,647.3,695.0,483.4,404.0,626.1,892.5,582.6,,,,,568.3,776.8,3.3,51.0,-160.6,-240.0,-17.9,248.5,-61.4,,,,,-75.7,132.8,False,False,False,False,False,False,,,,,False,False
South Dakota,81,92.6,91.0,112.1,133.0,64.1,90.0,67.0,,,,,56.0,110.8,11.6,10.0,31.1,52.0,-16.9,9.0,-14.0,,,,,-25.0,29.8,True,False,False,False,True,False,,,,,False,False
Tennessee,524,565.1,459.0,455.5,555.0,370.3,370.0,506.5,,,,,457.0,450.2,41.1,-65.0,-68.5,31.0,-153.7,-154.0,-17.5,,,,,-67.0,-73.8,False,False,True,False,False,True,,,,,False,False
Texas,2183,2552.4,1823.0,2719.7,1871.5,2103.3,2469.5,2343.9,,,,,2488.6,3197.1,369.4,-360.0,536.7,-311.5,-79.7,286.5,160.9,,,,,305.6,1014.1,True,False,True,True,True,True,,,,,True,False
Utah,155,143.1,120.0,133.5,88.0,129.1,183.0,119.9,,,,,138.4,166.8,-11.9,-35.0,-21.5,-67.0,-25.9,28.0,-35.1,,,,,-16.6,11.8,False,False,False,False,False,False,,,,,False,True
Vermont,56,58.9,57.0,49.0,53.0,57.6,62.0,70.6,,,,,63.1,66.2,2.9,1.0,-7.0,-3.0,1.6,6.0,14.6,,,,,7.1,10.2,True,False,False,True,False,False,,,,,False,False
Virginia,1607,1840.6,2200.0,1781.0,1421.0,1575.9,2054.0,1634.4,,,,,1858.4,1835.5,233.6,593.0,174.0,-186.0,-31.1,447.0,27.4,,,,,251.4,228.5,False,True,True,True,False,True,,,,,False,True
Washington,1265,1341.0,1095.0,1226.2,1240.0,1210.5,1320.0,1214.9,,,,,1181.7,1236.3,76.0,-170.0,-38.8,-25.0,-54.5,55.0,-50.1,,,,,-83.3,-28.7,False,True,True,True,True,True,,,,,False,True
West Virginia,88,130.1,91.0,100.3,63.0,96.9,78.0,99.4,,,,,95.7,107.5,42.1,3.0,12.3,-25.0,8.9,-10.0,11.4,,,,,7.7,19.5,True,True,True,True,True,True,,,,,True,True
Wisconsin,744,710.4,932.0,678.8,767.0,695.3,628.0,664.0,,,,,896.3,663.2,-33.6,188.0,-65.2,23.0,-48.7,-116.0,-80.0,,,,,152.3,-80.8,False,False,True,False,False,False,,,,,False,False
Wyoming,20,12.9,12.0,4.0,7.0,13.2,9.0,11.9,,,,,8.8,13.0,-7.1,-8.0,-16.0,-13.0,-6.8,-11.0,-8.1,,,,,-11.2,-7.0,False,False,False,True,False,False,,,,,False,True
US,120349,138308.3,126104.0,128020.1,115815.0,115894.4,131698.0,123477.3,,,,,109915.6,131914.7,19041.3,6837.0,8753.1,-3452.0,-3372.6,12431.0,4210.3,,,,,-9351.4,12647.7,True,True,True,True,True,True,,,,,True,True
