,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan,error-COVIDhub,error-CU,error-Covid19Sim,error-CovidActNow,error-GT,error-GT_CHHS,error-IHME,error-IowaStateLW,error-JHU_IDD,error-LANL,error-MIT_CovidAnalytics,error-MOBS_NEU,error-NotreDame,error-PSI,error-SWC,error-UA,error-UCLA,error-UMass,error-USACE,error-UT,error-YYG,beat_baseline-Auquan,beat_baseline-COVIDhub,beat_baseline-CU,beat_baseline-Covid19Sim,beat_baseline-CovidActNow,beat_baseline-GT,beat_baseline-GT_CHHS,beat_baseline-IHME,beat_baseline-IowaStateLW,beat_baseline-JHU_IDD,beat_baseline-LANL,beat_baseline-MIT_CovidAnalytics,beat_baseline-MOBS_NEU,beat_baseline-NotreDame,beat_baseline-PSI,beat_baseline-SWC,beat_baseline-UA,beat_baseline-UCLA,beat_baseline-UMass,beat_baseline-USACE,beat_baseline-UT,beat_baseline-YYG
Idaho,89,90.6,89.1,131.0,98.0,93.0,90.1,117.8,94.0,,93.9,84.0,141.2,103.0,87.0,87.8,,84.0,82.0,116.0,89.0,92.0,82.2,90.7,89.0,1.6,42.0,9.0,4.0,1.1,28.8,5.0,,4.9,-5.0,52.2,14.0,-2.0,-1.2,,-5.0,-7.0,27.0,-0.0,3.0,-6.8,1.7,-0.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
Illinois,6625,6915.7,6657.8,8161.0,6687.1,6687.0,5974.8,6543.6,5930.5,,6144.8,7102.0,7221.1,6344.6,6641.0,6999.3,6637.0,7694.5,6676.0,6348.0,6999.9,6411.0,6224.4,6543.3,6539.7,290.7,1536.0,62.1,62.0,-650.2,-81.4,-694.5,,-480.2,477.0,596.1,-280.4,16.0,374.3,12.0,1069.5,51.0,-277.0,374.9,-214.0,-400.6,-81.7,-85.3,False,True,True,False,True,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False,True,True
Indiana,2536,2585.4,2509.1,2991.0,2583.0,2560.0,2282.6,2790.9,2286.1,,2252.4,2710.0,2818.5,2574.9,2506.0,2688.1,2504.5,2662.5,2366.0,2438.0,2465.2,2583.0,2358.0,2457.8,2623.5,49.4,455.0,47.0,24.0,-253.4,254.9,-249.9,,-283.6,174.0,282.5,38.9,-30.0,152.1,-31.5,126.5,-170.0,-98.0,-70.8,47.0,-178.0,-78.2,87.5,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False
Iowa,681,760.7,722.6,889.0,803.8,811.0,597.7,850.2,738.7,,837.5,631.0,986.7,753.0,697.0,883.2,,774.0,926.0,756.0,697.0,741.0,589.0,781.8,808.2,79.7,208.0,122.8,130.0,-83.3,169.2,57.7,,156.5,-50.0,305.7,72.0,16.0,202.2,,93.0,245.0,75.0,16.0,60.0,-92.0,100.8,127.2,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,True,True,False,False,False
Kansas,256,243.6,238.7,378.0,261.9,301.0,251.3,267.1,233.6,,225.3,282.0,369.0,231.4,251.0,238.0,,244.0,240.0,243.0,266.3,233.0,227.7,231.3,248.0,-12.4,122.0,5.9,45.0,-4.7,11.1,-22.4,,-30.7,26.0,113.0,-24.6,-5.0,-18.0,,-12.0,-16.0,-13.0,10.3,-23.0,-28.3,-24.7,-8.0,False,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
Kentucky,524,545.3,526.0,574.0,574.1,572.0,449.2,679.2,,,510.2,492.0,696.0,522.6,529.0,523.1,455.0,505.0,488.0,670.0,612.5,582.0,525.7,520.4,532.2,21.3,50.0,50.1,48.0,-74.8,155.2,,,-13.8,-32.0,172.0,-1.4,5.0,-0.9,-69.0,-19.0,-36.0,146.0,88.5,58.0,1.7,-3.6,8.2,False,False,False,False,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,True,True,True
Louisiana,3104,3076.7,3028.4,3483.0,3063.4,2979.0,2905.5,3233.6,2965.6,,2909.9,2963.0,3136.8,3255.8,2897.0,2971.4,,3183.0,2928.0,3445.0,3089.1,3082.0,1911.4,2944.9,3109.6,-27.3,379.0,-40.6,-125.0,-198.5,129.6,-138.4,,-194.1,-141.0,32.8,151.8,-207.0,-132.6,,79.0,-176.0,341.0,-14.9,-22.0,-1192.6,-159.1,5.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
Maine,102,120.4,115.1,124.0,116.7,160.0,94.0,110.0,126.9,,122.2,115.0,133.4,107.8,121.0,104.3,,86.0,476.0,136.0,97.1,132.0,118.4,110.9,102.1,18.4,22.0,14.7,58.0,-8.0,8.0,24.9,,20.2,13.0,31.4,5.8,19.0,2.3,,-16.0,374.0,34.0,-4.9,30.0,16.4,8.9,0.1,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,True,True
Maryland,3052,3260.6,3137.4,3533.0,3290.1,3419.0,2854.5,3603.2,,,2778.6,3412.0,3370.6,3146.2,3315.0,3116.5,,3138.0,3384.0,3018.0,3436.5,3212.0,3061.7,3107.5,3239.8,208.6,481.0,238.1,367.0,-197.5,551.2,,,-273.4,360.0,318.6,94.2,263.0,64.5,,86.0,332.0,-34.0,384.5,160.0,9.7,55.5,187.8,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,True
Massachusetts,7827,8200.3,7971.4,8485.0,7807.8,7648.0,7250.3,8144.7,,,8106.3,8286.0,7826.8,7724.0,7624.0,8050.5,,7895.0,7267.0,7365.0,7940.1,7490.0,7174.7,7786.7,7774.1,373.3,658.0,-19.2,-179.0,-576.7,317.7,,,279.3,459.0,-0.2,-103.0,-203.0,223.5,,68.0,-560.0,-462.0,113.1,-337.0,-652.3,-40.3,-52.9,False,True,True,False,True,False,False,True,False,True,True,True,True,False,True,False,False,True,True,False,True,True
Michigan,6087,6488.1,6360.2,6460.0,6033.6,5841.0,5699.2,6307.6,6071.8,,5802.1,5921.0,6309.2,6321.9,5771.0,5876.3,4479.0,5688.5,5814.0,6420.0,6034.0,6062.0,5192.5,5876.4,5972.1,401.1,373.0,-53.4,-246.0,-387.8,220.6,-15.2,,-284.9,-166.0,222.2,234.9,-316.0,-210.7,-1608.0,-398.5,-273.0,333.0,-53.0,-25.0,-894.5,-210.6,-114.9,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True
Minnesota,1404,1541.4,1458.4,1832.0,1614.6,1801.0,1420.3,1617.7,1475.1,,1440.3,1490.0,1772.2,1449.5,1755.0,1615.7,1720.0,1418.0,1286.0,1800.0,1465.0,1623.0,1303.4,1506.5,1529.9,137.4,428.0,210.6,397.0,16.3,213.7,71.1,,36.3,86.0,368.2,45.5,351.0,211.7,316.0,14.0,-118.0,396.0,61.0,219.0,-100.6,102.5,125.9,False,False,False,True,False,True,False,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True
Mississippi,938,1045.4,992.8,1081.0,1070.8,1080.0,774.6,1096.8,1048.7,,897.9,790.0,1125.7,1050.0,1011.0,1081.7,,1140.0,947.0,942.0,922.3,1102.0,959.9,1079.1,1079.0,107.4,143.0,132.8,142.0,-163.4,158.8,110.7,,-40.1,-148.0,187.7,112.0,73.0,143.7,,202.0,9.0,4.0,-15.7,164.0,21.9,141.1,141.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,True,False,False
Missouri,965,945.4,923.2,981.0,1056.4,1074.0,763.0,1114.4,1067.9,,898.6,992.0,1213.9,982.2,972.0,992.6,,1038.5,1051.0,1022.0,1055.1,1126.0,875.4,1031.3,1053.7,-19.6,16.0,91.4,109.0,-202.0,149.4,102.9,,-66.4,27.0,248.9,17.2,7.0,27.6,,73.5,86.0,57.0,90.1,161.0,-89.6,66.3,88.7,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Montana,20,19.9,19.4,25.0,21.5,17.0,17.7,21.3,22.8,,16.0,17.0,49.8,23.9,17.0,18.3,,16.0,23.0,26.0,19.0,22.0,15.2,18.9,18.8,-0.1,5.0,1.5,-3.0,-2.3,1.3,2.8,,-4.0,-3.0,29.8,3.9,-3.0,-1.7,,-4.0,3.0,6.0,-1.0,2.0,-4.8,-1.1,-1.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nebraska,244,235.7,224.6,400.0,285.4,428.0,236.7,347.1,230.6,,293.1,307.0,401.9,227.2,228.0,254.5,,246.0,221.0,356.0,252.1,239.0,186.6,244.2,256.2,-8.3,156.0,41.4,184.0,-7.3,103.1,-13.4,,49.1,63.0,157.9,-16.8,-16.0,10.5,,2.0,-23.0,112.0,8.1,-5.0,-57.4,0.2,12.2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False
Nevada,486,522.7,504.8,563.0,506.9,513.0,442.8,577.2,,,570.2,576.0,551.9,495.7,491.0,484.9,,510.0,493.0,499.0,503.3,502.0,468.7,487.3,497.6,36.7,77.0,20.9,27.0,-43.2,91.2,,,84.2,90.0,65.9,9.7,5.0,-1.1,,24.0,7.0,13.0,17.3,16.0,-17.3,1.3,11.6,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True
New Hampshire,339,347.9,330.5,387.0,348.4,308.0,237.8,309.7,333.9,,319.7,268.0,390.4,356.2,377.0,378.5,,332.0,339.0,296.0,330.5,301.0,303.1,365.5,358.8,8.9,48.0,9.4,-31.0,-101.2,-29.3,-5.1,,-19.3,-71.0,51.4,17.2,38.0,39.5,,-7.0,0.0,-43.0,-8.5,-38.0,-35.9,26.5,19.8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
New Jersey,12924,13298.0,13027.6,14438.0,12819.3,12525.0,12135.0,12960.6,,,12430.5,13125.0,12705.7,13226.1,12518.0,12844.8,,13313.5,12904.0,12609.0,13042.6,12820.0,11566.0,12528.1,12870.2,374.0,1514.0,-104.7,-399.0,-789.0,36.6,,,-493.5,201.0,-218.3,302.1,-406.0,-79.2,,389.5,-20.0,-315.0,118.6,-104.0,-1358.0,-395.9,-53.8,False,True,False,False,True,False,False,False,True,True,True,False,True,False,False,True,True,True,True,False,False,True
New Mexico,466,467.4,448.6,584.0,472.5,440.0,370.5,535.0,473.9,,474.0,428.0,502.8,450.5,465.0,498.9,,477.0,485.0,488.0,472.8,445.0,404.7,467.5,473.6,1.4,118.0,6.5,-26.0,-95.5,69.0,7.9,,8.0,-38.0,36.8,-15.5,-1.0,32.9,,11.0,19.0,22.0,6.8,-21.0,-61.3,1.5,7.6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
New York,31083,31621.1,31310.6,35708.0,30890.3,31033.0,31008.8,31330.3,,,31054.0,32278.0,30351.9,31406.9,30275.0,30617.4,,29442.5,29587.0,30745.0,30834.0,30762.0,28738.2,30453.0,31016.2,538.1,4625.0,-192.7,-50.0,-74.2,247.3,,,-29.0,1195.0,-731.1,323.9,-808.0,-465.6,,-1640.5,-1496.0,-338.0,-249.0,-321.0,-2344.8,-630.0,-66.8,False,True,True,True,True,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,True
North Carolina,1215,1374.1,1300.3,1528.0,1540.9,2525.0,1055.3,1316.3,,,1243.8,1082.0,1718.9,1436.8,1531.0,1278.1,,1306.0,1054.0,1755.0,1316.3,1568.0,1453.8,1257.0,1306.8,159.1,313.0,325.9,1310.0,-159.7,101.3,,,28.8,-133.0,503.9,221.8,316.0,63.1,,91.0,-161.0,540.0,101.3,353.0,238.8,42.0,91.8,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,True
North Dakota,76,83.9,80.0,103.0,92.8,92.0,71.4,120.6,74.7,,77.4,110.0,125.7,71.1,89.0,89.5,,78.0,331.0,85.0,75.8,76.0,78.1,103.9,90.5,7.9,27.0,16.8,16.0,-4.6,44.6,-1.3,,1.4,34.0,49.7,-4.9,13.0,13.5,,2.0,255.0,9.0,-0.2,0.0,2.1,27.9,14.5,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,True,True,False,False
Ohio,2697,2686.4,2596.6,3371.0,2845.1,3122.0,2351.6,2785.2,2893.1,,2809.7,2726.0,3598.6,2695.7,2667.0,2841.4,2653.0,2339.0,2890.0,2594.0,2694.5,2649.0,2430.2,2661.4,2794.9,-10.6,674.0,148.1,425.0,-345.4,88.2,196.1,,112.7,29.0,901.6,-1.3,-30.0,144.4,-44.0,-358.0,193.0,-103.0,-2.5,-48.0,-266.8,-35.6,97.9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Oklahoma,368,399.7,388.6,462.0,398.6,399.0,352.1,430.0,431.8,,356.1,335.0,526.6,359.5,408.0,362.2,,373.0,358.0,419.0,368.9,383.0,391.4,381.1,399.0,31.7,94.0,30.6,31.0,-15.9,62.0,63.8,,-11.9,-33.0,158.6,-8.5,40.0,-5.8,,5.0,-10.0,51.0,0.9,15.0,23.4,13.1,31.0,False,True,True,True,False,False,False,True,False,False,True,False,True,False,True,True,False,True,True,True,True,True
Oregon,188,167.3,164.9,224.0,186.8,185.0,164.3,226.9,183.7,,166.2,170.0,264.1,179.5,179.0,168.2,,179.0,160.0,196.0,181.8,170.0,180.5,165.0,168.5,-20.7,36.0,-1.2,-3.0,-23.7,38.9,-4.3,,-21.8,-18.0,76.1,-8.5,-9.0,-19.8,,-9.0,-28.0,8.0,-6.2,-18.0,-7.5,-23.0,-19.5,False,True,True,False,False,True,False,False,True,False,True,True,True,False,True,False,True,True,True,True,False,True
Pennsylvania,6419,6752.1,6549.8,7706.0,6630.7,6578.0,5819.8,6312.5,,,6183.7,5859.0,7396.8,6522.6,6683.0,6876.4,,6854.0,6437.0,5850.0,6706.1,6508.0,5750.6,6332.7,6544.0,333.1,1287.0,211.7,159.0,-599.2,-106.5,,,-235.3,-560.0,977.8,103.6,264.0,457.4,,435.0,18.0,-569.0,287.1,89.0,-668.4,-86.3,125.0,False,True,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,True,False,True,True
Rhode Island,894,1032.3,979.2,998.0,924.9,822.0,718.5,882.0,,,970.4,898.0,989.3,880.9,841.0,1033.0,,1045.5,,807.0,858.1,1010.0,626.2,970.6,957.3,138.3,104.0,30.9,-72.0,-175.5,-12.0,,,76.4,4.0,95.3,-13.1,-53.0,139.0,,151.5,,-87.0,-35.9,116.0,-267.8,76.6,63.3,True,True,True,False,True,False,False,True,True,True,True,True,False,False,False,False,True,True,True,False,True,True
South Carolina,644,662.6,634.1,658.0,688.2,775.0,516.1,706.1,663.1,,590.2,559.0,779.2,732.9,666.0,612.5,,607.0,619.0,920.0,631.7,692.0,637.3,622.9,690.0,18.6,14.0,44.2,131.0,-127.9,62.1,19.1,,-53.8,-85.0,135.2,88.9,22.0,-31.5,,-37.0,-25.0,276.0,-12.3,48.0,-6.7,-21.1,46.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
South Dakota,81,96.3,90.5,141.0,95.1,82.0,76.4,113.5,119.3,,62.8,70.0,145.6,76.7,86.0,91.1,,92.0,73.0,93.0,76.4,90.0,71.5,105.5,96.3,15.3,60.0,14.1,1.0,-4.6,32.5,38.3,,-18.2,-11.0,64.6,-4.3,5.0,10.1,,11.0,-8.0,12.0,-4.6,9.0,-9.5,24.5,15.3,False,True,True,True,False,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,False,True
Tennessee,524,444.0,430.5,736.0,519.0,905.0,460.3,512.5,531.0,,525.2,497.0,628.4,435.0,464.0,459.7,,441.0,420.0,788.0,420.6,451.0,423.1,440.4,470.6,-80.0,212.0,-5.0,381.0,-63.7,-11.5,7.0,,1.2,-27.0,104.4,-89.0,-60.0,-64.3,,-83.0,-104.0,264.0,-103.4,-73.0,-100.9,-83.6,-53.4,False,True,False,True,True,True,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,True
Texas,2183,2095.0,2024.0,2639.0,2335.9,2630.0,1965.0,2486.8,,,1888.3,2014.0,2971.7,2330.9,2179.0,2087.6,,2260.0,2068.0,2742.0,2235.3,2162.0,2195.0,2095.1,2293.6,-88.0,456.0,152.9,447.0,-218.0,303.8,,,-294.7,-169.0,788.7,147.9,-4.0,-95.4,,77.0,-115.0,559.0,52.3,-21.0,12.0,-87.9,110.6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True,True,False
Utah,155,158.7,151.0,263.0,176.8,212.0,155.0,204.7,168.2,,163.0,154.0,228.6,176.5,155.0,161.8,,171.0,146.0,400.0,159.9,170.0,138.3,168.0,170.4,3.7,108.0,21.8,57.0,0.0,49.7,13.2,,8.0,-1.0,73.6,21.5,0.0,6.8,,16.0,-9.0,245.0,4.9,15.0,-16.7,13.0,15.4,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Vermont,56,57.9,57.4,71.0,59.0,56.0,56.2,65.9,62.5,,56.5,55.0,65.8,58.4,55.0,58.1,,56.0,55.0,60.0,62.0,57.0,54.3,57.4,57.8,1.9,15.0,3.0,0.0,0.2,9.9,6.5,,0.5,-1.0,9.8,2.4,-1.0,2.1,,0.0,-1.0,4.0,6.0,1.0,-1.7,1.4,1.8,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,True,True
Virginia,1607,1957.9,1859.3,2129.0,2042.1,2763.0,1595.0,2219.9,,,2035.6,1902.0,2146.1,1815.1,1969.0,1909.2,,1704.5,1750.0,1977.0,1946.0,2034.0,1939.2,1806.9,1867.5,350.9,522.0,435.1,1156.0,-12.0,612.9,,,428.6,295.0,539.1,208.1,362.0,302.2,,97.5,143.0,370.0,339.0,427.0,332.2,199.9,260.5,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,True,True,True
Washington,1265,1280.9,1253.3,1485.0,1259.3,1299.0,1179.7,1269.3,,,1162.5,1285.0,1325.3,1318.5,1210.0,1228.5,,1191.0,1192.0,1689.0,1213.6,1301.0,1181.8,1219.4,1235.4,15.9,220.0,-5.7,34.0,-85.3,4.3,,,-102.5,20.0,60.3,53.5,-55.0,-36.5,,-74.0,-73.0,424.0,-51.4,36.0,-83.2,-45.6,-29.6,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
West Virginia,88,83.6,82.1,121.0,100.0,117.0,84.7,98.1,93.6,,98.7,77.0,170.1,103.4,89.0,87.5,,83.0,78.0,114.0,99.7,90.0,90.9,88.0,88.3,-4.4,33.0,12.0,29.0,-3.3,10.1,5.6,,10.7,-11.0,82.1,15.4,1.0,-0.5,,-5.0,-10.0,26.0,11.7,2.0,2.9,-0.0,0.3,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True
Wisconsin,744,826.3,786.7,823.0,918.7,1302.0,656.9,979.0,911.6,,708.5,761.0,996.1,733.5,915.0,751.2,903.5,692.0,686.0,680.0,729.8,1158.0,950.5,904.6,765.1,82.3,79.0,174.7,558.0,-87.1,235.0,167.6,,-35.5,17.0,252.1,-10.5,171.0,7.2,159.5,-52.0,-58.0,-64.0,-14.2,414.0,206.5,160.6,21.1,True,False,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True,False,False,False,True
Wyoming,20,27.4,25.5,28.0,24.9,16.0,17.0,22.5,35.0,,27.8,16.0,41.9,20.0,20.0,28.6,,13.0,,26.0,17.1,25.0,13.1,36.4,26.2,7.4,8.0,4.9,-4.0,-3.0,2.5,15.0,,7.8,-4.0,21.9,-0.0,0.0,8.6,,-7.0,,6.0,-2.9,5.0,-6.9,16.4,6.2,False,True,True,True,True,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,False,True
