,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
New York,31817,32647.1,35515.0,33216.5,31088.4,31374.0,31311.9,30113.0,,31972.0,30771.5,31843.7,30689.8,,28435.0,29556.0,31878.0,31404.6,30802.0,29277.5,30826.5,31396.8,1814.1,4682.0,2383.5,255.4,541.0,478.9,-720.0,,1139.0,-61.5,1010.7,-143.2,,-2398.0,-1277.0,1045.0,571.6,-31.0,-1555.5,-6.5,563.8,False,False,True,True,True,True,,True,True,True,True,,False,True,True,True,True,True,True,True
North Carolina,1215,1162.0,1549.0,1185.9,1457.3,2757.0,979.5,1542.0,,1054.0,1796.3,1199.9,1130.2,,1100.0,982.0,1946.0,1271.6,1195.0,1379.7,1111.0,1149.3,-53.0,334.0,-29.1,242.3,1542.0,-235.5,327.0,,-161.0,581.3,-15.1,-84.8,,-115.0,-233.0,731.0,56.6,-20.0,164.7,-104.0,-65.7,False,True,False,False,False,False,,False,False,True,False,,False,False,False,False,True,False,False,False
North Dakota,76,91.6,95.0,92.0,115.8,152.0,70.7,89.0,99.3,222.0,170.8,103.3,106.8,,84.0,1635.0,84.0,79.5,99.0,93.2,155.5,100.3,15.6,19.0,16.0,39.8,76.0,-5.3,13.0,23.3,146.0,94.8,27.3,30.8,,8.0,1559.0,8.0,3.5,23.0,17.2,79.5,24.3,False,False,False,False,True,True,False,False,False,False,False,,True,False,True,True,False,False,False,False
Ohio,2697,3295.9,2410.0,3339.7,3193.0,2856.0,2524.9,2668.0,,2493.0,4520.2,2922.1,3333.6,831.0,3314.0,,2954.0,2689.7,3016.0,2901.8,3494.0,3310.5,598.9,-287.0,642.7,496.0,159.0,-172.1,-29.0,,-204.0,1823.2,225.1,636.6,-1866.0,617.0,,257.0,-7.3,319.0,204.8,797.0,613.5,True,False,True,True,True,True,,True,False,True,False,False,False,,True,True,True,True,False,False
Oklahoma,368,399.7,446.0,403.1,401.7,368.0,342.0,395.0,413.5,365.0,613.7,394.8,351.8,,354.0,,512.0,367.1,383.0,421.3,366.0,389.2,31.7,78.0,35.1,33.7,0.0,-26.0,27.0,45.5,-3.0,245.7,26.8,-16.2,,-14.0,,144.0,-0.9,15.0,53.3,-2.0,21.2,False,False,False,True,True,True,False,True,False,True,True,,True,,False,True,True,False,True,True
Oregon,189,190.4,263.0,187.0,191.5,182.0,166.4,189.0,253.1,158.0,326.5,169.8,174.0,,178.0,213.0,164.0,190.1,169.0,198.8,172.0,177.3,1.4,74.0,-2.0,2.5,-7.0,-22.6,0.0,64.1,-31.0,137.5,-19.2,-15.0,,-11.0,24.0,-25.0,1.1,-20.0,9.8,-17.0,-11.7,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,True,False,False,False,False
Pennsylvania,6419,7608.4,6765.0,7639.6,7029.2,6265.0,5777.6,6998.0,,5749.0,8094.6,6820.4,7632.1,,8170.0,8577.0,5990.0,6835.5,6558.0,5481.3,6946.5,7064.1,1189.4,346.0,1220.6,610.2,-154.0,-641.4,579.0,,-670.0,1675.6,401.4,1213.1,,1751.0,2158.0,-429.0,416.5,139.0,-937.7,527.5,645.1,True,False,True,True,True,True,,True,False,True,False,,False,False,True,True,True,True,True,True
Rhode Island,908,1028.4,897.0,1028.9,981.7,782.0,652.2,739.0,1695.0,791.0,1045.3,868.5,984.3,,800.0,875.0,779.0,826.9,956.0,614.1,975.0,948.6,131.4,0.0,131.9,84.7,-115.0,-244.8,-158.0,798.0,-106.0,148.3,-28.5,87.3,,-97.0,-22.0,-118.0,-70.1,59.0,-282.9,78.0,51.6,True,False,True,True,False,False,False,True,False,True,True,,True,True,True,True,True,False,True,True
South Carolina,644,627.9,613.0,605.3,655.5,664.0,480.9,639.0,,529.0,817.1,653.4,590.3,,612.0,651.0,846.0,621.8,642.0,591.1,627.0,675.1,-16.1,-31.0,-38.7,11.5,20.0,-163.1,-5.0,,-115.0,173.1,9.4,-53.7,,-32.0,7.0,202.0,-22.2,-2.0,-52.9,-17.0,31.1,False,False,True,False,False,True,,False,False,True,False,,False,True,False,False,True,False,False,False
South Dakota,81,73.1,130.0,74.0,90.1,71.0,77.3,88.0,78.8,93.0,167.5,85.8,80.9,,59.0,130.0,213.0,68.4,71.0,61.5,97.0,100.0,-7.9,49.0,-7.0,9.1,-10.0,-3.7,7.0,-2.2,12.0,86.5,4.8,-0.1,,-22.0,49.0,132.0,-12.6,-10.0,-19.5,16.0,19.0,False,True,False,False,True,True,True,False,False,True,True,,False,False,False,False,False,False,False,False
Tennessee,524,482.6,668.0,464.9,510.7,733.0,452.7,460.0,472.0,502.0,755.8,448.1,470.4,,440.0,,877.0,408.7,481.0,454.0,469.0,471.4,-41.4,144.0,-59.1,-13.3,209.0,-71.3,-64.0,-52.0,-22.0,231.8,-75.9,-53.6,,-84.0,,353.0,-115.3,-43.0,-70.0,-55.0,-52.6,False,False,True,False,False,False,False,True,False,False,False,,False,,False,False,False,False,False,False
Texas,2355,2241.6,2820.0,2116.8,2433.4,2623.0,1969.6,2025.0,2227.4,2482.0,4014.8,2036.0,2090.2,,2618.0,2704.0,1567.0,2259.8,2166.0,2302.9,2499.0,2608.3,-28.4,550.0,-153.2,163.4,353.0,-300.4,-245.0,-42.6,212.0,1744.8,-234.0,-179.8,,348.0,434.0,-703.0,-10.2,-104.0,32.9,229.0,338.3,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,False
Utah,155,162.6,235.0,173.0,191.1,229.0,150.6,140.0,358.3,114.0,299.6,147.9,178.0,,172.0,235.0,390.0,155.0,151.0,143.9,179.0,180.1,7.6,80.0,18.0,36.1,74.0,-4.4,-15.0,203.3,-41.0,144.6,-7.1,23.0,,17.0,80.0,235.0,-0.0,-4.0,-11.1,24.0,25.1,False,False,False,False,True,False,False,False,False,True,False,,False,False,False,True,True,False,False,False
Vermont,56,54.0,72.0,60.8,60.4,54.0,55.9,56.0,60.0,54.0,73.5,57.1,59.6,,60.0,,59.0,64.6,55.0,56.3,58.0,60.9,-2.0,16.0,4.8,4.4,-2.0,-0.1,0.0,4.0,-2.0,17.5,1.1,3.6,,4.0,,3.0,8.6,-1.0,0.3,2.0,4.9,False,False,False,False,True,True,False,False,False,True,False,,False,,False,False,True,True,False,False
Virginia,1607,1792.0,2056.0,1782.8,1856.1,2345.0,1468.8,1907.0,1908.8,1607.0,2423.5,1524.6,1716.3,,1602.0,2042.0,1765.0,1688.8,1690.0,1881.5,1726.0,1702.3,185.0,449.0,175.8,249.1,738.0,-138.2,300.0,301.8,0.0,816.5,-82.4,109.3,,-5.0,435.0,158.0,81.8,83.0,274.5,119.0,95.3,False,True,False,False,True,False,False,True,False,True,True,,True,False,True,True,True,False,True,True
Washington,1265,1292.4,1435.0,1253.9,1221.0,1190.0,1146.6,1146.0,,1224.0,1388.1,1274.2,1190.3,,1200.0,1224.0,1257.0,1196.2,1225.0,1187.9,1198.0,1225.4,27.4,170.0,-11.1,-44.0,-75.0,-118.4,-119.0,,-41.0,123.1,9.2,-74.7,,-65.0,-41.0,-8.0,-68.8,-40.0,-77.1,-67.0,-39.6,False,True,False,False,False,False,,False,False,True,False,,False,False,True,False,False,False,False,False
West Virginia,88,91.3,109.0,104.0,119.5,109.0,79.6,90.0,119.0,75.0,267.7,150.9,96.6,,92.0,127.0,250.0,103.2,104.0,99.6,94.0,93.6,3.3,21.0,16.0,31.5,21.0,-8.4,2.0,31.0,-13.0,179.7,62.9,8.6,,4.0,39.0,162.0,15.2,16.0,11.6,6.0,5.6,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False
Wisconsin,744,729.9,949.0,722.9,810.5,1014.0,621.8,871.0,980.0,764.0,1039.9,745.1,664.3,554.5,690.0,703.0,1270.0,700.5,765.0,845.3,688.0,676.8,-14.1,205.0,-21.1,66.5,270.0,-122.2,127.0,236.0,20.0,295.9,1.1,-79.7,-189.5,-54.0,-41.0,526.0,-43.5,21.0,101.3,-56.0,-67.2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Wyoming,20,27.4,24.0,32.0,22.8,16.0,15.4,15.0,27.2,12.0,54.7,16.6,26.3,,8.0,0.0,30.0,13.6,19.0,25.9,35.0,19.8,7.4,4.0,12.0,2.8,-4.0,-4.6,-5.0,7.2,-8.0,34.7,-3.4,6.3,,-12.0,-20.0,10.0,-6.4,-1.0,5.9,15.0,-0.2,True,False,True,True,True,True,True,False,False,True,True,,False,False,False,True,True,True,False,True
US,122510,129186.6,,130417.8,123247.2,124781.0,111300.6,120214.0,118940.5,119943.0,141013.9,121033.5,119757.9,,121059.0,,129090.0,119280.2,119372.0,112867.8,123781.5,125936.4,9864.6,,11095.8,3925.2,5459.0,-8021.4,892.0,-381.5,621.0,21691.9,1711.5,435.9,,1737.0,,9768.0,-41.8,50.0,-6454.2,4459.5,6614.4,,False,True,True,True,True,True,True,False,True,True,,True,,True,True,True,True,True,True
