,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan,error-COVIDhub,error-CU,error-Covid19Sim,error-CovidActNow,error-GT,error-GT_CHHS,error-IHME,error-IowaStateLW,error-JHU_IDD,error-LANL,error-MIT_CovidAnalytics,error-MOBS_NEU,error-NotreDame,error-OliverWyman,error-PSI,error-SWC,error-UA,error-UCLA,error-UMass,error-USACE,error-UT,error-YYG,beat_baseline-Auquan,beat_baseline-COVIDhub,beat_baseline-CU,beat_baseline-Covid19Sim,beat_baseline-CovidActNow,beat_baseline-GT,beat_baseline-GT_CHHS,beat_baseline-IHME,beat_baseline-IowaStateLW,beat_baseline-JHU_IDD,beat_baseline-LANL,beat_baseline-MIT_CovidAnalytics,beat_baseline-MOBS_NEU,beat_baseline-NotreDame,beat_baseline-OliverWyman,beat_baseline-PSI,beat_baseline-SWC,beat_baseline-UA,beat_baseline-UCLA,beat_baseline-UMass,beat_baseline-USACE,beat_baseline-UT,beat_baseline-YYG
Nevada,486,477.0,472.6,602.0,497.7,517.0,451.8,863.1,524.7,,516.5,525.0,515.3,499.9,526.0,474.0,,482.1,420.0,504.0,563.0,486.5,483.0,456.6,474.8,482.9,-9.0,116.0,11.7,31.0,-34.2,377.1,38.7,,30.5,39.0,29.3,13.9,40.0,-12.0,,-3.9,-66.0,18.0,77.0,0.5,-3.0,-29.4,-11.2,-3.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True
New Hampshire,339,362.1,353.6,394.0,349.2,337.0,264.0,314.5,400.3,,344.5,298.0,378.1,333.4,366.0,380.7,,350.6,340.0,394.0,306.0,346.5,338.0,313.4,365.1,352.4,23.1,55.0,10.2,-2.0,-75.0,-24.5,61.3,,5.5,-41.0,39.1,-5.6,27.0,41.7,,11.6,1.0,55.0,-33.0,7.5,-1.0,-25.6,26.1,13.4,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,True,False,False,True
New Jersey,12924,13063.7,12964.6,14948.0,12790.1,12675.0,12271.7,12744.3,,,12694.0,13151.0,12748.9,12725.2,12605.0,12769.8,,12784.1,12926.5,12751.0,12462.0,12970.0,12752.0,11822.5,12730.6,12911.4,139.7,2024.0,-133.9,-249.0,-652.3,-179.7,,,-230.0,227.0,-175.1,-198.8,-319.0,-154.2,,-139.9,2.5,-173.0,-462.0,46.0,-172.0,-1101.5,-193.4,-12.6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
New Mexico,466,470.3,462.0,539.0,470.4,458.0,397.3,619.7,474.6,,494.9,449.0,477.9,489.6,467.0,476.2,,493.1,410.0,484.0,482.0,488.9,461.0,399.1,459.3,469.5,4.3,73.0,4.4,-8.0,-68.7,153.7,8.6,,28.9,-17.0,11.9,23.6,1.0,10.2,,27.1,-56.0,18.0,16.0,22.9,-5.0,-66.9,-6.7,3.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
New York,31083,31469.7,31347.4,35123.0,30988.0,30822.0,30951.0,31253.3,,,31231.1,31576.0,30931.0,31105.7,30659.0,30738.9,,31090.6,28758.0,30523.0,30895.0,30934.5,31043.0,29480.1,30740.1,31121.2,386.7,4040.0,-95.0,-261.0,-132.0,170.3,,,148.1,493.0,-152.0,22.7,-424.0,-344.1,,7.6,-2325.0,-560.0,-188.0,-148.5,-40.0,-1602.9,-342.9,38.2,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False,False,True,True,True,False,True,True
North Carolina,1215,1208.4,1188.7,2030.0,1341.7,1727.0,1143.5,1344.6,1331.5,,1359.3,1176.0,1510.3,1275.6,1527.0,1225.8,,,1174.5,1354.0,1528.0,1296.3,1238.0,1380.4,1208.6,1234.1,-6.6,815.0,126.7,512.0,-71.5,129.6,116.5,,144.3,-39.0,295.3,60.6,312.0,10.8,,,-40.5,139.0,313.0,81.3,23.0,165.4,-6.4,19.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
North Dakota,76,92.4,90.1,128.0,89.7,83.0,72.5,102.9,100.1,,83.4,85.0,115.8,84.9,86.0,96.1,,94.9,70.0,279.0,103.0,82.1,86.0,74.3,98.9,91.2,16.4,52.0,13.7,7.0,-3.5,26.9,24.1,,7.4,9.0,39.8,8.9,10.0,20.1,,18.9,-6.0,203.0,27.0,6.1,10.0,-1.7,22.9,15.2,False,True,True,True,False,False,False,True,True,False,True,True,False,False,False,True,False,False,True,True,True,False,True
Ohio,2697,2795.0,2748.6,3166.0,2777.4,2660.0,2463.1,2670.5,2921.3,,2740.2,2810.0,3204.8,2690.0,2675.0,2790.3,2909.0,2695.8,2923.0,2991.0,2590.0,2717.3,2642.0,2674.4,2741.9,2787.3,98.0,469.0,80.4,-37.0,-233.9,-26.5,224.3,,43.2,113.0,507.8,-7.0,-22.0,93.3,212.0,-1.2,226.0,294.0,-107.0,20.3,-55.0,-22.6,44.9,90.3,False,True,True,False,True,False,False,True,False,False,True,True,True,False,True,False,False,False,True,True,True,True,True
Oklahoma,368,374.0,371.1,503.0,378.4,360.0,361.3,422.9,403.8,,378.6,351.0,459.7,377.8,399.0,362.3,,372.3,340.0,402.0,419.0,371.0,373.0,364.3,368.7,380.1,6.0,135.0,10.4,-8.0,-6.7,54.9,35.8,,10.6,-17.0,91.7,9.8,31.0,-5.7,,4.3,-28.0,34.0,51.0,3.0,5.0,-3.7,0.7,12.1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,False
Oregon,188,181.6,179.5,226.0,179.0,166.0,168.1,253.4,181.8,,176.3,177.0,229.5,181.9,179.0,170.3,,182.8,150.0,167.0,227.0,181.7,179.0,177.1,173.4,175.3,-6.4,38.0,-9.0,-22.0,-19.9,65.4,-6.2,,-11.7,-11.0,41.5,-6.1,-9.0,-17.7,,-5.2,-38.0,-21.0,39.0,-6.3,-9.0,-10.9,-14.6,-12.7,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
Pennsylvania,6419,6663.6,6583.1,7791.0,6537.0,6346.0,6028.9,6409.5,,,6406.1,6333.0,6868.7,6517.0,6667.0,6668.4,,6442.3,6867.0,6943.0,6220.0,6699.5,6424.0,5912.9,6476.9,6549.5,244.6,1372.0,118.0,-73.0,-390.1,-9.5,,,-12.9,-86.0,449.7,98.0,248.0,249.4,,23.3,448.0,524.0,-199.0,280.5,5.0,-506.1,57.9,130.5,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False,True,True
Rhode Island,894,872.3,861.1,1183.0,858.5,821.0,780.4,832.5,,,881.2,881.0,811.7,827.7,868.0,925.0,,821.4,842.0,934.0,795.0,854.5,834.0,628.3,868.5,893.0,-21.7,289.0,-35.5,-73.0,-113.6,-61.5,,,-12.8,-13.0,-82.3,-66.3,-26.0,31.0,,-72.6,-52.0,40.0,-99.0,-39.5,-60.0,-265.7,-25.5,-1.0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
South Carolina,644,642.6,631.8,791.0,676.0,790.0,554.3,764.0,688.2,,642.4,595.0,740.4,698.5,734.0,618.7,,749.3,577.0,667.0,913.0,637.2,705.0,647.8,626.6,665.5,-1.4,147.0,32.0,146.0,-89.7,120.0,44.2,,-1.6,-49.0,96.4,54.5,90.0,-25.3,,105.3,-67.0,23.0,269.0,-6.8,61.0,3.8,-17.4,21.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
South Dakota,81,70.6,69.9,140.0,81.7,101.0,77.1,97.3,78.0,,73.6,74.0,110.8,77.6,79.0,76.0,,74.7,75.5,78.0,107.0,73.9,74.0,69.7,78.8,78.8,-10.4,59.0,0.7,20.0,-3.9,16.3,-3.0,,-7.4,-7.0,29.8,-3.4,-2.0,-5.0,,-6.3,-5.5,-3.0,26.0,-7.1,-7.0,-11.3,-2.2,-2.2,False,True,False,True,False,True,False,True,True,False,True,True,True,False,True,True,True,False,True,True,False,True,True
Tennessee,524,518.3,507.1,788.0,512.9,610.0,481.2,532.3,590.2,,502.5,522.0,593.3,477.5,495.0,501.2,,532.9,402.0,483.0,552.0,481.3,508.0,477.6,484.5,509.0,-5.7,264.0,-11.1,86.0,-42.8,8.3,66.2,,-21.5,-2.0,69.3,-46.5,-29.0,-22.8,,8.9,-122.0,-41.0,28.0,-42.7,-16.0,-46.4,-39.5,-15.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Texas,2183,2149.3,2114.9,3216.0,2198.1,2378.0,2019.2,2394.3,2137.5,,2143.0,2028.0,2572.6,2070.4,2218.0,2127.8,,2228.5,2071.0,2340.0,2580.0,2164.2,2190.0,2247.6,2115.1,2215.8,-33.7,1033.0,15.1,195.0,-163.8,211.3,-45.5,,-40.0,-155.0,389.6,-112.6,35.0,-55.2,,45.5,-112.0,157.0,397.0,-18.8,7.0,64.6,-67.9,32.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
Utah,155,135.9,134.2,297.0,160.4,219.0,155.2,258.0,165.5,,158.2,167.0,181.7,159.9,156.0,145.4,,,159.5,666.0,284.0,153.6,156.0,144.9,146.8,144.9,-19.1,142.0,5.4,64.0,0.2,103.0,10.5,,3.2,12.0,26.7,4.9,1.0,-9.6,,,4.5,511.0,129.0,-1.4,1.0,-10.1,-8.2,-10.1,False,True,False,True,False,True,False,True,True,False,True,True,True,False,False,True,False,False,True,True,True,True,True
Vermont,56,55.0,55.0,69.0,58.5,59.0,56.2,73.1,57.5,,58.1,55.0,61.5,71.6,55.0,56.5,,56.9,50.0,,65.0,58.6,59.0,51.4,56.1,56.4,-1.0,13.0,2.5,3.0,0.2,17.1,1.5,,2.1,-1.0,5.5,15.6,-1.0,0.5,,0.9,-6.0,,9.0,2.6,3.0,-4.6,0.1,0.4,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True
Virginia,1607,1652.1,1632.0,2577.0,1727.8,1968.0,1647.5,1958.0,,,1759.5,1782.0,1855.3,1560.2,1800.0,1699.5,,1531.8,1619.5,1747.0,2478.0,1736.7,1590.0,1732.2,1626.1,1662.4,45.1,970.0,120.8,361.0,40.5,351.0,,,152.5,175.0,248.3,-46.8,193.0,92.5,,-75.2,12.5,140.0,871.0,129.7,-17.0,125.2,19.1,55.4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
Washington,1265,1229.4,1221.3,1521.0,1235.8,1234.0,1196.3,1348.4,,,1188.6,1288.0,1278.3,1259.5,1256.0,1214.6,,1265.3,1167.0,1239.0,1368.0,1214.5,1243.0,1209.7,1210.8,1228.2,-35.6,256.0,-29.2,-31.0,-68.7,83.4,,,-76.4,23.0,13.3,-5.5,-9.0,-50.4,,0.3,-98.0,-26.0,103.0,-50.5,-22.0,-55.3,-54.2,-36.8,False,True,True,False,False,False,False,False,True,True,True,True,False,False,True,False,True,False,False,True,False,False,False
