,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,2642,2683.3,3039.0,2716.0,2625.5,2619.0,2487.2,2546.4,2582.0,,2576.3,2588.0,,,2607.0,2577.2,2702.5,2671.9,,2669.8,2569.0,2609.0,2644.0,2653.1,2635.0,2311.0,2576.0,2647.7,2728.0,41.3,397.0,74.0,-16.5,-23.0,-154.8,-95.6,-60.0,,-65.7,-54.0,,,-35.0,-64.8,60.5,29.9,,27.8,-73.0,-33.0,2.0,11.1,-7.0,-331.0,-66.0,5.7,86.0,False,False,True,True,False,False,False,,False,False,,,True,False,False,True,,True,False,True,True,True,True,False,False,True,False
Hawaii,17,17.0,22.0,17.0,18.3,17.0,17.6,19.4,17.0,,,16.9,,,,17.3,19.0,17.3,,17.0,17.0,20.0,24.0,17.3,17.0,22.4,17.0,17.3,,0.0,5.0,0.0,1.3,0.0,0.6,2.4,0.0,,,-0.1,,,,0.3,2.0,0.3,,0.0,0.0,3.0,7.0,0.3,0.0,5.4,0.0,0.3,,False,True,False,True,False,False,True,,,False,,,,False,False,False,,True,True,False,False,False,True,False,True,False,
Idaho,89,90.4,114.0,91.0,90.6,88.0,89.6,102.0,98.0,91.0,,88.7,,,86.0,94.8,90.0,88.4,,91.6,87.0,88.0,89.0,88.8,90.0,92.1,89.0,89.3,,1.4,25.0,2.0,1.6,-1.0,0.6,13.0,9.0,2.0,,-0.3,,,-3.0,5.8,1.0,-0.6,,2.6,-2.0,-1.0,0.0,-0.2,1.0,3.1,0.0,0.3,,False,False,False,True,True,False,False,False,,True,,,False,False,True,True,,False,False,True,True,True,True,False,True,True,
Illinois,6625,6654.3,8020.0,6714.0,6718.8,6513.0,6562.7,6937.9,6524.0,6621.1,,6458.2,,,7072.0,6710.5,6585.0,6731.9,6835.5,6601.0,7215.5,6974.0,6577.0,6576.0,6555.0,6278.7,6938.0,6628.6,6780.0,29.3,1395.0,89.0,93.8,-112.0,-62.3,312.9,-101.0,-3.9,,-166.8,,,447.0,85.5,-40.0,106.9,210.5,-24.0,590.5,349.0,-48.0,-49.0,-70.0,-346.3,313.0,3.6,155.0,False,False,False,False,False,False,False,True,,False,,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
Indiana,2536,2524.0,2980.0,2534.0,2536.9,2531.0,2586.5,2562.6,2518.0,,,2332.5,,,2430.0,2339.5,2538.1,2545.1,2562.0,2527.9,2534.0,2533.0,2525.0,2506.3,2516.0,2602.7,2534.5,2535.0,2641.0,-12.0,444.0,-2.0,0.9,-5.0,50.5,26.6,-18.0,,,-203.5,,,-106.0,-196.5,2.1,9.1,26.0,-8.1,-2.0,-3.0,-11.0,-29.7,-20.0,66.7,-1.5,-1.0,105.0,False,True,True,True,False,False,False,,,False,,,False,False,True,True,False,True,True,True,True,False,False,False,True,True,False
Iowa,681,692.3,861.0,701.0,704.4,732.0,759.8,697.4,691.0,688.4,,707.3,,,683.0,725.9,715.8,724.3,,697.2,729.0,732.0,678.0,694.6,688.0,680.4,703.0,692.7,,11.3,180.0,20.0,23.4,51.0,78.8,16.4,10.0,7.4,,26.3,,,2.0,44.9,34.8,43.3,,16.2,48.0,51.0,-3.0,13.6,7.0,-0.6,22.0,11.7,,False,False,False,False,False,False,True,True,,False,,,True,False,False,False,,False,False,False,True,False,True,True,False,False,
Kansas,256,255.3,335.0,257.0,255.9,256.0,255.7,253.4,252.0,257.8,,258.2,,,277.0,263.0,254.0,252.8,,253.4,251.0,256.0,252.0,255.8,252.0,191.7,252.0,255.1,,-0.7,79.0,1.0,-0.1,0.0,-0.3,-2.6,-4.0,1.8,,2.2,,,21.0,7.0,-2.0,-3.2,,-2.6,-5.0,0.0,-4.0,-0.2,-4.0,-64.3,-4.0,-0.9,,False,False,True,True,True,False,False,False,,False,,,False,False,False,False,,False,False,True,False,True,False,False,False,False,
Kentucky,524,523.9,632.0,528.0,538.1,542.0,530.5,612.2,536.0,543.4,,532.1,,,550.0,539.4,536.9,526.6,547.0,525.8,519.0,526.0,520.0,537.0,522.0,476.1,555.0,525.4,,-0.1,108.0,4.0,14.1,18.0,6.5,88.2,12.0,19.4,,8.1,,,26.0,15.4,12.9,2.6,23.0,1.8,-5.0,2.0,-4.0,13.0,-2.0,-47.9,31.0,1.4,,False,False,False,False,False,False,False,False,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Louisiana,3104,3080.9,3400.0,3083.0,3106.2,3081.0,3135.8,3149.1,3130.0,,,3113.4,,,3086.0,3004.5,3223.3,3058.6,,3106.6,3080.0,3083.0,3097.0,3092.7,3094.0,2922.2,3067.0,3092.3,,-23.1,296.0,-21.0,2.2,-23.0,31.8,45.1,26.0,,,9.4,,,-18.0,-99.5,119.3,-45.4,,2.6,-24.0,-21.0,-7.0,-11.3,-10.0,-181.8,-37.0,-11.7,,False,True,True,True,False,False,False,,,True,,,True,False,False,False,,True,False,True,True,True,True,False,False,True,
Maine,102,100.9,126.0,102.0,104.6,107.0,92.8,107.8,110.0,105.4,,107.7,,,106.0,107.8,105.5,104.0,,101.5,100.0,102.0,104.0,102.1,104.0,99.2,104.0,102.7,,-1.1,24.0,0.0,2.6,5.0,-9.2,5.8,8.0,3.4,,5.7,,,4.0,5.8,3.5,2.0,,-0.5,-2.0,0.0,2.0,0.1,2.0,-2.8,2.0,0.7,,False,True,False,False,False,False,False,False,,False,,,False,False,False,False,,True,False,True,False,True,False,False,False,True,
Maryland,3052,3101.9,3610.0,3112.0,3108.7,3088.0,3096.0,3188.9,3107.0,3091.0,,3123.9,,,3274.0,3175.1,3083.4,3096.9,,3064.6,3073.0,3066.0,3024.0,3062.4,3062.0,3017.9,3105.0,3084.3,3215.0,49.9,558.0,60.0,56.7,36.0,44.0,136.9,55.0,39.0,,71.9,,,222.0,123.1,31.4,44.9,,12.6,21.0,14.0,-28.0,10.4,10.0,-34.1,53.0,32.3,163.0,False,False,False,True,True,False,False,True,,False,,,False,False,True,True,,True,True,True,True,True,True,True,False,True,False
Massachusetts,7828,7888.0,8701.0,7863.0,7841.6,7782.0,7799.7,7881.3,7781.0,,,7705.7,,,8122.0,7857.6,7805.4,7896.5,,7796.4,7878.0,7858.0,7743.0,7811.1,7814.0,7870.9,7845.0,7849.1,7907.0,60.0,873.0,35.0,13.6,-46.0,-28.3,53.3,-47.0,,,-122.3,,,294.0,29.6,-22.6,68.5,,-31.6,50.0,30.0,-85.0,-16.9,-14.0,42.9,17.0,21.1,79.0,False,True,True,True,True,True,True,,,False,,,False,True,True,False,,True,True,True,False,True,True,True,True,True,False
Michigan,6087,6092.3,6565.0,6110.0,6153.2,6189.0,6143.1,6248.5,6188.0,6141.6,,6223.6,,,6306.0,6153.7,6121.7,6111.7,6135.0,6076.5,6233.5,6081.0,6089.0,6175.4,6080.0,5653.2,6134.0,6109.8,,5.3,478.0,23.0,66.2,102.0,56.1,161.5,101.0,54.6,,136.6,,,219.0,66.7,34.7,24.7,48.0,-10.5,146.5,-6.0,2.0,88.4,-7.0,-433.8,47.0,22.8,,False,False,False,False,False,False,False,False,,False,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,
Minnesota,1404,1442.1,1651.0,1447.0,1438.1,1473.0,1507.1,1418.2,1447.0,1430.0,,1410.4,,,1337.0,1430.8,1440.2,1466.4,1444.0,1425.4,1429.0,1508.0,1349.0,1432.8,1420.0,1216.2,1459.0,1441.7,1491.0,38.1,247.0,43.0,34.1,69.0,103.1,14.2,43.0,26.0,,6.4,,,-67.0,26.8,36.2,62.4,40.0,21.4,25.0,104.0,-55.0,28.8,16.0,-187.8,55.0,37.7,87.0,False,False,True,False,False,True,False,True,,True,,,False,True,True,False,False,True,True,False,False,True,True,False,False,True,False
Mississippi,938,954.4,1202.0,967.0,962.3,981.0,1033.9,1009.8,969.0,956.6,,951.4,,,898.0,951.2,972.3,977.8,,961.1,961.5,975.0,921.0,944.4,943.0,902.3,966.0,956.1,,16.4,264.0,29.0,24.3,43.0,95.9,71.8,31.0,18.6,,13.4,,,-40.0,13.2,34.3,39.8,,23.1,23.5,37.0,-17.0,6.4,5.0,-35.7,28.0,18.1,,False,False,False,False,False,False,False,False,,True,,,False,True,False,False,,False,False,False,False,True,True,False,False,False,
Missouri,973,915.0,1031.0,922.0,941.3,930.0,970.7,1026.4,951.0,924.8,,947.9,,,981.0,922.8,956.9,910.8,,918.9,906.0,942.0,901.0,966.1,909.0,909.5,939.0,944.5,,-54.0,62.0,-47.0,-27.7,-39.0,1.7,57.4,-18.0,-44.2,,-21.1,,,12.0,-46.2,-12.1,-58.2,,-50.1,-63.0,-27.0,-68.0,-2.9,-60.0,-59.5,-30.0,-24.5,,False,True,True,True,True,False,True,True,,True,,,True,True,True,False,,True,False,True,False,True,False,False,True,True,
Montana,20,19.9,23.0,18.0,19.7,18.0,17.9,23.6,19.0,18.9,,17.3,,,18.0,21.9,20.5,18.3,,20.1,19.0,20.0,20.0,19.6,20.0,18.1,19.0,19.7,,-0.1,3.0,-2.0,-0.3,-2.0,-2.1,3.6,-1.0,-1.1,,-2.7,,,-2.0,1.9,0.5,-1.7,,0.1,-1.0,0.0,0.0,-0.4,0.0,-1.9,-1.0,-0.3,,False,False,False,False,False,False,False,False,,False,,,False,False,False,False,,True,False,True,True,False,True,False,False,False,
Nebraska,244,239.0,347.0,243.0,238.1,256.0,232.0,250.2,223.0,,,242.4,,,241.0,256.9,228.3,239.0,,239.6,247.0,234.0,227.0,235.7,229.0,204.0,241.0,237.9,,-5.0,103.0,-1.0,-5.9,12.0,-12.0,6.2,-21.0,,,-1.6,,,-3.0,12.9,-15.7,-5.0,,-4.4,3.0,-10.0,-17.0,-8.3,-15.0,-40.0,-3.0,-6.1,,False,True,False,False,False,False,False,,,True,,,True,False,False,True,,True,True,False,False,False,False,False,True,False,
Nevada,486,484.4,577.0,487.0,495.5,477.0,499.6,547.2,513.0,496.3,,512.9,,,525.0,501.7,505.0,479.6,,494.5,478.0,485.0,487.0,485.3,486.0,459.0,480.0,483.6,,-1.6,91.0,1.0,9.5,-9.0,13.6,61.2,27.0,10.3,,26.9,,,39.0,15.7,19.0,-6.4,,8.5,-8.0,-1.0,1.0,-0.7,0.0,-27.0,-6.0,-2.4,,False,True,False,False,False,False,False,False,,False,,,False,False,False,False,,False,False,True,True,True,True,False,False,False,
New Hampshire,339,349.1,383.0,353.0,348.4,335.0,334.3,346.7,352.0,350.4,,355.7,,,317.0,345.3,340.3,360.8,,348.6,342.0,356.0,344.0,344.9,342.0,336.3,367.0,349.5,,10.1,44.0,14.0,9.4,-4.0,-4.7,7.7,13.0,11.4,,16.7,,,-22.0,6.3,1.3,21.8,,9.6,3.0,17.0,5.0,5.9,3.0,-2.7,28.0,10.5,,False,False,True,True,True,True,False,False,,False,,,False,True,True,False,,True,True,False,True,True,True,True,False,False,
New Jersey,12924,13073.0,14280.0,13136.0,12927.3,12815.0,12718.6,12828.3,12824.0,13016.9,,12732.1,,,13152.0,12880.9,12907.3,12919.5,,12964.4,12945.0,12904.0,12823.0,12960.7,12950.0,12743.8,12933.0,13003.5,13144.0,149.0,1356.0,212.0,3.3,-109.0,-205.4,-95.7,-100.0,92.9,,-191.9,,,228.0,-43.1,-16.7,-4.5,,40.4,21.0,-20.0,-101.0,36.7,26.0,-180.2,9.0,79.5,220.0,False,False,True,True,False,True,True,True,,False,,,False,True,True,True,,True,True,True,True,True,True,False,True,True,False
New Mexico,466,468.4,536.0,470.0,466.9,463.0,492.4,473.0,467.0,467.3,,496.3,,,459.0,462.4,458.7,470.1,,471.5,459.0,483.0,453.0,460.6,464.0,434.8,470.0,466.2,,2.4,70.0,4.0,0.9,-3.0,26.4,7.0,1.0,1.3,,30.3,,,-7.0,-3.6,-7.3,4.1,,5.5,-7.0,17.0,-13.0,-5.4,-2.0,-31.2,4.0,0.2,,False,False,True,False,False,False,True,True,,False,,,False,False,False,False,,False,False,False,False,False,True,False,False,True,
New York,31703,31211.6,33662.0,31310.0,31091.0,31032.0,30852.1,30853.0,30921.0,,,31245.6,,,31329.0,30945.5,31135.8,30975.8,,31150.0,31053.0,24688.0,30997.0,31059.4,31106.0,32192.4,30825.0,31103.6,31485.0,151.6,2602.0,250.0,31.0,-28.0,-207.9,-207.0,-139.0,,,185.6,,,269.0,-114.5,75.8,-84.2,,90.0,-7.0,-6372.0,-63.0,-0.6,46.0,1132.4,-235.0,43.6,425.0,False,False,True,True,False,False,True,,,False,,,False,True,True,True,,True,True,False,True,True,True,False,False,True,False
North Carolina,1215,1217.7,1615.0,1226.0,1255.5,1417.0,1311.8,1266.8,1321.0,1246.9,1269.7,1222.3,,,1206.0,1274.9,1270.1,1220.9,,1239.8,1204.0,1229.0,1257.0,1250.1,1221.0,987.9,1244.0,1218.5,,2.7,400.0,11.0,40.5,202.0,96.8,51.8,106.0,31.9,54.7,7.3,,,-9.0,59.9,55.1,5.9,,24.8,-11.0,14.0,42.0,35.1,6.0,-227.1,29.0,3.5,,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,
North Dakota,76,75.7,102.0,76.0,81.2,79.0,69.2,91.2,79.0,83.0,,80.8,,,82.0,84.1,79.8,80.6,,78.7,83.0,83.0,78.0,78.4,78.0,74.4,85.0,79.2,,-0.3,26.0,0.0,5.2,3.0,-6.8,15.2,3.0,7.0,,4.8,,,6.0,8.1,3.8,4.6,,2.7,7.0,7.0,2.0,2.4,2.0,-1.6,9.0,3.2,,False,True,False,False,False,False,False,False,,False,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,
Ohio,2697,2713.3,3011.0,2740.0,2723.5,2672.0,2738.3,2670.2,2694.0,2766.4,,2630.8,,,2786.0,2764.1,2736.6,2745.6,2809.0,2710.6,2739.0,2743.0,2652.0,2693.5,2683.0,2656.5,2722.0,2705.6,2765.0,16.3,314.0,43.0,26.5,-25.0,41.3,-26.8,-3.0,69.4,,-66.2,,,89.0,67.1,39.6,48.6,112.0,13.6,42.0,46.0,-45.0,-3.5,-14.0,-40.5,25.0,8.6,68.0,False,False,False,False,False,False,True,False,,False,,,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False
Oklahoma,368,368.4,435.0,371.0,376.5,378.0,374.2,395.6,385.0,380.2,,385.7,,,361.0,396.9,391.7,365.6,,374.2,368.0,367.0,375.0,368.8,372.0,364.7,369.0,370.5,,0.4,67.0,3.0,8.5,10.0,6.2,27.6,17.0,12.2,,17.7,,,-7.0,28.9,23.7,-2.4,,6.2,0.0,-1.0,7.0,0.8,4.0,-3.3,1.0,2.5,,False,False,False,False,False,False,False,False,,False,,,False,False,False,False,,False,True,False,False,False,False,False,False,False,
Oregon,189,181.6,219.0,185.0,184.4,185.0,169.2,211.6,184.0,187.0,,190.5,,,185.0,195.1,182.9,178.3,,185.9,176.0,175.0,176.0,181.3,181.0,183.7,185.0,179.8,,-4.4,33.0,-1.0,-1.6,-1.0,-16.8,25.6,-2.0,1.0,,4.5,,,-1.0,9.1,-3.1,-7.7,,-0.1,-10.0,-11.0,-10.0,-4.7,-5.0,-2.3,-1.0,-6.2,,False,True,True,True,False,False,True,True,,False,,,True,False,True,False,,True,False,False,False,False,False,True,True,False,
Pennsylvania,6419,6448.1,7186.0,6491.0,6482.7,6365.0,6721.2,6633.6,6528.0,,,6336.3,,,6429.0,6423.6,6544.2,6520.8,,6427.3,6481.5,6543.0,6370.0,6458.0,6400.0,6346.0,6522.0,6430.1,6559.0,29.1,767.0,72.0,63.7,-54.0,302.2,214.6,109.0,,,-82.7,,,10.0,4.6,125.2,101.8,,8.3,62.5,124.0,-49.0,39.0,-19.0,-73.0,103.0,11.1,140.0,False,False,False,False,False,False,False,,,False,,,True,True,False,False,,True,False,False,False,False,True,False,False,True,False
Rhode Island,894,885.3,962.0,894.0,873.3,854.0,883.5,866.1,874.0,877.9,,894.5,,,895.0,836.4,867.7,898.6,,869.8,888.0,885.0,853.0,878.1,860.0,697.3,871.0,875.0,,-8.7,68.0,0.0,-20.7,-40.0,-10.5,-27.9,-20.0,-16.1,,0.5,,,1.0,-57.6,-26.3,4.6,,-24.2,-6.0,-9.0,-41.0,-15.9,-34.0,-196.7,-23.0,-19.0,,False,True,False,False,False,False,False,False,,True,,,True,False,False,True,,False,True,False,False,False,False,False,False,False,
South Carolina,644,646.3,811.0,659.0,671.7,758.0,692.8,720.8,711.0,670.0,,696.0,,,639.0,659.1,673.3,641.0,,684.7,632.5,648.0,690.0,648.5,665.0,517.4,643.0,650.6,,2.3,167.0,15.0,27.7,114.0,48.8,76.8,67.0,26.0,,52.0,,,-5.0,15.1,29.3,-3.0,,40.7,-11.5,4.0,46.0,4.5,21.0,-126.6,-1.0,6.6,,False,False,False,False,False,False,False,False,,False,,,False,False,False,False,,False,False,False,False,False,False,False,True,False,
South Dakota,81,83.6,122.0,85.0,83.3,98.0,77.0,90.5,81.0,83.6,,82.4,,,79.0,88.7,82.3,81.1,,81.6,85.0,79.0,81.0,78.9,81.0,80.4,85.0,82.5,,2.6,41.0,4.0,2.3,17.0,-4.0,9.5,0.0,2.6,,1.4,,,-2.0,7.7,1.3,0.1,,0.6,4.0,-2.0,0.0,-2.1,0.0,-0.6,4.0,1.5,,False,False,True,False,False,False,True,False,,True,,,True,False,True,True,,True,False,True,True,True,True,True,False,True,
