,actual_deaths,Baseline,COVIDhub-baseline,CU-select,IHME-CurveFit,LANL-GrowthRate,MOBS-GLEAM_COVID,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-CU-select,error-IHME-CurveFit,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-CU-select,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Georgia,1177,1158.7,1161.0,1098.0,1343.1,1086.1,,929.6,1126.9,-18.3,-16.0,-79.0,166.1,-90.9,,-247.4,-50.1,True,False,False,False,,False,False
Hawaii,16,11.9,11.2,17.0,26.1,12.2,,14.9,17.6,-4.1,-4.8,1.0,10.1,-3.8,,-1.1,1.6,False,True,False,True,,True,True
Idaho,64,75.6,79.0,58.0,59.4,52.2,77.1,85.0,71.1,11.6,15.0,-6.0,-4.6,-11.8,13.1,21.0,7.1,False,True,True,False,False,False,True
Illinois,2559,2348.6,2423.0,3657.0,2025.5,2264.8,2244.7,2103.9,2123.4,-210.4,-136.0,1098.0,-533.5,-294.2,-314.3,-455.1,-435.6,True,False,False,False,False,False,False
Indiana,1242,968.7,975.0,1030.0,885.6,989.9,693.8,926.1,896.3,-133.3,-127.0,-72.0,-216.4,-112.1,-408.2,-175.9,-205.7,True,True,False,True,False,False,False
Iowa,175,138.1,154.0,139.0,187.4,184.5,115.6,144.4,139.0,-36.9,-21.0,-36.0,12.4,9.5,-59.4,-30.6,-36.0,True,True,True,True,False,True,True
Kansas,142,161.7,145.0,130.0,178.0,127.8,161.9,146.1,154.4,19.7,3.0,-12.0,36.0,-14.2,19.9,4.1,12.4,True,True,False,True,False,True,True
Kentucky,248,237.0,252.0,179.0,324.8,255.3,,225.0,222.0,-11.0,4.0,-69.0,76.8,7.3,,-23.0,-26.0,True,False,False,True,,False,False
Louisiana,1993,2142.9,2189.0,2102.0,1661.2,1502.2,,1623.3,1893.0,149.9,196.0,109.0,-331.8,-490.8,,-369.7,-100.0,False,True,False,False,,False,True
Maine,56,61.9,58.0,40.0,51.8,43.3,65.4,66.6,58.5,5.9,2.0,-16.0,-4.2,-12.7,9.4,10.6,2.5,True,False,True,False,False,False,True
Maryland,1251,878.9,851.0,1649.0,1039.0,862.5,506.5,915.1,930.5,-372.1,-400.0,398.0,-212.0,-388.5,-744.5,-335.9,-320.5,False,False,True,False,False,True,True
Massachusetts,3846,3470.3,2840.0,5113.0,3270.8,3604.8,1721.6,3285.3,2697.7,-375.7,-1006.0,1267.0,-575.2,-241.2,-2124.4,-560.7,-1148.3,False,False,False,True,False,False,False
Michigan,4224,4084.7,4156.0,3666.0,3284.8,3140.6,4274.6,3504.3,3673.4,20.7,92.0,-398.0,-779.2,-923.4,210.6,-559.7,-390.6,False,False,False,False,False,False,False
Minnesota,394,252.9,235.0,213.0,250.4,255.8,199.5,305.0,261.4,-141.1,-159.0,-181.0,-143.6,-138.2,-194.5,-89.0,-132.6,False,False,False,True,False,True,True
Mississippi,291,276.0,270.0,174.0,320.1,235.5,,238.9,259.2,-15.0,-21.0,-117.0,29.1,-55.5,,-52.1,-31.8,False,False,False,False,,False,False
Missouri,473,349.4,359.0,471.0,314.1,258.8,616.8,318.3,310.4,-80.6,-71.0,41.0,-115.9,-171.2,186.8,-111.7,-119.6,True,True,False,False,False,False,False
Montana,16,17.4,18.0,12.0,14.2,11.0,24.9,16.4,18.1,1.4,2.0,-4.0,-1.8,-5.0,8.9,0.4,2.1,False,False,False,False,False,True,False
Nebraska,73,48.4,38.0,14.0,82.7,62.5,69.6,50.4,50.3,-24.6,-35.0,-59.0,9.7,-10.5,-3.4,-22.6,-22.7,False,False,True,True,True,True,True
Nevada,255,243.4,249.0,241.0,229.3,230.5,306.7,238.3,226.7,-11.6,-6.0,-14.0,-25.7,-24.5,51.7,-16.7,-28.3,True,False,False,False,False,False,False
New Hampshire,84,65.9,70.0,125.0,66.6,69.0,68.3,77.3,70.1,-18.1,-14.0,41.0,-17.4,-15.0,-15.7,-6.7,-13.9,True,False,True,True,True,True,True
New Jersey,9302,8098.6,7844.0,9638.0,6742.1,7805.7,4361.1,5596.4,7095.7,-60.4,-315.0,1479.0,-1416.9,-353.3,-3797.9,-2562.6,-1063.3,False,False,False,False,False,False,False
New Mexico,138,108.9,121.0,97.0,96.5,95.1,55.5,120.0,109.0,-29.1,-17.0,-41.0,-41.5,-42.9,-82.5,-18.0,-29.0,True,False,False,False,False,True,True
New York,25201,28127.7,35759.0,25447.0,23034.6,29529.3,21979.4,17095.0,24161.0,3043.7,10675.0,363.0,-2049.4,4445.3,-3104.6,-7989.0,-923.0,False,True,True,False,False,False,True
North Carolina,431,406.1,383.0,258.0,307.8,389.0,326.5,402.5,432.9,-24.9,-48.0,-173.0,-123.2,-42.0,-104.5,-28.5,1.9,False,False,False,False,False,False,True
North Dakota,24,12.7,13.0,9.0,62.0,14.2,23.1,15.7,15.9,-11.3,-11.0,-15.0,38.0,-9.8,-0.9,-8.3,-8.1,True,False,False,True,True,True,True
Ohio,1160,875.9,859.0,918.0,757.9,1249.2,766.7,867.3,827.7,-142.1,-159.0,-100.0,-260.1,231.2,-251.3,-150.7,-190.3,False,True,False,False,False,False,False
Oklahoma,238,221.7,220.0,165.0,229.1,186.8,379.3,205.6,208.3,-16.3,-18.0,-73.0,-8.9,-51.2,141.3,-32.4,-29.7,False,False,True,False,False,False,False
Oregon,109,114.9,120.0,121.0,108.1,109.5,145.9,126.3,114.6,5.9,11.0,12.0,-0.9,0.5,36.9,17.3,5.6,False,False,True,True,False,False,True
Pennsylvania,2695,2611.3,2120.0,3245.0,2150.5,2631.4,1528.6,2720.2,2420.4,-83.7,-575.0,550.0,-544.5,-63.6,-1166.4,25.2,-274.6,False,False,False,True,False,True,False
Rhode Island,402,311.6,299.0,132.0,418.0,305.1,162.1,392.9,337.8,-54.4,-67.0,-234.0,52.0,-60.9,-203.9,26.9,-28.2,False,False,True,False,False,True,True
South Carolina,267,190.6,197.0,269.0,204.6,182.3,321.9,178.6,180.6,-76.4,-70.0,2.0,-62.4,-84.7,54.9,-88.4,-86.4,True,True,True,False,True,False,False
South Dakota,21,8.9,9.0,203.0,19.1,17.9,66.9,26.7,19.4,-12.1,-12.0,182.0,-1.9,-3.1,45.9,5.7,-1.6,True,False,True,True,False,True,True
Tennessee,209,226.0,214.0,347.0,218.2,223.5,474.5,254.4,215.3,17.0,5.0,138.0,9.2,14.5,265.5,45.4,6.3,True,False,True,True,False,False,True
Texas,987,874.4,896.0,1100.0,915.7,823.8,1117.5,876.8,816.3,-25.6,-4.0,200.0,15.7,-76.2,217.5,-23.2,-83.7,True,False,True,False,False,True,False
Utah,49,43.7,39.0,124.0,110.5,38.0,64.7,66.6,45.9,-5.3,-10.0,75.0,61.5,-11.0,15.7,17.6,-3.1,False,False,False,False,False,False,True
Vermont,51,58.4,64.0,48.0,42.7,42.3,96.8,53.4,53.0,7.4,13.0,-3.0,-8.3,-8.7,45.8,2.4,2.0,False,True,False,False,False,True,True
Virginia,617,529.6,514.0,642.0,596.8,567.2,456.6,560.1,509.7,-87.4,-103.0,25.0,-20.2,-49.8,-160.4,-56.9,-107.3,False,True,True,True,False,True,False
Washington,862,877.4,849.0,1026.0,755.4,816.8,1583.7,768.4,787.6,69.4,41.0,218.0,-52.6,8.8,775.7,-39.6,-20.4,True,False,True,True,False,True,True
West Virginia,48,40.3,38.0,19.0,34.4,23.1,19.7,44.1,48.9,-7.7,-10.0,-29.0,-13.6,-24.9,-28.3,-3.9,0.9,False,False,False,False,False,True,True
Wisconsin,374,361.1,362.0,347.0,321.6,336.2,461.0,365.0,330.1,25.1,26.0,11.0,-14.4,0.2,125.0,29.0,-5.9,False,True,True,True,False,False,True
Wyoming,7,5.7,6.0,1.0,139.0,2.2,3.5,4.4,7.6,-1.3,-1.0,-6.0,132.0,-4.8,-3.5,-2.6,0.6,True,False,False,False,False,False,True
US,69867,68540.3,75068.0,74580.0,59879.2,,57595.1,53532.2,61599.0,657.3,7185.0,6697.0,-8003.8,,-10287.9,-14350.8,-6284.0,False,False,False,,False,False,False
