,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Minnesota,5955,2741.9,2725.6,5639.2,2988.0,-3213.1,-3229.4,-315.8,-2967.0,False,True,True
Mississippi,5481,4647.4,3831.8,5236.1,4012.0,-833.6,-1649.2,-244.9,-1469.0,False,True,False
Missouri,6493,5652.6,3955.9,6369.7,2697.0,-840.4,-2537.1,-123.3,-3796.0,False,True,False
Montana,1088,426.7,808.8,853.0,424.0,-661.3,-279.2,-235.0,-664.0,True,True,False
Nebraska,1837,914.0,909.1,2030.1,820.0,-923.0,-927.9,193.1,-1017.0,False,True,False
Nevada,3761,2441.3,2295.6,3927.1,2074.0,-1319.7,-1465.4,166.1,-1687.0,False,True,False
New Hampshire,927,454.9,478.2,967.2,474.0,-472.1,-448.8,40.2,-453.0,True,True,True
New Jersey,20414,16724.4,16557.7,24847.7,16494.0,-3689.6,-3856.3,4433.7,-3920.0,False,False,False
New Mexico,2910,1203.0,1215.3,2218.7,1145.0,-1707.0,-1694.7,-691.3,-1765.0,True,True,False
New York,40806,33828.7,33447.7,41942.2,33524.0,-6815.3,-7196.3,1298.2,-7120.0,False,True,False
North Carolina,8016,6580.7,6380.9,12135.8,5920.0,-1435.3,-1635.1,4119.8,-2096.0,False,False,False
North Dakota,1403,849.4,780.1,620.0,464.0,-553.6,-622.9,-783.0,-939.0,False,False,False
Ohio,10135,6739.0,6391.8,12122.3,6111.0,-3396.0,-3743.2,1987.3,-4024.0,False,True,False
Oklahoma,2952,1957.4,1877.3,3477.5,1767.0,-994.6,-1074.7,525.5,-1185.0,False,True,False
Oregon,1799,812.6,868.2,1702.3,784.0,-986.4,-930.8,-96.7,-1015.0,True,True,False
Pennsylvania,19143,10084.0,9697.9,16033.6,9581.0,-9059.0,-9445.1,-3109.4,-9562.0,False,True,False
Rhode Island,2005,1408.3,1368.1,2011.4,1205.0,-596.7,-636.9,6.4,-800.0,False,True,False
South Carolina,6108,5339.9,4763.6,6949.7,4430.0,-768.1,-1344.4,841.7,-1678.0,False,False,False
South Dakota,1633,471.7,531.1,803.5,409.0,-1161.3,-1101.9,-829.5,-1224.0,True,True,False
Tennessee,8355,4898.3,4388.1,7186.4,4149.0,-3456.7,-3966.9,-1168.6,-4206.0,False,True,False
Texas,32428,26163.1,24762.2,35565.8,24010.0,-5980.9,-7381.8,3421.8,-8134.0,False,True,False
Utah,1485,659.1,1205.9,726.2,663.0,-825.9,-279.1,-758.8,-822.0,True,True,True
Vermont,163,58.0,62.9,60.6,58.0,-105.0,-100.1,-102.4,-105.0,True,True,False
Virginia,5706,5440.4,5145.7,5403.8,4706.0,-263.6,-558.3,-300.2,-998.0,False,False,False
Washington,3903,3099.0,2797.6,3692.7,2444.0,-823.0,-1124.4,-229.3,-1478.0,False,True,False
West Virginia,1761,735.4,878.5,1990.4,712.0,-1025.6,-882.5,229.4,-1049.0,True,True,False
Wisconsin,5905,1899.4,3002.6,3861.0,2178.0,-3916.6,-2813.4,-1955.0,-3638.0,True,True,True
Wyoming,522,65.9,446.1,86.3,96.0,-456.1,-75.9,-435.7,-426.0,True,True,True
US,395877,287958.4,243687.4,417080.2,246070.0,-107397.6,-151668.6,21724.2,-149286.0,False,True,False
