,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Georgia,12291,11938.0,12004.5,10079.0,10762.9,12741.0,,11571.4,11578.0,12427.6,12097.8,10739.1,11961.0,10870.7,13306.0,,12146.7,,10482.2,-353.0,-286.5,-2212.0,-1528.1,450.0,,-719.6,-713.0,136.6,-193.2,-1551.9,-330.0,-1420.3,1015.0,,-144.3,,-1808.8,True,False,False,False,,False,False,True,True,False,True,False,False,,True,,False
Hawaii,319,367.4,387.0,293.0,271.5,303.0,,351.6,,309.3,316.2,407.3,321.0,1345.7,685.0,,293.2,662.8,291.6,48.4,68.0,-26.0,-47.5,-16.0,,32.6,,-9.7,-2.8,88.3,2.0,1026.7,366.0,,-25.8,343.8,-27.4,False,True,True,True,,True,,True,True,False,True,False,False,,True,False,True
Idaho,1605,1708.6,1745.9,1383.0,1616.6,1479.0,,1794.3,1737.0,1937.6,1523.7,1476.0,1509.0,1384.2,1581.0,,1742.9,1748.9,1240.7,103.6,140.9,-222.0,11.6,-126.0,,189.3,132.0,332.6,-81.3,-129.0,-96.0,-220.8,-24.0,,137.9,143.9,-364.3,False,False,True,False,,False,False,False,True,False,True,False,True,,False,False,False
Illinois,20020,21343.7,21083.3,15505.0,19992.7,18652.0,,20784.9,19305.0,21199.9,17696.5,17398.5,21180.0,16500.9,18524.5,,20388.5,,15582.7,1323.7,1063.3,-4515.0,-27.3,-1368.0,,764.9,-715.0,1179.9,-2323.5,-2621.5,1160.0,-3519.1,-1495.5,,368.5,,-4437.3,True,False,True,False,,True,True,True,False,False,True,False,False,,True,,False
Indiana,10534,9504.4,9471.9,7591.0,9658.1,8817.0,,8767.8,9233.0,10715.7,8738.0,7901.0,9995.5,10232.2,9524.0,,9812.2,14036.5,6682.6,-284.6,-317.1,-2198.0,-130.9,-972.0,,-1021.2,-556.0,926.7,-1051.0,-1888.0,206.5,443.2,-265.0,,23.2,4247.5,-3106.4,False,False,True,False,,False,False,False,False,False,True,False,True,,True,False,False
Iowa,4321,4579.6,4524.2,2851.0,3622.1,3958.0,,3943.9,4788.0,3997.5,3204.1,3512.6,3664.5,5436.6,4946.0,,4553.9,4135.7,3180.3,258.6,203.2,-1470.0,-698.9,-363.0,,-377.1,467.0,-323.5,-1116.9,-808.4,-656.5,1115.6,625.0,,232.9,-185.3,-1140.7,True,False,False,False,,False,False,False,False,False,False,False,False,,True,True,False
Kansas,3489,3291.3,3327.2,2085.0,2862.3,3443.0,,3388.3,3357.0,3588.8,2541.8,2409.6,2680.0,3275.6,3563.0,,2862.0,2453.0,1941.6,-197.7,-161.8,-1404.0,-626.7,-46.0,,-100.7,-132.0,99.8,-947.2,-1079.4,-809.0,-213.4,74.0,,-627.0,-1036.0,-1547.4,True,False,False,True,,True,True,True,False,False,False,False,True,,False,False,False
Kentucky,3093,3102.9,3123.9,2927.0,3053.8,2745.0,,3334.8,3034.0,3617.2,3043.9,3249.5,3035.0,2266.8,3142.5,,3514.5,2904.2,2391.2,9.9,30.9,-166.0,-39.2,-348.0,,241.8,-59.0,524.2,-49.1,156.5,-58.0,-826.2,49.5,,421.5,-188.8,-701.8,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False
Louisiana,8080,7620.7,7491.4,7452.0,8806.5,7686.0,,8260.8,7596.0,8367.0,10025.5,7506.6,7565.0,7305.4,8580.0,,7549.5,9145.8,7076.6,-459.3,-588.6,-628.0,726.5,-394.0,,180.8,-484.0,287.0,1945.5,-573.4,-515.0,-774.6,500.0,,-530.5,1065.8,-1003.4,False,False,False,True,,True,False,True,False,False,False,False,False,,False,False,False
Maine,507,437.9,443.0,231.0,397.2,351.0,,381.8,486.0,499.6,378.1,503.9,342.0,263.2,646.0,,261.8,396.8,249.9,-69.1,-64.0,-276.0,-109.8,-156.0,,-125.2,-21.0,-7.4,-128.9,-3.1,-165.0,-243.8,139.0,,-245.2,-110.2,-257.1,True,False,False,False,,False,True,True,False,True,False,False,False,,False,False,False
Maryland,6541,6140.4,6128.2,5380.0,6755.8,6672.0,,7230.7,6072.0,6987.9,6370.0,5998.7,6862.0,6096.0,8268.0,,5847.6,7610.0,5079.6,-400.6,-412.8,-1161.0,214.8,131.0,,689.7,-469.0,446.9,-171.0,-542.3,321.0,-445.0,1727.0,,-693.4,1069.0,-1461.4,False,False,True,True,,False,False,False,True,False,True,False,False,,False,False,False
Massachusetts,13583,12655.7,12618.8,11995.0,12959.9,13032.0,,12979.7,12682.0,13446.3,13444.6,12815.6,13548.0,13722.5,12395.0,,12542.5,12380.4,11488.2,-927.3,-964.2,-1588.0,-623.1,-551.0,,-603.3,-901.0,-136.7,-138.4,-767.4,-35.0,139.5,-1188.0,,-1040.5,-1202.6,-2094.8,False,False,True,True,,True,True,True,True,True,True,True,False,,False,False,False
Michigan,14669,15323.0,15444.4,11298.0,15808.8,14050.0,,13868.3,14794.0,16834.6,13760.8,13365.8,16441.0,11626.4,15010.0,,15017.6,16262.1,10957.2,654.0,775.4,-3371.0,1139.8,-619.0,,-800.7,125.0,2165.6,-908.2,-1303.2,1772.0,-3042.6,341.0,,348.6,1593.1,-3711.8,False,False,False,True,,False,True,False,False,False,False,False,True,,True,False,False
Minnesota,5955,6421.0,6372.9,4835.0,7196.8,7943.0,,6304.1,7020.0,7445.6,5817.2,5540.7,5300.5,6125.7,5793.0,,6768.5,6310.3,4568.5,466.0,417.9,-1120.0,1241.8,1988.0,,349.1,1065.0,1490.6,-137.8,-414.3,-654.5,170.7,-162.0,,813.5,355.3,-1386.5,True,False,False,False,,True,False,False,True,True,False,True,True,,False,True,False
Mississippi,5481,4868.9,4969.0,5699.0,5088.5,4745.0,,4967.0,4817.0,5430.2,5586.1,4489.2,5316.0,4842.9,4161.5,,5015.2,4883.4,4334.6,-612.1,-512.0,218.0,-392.5,-736.0,,-514.0,-664.0,-50.8,105.1,-991.8,-165.0,-638.1,-1319.5,,-465.8,-597.6,-1146.4,True,True,True,False,,True,False,True,True,False,True,False,False,,True,True,False
Missouri,6523,6826.0,6869.4,4733.0,5661.5,7033.0,,5921.8,6242.0,6711.6,4907.6,5359.1,5921.0,6908.4,7181.0,,6478.2,,4658.6,332.0,375.4,-1761.0,-832.5,539.0,,-572.2,-252.0,217.6,-1586.4,-1134.9,-573.0,414.4,687.0,,-15.8,,-1835.4,False,False,False,False,,False,True,True,False,False,False,False,False,,True,,False
Montana,1088,1116.7,1123.9,929.0,1241.7,959.0,,1777.0,1286.0,1351.3,1082.3,995.1,1072.0,837.2,1081.0,,1172.2,1105.8,911.3,28.7,35.9,-159.0,153.7,-129.0,,689.0,198.0,263.3,-5.7,-92.9,-16.0,-250.8,-7.0,,84.2,17.8,-176.7,False,False,False,False,,False,False,False,True,False,True,False,True,,False,True,False
Nebraska,1837,2470.1,2423.5,1480.0,1975.5,1894.0,,2561.5,2612.0,2132.2,1713.5,1731.1,2612.0,1713.8,2436.0,,2264.1,2103.4,1467.9,633.1,586.5,-357.0,138.5,57.0,,724.5,775.0,295.2,-123.5,-105.9,775.0,-123.2,599.0,,427.1,266.4,-369.1,True,True,True,True,,False,False,True,True,True,False,True,True,,True,True,True
Nevada,3761,3363.4,3393.3,3530.0,3588.8,3334.0,,3372.2,3277.0,4123.9,3686.5,3125.5,4370.0,2361.4,3573.0,,3463.8,3407.2,2579.7,-397.6,-367.7,-231.0,-172.2,-427.0,,-388.8,-484.0,362.9,-74.5,-635.5,609.0,-1399.6,-188.0,,-297.2,-353.8,-1181.3,True,True,True,False,,True,False,True,True,False,False,False,True,,True,True,False
New Hampshire,927,786.6,774.7,753.0,697.3,944.0,,629.0,810.0,802.9,795.5,942.1,847.0,892.7,690.0,,768.4,672.3,590.6,-140.4,-152.3,-174.0,-229.7,17.0,,-298.0,-117.0,-124.1,-131.5,15.1,-80.0,-34.3,-237.0,,-158.6,-254.7,-336.4,False,False,False,True,,False,True,True,True,True,True,True,False,,False,False,False
New Jersey,20414,19330.0,19372.8,18591.0,19888.7,19216.0,,21004.9,19041.0,20088.8,19306.5,19251.7,19419.5,18306.1,17344.0,,19878.0,19225.8,17599.2,-1084.0,-1041.2,-1823.0,-525.3,-1198.0,,590.9,-1373.0,-325.2,-1107.5,-1162.3,-994.5,-2107.9,-3070.0,,-536.0,-1188.2,-2814.8,True,False,True,False,,True,False,True,False,False,True,False,False,,True,False,False
New Mexico,2910,2973.1,3003.8,2654.0,3697.1,2791.0,,3759.0,2795.0,3841.3,3032.5,2451.4,2788.0,2545.4,4160.5,,2606.8,2884.1,2038.1,63.1,93.8,-256.0,787.1,-119.0,,849.0,-115.0,931.3,122.5,-458.6,-122.0,-364.6,1250.5,,-303.2,-25.9,-871.9,False,False,False,False,,False,False,False,False,False,False,False,False,,False,True,False
New York,40806,37283.3,37391.0,38767.0,40085.6,39653.0,,39138.6,37392.0,38399.6,41665.8,39415.9,40079.5,36247.6,34826.0,,38010.1,36413.4,35114.3,-3483.7,-3376.0,-2000.0,-681.4,-1114.0,,-1628.4,-3375.0,-2367.4,898.8,-1351.1,-687.5,-4519.4,-5941.0,,-2756.9,-4353.6,-5652.7,True,True,True,True,,True,True,True,True,True,True,False,False,,True,False,False
North Carolina,8016,7317.7,7298.0,8401.0,7253.7,7417.0,,8594.3,7105.0,8234.5,7892.2,7732.3,8277.0,6582.1,7036.0,,7331.1,6918.7,6236.0,-698.3,-718.0,385.0,-762.3,-599.0,,578.3,-911.0,218.5,-123.8,-283.7,261.0,-1433.9,-980.0,,-684.9,-1097.3,-1780.0,False,True,False,True,,True,False,True,True,True,True,False,False,,True,False,False
North Dakota,1403,1563.7,1564.9,1076.0,1510.9,1220.0,,1436.0,1596.0,1516.9,1289.3,1173.1,1249.0,1346.5,1332.0,,1122.7,1412.9,1224.5,160.7,161.9,-327.0,107.9,-183.0,,33.0,193.0,113.9,-113.7,-229.9,-154.0,-56.5,-71.0,,-280.3,9.9,-178.5,False,False,True,False,,True,False,True,True,False,True,True,True,,False,True,False
Ohio,15615,10239.0,10355.3,9177.0,11233.4,11621.0,,10556.3,10376.0,12104.8,10040.7,10925.6,12268.0,9099.1,10480.0,,10936.1,14061.0,7720.3,-3343.0,-3226.7,-4405.0,-2348.6,-1961.0,,-3025.7,-3206.0,-1477.2,-3541.3,-2656.4,-1314.0,-4482.9,-3102.0,,-2645.9,479.0,-5861.7,True,False,True,True,,True,True,True,False,True,True,False,True,,True,True,False
Oklahoma,2952,2833.1,2816.1,2369.0,2865.2,3658.0,,3028.8,2934.0,3004.0,2583.6,2830.8,2615.0,2353.8,2840.0,,3120.2,2692.3,2192.0,-118.9,-135.9,-583.0,-86.8,706.0,,76.8,-18.0,52.0,-368.4,-121.2,-337.0,-598.2,-112.0,,168.2,-259.7,-760.0,False,False,True,False,,True,True,True,False,False,False,False,True,,False,False,False
Oregon,1799,1782.7,1813.3,1840.0,1722.5,1862.0,,2242.3,1753.0,2260.8,1995.4,2030.3,2683.0,1089.0,1885.0,,1946.1,2033.9,1201.9,-16.3,14.3,41.0,-76.5,63.0,,443.3,-46.0,461.8,196.4,231.3,884.0,-710.0,86.0,,147.1,234.9,-597.1,True,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False
Pennsylvania,19143,16866.1,16933.9,16497.0,18743.1,20151.0,,18608.7,17066.0,19487.0,18716.1,16238.1,22927.0,17093.7,13867.0,,16981.7,16473.9,12072.9,-2276.9,-2209.1,-2646.0,-399.9,1008.0,,-534.3,-2077.0,344.0,-426.9,-2904.9,3784.0,-2049.3,-5276.0,,-2161.3,-2669.1,-7070.1,True,False,True,True,,True,True,True,True,False,False,True,False,,True,False,False
Rhode Island,2161,1805.4,1815.8,1816.0,1880.9,1811.0,,1801.8,1693.0,1953.7,2006.0,1691.7,1878.0,2149.8,1738.0,,1736.3,1836.3,1424.2,-271.6,-261.2,-261.0,-196.1,-266.0,,-275.2,-384.0,-123.3,-71.0,-385.3,-199.0,72.8,-339.0,,-340.7,-240.7,-652.8,True,True,True,True,,False,False,True,True,False,True,True,False,,False,True,False
South Carolina,6108,5813.6,5543.8,5081.0,5299.0,5652.0,,6378.9,5275.0,5835.7,5521.0,5466.6,5663.0,5017.4,9469.5,,5798.9,5292.3,4990.4,-294.4,-564.2,-1027.0,-809.0,-456.0,,270.9,-833.0,-272.3,-587.0,-641.4,-445.0,-1090.6,3361.5,,-309.1,-815.7,-1117.6,False,False,False,False,,True,False,True,False,False,False,False,False,,False,False,False
South Dakota,1633,2088.1,1985.1,1363.0,1873.0,1832.0,,1911.8,2272.0,2198.6,1622.4,1292.2,1643.0,1508.4,1613.0,,1522.2,2328.9,1483.7,455.1,352.1,-270.0,240.0,199.0,,278.8,639.0,565.6,-10.6,-340.8,10.0,-124.6,-20.0,,-110.8,695.9,-149.3,True,True,True,True,,True,False,False,True,True,True,True,True,,True,False,True
Tennessee,8355,7221.4,7089.5,7069.0,8050.0,7724.0,,8081.5,7311.0,8170.1,7613.6,6496.8,7644.0,6612.3,7279.5,,7336.6,6990.0,5665.7,-1133.6,-1265.5,-1286.0,-305.0,-631.0,,-273.5,-1044.0,-184.9,-741.4,-1858.2,-711.0,-1742.7,-1075.5,,-1018.4,-1365.0,-2689.3,False,False,True,True,,True,True,True,True,False,True,False,True,,True,False,False
Texas,32428,30716.1,30653.0,26364.0,31307.4,30770.0,,32561.3,31014.0,34503.6,35029.6,28442.2,30739.5,25941.7,29716.0,,30057.7,29228.5,25684.1,-1415.9,-1479.0,-5768.0,-824.6,-1362.0,,429.3,-1118.0,2371.6,2897.6,-3689.8,-1392.5,-6190.3,-2416.0,,-2074.3,-2903.5,-6447.9,False,False,True,True,,True,True,False,False,False,True,False,False,,False,False,False
Utah,1485,1354.9,1395.1,1139.0,1835.3,1360.0,,1785.4,1498.0,1768.8,1313.3,1361.4,1335.0,2439.1,1745.5,,1333.6,1528.5,815.8,-130.1,-89.9,-346.0,350.3,-125.0,,300.4,13.0,283.8,-171.7,-123.6,-150.0,954.1,260.5,,-151.4,43.5,-669.2,True,False,False,True,,False,True,False,False,True,False,False,False,,False,True,False
Vermont,163,149.3,151.0,121.0,125.4,219.0,,94.1,81.5,181.6,159.4,163.6,108.0,102.9,118.0,,154.7,275.3,83.1,-13.7,-12.0,-42.0,-37.6,56.0,,-68.9,-81.5,18.6,-3.6,0.6,-55.0,-60.1,-45.0,,-8.3,112.3,-79.9,True,False,False,False,,False,False,False,True,True,False,False,False,,True,False,False
Virginia,5706,5031.7,5055.9,5498.0,5466.0,4951.0,,7621.8,5221.0,5807.3,5691.3,5685.1,5543.0,5066.9,5432.5,,4998.2,5100.8,4588.0,-674.3,-650.1,-208.0,-240.0,-755.0,,1915.8,-485.0,101.3,-14.7,-20.9,-163.0,-639.1,-273.5,,-707.8,-605.2,-1118.0,True,True,True,False,,False,True,True,True,True,True,True,True,,False,True,False
Washington,3903,4225.3,4256.6,3856.0,4093.8,5448.0,,3844.5,4062.0,4428.6,4236.2,4404.7,3547.0,3579.6,4557.0,,4682.6,,3199.5,280.3,311.6,-89.0,148.8,1503.0,,-100.5,117.0,483.6,291.2,459.7,-398.0,-365.4,612.0,,737.6,,-745.5,False,True,True,False,,True,True,False,False,False,False,False,False,,False,,False
West Virginia,1761,1476.4,1494.9,985.0,1862.7,1944.0,,1801.0,1403.0,1847.7,1683.3,1434.6,1381.0,1009.7,1246.0,,1759.6,1288.9,1027.4,-284.6,-266.1,-776.0,101.7,183.0,,40.0,-358.0,86.7,-77.7,-326.4,-380.0,-751.3,-515.0,,-1.4,-472.1,-733.6,True,False,True,True,,True,False,True,True,False,False,False,False,,True,False,False
Wisconsin,5905,6675.6,6753.6,4498.0,5362.2,4601.0,,6509.2,6510.0,6294.1,4803.9,5461.9,7023.0,5615.7,6352.0,,6640.6,6067.2,4848.0,770.6,848.6,-1407.0,-542.8,-1304.0,,604.2,605.0,389.1,-1101.1,-443.1,1118.0,-289.3,447.0,,735.6,162.2,-1057.0,False,False,True,False,,True,True,True,False,True,False,True,True,,True,True,False
Wyoming,522,564.7,572.0,323.0,587.9,468.0,,660.4,553.5,494.2,429.6,397.0,485.0,665.1,623.5,,390.0,575.4,339.1,42.7,50.0,-199.0,65.9,-54.0,,138.4,31.5,-27.8,-92.4,-125.0,-37.0,143.1,101.5,,-132.0,53.4,-182.9,False,False,False,False,,False,True,True,False,False,True,False,False,,False,False,False
US,402962,372651.3,372012.7,374642.0,386007.1,370785.0,386033.0,392490.7,370350.0,403991.2,381232.6,357722.9,391617.0,344114.3,396745.5,385387.3,375071.7,,308638.9,-27059.7,-27698.3,-25069.0,-13703.9,-28926.0,-13678.0,-7220.3,-29361.0,4280.2,-18478.4,-41988.1,-8094.0,-55596.7,-2965.5,-14323.7,-24639.3,,-91072.1,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,,False
