,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,12291,11881.4,11792.5,11639.8,11938.5,11775.0,11954.0,11898.0,11677.0,11886.8,,11391.3,11801.0,11904.7,11842.5,11969.8,11899.3,,11872.0,12439.9,11829.0,11654.4,12023.5,11857.0,11966.9,11761.3,11965.0,12021.5,11977.9,12047.8,11368.0,,11968.8,11905.4,,11896.0,13564.6,11851.0,12012.8,,12355.2,12034.6,12142.9,11910.0,11796.1,11997.0,11743.0,,11288.6,11266.0,-409.6,-498.5,-651.2,-352.5,-516.0,-337.0,-393.0,-614.0,-404.2,,-899.7,-490.0,-386.3,-448.5,-321.2,-391.7,,-419.0,148.9,-462.0,-636.6,-267.5,-434.0,-324.1,-529.7,-326.0,-269.5,-313.1,-243.2,-923.0,,-322.2,-385.6,,-395.0,1273.6,-440.0,-278.2,,64.2,-256.4,-148.1,-381.0,-494.9,-294.0,-548.0,,-1002.4,-1025.0,False,False,True,False,True,True,False,True,,False,False,True,False,True,True,,False,True,False,False,True,False,True,False,True,True,True,True,False,,True,True,,True,False,False,True,,True,True,True,True,False,True,False,,False,False
Hawaii,319,324.3,314.9,310.3,323.9,318.0,325.0,319.0,325.0,317.3,,307.2,316.0,318.7,,333.1,323.6,,,315.3,320.0,354.1,320.0,314.0,316.5,314.7,328.0,321.7,322.0,322.0,313.0,,,325.9,,319.0,328.8,321.0,316.7,,320.3,330.7,332.9,319.0,315.4,316.0,318.0,,312.1,322.0,5.3,-4.1,-8.7,4.9,-1.0,6.0,0.0,6.0,-1.7,,-11.8,-3.0,-0.3,,14.1,4.6,,,-3.7,1.0,35.1,1.0,-5.0,-2.5,-4.3,9.0,2.7,3.0,3.0,-6.0,,,6.9,,0.0,9.8,2.0,-2.3,,1.3,11.7,13.9,0.0,-3.6,-3.0,-1.0,,-6.9,3.0,True,False,True,True,False,True,False,True,,False,True,True,,False,True,,,True,True,False,True,True,True,True,False,True,True,True,False,,,False,,True,False,True,True,,True,False,False,True,True,True,True,,False,True
Idaho,1605,1607.7,1604.9,1636.7,1610.3,1607.0,1608.0,1610.0,1590.0,1608.6,,1573.2,1594.0,1655.8,1611.4,1603.2,1623.3,,1648.0,1627.6,1610.0,1639.4,1611.1,1602.0,1601.9,1602.7,1626.0,1617.7,1623.7,1622.6,1604.0,,,1590.6,,1592.0,1526.3,1591.0,1602.9,,1646.3,1630.4,1637.7,1591.0,1620.7,1594.0,1590.0,,1589.4,1604.0,2.7,-0.1,31.7,5.3,2.0,3.0,5.0,-15.0,3.6,,-31.8,-11.0,50.8,6.4,-1.8,18.3,,43.0,22.6,5.0,34.4,6.1,-3.0,-3.1,-2.3,21.0,12.7,18.7,17.6,-1.0,,,-14.4,,-13.0,-78.7,-14.0,-2.1,,41.3,25.4,32.7,-14.0,15.7,-11.0,-15.0,,-15.6,-1.0,True,False,False,True,False,False,False,False,,False,False,False,False,True,False,,False,False,False,False,False,False,False,True,False,False,False,False,True,,,False,,False,False,False,True,,False,False,False,False,False,False,False,,False,True
Illinois,20020,20125.3,20330.7,20044.0,20223.3,20173.0,20206.0,20123.0,19839.0,19969.3,,19389.4,20062.0,20395.2,20100.9,20230.7,20137.8,,20187.0,20205.2,20164.0,19877.9,20090.1,20228.0,20196.0,19881.9,20120.0,20162.0,20204.0,20160.0,20023.0,,20212.1,20038.5,,20073.0,18995.4,19960.0,20123.3,,20260.3,20167.7,20231.9,20010.0,20375.5,20221.0,20060.5,,19786.0,19776.0,105.3,310.7,24.0,203.3,153.0,186.0,103.0,-181.0,-50.7,,-630.6,42.0,375.2,80.9,210.7,117.8,,167.0,185.2,144.0,-142.1,70.1,208.0,176.0,-138.1,100.0,142.0,184.0,140.0,3.0,,192.1,18.5,,53.0,-1024.6,-60.0,103.3,,240.3,147.7,211.9,-10.0,355.5,201.0,40.5,,-234.0,-244.0,False,True,False,False,False,True,False,True,,False,True,False,True,False,False,,False,False,False,False,True,False,False,False,True,False,False,False,True,,False,True,,True,False,True,True,,False,False,False,True,False,False,True,,False,False
Indiana,9287,9422.1,9554.4,9397.4,9534.6,9529.0,9522.0,9490.0,9202.0,9405.8,,9139.9,9386.0,9530.6,9448.2,9296.2,9570.0,,9575.0,9785.3,9531.0,9089.7,9456.4,9518.0,9525.0,9383.8,9488.0,9531.5,9532.3,9536.5,9490.0,,9592.2,9296.3,,9448.0,9646.6,9409.0,9480.8,,9722.0,9545.3,9551.9,9427.0,9662.4,9384.0,9377.0,,8903.7,9402.0,135.1,267.4,110.4,247.6,242.0,235.0,203.0,-85.0,118.8,,-147.1,99.0,243.6,161.2,9.2,283.0,,288.0,498.3,244.0,-197.3,169.4,231.0,238.0,96.8,201.0,244.5,245.3,249.5,203.0,,305.2,9.3,,161.0,359.6,122.0,193.8,,435.0,258.3,264.9,140.0,375.4,97.0,90.0,,-383.3,115.0,False,True,False,False,False,False,True,True,,False,True,False,False,True,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,True,,False,False,True,False,,False,False,False,False,False,True,True,,False,True
Iowa,4321,4302.6,4287.3,4380.5,4319.9,4298.0,4308.0,4320.0,4212.0,4292.7,,4432.9,4384.0,4328.3,4259.3,4278.3,4295.2,,4375.0,4680.2,4324.0,4327.8,4294.8,4269.0,4303.2,4287.9,4305.0,4339.9,4323.1,4312.0,4291.0,,4360.3,4260.1,,4299.0,3836.8,4268.0,4336.7,,4333.8,4346.2,4360.4,4270.0,4359.3,4314.0,4269.0,,4285.0,4400.0,-18.4,-33.7,59.5,-1.1,-23.0,-13.0,-1.0,-109.0,-28.3,,111.9,63.0,7.3,-61.7,-42.7,-25.8,,54.0,359.2,3.0,6.8,-26.2,-52.0,-17.8,-33.1,-16.0,18.9,2.1,-9.0,-30.0,,39.3,-60.9,,-22.0,-484.2,-53.0,15.7,,12.8,25.2,39.4,-51.0,38.3,-7.0,-52.0,,-36.0,79.0,False,False,True,False,True,True,False,False,,False,False,True,False,False,False,,False,False,True,True,False,False,True,False,True,False,True,True,False,,False,False,,False,False,False,True,,True,False,False,False,False,True,False,,False,False
Kansas,3489,3371.6,3475.2,3337.2,3388.8,3357.0,3410.0,3393.0,3315.0,3311.1,,3239.7,3412.0,3391.0,3313.2,3401.4,3476.4,,3433.0,3575.8,3475.0,3211.5,3375.8,3297.0,3339.6,3312.6,3446.0,3449.8,3418.1,3432.4,3397.0,,3473.7,3113.9,,3407.0,3195.1,3317.0,3350.3,,3514.8,3462.7,3374.6,3347.0,3499.8,3339.0,3370.0,,3130.1,3274.0,-117.4,-13.8,-151.8,-100.2,-132.0,-79.0,-96.0,-174.0,-177.9,,-249.3,-77.0,-98.0,-175.8,-87.6,-12.6,,-56.0,86.8,-14.0,-277.5,-113.2,-192.0,-149.4,-176.4,-43.0,-39.2,-70.9,-56.6,-92.0,,-15.3,-375.1,,-82.0,-293.9,-172.0,-138.7,,25.8,-26.3,-114.4,-142.0,10.8,-150.0,-119.0,,-358.9,-215.0,True,False,True,False,True,True,False,False,,False,True,True,False,True,True,,True,True,True,False,True,False,False,False,True,True,True,True,True,,True,False,,True,False,False,False,,True,True,True,False,True,False,False,,False,False
Kentucky,3093,3053.6,3044.7,3028.7,3053.0,3073.0,3054.0,3061.0,2988.0,3104.8,,2924.3,3023.0,3063.8,3039.4,3196.7,3078.4,,3161.0,3521.2,3089.0,3163.2,3049.8,3049.0,3065.5,3037.4,3133.0,3057.1,3103.5,3097.6,3083.0,,,3012.2,,3070.0,3214.6,3031.0,3063.6,,3180.4,3070.3,3206.7,3067.0,3044.6,2986.0,3085.0,,2991.2,3069.0,-39.4,-48.3,-64.3,-40.0,-20.0,-39.0,-32.0,-105.0,11.8,,-168.7,-70.0,-29.2,-53.6,103.7,-14.6,,68.0,428.2,-4.0,70.2,-43.2,-44.0,-27.5,-55.6,40.0,-35.9,10.5,4.6,-10.0,,,-80.8,,-23.0,121.6,-62.0,-29.4,,87.4,-22.7,113.7,-26.0,-48.4,-107.0,-8.0,,-101.8,-24.0,False,False,False,True,True,True,False,True,,False,False,True,False,False,True,,False,False,True,False,False,False,True,False,False,True,True,True,True,,,False,,True,False,False,True,,False,True,False,True,False,False,True,,False,True
Louisiana,8080,8161.0,8070.4,7989.5,8183.4,8078.0,8178.0,8143.0,8002.0,8085.5,,7939.7,8102.0,8251.8,8183.4,8105.6,8185.8,,8059.0,8312.8,8108.0,8061.7,8143.5,8121.0,8138.6,8052.8,8131.0,8167.6,8170.9,8218.1,8056.0,,8077.1,8091.4,,8143.0,8564.7,8189.0,8207.6,,8208.9,8184.0,8241.5,8140.0,8107.8,8104.0,8124.5,,7981.8,8145.0,81.0,-9.6,-90.5,103.4,-2.0,98.0,63.0,-78.0,5.5,,-140.3,22.0,171.8,103.4,25.6,105.8,,-21.0,232.8,28.0,-18.3,63.5,41.0,58.6,-27.2,51.0,87.6,90.9,138.1,-24.0,,-2.9,11.4,,63.0,484.7,109.0,127.6,,128.9,104.0,161.5,60.0,27.8,24.0,44.5,,-98.2,65.0,True,False,False,True,False,True,True,True,,False,True,False,False,True,False,,True,False,True,True,True,True,True,True,True,False,False,False,True,,True,True,,True,False,False,False,,False,False,False,True,True,True,True,,False,True
Maine,507,494.6,465.9,434.1,505.5,469.0,506.0,486.0,482.0,477.1,,411.5,471.0,479.2,486.8,489.9,489.1,,447.0,407.5,486.0,557.3,505.6,469.0,482.3,457.5,505.0,500.9,495.4,497.0,482.0,,,468.2,,486.0,466.2,500.0,447.3,,483.9,514.5,499.5,468.0,495.5,478.0,481.0,,449.9,484.0,-12.4,-41.1,-72.9,-1.5,-38.0,-1.0,-21.0,-25.0,-29.9,,-95.5,-36.0,-27.8,-20.2,-17.1,-17.9,,-60.0,-99.5,-21.0,50.3,-1.4,-38.0,-24.7,-49.5,-2.0,-6.1,-11.6,-10.0,-25.0,,,-38.8,,-21.0,-40.8,-7.0,-59.7,,-23.1,7.5,-7.5,-39.0,-11.5,-29.0,-26.0,,-57.1,-23.0,False,False,True,False,True,False,False,False,,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,True,True,True,True,False,,,False,,False,False,True,False,,False,True,True,False,True,False,False,,False,False
Maryland,6541,6510.3,6515.7,6465.5,6525.0,6527.0,6525.0,6536.0,6543.0,6504.3,,6423.9,6575.0,6623.0,6526.1,6524.3,6573.3,,6516.0,6652.1,6534.0,6485.0,6558.9,6527.0,6547.0,6482.8,6564.0,6536.8,6556.9,6560.2,6490.0,,6575.0,6495.5,,6559.0,6364.8,6474.0,6505.7,,6634.7,6548.7,6560.3,6503.0,6572.1,6528.0,6542.0,,6322.5,6580.0,-30.7,-25.3,-75.5,-16.0,-14.0,-16.0,-5.0,2.0,-36.7,,-117.1,34.0,82.0,-14.9,-16.7,32.3,,-25.0,111.1,-7.0,-56.0,17.9,-14.0,6.0,-58.2,23.0,-4.2,15.9,19.2,-51.0,,34.0,-45.5,,18.0,-176.2,-67.0,-35.3,,93.7,7.7,19.3,-38.0,31.1,-13.0,1.0,,-218.5,39.0,True,False,True,True,True,True,True,False,,False,False,False,True,True,False,,True,False,True,False,True,True,True,False,True,True,True,True,False,,False,False,,True,False,False,False,,False,True,True,False,False,True,True,,False,False
Massachusetts,13583,13614.7,13630.8,13417.8,13632.6,13570.0,13646.0,13614.0,13518.0,13497.4,,13185.5,13612.0,13562.9,13605.7,13657.8,13653.3,,13604.0,13409.6,13644.0,13580.9,13604.1,13717.0,13655.0,13613.8,13605.0,13607.4,13695.3,13751.1,13454.0,,13590.8,13642.6,,13598.0,14461.8,13607.0,13620.4,,13837.2,13620.6,13669.2,13642.0,13661.4,13597.0,13689.5,,13277.5,13519.0,31.7,47.8,-165.2,49.6,-13.0,63.0,31.0,-65.0,-85.6,,-397.5,29.0,-20.1,22.7,74.8,70.3,,21.0,-173.4,61.0,-2.1,21.1,134.0,72.0,30.8,22.0,24.4,112.3,168.1,-129.0,,7.8,59.6,,15.0,878.8,24.0,37.4,,254.2,37.6,86.2,59.0,78.4,14.0,106.5,,-305.5,-64.0,False,False,False,True,False,True,False,False,,False,True,True,True,False,False,,True,False,False,True,True,False,False,True,True,True,False,False,False,,True,False,,True,False,True,False,,False,False,False,False,False,True,False,,False,False
Michigan,14669,14864.1,14887.6,14642.6,15014.0,14895.0,14984.0,14767.0,14509.0,14614.9,,14117.8,14636.0,14970.8,14738.4,14842.8,14646.8,,14891.0,14660.5,14811.0,14485.1,14745.7,14871.0,14757.6,14682.4,14733.0,14843.6,14825.7,14825.0,14750.0,,14863.3,14822.7,,14584.0,13497.5,14554.0,14928.2,,14783.3,14868.9,14959.0,14669.0,14984.9,14891.0,14635.5,,14309.6,14624.0,195.1,218.6,-26.4,345.0,226.0,315.0,98.0,-160.0,-54.1,,-551.2,-33.0,301.8,69.4,173.8,-22.2,,222.0,-8.5,142.0,-183.9,76.7,202.0,88.6,13.4,64.0,174.6,156.7,156.0,81.0,,194.3,153.7,,-85.0,-1171.5,-115.0,259.2,,114.3,199.9,290.0,0.0,315.9,222.0,-33.5,,-359.4,-45.0,False,True,False,False,False,True,True,True,,False,True,False,True,True,True,,False,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,,True,False,True,False,,True,False,False,True,False,False,True,,False,True
Minnesota,5955,6020.1,6032.8,6025.1,6021.3,5990.0,6026.0,6014.0,5891.0,5940.2,,5880.4,5926.0,6021.5,5944.3,5950.9,5969.5,,6052.0,6169.5,5995.0,5887.4,6012.4,5998.0,6006.7,5968.5,5985.0,6021.1,6024.3,6053.5,6235.0,,6088.3,5964.2,,5931.0,5105.8,6103.0,6043.0,,6012.0,6030.5,6039.0,5969.0,6056.0,5979.0,6016.0,,5886.7,6017.0,65.1,77.8,70.1,66.3,35.0,71.0,59.0,-64.0,-14.8,,-74.6,-29.0,66.5,-10.7,-4.1,14.5,,97.0,214.5,40.0,-67.6,57.4,43.0,51.7,13.5,30.0,66.1,69.3,98.5,280.0,,133.3,9.2,,-24.0,-849.2,148.0,88.0,,57.0,75.5,84.0,14.0,101.0,24.0,61.0,,-68.3,62.0,False,False,False,True,False,True,True,True,,False,True,False,True,True,True,,False,False,True,False,True,True,True,True,True,False,False,False,False,,False,True,,True,False,False,False,,True,False,False,True,False,True,True,,False,True
Mississippi,5481,5420.7,5463.9,5304.9,5445.8,5374.0,5452.0,5412.0,5399.0,5368.6,,5218.7,5369.0,5530.0,5453.5,5476.0,5438.3,,5306.0,5398.8,5399.0,5331.2,5410.1,5458.0,5421.9,5343.1,5413.0,5445.9,5451.1,5518.7,5412.0,,5375.3,5437.0,,5425.0,5647.5,5376.0,5447.0,,5472.2,5458.7,5487.3,5400.0,5455.2,5385.0,5419.0,,5278.8,5413.0,-60.3,-17.1,-176.1,-35.2,-107.0,-29.0,-69.0,-82.0,-112.4,,-262.3,-112.0,49.0,-27.5,-5.0,-42.7,,-175.0,-82.2,-82.0,-149.8,-70.9,-23.0,-59.1,-137.9,-68.0,-35.1,-29.9,37.7,-69.0,,-105.7,-44.0,,-56.0,166.5,-105.0,-34.0,,-8.8,-22.3,6.3,-81.0,-25.8,-96.0,-62.0,,-202.2,-68.0,True,False,True,False,True,False,False,False,,False,False,True,True,True,True,,False,False,False,False,False,True,True,False,False,True,True,True,False,,False,True,,True,False,False,True,,True,True,True,False,True,False,False,,False,False
Missouri,6493,6473.3,6485.9,6417.2,6549.7,6480.0,6541.0,6470.0,6451.0,6390.2,,6380.9,6336.0,6559.7,6466.2,6719.0,6448.7,,6617.0,6476.5,6476.0,6138.4,6517.3,6468.0,6472.8,6323.0,6488.0,6530.2,6490.5,6606.2,6435.0,,6420.7,6362.7,,6445.0,6247.5,6381.0,6267.9,,6602.8,6561.4,6542.8,6396.0,6549.5,6346.0,6447.0,,5959.9,5459.0,-2.7,9.9,-58.8,73.7,4.0,65.0,-6.0,-25.0,-85.8,,-95.1,-140.0,83.7,-9.8,243.0,-27.3,,141.0,0.5,0.0,-337.6,41.3,-8.0,-3.2,-153.0,12.0,54.2,14.5,130.2,-41.0,,-55.3,-113.3,,-31.0,-228.5,-95.0,-208.1,,126.8,85.4,66.8,-80.0,73.5,-130.0,-29.0,,-516.1,-1017.0,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
Montana,1088,1128.0,1103.1,1097.3,1140.7,1128.0,1137.0,1109.0,1056.0,1101.2,,1026.6,1075.0,1123.7,1129.2,1182.2,1102.4,,1143.0,1100.0,1113.0,1126.5,1093.5,1118.0,1119.4,1100.1,1120.0,1117.4,1122.7,1119.0,1099.0,,,1129.4,,1103.0,1008.8,1099.0,1147.3,,1108.9,1130.0,1150.3,1100.0,1124.8,1102.0,1102.0,,1094.1,1100.0,40.0,15.1,9.3,52.7,40.0,49.0,21.0,-32.0,13.2,,-61.4,-13.0,35.7,41.2,94.2,14.4,,55.0,12.0,25.0,38.5,5.5,30.0,31.4,12.1,32.0,29.4,34.7,31.0,11.0,,,41.4,,15.0,-79.2,11.0,59.3,,20.9,42.0,62.3,12.0,36.8,14.0,14.0,,6.1,12.0,True,True,False,False,False,True,True,True,,False,True,True,False,False,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,,,False,,True,False,True,False,,True,False,False,True,True,True,True,,True,True
Nebraska,1837,1835.4,1835.7,1878.5,1808.1,1888.0,1805.0,1841.0,1894.0,1823.8,,1794.2,1811.0,1891.2,1807.5,1863.1,1855.3,,2005.0,1919.8,1838.0,1866.7,1817.7,1828.0,1875.0,1829.4,1873.0,1835.4,1853.9,1810.0,1824.0,,,1796.1,,1798.0,1659.2,1818.0,1777.0,,1865.0,1847.9,1844.4,1824.0,1889.4,1803.0,1952.0,,1822.7,1964.0,-1.6,-1.3,41.5,-28.9,51.0,-32.0,4.0,57.0,-13.2,,-42.8,-26.0,54.2,-29.5,26.1,18.3,,168.0,82.8,1.0,29.7,-19.3,-9.0,38.0,-7.6,36.0,-1.6,16.9,-27.0,-13.0,,,-40.9,,-39.0,-177.8,-19.0,-60.0,,28.0,10.9,7.4,-13.0,52.4,-34.0,115.0,,-14.3,127.0,True,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,True,False,False,False,False,False,False,True,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
Nevada,3761,3713.0,3671.3,3606.5,3746.9,3663.0,3752.0,3691.0,3643.0,3644.6,,3501.9,3639.0,3847.3,3725.4,3705.0,3691.4,,3658.0,3467.0,3710.0,3625.0,3676.6,3703.0,3718.9,3643.4,3702.0,3710.8,3725.1,3784.2,3647.0,,3690.6,3732.1,,3669.0,3710.0,3696.0,3767.4,,3751.3,3723.5,3769.6,3658.0,3731.3,3643.0,3709.0,,3568.6,3675.0,-48.0,-89.7,-154.5,-14.1,-98.0,-9.0,-70.0,-118.0,-116.4,,-259.1,-122.0,86.3,-35.6,-56.0,-69.6,,-103.0,-294.0,-51.0,-136.0,-84.4,-58.0,-42.1,-117.6,-59.0,-50.2,-35.9,23.2,-114.0,,-70.4,-28.9,,-92.0,-51.0,-65.0,6.4,,-9.7,-37.5,8.6,-103.0,-29.7,-118.0,-52.0,,-192.4,-86.0,False,False,True,False,True,False,False,False,,False,False,False,True,False,False,,False,False,False,False,False,False,True,False,False,False,True,True,False,,False,True,,False,False,False,True,,True,True,True,False,True,False,False,,False,False
New Hampshire,927,945.3,978.7,887.8,955.5,929.0,955.0,940.0,890.0,937.3,,885.9,934.0,924.8,945.2,974.8,935.0,,935.0,880.4,941.0,981.5,932.4,929.0,930.2,905.4,943.0,949.9,957.3,959.4,960.0,,,958.8,,934.0,966.0,940.0,952.9,,963.5,963.5,958.3,923.0,950.1,947.0,963.0,,888.5,937.0,18.3,51.7,-39.2,28.5,2.0,28.0,13.0,-37.0,10.3,,-41.1,7.0,-2.2,18.2,47.8,8.0,,8.0,-46.6,14.0,54.5,5.4,2.0,3.2,-21.6,16.0,22.9,30.3,32.4,33.0,,,31.8,,7.0,39.0,13.0,25.9,,36.5,36.5,31.3,-4.0,23.1,20.0,36.0,,-38.5,10.0,False,False,False,True,False,True,False,True,,False,True,True,True,False,True,,True,False,True,False,True,True,True,False,True,False,False,False,False,,,False,,True,False,True,False,,False,False,False,True,False,False,False,,False,True
New Jersey,20414,20407.7,20504.5,20243.2,20527.2,20449.0,20521.0,20447.0,20447.0,20411.3,,19905.3,20332.0,20423.0,20461.7,20621.7,20460.2,,20439.0,20026.2,20465.0,20374.3,20396.9,20579.0,20494.6,20590.7,20458.0,20506.0,20488.5,20611.1,20208.0,,20390.4,20441.9,,20409.0,19448.7,20334.0,20508.7,,20697.3,20515.3,20550.3,20313.0,20228.7,20465.0,20572.5,,20015.4,20491.0,-6.3,90.5,-170.8,113.2,35.0,107.0,33.0,33.0,-2.7,,-508.7,-82.0,9.0,47.7,207.7,46.2,,25.0,-387.8,51.0,-39.7,-17.1,165.0,80.6,176.7,44.0,92.0,74.5,197.1,-206.0,,-23.6,27.9,,-5.0,-965.3,-80.0,94.7,,283.3,101.3,136.3,-101.0,-185.3,51.0,158.5,,-398.6,77.0,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,True,False,False,False,,False,False,False,False,False,False,False,,False,False
New Mexico,2910,2918.7,2906.9,2896.4,2936.8,2928.0,2930.0,2916.0,2867.0,2891.4,,2773.1,2850.0,2959.0,2938.0,2916.2,2933.9,,2926.0,2959.3,2916.0,2842.5,2916.5,2931.0,2922.9,2929.9,2924.0,2924.8,2937.7,2954.5,2914.0,,,2903.5,,2899.0,2843.3,2883.0,2904.8,,2888.7,2937.6,2938.5,2907.0,2942.5,2919.0,2913.0,,2852.0,2892.0,8.7,-3.1,-13.6,26.8,18.0,20.0,6.0,-43.0,-18.6,,-136.9,-60.0,49.0,28.0,6.2,23.9,,16.0,49.3,6.0,-67.5,6.5,21.0,12.9,19.9,14.0,14.8,27.7,44.5,4.0,,,-6.5,,-11.0,-66.7,-27.0,-5.2,,-21.3,27.6,28.5,-3.0,32.5,9.0,3.0,,-58.0,-18.0,True,False,False,False,False,True,False,False,,False,False,False,False,True,False,,False,False,True,False,True,False,False,False,False,False,False,False,True,,,True,,False,False,False,True,,False,False,False,True,False,False,True,,False,False
New York,40806,40675.1,40651.3,40432.6,40662.7,40624.0,40669.0,40663.0,40381.0,40468.1,,40052.7,40772.0,40609.7,40700.3,40785.6,40843.3,,40555.0,39965.8,40632.0,40808.7,40826.0,40803.0,40847.6,41325.4,40734.0,40766.1,40731.2,40926.7,39845.5,,40575.2,40631.8,,41027.0,39968.2,40673.0,40706.6,,40542.9,40782.0,40880.7,40646.0,40883.6,40631.0,40628.0,,39570.1,40630.0,-130.9,-154.7,-373.4,-143.3,-182.0,-137.0,-143.0,-425.0,-337.9,,-753.3,-34.0,-196.3,-105.7,-20.4,37.3,,-251.0,-840.2,-174.0,2.7,20.0,-3.0,41.6,519.4,-72.0,-39.9,-74.8,120.7,-960.5,,-230.8,-174.2,,221.0,-837.8,-133.0,-99.4,,-263.1,-24.0,74.7,-160.0,77.6,-175.0,-178.0,,-1235.9,-176.0,False,False,False,False,False,False,False,False,,False,True,False,True,True,True,,False,False,False,True,True,True,True,False,True,True,True,True,False,,False,False,,False,False,False,True,,False,True,True,False,True,False,False,,False,False
