,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,12291,11474.7,11500.4,11660.2,11515.7,11696.0,11510.3,11655.0,11340.0,11821.4,11742.0,11429.0,11781.0,11439.6,11541.8,11878.0,,11853.0,12914.6,11651.8,11895.6,11623.0,11719.5,11672.3,11880.0,11736.7,11774.8,11711.6,11059.0,,11547.4,11488.4,11692.0,13564.6,11589.0,11517.0,,11766.4,11728.4,11915.3,11869.0,11451.5,11614.0,,10977.3,11213.8,-816.3,-790.6,-630.8,-775.3,-595.0,-780.7,-636.0,-951.0,-469.6,-549.0,-862.0,-510.0,-851.4,-749.2,-413.0,,-438.0,623.6,-639.2,-395.4,-668.0,-571.5,-618.7,-411.0,-554.3,-516.2,-579.4,-1232.0,,-743.6,-802.6,-599.0,1273.6,-702.0,-774.0,,-524.6,-562.6,-375.7,-422.0,-839.5,-677.0,,-1313.7,-1077.2,True,True,True,True,True,True,False,True,True,False,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,False,True,True,,True,True,True,True,False,True,,False,False
Hawaii,319,296.4,301.0,304.6,297.7,297.0,297.0,303.0,315.0,306.0,292.0,330.3,304.0,302.9,,310.1,,,293.7,392.4,304.3,301.0,294.3,303.7,335.0,314.3,311.0,300.2,310.0,,,290.5,302.0,327.3,313.0,303.4,,303.2,329.0,308.0,305.0,302.4,291.0,300.6,298.0,310.2,-22.6,-18.0,-14.4,-21.3,-22.0,-22.0,-16.0,-4.0,-13.0,-27.0,11.3,-15.0,-16.1,,-8.9,,,-25.3,73.4,-14.7,-18.0,-24.7,-15.3,16.0,-4.7,-8.0,-18.8,-9.0,,,-28.5,-17.0,8.3,-6.0,-15.6,,-15.8,10.0,-11.0,-14.0,-16.6,-28.0,-18.4,-21.0,-8.8,True,True,True,True,True,True,True,True,False,True,True,True,,True,,,False,False,True,True,False,True,True,True,True,True,True,,,False,True,True,True,True,,True,True,True,True,True,False,True,True,True
Idaho,1605,1622.6,1592.6,1666.9,1636.7,1608.0,1636.0,1596.0,1566.0,1607.2,1526.0,1617.7,1594.0,1592.9,1588.5,1614.3,,1642.0,1559.0,1661.4,1590.8,1513.0,1569.9,1609.1,1633.0,1649.5,1616.6,1576.9,1619.0,,,1533.4,1623.0,1526.3,1599.0,1641.3,,1576.4,1671.2,1656.0,1565.0,1633.2,1588.0,1572.5,1556.6,1602.1,17.6,-12.4,61.9,31.7,3.0,31.0,-9.0,-39.0,2.2,-79.0,12.7,-11.0,-12.1,-16.5,9.3,,37.0,-46.0,56.4,-14.2,-92.0,-35.1,4.1,28.0,44.5,11.6,-28.1,14.0,,,-71.6,18.0,-78.7,-6.0,36.3,,-28.6,66.2,51.0,-40.0,28.2,-17.0,-32.5,-48.4,-2.9,True,False,False,True,False,True,False,True,False,True,True,True,True,True,,False,False,False,True,False,False,True,False,False,True,False,True,,,False,False,False,True,False,,False,False,False,False,False,True,False,False,True
Illinois,20020,20153.1,20830.5,20150.7,20194.4,19958.0,20193.4,19818.0,19489.0,19674.0,19635.0,19610.2,19949.0,19931.1,19944.4,19882.9,,19884.0,19433.9,19570.4,19858.2,20122.0,19728.0,19414.2,19714.0,20113.3,19849.5,19767.8,19832.0,,19554.4,19861.5,19778.0,18769.9,19710.0,20067.8,,19372.2,20136.6,20063.9,19773.0,20307.8,19779.0,,19186.1,19724.3,133.1,810.5,130.7,174.4,-62.0,173.4,-202.0,-531.0,-346.0,-385.0,-409.8,-71.0,-88.9,-75.6,-137.1,,-136.0,-586.1,-449.6,-161.8,102.0,-292.0,-605.8,-306.0,93.3,-170.5,-252.2,-188.0,,-465.6,-158.5,-242.0,-1250.1,-310.0,47.8,,-647.8,116.6,43.9,-247.0,287.8,-241.0,,-833.9,-295.7,False,True,False,True,False,False,False,False,False,False,True,True,True,False,,False,False,False,False,True,False,False,False,True,False,False,False,,False,False,False,False,False,True,,False,True,True,False,False,False,,False,False
Indiana,9287,9648.7,9730.2,9448.1,9662.0,9553.0,9628.0,9364.0,8831.0,9303.1,9084.0,9187.7,9036.0,9292.3,9263.0,9443.6,,9359.0,9168.2,9032.0,9404.8,9487.0,9469.0,9218.8,9274.0,9545.1,9434.8,9561.5,9794.0,,9039.7,9277.1,9244.0,9650.5,9368.0,9654.3,,9189.9,9558.4,9570.3,9338.0,9748.0,9324.0,9476.0,8604.0,9452.5,361.7,443.2,161.1,375.0,266.0,341.0,77.0,-456.0,16.1,-203.0,-99.3,-251.0,5.3,-24.0,156.6,,72.0,-118.8,-255.0,117.8,200.0,182.0,-68.2,-13.0,258.1,147.8,274.5,507.0,,-247.3,-9.9,-43.0,363.5,81.0,367.3,,-97.1,271.4,283.3,51.0,461.0,37.0,189.0,-683.0,165.5,False,True,False,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,False,True,False,,True,True,True,True,False,True,True,False,True
Iowa,4321,4321.1,4251.9,4456.2,4413.8,4195.0,4352.1,4293.0,4065.0,4278.6,4388.0,4693.6,4436.0,4209.0,4254.5,4254.1,,4345.0,4381.4,4330.6,4258.7,4283.0,4183.7,4286.0,4269.0,4390.0,4257.8,4290.7,4516.0,,4251.9,4063.6,4276.0,3432.0,4157.0,4294.5,,4156.6,4397.1,4370.3,4210.0,4348.0,4257.0,4673.0,4236.3,4581.2,0.1,-69.1,135.2,92.8,-126.0,31.1,-28.0,-256.0,-42.4,67.0,372.6,115.0,-112.0,-66.5,-66.9,,24.0,60.4,9.6,-62.3,-38.0,-137.3,-35.0,-52.0,69.0,-63.2,-30.3,195.0,,-69.1,-257.4,-45.0,-889.0,-164.0,-26.5,,-164.4,76.1,49.3,-111.0,27.0,-64.0,352.0,-84.7,260.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Kansas,3489,3557.3,3511.1,3287.8,3583.9,3447.0,3610.0,3322.0,3244.0,3180.1,3280.0,3277.2,3484.0,3625.0,3465.0,3427.6,,3250.0,3294.1,3200.9,3322.8,3177.0,3300.5,3195.4,3325.0,3532.7,3319.0,3342.0,3342.0,,,3415.9,3342.0,3194.8,3313.0,3292.9,,3191.8,3582.9,3499.7,3332.0,3347.4,3245.0,3377.2,3055.0,,68.3,22.1,-201.2,94.9,-42.0,121.0,-167.0,-245.0,-308.9,-209.0,-211.8,-5.0,136.0,-24.0,-61.4,,-239.0,-194.9,-288.1,-166.2,-312.0,-188.5,-293.6,-164.0,43.7,-170.0,-147.0,-147.0,,,-73.1,-147.0,-294.2,-176.0,-196.1,,-297.2,93.9,10.7,-157.0,-141.6,-244.0,-111.8,-434.0,,True,False,False,True,False,False,False,False,False,False,True,False,True,True,,False,False,False,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,,False,False,True,False,False,False,False,False,
Kentucky,3093,3035.0,3020.1,3035.3,3028.6,2979.0,3026.0,3025.0,2837.0,3090.6,2927.0,2909.2,2920.0,2956.0,3004.9,3026.9,,3013.0,3321.4,3284.1,3015.3,3013.0,2981.2,2922.8,3145.0,3027.3,3074.8,3140.9,3116.0,,,3000.5,2943.0,3216.7,3049.0,3039.8,,3000.9,3049.6,3228.9,3060.0,3025.6,2948.0,3165.9,2892.0,3069.4,-58.0,-72.9,-57.7,-64.4,-114.0,-67.0,-68.0,-256.0,-2.4,-166.0,-183.8,-173.0,-137.0,-88.1,-66.1,,-80.0,228.4,191.1,-77.7,-80.0,-111.8,-170.2,52.0,-65.7,-18.2,47.9,23.0,,,-92.5,-150.0,123.7,-44.0,-53.2,,-92.1,-43.4,135.9,-33.0,-67.4,-145.0,72.9,-201.0,-23.6,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,True,True,True,,,False,False,False,True,True,,False,True,False,True,False,False,False,False,True
Louisiana,8080,7993.9,7859.1,8010.5,7898.2,7956.0,7920.0,7985.0,7794.0,7948.1,7952.0,7977.7,8080.0,8094.8,8016.5,8127.2,,8070.0,7967.0,7948.0,8007.9,7989.0,7901.2,7899.5,7941.0,7983.8,8066.9,7998.9,8106.0,,7859.0,7841.4,7982.0,8564.7,8112.0,7861.1,,7913.8,7988.5,8030.8,7996.0,7875.7,7812.0,8055.5,7743.2,8076.6,-86.1,-220.9,-69.5,-181.8,-124.0,-160.0,-95.0,-286.0,-131.9,-128.0,-102.3,0.0,14.8,-63.5,47.2,,-10.0,-113.0,-132.0,-72.1,-91.0,-178.8,-180.5,-139.0,-96.2,-13.1,-81.1,26.0,,-221.0,-238.6,-98.0,484.7,32.0,-218.9,,-166.2,-91.5,-49.2,-84.0,-204.3,-268.0,-24.5,-336.8,-3.4,False,True,False,False,False,False,False,False,False,False,True,True,True,True,,True,False,False,True,False,False,False,False,False,True,True,True,,False,False,False,False,True,False,,False,False,True,True,False,False,True,False,True
Maine,507,425.9,417.7,423.4,437.6,419.0,436.0,436.0,459.0,449.8,426.0,452.1,444.0,425.4,428.5,432.7,,451.0,406.1,585.9,417.5,435.0,418.0,400.7,491.0,460.3,449.9,444.9,441.0,,,417.4,466.0,466.2,419.0,433.7,,418.0,485.6,471.8,435.0,413.3,419.0,425.6,381.4,450.4,-81.1,-89.3,-83.6,-69.4,-88.0,-71.0,-71.0,-48.0,-57.2,-81.0,-54.9,-63.0,-81.6,-78.5,-74.3,,-56.0,-100.9,78.9,-89.5,-72.0,-89.0,-106.3,-16.0,-46.7,-57.1,-62.1,-66.0,,,-89.6,-41.0,-40.8,-88.0,-73.3,,-89.0,-21.4,-35.2,-72.0,-93.7,-88.0,-81.4,-125.6,-56.6,False,False,True,False,True,True,True,True,True,True,True,False,True,True,,True,False,True,False,True,False,False,True,True,True,True,True,,,False,True,True,False,True,,False,True,True,True,False,False,False,False,True
