,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Georgia,12291,11091.6,10970.0,9524.0,18682.2,,14140.1,11444.0,13536.4,10565.2,,10554.1,12569.2,10122.5,-1199.4,-1321.0,-2767.0,6391.2,,1849.1,-847.0,1245.4,-1725.8,,-1736.9,278.2,-2168.5,False,False,False,,False,True,False,False,,False,True,False
Hawaii,319,319.4,303.8,222.0,309.2,,250.8,,231.0,246.7,,271.5,280.5,259.0,0.4,-15.2,-97.0,-9.8,,-68.2,,-88.0,-72.3,,-47.5,-38.5,-60.0,False,False,False,,False,,False,False,,False,False,False
Idaho,1605,1556.1,1551.4,2713.0,1814.5,,1731.6,1610.0,1995.3,1428.1,,1454.4,1345.0,1037.7,-48.9,-53.6,1108.0,209.5,,126.6,5.0,390.3,-176.9,,-150.6,-260.0,-567.3,False,False,False,,False,True,False,False,,False,False,False
Illinois,20020,19027.1,18857.1,25375.0,23453.6,,19819.0,18753.0,26284.6,16725.8,,20756.6,25513.2,13646.7,-991.9,-1161.9,5356.0,3434.6,,-200.0,-1266.0,6265.6,-3293.2,,737.6,5494.2,-6372.3,False,False,False,,True,False,False,False,,True,False,False
Indiana,9287,8408.6,8108.2,22011.0,11540.2,,8534.7,8854.0,12297.9,11661.3,,9137.2,13107.3,5716.3,-878.4,-1178.8,12724.0,2253.2,,-752.3,-433.0,3010.9,2374.3,,-149.8,3820.3,-3570.7,False,False,False,,True,True,False,False,,True,False,False
Iowa,4321,3875.6,3838.8,6307.0,5566.0,,4202.7,3948.0,5573.7,3254.4,,4085.4,4076.6,2596.3,-445.4,-482.2,1986.0,1245.0,,-118.3,-373.0,1252.7,-1066.6,,-235.6,-244.4,-1724.7,False,False,False,,True,True,False,False,,True,True,False
Kansas,3489,2441.7,2452.5,5124.0,2905.0,,2353.4,2646.0,3081.6,3662.8,,2828.2,2158.4,1619.5,-963.3,-952.5,1719.0,-500.0,,-1051.6,-759.0,-323.4,257.8,,-576.8,-1246.6,-1785.5,True,False,True,,False,True,True,True,,True,False,False
Kentucky,3093,2777.0,2782.9,4038.0,3159.2,,3525.4,2896.5,3686.7,3540.1,,3136.6,4019.2,2093.2,-316.0,-310.1,945.0,66.2,,432.4,-196.5,593.7,447.1,,43.6,926.2,-999.8,True,False,True,,False,True,False,False,,True,False,False
Louisiana,8080,7352.1,7133.5,89974.0,8125.7,,10175.1,8156.0,8073.8,26485.1,,7354.4,10064.2,6865.4,-727.9,-946.5,81894.0,45.7,,2095.1,76.0,-6.2,18405.1,,-725.6,1984.2,-1214.6,False,False,True,,False,True,True,False,,True,False,False
Maine,507,262.4,262.0,787.0,533.7,,319.4,297.0,394.1,346.9,,217.8,545.0,191.9,-244.6,-245.0,280.0,26.7,,-187.6,-210.0,-112.9,-160.1,,-289.2,38.0,-315.1,False,False,True,,True,True,True,True,,False,True,False
Maryland,6541,5471.1,5391.9,18133.0,6146.9,,6676.3,5653.0,6222.8,7083.2,,5240.3,8578.6,4696.8,-1069.9,-1149.1,11592.0,-394.1,,135.3,-888.0,-318.2,542.2,,-1300.7,2037.6,-1844.2,False,False,True,,True,True,True,True,,False,False,False
Massachusetts,13583,11949.9,12072.0,20117.0,13921.7,,12990.6,12406.0,13919.3,14796.6,,12086.2,19171.6,11085.4,-1633.1,-1511.0,6534.0,338.7,,-592.4,-1177.0,336.3,1213.6,,-1496.8,5588.6,-2497.6,True,False,True,,True,True,True,True,,True,False,False
Michigan,14669,12795.7,12868.1,28637.0,19106.1,,15181.1,14407.0,17296.7,15708.3,,11296.9,22713.4,9410.1,-1873.3,-1800.9,13968.0,4437.1,,512.1,-262.0,2627.7,1039.3,,-3372.1,8044.4,-5258.9,True,False,False,,True,True,False,True,,False,False,False
Minnesota,5955,5937.0,5873.1,40216.0,9684.7,,6661.2,7019.0,9433.6,9084.0,,6187.6,9143.2,3729.0,-18.0,-81.9,34261.0,3729.7,,706.2,1064.0,3478.6,3129.0,,232.6,3188.2,-2226.0,False,False,False,,False,False,False,False,,False,False,False
Mississippi,5481,4721.0,4593.1,6363.0,4624.9,,5004.9,4730.0,5439.3,5440.9,,4749.1,5345.9,4098.8,-760.0,-887.9,882.0,-856.1,,-476.1,-751.0,-41.7,-40.1,,-731.9,-135.1,-1382.2,False,False,False,,True,True,True,True,,True,True,False
Missouri,6493,5078.7,5071.4,12404.0,7637.7,,6291.5,5672.0,7401.9,6766.1,,4788.8,6612.0,3917.4,-1420.3,-1427.6,5905.0,1138.7,,-207.5,-827.0,902.9,267.1,,-1710.2,113.0,-2581.6,False,False,True,,True,True,True,True,,False,True,False
Montana,1088,1255.1,1287.7,2596.0,1587.3,,832.3,1462.0,2151.6,2063.5,,1213.2,1142.5,813.0,167.1,199.7,1508.0,499.3,,-255.7,374.0,1063.6,975.5,,125.2,54.5,-275.0,False,False,False,,False,False,False,False,,True,True,False
Nebraska,1837,1930.4,1912.9,5290.0,2332.8,,1881.2,1884.0,2994.3,1894.8,,1693.9,1658.7,1108.1,93.4,75.9,3453.0,495.8,,44.2,47.0,1157.3,57.8,,-143.1,-178.3,-728.9,True,False,False,,True,True,False,True,,False,False,False
Nevada,3761,2865.6,2834.9,6401.0,3087.9,,3269.3,2489.0,3463.5,3220.7,,2910.4,3518.8,2267.9,-895.4,-926.1,2640.0,-673.1,,-491.7,-1272.0,-297.5,-540.3,,-850.6,-242.2,-1493.1,False,False,True,,True,False,True,True,,True,True,False
New Hampshire,927,614.1,582.6,3580.0,719.9,,607.5,705.0,697.3,1669.5,,576.4,2011.8,534.0,-312.9,-344.4,2653.0,-207.1,,-319.5,-222.0,-229.7,742.5,,-350.6,1084.8,-393.0,False,False,True,,False,True,True,False,,False,False,False
New Jersey,20414,18293.1,18458.7,34251.0,20579.8,,19833.8,18534.0,19613.3,20894.5,,20235.7,30107.1,16958.1,-2120.9,-1955.3,13837.0,165.8,,-580.2,-1880.0,-800.7,480.5,,-178.3,9693.1,-3455.9,True,False,True,,True,True,True,True,,True,False,False
New Mexico,2910,2703.0,2486.0,7845.0,3709.4,,2663.5,2757.0,3747.9,3270.3,,2197.0,3976.5,1604.9,-207.0,-424.0,4935.0,799.4,,-246.5,-153.0,837.9,360.3,,-713.0,1066.5,-1305.1,False,False,False,,False,True,False,False,,False,False,False
New York,40806,36574.0,37158.9,69454.0,38371.2,,40201.1,36597.0,37355.2,43707.3,,41407.0,55459.2,34606.6,-4232.0,-3647.1,28648.0,-2434.8,,-604.9,-4209.0,-3450.8,2901.3,,601.0,14653.2,-6199.4,True,False,True,,True,True,True,True,,True,False,False
North Carolina,8016,6825.4,6997.7,7368.0,7552.9,,9565.9,7050.0,7712.3,7337.9,,7171.3,8304.7,5794.9,-1190.6,-1018.3,-648.0,-463.1,,1549.9,-966.0,-303.7,-678.1,,-844.7,288.7,-2221.1,True,True,True,,False,True,True,True,,True,True,False
North Dakota,1403,1710.3,1752.0,1702.0,2154.4,,1412.6,1964.0,2434.9,1301.6,,1166.3,1380.8,1115.3,307.3,349.0,299.0,751.4,,9.6,561.0,1031.9,-101.4,,-236.7,-22.2,-287.7,False,True,False,,True,False,False,True,,True,True,True
Ohio,10135,8148.9,8144.5,20799.0,11373.0,,11062.9,9235.0,10864.9,12061.0,,9855.2,16547.3,6694.2,-1986.1,-1990.5,10664.0,1238.0,,927.9,-900.0,729.9,1926.0,,-279.8,6412.3,-3440.8,False,False,True,,True,True,True,True,,True,False,False
Oklahoma,2952,2466.9,2487.8,17864.0,3193.3,,3053.3,2803.0,3651.7,3961.8,,2809.1,3461.3,1928.9,-485.1,-464.2,14912.0,241.3,,101.3,-149.0,699.7,1009.8,,-142.9,509.3,-1023.1,True,False,True,,True,True,False,False,,True,False,False
Oregon,1799,1283.6,1298.8,4804.0,1740.7,,1309.1,1389.0,1783.3,1601.7,,1557.8,2313.7,950.2,-515.4,-500.2,3005.0,-58.3,,-489.9,-410.0,-15.7,-197.3,,-241.2,514.7,-848.8,True,False,True,,True,True,True,True,,True,True,False
Pennsylvania,19143,13948.9,13960.4,56935.0,15810.4,,16220.4,15730.0,15586.7,24936.4,,13818.2,26392.0,10616.6,-5194.1,-5182.6,37792.0,-3332.6,,-2922.6,-3413.0,-3556.3,5793.4,,-5324.8,7249.0,-8526.4,True,False,True,,True,True,True,False,,False,False,False
Rhode Island,2005,1608.3,1620.9,2357.0,1896.4,,1781.4,1586.0,1967.5,2097.0,,1595.5,2308.8,1339.5,-396.7,-384.1,352.0,-108.6,,-223.6,-419.0,-37.5,92.0,,-409.5,303.8,-665.5,True,True,True,,True,False,True,True,,False,True,False
South Carolina,6108,5626.6,5586.6,6883.0,5471.0,,4929.0,5220.0,5556.8,5884.8,,5664.5,6007.5,4797.4,-481.4,-521.4,775.0,-637.0,,-1179.0,-888.0,-551.2,-223.2,,-443.5,-100.5,-1310.6,False,False,False,,False,False,False,True,,True,True,False
South Dakota,1633,2194.0,2025.3,1787.0,1965.5,,1267.2,2397.0,2835.4,1222.2,,1266.8,1254.1,1136.8,561.0,392.3,154.0,332.5,,-365.8,764.0,1202.4,-410.8,,-366.2,-378.9,-496.2,True,True,True,,True,False,False,True,,True,True,True
Tennessee,8355,7196.7,6882.2,19727.0,7919.4,,7596.8,7423.0,8940.3,9815.1,,7319.4,5960.1,5028.1,-1158.3,-1472.8,11372.0,-435.6,,-758.2,-932.0,585.3,1460.1,,-1035.6,-2394.9,-3326.9,False,False,True,,True,True,True,False,,True,False,False
Texas,32428,29011.6,28845.6,47945.0,31059.8,,32275.1,31332.0,34465.9,35395.9,,27723.6,29858.8,23744.6,-3089.4,-3255.4,15844.0,-1041.2,,174.1,-769.0,2364.9,3294.9,,-4377.4,-2242.2,-8356.4,False,False,True,,True,True,True,False,,False,True,False
Utah,1485,1382.3,1403.3,4948.0,2094.8,,1730.1,1666.0,1978.6,1337.7,,1505.4,1556.5,714.1,-102.7,-81.7,3463.0,609.8,,245.1,181.0,493.6,-147.3,,20.4,71.5,-770.9,True,False,False,,False,False,False,False,,True,True,False
Vermont,163,94.4,95.1,3795.0,57.9,,68.9,88.0,76.9,140.4,,94.1,387.3,63.8,-68.6,-67.9,3632.0,-105.1,,-94.1,-75.0,-86.1,-22.6,,-68.9,224.3,-99.2,True,False,False,,False,False,False,True,,False,False,False
Virginia,5706,5022.3,5052.8,5458.0,4935.3,,5482.5,5164.0,5114.5,5901.9,,4967.0,6872.2,4398.0,-683.7,-653.2,-248.0,-770.7,,-223.5,-542.0,-591.5,195.9,,-739.0,1166.2,-1308.0,True,True,False,,True,True,True,True,,False,False,False
Washington,3903,3404.7,3418.2,19211.0,6297.1,,3791.2,3590.0,4452.7,7773.1,,3654.3,4104.3,2896.7,-505.3,-491.8,15301.0,2387.1,,-118.8,-320.0,542.7,3863.1,,-255.7,194.3,-1013.3,True,False,False,,True,True,False,False,,True,True,False
West Virginia,1761,1290.6,1330.0,8356.0,2019.0,,1567.5,1531.0,2029.3,2812.3,,1431.3,1604.2,826.5,-470.4,-431.0,6595.0,258.0,,-193.5,-230.0,268.3,1051.3,,-329.7,-156.8,-934.5,True,False,True,,True,True,True,False,,True,True,False
Wisconsin,5905,6285.0,6373.8,6027.0,5895.4,,6305.1,6006.0,7583.6,5541.6,,6934.2,6353.2,3942.3,380.0,468.8,122.0,-9.6,,400.1,101.0,1678.6,-363.4,,1029.2,448.2,-1962.7,False,True,True,,False,True,False,True,,False,False,False
Wyoming,522,427.4,432.0,2035.0,841.0,,396.1,647.0,684.1,689.6,,375.6,400.7,246.7,-94.6,-90.0,1513.0,319.0,,-125.9,125.0,162.1,167.6,,-146.4,-121.3,-275.3,True,False,False,,False,False,False,False,,False,False,False
US,395877,339871.3,338087.5,445734.0,407923.3,363078.0,377543.6,354383.0,408210.7,441458.4,406369.6,351808.6,462958.0,284882.7,-55602.7,-57386.5,50260.0,12449.3,-32396.0,-17930.4,-41091.0,12736.7,45984.4,10895.6,-43665.4,67484.0,-110591.3,False,True,True,True,True,True,True,True,True,True,False,False
