,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Maryland,6541,5934.7,5910.8,8620.0,6660.7,,5735.0,6831.5,6560.0,,5734.2,7363.8,4861.8,-606.3,-630.2,2079.0,119.7,,-806.0,290.5,19.0,,-806.8,822.8,-1679.2,False,False,True,,False,True,True,,False,False,False
Massachusetts,13583,12162.0,12007.0,12408.0,13648.9,,12191.0,13514.7,12318.1,,11683.3,17929.7,11237.1,-1421.0,-1576.0,-1175.0,65.9,,-1392.0,-68.3,-1264.9,,-1899.7,4346.7,-2345.9,False,True,True,,True,True,True,,False,False,False
Michigan,14669,13526.4,13611.8,12410.0,18609.4,,14082.0,17660.5,13242.6,,11755.2,22644.5,10060.3,-1142.6,-1057.2,-2259.0,3940.4,,-587.0,2991.5,-1426.4,,-2913.8,7975.5,-4608.7,True,False,False,,True,False,False,,False,False,False
Minnesota,5955,5968.4,5841.3,6034.0,9299.4,,6778.0,9228.8,6253.5,,6163.6,10256.2,4125.4,13.4,-113.7,79.0,3344.4,,823.0,3273.8,298.5,,208.6,4301.2,-1829.6,False,False,False,,False,False,False,,False,False,False
Mississippi,5481,4697.4,4633.5,5847.0,5043.2,,4576.0,5034.2,4858.1,,4730.7,5370.6,4201.1,-783.6,-847.5,366.0,-437.8,,-905.0,-446.8,-622.9,,-750.3,-110.4,-1279.9,False,True,True,,False,True,True,,True,True,False
Missouri,6523,5715.1,5736.3,5244.0,6666.3,,5978.0,6715.8,4533.9,,5028.4,6146.0,4169.9,-778.9,-757.7,-1250.0,172.3,,-516.0,221.8,-1960.1,,-1465.6,-348.0,-2324.1,True,False,True,,True,True,False,,False,True,False
Montana,1088,1137.3,1152.0,1721.0,1494.6,,1357.0,1712.7,1406.2,,1122.8,1106.5,870.7,49.3,64.0,633.0,406.6,,269.0,624.7,318.2,,34.8,18.5,-217.3,False,False,False,,False,False,False,,True,True,False
Nebraska,1837,1537.6,1577.3,1592.0,2425.9,,2016.0,2244.8,1468.7,,1233.0,1689.7,1194.7,-299.4,-259.7,-245.0,588.9,,179.0,407.8,-368.3,,-604.0,-147.3,-642.3,True,True,False,,True,False,False,,False,True,False
Nevada,3761,2952.0,2875.1,6514.0,3498.3,,2781.0,3601.4,3458.5,,2786.6,3542.3,2386.0,-809.0,-885.9,2753.0,-262.7,,-980.0,-159.6,-302.5,,-974.4,-218.7,-1375.0,False,False,True,,False,True,True,,False,True,False
New Hampshire,927,622.0,628.1,749.0,741.5,,713.0,718.4,794.0,,594.0,1866.6,549.9,-305.0,-298.9,-178.0,-185.5,,-214.0,-208.6,-133.0,,-333.0,939.6,-377.1,True,True,True,,True,True,True,,False,False,False
New Jersey,20414,18466.0,18571.6,20186.0,20406.8,,18778.0,20019.8,19367.1,,19598.9,28926.0,17274.3,-1948.0,-1842.4,-228.0,-7.2,,-1636.0,-394.2,-1046.9,,-815.1,8512.0,-3139.7,True,True,True,,True,True,True,,True,False,False
New Mexico,2910,2616.6,2766.1,10760.0,4318.6,,2697.0,4330.9,5657.5,,2448.9,3313.7,1798.5,-293.4,-143.9,7850.0,1408.6,,-213.0,1420.9,2747.5,,-461.1,403.7,-1111.5,True,False,False,,True,False,False,,False,False,False
New York,40806,36220.4,36483.1,42291.0,39215.1,,37062.0,37573.3,39852.8,,37432.5,57813.8,34782.0,-4573.6,-4310.9,1497.0,-1578.9,,-3732.0,-3220.7,-941.2,,-3361.5,17019.8,-6012.0,True,True,True,,True,True,True,,True,False,False
North Carolina,8016,6652.6,6716.3,8720.0,7402.7,,7089.0,7787.3,7303.7,,6532.6,7935.8,5957.8,-1363.4,-1299.7,704.0,-613.3,,-927.0,-228.7,-712.3,,-1483.4,-80.2,-2058.2,True,True,True,,True,True,True,,False,True,False
North Dakota,1403,1474.6,1487.9,1154.0,1927.3,,1612.0,1878.4,1231.9,,1124.4,1319.2,1175.7,71.6,84.9,-249.0,524.3,,209.0,475.4,-171.1,,-278.6,-83.8,-227.3,False,False,False,,False,False,False,,False,False,False
Ohio,15615,9162.4,9136.4,12185.0,12275.5,,10162.0,11408.8,9621.7,,10006.8,18130.3,7128.0,-5008.6,-5034.6,-1986.0,-1895.5,,-4009.0,-2762.2,-4549.3,,-4164.2,3959.3,-7043.0,False,True,True,,True,True,True,,True,True,False
Oklahoma,2952,2435.4,2367.8,4552.0,3460.9,,2759.0,3188.3,2940.3,,2700.2,3285.4,2023.8,-516.6,-584.2,1600.0,508.9,,-193.0,236.3,-11.7,,-251.8,333.4,-928.2,False,False,True,,True,True,True,,True,True,False
Oregon,1799,1487.9,1434.8,2217.0,2160.0,,1410.0,1854.0,1717.4,,1576.7,2093.3,1049.4,-311.1,-364.2,418.0,361.0,,-389.0,55.0,-81.6,,-222.3,294.3,-749.6,False,False,False,,False,True,True,,True,True,False
Pennsylvania,19143,13595.3,13445.8,27117.0,18258.0,,15173.0,17611.5,19050.1,,12344.6,24150.0,11046.4,-5547.7,-5697.2,7974.0,-885.0,,-3970.0,-1531.5,-92.9,,-6798.4,5007.0,-8096.6,False,False,True,,True,True,True,,False,True,False
Rhode Island,2161,1702.6,1712.1,1683.0,1921.2,,1589.5,2020.9,1803.8,,1659.0,2471.5,1377.3,-396.4,-386.9,-416.0,-177.8,,-509.5,-78.1,-295.2,,-440.0,372.5,-721.7,True,False,True,,False,True,True,,False,True,False
South Carolina,6108,4833.0,4852.5,5470.0,5424.0,,5269.0,5274.6,5368.8,,5165.1,5631.5,4801.3,-1275.0,-1255.5,-638.0,-684.0,,-839.0,-833.4,-739.2,,-942.9,-476.5,-1306.7,True,True,True,,True,True,True,,True,True,False
South Dakota,1633,1793.3,2096.9,1413.0,1966.1,,2251.0,2350.5,1357.5,,1371.4,1418.4,1309.2,160.3,463.9,-220.0,333.1,,618.0,717.5,-275.5,,-261.6,-214.6,-323.8,False,False,False,,False,False,False,,False,False,False
Tennessee,8355,6528.9,6852.0,7895.0,8861.3,,7277.0,8797.7,6726.7,,7170.7,6154.5,5300.5,-1826.1,-1503.0,-460.0,506.3,,-1078.0,442.7,-1628.3,,-1184.3,-2200.5,-3054.5,True,True,True,,True,True,True,,True,False,False
Texas,32428,27534.4,27986.3,33006.0,32447.8,,30886.0,31512.3,35494.2,,26485.9,29056.7,24444.2,-4537.6,-4085.7,934.0,375.8,,-1186.0,-559.7,3422.2,,-5586.1,-3015.3,-7627.8,True,True,True,,True,True,True,,False,True,False
Utah,1485,1382.3,1394.8,1586.0,2153.0,,1724.0,1884.4,1263.1,,1282.3,1415.2,766.8,-102.7,-90.2,101.0,668.0,,239.0,399.4,-221.9,,-202.7,-69.8,-718.2,True,True,False,,False,False,False,,False,True,False
Vermont,163,94.4,95.0,209.0,57.9,,94.0,98.1,151.5,,76.1,173.8,69.5,-68.6,-68.0,46.0,-105.1,,-69.0,-64.9,-11.5,,-86.9,10.8,-93.5,True,True,False,,False,True,True,,False,True,False
Virginia,5706,4880.9,4869.6,7718.0,5217.4,,5102.0,5766.8,6276.5,,4827.0,6239.3,4481.2,-825.1,-836.4,2012.0,-488.6,,-604.0,60.8,570.5,,-879.0,533.3,-1224.8,False,False,True,,True,True,True,,False,True,False
Washington,3903,3279.0,3291.1,5833.0,6307.9,,3616.0,4287.6,4254.5,,3761.8,5594.2,2963.9,-596.0,-583.9,1958.0,2432.9,,-259.0,412.6,379.5,,-113.2,1719.2,-911.1,True,False,False,,True,True,True,,True,False,False
West Virginia,1761,1188.4,1137.9,2062.0,2150.9,,1487.0,1999.1,2155.8,,1377.3,1517.9,897.9,-572.6,-623.1,301.0,389.9,,-274.0,238.1,394.8,,-383.7,-243.1,-863.1,False,True,True,,True,True,True,,True,True,False
Wisconsin,5905,5797.9,5711.4,4979.0,5794.7,,6312.0,7139.1,4789.9,,5200.8,6067.3,4325.2,-107.1,-193.6,-926.0,-110.3,,407.0,1234.1,-1115.1,,-704.2,162.3,-1579.8,False,False,False,,False,False,False,,False,False,False
Wyoming,522,482.4,488.0,540.0,864.0,,564.0,446.1,626.2,,382.1,402.7,298.4,-39.6,-34.0,18.0,342.0,,42.0,-75.9,104.2,,-139.9,-119.3,-223.6,True,True,False,,False,False,False,,False,False,False
US,402962,335492.4,336763.0,345575.0,410740.6,354837.0,350722.0,398503.9,375225.4,390164.7,329334.5,453270.3,293949.4,-64824.6,-63554.0,-54742.0,10423.6,-45480.0,-49595.0,-1813.1,-25091.6,-10152.3,-70982.5,52953.3,-106367.6,True,True,True,True,True,True,True,True,False,True,False
