,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-epiforecasts-ensemble1
Georgia,12291,11563.3,11594.7,12083.5,11677.9,11551.0,11597.2,11895.0,11377.0,12026.2,13041.0,11624.6,11859.0,11719.8,11891.5,12074.4,,13058.4,12122.0,12003.6,12921.5,12088.0,11881.9,12075.2,11443.0,11673.6,11827.0,12181.1,11919.3,11899.0,11150.5,,11509.7,11327.7,11951.0,13378.0,11267.0,11607.3,,11890.6,12038.7,12020.0,11663.4,11825.0,11395.5,-727.7,-696.3,-207.5,-613.1,-740.0,-693.8,-396.0,-914.0,-264.8,750.0,-666.4,-432.0,-571.2,-399.5,-216.6,,767.4,-169.0,-287.4,630.5,-203.0,-409.1,-215.8,-848.0,-617.4,-464.0,-109.9,-371.7,-392.0,-1140.5,,-781.3,-963.3,-340.0,1087.0,-1024.0,-683.7,,-400.4,-252.3,-271.0,-627.6,-466.0,-895.5,True,True,True,False,True,True,False,True,False,True,True,True,True,True,,False,True,True,True,True,True,True,False,True,True,True,True,True,False,,False,False,True,False,False,True,,True,True,True,True,True,False
Hawaii,319,293.6,321.4,302.2,298.0,309.0,297.5,316.0,318.0,318.4,336.0,337.4,307.0,296.2,,319.8,,340.9,,329.3,322.4,328.0,431.9,316.6,309.0,289.7,338.0,323.0,316.4,298.5,312.0,,,311.8,328.0,329.1,319.0,305.5,,318.2,285.0,310.0,287.7,300.0,327.7,-25.4,2.4,-16.8,-21.0,-10.0,-21.5,-3.0,-1.0,-0.6,17.0,18.4,-12.0,-22.8,,0.8,,21.9,,10.3,3.4,9.0,112.9,-2.4,-10.0,-29.3,19.0,4.0,-2.6,-20.5,-7.0,,,-7.2,9.0,10.1,0.0,-13.5,,-0.8,-34.0,-9.0,-31.3,-19.0,8.7,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,False,True,True,False,True,True,True,True,True,,,True,True,True,True,True,,True,False,True,False,True,True
Idaho,1605,1565.4,1539.5,1510.8,1608.2,1572.0,1590.9,1605.0,1642.0,1603.7,1575.0,1712.2,1575.0,1521.6,1569.3,1676.1,,1885.2,1657.0,1687.6,1514.7,1690.0,1686.8,1659.9,1585.0,1510.2,1631.0,1646.4,1659.5,1511.9,1808.0,,,1486.3,1649.0,1526.3,1474.0,1542.3,,1667.1,1526.6,1519.0,1606.6,1543.0,1605.7,-39.6,-65.5,-94.2,3.2,-33.0,-14.1,0.0,37.0,-1.3,-30.0,107.2,-30.0,-83.4,-35.7,71.1,,280.2,52.0,82.6,-90.3,85.0,81.8,54.9,-20.0,-94.8,26.0,41.4,54.5,-93.1,203.0,,,-118.7,44.0,-78.7,-131.0,-62.7,,62.1,-78.4,-86.0,1.6,-62.0,0.7,False,False,True,True,True,True,True,True,True,False,True,False,True,False,,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,False,False,False,False,False,,False,False,False,True,False,True
Illinois,20020,19990.3,20215.9,19638.0,19856.5,19913.0,19917.8,19729.0,19686.0,19518.5,19960.0,20098.5,19016.0,21451.4,19786.1,19652.4,,21608.5,20146.0,20530.9,17858.5,19709.0,19457.0,19803.8,19600.0,19412.6,19664.0,20123.8,20018.8,19421.8,20426.5,,19333.6,19112.3,19093.0,18751.0,18909.0,19201.2,,19285.2,20112.1,19334.0,19982.4,19540.0,19718.9,-29.7,195.9,-382.0,-163.5,-107.0,-102.2,-291.0,-334.0,-501.5,-60.0,78.5,-1004.0,1431.4,-233.9,-367.6,,1588.5,126.0,510.9,-2161.5,-311.0,-563.0,-216.2,-420.0,-607.4,-356.0,103.8,-1.2,-598.2,406.5,,-686.4,-907.7,-927.0,-1269.0,-1111.0,-818.8,,-734.8,92.1,-686.0,-37.6,-480.0,-301.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False
Indiana,9287,9097.3,9144.7,9343.5,9139.8,9235.0,9189.9,9241.0,8697.0,9181.8,9328.0,9455.8,8765.0,9321.3,9220.5,9235.9,,9783.1,9584.0,9402.9,8392.5,9295.0,8981.9,9346.9,9004.0,8973.0,9181.0,9390.4,9313.1,8985.0,9990.0,,8843.5,8596.5,8922.0,9683.5,8589.0,8884.7,,9225.2,9317.3,8941.0,9387.1,9256.0,8986.3,-189.7,-142.3,56.5,-147.2,-52.0,-97.1,-46.0,-590.0,-105.2,41.0,168.8,-522.0,34.3,-66.5,-51.1,,496.1,297.0,115.9,-894.5,8.0,-305.1,59.9,-283.0,-314.0,-106.0,103.4,26.1,-302.0,703.0,,-443.5,-690.5,-365.0,396.5,-698.0,-402.3,,-61.8,30.3,-346.0,100.1,-31.0,-300.7,True,True,True,True,True,True,False,True,True,True,False,True,True,True,,False,False,True,False,True,False,True,False,False,True,True,True,False,False,,False,False,False,False,False,False,,True,True,False,True,True,False
Iowa,4321,4189.7,4628.9,4243.2,4391.5,4294.0,4375.8,4372.0,4107.0,4304.4,4784.0,4719.4,4449.0,4416.0,4227.0,4311.7,,3543.9,4672.0,4327.7,4096.3,4460.0,4381.9,4435.2,5098.5,4020.9,4387.0,4407.2,4413.9,4367.4,4815.0,,5215.7,4108.7,4247.0,3017.8,4048.0,4241.0,,4431.8,4298.1,4092.0,4371.7,4352.0,4834.0,-131.3,307.9,-77.8,70.5,-27.0,54.8,51.0,-214.0,-16.6,463.0,398.4,128.0,95.0,-94.0,-9.3,,-777.1,351.0,6.7,-224.7,139.0,60.9,114.2,777.5,-300.1,66.0,86.2,92.9,46.4,494.0,,894.7,-212.3,-74.0,-1303.2,-273.0,-80.0,,110.8,-22.9,-229.0,50.7,31.0,513.0,False,True,True,True,True,True,False,True,False,False,True,True,True,True,,False,False,True,False,False,True,True,False,False,True,True,True,True,False,,False,False,True,False,False,True,,True,True,False,True,True,False
Kansas,3489,2965.9,3295.1,2985.5,2928.6,2967.0,2989.0,3095.0,3040.0,2871.9,3289.0,3360.6,3369.0,3098.2,3072.9,3309.9,,3762.1,3484.0,3374.9,3092.8,3224.0,3078.5,3115.7,3338.0,2790.6,3277.0,3209.7,3082.4,3209.3,3238.0,,,2753.4,3050.0,3084.1,2634.0,3071.8,,3221.2,3118.7,2930.0,3053.9,3001.0,3242.1,-523.1,-193.9,-503.5,-560.4,-522.0,-500.0,-394.0,-449.0,-617.1,-200.0,-128.4,-120.0,-390.8,-416.1,-179.1,,273.1,-5.0,-114.1,-396.2,-265.0,-410.5,-373.3,-151.0,-698.4,-212.0,-279.3,-406.6,-279.7,-251.0,,,-735.6,-439.0,-404.9,-855.0,-417.2,,-267.8,-370.3,-559.0,-435.1,-488.0,-246.9,True,True,False,True,True,True,True,False,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,True,True,True,,,False,True,True,False,True,,True,True,False,True,True,True
Kentucky,3093,3006.4,2990.7,3192.3,2993.5,2956.0,3023.0,2993.0,2813.0,3177.6,2904.0,2961.0,2842.0,2892.1,2938.7,3104.9,,2920.7,3133.0,3014.1,3014.5,3236.0,3394.9,2977.5,2976.0,2934.6,3164.0,3027.3,3159.8,3066.2,2976.0,,,2949.8,2809.0,3429.7,2875.0,3012.0,,3073.3,2927.2,3002.0,3017.5,2906.0,3050.2,-86.6,-102.3,99.3,-99.5,-137.0,-70.0,-100.0,-280.0,84.6,-189.0,-132.0,-251.0,-200.9,-154.3,11.9,,-172.3,40.0,-78.9,-78.5,143.0,301.9,-115.5,-117.0,-158.4,71.0,-65.7,66.8,-26.8,-117.0,,,-143.2,-284.0,336.7,-218.0,-81.0,,-19.7,-165.8,-91.0,-75.5,-187.0,-42.8,False,False,False,False,True,False,False,True,False,False,False,False,False,True,,False,True,True,True,False,False,False,False,False,True,True,True,True,False,,,False,False,False,False,True,,True,False,False,True,False,True
Louisiana,8080,8002.4,7705.6,8318.0,8120.6,8169.0,8105.9,8028.0,7672.0,7998.7,7924.0,8024.2,8171.0,8192.6,8140.7,8148.5,,8247.4,8431.0,8027.4,7536.3,8110.0,7967.6,8051.3,8490.5,7813.5,7927.0,8180.0,8176.2,8018.5,7788.0,,7783.4,7800.1,7964.0,9595.8,7780.0,8100.7,,7927.2,8054.8,7890.0,7869.5,8029.0,7978.1,-77.6,-374.4,238.0,40.6,89.0,25.9,-52.0,-408.0,-81.3,-156.0,-55.8,91.0,112.6,60.7,68.5,,167.4,351.0,-52.6,-543.7,30.0,-112.4,-28.7,410.5,-266.5,-153.0,100.0,96.2,-61.5,-292.0,,-296.6,-279.9,-116.0,1515.8,-300.0,20.7,,-152.8,-25.2,-190.0,-210.5,-51.0,-101.9,False,False,True,False,True,True,False,False,False,True,False,False,True,True,,False,False,True,False,True,False,True,False,False,False,False,False,True,False,,False,False,False,False,False,True,,False,True,False,False,True,False
Maine,507,411.6,390.4,464.5,405.9,427.0,400.0,440.0,440.0,463.1,591.0,526.9,445.0,410.2,394.9,443.2,,424.2,479.0,499.7,462.2,489.0,678.0,446.5,467.0,400.7,499.0,415.3,455.4,426.5,433.0,,,397.2,457.0,466.3,385.0,348.8,,439.6,319.0,426.0,400.1,464.0,473.9,-95.4,-116.6,-42.5,-101.1,-80.0,-107.0,-67.0,-67.0,-43.9,84.0,19.9,-62.0,-96.8,-112.1,-63.8,,-82.8,-28.0,-7.3,-44.8,-18.0,171.0,-60.5,-40.0,-106.3,-8.0,-91.7,-51.6,-80.5,-74.0,,,-109.8,-50.0,-40.7,-122.0,-158.2,,-67.4,-188.0,-81.0,-106.9,-43.0,-33.1,False,True,False,True,False,True,True,True,True,True,True,False,False,True,,True,True,True,True,True,False,True,True,False,True,True,True,True,True,,,False,True,True,False,False,,True,False,True,False,True,True
Maryland,6541,6466.3,6147.4,6734.5,6517.4,6524.0,6484.2,6550.0,6309.0,6542.4,6510.0,6693.3,6349.0,6725.2,6689.4,6607.9,,6990.9,6737.0,6715.4,6064.1,6621.0,6546.0,6607.4,6585.0,6426.7,6551.0,6646.0,6648.1,6642.1,6468.0,,6330.5,6424.9,6432.0,6364.8,6359.0,6245.9,,6520.4,6524.3,6372.0,6576.0,6583.0,6510.1,-74.7,-393.6,193.5,-23.6,-17.0,-56.8,9.0,-232.0,1.4,-31.0,152.3,-192.0,184.2,148.4,66.9,,449.9,196.0,174.4,-476.9,80.0,5.0,66.4,44.0,-114.3,10.0,105.0,107.1,101.1,-73.0,,-210.5,-116.1,-109.0,-176.2,-182.0,-295.1,,-20.6,-16.7,-169.0,35.0,42.0,-30.9,False,False,True,True,True,True,False,True,True,False,False,False,False,True,,False,False,False,False,False,True,True,True,False,True,False,False,False,True,,False,False,False,False,False,False,,True,True,False,True,True,True
