,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
North Carolina,8016,6815.0,7180.4,6594.0,6293.6,-1201.0,-835.6,-1422.0,-1722.4,True,False,False
North Dakota,1403,1703.6,1917.9,1629.0,967.3,300.6,514.9,226.0,-435.7,False,True,False
Ohio,15615,7626.4,8032.7,7868.0,7499.2,-7793.6,-7387.3,-7552.0,-7920.8,True,True,False
Oklahoma,2952,2354.7,2420.6,2692.0,2065.8,-597.3,-531.4,-260.0,-886.2,True,True,False
Oregon,1799,1114.4,1323.1,1101.0,1028.6,-684.6,-475.9,-698.0,-770.4,True,False,False
Pennsylvania,19143,10996.1,12780.7,11026.0,10566.4,-8146.9,-6362.3,-8117.0,-8576.6,True,True,False
Rhode Island,2161,1450.7,2202.3,1496.0,1271.6,-687.3,64.3,-642.0,-866.4,True,True,False
South Carolina,6108,5021.7,5791.4,5079.0,4627.9,-1086.3,-316.6,-1029.0,-1480.1,True,True,False
South Dakota,1633,1511.9,1625.6,1387.0,1016.3,-121.1,-7.4,-246.0,-616.7,True,False,False
Tennessee,8355,5980.4,6717.7,5583.0,5813.1,-2374.6,-1637.3,-2772.0,-2541.9,True,False,False
Texas,32428,25906.6,27276.1,25360.0,24673.7,-6170.4,-4800.9,-6717.0,-7403.3,True,False,False
Utah,1485,1102.6,1773.1,1289.0,1306.1,-382.4,288.1,-196.0,-178.9,True,True,True
Vermont,163,68.9,59.3,69.0,61.0,-94.1,-103.7,-94.0,-102.0,False,True,False
Virginia,5706,4219.6,5037.2,4585.0,3956.4,-1486.4,-668.8,-1121.0,-1749.6,True,True,False
Washington,3903,3158.6,4265.5,3126.0,3176.0,-761.4,345.5,-794.0,-744.0,True,False,True
West Virginia,1761,937.7,965.1,1112.0,826.0,-823.3,-795.9,-649.0,-935.0,True,True,False
Wisconsin,5905,4924.1,6881.8,4921.0,4381.1,-722.9,1234.8,-726.0,-1265.9,False,False,False
Wyoming,522,380.1,602.9,363.0,214.2,-141.9,80.9,-159.0,-307.8,True,False,False
US,402962,302471.4,401827.4,296817.0,311107.5,-98840.6,515.4,-104495.0,-90204.5,True,False,True
