,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Michigan,14669,9620.7,14280.0,9974.0,,8490.8,-5048.3,-389.0,-4695.0,,-6178.2,True,True,,False
Minnesota,5955,3907.9,5213.8,4285.0,,3538.0,-2047.1,-741.2,-1670.0,,-2417.0,True,True,,False
Mississippi,5481,4357.7,4337.0,4112.0,,4306.7,-1123.3,-1144.0,-1369.0,,-1174.3,False,False,,False
Missouri,6523,5404.9,6830.4,4800.0,,4126.0,-1100.1,325.4,-1705.0,,-2379.0,True,False,,False
Montana,1088,1233.7,1434.2,1302.0,,951.0,145.7,346.2,214.0,,-137.0,False,False,,True
Nebraska,1837,1283.7,1646.0,1258.0,,949.6,-553.3,-191.0,-579.0,,-887.4,True,False,,False
Nevada,3761,2135.3,2504.1,2102.0,,2462.2,-1621.7,-1252.9,-1655.0,,-1294.8,True,False,,True
New Hampshire,927,591.6,785.3,654.0,,557.0,-335.4,-141.7,-273.0,,-370.0,True,True,,False
New Jersey,20414,17103.1,17708.9,16969.0,,16747.2,-3310.9,-2705.1,-3445.0,,-3666.8,True,False,,False
New Mexico,2910,1666.6,2212.4,1507.0,,1405.1,-1243.4,-697.6,-1403.0,,-1504.9,True,False,,False
New York,40806,34761.9,36750.8,34528.0,,33880.9,-5827.1,-3838.2,-6061.0,,-6708.1,True,False,,False
North Carolina,8016,6836.7,7289.4,6636.0,,6436.0,-1179.3,-726.6,-1380.0,,-1580.0,True,False,,False
North Dakota,1403,1345.3,1921.3,1397.0,,755.1,-57.7,518.3,-6.0,,-647.9,False,True,,False
Ohio,15615,6356.1,7307.2,7451.0,,6122.6,-9238.9,-8287.8,-8144.0,,-9472.4,True,True,,False
Oklahoma,2952,2387.3,2332.1,2442.0,,2060.0,-564.7,-619.9,-510.0,,-892.0,False,True,,False
Oregon,1799,1103.6,1147.9,991.0,,940.8,-695.4,-651.1,-808.0,,-858.2,True,False,,False
Pennsylvania,19143,10496.7,12847.9,10904.0,,9824.7,-8646.3,-6295.1,-8239.0,,-9318.3,True,True,,False
Rhode Island,2161,1461.6,2351.0,1472.0,,1296.7,-680.4,209.0,-670.0,,-845.3,True,True,,False
South Carolina,6108,5390.9,5586.5,5230.0,,4946.9,-717.1,-521.5,-878.0,,-1161.1,True,False,,False
South Dakota,1633,1110.1,1507.5,1089.0,,603.7,-522.9,-125.5,-544.0,,-1029.3,True,False,,False
Tennessee,8355,5763.3,7122.0,5432.0,,6267.0,-2591.7,-1233.0,-2923.0,,-2088.0,True,False,,True
Texas,32428,24440.9,25281.6,24760.0,40208.0,23647.3,-7649.1,-6808.4,-7330.0,8118.0,-8442.7,True,True,False,False
Utah,1485,1070.0,1581.8,1136.0,,1013.0,-415.0,96.8,-349.0,,-472.0,True,True,,False
Vermont,163,58.0,61.3,59.0,,60.1,-105.0,-101.7,-104.0,,-102.9,True,True,,True
Virginia,5706,4480.1,4850.9,4838.0,,3953.9,-1225.9,-855.1,-868.0,,-1752.1,True,True,,False
Washington,3903,3126.0,3562.4,3035.0,,3168.2,-790.0,-353.6,-881.0,,-747.8,True,False,,True
West Virginia,1761,840.0,780.8,833.0,,795.9,-921.0,-980.2,-928.0,,-965.1,False,False,,False
Wisconsin,5905,4967.6,5376.4,4386.0,,4595.1,-621.4,-212.6,-1203.0,,-993.9,True,False,,False
Wyoming,522,293.3,378.0,297.0,,197.6,-228.7,-144.0,-225.0,,-324.4,True,True,,False
US,402962,293553.9,363577.5,291108.0,281808.0,288316.9,-108276.1,-38252.5,-110722.0,-120022.0,-113513.1,True,False,False,False
