,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Georgia,12291,11387.4,11486.6,14615.0,11399.6,12558.0,,12897.9,12212.0,12695.2,12935.1,11224.7,13309.4,11776.0,11230.4,11284.5,,11221.1,,,10613.8,-903.6,-804.4,2324.0,-891.4,267.0,,606.9,-79.0,404.2,644.1,-1066.3,1018.4,-515.0,-1060.6,-1006.5,,-1069.9,,,-1677.2,True,False,True,True,,True,True,True,True,False,False,True,False,False,,False,,,False
Hawaii,319,332.3,321.1,382.0,296.8,308.0,,327.9,,324.9,325.6,407.5,343.6,327.0,655.4,370.0,,295.7,,506.1,299.9,13.3,2.1,63.0,-22.2,-11.0,,8.9,,5.9,6.6,88.5,24.6,8.0,336.4,51.0,,-23.3,,187.1,-19.1,True,False,False,True,,True,,True,True,False,False,True,False,False,,False,,False,False
Idaho,1605,1855.0,1853.8,1851.0,1585.2,1535.0,,1638.6,1934.0,2012.3,1658.9,1558.7,1839.5,2089.5,1863.3,1743.0,,1718.8,,2148.4,1390.4,250.0,248.8,246.0,-19.8,-70.0,,33.6,329.0,407.3,53.9,-46.3,234.5,484.5,258.3,138.0,,113.8,,543.4,-214.6,True,True,True,True,,True,False,False,True,True,True,False,False,True,,True,,False,True
Illinois,20020,21279.3,21307.8,18839.0,19143.4,18965.0,,19917.9,21457.0,21430.1,18064.9,18083.0,20096.7,21138.0,15474.0,22880.0,,20156.0,,,16827.4,1259.3,1287.8,-1181.0,-876.6,-1055.0,,-102.1,1437.0,1410.1,-1955.1,-1937.0,76.7,1118.0,-4546.0,2860.0,,136.0,,,-3192.6,False,True,True,True,,True,False,False,False,False,True,True,False,False,,True,,,False
Indiana,9287,9539.6,9512.7,8907.0,9139.1,8809.0,,9065.1,9912.0,10246.7,8646.6,8142.9,9603.0,9604.0,10353.4,11212.0,,8999.1,,10716.0,7245.4,252.6,225.7,-380.0,-147.9,-478.0,,-221.9,625.0,959.7,-640.4,-1144.1,316.0,317.0,1066.4,1925.0,,-287.9,,1429.0,-2041.6,True,False,True,False,,True,False,False,False,False,False,False,False,False,,False,,False,False
Iowa,4321,5598.7,5838.0,3772.0,3558.8,4061.0,,3543.9,5504.0,4112.8,3168.0,3772.1,3684.3,3355.0,4733.5,6406.0,,4078.8,,4286.9,3771.2,1277.7,1517.0,-549.0,-762.2,-260.0,,-777.1,1183.0,-208.2,-1153.0,-548.9,-636.7,-966.0,412.5,2085.0,,-242.2,,-34.1,-549.8,False,True,True,True,,True,True,True,True,True,True,True,True,False,,True,,True,True
Kansas,3489,3461.1,3502.5,2919.0,2826.8,3476.0,,3556.5,3694.0,3712.4,2613.8,2483.2,3138.0,3051.0,2529.3,4960.0,,3020.8,,3849.2,2184.8,-27.9,13.5,-570.0,-662.2,-13.0,,67.5,205.0,223.4,-875.2,-1005.8,-351.0,-438.0,-959.7,1471.0,,-468.2,,360.2,-1304.2,True,False,False,True,,False,False,False,False,False,False,False,False,False,,False,,False,False
Kentucky,3093,2862.7,2841.9,3090.0,3056.5,2778.0,,3019.1,3282.0,3214.5,2811.3,3200.5,3003.7,2924.0,3376.3,3208.0,,2886.4,,2972.4,2502.4,-230.3,-251.1,-3.0,-36.5,-315.0,,-73.9,189.0,121.5,-281.7,107.5,-89.3,-169.0,283.3,115.0,,-206.6,,-120.6,-590.6,False,True,True,False,,True,True,True,False,True,True,True,False,True,,True,,True,False
Louisiana,8080,7954.6,7862.9,7711.0,8000.4,8448.0,,7705.4,8027.0,8250.0,8029.4,7589.8,8569.4,7973.0,7507.4,7747.5,,7964.7,,7812.3,7258.0,-125.4,-217.1,-369.0,-79.6,368.0,,-374.6,-53.0,170.0,-50.6,-490.2,489.4,-107.0,-572.6,-332.5,,-115.3,,-267.7,-822.0,False,False,True,False,,False,True,False,True,False,False,True,False,False,,True,,False,False
Maine,507,402.7,407.0,529.0,452.5,367.0,,395.4,549.0,529.2,492.8,511.4,551.1,470.0,283.4,891.0,,333.6,,772.8,283.2,-104.3,-100.0,22.0,-54.5,-140.0,,-111.6,42.0,22.2,-14.2,4.4,44.1,-37.0,-223.6,384.0,,-173.4,,265.8,-223.8,True,True,True,False,,False,True,True,True,True,True,True,False,False,,False,,False,False
Maryland,6541,6433.3,6499.3,6481.0,6635.7,6583.0,,6760.9,6422.0,6997.1,6281.6,6108.7,6875.6,7304.0,6359.9,8477.5,,6233.3,,6736.5,5365.3,-107.7,-41.7,-60.0,94.7,42.0,,219.9,-119.0,456.1,-259.4,-432.3,334.6,763.0,-181.1,1936.5,,-307.7,,195.5,-1175.7,True,True,True,True,,False,False,False,False,False,False,False,False,False,,False,,False,False
Massachusetts,13583,13024.7,13078.0,16025.0,13059.8,13330.0,,12596.3,13329.0,14271.4,13830.4,12988.9,14655.4,13887.0,14620.3,12696.5,,12865.7,,15021.7,11778.8,-558.3,-505.0,2442.0,-523.2,-253.0,,-986.7,-254.0,688.4,247.4,-594.1,1072.4,304.0,1037.3,-886.5,,-717.3,,1438.7,-1804.2,True,False,True,True,,False,True,False,True,False,False,True,False,False,,False,,False,False
Michigan,14669,15440.1,15563.9,14060.0,14741.5,14489.0,,15126.7,15435.0,16530.3,13670.2,13348.8,14663.2,14585.0,11280.2,13937.5,,13705.2,,19236.7,11870.1,771.1,894.9,-609.0,72.5,-180.0,,457.7,766.0,1861.3,-998.8,-1320.2,-5.8,-84.0,-3388.8,-731.5,,-963.8,,4567.7,-2798.9,False,True,True,True,,True,True,False,False,False,True,True,False,True,,False,,False,False
Minnesota,5955,6737.3,6613.6,5518.0,6168.4,6423.0,,5950.0,7257.0,6723.2,5531.5,5656.2,5832.9,5801.0,5774.2,6362.0,,6499.0,,6691.8,5041.2,782.3,658.6,-437.0,213.4,468.0,,-5.0,1302.0,768.2,-423.5,-298.8,-122.1,-154.0,-180.8,407.0,,544.0,,736.8,-913.8,True,True,True,True,,True,False,True,True,True,True,True,True,True,,True,,True,False
Mississippi,5481,5355.0,5334.8,6542.0,5155.4,4929.0,,4671.0,5298.0,5932.5,5421.9,4660.7,5708.3,5556.0,5182.3,4812.0,,5363.7,,5539.6,4557.0,-126.0,-146.2,1061.0,-325.6,-552.0,,-810.0,-183.0,451.5,-59.1,-820.3,227.3,75.0,-298.7,-669.0,,-117.3,,58.6,-924.0,False,False,False,False,,False,False,False,True,False,False,True,False,False,,True,,True,False
Missouri,6493,6187.6,6232.3,5736.0,5678.8,6626.0,,5538.7,7428.0,6302.7,5283.7,5503.3,6174.0,6671.0,7312.7,9230.0,,5459.8,,,4937.8,-305.4,-260.7,-757.0,-814.2,133.0,,-954.3,935.0,-190.3,-1209.3,-989.7,-319.0,178.0,819.7,2737.0,,-1033.2,,,-1555.2,True,False,False,True,,False,False,True,False,False,False,True,False,False,,False,,,False
Montana,1088,1216.3,1226.0,994.0,1059.6,975.0,,970.3,1340.0,1130.0,995.8,1023.4,1075.6,1077.0,1241.9,1102.0,,1285.2,,1142.3,977.0,128.3,138.0,-94.0,-28.4,-113.0,,-117.7,252.0,42.0,-92.2,-64.6,-12.4,-11.0,153.9,14.0,,197.2,,54.3,-111.0,False,True,True,True,,True,False,True,True,True,True,True,False,True,,False,,True,True
Nebraska,1837,2189.0,2219.9,1904.0,1987.6,2026.0,,1965.3,2460.0,2213.6,1827.1,1749.8,1906.1,2040.0,1939.6,3795.0,,1770.9,,3303.7,1650.2,352.0,382.9,67.0,150.6,189.0,,128.3,623.0,376.6,-9.9,-87.2,69.1,203.0,102.6,1958.0,,-66.1,,1466.7,-186.8,False,True,True,True,,True,False,False,True,True,True,True,True,False,,True,,False,True
Nevada,3761,3627.0,3614.8,3684.0,3699.8,3395.0,,3488.3,3552.0,4004.9,3580.7,3207.7,4208.4,3742.0,3419.5,4358.0,,3535.3,,4227.4,2813.1,-134.0,-146.2,-77.0,-61.2,-366.0,,-272.7,-209.0,243.9,-180.3,-553.3,447.4,-19.0,-341.5,597.0,,-225.7,,466.4,-947.9,False,True,True,False,,False,False,False,False,False,False,True,False,False,,False,,False,False
New Hampshire,927,792.4,805.0,1016.0,793.5,867.0,,963.0,926.0,987.4,888.6,937.1,1209.1,986.0,972.2,823.0,,758.4,,1199.9,635.5,-134.6,-122.0,89.0,-133.5,-60.0,,36.0,-1.0,60.4,-38.4,10.1,282.1,59.0,45.2,-104.0,,-168.6,,272.9,-291.5,True,True,True,True,,True,True,True,True,True,False,True,True,True,,False,,False,False
New Jersey,20414,19839.6,19867.1,19820.0,19737.0,19285.0,,19549.4,19733.0,20334.0,19390.4,19340.0,20296.6,21625.0,18695.7,21488.5,,20173.7,,19553.5,18146.9,-574.4,-546.9,-594.0,-677.0,-1129.0,,-864.6,-681.0,-80.0,-1023.6,-1074.0,-117.4,1211.0,-1718.3,1074.5,,-240.3,,-860.5,-2267.1,True,False,False,False,,False,False,True,False,False,True,False,False,False,,True,,False,False
New Mexico,2910,2967.3,2788.3,2454.0,3133.7,2695.0,,3106.7,3085.0,3225.4,2469.9,2455.2,2771.8,2776.5,2769.7,3753.0,,2305.5,,2937.9,2248.8,57.3,-121.7,-456.0,223.7,-215.0,,196.7,175.0,315.4,-440.1,-454.8,-138.2,-133.5,-140.3,843.0,,-604.5,,27.9,-661.2,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,,True,False
New York,40806,38466.4,38209.1,40057.0,38970.5,39444.0,,38705.5,38786.0,39663.7,40030.8,39307.7,40776.0,39832.0,37089.4,37274.5,,38755.1,,38037.7,35656.7,-2276.6,-2533.9,-686.0,-1772.5,-1299.0,,-2037.5,-1957.0,-1079.3,-712.2,-1435.3,33.0,-911.0,-3653.6,-3468.5,,-1987.9,,-2705.3,-5086.3,False,True,True,True,,True,True,True,True,True,True,True,False,False,,True,,False,False
North Carolina,8016,7183.0,7195.6,10097.0,7464.4,7896.0,,7343.7,7797.0,8171.2,8180.2,7932.5,8084.6,7920.5,6352.7,8340.0,,7052.8,,7618.0,6453.8,-833.0,-820.4,2081.0,-551.6,-120.0,,-672.3,-219.0,155.2,164.2,-83.5,68.6,-95.5,-1663.3,324.0,,-963.2,,-398.0,-1562.2,True,False,True,True,,True,True,True,True,True,True,True,False,True,,False,,True,False
North Dakota,1403,1798.0,1846.8,1338.0,1349.9,1277.0,,1302.9,1964.0,1465.8,1360.9,1298.8,1424.0,1383.0,1952.4,1568.0,,1689.4,,1726.6,1379.7,395.0,443.8,-65.0,-53.1,-126.0,,-100.1,561.0,62.8,-42.1,-104.2,21.0,-20.0,549.4,165.0,,286.4,,323.6,-23.3,False,True,True,True,,True,False,True,True,True,True,True,False,True,,True,,True,True
Ohio,10135,10080.9,10132.1,11201.0,10958.2,10762.0,,10444.4,11660.0,11849.9,11035.5,11011.2,10931.8,10729.5,9637.9,14072.0,,10491.8,,11682.5,8233.5,-54.1,-2.9,1066.0,823.2,627.0,,309.4,1525.0,1714.9,900.5,876.2,796.8,594.5,-497.1,3937.0,,356.8,,1547.5,-1901.5,True,False,False,False,,False,False,False,False,False,False,False,False,False,,False,,False,False
Oklahoma,2952,2880.0,2882.1,2583.0,2691.6,3573.0,,2444.6,3220.0,2930.6,2465.8,2892.9,2877.3,2804.0,2259.5,2898.0,,2930.7,,3327.2,2355.1,-72.0,-69.9,-369.0,-260.4,621.0,,-507.4,268.0,-21.4,-486.2,-59.1,-74.7,-148.0,-692.5,-54.0,,-21.3,,375.2,-596.9,True,False,False,False,,False,False,True,False,True,False,False,False,True,,True,,False,False
Oregon,1799,1747.6,1765.2,1962.0,1905.6,1833.0,,2205.3,1913.0,2056.2,1831.1,1869.2,1951.4,1721.0,1252.5,2752.0,,1729.7,,2466.0,1330.2,-51.4,-33.8,163.0,106.6,34.0,,406.3,114.0,257.2,32.1,70.2,152.4,-78.0,-546.5,953.0,,-69.3,,667.0,-468.8,True,False,False,True,,False,False,False,True,False,False,False,False,False,,False,,False,False
Pennsylvania,19143,18488.6,18270.5,21420.0,18961.8,20485.0,,17479.9,19619.0,22354.4,18982.9,16854.9,23519.6,23834.0,13460.7,22571.0,,17150.4,,24175.0,13380.1,-654.4,-872.5,2277.0,-181.2,1342.0,,-1663.1,476.0,3211.4,-160.1,-2288.1,4376.6,4691.0,-5682.3,3428.0,,-1992.6,,5032.0,-5762.9,False,False,True,False,,False,True,False,True,False,False,False,False,False,,False,,False,False
Rhode Island,2005,1975.3,1989.0,2227.0,1930.1,1884.0,,1885.4,1913.5,2134.9,2014.6,1702.9,2264.1,2042.0,1706.2,1856.0,,1890.4,,2439.2,1503.9,-29.7,-16.0,222.0,-74.9,-121.0,,-119.6,-91.5,129.9,9.6,-302.1,259.1,37.0,-298.8,-149.0,,-114.6,,434.2,-501.1,True,False,False,False,,False,False,False,True,False,False,False,False,False,,False,,False,False
South Carolina,6108,5579.3,5524.6,6870.0,5443.6,5672.0,,5249.5,5633.0,5854.0,5867.9,5611.6,6488.0,6108.0,5153.4,5305.0,,5469.6,,5573.5,5117.9,-528.7,-583.4,762.0,-664.4,-436.0,,-858.5,-475.0,-254.0,-240.1,-496.4,380.0,0.0,-954.6,-803.0,,-638.4,,-534.5,-990.1,False,False,False,True,,False,True,True,True,True,True,True,False,False,,False,,False,False
South Dakota,1633,1982.7,2003.0,1588.0,1777.4,1846.0,,1914.9,2171.0,2033.4,1632.3,1406.3,1734.0,1740.0,1680.9,1845.0,,1623.0,,1948.9,1607.1,349.7,370.0,-45.0,144.4,213.0,,281.9,538.0,400.4,-0.7,-226.7,101.0,107.0,47.9,212.0,,-10.0,,315.9,-25.9,False,True,True,True,,True,False,False,True,True,True,True,True,True,,True,,True,True
Tennessee,8355,7982.9,7874.6,8441.0,7354.5,7949.0,,6940.0,8136.0,8552.6,7885.1,6922.9,8603.6,9117.0,6683.6,8640.0,,8121.3,,7465.4,6182.4,-372.1,-480.4,86.0,-1000.5,-406.0,,-1415.0,-219.0,197.6,-469.9,-1432.1,248.6,762.0,-1671.4,285.0,,-233.7,,-889.6,-2172.6,False,True,False,False,,False,True,True,False,False,True,False,False,True,,True,,False,False
Texas,32428,30301.4,30806.3,30831.0,30525.0,30755.0,,28108.0,32602.0,32984.3,31784.0,29225.8,32332.6,30915.0,24498.3,32871.5,,29346.8,,29793.9,26746.5,-1889.6,-1384.7,-1360.0,-1666.0,-1436.0,,-4083.0,411.0,793.3,-407.0,-2965.2,141.6,-1276.0,-7692.7,680.5,,-2844.2,,-2397.1,-5444.5,True,True,True,True,,False,True,True,True,False,True,True,False,True,,False,,False,False
Utah,1485,1618.4,1533.0,1326.0,1731.4,1391.0,,1423.0,1666.0,1577.5,1300.2,1124.5,1469.8,1446.0,1477.3,1758.0,,1497.1,,1548.3,889.0,133.4,48.0,-159.0,246.4,-94.0,,-62.0,181.0,92.5,-184.8,-360.5,-15.2,-39.0,-7.7,273.0,,12.1,,63.3,-596.0,True,False,False,True,,True,False,True,False,False,True,True,True,False,,True,,True,False
Vermont,163,172.7,175.0,156.0,148.3,189.0,,137.8,205.0,198.9,140.4,163.4,276.2,241.0,122.2,95.0,,148.8,,430.0,100.3,9.7,12.0,-7.0,-14.7,26.0,,-25.2,42.0,35.9,-22.6,0.4,113.2,78.0,-40.8,-68.0,,-14.2,,267.0,-62.7,False,True,False,False,,False,False,False,False,True,False,False,False,False,,False,,False,False
Virginia,5706,5435.9,5468.9,6311.0,5525.0,5117.0,,4735.7,5677.0,5844.9,5849.8,5768.0,6088.7,5477.0,5248.0,5699.0,,5411.9,,5244.7,4772.9,-270.1,-237.1,605.0,-181.0,-589.0,,-970.3,-29.0,138.9,143.8,62.0,382.7,-229.0,-458.0,-7.0,,-294.1,,-461.3,-933.1,True,False,True,False,,False,True,True,True,True,False,True,False,True,,False,,False,False
Washington,3903,2655.6,2879.0,3339.0,4151.8,4133.0,,4081.6,3897.0,4076.2,4060.0,4157.5,4104.0,3701.0,3370.0,3949.0,,3462.8,,,3104.1,-1185.4,-962.0,-502.0,310.8,292.0,,240.6,56.0,235.2,219.0,316.5,263.0,-140.0,-471.0,108.0,,-378.2,,,-736.9,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,,,True
West Virginia,1761,1599.4,1650.8,1596.0,1594.9,1924.0,,1368.6,1663.0,1965.6,1571.9,1427.0,2065.0,1555.0,1402.6,1777.0,,1749.2,,1873.5,1173.1,-161.6,-110.2,-165.0,-166.1,163.0,,-392.4,-98.0,204.6,-189.1,-334.0,304.0,-206.0,-358.4,16.0,,-11.8,,112.5,-587.9,True,False,False,False,,False,True,False,False,False,False,False,False,True,,True,,True,False
Wisconsin,5905,6218.7,6274.2,5403.0,5465.9,4784.0,,5852.3,7126.0,6285.2,4942.6,5523.0,5624.7,5973.0,6252.6,6600.5,,5617.5,,6432.9,5181.6,313.7,369.2,-502.0,-439.1,-1121.0,,-52.7,1221.0,380.2,-962.4,-382.0,-280.3,68.0,347.6,695.5,,-287.5,,527.9,-723.4,False,False,False,False,,True,False,False,False,False,True,True,False,False,,True,,False,False
Wyoming,522,588.1,596.0,438.0,480.3,580.0,,510.2,687.0,477.5,405.4,426.3,458.5,534.0,480.3,591.0,,415.9,,586.1,418.0,66.1,74.0,-84.0,-41.7,58.0,,-11.8,165.0,-44.5,-116.6,-95.7,-63.5,12.0,-41.7,69.0,,-106.1,,64.1,-104.0,False,False,True,True,,True,False,True,False,False,True,True,True,False,,False,,True,False
US,395877,380870.0,380977.7,407089.0,375983.9,384943.0,398491.0,370628.3,399178.0,409903.4,379227.5,364202.6,406807.4,408731.0,345577.5,447699.0,393798.6,371630.8,423960.0,,323658.3,-14639.0,-14531.3,11580.0,-19525.1,-10566.0,2982.0,-24880.7,3669.0,14394.4,-16281.5,-31306.4,11298.4,13222.0,-49931.5,52190.0,-1710.4,-23878.2,28451.0,,-71850.7,True,True,False,True,True,False,True,True,False,False,True,True,False,False,True,False,False,,False
