,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,12291,11567.1,11845.3,12064.6,12393.0,11606.6,12134.0,12453.0,12197.4,16314.0,11532.7,12064.0,11665.5,11972.5,12590.5,,13058.4,12018.0,12441.0,12741.7,12155.0,12130.6,12139.4,11559.0,11954.5,12192.0,12401.8,12131.5,12609.4,11203.5,,11859.5,11224.2,12385.0,13378.0,12316.0,11633.5,,11923.4,12424.1,12442.0,11630.0,12245.0,11199.5,,10741.6,11543.1,-723.9,-445.7,-226.4,102.0,-684.4,-157.0,162.0,-93.6,4023.0,-758.3,-227.0,-625.5,-318.5,299.5,,767.4,-273.0,150.0,450.7,-136.0,-160.4,-151.6,-732.0,-336.5,-99.0,110.8,-159.5,318.4,-1087.5,,-431.5,-1066.8,94.0,1087.0,25.0,-657.5,,-367.6,133.1,151.0,-661.0,-46.0,-1091.5,,-1549.4,-747.9,True,True,True,True,True,True,True,False,False,True,True,True,True,,False,True,True,True,True,True,True,False,True,True,True,True,True,False,,True,False,True,False,True,True,,True,True,True,True,True,False,,False,False
Hawaii,319,312.9,353.9,298.4,349.0,321.0,338.0,368.0,340.1,390.0,321.8,310.0,310.6,,325.7,,348.5,,341.7,343.8,342.0,482.7,340.4,320.0,314.8,423.0,340.1,326.9,321.5,347.0,,,305.2,346.0,326.7,338.0,312.8,,339.7,387.0,330.0,306.7,340.0,334.0,348.0,303.7,357.3,-6.1,34.9,-20.6,30.0,2.0,19.0,49.0,21.1,71.0,2.8,-9.0,-8.4,,6.7,,29.5,,22.7,24.8,23.0,163.7,21.4,1.0,-4.2,104.0,21.1,7.9,2.5,28.0,,,-13.8,27.0,7.7,19.0,-6.2,,20.7,68.0,11.0,-12.3,21.0,15.0,29.0,-15.3,38.3,False,False,False,True,False,False,False,False,True,False,False,,False,,False,,False,False,False,False,False,True,True,False,False,False,True,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Idaho,1605,1685.0,1522.8,1738.6,1848.0,1699.0,1728.0,1865.0,1676.3,1793.0,1683.6,1636.0,1638.1,1686.1,1862.4,,1982.7,1828.0,1851.4,1617.5,1915.0,1833.0,1768.4,1631.0,1753.7,1816.0,1778.9,1862.9,1638.8,1720.0,,,1576.6,1832.0,1526.3,1558.0,1563.1,,1940.4,1823.8,1578.0,1720.0,1707.0,1620.0,2162.8,1469.1,1696.6,80.0,-82.2,133.6,243.0,94.0,123.0,260.0,71.3,188.0,78.6,31.0,33.1,81.1,257.4,,377.7,223.0,246.4,12.5,310.0,228.0,163.4,26.0,148.7,211.0,173.9,257.9,33.8,115.0,,,-28.4,227.0,-78.7,-47.0,-41.9,,335.4,218.8,-27.0,115.0,102.0,15.0,557.8,-135.9,91.6,False,False,False,False,False,False,True,False,True,True,True,False,False,,False,False,False,True,False,False,False,True,False,False,False,False,True,False,,,True,False,True,True,True,,False,False,True,False,False,True,False,False,False
Illinois,20020,20526.4,22657.4,19997.2,20627.0,20706.8,20098.0,20863.0,19960.7,20094.0,19792.3,19766.0,21273.8,20100.6,20754.1,,22544.8,20390.0,21562.0,18462.9,20222.0,19836.6,19961.3,19751.5,20414.8,20547.0,20329.9,21548.4,20477.0,19139.5,,20083.1,20131.9,20199.0,18751.0,19256.0,19436.5,,20701.9,20330.6,19618.0,21354.0,20303.0,20094.0,,17634.2,19868.5,506.4,2637.4,-22.8,607.0,686.8,78.0,843.0,-59.3,74.0,-227.7,-254.0,1253.8,80.6,734.1,,2524.8,370.0,1542.0,-1557.1,202.0,-183.4,-58.7,-268.5,394.8,527.0,309.9,1528.4,457.0,-880.5,,63.1,111.9,179.0,-1269.0,-764.0,-583.5,,681.9,310.6,-402.0,1334.0,283.0,74.0,,-2385.8,-151.5,False,True,False,False,True,False,True,True,True,True,False,True,False,,False,True,False,False,True,True,True,True,True,False,True,False,True,False,,True,True,True,False,False,False,,False,True,True,False,True,True,,False,True
Indiana,10534,9714.4,9881.1,9653.8,9947.0,9658.2,9556.0,9027.0,9514.3,9459.0,9254.2,9564.0,9393.1,9596.3,9547.0,,9866.5,9860.0,10101.0,8689.7,9707.0,9410.2,9565.7,9579.0,9707.3,9673.0,9369.3,10236.9,9490.7,9611.0,,8807.9,9542.3,9716.0,9683.5,9232.0,9519.1,,9752.0,9388.9,9340.0,9978.3,9581.0,10095.5,10210.8,7689.6,9670.3,156.4,323.1,95.8,389.0,100.2,-2.0,-531.0,-43.7,-99.0,-303.8,6.0,-164.9,38.3,-11.0,,308.5,302.0,543.0,-868.3,149.0,-147.8,7.7,21.0,149.3,115.0,-188.7,678.9,-67.3,53.0,,-750.1,-15.7,158.0,125.5,-326.0,-38.9,,194.0,-169.1,-218.0,420.3,23.0,537.5,652.8,-1868.4,112.3,False,True,False,True,True,False,True,True,False,True,False,True,True,,False,False,False,False,True,True,True,True,True,True,False,False,True,True,,False,True,False,True,False,True,,False,False,False,False,True,False,False,False,True
Iowa,4321,5049.9,4730.8,6145.5,5006.0,4828.2,4626.0,4309.0,4432.7,4523.0,4185.3,4412.0,4804.9,4601.3,4515.6,,3543.9,5242.0,4430.3,3713.6,5688.0,4613.5,4626.7,4860.0,4726.2,4719.0,4724.8,5207.3,4519.5,5356.0,,5938.7,5051.6,4383.0,3017.8,4495.0,4357.1,,5836.5,4769.1,4362.0,4962.5,4413.0,5527.5,7718.2,4040.9,5423.4,728.9,409.8,1824.5,685.0,507.2,305.0,-12.0,111.7,202.0,-135.7,91.0,483.9,280.3,194.6,,-777.1,921.0,109.3,-607.4,1367.0,292.5,305.7,539.0,405.2,398.0,403.8,886.3,198.5,1035.0,,1617.7,730.6,62.0,-1303.2,174.0,36.1,,1515.5,448.1,41.0,641.5,92.0,1206.5,3397.2,-280.1,1102.4,True,False,True,True,True,True,True,True,True,True,True,True,True,,False,False,True,True,False,True,True,True,True,True,True,False,True,False,,False,False,True,False,True,True,,False,True,True,True,True,False,False,True,False
Kansas,3489,3378.6,3419.9,3521.6,3596.0,3417.2,3360.0,3543.0,3057.6,3302.0,3087.0,3254.0,2976.7,3341.3,3495.7,,4190.4,3636.0,3610.3,2998.8,3573.0,3234.4,3294.0,3240.0,3120.8,3441.0,3758.6,3682.5,3455.3,3222.0,,,3321.4,3584.0,3084.2,2839.0,3131.1,,3422.4,3841.2,3346.0,3442.7,3373.0,3277.0,3872.3,2619.3,3486.0,-110.4,-69.1,32.6,107.0,-71.8,-129.0,54.0,-431.4,-187.0,-402.0,-235.0,-512.3,-147.7,6.7,,701.4,147.0,121.3,-490.2,84.0,-254.6,-195.0,-249.0,-368.2,-48.0,269.6,193.5,-33.7,-267.0,,,-167.6,95.0,-404.8,-650.0,-357.9,,-66.6,352.2,-143.0,-46.3,-116.0,-212.0,383.3,-869.7,-3.0,True,True,True,True,False,True,False,False,False,False,False,False,True,,False,False,False,False,True,False,False,False,False,True,False,False,True,False,,,False,True,False,False,False,,True,False,False,True,False,False,False,False,True
Kentucky,3093,3129.9,2939.1,3028.9,3132.0,3086.8,3082.0,2744.0,3383.9,2923.0,2974.6,3024.0,3061.0,2991.8,3126.2,,3101.0,3124.0,3184.3,2813.7,3543.0,3756.7,3062.9,2967.0,3185.2,3561.0,3065.1,3231.5,3245.6,3257.5,,,3087.7,2983.0,3548.8,2970.0,3224.3,,3235.0,3116.1,3092.0,3039.5,3077.0,3234.0,3051.0,2639.8,3166.5,36.9,-153.9,-64.1,39.0,-6.2,-11.0,-349.0,290.9,-170.0,-118.4,-69.0,-32.0,-101.2,33.2,,8.0,31.0,91.3,-279.3,450.0,663.7,-30.1,-126.0,92.2,468.0,-27.9,138.5,152.6,164.5,,,-5.3,-110.0,455.8,-123.0,131.3,,142.0,23.1,-1.0,-53.5,-16.0,141.0,-42.0,-453.2,73.5,False,False,False,True,True,False,False,False,False,False,True,False,True,,True,True,False,False,False,False,True,False,False,False,True,False,False,False,,,True,False,False,False,False,,False,True,True,False,True,False,False,False,False
Louisiana,8080,7906.0,9281.2,8109.2,8074.0,7901.9,7946.0,7950.0,7958.7,7821.0,7843.2,7965.0,8131.2,8074.8,8130.3,,8123.9,8041.0,8088.4,7793.6,8196.0,8135.8,7847.1,7832.0,7960.7,8048.0,7717.7,8214.5,7946.0,7724.5,,7589.5,7879.8,8092.0,9595.8,8040.0,7884.5,,8017.5,7744.1,8007.0,7780.5,7883.0,7871.0,9026.0,7377.7,8191.8,-174.0,1201.2,29.2,-6.0,-178.1,-134.0,-130.0,-121.3,-259.0,-236.8,-115.0,51.2,-5.2,50.3,,43.9,-39.0,8.4,-286.4,116.0,55.8,-232.9,-248.0,-119.3,-32.0,-362.3,134.5,-134.0,-355.5,,-490.5,-200.2,12.0,1515.8,-40.0,-195.5,,-62.5,-335.9,-73.0,-299.5,-197.0,-209.0,946.0,-702.3,111.8,False,True,True,False,True,True,True,False,False,True,True,True,True,,True,True,True,False,True,True,False,False,True,True,False,True,True,False,,False,False,True,False,True,False,,True,False,True,False,False,False,False,False,True
Maine,507,427.0,373.6,391.9,437.0,432.0,479.0,543.0,470.2,678.0,506.7,450.0,458.1,437.9,554.1,,432.4,436.0,566.3,561.8,479.0,773.3,429.5,510.0,429.0,593.0,568.5,482.0,486.2,562.0,,,404.1,502.0,466.3,372.0,397.7,,460.5,621.1,462.0,388.1,546.0,445.0,412.8,317.2,469.2,-80.0,-133.4,-115.1,-70.0,-75.0,-28.0,36.0,-36.8,171.0,-0.3,-57.0,-48.9,-69.1,47.1,,-74.6,-71.0,59.3,54.8,-28.0,266.3,-77.5,3.0,-78.0,86.0,61.5,-25.0,-20.8,55.0,,,-102.9,-5.0,-40.7,-135.0,-109.3,,-46.5,114.1,-45.0,-118.9,39.0,-62.0,-94.2,-189.8,-37.8,False,False,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,False,True,True,True,True,,,False,True,True,False,False,,True,False,True,False,True,True,False,False,True
Maryland,6541,6724.7,6680.7,6838.2,6659.0,6659.1,6678.0,6472.0,6610.4,6736.0,6633.1,6382.0,7173.3,6724.9,6783.7,,6872.6,6553.0,6950.9,6328.2,6689.0,6684.0,6686.1,6702.0,6702.1,6884.0,6588.7,6987.2,6964.8,6982.0,,6220.6,6751.8,6810.0,6364.8,6269.0,6395.4,,6829.5,6629.6,6504.0,7349.7,6751.0,7281.0,6815.5,5615.6,6664.4,183.7,139.7,297.2,118.0,118.1,137.0,-69.0,69.4,195.0,92.1,-159.0,632.3,183.9,242.7,,331.6,12.0,409.9,-212.8,148.0,143.0,145.1,161.0,161.1,343.0,47.7,446.2,423.8,441.0,,-320.4,210.8,269.0,-176.2,-272.0,-145.6,,288.5,88.6,-37.0,808.7,210.0,740.0,274.5,-925.4,123.4,True,False,True,True,True,True,True,False,True,True,False,False,False,,False,True,False,False,True,True,True,True,True,False,True,False,False,False,,False,False,False,True,False,True,,False,True,True,False,False,False,False,False,True
Massachusetts,13583,13136.4,13155.0,13370.3,13495.0,13058.7,13502.0,13276.0,13477.3,14430.0,13586.3,13318.0,13729.8,13523.5,14535.3,,14105.7,13466.0,13915.8,14079.5,13356.0,14106.9,14278.5,12909.0,13385.8,13489.0,13671.1,13802.5,13119.6,12423.0,,12678.9,13371.3,13641.0,15169.1,12945.0,12690.2,,13575.7,13719.3,13364.0,13048.0,13737.0,13810.5,13681.9,12025.8,13521.1,-446.6,-428.0,-212.7,-88.0,-524.3,-81.0,-307.0,-105.7,847.0,3.3,-265.0,146.8,-59.5,952.3,,522.7,-117.0,332.8,496.5,-227.0,523.9,695.5,-674.0,-197.2,-94.0,88.1,219.5,-463.4,-1160.0,,-904.1,-211.7,58.0,1586.1,-638.0,-892.8,,-7.3,136.3,-219.0,-535.0,154.0,227.5,98.9,-1557.2,-61.9,True,True,True,False,True,True,True,False,True,True,True,True,False,,False,True,True,False,True,False,False,False,True,True,True,True,False,False,,False,True,True,False,False,False,,True,True,True,False,True,True,True,False,True
Michigan,14669,15464.4,15315.3,15173.4,15162.0,15589.0,14864.0,14817.0,14723.8,14394.0,14619.3,14328.0,15734.6,15117.5,14694.5,,15878.8,15574.0,15718.0,13174.3,15660.0,14902.7,14655.0,14655.0,14876.1,15547.0,15343.8,15979.8,14825.6,15000.0,,13988.9,15231.2,14418.0,13137.2,13268.0,14335.5,,15496.4,15402.3,14404.0,15868.0,14869.0,14784.5,16192.4,12665.6,14889.0,795.4,646.3,504.4,493.0,920.0,195.0,148.0,54.8,-275.0,-49.7,-341.0,1065.6,448.5,25.5,,1209.8,905.0,1049.0,-1494.7,991.0,233.7,-14.0,-14.0,207.1,878.0,674.8,1310.8,156.6,331.0,,-680.1,562.2,-251.0,-1531.8,-1401.0,-333.5,,827.4,733.3,-265.0,1199.0,200.0,115.5,1523.4,-2003.4,220.0,True,True,True,False,True,True,True,True,True,True,False,True,True,,False,False,False,False,False,True,True,True,True,False,True,False,True,True,,True,True,True,False,False,True,,False,True,True,False,True,True,False,False,True
Minnesota,5955,6475.0,7103.8,6620.1,6485.0,6523.1,6338.0,6297.0,6200.2,5769.0,5919.5,6379.0,6405.4,6001.6,5825.9,,6757.2,6967.0,6331.4,5191.1,6477.0,6306.6,5835.5,5889.0,6293.9,6776.0,6414.3,6862.4,6021.8,6548.5,,7621.6,6544.8,5922.0,4972.3,5847.0,6329.4,,6773.7,6428.9,5873.0,6865.5,5993.0,6669.5,7053.9,5334.8,6399.4,520.0,1148.8,665.1,530.0,568.1,383.0,342.0,245.2,-186.0,-35.5,424.0,450.4,46.6,-129.1,,802.2,1012.0,376.4,-763.9,522.0,351.6,-119.5,-66.0,338.9,821.0,459.3,907.4,66.8,593.5,,1666.6,589.8,-33.0,-982.7,-108.0,374.4,,818.7,473.9,-82.0,910.5,38.0,714.5,1098.9,-620.2,444.4,False,False,False,False,True,True,True,True,True,True,True,True,True,,False,False,True,False,False,True,True,True,True,False,True,False,True,False,,False,False,True,False,True,True,,False,True,True,False,True,False,False,False,True
Mississippi,5481,5219.0,5427.7,5600.3,5375.0,5229.8,5433.0,5560.0,5413.6,5967.0,5416.4,5323.0,5394.1,5427.6,5467.6,,5613.7,5439.0,5640.1,5641.2,5374.0,5183.9,5401.8,5888.5,5345.3,5273.0,5355.8,5607.2,5493.7,5026.0,,5082.0,5323.8,5502.0,4969.7,5162.0,5140.2,,5526.6,5397.9,5423.0,5114.8,5626.0,5471.5,6639.8,4700.3,5520.0,-262.0,-53.3,119.3,-106.0,-251.2,-48.0,79.0,-67.4,486.0,-64.6,-158.0,-86.9,-53.4,-13.4,,132.7,-42.0,159.1,160.2,-107.0,-297.1,-79.2,407.5,-135.7,-208.0,-125.2,126.2,12.7,-455.0,,-399.0,-157.2,21.0,-511.3,-319.0,-340.8,,45.6,-83.1,-58.0,-366.2,145.0,-9.5,1158.8,-780.7,39.0,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,False,True,False,True,True,True,True,True,False,,False,True,True,False,False,False,,True,True,True,False,True,True,False,False,True
Missouri,6523,6877.3,6569.1,6792.9,6844.0,6832.0,6586.0,7052.0,6324.8,6357.0,6041.2,6402.0,6147.9,6262.8,6602.4,,6829.6,6626.0,6692.0,5552.6,6666.0,6506.7,6360.2,6460.5,6604.5,6694.0,6678.4,6886.6,7145.5,7351.0,,6069.8,6305.6,6293.0,6491.8,5929.0,5621.7,,6183.4,6835.2,6190.0,6661.4,6570.0,6981.5,,5331.2,5422.2,383.3,75.1,298.9,350.0,338.0,92.0,558.0,-169.2,-137.0,-452.8,-92.0,-346.1,-231.2,108.4,,335.6,132.0,198.0,-941.4,172.0,12.7,-133.8,-33.5,110.5,200.0,184.4,392.6,651.5,857.0,,-424.2,-188.4,-201.0,-2.2,-565.0,-872.3,,-310.6,341.2,-304.0,167.4,76.0,487.5,,-1162.8,-1071.8,True,True,True,True,True,False,True,True,False,True,True,True,True,,True,True,True,False,True,True,True,True,True,True,True,False,False,False,,False,True,True,True,False,False,,True,True,True,True,True,False,,False,False
Montana,1088,1046.3,1099.2,1046.8,1071.0,1056.0,1048.0,969.0,1067.0,1003.0,993.7,993.0,988.9,1014.6,1024.2,,1098.3,1255.0,1029.3,961.7,1119.0,1258.3,1031.9,1022.0,1055.0,1238.0,1086.2,1112.7,1029.7,1148.0,,,998.8,1077.0,1030.0,1014.0,1082.6,,1113.7,1136.9,1049.0,1126.1,1050.0,982.5,1100.9,987.3,1106.6,-41.7,11.2,-41.2,-17.0,-32.0,-40.0,-119.0,-21.0,-85.0,-94.3,-95.0,-99.1,-73.4,-63.8,,10.3,167.0,-58.7,-126.3,31.0,170.3,-56.1,-66.0,-33.0,150.0,-1.8,24.7,-58.3,60.0,,,-89.2,-11.0,-58.0,-74.0,-5.4,,25.7,48.9,-39.0,38.1,-38.0,-105.5,12.9,-100.7,18.6,True,True,True,True,True,False,True,False,False,False,False,False,False,,True,False,False,False,True,False,False,False,True,False,True,True,False,False,,,False,True,False,False,True,,True,False,True,True,True,False,True,False,True
Nebraska,1837,1921.9,1988.2,1741.2,2162.0,1915.1,1996.0,1996.0,1916.7,1779.0,2038.8,1930.0,2147.4,1944.8,2016.3,,2281.8,2023.5,2058.0,1728.4,2073.0,2144.1,1890.4,1816.0,1915.8,2256.0,2004.5,2121.3,1802.7,2170.0,,,,1871.0,1659.2,1759.0,1599.1,,2247.7,2035.4,1794.0,2037.6,1803.0,2120.5,2328.7,1702.4,1975.9,84.9,151.2,-95.8,325.0,78.1,159.0,159.0,79.7,-58.0,201.8,93.0,310.4,107.8,179.3,,444.8,186.5,221.0,-108.6,236.0,307.1,53.4,-21.0,78.8,419.0,167.5,284.3,-34.3,333.0,,,,34.0,-177.8,-78.0,-237.9,,410.7,198.4,-43.0,200.6,-34.0,283.5,491.7,-134.6,138.9,False,False,False,True,False,False,True,True,False,False,False,False,False,,False,False,False,False,False,False,True,True,True,False,False,False,True,False,,,,True,False,True,False,,False,False,True,False,True,False,False,False,False
Nevada,3761,3704.7,3167.5,3875.4,3779.0,3665.2,3729.0,4098.0,3692.0,3669.0,3729.4,3392.0,3769.6,3733.9,3875.8,,3873.0,3670.0,4089.4,3385.6,4030.0,3664.0,3819.7,3638.0,3749.3,3860.0,3734.3,3984.7,3703.3,4294.0,,3422.8,3802.6,3780.0,3876.9,3510.0,3553.4,,4021.1,3779.7,3584.0,3822.9,3775.0,4093.5,,3002.3,3734.8,-56.3,-593.5,114.4,18.0,-95.8,-32.0,337.0,-69.0,-92.0,-31.6,-369.0,8.6,-27.1,114.8,,112.0,-91.0,328.4,-375.4,269.0,-97.0,58.7,-123.0,-11.7,99.0,-26.7,223.7,-57.7,533.0,,-338.2,41.6,19.0,115.9,-251.0,-207.6,,260.1,18.7,-177.0,61.9,14.0,332.5,,-758.7,-26.2,False,False,True,False,True,False,False,False,True,False,True,True,False,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,,False,True,True,False,False,False,,False,True,False,False,True,False,,False,True
New Hampshire,927,860.4,1220.8,925.8,866.0,850.0,932.0,775.0,896.7,1012.0,906.9,795.0,927.8,958.6,1038.1,,1114.2,956.0,967.0,984.7,956.0,1181.9,1079.0,825.0,869.5,975.0,888.8,961.9,912.2,892.0,,,947.3,903.0,1210.8,844.0,718.1,,920.4,941.3,926.0,841.8,949.0,1131.5,978.2,678.5,921.5,-66.6,293.8,-1.2,-61.0,-77.0,5.0,-152.0,-30.3,85.0,-20.1,-132.0,0.8,31.6,111.1,,187.2,29.0,40.0,57.7,29.0,254.9,152.0,-102.0,-57.5,48.0,-38.2,34.9,-14.8,-35.0,,,20.3,-24.0,283.8,-83.0,-208.9,,-6.6,14.3,-1.0,-85.2,22.0,204.5,51.2,-248.5,-5.5,False,True,True,False,True,False,True,False,True,False,True,True,False,,False,True,True,True,True,False,False,False,True,True,True,True,True,True,,,True,True,False,False,False,,True,True,True,False,True,False,True,False,True
New Jersey,20414,19902.7,19193.4,20192.7,20257.0,19938.6,20098.0,20095.0,20098.2,19547.0,19884.3,19010.0,21035.5,20578.0,20773.6,,20444.4,19980.0,20316.4,19562.6,20527.0,20842.0,20076.6,20316.0,20045.0,20568.0,20042.0,20476.9,20208.1,19561.5,,19195.8,20119.2,20686.0,20096.4,19624.0,19532.3,,20248.4,20102.0,19395.0,19218.7,20049.0,20562.5,20844.6,18481.7,20219.1,-511.3,-1220.6,-221.3,-157.0,-475.4,-316.0,-319.0,-315.8,-867.0,-529.7,-1404.0,621.5,164.0,359.6,,30.4,-434.0,-97.6,-851.4,113.0,428.0,-337.4,-98.0,-369.0,154.0,-372.0,62.9,-205.9,-852.5,,-1218.2,-294.8,272.0,-317.6,-790.0,-881.7,,-165.6,-312.0,-1019.0,-1195.3,-365.0,148.5,430.6,-1932.3,-194.9,False,True,True,True,True,True,True,False,False,False,False,True,True,,True,True,True,False,True,True,True,True,True,True,True,True,True,False,,False,True,True,True,False,False,,True,True,False,False,True,True,True,False,True
New Mexico,2910,2996.4,2579.0,3103.8,3223.0,3122.8,2971.0,3108.0,2916.3,2728.0,2719.0,2936.0,2971.6,3387.0,3042.7,,2990.6,3069.0,3018.0,2494.5,3013.0,2660.1,2845.8,2732.0,2909.7,2890.0,2925.2,3124.6,3122.8,3513.0,,,3013.8,2915.0,2879.9,2694.0,2927.1,,2629.1,2971.7,2830.0,2901.6,2900.0,2971.0,3057.6,2432.5,2917.9,86.4,-331.0,193.8,313.0,212.8,61.0,198.0,6.3,-182.0,-191.0,26.0,61.6,477.0,132.7,,80.6,159.0,108.0,-415.5,103.0,-249.9,-64.2,-178.0,-0.3,-20.0,15.2,214.6,212.8,603.0,,,103.8,5.0,-30.1,-216.0,17.1,,-280.9,61.7,-80.0,-8.4,-10.0,61.0,147.6,-477.5,7.9,False,False,False,False,True,False,True,False,False,True,True,False,False,,True,False,False,False,False,False,True,False,True,True,True,False,False,False,,,False,True,True,False,True,,False,True,True,True,True,True,False,False,True
New York,40806,39559.1,45738.2,41078.2,40383.0,39585.6,40295.0,39697.0,40427.5,39451.0,39750.3,39136.0,39958.2,39773.6,40295.2,,40771.9,39247.0,40463.4,39967.3,40611.0,42811.4,41437.1,41713.0,40387.0,40283.0,41069.5,40490.5,39960.6,36887.0,,37674.1,39337.9,41408.0,40630.4,39763.0,40903.8,,39913.2,41173.0,39996.0,44068.2,40332.0,41648.0,39772.6,36455.0,40346.9,-1246.9,4932.2,272.2,-423.0,-1220.4,-511.0,-1109.0,-378.5,-1355.0,-1055.7,-1670.0,-847.8,-1032.4,-510.8,,-34.1,-1559.0,-342.6,-838.7,-195.0,2005.4,631.1,907.0,-419.0,-523.0,263.5,-315.5,-845.4,-3919.0,,-3131.9,-1468.1,602.0,-175.6,-1043.0,97.8,,-892.8,367.0,-810.0,3262.2,-474.0,842.0,-1033.4,-4351.0,-459.1,False,True,True,True,True,True,True,False,True,False,True,True,True,,True,False,True,True,True,False,True,True,True,True,True,True,True,False,,False,False,True,True,True,True,,True,True,True,False,True,True,True,False,True
