,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
North Carolina,6892,6623.0,6965.7,6593.3,7078.0,6636.4,6965.0,7522.0,6893.0,7526.0,6569.0,6942.0,7248.6,6668.3,7100.6,,6603.5,6972.0,7023.8,7161.9,7274.0,7014.6,6986.9,7005.0,6951.2,7062.0,6573.0,7003.7,,6107.7,7049.0,7111.0,,6529.8,6812.5,6932.0,7324.4,7114.0,6566.6,,6861.0,6604.0,7130.0,,7022.0,6638.0,6809.6,6232.2,6910.2,-269.0,73.7,-298.7,186.0,-255.6,73.0,630.0,1.0,634.0,-323.0,50.0,356.6,-223.7,208.6,,-288.5,80.0,131.8,269.9,382.0,122.6,94.9,113.0,59.2,170.0,-319.0,111.7,,-784.3,157.0,219.0,,-362.2,-79.5,40.0,432.4,222.0,-325.4,,-31.0,-288.0,238.0,,130.0,-254.0,-82.4,-659.8,18.2,True,False,True,True,True,False,True,False,False,True,False,True,True,,False,True,True,False,False,True,True,True,True,True,False,True,,False,True,True,,False,True,True,False,True,False,,True,False,True,,True,True,True,False,True
North Dakota,1317,1532.0,1609.1,1532.4,1686.0,1569.0,1392.0,1244.0,1376.8,1302.0,1253.3,1253.0,1553.2,1501.2,1364.9,,1244.8,1624.0,1352.5,1321.4,1453.0,1247.8,1347.7,1318.0,1378.7,1415.0,1493.1,1461.6,,1527.7,1498.3,1420.0,,,1793.4,1392.0,1223.3,1324.0,1525.5,,1367.5,1532.3,1368.0,,1375.0,1363.0,1472.8,1312.8,1408.6,215.0,292.1,215.4,369.0,252.0,75.0,-73.0,59.8,-15.0,-63.7,-64.0,236.2,184.2,47.9,,-72.2,307.0,35.5,4.4,136.0,-69.2,30.7,1.0,61.7,98.0,176.1,144.6,,210.7,181.3,103.0,,,476.4,75.0,-93.7,7.0,208.5,,50.5,215.3,51.0,,58.0,46.0,155.8,-4.2,91.6,False,False,False,False,True,True,True,True,True,True,False,True,True,,True,False,True,True,True,True,True,True,True,True,True,True,,True,True,True,,,False,True,True,True,True,,True,False,True,,True,True,True,True,True
Ohio,9017,9014.9,9381.0,8954.8,10008.0,9069.7,9478.0,10841.0,9542.0,9641.0,9280.5,9296.0,10218.1,9114.9,9428.4,,9078.0,9970.0,9778.0,9639.2,10179.0,9530.7,9476.8,9356.0,9581.2,9995.0,9891.9,9856.9,9580.0,8502.2,9388.8,10635.5,,9687.6,9499.4,9711.0,10145.6,9374.0,9104.1,,9361.0,9924.0,9448.0,9279.6,9331.0,9375.5,9779.0,7960.9,9395.5,-2.1,364.0,-62.2,991.0,52.7,461.0,1824.0,525.0,624.0,263.5,279.0,1201.1,97.9,411.4,,61.0,953.0,761.0,622.2,1162.0,513.7,459.8,339.0,564.2,978.0,874.9,839.9,563.0,-514.8,371.8,1618.5,,670.6,482.4,694.0,1128.6,357.0,87.1,,344.0,907.0,431.0,262.6,314.0,358.5,762.0,-1056.1,378.5,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Oklahoma,2527,2544.0,2722.3,2548.6,2698.0,2546.0,2576.0,2666.0,2675.3,2426.0,2348.0,2849.0,2973.2,2519.5,2545.6,,2242.0,2723.0,2538.2,2332.1,2907.0,2545.4,2538.4,2515.0,2690.8,2833.0,2609.8,2660.6,,2195.7,2577.1,2526.0,,,2671.8,2580.0,2535.7,2561.0,2560.0,,2664.9,2649.9,2638.0,,2560.0,2712.0,2682.9,2251.9,2503.5,17.0,195.3,21.6,171.0,19.0,49.0,139.0,148.3,-101.0,-179.0,322.0,446.2,-7.5,18.6,,-285.0,196.0,11.2,-194.9,380.0,18.4,11.4,-12.0,163.8,306.0,82.8,133.6,,-331.3,50.1,-1.0,,,144.8,53.0,8.7,34.0,33.0,,137.9,122.9,111.0,,33.0,185.0,155.9,-275.1,-23.5,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,True,False,False,False,True,True,False,False,False,False,,False,False,True,,,False,False,True,False,False,,False,False,False,,False,False,False,False,False
Oregon,1492,1503.6,1751.6,1527.0,1763.0,1519.0,1619.0,1587.0,1602.0,1653.0,1531.9,1561.0,1667.6,1547.1,1620.8,,1646.6,1637.0,1629.8,1599.2,1697.0,1545.4,1609.6,1497.0,1571.3,1751.0,1711.2,1632.1,,1236.6,1666.1,1888.0,,,1640.5,1627.0,1699.3,1496.0,1482.4,,1596.8,1747.4,1481.0,,1623.0,1574.5,1816.3,1266.2,1490.7,11.6,259.6,35.0,271.0,27.0,127.0,95.0,110.0,161.0,39.9,69.0,175.6,55.1,128.8,,154.6,145.0,137.8,107.2,205.0,53.4,117.6,5.0,79.3,259.0,219.2,140.1,,-255.4,174.1,396.0,,,148.5,135.0,207.3,4.0,-9.6,,104.8,255.4,-11.0,,131.0,82.5,324.3,-225.8,-1.3,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,,,False,False,False,True,True,,False,False,True,,False,False,False,False,True
Pennsylvania,16179,16018.6,17700.6,16004.2,16384.0,15910.9,16713.0,15972.0,16070.1,17170.0,15551.8,16674.0,17720.2,16418.4,16605.0,,15135.0,16713.0,17341.6,16217.0,16235.0,14951.3,17630.0,18186.0,16608.8,16212.0,17653.5,16932.1,,13179.9,17274.4,17445.5,,16023.3,17551.0,16706.0,15791.8,16806.0,15495.3,,15296.7,17749.8,16184.0,19065.2,17102.0,18183.5,17761.8,13053.5,16366.9,-160.4,1521.6,-174.8,205.0,-268.1,534.0,-207.0,-108.9,991.0,-627.2,495.0,1541.2,239.4,426.0,,-1044.0,534.0,1162.6,38.0,56.0,-1227.7,1451.0,2007.0,429.8,33.0,1474.5,753.1,,-2999.1,1095.4,1266.5,,-155.7,1372.0,527.0,-387.2,627.0,-683.7,,-882.3,1570.8,5.0,2886.2,923.0,2004.5,1582.8,-3125.5,187.9,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,True,True,False,False,False,False,True,False,False,,False,False,False,,True,False,False,False,False,False,,False,False,True,False,False,False,False,False,False
Rhode Island,1777,1783.3,1872.5,1794.7,1844.0,1797.0,1797.0,1774.0,1632.7,1885.0,1722.2,1740.0,1848.1,1779.8,1913.2,,1736.6,1771.5,1840.7,1862.7,1911.0,1594.9,1890.9,1812.0,1755.0,1780.0,1843.3,1878.8,,1621.7,1875.4,1729.0,,,1810.7,1789.0,1845.5,1627.0,1768.5,,1790.1,1878.7,1848.0,,1815.0,1723.0,1939.0,1474.8,2015.2,6.3,95.5,17.7,67.0,20.0,20.0,-3.0,-144.3,108.0,-54.8,-37.0,71.1,2.8,136.2,,-40.4,-5.5,63.7,85.7,134.0,-182.1,113.9,35.0,-22.0,3.0,66.3,101.8,,-155.3,98.4,-48.0,,,33.7,12.0,68.5,-150.0,-8.5,,13.1,101.7,71.0,,38.0,-54.0,162.0,-302.2,238.2,False,False,False,False,False,True,False,False,False,False,False,True,False,,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,,False,False,False,False,False
South Carolina,5385,5233.3,5520.4,5248.6,5402.0,5189.2,5365.0,5568.0,5331.3,5617.0,5038.8,5265.0,5487.8,5360.3,5374.0,,4975.5,5274.0,5279.8,5325.4,5489.0,5231.7,5504.7,5459.0,5501.4,5324.0,5312.6,5440.6,,5023.1,5413.3,5063.0,,5341.8,5204.0,5386.0,5969.5,5757.0,5158.3,,5134.9,5350.2,5649.0,,5456.0,5403.5,5210.0,4980.4,5421.0,-151.7,135.4,-136.4,17.0,-195.8,-20.0,183.0,-53.7,232.0,-346.2,-120.0,102.8,-24.7,-11.0,,-409.5,-111.0,-105.2,-59.6,104.0,-153.3,119.7,74.0,116.4,-61.0,-72.4,55.6,,-361.9,28.3,-322.0,,-43.2,-181.0,1.0,584.5,372.0,-226.7,,-250.1,-34.8,264.0,,71.0,18.5,-175.0,-404.6,36.0,True,True,True,False,True,False,True,False,False,True,True,True,True,,False,True,True,True,True,False,True,True,True,True,True,True,,False,True,False,,True,False,True,False,False,False,,False,True,False,,True,True,False,False,True
South Dakota,1501,1684.7,1660.8,1671.0,1841.0,1699.0,1635.0,1364.0,1549.5,1508.0,1565.3,1628.0,2075.9,1650.7,1600.7,,1758.6,1797.0,1736.0,1566.2,1660.0,1354.8,1580.0,1578.0,1581.5,1612.0,1641.1,1682.2,,1550.7,1607.6,1646.0,,,1755.9,1632.0,1381.5,1638.0,1547.7,,1746.4,1669.0,1582.0,,1652.0,1749.5,1683.4,1490.2,1614.0,183.7,159.8,170.0,340.0,198.0,134.0,-137.0,48.5,7.0,64.3,127.0,574.9,149.7,99.7,,257.6,296.0,235.0,65.2,159.0,-146.2,79.0,77.0,80.5,111.0,140.1,181.2,,49.7,106.6,145.0,,,254.9,131.0,-119.5,137.0,46.7,,245.4,168.0,81.0,,151.0,248.5,182.4,-10.8,113.0,True,True,False,False,True,True,True,True,True,True,False,True,True,,False,False,False,True,True,True,True,True,True,True,True,True,,True,True,True,,,False,True,True,True,True,,False,True,True,,True,False,True,True,True
Tennessee,6970,6944.9,7329.2,6884.6,7178.0,6884.8,7007.0,6902.0,6831.0,7012.0,6350.1,6924.0,7630.5,6933.7,6873.1,,6320.2,6999.0,7087.6,6894.7,7145.0,6283.2,7122.2,7430.0,7354.7,6719.0,7172.0,7066.9,,6154.9,7489.1,7116.0,,6431.2,7137.2,7001.0,6673.1,7586.0,7012.6,,6689.9,7208.1,7464.0,,7177.0,6925.5,6580.7,5901.3,7289.5,-25.1,359.2,-85.4,208.0,-85.2,37.0,-68.0,-139.0,42.0,-619.9,-46.0,660.5,-36.3,-96.9,,-649.8,29.0,117.6,-75.3,175.0,-686.8,152.2,460.0,384.7,-251.0,202.0,96.9,,-815.1,519.1,146.0,,-538.8,167.2,31.0,-296.9,616.0,42.6,,-280.1,238.1,494.0,,207.0,-44.5,-389.3,-1068.7,319.5,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False
Texas,28442,27871.4,28845.9,27822.8,29109.0,28223.1,28374.0,28942.0,28498.0,28321.0,27548.7,28117.0,30749.0,28466.7,28325.7,,26107.2,29268.0,28979.2,28595.3,28354.0,27087.4,28843.4,28291.0,28490.5,28194.0,28505.5,28426.8,,24460.3,29020.7,29109.5,,28229.2,29937.8,28425.0,29039.7,28390.0,27609.6,,29027.1,28550.0,28033.0,,28756.0,27919.5,27571.9,25895.2,26935.4,-333.6,640.9,-382.2,904.0,18.1,169.0,737.0,293.0,116.0,-656.3,-88.0,2544.0,261.7,120.7,,-2097.8,1063.0,774.2,390.3,149.0,-1117.6,638.4,86.0,285.5,-11.0,300.5,221.8,,-3744.7,815.7,904.5,,24.2,1732.8,220.0,834.7,185.0,-595.4,,822.1,345.0,-172.0,,551.0,-285.5,-633.1,-2309.8,-1269.6,False,False,False,True,True,False,True,True,False,True,False,True,True,,False,False,False,False,True,False,False,True,True,True,True,True,,False,False,False,,True,False,True,False,True,False,,False,False,True,,False,True,False,False,False
Utah,1294,1386.4,1448.4,1334.0,1429.0,1335.0,1328.0,1291.0,1383.1,1245.0,1391.9,1279.0,1540.2,1321.9,934.4,,1234.8,1406.0,1345.6,1224.4,1541.0,982.8,1301.6,1290.0,1433.5,1437.0,1410.0,1390.8,,1304.5,1385.4,1424.0,,,1400.6,1308.0,1130.6,1330.0,1328.1,,1598.6,1446.6,1314.0,,1308.0,1319.0,1332.7,850.1,1322.4,92.4,154.4,40.0,135.0,41.0,34.0,-3.0,89.1,-49.0,97.9,-15.0,246.2,27.9,-359.6,,-59.2,112.0,51.6,-69.6,247.0,-311.2,7.6,-4.0,139.5,143.0,116.0,96.8,,10.5,91.4,130.0,,,106.6,14.0,-163.4,36.0,34.1,,304.6,152.6,20.0,,14.0,25.0,38.7,-443.9,28.4,False,True,False,True,True,True,True,True,False,True,False,True,False,,True,False,True,True,False,False,True,True,False,False,False,False,,True,True,False,,,False,True,False,True,True,,False,False,True,,True,True,True,False,True
Vermont,139,140.7,168.7,141.5,158.0,143.0,143.0,112.0,134.6,136.0,119.7,135.0,151.9,153.6,146.6,,119.5,160.0,150.4,117.6,155.0,134.8,172.4,171.0,128.3,165.0,145.2,144.2,,114.0,156.7,95.0,,,148.7,137.0,93.8,131.0,133.2,,133.2,184.6,130.0,,151.0,190.5,214.9,98.5,137.5,1.7,29.7,2.5,19.0,4.0,4.0,-27.0,-4.4,-3.0,-19.3,-4.0,12.9,14.6,7.6,,-19.5,21.0,11.4,-21.4,16.0,-4.2,33.4,32.0,-10.7,26.0,6.2,5.2,,-25.0,17.7,-44.0,,,9.7,-2.0,-45.2,-8.0,-5.8,,-5.8,45.6,-9.0,,12.0,51.5,75.9,-40.5,-1.5,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,,False,False,False,False,True
Virginia,5117,5013.9,5233.5,5054.8,5298.0,5044.8,5106.0,5530.0,5104.9,5290.0,4933.3,4821.0,4955.4,5090.7,5097.1,,4521.7,5194.0,5144.9,5191.6,5327.0,5124.4,5235.8,5061.0,5180.2,5200.0,5234.3,5119.6,,4887.8,5330.0,5101.0,,4755.4,5168.0,5063.0,5373.7,5118.0,5052.6,,4982.1,5269.7,5212.0,,5260.0,5045.5,4916.1,4641.2,5071.9,-103.1,116.5,-62.2,181.0,-72.2,-11.0,413.0,-12.1,173.0,-183.7,-296.0,-161.6,-26.3,-19.9,,-595.3,77.0,27.9,74.6,210.0,7.4,118.8,-56.0,63.2,83.0,117.3,2.6,,-229.2,213.0,-16.0,,-361.6,51.0,-54.0,256.7,1.0,-64.4,,-134.9,152.7,95.0,,143.0,-71.5,-200.9,-475.8,-45.1,False,True,False,True,True,False,True,False,False,False,False,True,True,,False,True,True,True,False,True,False,True,True,True,False,True,,False,False,True,,False,True,True,False,True,True,,False,False,True,,False,True,False,False,True
Washington,3461,2747.6,3175.7,2931.7,3249.0,2879.0,3445.0,4174.0,3479.2,3192.0,3608.4,3543.0,3374.5,3447.8,3458.6,,3575.5,3529.0,3486.5,3690.6,3577.0,3526.2,3568.9,3361.0,3411.3,3590.0,3556.6,3537.2,,3319.3,3325.5,3345.0,,3267.3,3318.3,3249.0,4641.7,3243.0,3073.7,,3403.3,3568.7,3592.0,,3289.0,3382.0,,3018.9,3559.7,-651.4,-223.3,-467.3,-150.0,-520.0,46.0,775.0,80.2,-207.0,209.4,144.0,-24.5,48.8,59.6,,176.5,130.0,87.5,291.6,178.0,127.2,169.9,-38.0,12.3,191.0,157.6,138.2,,-79.7,-73.5,-54.0,,-131.7,-80.7,-150.0,1242.7,-156.0,-325.3,,4.3,169.7,193.0,,-110.0,-17.0,,-380.1,160.7,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,False,True,True,,True,True,True,,True,True,,True,True
West Virginia,1373,1339.4,1538.3,1387.7,1531.0,1377.0,1404.0,1523.0,1415.5,1351.0,1275.8,1458.0,1657.8,1436.3,1449.8,,1176.5,1381.0,1494.1,1359.7,1402.0,1248.2,1511.6,1311.0,1350.2,1411.0,1530.9,1397.2,,1219.7,1415.9,1406.0,,,1510.0,1452.0,1359.1,1341.0,1408.8,,1328.9,1567.8,1340.0,,1437.0,1352.0,1395.9,1100.2,1361.7,-33.6,165.3,14.7,158.0,4.0,31.0,150.0,42.5,-22.0,-97.2,85.0,284.8,63.3,76.8,,-196.5,8.0,121.1,-13.3,29.0,-124.8,138.6,-62.0,-22.8,38.0,157.9,24.2,,-153.3,42.9,33.0,,,137.0,79.0,-13.9,-32.0,35.8,,-44.1,194.8,-33.0,,64.0,-21.0,22.9,-272.8,-11.3,False,True,False,True,True,False,False,True,False,False,False,False,False,,False,True,False,True,True,False,False,False,True,False,False,True,,False,False,True,,,False,False,True,True,False,,False,False,True,,False,True,True,False,True
Wisconsin,5256,5444.7,5722.2,5610.8,5899.0,5494.0,5300.0,5428.0,5341.0,5160.0,4957.7,4688.0,5827.7,5223.0,5297.5,,5283.3,6014.0,5532.6,4803.5,5847.0,5094.7,5209.2,5363.0,5536.7,5636.0,5466.0,5507.1,5196.0,5371.7,5470.9,5664.5,,5198.1,5694.4,5223.0,4138.6,5174.0,5183.7,,5623.2,5484.9,5111.0,5680.9,5225.0,5186.0,5556.9,4890.6,4915.2,188.7,466.2,354.8,643.0,238.0,44.0,172.0,85.0,-96.0,-298.3,-568.0,571.7,-33.0,41.5,,27.3,758.0,276.6,-452.5,591.0,-161.3,-46.8,107.0,280.7,380.0,210.0,251.1,-60.0,115.7,214.9,408.5,,-57.9,438.4,-33.0,-1117.4,-82.0,-72.3,,367.2,228.9,-145.0,424.9,-31.0,-70.0,300.9,-365.4,-340.8,False,False,False,False,True,True,True,True,False,False,False,True,True,,True,False,False,False,False,True,True,True,False,False,False,False,True,True,False,False,,True,False,True,False,True,True,,False,False,True,False,True,True,False,False,False
Wyoming,438,478.1,500.4,487.8,496.0,486.0,454.0,432.0,447.4,416.0,412.8,477.0,550.7,501.4,422.8,,445.4,536.0,417.6,387.2,492.0,392.5,422.3,446.0,412.7,473.0,466.6,495.9,,431.7,452.9,486.0,,,487.0,454.0,375.7,426.0,384.9,,499.7,503.7,420.0,,438.0,524.5,478.9,389.7,473.6,40.1,62.4,49.8,58.0,48.0,16.0,-6.0,9.4,-22.0,-25.2,39.0,112.7,63.4,-15.2,,7.4,98.0,-20.4,-50.8,54.0,-45.5,-15.7,8.0,-25.3,35.0,28.6,57.9,,-6.3,14.9,48.0,,,49.0,16.0,-62.3,-12.0,-53.1,,61.7,65.7,-18.0,,0.0,86.5,40.9,-48.3,35.6,False,False,False,False,True,True,True,True,True,True,False,False,True,,True,False,True,False,False,False,True,True,True,True,True,False,,True,True,False,,,False,True,False,True,False,,False,False,True,,True,False,False,False,True
US,350313,347228.0,365427.5,347455.5,,347703.0,355082.0,355061.0,349720.6,356835.0,335337.0,353898.0,373632.2,351035.3,,359364.0,336847.6,359059.0,357230.7,345554.9,359443.0,334520.9,355725.8,358877.0,363986.5,354836.0,354791.9,357451.9,,326819.4,355548.0,370317.0,352462.5,345664.6,355718.5,355104.0,357094.5,351996.0,343904.5,373167.0,,356864.1,355500.0,359709.8,354922.0,357450.0,,314563.3,347427.6,-2717.0,15482.5,-2489.5,,-2242.0,5137.0,5116.0,-224.4,6890.0,-14608.0,3953.0,23687.2,1090.3,,9419.0,-13097.4,9114.0,7285.7,-4390.1,9498.0,-15424.1,5780.8,8932.0,14041.5,4891.0,4846.9,7506.9,,-23125.6,5603.0,20372.0,2517.5,-4280.4,5773.5,5159.0,7149.5,2051.0,-6040.5,23222.0,,6919.1,5555.0,9764.8,4977.0,7505.0,,-35381.7,-2517.4,False,True,,True,False,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,True,False,False,,False,False,False,False,False,,False,True
