,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,10960,9867.6,11446.4,9905.4,11847.0,10163.6,,9805.0,10131.0,9817.6,,9802.4,9971.0,8969.2,-638.4,940.4,-600.6,1341.0,-342.4,,-701.0,-375.0,-688.4,,-703.6,-535.0,-1536.8,False,True,False,True,,False,True,False,,False,True,False
Hawaii,289,236.7,222.2,240.8,251.0,349.9,,,302.9,307.0,,249.6,249.0,254.5,-52.3,-66.8,-48.2,-38.0,60.9,,,13.9,18.0,,-39.4,-40.0,-34.5,False,True,True,False,,,True,True,,True,True,True
Idaho,1448,1126.0,1045.1,1115.1,1275.0,1410.3,,1153.0,1250.9,1334.7,,945.6,1047.0,821.0,-322.0,-402.9,-332.9,-173.0,-37.7,,-295.0,-197.1,-113.3,,-502.4,-401.0,-627.0,False,False,True,True,,True,True,True,,False,False,False
Illinois,18217,14175.9,17735.7,14074.0,32778.0,18810.0,,12938.0,15430.8,15124.3,,13249.5,14384.0,11650.2,-4041.1,-481.3,-4143.0,14561.0,593.0,,-5279.0,-2786.2,-3092.7,,-4967.5,-3833.0,-6566.8,True,False,False,True,,False,True,True,,False,True,False
Indiana,8410,6711.1,7817.2,6673.7,12460.0,8619.0,,6324.0,7979.8,8485.6,,6008.8,9493.0,4933.0,-1698.9,-592.8,-1736.3,4050.0,209.0,,-2086.0,-430.2,75.6,,-2401.2,1083.0,-3477.0,True,False,False,True,,False,True,True,,False,True,False
Iowa,3946,2725.0,4028.6,2850.1,20142.0,3876.7,,2801.0,3192.5,4586.9,,2739.1,5776.0,2146.2,-1221.0,82.6,-1095.9,16196.0,-69.3,,-1145.0,-753.5,640.9,,-1206.9,1830.0,-1799.8,True,True,False,True,,True,True,True,,True,False,False
Kansas,2872,1680.4,2223.5,1682.2,6332.0,2623.4,,1872.0,1987.1,2517.0,,1569.7,1836.0,1349.5,-1124.6,-581.5,-1122.8,3527.0,-181.6,,-933.0,-817.9,-288.0,,-1235.3,-969.0,-1455.5,True,True,False,True,,True,True,True,,False,True,False
Kentucky,2698,2162.1,2288.4,2169.0,3466.0,2700.9,,2257.0,2571.1,2831.3,,2349.6,2523.0,1819.7,-535.9,-409.6,-529.0,768.0,2.9,,-441.0,-126.9,133.3,,-348.4,-175.0,-878.3,True,True,False,True,,True,True,True,,True,True,False
Louisiana,7488,6900.3,6747.9,6800.3,7263.0,6907.8,,6555.0,7132.8,6536.1,,6973.8,6581.0,6322.5,-587.7,-740.1,-687.7,-225.0,-580.2,,-933.0,-355.2,-951.9,,-514.2,-907.0,-1165.5,False,False,True,True,,False,True,False,,True,False,False
Maine,358,191.3,1231.6,183.8,7664.0,196.3,,221.5,166.2,261.5,,158.0,353.0,162.9,-166.7,873.6,-174.2,7306.0,-161.7,,-136.5,-191.8,-96.5,,-200.0,-5.0,-195.1,False,False,False,True,,True,False,True,,False,True,False
Maryland,5967,4683.4,4809.2,4644.7,7568.0,4950.4,,4643.0,4767.3,4800.5,,4533.0,4856.0,4458.8,-1283.6,-1157.8,-1322.3,1601.0,-1016.6,,-1324.0,-1199.7,-1166.5,,-1434.0,-1111.0,-1508.2,True,False,False,True,,False,True,True,,False,True,False
Massachusetts,12502,11217.6,11136.4,11286.0,16745.0,12815.4,,11105.0,11887.0,11681.4,,10598.3,11934.0,10585.3,-1284.4,-1365.6,-1216.0,4243.0,313.4,,-1397.0,-615.0,-820.6,,-1903.7,-568.0,-1916.7,False,True,False,True,,False,True,True,,False,True,False
Michigan,13306,9877.9,11138.6,9919.2,31178.0,14084.7,,9788.0,11041.7,12778.1,,9246.1,12806.0,8320.8,-3428.1,-2167.4,-3386.8,17872.0,778.7,,-3518.0,-2264.3,-527.9,,-4059.9,-500.0,-4985.2,True,True,False,True,,False,True,True,,False,True,False
Minnesota,5436,4132.1,6192.0,4022.9,15737.0,5203.8,,4709.0,4646.0,5752.6,,3707.8,4619.0,3031.2,-1303.9,756.0,-1413.1,10301.0,-232.2,,-727.0,-790.0,316.6,,-1728.2,-817.0,-2404.8,True,False,False,True,,True,True,True,,False,True,False
Mississippi,4840,4189.4,4204.3,4224.7,3985.0,4069.5,,4006.0,4239.0,3979.2,,4312.7,4109.0,3844.3,-650.6,-635.7,-615.3,-855.0,-770.5,,-834.0,-601.0,-860.8,,-527.3,-731.0,-995.7,True,True,False,False,,False,True,False,,True,False,False
Missouri,5721,4162.9,4299.2,4163.2,11600.0,5933.3,,4720.0,5900.6,5937.9,,3557.5,4233.0,3517.0,-1567.1,-1430.8,-1566.8,5870.0,203.3,,-1010.0,170.6,207.9,,-2172.5,-1497.0,-2213.0,True,True,False,True,,True,True,True,,False,True,False
Montana,971,1084.6,889.6,1004.9,1031.0,1471.0,,1165.0,1532.5,1703.0,,711.0,985.0,634.5,113.6,-81.4,33.9,60.0,500.0,,194.0,561.5,732.0,,-260.0,14.0,-336.5,True,True,True,False,,False,False,False,,False,True,False
Nebraska,1669,1088.0,1319.0,1110.7,2739.0,1636.0,,1169.0,1428.3,1717.9,,819.2,1089.0,827.9,-581.0,-350.0,-558.3,1070.0,-33.0,,-500.0,-240.7,48.9,,-849.8,-580.0,-841.1,True,True,False,True,,True,True,True,,False,True,False
Nevada,3148,2401.0,3779.2,2434.0,2433.0,2380.7,,2178.0,2332.9,2201.9,,2446.8,2739.0,2068.2,-747.0,631.2,-714.0,-715.0,-767.3,,-970.0,-815.1,-946.1,,-701.2,-409.0,-1079.8,True,True,True,False,,False,False,False,,True,True,False
New Hampshire,769,536.1,556.1,543.1,705.0,665.4,,617.0,615.6,900.9,,516.6,611.0,510.6,-232.9,-212.9,-225.9,-64.0,-103.6,,-152.0,-153.4,131.9,,-252.4,-158.0,-258.4,True,True,True,True,,True,True,True,,False,True,False
New Jersey,19187,17018.3,16885.3,17357.3,19520.0,17700.0,,17236.0,17352.7,18170.2,,16878.3,17375.0,16599.4,-2168.7,-2301.7,-1829.7,333.0,-1487.0,,-1951.0,-1834.3,-1016.8,,-2308.7,-1812.0,-2587.6,False,True,True,True,,True,True,True,,False,True,False
New Mexico,2534,1840.9,2107.6,1792.3,1951.0,2059.1,,1692.0,2001.8,1847.7,,1589.6,1881.0,1267.1,-693.1,-426.4,-741.7,-583.0,-474.9,,-842.0,-532.2,-686.3,,-944.4,-653.0,-1266.9,True,False,True,True,,False,True,True,,False,True,False
New York,38273,35089.4,37406.0,35827.0,35952.0,36932.8,,34965.0,34515.4,35933.7,,33931.7,35904.0,33722.1,-3183.6,-867.0,-2446.0,-2321.0,-1340.2,,-3308.0,-3757.6,-2339.3,,-4341.3,-2369.0,-4550.9,True,True,True,True,,False,False,True,,False,True,False
North Carolina,6892,6367.0,7134.0,6420.1,6686.0,6704.4,,6194.0,6831.3,6397.2,,5992.0,6522.0,5343.4,-525.0,242.0,-471.9,-206.0,-187.6,,-698.0,-60.7,-494.8,,-900.0,-370.0,-1548.6,True,True,True,True,,False,True,True,,False,True,False
North Dakota,1317,1487.6,1859.5,1460.2,3753.0,1665.5,,1423.0,1533.8,1658.8,,958.4,1518.0,877.1,170.6,542.5,143.2,2436.0,348.5,,106.0,216.8,341.8,,-358.6,201.0,-439.9,False,True,False,False,,True,False,False,,False,False,False
Ohio,9017,7198.4,9878.2,7144.1,12119.0,7424.0,,7396.0,7437.6,7943.3,,7155.8,8429.0,6129.5,-1818.6,861.2,-1872.9,3102.0,-1593.0,,-1621.0,-1579.4,-1073.7,,-1861.2,-588.0,-2887.5,True,False,False,True,,True,True,True,,False,True,False
Oklahoma,2527,2168.7,2567.8,2164.6,2610.0,2236.8,,2437.0,2396.6,2232.2,,1957.7,1993.0,1701.9,-358.3,40.8,-362.4,83.0,-290.2,,-90.0,-130.4,-294.8,,-569.3,-534.0,-825.1,True,False,True,True,,True,True,True,,False,False,False
Oregon,1492,1036.4,1423.7,1048.8,1777.0,1169.2,,1038.0,1102.0,1278.0,,978.6,1353.0,843.7,-455.6,-68.3,-443.2,285.0,-322.8,,-454.0,-390.0,-214.0,,-513.4,-139.0,-648.3,True,True,True,True,,True,True,True,,False,True,False
Pennsylvania,16179,10592.1,11849.5,10616.2,14541.0,11875.6,,10626.0,11440.5,11723.1,,10282.2,11487.0,9657.9,-5586.9,-4329.5,-5562.8,-1638.0,-4303.4,,-5553.0,-4738.5,-4455.9,,-5896.8,-4692.0,-6521.1,True,True,True,True,,True,True,True,,False,True,False
Rhode Island,1777,1404.7,1401.9,1432.0,1933.0,1957.2,,1448.0,1627.2,1566.8,,1264.4,1392.0,1273.2,-372.3,-375.1,-345.0,156.0,180.2,,-329.0,-149.8,-210.2,,-512.6,-385.0,-503.8,False,True,True,True,,True,True,True,,False,False,False
South Carolina,5385,4821.7,4364.7,4655.6,6841.0,5455.9,,4893.0,4864.9,4955.8,,4521.8,5015.0,4535.0,-563.3,-1020.3,-729.4,1456.0,70.9,,-492.0,-520.1,-429.2,,-863.2,-370.0,-850.0,False,False,False,True,,True,True,True,,False,True,False
South Dakota,1501,1313.9,1728.2,1307.1,2136.0,1409.1,,1209.0,1399.7,1456.3,,974.8,946.0,721.6,-187.1,227.2,-193.9,635.0,-91.9,,-292.0,-101.3,-44.7,,-526.2,-555.0,-779.4,False,False,False,True,,False,True,True,,False,False,False
Tennessee,6970,5496.4,4922.1,5486.7,5150.0,6075.4,,5176.0,6438.1,5434.4,,5347.5,5218.0,4222.9,-1473.6,-2047.9,-1483.3,-1820.0,-894.6,,-1794.0,-531.9,-1535.6,,-1622.5,-1752.0,-2747.1,False,False,False,True,,False,True,False,,False,False,False
Texas,28442,24542.6,28250.8,24593.9,37703.0,25435.8,,24114.0,24807.5,26270.0,,23827.2,26747.0,21622.3,-3548.4,159.8,-3497.1,9612.0,-2655.2,,-3977.0,-3283.5,-1821.0,,-4263.8,-1344.0,-6468.7,True,True,False,True,,False,True,True,,False,True,False
Utah,1294,1012.6,1833.6,1089.9,1641.0,1512.8,,1160.0,1050.6,780.6,,1167.5,965.0,601.8,-281.4,539.6,-204.1,347.0,218.8,,-134.0,-243.4,-513.4,,-126.5,-329.0,-692.2,False,True,False,True,,True,True,False,,True,False,False
Vermont,139,66.9,357.2,69.0,59.0,58.9,,66.0,59.0,65.7,,60.5,62.0,59.7,-72.1,218.2,-70.0,-80.0,-80.1,,-73.0,-80.0,-73.3,,-78.5,-77.0,-79.3,False,True,False,False,,False,False,False,,False,False,False
Virginia,5117,4115.6,3834.9,4143.3,4998.0,4756.7,,4436.0,4287.6,4872.1,,3922.3,4300.0,4147.2,-1001.4,-1282.1,-973.7,-119.0,-360.3,,-681.0,-829.4,-244.9,,-1194.7,-817.0,-969.8,False,True,True,True,,True,True,True,,False,True,True
Washington,3461,3012.6,3649.7,3022.6,4095.0,3648.6,,3016.0,3127.7,3224.3,,3024.5,3571.0,2691.7,-465.4,171.7,-455.4,617.0,170.6,,-462.0,-350.3,-253.7,,-453.5,93.0,-786.3,True,True,False,True,,True,True,True,,True,True,False
West Virginia,1373,849.7,1239.4,854.9,2954.0,855.0,,990.0,923.7,1454.1,,773.4,824.0,604.2,-523.3,-133.6,-518.1,1581.0,-518.0,,-383.0,-449.3,81.1,,-599.6,-549.0,-768.8,True,True,False,True,,True,True,True,,False,False,False
Wisconsin,5256,4394.1,5055.3,4462.1,12028.0,5935.9,,4386.0,6122.8,6812.4,,3925.8,3877.0,2836.2,-603.9,57.3,-535.9,7030.0,937.9,,-612.0,1124.8,1814.4,,-1072.2,-1121.0,-2161.8,True,True,False,False,,False,False,False,,False,False,False
Wyoming,438,326.1,288.1,330.1,1166.0,497.8,,312.0,332.1,693.8,,186.1,310.0,149.8,-111.9,-149.9,-107.9,728.0,59.8,,-126.0,-105.9,255.8,,-251.9,-128.0,-288.2,False,True,False,True,,False,True,False,,False,False,False
US,350313,289345.4,322483.3,289233.9,402617.0,350599.4,307945.0,285322.0,307783.4,315191.2,322315.5,294649.8,308263.0,262527.4,-59858.6,-26720.7,-59970.1,53413.0,1395.4,-41259.0,-63882.0,-41420.6,-34012.8,-26888.5,-54554.2,-40941.0,-86676.6,True,False,True,True,True,False,True,True,True,True,True,False
