,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Maryland,5967,4648.0,4747.9,4444.0,23361.0,4548.7,-1319.0,-1219.1,-1523.0,17394.0,-1418.3,True,False,False,False
Massachusetts,12502,11332.7,12289.0,10984.0,,10773.5,-1169.3,-213.0,-1518.0,,-1728.5,True,False,,False
Michigan,13306,9266.7,12578.6,9561.0,,8418.6,-4039.3,-727.4,-3745.0,,-4887.4,True,True,,False
Minnesota,5436,3653.9,4541.7,3945.0,,3383.5,-1782.1,-894.3,-1491.0,,-2052.5,True,True,,False
Mississippi,4840,4171.7,4194.2,3971.0,,4131.2,-668.3,-645.8,-869.0,,-708.8,True,False,,False
Missouri,5717,4968.9,6016.4,4510.0,,4028.4,-748.1,299.4,-1207.0,,-1688.6,True,False,,False
Montana,971,1075.7,1247.1,1132.0,,876.4,104.7,276.1,161.0,,-94.6,False,False,,True
Nebraska,1669,1167.7,1420.9,1149.0,,920.6,-501.3,-248.1,-520.0,,-748.4,True,False,,False
Nevada,3148,2069.3,2363.5,2053.0,,2327.7,-1074.7,-780.5,-1091.0,,-816.3,True,False,,True
New Hampshire,769,571.6,721.0,620.0,,547.3,-197.4,-48.0,-149.0,,-221.7,True,True,,False
New Jersey,19187,16965.1,17405.2,16880.0,,16693.5,-2221.9,-1781.8,-2307.0,,-2493.5,True,False,,False
New Mexico,2534,1548.6,1941.3,1421.0,,1354.4,-985.4,-592.7,-1113.0,,-1179.6,True,False,,False
New York,38273,34535.9,35674.6,34378.0,,33816.7,-3520.1,-2381.4,-3678.0,,-4239.3,True,False,,False
North Carolina,6892,6384.7,6747.9,6224.0,,6095.0,-507.3,-144.1,-668.0,,-797.0,True,False,,False
North Dakota,1310,1195.3,1684.9,1234.0,,750.6,-114.7,374.9,-76.0,,-559.4,False,True,,False
Ohio,9017,6162.1,6868.5,7054.0,,5988.3,-2854.9,-2148.5,-1963.0,,-3028.7,True,True,,False
Oklahoma,2527,2195.3,2153.6,2239.0,,1952.4,-331.7,-373.4,-288.0,,-574.6,False,True,,False
Oregon,1492,1027.6,1054.6,944.0,,898.7,-464.4,-437.4,-548.0,,-593.3,True,False,,False
Pennsylvania,16179,10184.7,11897.4,10527.0,,9679.3,-5994.3,-4281.6,-5652.0,,-6499.7,True,True,,False
Rhode Island,1777,1413.6,2063.6,1428.0,,1289.8,-363.4,286.6,-349.0,,-487.2,True,True,,False
South Carolina,5385,5122.9,5248.2,5018.0,,4809.0,-262.1,-136.8,-367.0,,-576.0,True,False,,False
South Dakota,1501,986.1,1302.8,964.0,,600.4,-514.9,-198.2,-537.0,,-900.6,True,False,,False
Tennessee,6970,5319.3,6383.2,5049.0,,5727.4,-1650.7,-586.8,-1921.0,,-1242.6,True,False,,True
Texas,28338,23346.9,23932.4,23609.0,37695.0,22928.5,-4891.1,-4305.6,-4629.0,9457.0,-5309.5,True,True,False,False
Utah,1294,986.0,1393.0,1038.0,,945.5,-308.0,99.0,-256.0,,-348.5,True,True,,False
Vermont,139,58.0,59.8,59.0,,59.6,-81.0,-79.2,-80.0,,-79.4,True,True,,True
Virginia,5117,4328.1,4602.0,4653.0,,3928.9,-788.9,-515.0,-464.0,,-1188.1,True,True,,False
Washington,3461,2986.0,3208.7,2940.0,,3027.5,-488.0,-265.3,-534.0,,-446.5,True,False,,True
West Virginia,1373,770.0,709.1,765.0,,742.7,-603.0,-663.9,-608.0,,-630.3,False,False,,False
Wisconsin,5256,4429.6,4703.4,3944.0,,4077.0,-510.4,-236.6,-996.0,,-863.0,True,False,,False
Wyoming,438,255.3,305.2,258.0,,166.2,-182.7,-132.8,-180.0,,-271.8,True,True,,False
US,350186,282029.9,329602.0,280634.0,273537.0,278316.7,-67528.1,-19956.0,-68924.0,-76021.0,-71241.3,True,False,False,False
