,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Illinois,18217,18390.4,19140.3,18342.1,18532.9,18554.0,18516.0,18369.0,18800.0,18218.2,18432.0,18003.3,18236.0,19084.9,18221.7,18501.0,,19501.8,18538.0,18877.3,17597.0,18441.0,18161.1,18309.9,18206.0,18409.5,18488.0,18414.4,18893.2,18401.9,17941.0,,18516.5,18272.3,18323.0,17500.8,17990.0,18117.7,,18126.3,18411.5,18168.6,18160.0,18780.6,18490.0,18428.0,,16997.3,18019.4,173.4,923.3,125.1,315.9,337.0,299.0,152.0,583.0,1.2,215.0,-213.7,19.0,867.9,4.7,284.0,,1284.8,321.0,660.3,-620.0,224.0,-55.9,92.9,-11.0,192.5,271.0,197.4,676.2,184.9,-276.0,,299.5,55.3,106.0,-716.2,-227.0,-99.3,,-90.7,194.5,-48.4,-57.0,563.6,273.0,211.0,,-1219.7,-197.6,False,True,False,False,False,True,False,True,False,False,True,False,True,False,,False,False,False,False,False,True,True,True,False,False,False,False,False,False,,False,True,True,False,False,True,,True,False,True,True,False,False,False,,False,False
Indiana,8410,8516.4,8557.3,8517.9,8488.7,8554.0,8498.0,8469.0,8312.0,8407.5,8479.0,8121.2,8523.0,8540.5,8453.6,8368.9,,8639.0,8647.0,8632.0,8183.3,8531.0,8258.0,8484.0,8511.0,8554.0,8563.0,8402.2,8751.6,8427.6,8567.0,,8190.4,8355.3,8430.0,8595.7,8347.0,8446.9,,8365.9,8409.4,8435.6,8408.0,8602.5,8521.0,8680.0,8709.0,7364.1,8468.6,106.4,147.3,107.9,78.7,144.0,88.0,59.0,-98.0,-2.5,69.0,-288.8,113.0,130.5,43.6,-41.1,,229.0,237.0,222.0,-226.7,121.0,-152.0,74.0,101.0,144.0,153.0,-7.8,341.6,17.6,157.0,,-219.6,-54.7,20.0,185.7,-63.0,36.9,,-44.1,-0.6,25.6,-2.0,192.5,111.0,270.0,299.0,-1045.9,58.6,False,False,True,False,True,True,True,True,True,False,False,False,True,True,,False,False,False,False,False,False,True,True,False,False,True,False,True,False,,False,True,True,False,True,True,,True,True,True,True,False,False,False,False,False,True
Iowa,3946,4291.9,4074.3,4775.9,4129.4,4377.0,4179.9,4179.0,3961.0,4021.0,4176.0,3811.8,4014.0,4271.4,4097.6,4013.3,,3303.8,4433.0,3984.5,3615.8,4656.0,4114.3,4183.6,4199.5,4166.5,4168.0,4187.3,4312.9,4072.9,4528.0,,4808.6,4279.4,4053.0,2972.0,4088.0,4003.6,,4382.1,4207.4,4061.3,4026.0,4313.8,4015.0,4482.0,5138.5,3799.4,4407.7,345.9,128.3,829.9,183.4,431.0,233.9,233.0,15.0,75.0,230.0,-134.2,68.0,325.4,151.6,67.3,,-642.2,487.0,38.5,-330.2,710.0,168.3,237.6,253.5,220.5,222.0,241.3,366.9,126.9,582.0,,862.6,333.4,107.0,-974.0,142.0,57.6,,436.1,261.4,115.3,80.0,367.8,69.0,536.0,1192.5,-146.6,461.7,True,False,True,False,True,True,True,True,True,True,True,True,True,True,,False,False,True,True,False,True,True,True,True,True,True,False,True,False,,False,True,True,False,True,True,,False,True,True,True,False,True,False,False,True,False
Kansas,2872,2840.6,2820.9,2920.8,2872.8,2971.0,2879.0,2862.0,2977.0,2711.6,2884.0,2661.6,2811.0,2702.1,2801.3,2874.9,,3267.4,3040.0,2950.1,2725.1,2961.0,2723.0,2847.0,2768.0,2723.8,2915.0,2993.9,2982.8,2883.4,2845.0,,,2834.8,2832.0,2598.3,2641.0,2713.2,,2799.7,3033.2,2909.5,2818.0,2892.9,2883.0,2812.5,3058.3,2432.5,2849.5,-31.4,-51.1,48.8,0.8,99.0,7.0,-10.0,105.0,-160.4,12.0,-210.4,-61.0,-169.9,-70.7,2.9,,395.4,168.0,78.1,-146.9,89.0,-149.0,-25.0,-104.0,-148.2,43.0,121.9,110.8,11.4,-27.0,,,-37.2,-40.0,-273.7,-231.0,-158.8,,-72.3,161.2,37.5,-54.0,20.9,11.0,-59.5,186.3,-439.5,-22.5,False,False,True,False,True,True,False,False,True,False,False,False,False,True,,False,False,False,False,False,False,True,False,False,False,False,False,True,True,,,False,False,False,False,False,,False,False,False,False,True,True,False,False,False,True
Kentucky,2698,2749.9,2639.5,2705.3,2758.3,2724.0,2729.1,2729.0,2600.0,2858.6,2670.0,2595.7,2704.0,2769.3,2670.7,2728.2,,2705.0,2766.0,2752.1,2580.4,2876.0,3060.3,2727.7,2691.0,2775.7,2934.0,2702.5,2790.1,2795.9,2778.0,,,2708.5,2668.0,3157.8,2715.0,2777.5,,2780.1,2726.0,2873.6,2734.0,2702.3,2737.0,2796.5,2702.0,2516.6,2772.5,51.9,-58.5,7.3,60.3,26.0,31.1,31.0,-98.0,160.6,-28.0,-102.3,6.0,71.3,-27.3,30.2,,7.0,68.0,54.1,-117.6,178.0,362.3,29.7,-7.0,77.7,236.0,4.5,92.1,97.9,80.0,,,10.5,-30.0,459.8,17.0,79.5,,82.1,28.0,175.6,36.0,4.3,39.0,98.5,4.0,-181.4,74.5,False,True,False,True,True,True,False,False,True,False,True,False,True,True,,True,False,False,False,False,False,True,True,False,False,True,False,False,False,,,True,True,False,True,False,,False,True,False,True,True,True,False,True,False,False
Louisiana,7488,7458.0,7827.5,7562.2,7448.8,7465.0,7448.0,7459.0,7449.0,7463.3,7454.0,7332.3,7459.0,7541.0,7532.2,7539.2,,7527.8,7529.0,7502.9,7479.3,7557.0,7564.1,7438.8,7438.0,7475.2,7511.0,7367.5,7592.4,7441.4,7352.0,,7326.3,7437.0,7495.0,8412.1,7516.0,7439.2,,7413.0,7379.6,7475.6,7504.0,7397.2,7450.0,7481.5,7788.2,7195.2,7552.7,-30.0,339.5,74.2,-39.2,-23.0,-40.0,-29.0,-39.0,-24.7,-34.0,-155.7,-29.0,53.0,44.2,51.2,,39.8,41.0,14.9,-8.7,69.0,76.1,-49.2,-50.0,-12.8,23.0,-120.5,104.4,-46.6,-136.0,,-161.7,-51.0,7.0,924.1,28.0,-48.8,,-75.0,-108.4,-12.4,16.0,-90.8,-38.0,-6.5,300.2,-292.8,64.7,False,False,False,True,False,True,False,True,False,False,True,False,False,False,,False,False,True,True,False,False,False,False,True,True,False,False,False,False,,False,False,True,False,True,False,,False,False,True,True,False,False,True,False,False,False
Maine,358,357.0,338.9,343.8,363.7,364.0,362.0,372.0,403.0,369.2,409.0,374.8,370.0,369.0,357.8,380.2,,351.1,360.0,398.9,402.8,369.0,509.5,369.9,384.0,356.3,417.0,399.6,384.1,379.2,398.0,,,348.9,413.0,358.3,338.0,352.9,,357.5,424.2,376.9,365.0,343.6,394.0,360.5,350.6,304.8,369.5,-1.0,-19.1,-14.2,5.7,6.0,4.0,14.0,45.0,11.2,51.0,16.8,12.0,11.0,-0.2,22.2,,-6.9,2.0,40.9,44.8,11.0,151.5,11.9,26.0,-1.7,59.0,41.6,26.1,21.2,40.0,,,-9.1,55.0,0.3,-20.0,-5.1,,-0.5,66.2,18.9,7.0,-14.4,36.0,2.5,-7.4,-53.2,11.5,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,True,False,False,,True,False,False,False,False,False,False,False,False,False
Maryland,5967,6062.7,6055.0,6113.0,6031.9,6008.0,6036.0,6032.0,6034.0,5996.3,6091.0,5899.7,5926.0,6267.5,6030.9,6023.0,,6038.3,6004.0,6124.3,5929.4,6036.0,5992.8,6051.2,6029.0,6064.7,6111.0,5986.6,6174.7,6107.3,6171.0,,5862.4,6073.7,6044.0,5725.7,5914.0,5962.9,,5975.5,6006.5,5931.0,5999.0,6244.3,6099.0,6261.5,6067.0,5491.1,6079.7,95.7,88.0,146.0,64.9,41.0,69.0,65.0,67.0,29.3,124.0,-67.3,-41.0,300.5,63.9,56.0,,71.3,37.0,157.3,-37.6,69.0,25.8,84.2,62.0,97.7,144.0,19.6,207.7,140.3,204.0,,-104.6,106.7,77.0,-241.3,-53.0,-4.1,,8.5,39.5,-36.0,32.0,277.3,132.0,294.5,100.0,-475.9,112.7,True,False,True,True,True,True,True,True,False,True,True,False,True,True,,True,True,False,True,True,True,True,True,False,False,True,False,False,False,,False,False,True,False,True,True,,True,True,True,True,False,False,False,False,False,False
Massachusetts,12502,12400.4,12395.8,12513.1,12365.9,12400.0,12357.0,12528.0,12532.0,12472.5,12757.0,12320.4,12508.0,12668.4,12513.5,12763.2,,12897.8,12560.0,12616.1,13048.2,12422.0,12811.9,12729.2,12324.5,12505.9,12574.0,12548.6,12712.4,12417.8,12109.0,,12240.0,12484.0,12475.0,13430.5,12375.0,12255.1,,12456.2,12571.3,12354.1,12493.0,12354.4,12657.0,12636.5,12588.9,11841.5,12472.6,-101.6,-106.2,11.1,-136.1,-102.0,-145.0,26.0,30.0,-29.5,255.0,-181.6,6.0,166.4,11.5,261.2,,395.8,58.0,114.1,546.2,-80.0,309.9,227.2,-177.5,3.9,72.0,46.6,210.4,-84.2,-393.0,,-262.0,-18.0,-27.0,928.5,-127.0,-246.9,,-45.8,69.3,-147.9,-9.0,-147.6,155.0,134.5,86.9,-660.5,-29.4,False,True,False,False,False,True,True,True,False,False,True,False,True,False,,False,True,False,False,True,False,False,False,True,True,True,False,True,False,,False,True,True,False,False,False,,True,True,False,True,False,False,False,True,False,True
Michigan,13306,13706.4,13652.7,13696.4,13819.7,13791.0,13831.8,13616.0,13603.0,13543.1,13521.0,13217.7,13371.0,14055.6,13656.4,13449.0,,13967.4,13891.0,13926.7,12739.1,13883.0,13436.1,13532.2,13540.0,13513.5,13780.0,13806.6,13963.0,13535.3,13683.5,,13266.0,13628.7,13308.0,12501.1,12868.0,13491.3,,13426.0,13833.7,13469.2,13370.0,13947.3,13726.0,13494.5,14108.3,12314.0,13458.2,400.4,346.7,390.4,513.7,485.0,525.8,310.0,297.0,237.1,215.0,-88.3,65.0,749.6,350.4,143.0,,661.4,585.0,620.7,-566.9,577.0,130.1,226.2,234.0,207.5,474.0,500.6,657.0,229.3,377.5,,-40.0,322.7,2.0,-804.9,-438.0,185.3,,120.0,527.7,163.2,64.0,641.3,420.0,188.5,802.3,-992.0,152.2,True,True,False,False,False,True,True,True,True,True,True,False,True,True,,False,False,False,False,False,True,True,True,True,False,False,False,True,True,,True,True,True,False,False,True,,True,False,True,True,False,False,True,False,False,True
Minnesota,5436,5663.0,5868.0,5751.1,5694.3,5694.0,5681.0,5645.0,5784.0,5557.6,5464.0,5339.6,5673.0,5702.7,5472.5,5379.5,,5816.3,5851.0,5619.6,5061.5,5727.0,5645.4,5444.3,5512.0,5613.9,5753.0,5671.4,5839.2,5464.6,5819.0,,6308.1,5708.9,5385.0,4814.1,5485.0,5613.3,,5651.6,5676.8,5521.8,5484.0,5811.1,5569.0,5834.0,5878.8,5067.1,5682.8,227.0,432.0,315.1,258.3,258.0,245.0,209.0,348.0,121.6,28.0,-96.4,237.0,266.7,36.5,-56.5,,380.3,415.0,183.6,-374.5,291.0,209.4,8.3,76.0,177.9,317.0,235.4,403.2,28.6,383.0,,872.1,272.9,-51.0,-621.9,49.0,177.3,,215.6,240.8,85.8,48.0,375.1,133.0,398.0,442.8,-368.9,246.8,False,False,False,False,False,True,False,True,True,True,False,False,True,True,,False,False,True,False,False,True,True,True,True,False,False,False,True,False,,False,False,True,False,True,True,,True,False,True,True,False,True,False,False,False,False
Mississippi,4840,4799.0,4873.5,4966.2,4813.0,4855.0,4810.0,4883.0,4961.0,4897.7,5047.0,4730.2,4852.0,4909.6,4897.4,4922.6,,4981.3,4911.0,4941.0,5076.0,4876.0,4779.6,4867.8,5056.0,4850.5,4867.0,4851.1,4985.7,4872.7,4774.0,,4765.9,4849.9,4922.0,4716.6,4807.0,4769.4,,4837.1,4871.3,4805.3,4870.0,4766.3,4978.0,4896.5,5204.7,4553.8,4899.6,-41.0,33.5,126.2,-27.0,15.0,-30.0,43.0,121.0,57.7,207.0,-109.8,12.0,69.6,57.4,82.6,,141.3,71.0,101.0,236.0,36.0,-60.4,27.8,216.0,10.5,27.0,11.1,145.7,32.7,-66.0,,-74.1,9.9,82.0,-123.4,-33.0,-70.6,,-2.9,31.3,-34.7,30.0,-73.7,138.0,56.5,364.7,-286.2,59.6,True,False,True,True,True,False,False,False,False,False,True,False,False,False,,False,False,False,False,True,False,True,False,True,True,True,False,True,False,,False,True,False,False,True,False,,True,True,True,True,False,False,False,False,False,False
Missouri,5721,5943.3,5744.6,5892.7,5945.2,5916.0,5940.3,5787.0,6101.0,5708.6,5789.0,5475.5,5763.0,5699.2,5671.6,5794.5,,5802.3,5922.0,5843.7,5156.0,5890.0,5618.8,5755.1,5778.0,5837.8,5868.0,5845.0,5936.8,6035.4,6096.0,,5610.8,5672.7,5727.0,5783.3,5563.0,5345.9,,5564.4,5920.8,5840.6,5665.0,5856.9,5832.0,5993.0,,5054.7,4909.1,222.3,23.6,171.7,224.2,195.0,219.3,66.0,380.0,-12.4,68.0,-245.5,42.0,-21.8,-49.4,73.5,,81.3,201.0,122.7,-565.0,169.0,-102.2,34.1,57.0,116.8,147.0,124.0,215.8,314.4,375.0,,-110.2,-48.3,6.0,62.3,-158.0,-375.1,,-156.6,199.8,119.6,-56.0,135.9,111.0,272.0,,-666.3,-811.9,True,True,False,True,True,True,False,True,True,False,True,True,True,True,,True,True,True,False,True,True,True,True,True,True,True,True,False,False,,True,True,True,True,True,False,,True,True,True,True,True,True,False,,False,False
Montana,971,952.3,986.0,959.1,946.7,967.0,960.0,960.0,937.0,966.0,951.0,917.9,947.0,942.5,948.4,942.8,,981.8,1060.0,951.0,924.7,993.0,1073.4,961.4,953.0,962.2,1039.0,979.5,992.0,948.3,997.0,,,938.0,962.0,961.7,950.0,964.0,,980.6,1003.0,995.5,967.0,990.8,971.0,940.0,981.2,939.8,978.3,-18.7,15.0,-11.9,-24.3,-4.0,-11.0,-11.0,-34.0,-5.0,-20.0,-53.1,-24.0,-28.5,-22.6,-28.2,,10.8,89.0,-20.0,-46.3,22.0,102.4,-9.6,-18.0,-8.8,68.0,8.5,21.0,-22.7,26.0,,,-33.0,-9.0,-9.3,-21.0,-7.0,,9.6,32.0,24.5,-4.0,19.8,0.0,-31.0,10.2,-31.2,7.3,True,True,False,True,True,True,False,True,False,False,False,False,False,False,,True,False,False,False,False,False,True,True,True,False,True,False,False,False,,,False,True,True,False,True,,True,False,False,True,False,True,False,True,False,True
Nebraska,1669,1695.9,1722.8,1646.3,1687.7,1841.0,1695.0,1749.0,1780.0,1696.8,1685.0,1790.4,1725.0,1859.6,1697.2,1749.5,,1927.3,1771.5,1778.5,1647.5,1800.0,1818.0,1717.4,1673.0,1706.1,1851.0,1750.3,1793.2,1643.6,1826.0,,,1552.6,1695.0,1540.9,1646.0,1541.9,,1779.5,1764.3,1741.3,1665.0,1757.0,1674.0,1809.0,1943.9,1592.4,1736.8,26.9,53.8,-22.7,18.7,172.0,26.0,80.0,111.0,27.8,16.0,121.4,56.0,190.6,28.2,80.5,,258.3,102.5,109.5,-21.5,131.0,149.0,48.4,4.0,37.1,182.0,81.3,124.2,-25.4,157.0,,,-116.4,26.0,-128.1,-23.0,-127.1,,110.5,95.3,72.3,-4.0,88.0,5.0,140.0,274.9,-76.6,67.8,False,True,True,False,True,False,False,False,True,False,False,False,False,False,,False,False,False,True,False,False,False,True,False,False,False,False,True,False,,,False,True,False,True,False,,False,False,False,True,False,True,False,False,False,False
Nevada,3148,3224.7,3041.9,3307.7,3195.2,3206.0,3207.0,3234.0,3425.0,3217.4,3244.0,3133.8,3105.0,3311.2,3227.5,3257.6,,3264.3,3225.0,3368.3,3112.8,3367.0,3219.1,3273.7,3203.0,3248.1,3305.0,3212.6,3346.0,3210.1,3424.0,,3109.5,3269.9,3242.0,3345.3,3176.0,3169.2,,3258.1,3234.0,3202.4,3178.0,3265.2,3265.0,3390.0,,2881.9,3237.2,76.7,-106.1,159.7,47.2,58.0,59.0,86.0,277.0,69.4,96.0,-14.2,-43.0,163.2,79.5,109.6,,116.3,77.0,220.3,-35.2,219.0,71.1,125.7,55.0,100.1,157.0,64.6,198.0,62.1,276.0,,-38.5,121.9,94.0,197.3,28.0,21.2,,110.1,86.0,54.4,30.0,117.2,117.0,242.0,,-266.1,89.2,False,False,True,True,True,False,False,True,False,True,True,False,False,False,,False,False,False,True,False,True,False,True,False,False,True,False,True,False,,True,False,False,False,True,True,,False,False,True,True,False,False,False,,False,False
New Hampshire,769,754.4,832.9,775.2,750.9,756.0,750.0,777.0,722.0,762.1,801.0,738.3,730.0,773.8,783.4,792.9,,826.4,795.0,781.0,821.5,784.0,902.4,812.1,739.0,753.3,796.0,752.6,800.6,767.2,749.0,,,789.2,774.0,903.5,758.0,681.3,,761.9,777.2,775.8,770.0,746.0,794.0,820.5,785.7,664.5,771.9,-14.6,63.9,6.2,-18.1,-13.0,-19.0,8.0,-47.0,-6.9,32.0,-30.7,-39.0,4.8,14.4,23.9,,57.4,26.0,12.0,52.5,15.0,133.4,43.1,-30.0,-15.7,27.0,-16.4,31.6,-1.8,-20.0,,,20.2,5.0,134.5,-11.0,-87.7,,-7.1,8.2,6.8,1.0,-23.0,25.0,51.5,16.7,-104.5,2.9,False,True,False,True,False,True,False,True,False,False,False,True,True,False,,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,,False,True,False,True,False,,True,True,True,True,False,False,False,False,False,True
New Jersey,19187,19016.7,18781.8,19249.0,19043.5,19111.0,19055.0,19122.0,19266.0,19093.6,18922.0,18880.4,18661.0,19454.8,19266.2,19365.1,,19155.3,19169.0,19171.6,19001.3,19301.0,19465.3,19109.8,19182.0,19099.4,19309.0,19029.0,19282.5,19120.9,18927.0,,18766.3,19129.1,19206.0,18915.1,18935.0,18931.4,,19030.6,19057.1,19041.9,18857.0,18698.1,19123.0,19340.0,19375.4,18329.3,19242.8,-170.3,-405.2,62.0,-143.5,-76.0,-132.0,-65.0,79.0,-93.4,-265.0,-306.6,-526.0,267.8,79.2,178.1,,-31.7,-18.0,-15.4,-185.7,114.0,278.3,-77.2,-5.0,-87.6,122.0,-158.0,95.5,-66.1,-260.0,,-420.7,-57.9,19.0,-271.9,-252.0,-255.6,,-156.4,-129.9,-145.1,-330.0,-488.9,-64.0,153.0,188.4,-857.7,55.8,False,True,True,True,True,True,True,True,False,False,False,False,True,False,,True,True,True,False,True,False,True,True,True,True,True,True,True,False,,False,True,True,False,False,False,,True,True,True,False,False,True,True,False,False,True
New Mexico,2534,2568.4,2431.0,2635.2,2638.5,2669.0,2639.0,2580.0,2650.0,2555.0,2509.0,2398.5,2581.0,2596.0,2712.8,2579.3,,2540.4,2649.0,2589.9,2346.3,2616.0,2443.2,2533.9,2482.0,2539.6,2540.0,2558.8,2628.5,2624.0,2791.0,,,2584.3,2542.0,2545.5,2473.0,2605.8,,2352.8,2580.4,2533.4,2526.0,2549.1,2550.0,2574.0,2589.3,2298.8,2536.9,34.4,-103.0,101.2,104.5,135.0,105.0,46.0,116.0,21.0,-25.0,-135.5,47.0,62.0,178.8,45.3,,6.4,115.0,55.9,-187.7,82.0,-90.8,-0.1,-52.0,5.6,6.0,24.8,94.5,90.0,257.0,,,50.3,8.0,11.5,-61.0,71.8,,-181.2,46.4,-0.6,-8.0,15.1,16.0,40.0,55.3,-235.2,2.9,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,True,False,False,False,False,False,True,False,True,True,True,False,False,False,,,False,True,True,False,False,,False,False,True,True,True,True,False,False,False,True
New York,38273,37937.1,39242.3,38612.9,37926.3,37933.0,37946.3,38051.0,37956.0,38179.0,37815.0,37429.6,37623.0,38062.3,37902.3,38020.1,,37999.3,37831.0,38083.5,38044.1,38217.0,39038.1,38360.8,38556.5,38253.2,38262.0,38338.3,38304.0,38050.5,36509.0,,37141.8,37838.9,38530.0,38332.8,38078.0,38262.8,,37830.5,38390.7,38053.0,38014.0,39020.6,38198.0,38583.5,37936.2,36307.8,38103.5,-335.9,969.3,339.9,-346.7,-340.0,-326.7,-222.0,-317.0,-94.0,-458.0,-843.4,-650.0,-210.7,-370.7,-252.9,,-273.7,-442.0,-189.5,-228.9,-56.0,765.1,87.8,283.5,-19.8,-11.0,65.3,31.0,-222.5,-1764.0,,-1131.2,-434.1,257.0,59.8,-195.0,-10.2,,-442.5,117.7,-220.0,-259.0,747.6,-75.0,310.5,-336.8,-1965.2,-169.5,False,False,False,False,True,True,True,True,False,False,False,True,False,True,,True,False,True,True,True,False,True,True,True,True,True,True,True,False,,False,False,True,True,True,True,,False,True,True,True,False,True,True,False,False,True
North Carolina,6892,6968.7,6791.5,7034.9,6955.0,7016.0,6960.0,7042.0,6796.0,6983.9,7150.0,6591.8,7012.0,7064.9,6978.9,7117.0,,7007.2,6939.0,7097.2,7091.1,7084.0,7577.6,7047.2,7084.0,7099.8,7147.0,7085.5,7120.8,7077.9,6891.0,,6663.6,6860.1,7069.0,7324.4,7010.0,7011.4,,6930.0,7114.0,7080.0,7050.0,6942.7,7216.0,7093.5,6793.0,6493.8,7082.0,76.7,-100.5,142.9,63.0,124.0,68.0,150.0,-96.0,91.9,258.0,-300.2,120.0,172.9,86.9,225.0,,115.2,47.0,205.2,199.1,192.0,685.6,155.2,192.0,207.8,255.0,193.5,228.8,185.9,-1.0,,-228.4,-31.9,177.0,432.4,118.0,119.4,,38.0,222.0,188.0,158.0,50.7,324.0,201.5,-99.0,-398.2,190.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,,False,True,False,False,False,False,,True,False,False,False,True,False,False,False,False,False
North Dakota,1317,1377.7,1374.7,1436.3,1401.8,1494.0,1389.0,1361.0,1290.0,1346.2,1363.0,1294.3,1351.0,1348.9,1366.9,1353.5,,1465.1,1528.0,1360.9,1275.5,1447.0,1374.5,1351.4,1312.0,1346.9,1422.0,1393.4,1420.0,1320.1,1381.0,,,1373.0,1332.0,1186.2,1337.0,1294.1,,1382.3,1415.8,1330.9,1336.0,1425.0,1330.0,1353.0,1557.1,1346.9,1373.3,60.7,57.7,119.3,84.8,177.0,72.0,44.0,-27.0,29.2,46.0,-22.7,34.0,31.9,49.9,36.5,,148.1,211.0,43.9,-41.5,130.0,57.5,34.4,-5.0,29.9,105.0,76.4,103.0,3.1,64.0,,,56.0,15.0,-130.8,20.0,-22.9,,65.3,98.8,13.9,19.0,108.0,13.0,36.0,240.1,29.9,56.3,True,False,False,False,False,True,True,True,True,True,True,True,True,True,,False,False,True,True,False,True,True,True,True,False,False,False,True,False,,,True,True,False,True,True,,False,False,True,True,False,True,True,False,True,True
