,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Hawaii,289,297.4,285.4,222.0,291.3,281.0,,241.8,,231.0,243.9,369.1,266.0,,902.0,532.5,,263.1,265.4,255.8,8.4,-3.6,-67.0,2.3,-8.0,,-47.2,,-58.0,-45.1,80.1,-23.0,,613.0,243.5,,-25.9,-23.6,-33.2,True,False,True,True,,False,,False,False,False,False,,False,False,,False,False,False
Idaho,1448,1376.1,1375.0,1896.0,1586.5,1373.0,,1492.8,1429.0,1612.0,1273.3,1287.4,1277.0,,1188.4,1928.0,,1310.4,1309.8,1009.0,-71.9,-73.0,448.0,138.5,-75.0,,44.8,-19.0,164.0,-174.7,-160.6,-171.0,,-259.6,480.0,,-137.6,-138.2,-439.0,False,False,False,False,,True,True,False,False,False,False,,False,False,,False,False,False
Illinois,18217,17251.1,17130.4,20106.0,20794.8,19787.0,,18119.9,17130.0,21329.8,15427.3,16245.0,18810.5,15385.0,15565.0,14423.0,,18059.6,24835.6,13332.8,-964.9,-1085.6,1890.0,2578.8,1571.0,,-96.1,-1086.0,3113.8,-2788.7,-1971.0,594.5,-2831.0,-2651.0,-3793.0,,-156.4,6619.6,-4883.2,False,False,False,False,,True,False,False,False,False,True,False,False,False,,True,False,False
Indiana,9562,7618.6,7394.1,12951.0,10026.3,9404.0,,7900.5,7966.0,9838.3,9343.2,7656.1,7085.5,5893.0,9129.9,7004.0,,7913.3,12545.5,5582.4,-1474.4,-1698.9,3858.0,933.3,311.0,,-1192.5,-1127.0,745.3,250.2,-1436.9,-2007.5,-3200.0,36.9,-2089.0,,-1179.7,3452.5,-3510.6,False,False,True,True,,True,True,True,True,True,False,False,True,False,,True,False,False
Iowa,3946,3449.6,3427.2,4531.0,4824.9,3984.0,,3795.1,3514.0,4396.8,3022.0,3340.7,3086.0,,6144.8,4024.5,,3579.1,4044.1,2527.6,-496.4,-518.8,585.0,878.9,38.0,,-150.9,-432.0,450.8,-924.0,-605.3,-860.0,,2198.8,78.5,,-366.9,98.1,-1418.4,False,False,False,True,,True,True,True,False,False,False,,False,True,,True,True,False
Kansas,2872,2157.7,2170.5,3086.0,2488.6,3175.0,,2071.2,2334.0,2461.6,2949.6,2239.3,2197.0,,2676.7,1863.0,,2401.3,2106.2,1579.0,-630.3,-617.5,298.0,-299.4,387.0,,-716.8,-454.0,-326.4,161.6,-548.7,-591.0,,-111.3,-925.0,,-386.7,-681.8,-1209.0,True,True,True,True,,False,True,True,True,True,True,,True,False,,True,False,False
Kentucky,2698,2525.0,2532.9,2996.0,2786.4,2558.0,,3066.9,2633.5,2996.5,2895.1,3029.8,2579.0,2782.0,2090.0,2300.5,,2745.2,3766.7,2042.2,-173.0,-165.1,298.0,88.4,-140.0,,368.9,-64.5,298.5,197.1,331.8,-119.0,84.0,-608.0,-397.5,,47.2,1068.7,-655.8,True,False,True,True,,False,True,False,False,False,True,True,False,False,,True,False,False
Louisiana,7488,7074.1,6906.2,23981.0,7557.9,6793.0,,9482.1,7669.0,7491.7,20628.6,7178.8,7522.0,,6857.8,6520.5,,7045.7,9539.9,6738.6,-413.9,-581.8,16493.0,69.9,-695.0,,1994.1,181.0,3.7,13140.6,-309.2,34.0,,-630.2,-967.5,,-442.3,2051.9,-749.4,False,False,True,False,,False,True,True,False,True,True,,False,False,,False,False,False
Maine,358,240.4,240.0,484.0,423.8,391.0,,269.2,264.0,319.3,267.6,501.7,402.0,,184.8,230.0,,209.5,434.7,188.3,-117.6,-118.0,126.0,65.8,33.0,,-88.8,-94.0,-38.7,-90.4,143.7,44.0,,-173.2,-128.0,,-148.5,76.7,-169.7,False,False,True,True,,True,True,True,True,False,True,,False,False,,False,True,False
Maryland,5967,5207.1,5147.4,9159.0,5656.4,5220.0,,5802.2,5363.0,5596.0,5950.7,5560.4,5766.0,,5304.4,5236.0,,5051.5,7731.1,4631.2,-759.9,-819.6,3192.0,-310.6,-747.0,,-164.8,-604.0,-371.0,-16.3,-406.6,-201.0,,-662.6,-731.0,,-915.5,1764.1,-1335.8,False,False,True,True,,True,True,True,True,True,True,,True,True,,False,False,False
Massachusetts,12502,11583.9,11666.7,14872.0,12988.6,13012.0,,12307.2,11924.0,12705.0,13081.0,11978.8,11463.0,,11481.4,11238.0,,11657.0,17448.0,10950.8,-918.1,-835.3,2370.0,486.6,510.0,,-194.8,-578.0,203.0,579.0,-523.2,-1039.0,,-1020.6,-1264.0,,-845.0,4946.0,-1551.2,True,False,True,True,,True,True,True,True,True,False,,False,False,,True,False,False
Michigan,13306,11797.7,11869.1,18807.0,16353.7,16363.0,,13992.5,13036.0,14417.3,13258.0,12845.5,14761.0,10428.0,9981.2,11016.5,,11034.0,21065.5,9268.4,-1508.3,-1436.9,5501.0,3047.7,3057.0,,686.5,-270.0,1111.3,-48.0,-460.5,1455.0,-2878.0,-3324.8,-2289.5,,-2272.0,7759.5,-4037.6,True,False,False,False,,True,True,True,True,True,True,False,False,False,,False,False,False
Minnesota,5436,5265.0,5219.3,16635.0,8083.1,8288.0,,6036.6,6042.0,7265.5,7231.6,5122.7,5865.0,4379.0,4201.7,6637.5,,5374.0,8712.0,3634.9,-171.0,-216.7,11199.0,2647.1,2852.0,,600.6,606.0,1829.5,1795.6,-313.3,429.0,-1057.0,-1234.3,1201.5,,-62.0,3276.0,-1801.1,False,False,False,False,,False,False,False,False,False,False,False,False,False,,True,False,False
Mississippi,4840,4455.0,4358.5,5133.0,4426.0,4049.0,,4674.9,4460.0,4824.4,4771.8,4174.2,4671.0,,4235.0,4591.0,,4447.5,5078.6,4017.3,-385.0,-481.5,293.0,-414.0,-791.0,,-165.1,-380.0,-15.6,-68.2,-665.8,-169.0,,-605.0,-249.0,,-392.5,238.6,-822.7,False,True,False,False,,True,True,True,True,False,True,,False,True,,False,True,False
Missouri,5751,4696.7,4694.7,7629.0,6534.4,7557.0,,5697.1,5203.0,6010.8,5649.5,5194.7,4383.0,,6249.2,4635.5,,4477.2,6270.5,3829.5,-1031.3,-1033.3,1901.0,806.4,1829.0,,-30.9,-525.0,282.8,-78.5,-533.3,-1345.0,,521.2,-1092.5,,-1250.8,542.5,-1898.5,False,False,True,False,,True,True,True,True,True,False,,True,False,,False,True,False
Montana,971,1089.1,1115.9,1657.0,1361.5,1025.0,,755.9,1244.0,1593.1,1723.9,961.8,801.0,,700.2,964.0,,1067.2,1115.3,788.2,118.1,144.9,686.0,390.5,54.0,,-215.1,273.0,622.1,752.9,-9.2,-170.0,,-270.8,-7.0,,96.2,144.3,-182.8,False,False,False,True,,False,False,False,False,True,False,,False,True,,True,False,False
Nebraska,1669,1670.4,1660.6,2952.0,1981.1,1762.0,,1658.1,1635.0,2254.7,1601.8,1555.5,1501.0,,1349.7,2055.0,,1536.3,1626.4,1074.7,1.4,-8.4,1283.0,312.1,93.0,,-10.9,-34.0,585.7,-67.2,-113.5,-168.0,,-319.3,386.0,,-132.7,-42.6,-594.3,False,False,False,False,,False,False,False,False,False,False,,False,False,,False,False,False
Nevada,3148,2649.6,2628.9,3934.0,2780.5,2668.0,,2859.4,2371.0,2954.9,2861.6,2811.8,2917.0,,2422.5,2311.0,,2694.5,3321.4,2221.3,-498.4,-519.1,786.0,-367.5,-480.0,,-288.6,-777.0,-193.1,-286.4,-336.2,-231.0,,-725.5,-837.0,,-453.5,173.4,-926.7,False,False,True,True,,True,False,True,True,True,True,,False,False,,True,True,False
New Hampshire,769,588.1,563.0,1311.0,644.5,959.0,,568.0,655.0,635.7,1037.7,887.9,631.0,,661.9,607.0,,557.5,1522.9,530.3,-180.9,-206.0,542.0,-124.5,190.0,,-201.0,-114.0,-133.3,268.7,118.9,-138.0,,-107.1,-162.0,,-211.5,753.9,-238.7,False,False,True,False,,False,True,True,False,True,True,,True,True,,False,False,False
New Jersey,19187,17903.1,17992.7,23534.0,19134.5,18743.0,,18635.1,18124.0,18617.1,18960.9,18813.3,19221.5,,17765.4,17012.0,,18928.4,28295.5,16923.6,-1283.9,-1194.3,4347.0,-52.5,-444.0,,-551.9,-1063.0,-569.9,-226.1,-373.7,34.5,,-1421.6,-2175.0,,-258.6,9108.5,-2263.4,True,False,True,True,,True,True,True,True,True,True,,False,False,,True,False,False
New Mexico,2534,2367.0,2202.1,4363.0,3004.0,2534.0,,2241.5,2416.0,2914.4,2550.3,2194.2,3394.0,,1860.9,3913.0,,2026.4,3711.9,1563.6,-167.0,-331.9,1829.0,470.0,0.0,,-292.5,-118.0,380.4,16.3,-339.8,860.0,,-673.1,1379.0,,-507.6,1177.9,-970.4,False,False,False,True,,False,True,False,True,False,False,,False,False,,False,False,False
New York,38273,36000.0,36250.4,46616.0,36623.8,38412.0,,37816.1,36072.0,36272.2,38664.2,38044.8,35972.0,,35655.2,34492.5,,38951.2,50496.0,34524.5,-2273.0,-2022.6,8343.0,-1649.2,139.0,,-456.9,-2201.0,-2000.8,391.2,-228.2,-2301.0,,-2617.8,-3780.5,,678.2,12223.0,-3748.5,True,False,True,True,,True,True,True,True,True,False,,False,False,,True,False,False
North Carolina,6892,6369.4,6500.1,6542.0,6905.3,6710.0,,7972.7,6538.0,6837.2,6567.9,7038.0,6229.0,,5880.7,7596.0,,6658.6,7541.8,5665.8,-522.6,-391.9,-350.0,13.3,-182.0,,1080.7,-354.0,-54.8,-324.1,146.0,-663.0,,-1011.3,704.0,,-233.4,649.8,-1226.2,True,True,True,True,,False,True,True,True,True,False,,False,False,,True,False,False
North Dakota,1317,1490.3,1524.1,1477.0,1884.3,1286.0,,1350.5,1672.0,1919.2,1224.1,1102.0,1252.5,,2539.1,1513.0,,1146.8,1362.5,1081.7,173.3,207.1,160.0,567.3,-31.0,,33.5,355.0,602.2,-92.9,-215.0,-64.5,,1222.1,196.0,,-170.2,45.5,-235.3,False,True,False,True,,True,False,False,True,False,True,,False,False,,True,True,False
Ohio,13722,7600.9,7604.6,12594.0,9904.3,9001.0,,9224.4,8412.0,9156.5,9497.4,10342.2,7976.0,11501.0,11483.9,6752.0,,8512.5,15249.1,6554.5,-5191.1,-5187.4,-198.0,-2887.7,-3791.0,,-3567.6,-4380.0,-3635.5,-3294.6,-2449.8,-4816.0,-1291.0,-1308.1,-6040.0,,-4279.5,2457.1,-6237.5,True,True,True,True,,True,True,True,True,True,True,True,True,False,,True,True,False
Oklahoma,2527,2254.9,2271.8,6863.0,2780.8,2711.0,,2562.4,2500.0,2952.9,3128.8,2571.0,2043.0,,2038.9,2610.0,,2457.2,3197.5,1880.3,-272.1,-255.2,4336.0,253.8,184.0,,35.4,-27.0,425.9,601.8,44.0,-484.0,,-488.1,83.0,,-69.8,670.5,-646.7,True,False,True,True,,True,True,False,False,True,False,,False,True,,True,False,False
Oregon,1492,1165.6,1178.8,2425.0,1473.2,1604.0,,1107.0,1261.0,1429.0,1300.2,1806.0,1105.0,,861.4,1171.0,,1333.7,1867.6,927.6,-326.4,-313.2,933.0,-18.8,112.0,,-385.0,-231.0,-63.0,-191.8,314.0,-387.0,,-630.6,-321.0,,-158.3,375.6,-564.4,True,False,True,True,,False,True,True,True,True,False,,False,True,,True,False,False
Pennsylvania,16179,12896.9,12913.4,26852.0,13954.4,14420.0,,14290.3,14241.0,13601.1,17506.7,14271.0,18147.0,,14111.0,12636.5,,12877.3,23152.2,10438.7,-3282.1,-3265.6,10673.0,-2224.6,-1759.0,,-1888.7,-1938.0,-2577.9,1327.7,-1908.0,1968.0,,-2068.0,-3542.5,,-3301.7,6973.2,-5740.3,True,False,True,True,,True,True,True,True,True,True,,True,False,,False,False,False
Rhode Island,1957,1528.3,1537.4,1854.0,1722.5,1737.0,,1667.9,1526.0,1727.5,1811.6,1587.6,1647.0,,1847.4,1573.5,,1522.7,2206.1,1321.7,-379.7,-370.6,-54.0,-185.5,-171.0,,-240.1,-382.0,-180.5,-96.4,-320.4,-261.0,,-60.6,-334.5,,-385.3,298.1,-586.3,True,True,True,True,,True,False,True,True,True,True,,True,True,,False,True,False
South Carolina,5385,5284.6,5258.7,5641.0,5172.6,5350.0,,4711.0,4996.0,5120.4,5313.0,5016.8,5337.0,,4308.1,5687.0,,5341.9,5684.4,4699.8,-100.4,-126.3,256.0,-212.4,-35.0,,-674.0,-389.0,-264.6,-72.0,-368.2,-48.0,,-1076.9,302.0,,-43.1,299.4,-685.2,False,False,False,True,,False,False,False,True,False,True,,False,False,,True,False,False
South Dakota,1501,1844.0,1713.3,1509.0,1724.7,1549.0,,1203.0,1983.0,2176.2,1113.8,1012.4,1457.0,,1465.5,2303.0,,1238.1,1242.2,1091.4,343.0,212.3,8.0,223.7,48.0,,-298.0,482.0,675.2,-387.2,-488.6,-44.0,,-35.5,802.0,,-262.9,-258.8,-409.6,True,True,True,True,,True,False,False,False,False,True,,True,False,,True,True,False
Tennessee,6970,6450.7,6214.8,11398.0,6926.2,7224.0,,6826.1,6614.0,7357.6,7723.0,5904.0,6769.0,,4470.7,9149.0,,6445.9,5759.4,4902.7,-519.3,-755.2,4428.0,-43.8,254.0,,-143.9,-356.0,387.6,753.0,-1066.0,-201.0,,-2499.3,2179.0,,-524.1,-1210.6,-2067.3,False,False,True,True,,True,True,True,False,False,True,,False,False,,False,False,False
Texas,28442,26975.6,26859.9,35085.0,28514.0,24300.0,,28816.9,28716.0,29919.6,30572.6,25645.2,31376.5,,24052.5,30372.0,,26251.2,28652.3,23232.6,-1139.4,-1255.1,6970.0,399.0,-3815.0,,701.9,601.0,1804.6,2457.6,-2469.8,3261.5,,-4062.5,2257.0,,-1863.8,537.3,-4882.4,False,False,True,False,,True,True,False,False,False,False,,False,False,,False,True,False
Utah,1294,1232.3,1249.0,2548.0,1758.9,1261.0,,1380.4,1434.0,1559.0,1179.6,1582.3,1391.0,,960.0,1427.5,,1306.7,1485.0,695.8,-61.7,-45.0,1254.0,464.9,-33.0,,86.4,140.0,265.0,-114.4,288.3,97.0,,-334.0,133.5,,12.7,191.0,-598.2,True,False,False,True,,False,False,False,False,False,False,,False,False,,True,False,False
Vermont,139,86.4,87.0,716.0,57.9,185.0,,66.3,80.0,72.9,107.4,138.2,70.0,,69.6,63.0,,87.4,243.8,63.7,-52.6,-52.0,577.0,-81.1,46.0,,-72.7,-59.0,-66.1,-31.6,-0.8,-69.0,,-69.4,-76.0,,-51.6,104.8,-75.3,True,False,False,True,,False,False,False,True,True,False,,False,False,,True,False,False
Virginia,5117,4746.3,4773.8,4837.0,4659.5,4511.0,,4988.7,4891.0,4721.4,5072.9,5306.7,5172.0,,3941.9,4580.0,,4741.1,6039.2,4308.9,-370.7,-343.2,-280.0,-457.5,-606.0,,-128.3,-226.0,-395.6,-44.1,189.7,55.0,,-1175.1,-537.0,,-375.9,922.2,-808.1,True,True,False,False,,True,True,False,True,True,True,,False,False,,False,False,False
Washington,3461,3204.7,3218.0,8242.0,4644.3,4647.0,,3309.9,3381.0,3817.7,5165.9,4035.1,3152.0,,3004.2,3142.0,,3356.4,3941.4,2838.0,-263.3,-250.0,4774.0,1176.3,1179.0,,-158.1,-87.0,349.7,1697.9,567.1,-316.0,,-463.8,-326.0,,-111.6,473.4,-630.0,True,False,False,False,,True,True,False,False,False,False,,False,False,,True,False,False
West Virginia,1373,1130.6,1162.3,3704.0,1679.0,1344.0,,1262.0,1311.0,1552.1,1952.9,1292.7,1606.0,,974.8,2282.0,,1211.2,1427.0,802.0,-242.4,-210.7,2331.0,306.0,-29.0,,-111.0,-62.0,179.1,579.9,-80.3,233.0,,-398.2,909.0,,-161.8,54.0,-571.0,True,False,False,True,,True,True,True,False,True,True,,False,False,,True,True,False
Wisconsin,5256,5487.0,5566.1,4936.0,5168.2,4172.0,,5607.9,5273.0,6043.5,4902.5,5137.5,5059.0,4667.0,5841.2,4521.0,,6008.1,6212.5,3819.0,231.0,310.1,-320.0,-87.8,-1084.0,,351.9,17.0,787.5,-353.5,-118.5,-197.0,-589.0,585.2,-735.0,,752.1,956.5,-1437.0,False,False,True,False,,False,True,False,False,True,True,False,False,False,,False,False,False
Wyoming,438,363.4,368.0,1055.0,688.1,450.0,,369.3,532.0,506.7,521.5,376.7,339.0,,237.1,513.0,,320.6,392.1,239.2,-74.6,-70.0,617.0,250.1,12.0,,-68.7,94.0,68.7,83.5,-61.3,-99.0,,-200.9,75.0,,-117.4,-45.9,-198.8,True,False,False,True,,True,False,True,False,True,False,,False,False,,False,True,False
US,356522,318721.3,317511.8,375943.0,361890.8,345115.0,335520.0,341874.6,330265.0,355749.0,369773.3,334304.1,317658.5,,312006.3,345688.5,358243.9,324204.8,430987.8,279047.5,-35878.7,-37088.2,21343.0,7290.8,-9485.0,-19080.0,-12725.4,-24335.0,1149.0,15173.3,-20295.9,-36941.5,,-42593.7,-8911.5,3643.9,-30395.2,76387.8,-75552.5,False,True,True,True,True,True,True,True,True,True,False,,False,True,True,True,False,False
