,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IowaStateLW-STEM,JHUAPL-Bucky,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Georgia,10960,10427.7,9934.8,9336.7,9040.0,8679.6,,9689.2,-532.3,-1025.2,-1623.3,-1920.0,-2280.4,,-1270.8,False,False,False,False,,False
Hawaii,289,323.1,607.2,294.0,,316.9,,241.8,34.1,318.2,5.0,,27.9,,-47.2,False,True,,True,,False
Idaho,1448,803.4,1536.9,919.7,736.0,836.3,,767.9,-644.6,88.9,-528.3,-712.0,-611.7,,-680.1,True,True,False,True,,False
Illinois,18214,11482.9,12808.5,11515.0,10891.0,11618.3,,10721.2,-6731.1,-5405.5,-6699.0,-7323.0,-6595.7,,-7492.8,True,True,False,True,,False
Indiana,8410,5152.6,6108.6,5235.3,4650.0,5236.8,,4450.1,-3257.4,-2301.4,-3174.7,-3760.0,-3173.2,,-3959.9,True,True,False,True,,False
Iowa,3946,2351.3,3014.4,2344.0,2039.0,2122.6,,2123.0,-1594.7,-931.6,-1602.0,-1907.0,-1823.4,,-1823.0,True,False,False,False,,False
Kansas,2872,1770.0,4522.8,1367.8,1386.0,1521.9,,1171.9,-1102.0,1650.8,-1504.2,-1486.0,-1350.1,,-1700.1,False,False,False,False,,False
Kentucky,2698,1761.9,2136.1,2129.0,1892.0,2174.5,,2156.4,-936.1,-561.9,-569.0,-806.0,-523.5,,-541.6,True,True,True,True,,True
Louisiana,7488,6579.9,6273.9,6516.6,6461.0,6367.8,,7404.9,-908.1,-1214.1,-971.4,-1027.0,-1120.2,,-83.1,False,False,False,False,,True
Maine,358,154.9,231.1,162.2,185.0,169.4,,151.3,-203.1,-126.9,-195.8,-173.0,-188.6,,-206.7,True,True,True,True,,False
Maryland,5967,4485.1,4397.3,4407.6,4238.0,4456.4,14740.0,4231.7,-1481.9,-1569.7,-1559.4,-1729.0,-1510.6,8773.0,-1735.3,False,False,False,False,False,False
Massachusetts,12502,10718.6,10132.5,12323.1,10261.0,10872.0,,9955.1,-1783.4,-2369.5,-178.9,-2241.0,-1630.0,,-2546.9,False,True,False,True,,False
Michigan,13306,8345.4,9304.3,8383.8,7964.0,8989.0,,7681.6,-4960.6,-4001.7,-4922.2,-5342.0,-4317.0,,-5624.4,True,True,False,True,,False
Minnesota,5436,2917.3,3584.1,3290.4,3058.0,3147.4,,2989.9,-2518.7,-1851.9,-2145.6,-2378.0,-2288.6,,-2446.1,True,True,True,True,,True
Mississippi,4840,4144.4,3955.4,4021.7,4312.0,3990.7,,4026.7,-695.6,-884.6,-818.3,-528.0,-849.3,,-813.3,False,False,True,False,,False
Missouri,5717,5246.0,7879.3,4204.7,3523.0,3674.0,,2966.3,-471.0,2162.3,-1512.3,-2194.0,-2043.0,,-2750.7,False,False,False,False,,False
Montana,971,482.7,974.9,1156.1,453.0,921.4,,394.9,-488.3,3.9,185.1,-518.0,-49.6,,-576.1,True,True,False,True,,False
Nebraska,1669,732.4,760.8,938.5,822.0,841.3,,633.2,-936.6,-908.2,-730.5,-847.0,-827.7,,-1035.8,True,True,True,True,,False
Nevada,3148,2111.6,2377.7,2592.9,1907.0,2102.1,,2458.1,-1036.4,-770.3,-555.1,-1241.0,-1045.9,,-689.9,True,True,False,False,,True
New Hampshire,769,610.1,798.2,503.5,504.0,581.4,,522.1,-158.9,29.2,-265.5,-265.0,-187.6,,-246.9,True,False,False,False,,False
New Jersey,19187,16624.6,16545.4,17444.5,16482.5,17197.0,,16461.8,-2562.4,-2641.6,-1742.5,-2704.5,-1990.0,,-2725.2,False,True,False,True,,False
New Mexico,2534,1136.3,1103.0,1841.6,1115.0,1444.9,,1025.6,-1397.7,-1431.0,-692.4,-1419.0,-1089.1,,-1508.4,False,True,False,True,,False
New York,38273,34349.3,35009.4,35111.5,33831.0,35321.8,,33684.6,-3748.7,-3088.6,-2986.5,-4267.0,-2776.2,,-4413.4,True,True,False,True,,False
North Carolina,6892,5382.6,5112.5,6102.9,5745.0,6001.0,,5193.2,-1509.4,-1779.5,-789.1,-1147.0,-891.0,,-1698.8,False,True,True,True,,False
North Dakota,1310,1084.0,1203.5,1062.7,794.0,752.1,,520.4,-226.0,-106.5,-247.3,-516.0,-557.9,,-789.6,True,False,False,False,,False
Ohio,9017,5876.4,5955.7,7033.3,6479.0,7091.7,,6094.4,-3140.6,-3061.3,-1983.7,-2538.0,-1925.3,,-2922.6,True,True,True,True,,True
Oklahoma,2527,1655.3,1796.1,1887.7,1872.0,1587.0,,1711.6,-871.7,-730.9,-639.3,-655.0,-940.0,,-815.4,True,True,True,False,,True
Oregon,1492,919.1,1677.2,962.5,800.0,999.7,,897.4,-572.9,185.2,-529.5,-692.0,-492.3,,-594.6,True,True,False,True,,False
Pennsylvania,16179,9930.7,11331.5,10237.3,9477.0,10322.3,,9089.7,-6248.3,-4847.5,-5941.7,-6702.0,-5856.7,,-7089.3,True,True,False,True,,False
Rhode Island,1777,1272.3,1191.1,1349.7,1236.0,1359.5,,1174.6,-504.7,-585.9,-427.3,-541.0,-417.5,,-602.4,False,True,False,True,,False
South Carolina,5385,4725.9,5197.2,4534.1,4662.0,4346.0,,4703.7,-659.1,-187.8,-850.9,-723.0,-1039.0,,-681.3,True,False,False,False,,False
South Dakota,1501,736.6,1159.9,822.8,580.0,798.6,,298.6,-764.4,-341.1,-678.2,-921.0,-702.4,,-1202.4,True,True,False,True,,False
Tennessee,6970,5019.9,6901.4,4891.9,4774.0,4653.3,,4758.2,-1950.1,-68.6,-2078.1,-2196.0,-2316.7,,-2211.8,True,False,False,False,,False
Texas,28338,24690.0,28149.4,25290.3,22782.0,20949.7,18956.0,22082.6,-3586.0,-126.6,-2985.7,-5494.0,-7326.3,-9320.0,-6193.4,True,True,False,False,False,False
Utah,1294,979.4,1221.1,1193.7,846.0,713.4,,794.0,-314.6,-72.9,-100.3,-448.0,-580.6,,-500.0,True,True,False,False,,False
Vermont,139,58.0,61.2,68.4,59.0,60.4,,59.6,-81.0,-77.8,-70.6,-80.0,-78.6,,-79.4,True,True,True,True,,True
Virginia,5117,4362.9,3929.8,4680.2,4057.0,4519.0,,3824.6,-751.1,-1184.2,-433.8,-1057.0,-595.0,,-1289.4,False,True,False,True,,False
Washington,3461,2759.1,2901.9,2876.9,2583.0,2841.7,,2806.2,-720.9,-578.1,-603.1,-897.0,-638.3,,-673.8,True,True,False,True,,True
West Virginia,1373,634.0,721.3,662.0,673.0,771.5,,601.5,-739.0,-651.7,-711.0,-700.0,-601.5,,-771.5,True,True,True,True,,False
Wisconsin,5256,2508.4,3286.8,3059.4,2397.0,2560.8,,2175.4,-2616.6,-1838.2,-2065.6,-2728.0,-2564.2,,-2949.6,True,True,False,True,,False
Wyoming,438,65.9,93.6,174.6,91.0,123.3,,71.5,-372.1,-344.4,-263.4,-347.0,-314.7,,-366.5,True,True,True,True,,True
US,350186,274611.0,286439.0,289895.4,264838.0,264752.2,267804.0,261392.6,-75221.0,-63393.0,-59936.6,-84994.0,-85079.8,-82028.0,-88439.4,True,True,False,False,False,False
