,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-epiforecasts-ensemble1
Georgia,10960,10951.3,10995.8,11061.7,10997.1,10981.0,10989.0,11034.0,11002.0,11076.4,11200.0,10699.3,11038.0,11008.3,11039.5,10991.6,11111.3,,11727.2,11223.0,11068.7,11448.1,11061.0,10789.1,11088.9,10939.0,10986.1,11042.0,11108.0,11029.2,11029.5,10628.0,,10934.8,10902.9,11088.0,12144.9,10893.0,10989.6,,11076.5,11059.9,11059.0,10987.2,11030.0,10559.8,-8.7,35.8,101.7,37.1,21.0,29.0,74.0,42.0,116.4,240.0,-260.7,78.0,48.3,79.5,31.6,151.3,,767.2,263.0,108.7,488.1,101.0,-170.9,128.9,-21.0,26.1,82.0,148.0,69.2,69.5,-332.0,,-25.2,-57.1,128.0,1184.9,-67.0,29.6,,116.5,99.9,99.0,27.2,70.0,-400.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False
Hawaii,289,287.6,296.5,290.0,288.2,291.0,289.0,294.0,302.0,295.0,299.0,302.6,292.0,289.4,,285.4,297.5,,309.5,,298.6,299.5,296.0,320.0,295.2,296.0,286.4,294.0,297.6,292.5,288.2,293.0,,,294.3,294.0,305.6,296.0,292.3,,294.2,285.0,292.0,288.3,290.0,298.0,-1.4,7.5,1.0,-0.8,2.0,0.0,5.0,13.0,6.0,10.0,13.6,3.0,0.4,,-3.6,8.5,,20.5,,9.6,10.5,7.0,31.0,6.2,7.0,-2.6,5.0,8.6,3.5,-0.8,4.0,,,5.3,5.0,16.6,7.0,3.3,,5.2,-4.0,3.0,-0.7,1.0,9.0,False,True,True,False,True,False,False,False,False,False,False,True,,False,False,,False,,False,False,False,False,False,False,False,False,False,False,True,False,,,False,False,False,False,False,,False,False,False,True,True,False
Idaho,1448,1417.4,1427.4,1416.6,1434.6,1441.0,1433.0,1440.0,1488.0,1438.3,1443.0,1449.6,1429.0,1410.8,1426.1,1414.9,1462.7,,1559.1,1478.0,1465.7,1408.0,1472.0,1459.5,1458.5,1440.0,1409.0,1455.0,1454.2,1447.0,1407.9,1498.0,,,1403.0,1467.0,1398.4,1401.0,1422.9,,1439.3,1412.3,1413.0,1445.3,1428.0,1434.5,-30.6,-20.6,-31.4,-13.4,-7.0,-15.0,-8.0,40.0,-9.7,-5.0,1.6,-19.0,-37.2,-21.9,-33.1,14.7,,111.1,30.0,17.7,-40.0,24.0,11.5,10.5,-8.0,-39.0,7.0,6.2,-1.0,-40.1,50.0,,,-45.0,19.0,-49.6,-47.0,-25.1,,-8.7,-35.7,-35.0,-2.7,-20.0,-13.5,True,False,True,True,True,True,False,True,True,True,True,False,True,False,True,,False,True,True,False,True,True,True,True,False,True,True,True,False,False,,,False,True,False,False,True,,True,False,False,True,True,True
Illinois,18217,18132.3,18216.7,18089.8,18107.5,18160.0,18122.0,18122.0,18281.0,18036.7,18209.0,18006.1,17947.0,18467.8,18076.4,17930.3,18102.8,,18916.7,18304.0,18345.3,17309.6,18188.0,18019.7,18170.0,18166.0,18053.7,18075.0,18240.6,18122.6,18025.4,18256.5,,18057.0,17925.8,17941.0,17500.8,17942.0,18019.1,,17804.9,18235.6,18041.0,18227.3,18122.0,17942.9,-84.7,-0.3,-127.2,-109.5,-57.0,-95.0,-95.0,64.0,-180.3,-8.0,-210.9,-270.0,250.8,-140.6,-286.7,-114.2,,699.7,87.0,128.3,-907.4,-29.0,-197.3,-47.0,-51.0,-163.3,-142.0,23.6,-94.4,-191.6,39.5,,-160.0,-291.2,-276.0,-716.2,-275.0,-197.9,,-412.1,18.6,-176.0,10.3,-95.0,-274.1,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,,False,False,False,False,True,False,True,True,False,False,True,False,False,True,,False,False,False,False,False,False,,False,True,False,True,False,False
Indiana,9562,8219.3,8266.6,8310.6,8275.1,8298.0,8264.0,8270.0,8217.0,8258.2,8355.0,8196.9,8187.0,8278.2,8273.9,8237.1,8337.2,,8500.3,8477.0,8330.7,7980.8,8337.0,7971.1,8336.6,8301.0,8229.9,8286.0,8354.9,8266.9,8201.6,8505.5,,8209.2,8032.7,8264.0,8595.7,8127.0,8219.5,,8201.8,8328.9,8226.0,8375.0,8340.0,8226.7,-189.7,-142.4,-98.4,-133.9,-111.0,-145.0,-139.0,-192.0,-150.8,-54.0,-212.1,-222.0,-130.8,-135.1,-171.9,-71.8,,91.3,68.0,-78.3,-428.2,-72.0,-437.9,-72.4,-108.0,-179.1,-123.0,-54.1,-142.1,-207.4,96.5,,-199.8,-376.3,-145.0,186.7,-282.0,-189.5,,-207.2,-80.1,-183.0,-34.0,-69.0,-182.3,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,,True,True,True,False,True,False,True,True,True,True,True,True,False,True,,False,False,True,True,False,True,,False,True,True,True,True,True
Iowa,3946,3877.7,4011.4,3964.7,3958.1,3990.0,3954.0,3954.0,3918.0,3942.0,4096.0,4138.8,3967.0,3945.1,3910.9,4245.5,3941.0,,3303.8,4110.0,3950.2,3870.6,4004.0,3952.1,4020.7,4240.0,3845.6,3971.0,3985.3,3954.2,3948.0,4121.5,,4278.5,3893.2,3936.0,2972.0,3867.0,3908.9,,3906.1,3946.4,3878.0,3973.4,3971.0,4040.5,-68.3,65.4,18.7,12.1,44.0,8.0,8.0,-28.0,-4.0,150.0,192.8,21.0,-0.9,-35.1,299.5,-5.0,,-642.2,164.0,4.2,-75.4,58.0,6.1,74.7,294.0,-100.4,25.0,39.3,8.2,2.0,175.5,,332.5,-52.8,-10.0,-974.0,-79.0,-37.1,,-39.9,0.4,-68.0,27.4,25.0,94.5,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,,False,False,True,False,True,True,False,False,False,True,True,True,True,False,,False,True,True,False,False,True,,True,True,True,True,True,False
Kansas,2872,2641.9,2739.0,2678.5,2660.5,2691.0,2665.0,2717.0,2760.0,2632.1,2783.0,2791.8,2757.0,2702.8,2685.1,2802.2,2778.3,,2994.0,2914.0,2781.4,2759.3,2763.0,2646.9,2720.9,2839.0,2607.9,2793.0,2738.4,2680.7,2738.0,2761.0,,,2611.9,2713.0,2598.1,2564.0,2685.5,,2691.8,2705.7,2650.0,2718.2,2699.0,2708.2,-230.1,-133.0,-193.5,-211.5,-181.0,-207.0,-155.0,-112.0,-239.9,-89.0,-80.2,-115.0,-169.2,-186.9,-69.8,-93.7,,122.0,42.0,-90.6,-112.7,-109.0,-225.1,-151.1,-33.0,-264.1,-79.0,-133.6,-191.3,-134.0,-111.0,,,-260.1,-159.0,-273.9,-308.0,-186.5,,-180.2,-166.3,-222.0,-153.8,-173.0,-163.8,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,True,True,True,,,False,True,False,False,True,,True,True,True,True,True,True
Kentucky,2698,2690.4,2677.7,2726.9,2685.6,2696.0,2697.0,2691.0,2673.0,2744.1,2681.0,2600.9,2658.0,2660.7,2683.1,2695.1,2718.3,,2607.3,2739.0,2691.3,2701.8,2757.0,2815.2,2690.7,2691.0,2678.6,2749.0,2696.8,2715.7,2714.0,2690.0,,,2652.6,2639.0,2942.9,2675.0,2691.9,,2703.5,2661.1,2697.0,2703.2,2674.0,2707.0,-7.6,-20.3,28.9,-12.4,-2.0,-1.0,-7.0,-25.0,46.1,-17.0,-97.1,-40.0,-37.3,-14.9,-2.9,20.3,,-90.7,41.0,-6.7,3.8,59.0,117.2,-7.3,-7.0,-19.4,51.0,-1.2,17.7,16.0,-8.0,,,-45.4,-59.0,244.9,-23.0,-6.1,,5.5,-36.9,-1.0,5.2,-24.0,9.0,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,,False,False,True,True,False,False,True,True,False,False,True,False,False,False,,,False,False,False,False,True,,True,False,True,True,False,False
Louisiana,7488,7504.4,7471.2,7598.1,7549.7,7583.0,7550.0,7524.0,7449.0,7512.4,7519.0,7406.0,7543.0,7564.4,7575.4,7650.1,7566.0,,7564.7,7717.0,7516.8,7357.4,7550.0,7499.3,7538.2,7689.0,7453.1,7485.0,7559.5,7524.5,7522.0,7441.5,,7462.8,7445.1,7538.0,8412.1,7458.0,7555.5,,7450.3,7515.8,7482.0,7504.9,7545.0,7485.1,16.4,-16.8,110.1,61.7,95.0,62.0,36.0,-39.0,24.4,31.0,-82.0,55.0,76.4,87.4,162.1,78.0,,76.7,229.0,28.8,-130.6,62.0,11.3,50.2,201.0,-34.9,-3.0,71.5,36.5,34.0,-46.5,,-25.2,-42.9,50.0,924.1,-30.0,67.5,,-37.7,27.8,-6.0,16.9,57.0,-2.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,False,False,False,True,False,False,False,False,,False,False,False,False,False,False,,False,False,True,False,False,True
Maine,358,349.6,345.0,361.9,347.0,356.0,346.0,356.0,374.0,359.8,379.0,360.8,360.0,352.1,346.2,346.7,360.4,,343.6,382.0,368.4,364.0,370.0,422.8,359.4,367.0,347.2,371.0,349.0,356.7,353.0,355.0,,,343.9,382.0,358.3,345.0,328.0,,350.7,319.0,354.0,350.0,363.0,366.1,-8.4,-13.0,3.9,-11.0,-2.0,-12.0,-2.0,16.0,1.8,21.0,2.8,2.0,-5.9,-11.8,-11.3,2.4,,-14.4,24.0,10.4,6.0,12.0,64.8,1.4,9.0,-10.8,13.0,-9.0,-1.3,-5.0,-3.0,,,-14.1,24.0,0.3,-13.0,-30.0,,-7.3,-39.0,-4.0,-8.0,5.0,8.1,False,True,False,True,False,True,False,True,False,True,True,True,False,False,True,,False,False,False,True,False,False,True,False,False,False,False,True,True,True,,,False,False,True,False,False,,True,False,True,True,True,True
