,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Iowa,3946,2292.0,2377.7,2450.7,3214.7,2181.0,,2109.5,-1654.0,-1568.3,-1495.3,-731.3,-1765.0,,-1836.5,True,True,True,False,,False
Kansas,2872,1781.9,2531.1,1508.8,2637.9,1337.0,,1351.3,-1090.1,-340.9,-1363.2,-234.1,-1535.0,,-1520.7,True,False,True,False,,False
Kentucky,2698,2034.6,3176.9,2030.9,3088.0,1832.0,,2023.5,-663.4,478.9,-667.1,390.0,-866.0,,-674.5,True,False,True,False,,False
Louisiana,7488,6781.4,6348.6,6384.8,7527.4,6413.0,,7058.0,-706.6,-1139.4,-1103.2,39.4,-1075.0,,-430.0,False,False,True,False,,True
Maine,358,178.6,467.2,159.6,163.6,183.0,,152.6,-179.4,109.2,-198.4,-194.4,-175.0,,-205.4,True,False,False,True,,False
Maryland,5967,4449.6,4975.2,4353.8,4588.9,4252.0,15095.0,4257.5,-1517.4,-991.8,-1613.2,-1378.1,-1715.0,9128.0,-1709.5,True,False,True,False,False,False
Massachusetts,12502,11181.0,11722.2,11174.4,12131.9,10575.0,,10227.1,-1321.0,-779.8,-1327.6,-370.1,-1927.0,,-2274.9,True,False,True,False,,False
Michigan,13306,8653.7,11491.7,8763.8,10431.8,8134.0,,7856.6,-4652.3,-1814.3,-4542.2,-2874.2,-5172.0,,-5449.4,True,True,True,False,,False
Minnesota,5436,3296.7,4849.2,3354.3,4447.7,3286.0,,3048.0,-2139.3,-586.8,-2081.7,-988.3,-2150.0,,-2388.0,True,True,True,False,,False
Mississippi,4840,3931.0,4274.2,3999.9,4155.8,3962.0,,3935.1,-909.0,-565.8,-840.1,-684.2,-878.0,,-904.9,True,True,True,True,,True
Missouri,5721,4416.0,5525.7,4693.6,4317.6,4273.0,,3053.9,-1317.0,-207.3,-1039.4,-1415.4,-1460.0,,-2679.1,True,True,False,False,,False
Montana,971,577.6,1019.3,799.8,614.3,576.0,,439.8,-393.4,48.3,-171.2,-356.7,-395.0,,-531.2,True,True,True,False,,False
Nebraska,1669,862.9,1716.2,1002.0,1540.0,784.0,,619.7,-806.1,47.2,-667.0,-129.0,-885.0,,-1049.3,True,True,True,False,,False
Nevada,3148,2242.0,2690.7,2341.3,2278.9,2020.0,,2432.7,-906.0,-457.3,-806.7,-869.1,-1128.0,,-715.3,True,True,True,False,,True
New Hampshire,769,574.6,553.8,617.9,1236.7,552.0,,509.5,-194.4,-215.2,-151.1,467.7,-217.0,,-259.5,False,True,False,False,,False
New Jersey,19187,16612.7,16534.4,16831.9,16418.1,16436.0,,16436.0,-2574.3,-2652.6,-2355.1,-2768.9,-2751.0,,-2751.0,False,True,False,False,,False
New Mexico,2534,1183.7,1492.2,1681.6,1420.2,1092.0,,1047.5,-1350.3,-1041.8,-852.4,-1113.8,-1442.0,,-1486.5,True,True,True,False,,False
New York,38273,34041.0,33566.0,34030.0,36754.4,33750.0,,33726.4,-4030.0,-4505.0,-4041.0,-1316.6,-4321.0,,-4344.6,False,False,True,False,,False
North Carolina,6892,5714.6,9808.4,5829.3,6792.1,5254.0,,5129.2,-1177.4,2916.4,-1062.7,-99.9,-1638.0,,-1762.8,False,True,True,False,,False
North Dakota,1317,1131.4,1187.6,1203.8,1003.3,979.0,,636.0,-185.6,-129.4,-113.2,-313.7,-338.0,,-681.0,True,True,False,False,,False
Ohio,9017,5805.3,5713.2,7077.7,7920.1,6538.0,,6043.8,-3211.7,-3303.8,-1939.3,-1096.9,-2479.0,,-2973.2,False,True,True,True,,True
Oklahoma,2527,1963.6,3501.1,1719.2,2002.7,1865.0,,1767.6,-563.4,974.1,-807.8,-524.3,-662.0,,-759.4,False,False,True,False,,False
Oregon,1492,848.0,853.0,1012.1,1236.7,760.0,,865.2,-644.0,-639.0,-479.9,-255.3,-732.0,,-626.8,True,True,True,False,,True
Pennsylvania,16179,9930.7,10199.5,10351.2,12863.0,9579.0,,8967.8,-6248.3,-5979.5,-5827.8,-3316.0,-6600.0,,-7211.2,True,True,True,False,,False
Rhode Island,1777,1390.9,1973.8,1302.2,1268.9,1244.0,,1187.0,-386.1,196.8,-474.8,-508.1,-533.0,,-590.0,True,False,False,False,,False
South Carolina,5385,4714.0,4738.0,4400.0,5443.5,4174.0,,4589.5,-671.0,-647.0,-985.0,58.5,-1211.0,,-795.5,True,False,True,False,,False
South Dakota,1501,724.7,695.3,1031.0,831.6,564.0,,379.8,-776.3,-805.7,-470.0,-669.4,-937.0,,-1121.2,False,True,True,False,,False
Tennessee,6970,4450.7,4678.3,5321.1,6685.5,4496.0,,4588.4,-2519.3,-2291.7,-1648.9,-284.5,-2474.0,,-2381.6,True,True,True,True,,True
Texas,28442,22828.4,23637.7,21514.4,25286.6,22902.0,39160.0,21577.4,-5325.6,-4516.3,-6639.6,-2867.4,-5252.0,11006.0,-6576.6,True,False,True,True,False,False
Utah,1294,825.3,737.8,1191.8,2559.7,849.0,,808.6,-468.7,-556.2,-102.2,1265.7,-445.0,,-485.4,False,True,False,True,,False
Vermont,139,58.0,59.1,64.5,61.7,58.0,,59.7,-81.0,-79.9,-74.5,-77.3,-81.0,,-79.3,True,True,True,False,,True
Virginia,5117,4244.3,4855.2,4316.6,5350.5,4198.0,,3780.6,-869.7,-258.8,-797.4,236.5,-916.0,,-1333.4,True,True,True,False,,False
Washington,3461,2771.0,3707.5,2708.2,3156.2,2626.0,,2799.9,-708.0,228.5,-770.8,-322.8,-853.0,,-679.1,True,False,True,False,,True
West Virginia,1373,586.6,797.7,619.7,796.5,670.0,,598.0,-786.4,-575.3,-753.3,-576.5,-703.0,,-775.0,True,True,True,True,,True
Wisconsin,5256,2757.4,3656.6,3207.9,5025.5,2714.0,,2454.7,-2273.6,-1374.4,-1823.1,-5.5,-2317.0,,-2576.3,True,True,True,False,,False
Wyoming,438,89.6,169.8,157.8,99.7,101.0,,76.2,-348.4,-268.2,-280.2,-338.3,-337.0,,-361.8,True,True,True,True,,False
US,350313,272939.1,308604.6,262364.7,319126.8,260779.0,268588.0,263526.6,-76682.9,-41017.4,-87257.3,-30495.2,-88843.0,-81034.0,-86095.4,True,False,True,False,False,False
