,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Missouri,5751,5171.1,5194.8,4828.0,5862.6,6569.0,,5454.0,5676.9,4364.2,4870.4,5026.3,4384.0,5866.2,4892.0,,4665.5,,5915.8,4052.5,-550.9,-527.2,-894.0,140.6,847.0,,-268.0,-45.1,-1357.8,-851.6,-695.7,-1338.0,144.2,-830.0,,-1056.5,,193.8,-1669.5,True,False,True,False,,True,True,False,False,False,False,True,False,,False,,True,False
Montana,971,1001.3,1014.0,1289.0,1287.9,995.0,,1159.0,1338.2,1174.7,929.0,1159.3,837.0,740.9,1169.0,,996.7,,1075.3,836.1,30.3,43.0,318.0,316.9,24.0,,188.0,367.2,203.7,-42.0,188.3,-134.0,-230.1,198.0,,25.7,,104.3,-134.9,False,False,False,True,,False,False,False,False,False,False,False,False,,True,,False,False
Nebraska,1669,1377.6,1409.0,1462.0,2058.6,1594.0,,1735.0,1812.5,1392.2,1428.7,1495.6,1503.0,1609.6,1756.5,,1165.0,,1642.0,1144.0,-291.4,-260.0,-207.0,389.6,-75.0,,66.0,143.5,-276.8,-240.3,-173.4,-166.0,-59.4,87.5,,-504.0,,-27.0,-525.0,True,True,False,True,,True,True,True,True,True,True,True,True,,False,,True,False
Nevada,3148,2714.0,2658.7,4010.0,3101.8,2910.0,,2607.0,3030.2,3005.9,2915.1,3188.6,3140.0,2564.0,2539.0,,2607.6,,3327.1,2327.3,-434.0,-489.3,862.0,-46.2,-238.0,,-541.0,-117.8,-142.1,-232.9,40.6,-8.0,-584.0,-609.0,,-540.4,,179.1,-820.7,False,False,True,True,,False,True,True,True,True,True,False,False,,False,,True,False
New Hampshire,769,594.0,598.0,632.0,658.5,813.0,,655.0,639.7,676.1,734.6,651.7,626.0,663.5,616.0,,570.0,,1468.3,543.6,-175.0,-171.0,-137.0,-110.5,44.0,,-114.0,-129.3,-92.9,-34.4,-117.3,-143.0,-105.5,-153.0,,-199.0,,699.3,-225.4,True,True,True,True,,True,True,True,True,True,True,True,True,,False,,False,False
New Jersey,19187,18032.0,18086.2,18759.0,19357.6,18663.0,,18307.0,18851.4,18615.9,18597.8,18755.9,18362.0,18204.5,16989.0,,18591.4,,27132.2,17207.8,-1155.0,-1100.8,-428.0,170.6,-524.0,,-880.0,-335.6,-571.1,-589.2,-431.1,-825.0,-982.5,-2198.0,,-595.6,,7945.2,-1979.2,True,True,True,True,,True,True,True,True,True,True,True,False,,True,,False,False
New Mexico,2534,2302.6,2411.9,5132.0,3546.8,2630.0,,2372.0,3211.0,3807.8,2169.8,2842.0,2693.0,1831.4,2889.0,,2231.7,,3176.7,1732.7,-231.4,-122.1,2598.0,1012.8,96.0,,-162.0,677.0,1273.8,-364.2,308.0,159.0,-702.6,355.0,,-302.3,,642.7,-801.3,True,False,False,True,,True,False,False,False,False,True,False,False,,False,,False,False
New York,38273,35736.4,35754.8,38184.0,37538.8,38176.0,,36402.0,36375.9,37417.1,37559.3,37881.7,36171.0,35880.6,34394.0,,36356.4,,51047.6,34689.4,-2524.6,-2506.2,-77.0,-722.2,-85.0,,-1859.0,-1885.1,-843.9,-701.7,-379.3,-2090.0,-2380.4,-3867.0,,-1904.6,,12786.6,-3571.6,True,True,True,True,,True,True,True,True,True,True,True,False,,True,,False,False
North Carolina,6892,6240.6,6289.1,7059.0,6801.3,6757.0,,6557.0,6836.1,6594.6,6926.8,7048.1,6279.0,5617.2,7077.5,,6167.6,,7238.4,5801.5,-651.4,-602.9,167.0,-90.7,-135.0,,-335.0,-55.9,-297.4,34.8,156.1,-613.0,-1274.8,185.5,,-724.4,,346.4,-1090.5,True,True,True,True,,True,True,True,True,True,True,False,True,,False,,True,False
North Dakota,1317,1314.6,1326.0,1118.0,1703.1,1241.0,,1406.0,1561.0,1195.8,1098.0,1310.5,1041.0,1168.6,1429.0,,1119.3,,1303.5,1130.0,-2.4,9.0,-199.0,386.1,-76.0,,89.0,244.0,-121.2,-219.0,-6.5,-276.0,-148.4,112.0,,-197.7,,-13.5,-187.0,False,False,False,False,,False,False,False,False,False,False,False,False,,False,,False,False
Ohio,13722,8356.4,8348.1,9655.0,10452.6,9386.0,,9070.0,9409.7,8594.1,9953.8,10979.1,8635.5,7604.0,7508.0,,8609.1,,15705.6,6950.5,-3921.6,-3929.9,-2623.0,-1825.4,-2892.0,,-3208.0,-2868.3,-3683.9,-2324.2,-1298.9,-3642.5,-4674.0,-4770.0,,-3668.9,,3427.6,-5327.5,False,True,True,True,,True,True,True,True,True,True,False,False,,True,,True,False
Oklahoma,2527,2231.4,2182.0,3048.0,2987.4,2999.0,,2450.0,2625.7,2547.2,2586.1,2591.8,2115.0,2050.7,2124.0,,2332.2,,3039.0,1959.4,-295.6,-345.0,521.0,460.4,472.0,,-77.0,98.7,20.2,59.1,64.8,-412.0,-476.3,-403.0,,-194.8,,512.0,-567.6,False,False,False,False,,True,True,True,True,True,False,False,False,,True,,False,False
Oregon,1492,1317.9,1280.9,1571.0,1623.0,1517.0,,1276.0,1461.9,1426.2,1673.0,1720.5,1409.5,987.5,1226.0,,1348.9,,1719.1,1015.6,-174.1,-211.1,79.0,131.0,25.0,,-216.0,-30.1,-65.8,181.0,228.5,-82.5,-504.5,-266.0,,-143.1,,227.1,-476.4,False,True,True,True,,False,True,True,False,False,True,False,False,,True,,False,False
Pennsylvania,16179,12633.3,12527.1,18336.0,15899.6,15857.0,,13768.0,14733.1,15728.2,14078.1,17209.5,13634.0,15107.9,11993.5,,11845.5,,21482.3,10852.2,-3545.7,-3651.9,2157.0,-279.4,-322.0,,-2411.0,-1445.9,-450.8,-2100.9,1030.5,-2545.0,-1071.1,-4185.5,,-4333.5,,5303.3,-5326.8,False,True,True,True,,True,True,True,True,True,True,True,False,,False,,False,False
Rhode Island,1957,1598.6,1606.4,1554.0,1754.3,1680.0,,1535.5,1754.8,1693.6,1565.3,1871.4,1819.0,1890.8,1462.0,,1578.4,,2338.1,1356.7,-296.4,-288.6,-341.0,-140.7,-215.0,,-359.5,-140.2,-201.4,-329.7,-23.6,-76.0,-4.2,-433.0,,-316.6,,443.1,-538.3,True,False,True,True,,False,True,True,False,True,True,True,False,,False,,False,False
South Carolina,5385,4693.0,4706.9,5052.0,5134.8,5261.0,,5034.0,4945.1,5103.8,5092.7,5298.9,4808.0,4727.0,5064.0,,4938.2,,5407.4,4698.1,-692.0,-678.1,-333.0,-250.2,-124.0,,-351.0,-439.9,-281.2,-292.3,-86.1,-577.0,-658.0,-321.0,,-446.8,,22.4,-686.9,True,True,True,True,,True,True,True,True,True,True,True,True,,True,,True,True
South Dakota,1501,1545.3,1766.9,1334.0,1732.9,1579.0,,1865.0,1927.6,1303.2,1125.7,1559.7,1231.0,1462.7,1589.0,,1330.6,,1381.5,1226.6,44.3,265.9,-167.0,231.9,78.0,,364.0,426.6,-197.8,-375.3,58.7,-270.0,-38.3,88.0,,-170.4,,-119.5,-274.4,False,False,False,False,,False,False,False,False,False,False,True,False,,False,,False,False
Tennessee,6970,5952.9,6190.8,6739.0,7676.0,6832.0,,6476.0,7275.8,6324.3,5834.5,7236.4,6183.0,4850.0,7985.0,,6308.8,,5897.9,5126.7,-1017.1,-779.2,-231.0,706.0,-138.0,,-494.0,305.8,-645.7,-1135.5,266.4,-787.0,-2120.0,1015.0,,-661.2,,-1072.1,-1843.3,True,True,True,True,,True,True,True,False,True,True,False,True,,True,,False,False
Texas,28442,25874.4,26209.8,28611.0,29734.3,25129.0,,28314.0,28211.6,30143.8,25704.1,28131.5,25946.5,25174.4,24185.0,,25270.9,,28070.1,23834.6,-2211.6,-1876.2,525.0,1648.3,-2957.0,,228.0,125.6,2057.8,-2381.9,45.5,-2139.5,-2911.6,-3901.0,,-2815.1,,-15.9,-4251.4,True,True,True,False,,True,True,True,False,True,True,False,False,,False,,True,False
Utah,1294,1232.3,1243.0,1333.0,1787.4,1257.0,,1472.0,1497.3,1172.6,1228.0,1248.6,1135.0,1164.6,1459.0,,1175.7,,1362.4,740.7,-61.7,-51.0,39.0,493.4,-37.0,,178.0,203.3,-121.4,-66.0,-45.4,-159.0,-129.4,165.0,,-118.3,,68.4,-553.3,True,True,False,True,,False,False,False,False,True,False,False,False,,False,,False,False
Vermont,139,86.4,87.0,137.0,57.9,150.0,,86.0,86.5,113.6,127.9,85.6,78.0,90.2,67.0,,73.2,,156.8,68.9,-52.6,-52.0,-2.0,-81.1,11.0,,-53.0,-52.5,-25.4,-11.1,-53.4,-61.0,-48.8,-72.0,,-65.8,,17.8,-70.1,True,True,False,True,,False,True,True,True,False,False,True,False,,False,,True,False
Virginia,5117,4640.9,4633.6,5758.0,4868.0,4569.0,,4838.0,5074.6,5320.0,5191.5,5246.0,5132.5,4720.5,4678.0,,4598.3,,5682.7,4382.3,-476.1,-483.4,641.0,-249.0,-548.0,,-279.0,-42.4,203.0,74.5,129.0,15.5,-396.5,-439.0,,-518.7,,565.7,-734.7,False,False,True,False,,True,True,True,True,True,True,True,True,,False,,False,False
Washington,3461,3111.0,3123.2,4166.0,4637.0,4325.0,,3396.0,3639.5,3749.9,4002.2,4413.5,3357.0,3501.7,2970.0,,3373.6,,4807.8,2898.9,-322.0,-309.8,733.0,1204.0,892.0,,-37.0,206.5,316.9,569.2,980.5,-76.0,68.7,-463.0,,-59.4,,1374.8,-534.1,True,False,False,False,,True,True,True,False,False,True,True,False,,True,,False,False
West Virginia,1373,1054.4,1017.9,1474.0,1791.9,1487.0,,1269.0,1490.0,1574.8,1229.3,1678.8,1229.0,949.6,1094.0,,1112.6,,1362.1,860.9,-318.6,-355.1,101.0,418.9,114.0,,-104.0,117.0,201.8,-143.7,305.8,-144.0,-423.4,-279.0,,-260.4,,-10.9,-512.1,False,True,False,True,,True,True,True,True,True,True,False,True,,True,,True,False
Wisconsin,5256,5123.9,5068.8,4605.0,5137.3,4402.0,,5510.0,5900.3,4518.7,4954.3,4613.2,5707.0,5607.1,4958.0,,4740.5,,5915.3,4134.3,-132.1,-187.2,-651.0,-118.7,-854.0,,254.0,644.3,-737.3,-301.7,-642.8,451.0,351.1,-298.0,,-515.5,,659.3,-1121.7,False,False,True,False,,False,False,False,False,False,False,False,False,,False,,False,False
Wyoming,438,404.4,410.0,445.0,693.9,417.0,,466.0,357.8,507.9,375.6,395.5,374.5,494.2,447.0,,335.0,,395.4,284.1,-33.6,-28.0,7.0,255.9,-21.0,,28.0,-80.2,69.9,-62.4,-42.5,-63.5,56.2,9.0,,-103.0,,-42.6,-153.9,True,True,False,True,,True,False,False,False,False,False,False,True,,False,,False,False
US,356522,315478.4,316556.5,330229.0,367656.4,337455.0,329336.0,327285.0,348998.0,336969.8,326684.2,350065.6,311980.5,315102.7,314370.0,349276.3,311602.4,305413.0,419883.1,287284.0,-38398.6,-37320.5,-23648.0,13779.4,-16422.0,-24541.0,-26592.0,-4879.0,-16907.2,-27192.8,-3811.4,-41896.5,-38774.3,-39507.0,-4600.7,-42274.6,-48464.0,66006.1,-66593.0,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False
