,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,10960,11210.0,12131.4,11405.6,11628.0,11269.3,11347.0,11190.0,11217.3,9945.0,10344.9,11710.0,11382.8,11273.9,11220.2,,10754.8,11090.0,11343.1,11206.2,11196.0,10316.4,11637.7,11266.5,11638.0,11093.0,11329.1,11467.2,11402.0,,10718.5,11921.3,11508.5,,11796.9,12766.2,11862.0,11029.6,11287.0,11392.0,,11297.7,11351.0,11591.0,,11603.0,10784.0,,10211.6,10844.0,250.0,1171.4,445.6,668.0,309.3,387.0,230.0,257.3,-1015.0,-615.1,750.0,422.8,313.9,260.2,,-205.2,130.0,383.1,246.2,236.0,-643.6,677.7,306.5,678.0,133.0,369.1,507.2,442.0,,-241.5,961.3,548.5,,836.9,1806.2,902.0,69.6,327.0,432.0,,337.7,391.0,631.0,,643.0,-176.0,,-748.4,-116.0,False,False,False,False,False,True,False,False,False,False,False,False,False,,True,True,False,True,True,False,False,False,False,True,False,False,False,,True,False,False,,False,False,False,True,False,False,,False,False,False,,False,True,,False,True
Hawaii,289,331.4,420.5,343.3,358.0,345.0,319.0,292.0,313.1,278.0,261.0,291.0,302.5,,306.8,,303.1,,292.7,301.9,326.0,335.1,315.4,301.0,312.5,345.0,325.9,318.5,330.1,,731.8,289.3,419.0,,,398.7,324.0,301.2,320.0,284.1,,283.0,357.7,313.0,,332.0,330.0,429.2,284.1,520.0,42.4,131.5,54.3,69.0,56.0,30.0,3.0,24.1,-11.0,-28.0,2.0,13.5,,17.8,,14.1,,3.7,12.9,37.0,46.1,26.4,12.0,23.5,56.0,36.9,29.5,41.1,,442.8,0.3,130.0,,,109.7,35.0,12.2,31.0,-4.9,,-6.0,68.7,24.0,,43.0,41.0,140.2,-4.9,231.0,False,False,False,False,True,True,True,True,True,True,True,,True,,True,,True,True,True,False,True,True,True,False,True,True,True,,False,True,False,,,False,True,True,True,True,,True,False,True,,False,True,False,True,False
Idaho,1448,1478.6,1709.6,1481.0,1747.0,1507.9,1480.0,1310.0,1440.5,1250.0,1383.3,1360.0,1434.8,1491.4,1484.3,,1559.3,1526.0,1589.9,1400.6,1667.0,1338.5,1477.6,1359.0,1490.5,1492.0,1518.0,1479.9,1498.6,,1315.4,1596.0,1402.0,,,1672.2,1550.0,1334.6,1604.0,1525.7,,1489.2,1551.2,1334.0,,1433.0,1239.0,1478.8,1183.9,1442.0,30.6,261.6,33.0,299.0,59.9,32.0,-138.0,-7.5,-198.0,-64.7,-88.0,-13.2,43.4,36.3,,111.3,78.0,141.9,-47.4,219.0,-109.5,29.6,-89.0,42.5,44.0,70.0,31.9,50.6,,-132.6,148.0,-46.0,,,224.2,102.0,-113.4,156.0,77.7,,41.2,103.2,-114.0,,-15.0,-209.0,30.8,-264.1,-6.0,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,,True,False,False,False,True
Illinois,18217,18875.7,19083.5,18729.5,19441.0,18726.9,18197.0,17211.0,18255.2,15186.0,17901.0,17515.0,18463.0,18682.4,16828.6,,18627.9,17793.0,18777.9,17081.7,17740.0,16291.5,17670.5,18704.0,18996.4,18455.0,18401.4,18682.6,18969.9,16656.0,16020.8,18717.4,17433.0,,19611.4,20278.4,18201.0,16741.7,17607.0,18381.9,,18912.6,18547.4,17609.0,18209.8,17802.0,18918.0,,15132.6,19209.0,658.7,866.5,512.5,1224.0,509.9,-20.0,-1006.0,38.2,-3031.0,-316.0,-702.0,246.0,465.4,-1388.4,,410.9,-424.0,560.9,-1135.3,-477.0,-1925.5,-546.5,487.0,779.4,238.0,184.4,465.6,752.9,-1561.0,-2196.2,500.4,-784.0,,1394.4,2061.4,-16.0,-1475.3,-610.0,164.9,,695.6,330.4,-608.0,-7.2,-415.0,701.0,,-3084.4,992.0,False,True,False,True,True,False,True,False,True,False,True,True,False,,True,True,True,False,True,False,True,True,False,True,True,True,False,False,False,True,False,,False,False,True,False,True,True,,False,True,True,True,True,False,,False,False
Indiana,9562,8390.4,9008.1,8386.0,8921.0,8383.4,8457.0,8025.0,8390.1,7181.0,8262.9,8202.0,8309.7,8923.3,8073.9,,8090.0,8257.0,8844.0,8134.8,9154.0,7276.4,8626.3,8658.0,8715.5,8297.0,8946.2,8570.2,8681.3,6655.5,8878.0,8374.4,8423.0,,8184.5,8834.0,8703.0,8334.1,8307.0,8533.6,,8491.4,8987.7,8704.0,8406.1,8240.0,7904.5,10106.4,6457.7,8944.0,-426.6,191.1,-431.0,104.0,-433.6,-360.0,-792.0,-426.9,-1636.0,-554.1,-615.0,-507.3,106.3,-743.1,,-727.0,-560.0,27.0,-682.2,337.0,-1540.6,-190.7,-159.0,-101.5,-520.0,129.2,-246.8,-135.7,-2161.5,61.0,-442.6,-394.0,,-632.5,17.0,-114.0,-482.9,-510.0,-283.4,,-325.6,170.7,-113.0,-410.9,-577.0,-912.5,1289.4,-2359.3,127.0,True,False,True,False,True,False,False,False,False,False,False,True,False,,False,False,True,False,True,False,True,True,True,False,True,True,True,False,True,False,True,,False,True,True,False,False,True,,True,True,True,True,False,False,False,False,True
Iowa,3946,3943.6,4225.3,3997.7,4482.0,3910.0,3787.0,3211.0,3538.0,2822.0,3277.1,3596.0,3984.8,4051.3,3209.7,,3571.4,4135.0,3577.4,3147.6,3816.0,3295.6,3307.0,3402.0,3821.3,3962.0,3987.2,3680.6,3819.7,,5319.3,3558.0,4078.0,,5308.7,4338.7,3434.0,2917.6,3327.0,3963.6,,3888.4,4042.7,3352.0,,3374.0,3709.5,3629.5,3043.4,4104.0,-2.4,279.3,51.7,536.0,-36.0,-159.0,-735.0,-408.0,-1124.0,-668.9,-350.0,38.8,105.3,-736.3,,-374.6,189.0,-368.6,-798.4,-130.0,-650.4,-639.0,-544.0,-124.7,16.0,41.2,-265.4,-126.3,,1373.3,-388.0,132.0,,1362.7,392.7,-512.0,-1028.4,-619.0,17.6,,-57.6,96.7,-594.0,,-572.0,-236.5,-316.5,-902.6,158.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False
Kansas,2872,2777.3,3325.6,2836.4,3223.0,2813.9,2677.0,2327.0,2399.3,1997.0,2413.5,2822.0,2550.0,2889.5,2590.7,,2955.8,2906.0,2885.4,2372.1,2604.0,2184.7,2548.0,2378.0,2479.5,2820.0,2964.3,2508.1,2625.9,,2710.7,2904.6,2858.5,,,4198.4,2626.0,2536.3,2490.0,2459.5,,2658.6,3054.9,2827.0,,2519.0,2364.5,2215.1,1858.3,2399.0,-94.7,453.6,-35.6,351.0,-58.1,-195.0,-545.0,-472.7,-875.0,-458.5,-50.0,-322.0,17.5,-281.3,,83.8,34.0,13.4,-499.9,-268.0,-687.3,-324.0,-494.0,-392.5,-52.0,92.3,-363.9,-246.1,,-161.3,32.6,-13.5,,,1326.4,-246.0,-335.7,-382.0,-412.5,,-213.4,182.9,-45.0,,-353.0,-507.5,-656.9,-1013.7,-473.0,False,True,False,True,False,False,False,False,False,True,False,True,False,,True,True,True,False,False,False,False,False,False,True,True,False,False,,False,True,True,,,False,False,False,False,False,,False,False,True,,False,False,False,False,False
Kentucky,2698,2750.9,3106.8,2771.9,3134.0,2770.1,2853.0,2913.0,3068.7,2549.0,2625.3,2579.0,2664.1,2841.2,2724.8,,2846.4,2742.0,2946.4,2667.1,2914.0,2863.0,2953.1,2712.0,2897.9,3100.0,3037.3,2891.4,2901.2,2829.5,2203.3,2955.6,2732.0,,2626.9,3510.8,2935.0,3184.5,2826.0,2973.1,,2894.2,3086.2,2921.0,,2896.0,2624.5,2624.1,2302.5,2877.0,52.9,408.8,73.9,436.0,72.1,155.0,215.0,370.7,-149.0,-72.7,-119.0,-33.9,143.2,26.8,,148.4,44.0,248.4,-30.9,216.0,165.0,255.1,14.0,199.9,402.0,339.3,193.4,203.2,131.5,-494.7,257.6,34.0,,-71.1,812.8,237.0,486.5,128.0,275.1,,196.2,388.2,223.0,,198.0,-73.5,-73.9,-395.5,179.0,False,False,False,False,False,False,False,False,False,False,True,False,True,,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False
Louisiana,7488,7266.7,7380.6,7186.3,7391.0,7176.0,7391.0,7227.0,7389.0,7091.0,7857.5,7276.0,7490.7,7484.2,7520.1,,7697.9,7259.0,7573.8,8537.0,7424.0,7184.7,7621.1,7251.0,7394.1,7635.0,7465.6,7549.4,7541.0,,7171.6,7400.8,7752.5,,7123.2,6873.9,7578.0,8737.2,7382.0,7195.7,,7240.3,7493.4,7478.0,,7293.0,7164.0,7863.3,6926.8,7461.0,-221.3,-107.4,-301.7,-97.0,-312.0,-97.0,-261.0,-99.0,-397.0,369.5,-212.0,2.7,-3.8,32.1,,209.9,-229.0,85.8,1049.0,-64.0,-303.3,133.1,-237.0,-93.9,147.0,-22.4,61.4,53.0,,-316.4,-87.2,264.5,,-364.8,-614.1,90.0,1249.2,-106.0,-292.3,,-247.7,5.4,-10.0,,-195.0,-324.0,375.3,-561.2,-27.0,True,False,True,False,True,False,True,False,False,True,True,True,True,,True,False,True,False,True,False,True,False,True,True,True,True,True,,False,True,False,,False,False,True,False,True,False,,False,True,True,,True,False,False,False,True
Maine,358,365.9,427.7,371.5,432.0,371.0,371.0,279.0,341.6,228.0,329.2,310.0,320.6,412.4,492.4,,311.8,396.0,390.0,330.2,343.0,404.6,372.4,302.0,332.1,419.0,343.0,364.8,378.0,,250.9,418.1,423.0,,,360.4,440.0,351.0,406.0,247.4,,329.1,382.9,306.0,,354.0,376.0,323.9,242.9,456.0,7.9,69.7,13.5,74.0,13.0,13.0,-79.0,-16.4,-130.0,-28.8,-48.0,-37.4,54.4,134.4,,-46.2,38.0,32.0,-27.8,-15.0,46.6,14.4,-56.0,-25.9,61.0,-15.0,6.8,20.0,,-107.1,60.1,65.0,,,2.4,82.0,-7.0,48.0,-110.6,,-28.9,24.9,-52.0,,-4.0,18.0,-34.1,-115.1,98.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,,,True,False,True,False,False,,False,False,False,,True,False,False,False,False
Maryland,5967,5698.4,6135.7,5688.1,5916.0,5691.9,5963.0,5907.0,5830.6,5186.0,5973.7,5992.0,5877.4,6252.2,5889.3,,6176.3,5686.0,6078.2,5893.5,5726.0,5514.9,6063.8,6074.0,5963.0,5761.0,6036.1,6017.4,6041.6,,5631.2,5977.0,6624.5,,6534.8,5658.3,6094.0,5701.9,5827.0,5540.3,,5649.5,6074.4,5894.0,,5963.0,7002.0,6406.0,4993.4,6186.0,-268.6,168.7,-278.9,-51.0,-275.1,-4.0,-60.0,-136.4,-781.0,6.7,25.0,-89.6,285.2,-77.7,,209.3,-281.0,111.2,-73.5,-241.0,-452.1,96.8,107.0,-4.0,-206.0,69.1,50.4,74.6,,-335.8,10.0,657.5,,567.8,-308.7,127.0,-265.1,-140.0,-426.7,,-317.5,107.4,-73.0,,-4.0,1035.0,439.0,-973.6,219.0,True,False,True,False,True,True,True,False,True,True,True,False,True,,True,False,True,True,True,False,True,True,True,True,True,True,True,,False,True,False,,False,False,True,True,True,False,,False,True,True,,True,False,False,False,True
Massachusetts,12502,12091.7,12448.9,12057.5,12428.0,12061.5,12463.0,12746.0,12378.0,11576.0,12059.3,12309.0,12385.1,12455.6,12327.7,,12206.4,12104.0,12399.7,12536.2,12290.0,12072.0,12964.1,12645.0,12566.1,12081.0,12575.0,12780.6,12677.1,,12956.9,12602.6,11888.0,,12491.9,12246.0,12694.0,13263.9,12657.0,12055.6,,12000.6,12616.0,13090.0,,12688.0,12102.5,11893.5,11331.9,12518.0,-410.3,-53.1,-444.5,-74.0,-440.5,-39.0,244.0,-124.0,-926.0,-442.7,-193.0,-116.9,-46.4,-174.3,,-295.6,-398.0,-102.3,34.2,-212.0,-430.0,462.1,143.0,64.1,-421.0,73.0,278.6,175.1,,454.9,100.6,-614.0,,-10.1,-256.0,192.0,761.9,155.0,-446.4,,-501.4,114.0,588.0,,186.0,-399.5,-608.5,-1170.1,16.0,True,False,True,False,True,True,True,False,False,True,True,True,True,,True,True,True,True,True,False,False,True,True,False,True,True,True,,False,True,False,,True,True,True,False,True,False,,False,True,False,,True,True,False,False,True
Michigan,13306,13615.0,14652.7,13661.8,14167.0,13737.4,13567.0,12387.0,13613.4,10980.0,13606.5,13045.0,13792.4,13773.6,12293.4,,12751.8,13362.0,14277.9,12857.6,13793.0,12274.9,13732.7,14301.5,13530.9,13766.0,14251.4,13792.5,13983.2,10305.0,11349.1,13403.1,13275.0,,13171.7,17244.5,13693.0,12434.0,12338.0,13647.5,,14110.5,14345.7,13528.0,13771.7,13350.0,12915.5,13958.4,10730.2,15640.0,309.0,1346.7,355.8,861.0,431.4,261.0,-919.0,307.4,-2326.0,300.5,-261.0,486.4,467.6,-1012.6,,-554.2,56.0,971.9,-448.4,487.0,-1031.1,426.7,995.5,224.9,460.0,945.4,486.5,677.2,-3001.0,-1956.9,97.1,-31.0,,-134.3,3938.5,387.0,-872.0,-968.0,341.5,,804.5,1039.7,222.0,465.7,44.0,-390.5,652.4,-2575.8,2334.0,False,False,False,False,True,False,True,False,True,True,False,False,False,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,,True,False,False,False,False,False,,False,False,True,False,True,False,False,False,False
Minnesota,5436,5609.0,5658.4,5578.5,6096.0,5574.8,5616.0,5547.0,5902.8,4631.0,6009.5,6719.0,5792.6,5662.7,5190.4,,5698.0,5919.0,6098.6,5468.2,5641.0,5082.2,5548.8,4984.0,5763.8,6255.0,6315.4,6107.0,6095.3,4566.5,5643.8,5394.9,5313.0,,9582.9,6137.0,5449.0,4714.8,5546.0,5746.6,,6440.4,6338.9,5597.0,,5520.0,5421.0,5529.4,4388.6,5754.0,173.0,222.4,142.5,660.0,138.8,180.0,111.0,466.8,-805.0,573.5,1283.0,356.6,226.7,-245.6,,262.0,483.0,662.6,32.2,205.0,-353.8,112.8,-452.0,327.8,819.0,879.4,671.0,659.3,-869.5,207.8,-41.1,-123.0,,4146.9,701.0,13.0,-721.2,110.0,310.6,,1004.4,902.9,161.0,,84.0,-15.0,93.4,-1047.4,318.0,False,True,False,True,False,True,False,False,False,False,False,False,False,,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,,False,False,True,False,True,False,,False,False,True,,True,True,True,False,False
Mississippi,4840,4558.9,4587.0,4628.2,4775.0,4628.7,4671.0,4346.0,4726.3,4754.0,4624.0,4464.0,4687.5,4830.4,4778.6,,4636.8,4527.0,4793.4,4919.8,4701.0,4316.5,4791.5,4807.0,4700.6,4593.0,4799.3,4813.3,4785.5,,4540.3,4828.4,4107.0,,4552.2,5221.7,5066.0,4716.6,4574.0,4671.1,,4475.6,4837.4,5093.0,,4783.0,4674.5,4537.9,4225.9,4753.0,-281.1,-253.0,-211.8,-65.0,-211.3,-169.0,-494.0,-113.7,-86.0,-216.0,-376.0,-152.5,-9.6,-61.4,,-203.2,-313.0,-46.6,79.8,-139.0,-523.5,-48.5,-33.0,-139.4,-247.0,-40.7,-26.7,-54.5,,-299.7,-11.6,-733.0,,-287.8,381.7,226.0,-123.4,-266.0,-168.9,,-364.4,-2.6,253.0,,-57.0,-165.5,-302.1,-614.1,-87.0,True,True,True,True,True,False,True,True,True,False,True,True,True,,True,False,True,True,True,False,True,True,True,True,True,True,True,,False,True,False,,False,False,True,True,True,True,,False,True,True,,True,True,False,False,True
Missouri,5751,5958.0,7227.3,5983.3,6259.0,6003.9,5727.0,5363.0,5413.3,4610.0,5059.2,5987.0,5335.5,5551.5,4969.2,,5311.6,5704.0,5786.7,4747.6,5650.0,4961.5,5456.5,5375.0,5946.9,5875.0,5814.2,5939.2,6051.4,,6045.1,6085.7,6026.0,,5952.2,8851.4,5697.0,5814.7,5269.0,5869.0,,5749.6,5934.6,5542.0,,5440.0,5132.0,,4482.0,5048.0,236.0,1505.3,261.3,537.0,281.9,5.0,-359.0,-308.7,-1112.0,-662.8,265.0,-386.5,-170.5,-752.8,,-410.4,-18.0,64.7,-974.4,-72.0,-760.5,-265.5,-347.0,224.9,153.0,92.2,217.2,329.4,,323.1,363.7,304.0,,230.2,3129.4,-25.0,92.7,-453.0,147.0,,27.6,212.6,-180.0,,-282.0,-590.0,,-1240.0,-674.0,False,False,False,False,True,False,False,False,False,False,False,True,False,,False,True,True,False,True,False,False,False,True,True,True,True,False,,False,False,False,,True,False,True,True,False,True,,True,True,True,,False,False,,False,False
Montana,971,986.7,905.9,997.6,1040.0,994.0,995.0,995.0,965.1,872.0,1064.8,920.0,939.6,1004.2,962.6,,1548.8,1105.0,1117.0,1006.8,1066.0,926.6,988.9,965.0,972.3,1153.0,1035.9,1064.7,1057.8,,831.6,928.9,983.0,,,856.1,1023.0,982.1,957.0,1022.8,,1168.6,1074.4,1045.0,,916.0,882.0,1009.1,873.2,,15.7,-65.1,26.6,69.0,23.0,24.0,24.0,-5.9,-99.0,93.8,-51.0,-31.4,33.2,-8.4,,577.8,134.0,146.0,35.8,95.0,-44.4,17.9,-6.0,1.3,182.0,64.9,93.7,86.8,,-139.4,-42.1,12.0,,,-114.9,52.0,11.1,-14.0,51.8,,197.6,103.4,74.0,,-55.0,-89.0,38.1,-97.8,,False,False,False,False,False,False,True,False,False,False,False,False,True,,False,False,False,False,False,False,False,True,True,False,False,False,False,,False,False,True,,,False,False,True,True,False,,False,False,False,,False,False,False,False,
Nebraska,1669,2038.1,2434.1,1974.1,2358.0,2014.0,1871.0,1659.0,1775.6,1403.0,1668.2,1703.0,1882.6,1863.8,1738.4,,2206.0,2170.0,1817.3,1620.2,1975.0,1566.1,1761.1,2066.5,1925.5,2020.0,1911.4,1896.7,1976.1,,1649.1,2032.9,2032.0,,,2493.8,1921.0,1539.0,1793.0,1981.4,,1856.8,1949.7,1638.0,,1759.0,1623.0,1770.3,1389.3,1894.0,369.1,765.1,305.1,689.0,345.0,202.0,-10.0,106.6,-266.0,-0.8,34.0,213.6,194.8,69.4,,537.0,501.0,148.3,-48.8,306.0,-102.9,92.1,397.5,256.5,351.0,242.4,227.7,307.1,,-19.9,363.9,363.0,,,824.8,252.0,-130.0,124.0,312.4,,187.8,280.7,-31.0,,90.0,-46.0,101.3,-279.7,225.0,False,True,False,True,True,True,True,True,True,True,True,True,True,,False,False,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,,,False,True,True,True,True,,True,True,True,,True,True,True,True,True
Nevada,3148,3005.4,3380.2,3037.7,3401.0,3028.9,3095.0,2946.0,3089.6,2978.0,3062.7,2979.0,2941.4,3228.7,3140.9,,2936.9,2977.0,3332.0,3214.4,3132.0,2865.9,3377.5,3557.0,3215.6,3139.0,3128.5,3128.4,3174.7,,2351.9,3095.5,3053.5,,2989.7,3529.3,3151.0,3537.8,3076.0,3080.2,,3014.4,3167.2,3082.0,,3109.0,3444.0,2981.9,2502.6,3105.0,-142.6,232.2,-110.3,253.0,-119.1,-53.0,-202.0,-58.4,-170.0,-85.3,-169.0,-206.6,80.7,-7.1,,-211.1,-171.0,184.0,66.4,-16.0,-282.1,229.5,409.0,67.6,-9.0,-19.5,-19.6,26.7,,-796.1,-52.5,-94.5,,-158.3,381.3,3.0,389.8,-72.0,-67.8,,-133.6,19.2,-66.0,,-39.0,296.0,-166.1,-645.4,-43.0,False,True,False,True,True,False,True,False,True,False,False,True,True,,False,False,False,True,True,False,False,False,True,True,True,True,True,,False,True,True,,False,False,True,False,True,True,,True,True,True,,True,False,False,False,True
New Hampshire,769,710.6,962.3,700.1,765.0,703.0,739.0,737.0,742.2,662.0,627.1,783.0,699.4,738.9,729.2,,582.7,717.0,692.2,692.7,737.0,793.2,779.5,741.0,728.5,759.0,722.6,775.0,773.5,,740.0,739.7,639.0,,,,791.0,931.5,789.0,707.0,,660.3,764.2,793.0,,749.0,942.0,622.0,581.3,723.0,-58.4,193.3,-68.9,-4.0,-66.0,-30.0,-32.0,-26.8,-107.0,-141.9,14.0,-69.6,-30.1,-39.8,,-186.3,-52.0,-76.8,-76.3,-32.0,24.2,10.5,-28.0,-40.5,-10.0,-46.4,6.0,4.5,,-29.0,-29.3,-130.0,,,,22.0,162.5,20.0,-62.0,,-108.7,-4.8,24.0,,-20.0,173.0,-147.0,-187.7,-46.0,False,False,True,False,True,True,True,False,False,True,False,True,True,,False,True,False,False,True,True,True,True,True,True,True,True,True,,True,True,False,,,,True,False,True,False,,False,True,True,,True,False,False,False,True
New Jersey,19187,18644.0,19089.6,18666.1,19077.0,18673.6,18815.0,18931.0,18871.3,18143.0,18838.8,18531.0,18573.0,19148.7,18899.1,,19439.6,18523.0,18924.0,18695.6,18590.0,18494.7,19048.7,18680.0,19056.4,18914.0,18945.9,18968.6,19022.4,,18028.6,19087.8,17336.0,,18399.9,18795.2,19474.0,19058.5,18728.0,18868.2,,18641.9,18989.4,18658.0,,18834.0,19237.5,18587.1,17519.3,19108.0,-543.0,-97.4,-520.9,-110.0,-513.4,-372.0,-256.0,-315.7,-1044.0,-348.2,-656.0,-614.0,-38.3,-287.9,,252.6,-664.0,-263.0,-491.4,-597.0,-692.3,-138.3,-507.0,-130.6,-273.0,-241.1,-218.4,-164.6,,-1158.4,-99.2,-1851.0,,-787.1,-391.8,287.0,-128.5,-459.0,-318.8,,-545.1,-197.6,-529.0,,-353.0,50.5,-599.9,-1667.7,-79.0,True,True,True,True,True,True,True,False,True,False,False,True,True,,True,False,True,True,False,False,True,True,True,True,True,True,True,,False,True,False,,False,True,True,True,True,True,,False,True,True,,True,True,False,False,True
New Mexico,2534,2555.1,2661.9,2576.5,3000.0,2582.0,2579.0,2297.0,2655.2,2324.0,2993.6,2519.0,2592.4,2696.7,2850.3,,3088.2,2472.0,2930.3,2689.4,2544.0,2235.8,2585.1,2442.0,2549.8,2570.0,3081.6,2605.9,2650.7,,2323.1,2526.7,3213.5,,,3219.1,2684.0,2459.8,2279.0,2388.1,,2765.7,3118.3,2466.0,,2469.0,2333.0,2481.6,1949.8,2712.0,21.1,127.9,42.5,466.0,48.0,45.0,-237.0,121.2,-210.0,459.6,-15.0,58.4,162.7,316.3,,554.2,-62.0,396.3,155.4,10.0,-298.2,51.1,-92.0,15.8,36.0,547.6,71.9,116.7,,-210.9,-7.3,679.5,,,685.1,150.0,-74.2,-255.0,-145.9,,231.7,584.3,-68.0,,-65.0,-201.0,-52.4,-584.2,178.0,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,True,False,False,False,True,False,False,False,False,,False,True,False,,,False,False,False,False,False,,False,False,False,,False,False,False,False,False
