,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Ohio,9017,7290.7,6638.9,5930.5,,6378.2,-1726.3,-2378.1,-3086.5,,-2638.8,False,False,,False
Oklahoma,2527,1629.6,1972.6,1752.0,,1692.4,-897.4,-554.4,-775.0,,-834.6,True,True,,True
Oregon,1492,944.9,861.3,776.0,,880.4,-547.1,-630.7,-716.0,,-611.6,False,False,,False
Pennsylvania,16179,9596.4,10347.9,9288.0,,8758.0,-6582.6,-5831.1,-6891.0,,-7421.0,True,False,,False
Rhode Island,1777,1259.4,1452.1,1232.0,,1181.5,-517.6,-324.9,-545.0,,-595.5,True,False,,False
South Carolina,5385,5085.9,4543.5,4481.0,,4724.4,-299.1,-841.5,-904.0,,-660.6,False,False,,False
South Dakota,1501,633.7,768.4,433.0,,339.5,-867.3,-732.6,-1068.0,,-1161.5,True,False,,False
Tennessee,6970,5148.4,4668.6,4096.0,,4597.5,-1821.6,-2301.4,-2874.0,,-2372.5,False,False,,False
Texas,28442,23712.9,26107.5,22878.0,29041.0,21648.1,-4448.1,-2053.5,-5283.0,880.0,-6512.9,True,False,True,False
Utah,1294,799.4,1008.2,632.0,,740.1,-494.6,-285.8,-662.0,,-553.9,True,False,,False
Vermont,139,58.0,64.3,58.0,,60.1,-81.0,-74.7,-81.0,,-78.9,True,False,,True
Virginia,5117,4722.9,4912.6,4165.0,,3853.5,-391.1,-201.4,-949.0,,-1260.5,True,False,,False
Washington,3461,2682.0,4717.3,2475.0,,2928.6,-794.0,1241.3,-1001.0,,-547.4,False,False,,True
West Virginia,1373,685.4,693.9,683.0,,582.9,-687.6,-679.1,-690.0,,-790.1,True,False,,False
Wisconsin,5256,2611.3,3161.0,2177.0,,2348.8,-2568.7,-2019.0,-3003.0,,-2831.2,True,False,,False
Wyoming,438,91.6,391.9,87.0,,71.2,-346.4,-46.1,-351.0,,-366.8,True,False,,False
US,350313,273556.7,289656.9,263601.0,265658.0,256822.4,-76230.3,-60130.1,-86186.0,-84129.0,-92964.6,True,False,False,False
