,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01041,77,117.0,,129.8,,87.0,290.0,94.0,,,,62.8,,56.0,,,75.0,75.5,,82.7,,,68.0,88.5,,,,92.0,87.0,86.8,,,,,,,,,120.3,182.9,40.0,,52.8,,10.0,213.0,17.0,,,,-14.2,,-21.0,,,-2.0,-1.5,,5.7,,,-9.0,11.5,,,,15.0,10.0,9.8,,,,,,,,,43.3,105.9,,False,,True,False,True,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,,,False,False
01043,206,195.0,,229.5,,210.0,722.0,202.0,,,,327.7,,152.1,,,728.0,207.9,,460.4,241.0,,47.0,159.3,,,,175.0,170.0,472.2,,,,,,,,,66.3,437.6,-11.0,,23.5,,4.0,516.0,-4.0,,,,121.7,,-53.9,,,522.0,1.9,,254.4,35.0,,-159.0,-46.7,,,,-31.0,-36.0,266.2,,,,,,,,,-139.7,231.6,,False,,True,False,True,,,,False,,False,,,False,True,,False,False,,False,False,,,,False,False,False,,,,,,,,,False,False
01045,171,342.0,,350.7,,256.0,622.0,198.0,,,,203.1,,288.2,,,312.0,162.3,,276.5,75.5,,210.0,244.9,,,,270.0,262.0,267.6,,,,,,,,,279.5,357.0,171.0,,179.7,,85.0,451.0,27.0,,,,32.1,,117.2,,,141.0,-8.7,,105.5,-95.5,,39.0,73.9,,,,99.0,91.0,96.6,,,,,,,,,108.5,186.0,,False,,True,False,True,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,,,,True,False
01047,150,30.0,,32.4,,54.0,347.0,62.0,,,,126.0,,92.1,,,191.0,78.9,,153.9,70.0,,12.0,49.2,,,,,31.0,152.5,,,,,,,,,28.1,167.0,-120.0,,-117.6,,-96.0,197.0,-88.0,,,,-24.0,,-57.9,,,41.0,-71.1,,3.9,-80.0,,-138.0,-100.8,,,,,-119.0,2.5,,,,,,,,,-121.9,17.0,,True,,True,False,True,,,,True,,True,,,True,True,,True,True,,False,True,,,,,True,True,,,,,,,,,False,True
01049,164,249.0,,279.7,,237.0,810.0,329.0,,,,321.2,,123.4,,,609.0,160.8,,398.0,181.0,,81.0,192.0,,,,175.0,229.0,349.3,,,,,,,,,122.6,346.0,85.0,,115.7,,73.0,646.0,165.0,,,,157.2,,-40.6,,,445.0,-3.2,,234.0,17.0,,-83.0,28.0,,,,11.0,65.0,185.3,,,,,,,,,-41.4,182.0,,False,,True,False,False,,,,False,,True,,,False,True,,False,True,,True,True,,,,True,True,False,,,,,,,,,True,False
01051,421,657.0,,657.1,,456.0,1140.0,507.0,,,,452.0,,320.9,,,447.0,411.7,,563.5,139.5,,346.0,401.7,,,,504.0,496.0,421.7,,,,,,,,,413.3,746.6,236.0,,236.1,,35.0,719.0,86.0,,,,31.0,,-100.1,,,26.0,-9.3,,142.5,-281.5,,-75.0,-19.3,,,,83.0,75.0,0.7,,,,,,,,,-7.7,325.6,,False,,True,False,True,,,,True,,True,,,True,True,,True,False,,True,True,,,,True,True,True,,,,,,,,,True,False
01053,93,228.0,,222.0,,175.0,489.0,164.0,,,,163.8,,140.8,,,221.0,115.1,,265.8,118.5,,82.0,141.9,,,,212.0,162.0,219.1,,,,,,,,,245.4,265.1,135.0,,129.0,,82.0,396.0,71.0,,,,70.8,,47.8,,,128.0,22.1,,172.8,25.5,,-11.0,48.9,,,,119.0,69.0,126.1,,,,,,,,,152.4,172.1,,True,,True,False,True,,,,True,,True,,,True,True,,False,True,,True,True,,,,True,True,True,,,,,,,,,False,False
01055,477,468.0,,495.9,,429.0,1279.0,364.0,,,,521.8,,239.5,,,807.0,722.3,,564.3,110.0,,201.0,375.6,,,,326.0,430.0,536.0,,,,,,,,,318.5,711.3,-9.0,,18.9,,-48.0,802.0,-113.0,,,,44.8,,-237.5,,,330.0,245.3,,87.3,-367.0,,-276.0,-101.4,,,,-151.0,-47.0,59.0,,,,,,,,,-158.5,234.3,,False,,False,False,False,,,,False,,False,,,False,False,,False,False,,False,False,,,,False,False,False,,,,,,,,,False,False
01057,87,69.0,,64.8,,64.0,273.0,40.0,,,,75.2,,23.0,,,126.0,50.7,,125.9,,,18.0,51.6,,,,65.0,65.0,112.2,,,,,,,,,31.5,164.2,-18.0,,-22.2,,-23.0,186.0,-47.0,,,,-11.8,,-64.0,,,39.0,-36.3,,38.9,,,-69.0,-35.4,,,,-22.0,-22.0,25.2,,,,,,,,,-55.5,77.2,,False,,False,False,False,,,,True,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,,,False,False
01059,62,126.0,,133.9,,96.0,394.0,75.0,,,,153.3,,43.5,,,275.0,57.0,,183.5,7.0,,49.0,80.8,,,,88.0,127.0,117.8,,,,,,,,,52.6,161.3,64.0,,71.9,,34.0,332.0,13.0,,,,91.3,,-18.5,,,213.0,-5.0,,121.5,-55.0,,-13.0,18.8,,,,26.0,65.0,55.8,,,,,,,,,-9.4,99.3,,False,,True,False,True,,,,False,,True,,,False,True,,False,True,,True,True,,,,True,False,True,,,,,,,,,True,False
