,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
Georgia,84376,126176.0,103927.1,127805.8,99590.0,105232.0,86217.0,,112776.2,84999.0,143243.9,,84606.2,,79196.6,117592.0,147544.1,91174.0,94642.4,109567.5,78675.3,74398.0,86282.8,244459.4,101441.2,84232.7,109334.0,,84141.6,103055.0,143192.7,,99659.6,145640.8,90435.0,,41800.0,19551.1,43429.8,15214.0,20856.0,1841.0,,28400.2,623.0,58867.9,,230.2,,-5179.4,33216.0,63168.1,6798.0,10266.4,25191.5,-5700.7,-9978.0,1906.8,160083.4,17065.2,-143.3,24958.0,,-234.4,18679.0,58816.7,,15283.6,61264.8,6059.0,,True,False,True,True,True,,True,True,False,,True,,True,True,False,True,True,True,True,True,True,False,True,True,True,,True,True,False,,True,False,True,
Hawaii,1449,2468.0,2132.5,2476.9,2159.0,3478.0,2091.0,,2193.0,889.0,3119.2,,2407.7,,1771.5,,1359.0,2675.0,4759.5,1658.0,1737.0,2159.5,1954.7,1771.5,3678.1,1923.3,4382.0,,1282.4,2656.0,5013.6,,2458.1,3116.9,2107.0,,1019.0,683.5,1027.9,710.0,2029.0,642.0,,744.0,-560.0,1670.2,,958.7,,322.5,,-90.0,1226.0,3310.5,209.0,288.0,710.5,505.7,322.5,2229.1,474.3,2933.0,,-166.6,1207.0,3564.6,,1009.1,1667.9,658.0,,True,False,True,False,True,,True,True,False,,True,,True,,True,False,False,True,True,True,True,True,False,True,False,,True,False,False,,True,False,True,
Idaho,7722,10104.0,5280.1,10016.1,8021.0,12990.0,8141.0,,9544.1,4732.0,22295.9,,7849.2,,6417.2,9445.0,4776.6,10042.0,9703.4,8193.5,5912.4,4501.5,7246.5,5830.4,13693.3,5758.4,17857.0,,6559.0,12854.0,7404.3,,8114.3,10486.5,8453.0,,2382.0,-2441.9,2294.1,299.0,5268.0,419.0,,1822.1,-2990.0,14573.9,,127.2,,-1304.8,1723.0,-2945.4,2320.0,1981.4,471.5,-1809.6,-3220.5,-475.5,-1891.6,5971.3,-1963.6,10135.0,,-1163.0,5132.0,-317.7,,392.3,2764.5,731.0,,False,True,True,False,True,,True,False,False,,True,,True,True,False,True,True,True,True,False,True,True,False,True,False,,True,False,True,,True,False,True,
Illinois,52906,81632.0,44027.2,80836.8,62959.0,90765.0,76665.0,,71065.8,28357.0,72002.7,,48586.0,,49909.9,67013.0,31136.6,78049.0,95004.7,50835.5,60894.4,45495.0,60601.3,29699.2,65518.8,48468.6,113895.0,,55686.3,74292.0,73008.0,,59727.9,95022.9,59852.0,,28726.0,-8878.8,27930.8,10053.0,37859.0,23759.0,,18159.8,-24549.0,19096.7,,-4320.0,,-2996.1,14107.0,-21769.4,25143.0,42098.7,-2070.5,7988.4,-7411.0,7695.3,-23206.8,12612.8,-4437.4,60989.0,,2780.3,21386.0,20102.0,,6821.9,42116.9,6946.0,,True,True,True,False,True,,True,True,True,,True,,True,True,True,True,False,True,True,True,True,True,True,True,False,,True,True,True,,True,False,True,
Indiana,28529,52112.0,39711.1,50633.1,38191.0,52925.0,35661.0,,49824.7,35438.0,49743.1,,50637.2,,31953.8,48432.0,14631.6,43146.0,47242.1,33274.0,27754.5,31945.0,45150.3,23878.7,35451.8,29815.8,66744.0,,38356.4,44128.0,59708.0,,94579.2,27250.4,36705.0,,23583.0,11182.1,22104.1,9662.0,24396.0,7132.0,,21295.7,6909.0,21214.1,,22108.2,,3424.8,19903.0,-13897.4,14617.0,18713.1,4745.0,-774.5,3416.0,16621.3,-4650.3,6922.8,1286.8,38215.0,,9827.4,15599.0,31179.0,,66050.2,-1278.6,8176.0,,True,True,True,False,True,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,False,,False,True,True,
Iowa,15223,20784.0,15088.7,20216.8,15759.0,29077.0,19617.0,,19877.0,23333.0,16304.3,,26557.6,,12930.7,22875.0,14151.2,23908.0,18854.6,13189.0,14445.3,12408.5,14740.2,10625.5,14744.5,13938.8,41118.0,,11583.9,19665.0,7737.2,,15423.9,,16655.0,,5561.0,-134.3,4993.8,536.0,13854.0,4394.0,,4654.0,8110.0,1081.3,,11334.6,,-2292.3,7652.0,-1071.8,8685.0,3631.6,-2034.0,-777.7,-2814.5,-482.8,-4597.5,-478.5,-1284.2,25895.0,,-3639.1,4442.0,-7485.8,,200.9,,1432.0,,True,True,True,False,True,,True,False,True,,False,,True,False,True,False,True,True,True,True,True,True,True,True,False,,True,True,False,,True,,True,
Kansas,14262,27880.0,15616.9,27191.1,18797.0,26203.0,36189.0,,25524.0,5263.0,11378.0,,21403.0,,22636.2,24630.0,8958.6,25700.0,19691.6,12761.5,15649.9,11923.0,16301.1,9033.0,28954.7,17296.9,34674.0,,18170.3,27818.0,7052.0,,27592.3,33255.1,17168.0,,13618.0,1354.9,12929.1,4535.0,11941.0,21927.0,,11262.0,-8999.0,-2884.0,,7141.0,,8374.2,10368.0,-5303.4,11438.0,5429.6,-1500.5,1387.9,-2339.0,2039.1,-5229.0,14692.7,3034.9,20412.0,,3908.3,13556.0,-7210.0,,13330.3,18993.1,2906.0,,True,True,True,True,False,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,False,True,False,,True,True,True,,True,False,True,
Kentucky,33931,60552.0,40407.1,61225.4,49771.0,53447.0,58203.0,,55244.2,23551.0,1717460.1,,41237.6,,46134.3,53195.0,50308.1,61485.0,39278.4,42995.0,40590.7,42143.5,38716.6,20479.0,99225.9,37631.3,60943.0,,33225.0,63111.0,17045.5,,43946.5,79898.1,50630.0,,26621.0,6476.1,27294.4,15840.0,19516.0,24272.0,,21313.2,-10380.0,1683529.1,,7306.6,,12203.3,19264.0,16377.1,27554.0,5347.4,9064.0,6659.7,8212.5,4785.6,-13452.0,65294.9,3700.3,27012.0,,-706.0,29180.0,-16885.5,,10015.5,45967.1,16699.0,,True,False,True,True,True,,True,True,False,,True,,True,True,True,False,True,True,True,True,True,True,False,True,False,,True,False,True,,True,False,True,
Louisiana,23184,50340.0,33695.1,49493.6,40304.0,47154.0,53268.0,,42372.0,44792.0,1992596.2,,58274.5,,32918.6,52670.0,34942.1,43147.0,37928.0,37503.5,30437.9,32244.0,32429.8,48374.7,34370.5,31444.9,58051.0,,31130.2,25277.0,45377.3,,55531.1,48975.6,26054.0,,27156.0,10511.1,26309.6,17120.0,23970.0,30084.0,,19188.0,21608.0,1969412.2,,35090.5,,9734.6,29486.0,11758.1,19963.0,14744.0,14319.5,7253.9,9060.0,9245.8,25190.7,11186.5,8260.9,34867.0,,7946.2,2093.0,22193.3,,32347.1,25791.6,2870.0,,True,True,True,True,False,,True,True,False,,False,,True,False,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,,False,True,True,
Maine,4574,7588.0,6094.9,7174.2,6035.0,9900.0,5744.0,,6952.7,3562.0,9320.6,,6014.5,,4190.1,7635.0,6429.9,5861.0,7468.9,8898.0,4528.0,4728.5,5118.1,4159.8,5852.9,5159.4,13310.0,,4714.3,9949.0,15968.4,,6867.2,2301.0,4634.0,,3014.0,1520.9,2600.2,1461.0,5326.0,1170.0,,2378.7,-1012.0,4746.6,,1440.5,,-383.9,3061.0,1855.9,1287.0,2894.9,4324.0,-46.0,154.5,544.1,-414.2,1278.9,585.4,8736.0,,140.3,5375.0,11394.4,,2293.2,-2273.0,60.0,,True,True,True,False,True,,True,True,False,,True,,True,False,True,True,True,False,True,True,True,True,True,True,False,,True,False,False,,True,True,True,
Maryland,24526,37432.0,26636.2,38209.3,31032.0,38342.0,26258.0,,35996.7,38922.0,41351.7,,28230.9,,24882.4,39486.0,23623.8,33662.0,37307.2,39745.5,21765.7,23879.0,29604.5,28867.0,38955.8,24327.5,45000.0,,32089.2,22252.0,42272.7,,28989.5,48249.5,28890.0,,12906.0,2110.2,13683.3,6506.0,13816.0,1732.0,,11470.7,14396.0,16825.7,,3704.9,,356.4,14960.0,-902.2,9136.0,12781.2,15219.5,-2760.3,-647.0,5078.5,4341.0,14429.8,-198.5,20474.0,,7563.2,-2274.0,17746.7,,4463.5,23723.5,4364.0,,True,False,True,False,True,,True,False,False,,True,,True,False,True,True,True,False,True,True,True,True,False,True,False,,True,True,False,,True,False,True,
Massachusetts,49104,77868.0,50628.6,76457.3,60212.0,56835.0,85095.0,,66273.2,54599.0,122683.1,,55454.4,,51886.9,68602.0,39296.3,72113.0,40603.9,49749.5,46940.4,53836.5,58423.0,43345.9,56778.4,51078.5,69146.0,,61257.4,67447.0,72487.1,,122747.2,118017.4,64304.0,,28764.0,1524.6,27353.3,11108.0,7731.0,35991.0,,17169.2,5495.0,73579.1,,6350.4,,2782.9,19498.0,-9807.7,23009.0,-8500.1,645.5,-2163.6,4732.5,9319.0,-5758.1,7674.4,1974.5,20042.0,,12153.4,18343.0,23383.1,,73643.2,68913.4,15200.0,,True,True,True,True,False,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,False,False,True,
Michigan,35387,42188.0,24055.7,41007.4,32352.0,61765.0,36054.0,,36420.4,8429.0,148574.1,,31870.5,,29769.7,37900.0,24737.4,35825.0,47723.2,37866.0,28056.1,26416.0,32434.7,7521.0,31817.7,25155.1,84950.0,,25851.2,,14205.5,,56185.1,53753.1,30827.0,,6801.0,-11331.3,5620.4,-3035.0,26378.0,667.0,,1033.4,-26958.0,113187.1,,-3516.5,,-5617.3,2513.0,-10649.6,438.0,12336.2,2479.0,-7330.9,-8971.0,-2952.3,-27866.0,-3569.3,-10231.9,49563.0,,-9535.8,,-21181.5,,20798.1,18366.1,-4560.0,,False,True,True,False,True,,True,False,False,,True,,True,True,False,True,False,True,False,False,True,False,True,False,False,,False,,False,,False,False,True,
Minnesota,21899,25592.0,9641.5,25602.8,20044.0,38299.0,27724.0,,25862.0,6581.0,21091.3,,15469.8,,19636.0,27156.0,7476.7,24986.0,29288.3,16308.0,12598.7,17304.0,20104.5,10599.4,16360.3,17730.0,54487.0,,15952.4,33351.0,6402.9,,37122.0,19494.1,23777.0,,3693.0,-12257.5,3703.8,-1855.0,16400.0,5825.0,,3963.0,-15318.0,-807.7,,-6429.2,,-2263.0,5257.0,-14422.3,3087.0,7389.3,-5591.0,-9300.3,-4595.0,-1794.5,-11299.6,-5538.7,-4169.0,32588.0,,-5946.6,11452.0,-15496.1,,15223.0,-2404.9,1878.0,,False,False,True,False,False,,False,False,True,,False,,True,False,False,True,False,False,False,False,True,False,False,False,False,,False,False,False,,False,True,True,
Mississippi,16543,26352.0,22296.1,26589.1,22033.0,28902.0,19596.0,,27284.9,23678.0,33394.1,,18035.3,,17856.3,32485.0,23738.9,25021.0,21838.1,23540.5,16665.0,15751.5,20664.9,17898.0,26071.1,19265.8,35657.0,,21111.6,19459.0,19274.4,,23405.8,21897.1,18648.0,,9809.0,5753.1,10046.1,5490.0,12359.0,3053.0,,10741.9,7135.0,16851.1,,1492.3,,1313.3,15942.0,7195.9,8478.0,5295.1,6997.5,122.0,-791.5,4121.9,1355.0,9528.1,2722.8,19114.0,,4568.6,2916.0,2731.4,,6862.8,5354.1,2105.0,,True,False,True,False,True,,False,True,False,,True,,True,False,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,,True,True,True,
Missouri,23449,32964.0,23295.7,32456.2,25692.0,46627.0,33877.0,,30141.0,24828.0,33012.3,,26250.5,,18094.3,25130.0,18386.6,34429.0,28438.0,31204.5,27464.0,18012.0,25376.6,8363.4,41792.9,19881.2,66743.0,,26926.4,36188.0,24077.4,,18820.2,34223.6,23909.0,,9515.0,-153.3,9007.2,2243.0,23178.0,10428.0,,6692.0,1379.0,9563.3,,2801.5,,-5354.7,1681.0,-5062.4,10980.0,4989.0,7755.5,4015.0,-5437.0,1927.6,-15085.6,18343.9,-3567.8,43294.0,,3477.4,12739.0,628.4,,-4628.8,10774.6,460.0,,True,True,True,False,False,,True,True,False,,True,,True,True,True,False,True,True,True,True,True,False,False,True,False,,True,False,True,,True,False,True,
Montana,4939,7820.0,5398.8,7676.7,5890.0,10556.0,5412.0,,7549.8,4545.0,5638.6,,9055.0,,5959.9,8981.0,15157.1,8603.0,5267.6,6159.5,4838.4,5344.0,5888.6,1291.3,7239.8,5047.5,14764.0,,4371.2,,1657.9,,4176.2,9147.5,7380.0,,2881.0,459.8,2737.7,951.0,5617.0,473.0,,2610.8,-394.0,699.6,,4116.0,,1020.9,4042.0,10218.1,3664.0,328.6,1220.5,-100.6,405.0,949.6,-3647.7,2300.8,108.5,9825.0,,-567.8,,-3281.1,,-762.8,4208.5,2441.0,,True,True,True,False,True,,True,True,True,,False,,True,False,False,False,True,True,True,True,True,False,True,True,False,,True,,False,,True,False,True,
Nebraska,9232,11404.0,3714.8,10282.8,9458.0,14261.0,7612.0,,11041.8,5894.0,11316.9,,9774.8,,7130.6,9301.0,5433.1,11824.0,14377.6,9600.5,8377.3,6755.0,8306.2,9390.9,9084.9,7564.5,18150.0,,9461.1,9022.0,2515.3,,10977.3,14892.6,10257.0,,2172.0,-5517.2,1050.8,226.0,5029.0,-1620.0,,1809.8,-3338.0,2084.9,,542.8,,-2101.4,69.0,-3798.9,2592.0,5145.6,368.5,-854.7,-2477.0,-925.8,158.9,-147.1,-1667.5,8918.0,,229.1,-210.0,-6716.7,,1745.3,5660.6,1025.0,,False,True,True,False,True,,True,False,True,,True,,True,True,False,False,False,True,True,False,True,True,True,True,False,,True,True,False,,True,False,True,
Nevada,12569,24168.0,16398.3,25023.6,16390.0,14669.0,26816.0,,21020.4,14621.0,20834.4,,20221.3,,14813.2,11887.0,15172.4,24456.0,18401.0,14314.5,11993.0,14197.5,17233.4,13929.5,20239.1,11996.8,16208.0,,9950.9,20627.0,14719.9,,26669.2,5120.1,17087.0,,11599.0,3829.3,12454.6,3821.0,2100.0,14247.0,,8451.4,2052.0,8265.4,,7652.3,,2244.2,-682.0,2603.4,11887.0,5832.0,1745.5,-576.0,1628.5,4664.4,1360.5,7670.1,-572.2,3639.0,,-2618.1,8058.0,2150.9,,14100.2,-7448.9,4518.0,,True,False,True,True,False,,True,True,True,,True,,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,,False,True,True,
