,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,58970,76218.0,51452.9,76194.2,53545.0,108339.0,53471.0,,61591.0,46186.0,,64069.1,,48751.0,70598.0,51692.3,66646.0,73682.9,27493.0,48733.2,37151.0,47999.9,26629.9,89222.2,43368.7,69209.0,44925.0,,44916.0,67777.0,76142.8,,69265.3,58284.0,64670.3,,17248.0,-7517.1,17224.2,-5425.0,49369.0,-5499.0,,2621.0,-12784.0,,5099.1,,-10219.0,11628.0,-7277.7,7676.0,14712.9,-31477.0,-10236.8,-21819.0,-10970.1,-32340.1,30252.2,-15601.3,10239.0,-14045.0,,-14054.0,8807.0,17172.8,,10295.3,-686.0,5700.3,,True,True,True,False,True,,True,True,,True,,True,True,True,True,True,False,True,False,True,False,False,True,True,True,,True,True,True,,True,True,True,
Hawaii,1045,1212.0,657.9,1208.8,1012.0,8294.0,686.0,,1140.3,598.0,,1784.8,,909.9,,5314.0,1416.0,3702.6,1039.5,918.6,726.0,861.1,910.4,2324.1,1037.7,1290.0,2922.0,,935.0,822.0,2914.9,,2093.7,1076.0,1091.7,,167.0,-387.1,163.8,-33.0,7249.0,-359.0,,95.3,-447.0,,739.8,,-135.1,,4269.0,371.0,2657.6,-5.5,-126.4,-319.0,-183.9,-134.6,1279.1,-7.3,245.0,1877.0,,-110.0,-223.0,1869.9,,1048.7,31.0,46.7,,False,True,True,False,False,,True,False,,False,,True,,False,False,False,True,True,False,False,True,False,True,False,False,,True,False,False,,False,True,True,
Idaho,5448,6822.0,3078.1,7085.8,5251.0,15852.0,5515.0,,6107.8,3383.0,,6078.1,,4633.3,7398.0,2952.0,6467.0,7416.3,4295.0,3403.2,2844.0,4835.0,4124.9,6703.2,4588.5,5593.0,11515.0,,3440.1,6418.0,4904.9,,6955.3,5962.0,4419.1,,1374.0,-2369.9,1637.8,-197.0,10404.0,67.0,,659.8,-2065.0,,630.1,,-814.7,1950.0,-2496.0,1019.0,1968.3,-1153.0,-2044.8,-2604.0,-613.0,-1323.1,1255.2,-859.5,145.0,6067.0,,-2007.9,970.0,-543.1,,1507.3,514.0,-1028.9,,False,False,True,False,True,,True,False,,True,,True,False,False,True,False,True,False,False,True,True,True,True,True,False,,False,True,True,,False,True,True,
Illinois,36664,48726.0,26955.1,47418.3,37090.0,92744.0,39359.0,,43015.8,28970.0,,23967.5,,32706.6,43931.0,17869.7,46116.0,73861.6,16857.0,40264.2,27763.0,35468.9,12774.7,48863.7,30005.8,40937.0,49225.0,,26687.1,39609.0,15055.0,,33736.2,40247.0,27100.0,,12062.0,-9708.9,10754.3,426.0,56080.0,2695.0,,6351.8,-7694.0,,-12696.5,,-3957.4,7267.0,-18794.3,9452.0,37197.6,-19807.0,3600.2,-8901.0,-1195.1,-23889.3,12199.7,-6658.2,4273.0,12561.0,,-9976.9,2945.0,-21609.0,,-2927.8,3583.0,-9564.0,,True,True,True,False,True,,True,True,,False,,True,True,False,True,False,False,True,True,True,False,False,True,True,False,,True,True,False,,True,True,True,
Indiana,18859,29010.0,26824.7,29474.8,21912.0,52076.0,23612.0,,24791.0,23198.0,,25381.4,,18840.9,32597.0,15102.2,26842.0,30795.5,9417.0,16662.6,16542.0,20262.2,14193.1,28179.4,16679.2,22094.0,26636.0,,19238.2,22509.0,12324.8,,14760.3,23950.0,15031.5,,10151.0,7965.7,10615.8,3053.0,33217.0,4753.0,,5932.0,4339.0,,6522.4,,-18.1,13738.0,-3756.8,7983.0,11936.5,-9442.0,-2196.4,-2317.0,1403.2,-4665.9,9320.4,-2179.8,3235.0,7777.0,,379.2,3650.0,-6534.2,,-4098.7,5091.0,-3827.5,,True,False,True,False,True,,True,True,,True,,True,False,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,
Iowa,10490,14199.0,13460.6,14196.2,10849.0,29965.0,9273.0,,10073.5,7422.0,,9958.1,,10056.5,10654.0,13878.6,14189.0,14632.7,7757.5,9144.1,8466.0,11323.5,7634.5,11597.2,9153.7,11677.0,20440.0,,9581.6,13744.0,1214.9,,44766.6,10707.0,10388.5,,3709.0,2970.6,3706.2,359.0,19475.0,-1217.0,,-416.5,-3068.0,,-531.9,,-433.5,164.0,3388.6,3699.0,4142.7,-2732.5,-1345.9,-2024.0,833.5,-2855.5,1107.2,-1336.3,1187.0,9950.0,,-908.4,3254.0,-9275.1,,34276.6,217.0,-101.5,,True,True,True,False,True,,True,True,,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,False,,True,True,False,,False,True,True,
Kansas,9713,13647.0,15597.2,14302.9,12801.0,34729.0,9875.0,,12945.1,2838.0,,14546.1,,13217.2,17040.0,12820.3,12673.0,16093.1,6567.0,7663.7,5035.5,8463.7,5926.7,18410.2,9353.4,11634.0,19075.0,,11816.0,13782.0,4999.7,,19253.4,8339.0,13164.2,,3934.0,5884.2,4589.9,3088.0,25016.0,162.0,,3232.1,-6875.0,,4833.1,,3504.2,7327.0,3107.3,2960.0,6380.1,-3146.0,-2049.3,-4677.5,-1249.3,-3786.3,8697.2,-359.6,1921.0,9362.0,,2103.0,4069.0,-4713.3,,9540.4,-1374.0,3451.2,,False,False,True,False,True,,True,False,,False,,True,False,True,True,False,True,True,False,True,True,False,True,True,False,,True,False,False,,False,True,True,
Kentucky,23094,32511.0,26563.4,32343.0,28559.0,51517.0,24295.0,,29482.6,16577.0,,35950.8,,24533.6,33198.0,37495.8,29753.0,31838.9,23643.5,24363.2,21279.0,26554.1,34781.4,31398.3,24453.4,32004.0,30356.0,,25662.1,29825.0,10944.9,,42689.9,24666.0,31650.0,,9417.0,3469.4,9249.0,5465.0,28423.0,1201.0,,6388.6,-6517.0,,12856.8,,1439.6,10104.0,14401.8,6659.0,8744.9,549.5,1269.2,-1815.0,3460.1,11687.4,8304.3,1359.4,8910.0,7262.0,,2568.1,6731.0,-12149.1,,19595.9,1572.0,8556.0,,True,True,True,False,True,,True,True,,False,,True,False,False,True,True,True,True,True,True,False,True,True,True,True,,True,True,False,,False,True,True,
Louisiana,14460,26172.0,15904.2,25893.9,19828.0,46159.0,16043.0,,20540.7,27892.0,,18842.0,,16987.9,27109.0,19011.4,18244.0,29538.8,12868.0,18400.8,15372.5,17205.5,22425.5,23967.4,17802.3,21753.0,26466.0,,17963.0,24516.0,31395.9,,26620.5,13169.0,21891.6,,11712.0,1444.2,11433.9,5368.0,31699.0,1583.0,,6080.7,13432.0,,4382.0,,2527.9,12649.0,4551.4,3784.0,15078.8,-1592.0,3940.8,912.5,2745.5,7965.5,9507.4,3342.3,7293.0,12006.0,,3503.0,10056.0,16935.9,,12160.5,-1291.0,7431.6,,True,True,True,False,True,,True,False,,True,,True,False,True,True,False,True,True,True,True,True,True,True,True,False,,True,True,False,,False,True,True,
Maine,3214,4080.0,1654.9,4014.4,2920.0,9226.0,2766.0,,4028.6,1864.0,,3830.0,,2375.4,4771.0,2345.5,3581.0,6653.2,3649.0,2614.3,2302.5,2893.4,2531.6,5828.0,2625.2,4435.0,4044.0,,1581.7,,8991.8,,2433.9,3140.0,3950.8,,866.0,-1559.1,800.4,-294.0,6012.0,-448.0,,814.6,-1350.0,,616.0,,-838.6,1557.0,-868.5,367.0,3439.2,435.0,-599.7,-911.5,-320.6,-682.4,2614.0,-588.8,1221.0,830.0,,-1632.3,,5777.8,,-780.1,-74.0,736.8,,False,True,True,False,True,,True,False,,True,,True,False,False,True,False,True,True,False,True,True,False,True,False,True,,False,,False,,True,True,True,
Maryland,16474,24156.0,14899.5,24557.6,17799.0,43039.0,18920.0,,20752.6,19126.0,,13740.4,,15149.5,21912.0,9709.2,24287.0,29625.9,15089.5,14186.8,13208.5,15392.1,17765.6,29509.3,14318.4,20496.0,15081.0,,12183.2,22552.0,29634.0,,14664.6,19447.0,18926.1,,7682.0,-1574.5,8083.6,1325.0,26565.0,2446.0,,4278.6,2652.0,,-2733.6,,-1324.5,5438.0,-6764.8,7813.0,13151.9,-1384.5,-2287.2,-3265.5,-1081.9,1291.6,13035.3,-2155.6,4022.0,-1393.0,,-4290.8,6078.0,13160.0,,-1809.4,2973.0,2452.1,,True,False,True,False,True,,True,True,,True,,True,True,True,False,False,True,True,True,True,True,False,True,True,True,,True,True,False,,True,True,True,
Massachusetts,34036,45204.0,31534.0,44110.0,30850.0,67171.0,30885.0,,31504.8,32550.0,,33320.6,,30222.7,45824.0,24436.9,41928.0,31507.0,15944.0,27993.5,25037.0,29498.5,32709.8,61437.1,26586.2,37986.0,27163.0,,27599.0,35918.0,49651.9,,50100.4,42629.0,33084.1,,11168.0,-2502.0,10074.0,-3186.0,33135.0,-3151.0,,-2531.2,-1486.0,,-715.4,,-3813.3,11788.0,-9599.1,7892.0,-2529.0,-18092.0,-6042.5,-8999.0,-4537.5,-1326.2,27401.1,-7449.8,3950.0,-6873.0,,-6437.0,1882.0,15615.9,,16064.4,8593.0,-951.9,,True,True,True,False,True,,True,True,,True,,True,False,True,True,True,False,True,True,True,True,False,True,True,True,,True,True,False,,False,True,True,
Michigan,27116,24813.0,14217.5,24390.9,18430.0,61277.0,17631.0,,21583.7,4985.0,,8336.2,,18182.8,34670.0,14143.4,20902.0,39134.3,17414.0,18367.4,14849.0,18682.6,3333.2,19807.1,16959.1,21459.0,29983.0,,17858.5,18613.0,6786.3,,33054.3,19289.0,17137.0,,-2303.0,-12898.5,-2725.1,-8686.0,34161.0,-9485.0,,-5532.3,-22131.0,,-18779.8,,-8933.2,7554.0,-12972.6,-6214.0,12018.3,-9702.0,-8748.6,-12267.0,-8433.4,-23782.8,-7308.9,-10156.9,-5657.0,2867.0,,-9257.5,-8503.0,-20329.7,,5938.3,-7827.0,-9979.0,,False,False,False,False,False,,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,
Minnesota,16325,16722.0,6155.3,16716.1,14039.0,41315.0,12644.0,,17044.8,4573.0,,14059.2,,14406.0,18509.0,8002.5,15201.0,25593.3,5230.0,12959.3,11609.5,14195.0,6255.8,13503.4,13413.2,14655.0,25423.0,,14023.5,14757.0,2981.0,,20225.2,15472.0,12498.7,,397.0,-10169.7,391.1,-2286.0,24990.0,-3681.0,,719.8,-11752.0,,-2265.8,,-1919.0,2184.0,-8322.5,-1124.0,9268.3,-11095.0,-3365.7,-4715.5,-2130.0,-10069.2,-2821.6,-2911.8,-1670.0,9098.0,,-2301.5,-1568.0,-13344.0,,3900.2,-853.0,-3826.3,,False,True,False,False,False,,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,
Mississippi,10978,16695.0,10785.1,17972.8,13375.0,30848.0,11421.0,,13673.3,13752.0,,22774.8,,11878.3,18644.0,6641.1,16330.0,17825.5,11995.5,10415.4,9980.5,13176.0,13714.0,25824.7,10827.8,13762.0,18187.0,,11011.5,16312.0,13084.5,,13521.4,14402.0,12055.8,,5717.0,-192.9,6994.8,2397.0,19870.0,443.0,,2695.3,2774.0,,11796.8,,900.3,7666.0,-4336.9,5352.0,6847.5,1017.5,-562.6,-997.5,2198.0,2736.0,14846.7,-150.2,2784.0,7209.0,,33.5,5334.0,2106.5,,2543.4,3424.0,1077.8,,True,False,True,False,True,,True,True,,False,,True,False,True,True,False,True,True,True,True,True,False,True,True,False,,True,True,True,,True,True,True,
Missouri,15869,16995.0,16498.4,17148.6,14336.0,50623.0,12226.0,,15119.8,16871.0,,13779.8,,10373.4,20176.0,12383.5,16235.0,22621.2,11852.5,11363.6,8484.0,12693.4,6301.6,22543.7,10214.6,14274.0,33234.0,,14331.2,15586.0,7815.7,,25183.7,12953.0,12107.2,,1126.0,629.4,1279.6,-1533.0,34754.0,-3643.0,,-749.2,1002.0,,-2089.2,,-5495.6,4307.0,-3485.5,366.0,6752.2,-4016.5,-4505.4,-7385.0,-3175.6,-9567.4,6674.7,-5654.4,-1595.0,17365.0,,-1537.8,-283.0,-8053.3,,9314.7,-2916.0,-3761.8,,True,False,False,False,False,,True,True,,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,True,False,,False,False,False,
Montana,3359,4740.0,3375.6,4719.6,4079.0,11724.0,3433.0,,4025.3,3568.0,,3914.3,,3713.0,4942.0,6917.6,4846.0,4510.9,3771.0,3296.2,2726.5,3800.5,5180.0,4435.2,3944.6,4543.0,7896.0,,3861.0,4591.0,926.3,,7826.0,4159.0,4425.4,,1381.0,16.6,1360.6,720.0,8365.0,74.0,,666.3,209.0,,555.3,,354.0,1583.0,3558.6,1487.0,1151.9,412.0,-62.8,-632.5,441.5,1821.0,1076.2,585.6,1184.0,4537.0,,502.0,1232.0,-2432.7,,4467.0,800.0,1066.4,,True,True,True,False,True,,True,True,,True,,True,False,False,False,True,True,True,True,True,False,True,True,True,False,,True,True,False,,False,True,True,
Nebraska,5626,10818.0,3360.6,11702.1,7472.0,19086.0,4580.0,,8970.7,4607.0,,9277.3,,8772.7,7359.0,3249.5,8594.0,12032.4,6131.5,5553.1,4071.5,7336.4,5807.4,7908.4,7574.2,9543.0,12958.0,,3838.3,10762.0,1852.6,,10838.2,7519.0,6755.1,,5192.0,-2265.4,6076.1,1846.0,13460.0,-1046.0,,3344.7,-1019.0,,3651.3,,3146.7,1733.0,-2376.5,2968.0,6406.4,505.5,-72.9,-1554.5,1710.4,181.4,2282.4,1948.2,3917.0,7332.0,,-1787.7,5136.0,-3773.4,,5212.2,1893.0,1129.1,,True,False,True,False,True,,True,True,,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,False,,True,True,True,,False,True,True,
Nevada,8124,13335.0,9254.5,12452.8,9468.0,20768.0,10350.0,,11313.6,8871.0,,10568.7,,8755.1,14055.0,9696.3,12080.0,13225.4,3794.5,7501.8,6729.0,10105.6,8370.8,10293.5,7334.0,10242.0,3995.0,,5882.6,11648.0,9637.0,,1281.6,11153.0,10439.2,,5211.0,1130.5,4328.8,1344.0,12644.0,2226.0,,3189.6,747.0,,2444.7,,631.1,5931.0,1572.3,3956.0,5101.4,-4329.5,-622.2,-1395.0,1981.6,246.8,2169.5,-790.0,2118.0,-4129.0,,-2241.4,3524.0,1513.0,,-6842.4,3029.0,2315.2,,True,True,True,False,True,,True,True,,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,False,True,True,
