,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Massachusetts,124205,270137.0,,260885.8,,304064.0,272197.2,,109775.2,163948.0,145932.0,,136680.8,,179859.0,147992.2,,-14429.8,39743.0,,True,,False,False,,True,True
Michigan,74287,134624.0,,105654.3,,155170.0,133399.4,,135796.9,72684.0,60337.0,,31367.3,,80883.0,59112.4,,61509.9,-1603.0,,True,,False,True,,False,True
Minnesota,44069,74438.0,,75315.6,,104099.0,53325.1,,35180.6,39312.0,30369.0,,31246.6,,60030.0,9256.1,,-8888.4,-4757.0,,False,,False,True,,True,True
Mississippi,46452,98007.0,,102198.4,,122756.0,70869.4,,74300.3,53908.0,51555.0,,55746.4,,76304.0,24417.4,,27848.3,7456.0,,False,,False,True,,True,True
Missouri,66975,111986.0,,117796.2,,125581.0,84204.3,,69726.5,63241.0,45011.0,,50821.2,,58606.0,17229.3,,2751.5,-3734.0,,False,,False,True,,True,True
Montana,11600,20678.0,,19899.3,,27568.0,48193.4,,8109.8,10753.0,9078.0,,8299.3,,15968.0,36593.4,,-3490.2,-847.0,,True,,False,False,,True,True
Nebraska,21743,37030.0,,43643.3,,43152.0,26753.7,,30161.8,20108.0,15287.0,,21900.3,,21409.0,5010.7,,8418.8,-1635.0,,False,,False,True,,True,True
Nevada,35870,96467.0,,95462.2,,102188.0,92070.6,,72357.1,51508.0,60597.0,,59592.2,,66318.0,56200.6,,36487.1,15638.0,,True,,False,True,,True,True
New Hampshire,19090,35518.0,,31461.5,,43239.0,32714.0,,22133.1,20580.0,16428.0,,12371.5,,24149.0,13624.0,,3043.1,1490.0,,True,,False,True,,True,True
New Jersey,188001,299873.0,,256055.3,,260879.0,220687.4,,285222.6,168153.0,111872.0,,68054.3,,72878.0,32686.4,,97221.6,-19848.0,,True,,True,True,,True,True
New Mexico,23849,55573.0,,53437.0,,56290.0,45657.0,,46597.2,29115.0,31724.0,,29588.0,,32441.0,21808.0,,22748.2,5266.0,,True,,False,True,,True,True
New York,458126,767081.0,,524889.4,,663616.0,910486.3,,642999.8,441487.0,308955.0,,66763.4,,205490.0,452360.3,,184873.8,-16639.0,,True,,True,False,,True,True
North Carolina,204350,374297.0,,376473.5,,415515.0,373072.1,,360173.3,235972.0,169947.0,,172123.5,,211165.0,168722.1,,155823.3,31622.0,,False,,False,True,,True,True
North Dakota,4652,8092.0,,7730.4,,14732.0,2361.4,,3117.6,3505.0,3440.0,,3078.4,,10080.0,-2290.6,,-1534.4,-1147.0,,True,,False,True,,True,True
Ohio,156229,353710.0,,321197.3,,376920.0,225574.5,,263587.9,204112.0,197481.0,,164968.3,,220691.0,69345.5,,107358.9,47883.0,,True,,False,True,,True,True
Oklahoma,76871,187530.0,,207143.0,,209294.0,183864.7,,108764.3,106126.0,110659.0,,130272.0,,132423.0,106993.7,,31893.3,29255.0,,False,,False,True,,True,True
Oregon,24667,55552.0,,58494.0,,55785.0,41308.6,,33861.5,34893.0,30885.0,,33827.0,,31118.0,16641.6,,9194.5,10226.0,,False,,False,True,,True,True
Pennsylvania,183638,337484.0,,294669.7,,375458.0,248651.2,,215377.9,196514.0,153846.0,,111031.7,,191820.0,65013.2,,31739.9,12876.0,,True,,False,True,,True,True
Rhode Island,23678,47803.0,,43052.1,,47092.0,24814.5,,32899.6,19672.0,24125.0,,19374.1,,23414.0,1136.5,,9221.6,-4006.0,,True,,True,True,,True,True
South Carolina,142035,226366.0,,219209.5,,219659.0,244474.7,,221978.9,133706.0,84331.0,,77174.5,,77624.0,102439.7,,79943.9,-8329.0,,True,,True,False,,True,True
South Dakota,8100,16639.0,,15157.2,,18270.0,6676.2,,12336.5,6978.0,8539.0,,7057.2,,10170.0,-1423.8,,4236.5,-1122.0,,True,,False,True,,True,True
Tennessee,101359,240779.0,,214426.6,,269962.0,129094.8,,172387.0,133567.0,139420.0,,113067.6,,168603.0,27735.8,,71028.0,32208.0,,True,,False,True,,True,True
Texas,580029,1125229.0,,1087247.8,,1118798.0,1059397.7,,721937.0,588499.0,545200.0,,507218.8,,538769.0,479368.7,,141908.0,8470.0,,True,,True,True,,True,True
Utah,52186,129703.0,,131445.4,,146465.0,81046.1,,52122.1,64976.0,77517.0,,79259.4,,94279.0,28860.1,,-63.9,12790.0,,False,,False,True,,True,True
Vermont,6049,7875.0,,8647.2,,9198.0,30333.2,,1617.4,5813.0,1826.0,,2598.2,,3149.0,24284.2,,-4431.6,-236.0,,False,,False,False,,False,True
Virginia,155146,249732.0,,276821.2,,224635.0,210665.4,,215087.4,101190.0,94586.0,,121675.2,,69489.0,55519.4,,59941.4,-53956.0,,False,,True,True,,True,True
Washington,58562,100625.0,,213519.0,,121246.0,306029.9,,113339.8,68661.0,42063.0,,154957.0,,62684.0,247467.9,,54777.8,10099.0,,False,,False,False,,False,True
West Virginia,25166,58422.0,,51041.6,,60299.0,38438.5,,32784.4,35495.0,33256.0,,25875.6,,35133.0,13272.5,,7618.4,10329.0,,True,,False,True,,True,True
Wisconsin,55000,126987.0,,138564.0,,123265.0,89129.6,,86794.0,62658.0,71987.0,,83564.0,,68265.0,34129.6,,31794.0,7658.0,,False,,True,True,,True,True
Wyoming,5696,16443.0,,16310.2,,17908.0,26925.7,,15880.1,6838.0,10747.0,,10614.2,,12212.0,21229.7,,10184.1,1142.0,,True,,False,False,,True,True
US,5186390,10955546.0,12434681.0,9245940.7,10772123.9,10945362.0,9175909.8,8951488.0,8942555.9,6099836.0,5769156.0,7248291.0,4059550.7,5585733.9,5758972.0,3989519.8,3765098.0,3756165.9,913446.0,False,True,True,True,True,True,True,True
