,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Indiana,107956,283760.0,,253244.7,,264693.0,178948.9,,293368.6,123432.0,175804.0,,145288.7,,156737.0,70992.9,,185412.6,15476.0,,True,,True,True,,False,True
Iowa,43358,98208.0,,86331.0,,87940.0,40341.3,,94365.8,35146.0,54850.0,,42973.0,,44582.0,-3016.7,,51007.8,-8212.0,,True,,True,True,,True,True
Kansas,53605,106672.0,,101197.4,,110042.0,227850.4,,88142.4,48789.0,53067.0,,47592.4,,56437.0,174245.4,,34537.4,-4816.0,,True,,False,False,,True,True
Kentucky,109787,211416.0,,209051.1,,182454.0,396233.3,,132989.5,87283.0,101629.0,,99264.1,,72667.0,286446.3,,23202.5,-22504.0,,True,,True,False,,True,True
Louisiana,91614,209248.0,,235248.0,,208192.0,263469.3,,176010.3,85786.0,117634.0,,143634.0,,116578.0,171855.3,,84396.3,-5828.0,,False,,True,False,,True,True
Maine,16620,30192.0,,30244.3,,27093.0,36473.0,,24157.7,18771.0,13572.0,,13624.3,,10473.0,19853.0,,7537.7,2151.0,,False,,True,False,,True,True
Maryland,83246,161544.0,,167324.4,,145564.0,158726.5,,186171.8,81112.0,78298.0,,84078.4,,62318.0,75480.5,,102925.8,-2134.0,,False,,True,True,,False,True
Massachusetts,162796,343632.0,,315940.5,,315092.0,340223.5,,391862.6,171337.0,180836.0,,153144.5,,152296.0,177427.5,,229066.6,8541.0,,True,,True,True,,False,True
Michigan,93519,195456.0,,146005.5,,200219.0,186458.8,,235212.5,91930.0,101937.0,,52486.5,,106700.0,92939.8,,141693.5,-1589.0,,True,,False,True,,False,True
Minnesota,54703,132648.0,,117014.4,,131740.0,62069.4,,124425.4,49333.0,77945.0,,62311.4,,77037.0,7366.4,,69722.4,-5370.0,,True,,True,True,,True,True
Mississippi,60453,132728.0,,116077.8,,135636.0,132974.9,,101296.6,54602.0,72275.0,,55624.8,,75183.0,72521.9,,40843.6,-5851.0,,True,,False,False,,True,True
Missouri,89224,173104.0,,166008.1,,172012.0,102018.4,,158688.5,75627.0,83880.0,,76784.1,,82788.0,12794.4,,69464.5,-13597.0,,True,,True,True,,True,True
Montana,14554,33264.0,,24660.2,,31707.0,20483.2,,17057.6,11209.0,18710.0,,10106.2,,17153.0,5929.2,,2503.6,-3345.0,,True,,True,True,,True,True
Nebraska,27033,58864.0,,56704.2,,56189.0,32541.4,,70000.5,24586.0,31831.0,,29671.2,,29156.0,5508.4,,42967.5,-2447.0,,True,,True,True,,False,True
Nevada,49651,139504.0,,118167.5,,111704.0,65539.1,,133613.6,57866.0,89853.0,,68516.5,,62053.0,15888.1,,83962.6,8215.0,,True,,True,True,,True,True
New Hampshire,24324,45320.0,,40209.7,,46277.0,95570.8,,29905.6,23513.0,20996.0,,15885.7,,21953.0,71246.8,,5581.6,-811.0,,True,,False,False,,True,True
New Jersey,230840,304384.0,,389656.1,,248174.0,256924.0,,191157.7,149746.0,73544.0,,158816.1,,17334.0,26084.0,,-39682.3,-81094.0,,False,,True,True,,True,False
New Mexico,31788,76600.0,,66589.6,,69249.0,59995.6,,57561.0,32247.0,44812.0,,34801.6,,37461.0,28207.6,,25773.0,459.0,,True,,True,True,,True,True
New York,567709,860952.0,,996504.7,,734085.0,1371425.2,,1565947.3,428343.0,293243.0,,428795.7,,166376.0,803716.2,,998238.3,-139366.0,,False,,True,False,,False,True
North Carolina,257821,447344.0,,455910.2,,503568.0,551790.5,,385979.7,253994.0,189523.0,,198089.2,,245747.0,293969.5,,128158.7,-3827.0,,False,,False,False,,True,True
North Dakota,5808,13336.0,,13430.1,,19342.0,4306.1,,12938.6,4511.0,7528.0,,7622.1,,13534.0,-1501.9,,7130.6,-1297.0,,False,,False,True,,True,True
Ohio,206759,450432.0,,411325.2,,473975.0,293249.6,,348639.1,223246.0,243673.0,,204566.2,,267216.0,86490.6,,141880.1,16487.0,,True,,False,True,,True,True
Oklahoma,103661,230560.0,,212534.6,,219417.0,201100.0,,169897.2,90770.0,126899.0,,108873.6,,115756.0,97439.0,,66236.2,-12891.0,,True,,True,True,,True,True
Oregon,32603,65024.0,,60433.9,,59008.0,71066.8,,42870.4,31345.0,32421.0,,27830.9,,26405.0,38463.8,,10267.4,-1258.0,,True,,True,False,,True,True
Pennsylvania,231850,453576.0,,370667.3,,427508.0,246844.6,,395240.6,217587.0,221726.0,,138817.3,,195658.0,14994.6,,163390.6,-14263.0,,True,,True,True,,True,True
Rhode Island,30507,77320.0,,63535.8,,53805.0,36831.6,,40714.0,14867.0,46813.0,,33028.8,,23298.0,6324.6,,10207.0,-15640.0,,True,,True,True,,True,True
South Carolina,174373,298928.0,,271559.5,,222244.0,318835.4,,259843.7,136121.0,124555.0,,97186.5,,47871.0,144462.4,,85470.7,-38252.0,,True,,True,False,,True,True
South Dakota,10477,24576.0,,19922.3,,23490.0,6275.6,,18316.3,8554.0,14099.0,,9445.3,,13013.0,-4201.4,,7839.3,-1923.0,,True,,True,True,,True,True
Tennessee,135756,338544.0,,328952.1,,437032.0,135428.2,,259856.3,144780.0,202788.0,,193196.1,,301276.0,-327.8,,124100.3,9024.0,,True,,False,True,,True,True
Texas,740776,1205872.0,,1251051.1,,1153367.0,1686879.1,,841418.6,532627.0,465096.0,,510275.1,,412591.0,946103.1,,100642.6,-208149.0,,False,,True,False,,True,True
Utah,70715,176552.0,,170230.6,,175492.0,92918.8,,105859.4,74669.0,105837.0,,99515.6,,104777.0,22203.8,,35144.4,3954.0,,True,,True,True,,True,True
Vermont,7174,8808.0,,8035.2,,10540.0,30031.5,,8715.3,5383.0,1634.0,,861.2,,3366.0,22857.5,,1541.3,-1791.0,,True,,False,False,,True,False
Virginia,190822,279680.0,,284709.9,,246338.0,324824.1,,149516.3,104051.0,88858.0,,93887.9,,55516.0,134002.1,,-41305.7,-86771.0,,False,,True,False,,True,True
Washington,72937,198744.0,,530389.8,,125444.0,585734.0,,153718.5,64111.0,125807.0,,457452.8,,52507.0,512797.0,,80781.5,-8826.0,,False,,True,False,,True,True
West Virginia,33512,83608.0,,73600.7,,83246.0,81568.7,,71371.1,41209.0,50096.0,,40088.7,,49734.0,48056.7,,37859.1,7697.0,,True,,True,True,,True,True
Wisconsin,73141,195856.0,,185620.2,,171820.0,57950.3,,170463.3,67951.0,122715.0,,112479.2,,98679.0,-15190.7,,97322.3,-5190.0,,True,,True,True,,True,True
Wyoming,8045,17168.0,,13819.1,,15922.0,17642.3,,20333.5,5825.0,9123.0,,5774.1,,7877.0,9597.3,,12288.5,-2220.0,,True,,True,False,,False,True
US,6751944,13648800.0,13779113.0,15170689.3,14025059.0,11665397.0,13414081.8,13594165.0,13982119.0,6326749.0,6896856.0,7027169.0,8418745.3,7273115.0,4913453.0,6662137.8,6842221.0,7230175.0,-425195.0,False,False,False,True,True,True,False,True
