,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Georgia,159620,314970.0,445088.0,,261814.0,321720.0,,,308013.0,135776.4,210304.4,252673.5,,297229.9,257795.0,155350.0,285468.0,,102194.0,162100.0,,,148393.0,-23843.6,50684.4,93053.5,,137609.9,98175.0,False,,True,False,,,True,True,True,True,,True,True
Hawaii,2824,4572.0,4257.0,,5298.8,14444.0,,,,1901.5,10401.4,3712.0,,3313.1,3105.0,1748.0,1433.0,,2474.8,11620.0,,,,-922.5,7577.4,888.0,,489.1,281.0,True,,False,False,,,,True,False,True,,True,True
Idaho,13606,24294.0,14772.0,,24337.5,9975.0,,,24041.0,6617.8,21091.0,12924.0,,15179.9,19068.0,10688.0,1166.0,,10731.5,-3631.0,,,10435.0,-6988.2,7485.0,-682.0,,1573.9,5462.0,True,,False,True,,,True,True,True,True,,True,True
Illinois,98660,203160.0,181523.0,,171111.6,28194.0,,,166380.0,50033.9,161183.0,144592.5,,118277.0,133098.0,104500.0,82863.0,,72451.6,-70466.0,,,67720.0,-48626.1,62523.0,45932.5,,19617.0,34438.0,True,,True,True,,,True,True,True,True,,True,True
Indiana,57997,128820.0,92640.0,,116041.6,67098.0,,,121748.0,24438.0,107716.5,82049.0,,175542.9,80925.0,70823.0,34643.0,,58044.6,9101.0,,,63751.0,-33559.0,49719.5,24052.0,,117545.9,22928.0,True,,True,True,,,True,True,True,True,,False,True
Iowa,26907,47244.0,46232.0,,43310.1,378458.0,,,35710.0,7595.0,35640.2,35116.0,,30997.4,30107.0,20337.0,19325.0,,16403.1,351551.0,,,8803.0,-19312.0,8733.2,8209.0,,4090.4,3200.0,True,,True,False,,,True,True,True,True,,True,True
Kansas,29280,63324.0,51564.0,,61154.6,31472.0,,,52542.0,25253.9,42746.9,37330.5,,31415.0,27097.0,34044.0,22284.0,,31874.6,2192.0,,,23262.0,-4026.1,13466.9,8050.5,,2135.0,-2183.0,True,,True,True,,,True,True,True,True,,True,True
Kentucky,65617,121458.0,127270.0,,128782.6,43901.0,,,110784.0,49618.2,84010.5,86146.0,,71509.2,84946.0,55841.0,61653.0,,63165.6,-21716.0,,,45167.0,-15998.8,18393.5,20529.0,,5892.2,19329.0,False,,False,True,,,True,True,True,True,,True,True
Louisiana,52790,92412.0,53256.0,,81016.2,70000.0,,,103271.0,43424.1,80962.6,63758.5,,86506.8,32761.0,39622.0,466.0,,28226.2,17210.0,,,50481.0,-9365.9,28172.6,10968.5,,33716.8,-20029.0,True,,True,True,,,False,True,True,True,,True,True
Maine,9041,20274.0,14679.0,,21061.0,11263.0,,,21821.0,15360.3,21158.1,17706.5,,17967.3,12746.0,11233.0,5638.0,,12020.0,2222.0,,,12780.0,6319.3,12117.1,8665.5,,8926.3,3705.0,True,,False,True,,,False,True,False,True,,True,True
Maryland,47303,91656.0,69687.0,,93523.3,913240.0,,,80824.0,37393.5,90564.7,67542.0,,70709.8,67878.0,44353.0,22384.0,,46220.3,865937.0,,,33521.0,-9909.5,43261.7,20239.0,,23406.8,20575.0,True,,False,False,,,True,True,True,True,,True,True
Massachusetts,93838,182202.0,199890.0,,174709.0,118137.0,,,195420.0,65631.2,99168.7,126737.0,,232982.4,124546.0,88364.0,106052.0,,80871.0,24299.0,,,101582.0,-28206.8,5330.7,32899.0,,139144.4,30708.0,False,,True,True,,,False,True,True,True,,False,True
Michigan,59326,89766.0,117316.0,,71117.8,19859.0,,,92990.0,21243.3,124949.1,61309.5,,95217.4,51365.0,30440.0,57990.0,,11791.8,-39467.0,,,33664.0,-38082.7,65623.1,1983.5,,35891.4,-7961.0,False,,True,False,,,False,False,False,True,,False,True
Minnesota,35308,52566.0,67061.0,,49465.7,6176.0,,,60764.0,9989.1,56751.2,36069.5,,29201.7,33319.0,17258.0,31753.0,,14157.7,-29132.0,,,25456.0,-25318.9,21443.2,761.5,,-6106.3,-1989.0,False,,True,False,,,False,False,False,True,,True,True
Mississippi,34298,72924.0,50810.0,,76334.2,48280.0,,,70553.0,31881.7,50357.1,48996.0,,46521.3,69672.0,38626.0,16512.0,,42036.2,13982.0,,,36255.0,-2416.3,16059.1,14698.0,,12223.3,35374.0,True,,False,True,,,True,True,True,True,,True,True
Missouri,50367,70842.0,42635.0,,67914.2,44636.0,,,64330.0,13839.0,60103.6,53471.5,,67122.0,42200.0,20475.0,-7732.0,,17547.2,-5731.0,,,13963.0,-36528.0,9736.6,3104.5,,16755.0,-8167.0,True,,True,True,,,True,False,True,True,,True,True
Montana,9246,14124.0,8566.0,,13362.6,4736.0,,,16292.0,3017.3,10642.7,9302.5,,6394.6,11137.0,4878.0,-680.0,,4116.6,-4510.0,,,7046.0,-6228.7,1396.7,56.5,,-2851.4,1891.0,True,,True,True,,,False,False,True,True,,True,True
Nebraska,15799,35664.0,78487.0,,29390.8,2664.0,,,23253.0,5486.0,29433.4,31304.0,,47584.6,24448.0,19865.0,62688.0,,13591.8,-13135.0,,,7454.0,-10313.0,13634.4,15505.0,,31785.6,8649.0,False,,True,True,,,True,True,True,True,,False,True
Nevada,26247,57738.0,85772.0,,57167.6,29967.0,,,52437.0,17994.7,45992.1,39372.0,,47211.5,33087.0,31491.0,59525.0,,30920.6,3720.0,,,26190.0,-8252.3,19745.1,13125.0,,20964.5,6840.0,False,,True,True,,,True,True,True,True,,True,True
New Hampshire,14700,33786.0,45888.0,,29549.3,10724.0,,,32780.0,16112.9,23173.2,30585.5,,25137.8,29059.0,19086.0,31188.0,,14849.3,-3976.0,,,18080.0,1412.9,8473.2,15885.5,,10437.8,14359.0,False,,True,True,,,True,True,True,True,,True,True
New Jersey,152554,212682.0,234006.0,,219981.6,138097.0,,,201568.0,116425.6,151656.6,194400.5,,135257.1,163245.0,60128.0,81452.0,,67427.6,-14457.0,,,49014.0,-36128.4,-897.4,41846.5,,-17296.9,10691.0,False,,False,True,,,True,True,True,True,,True,True
New Mexico,18163,34116.0,19418.0,,31027.1,23074.0,,,35034.0,11593.4,25634.2,24241.0,,26690.1,20618.0,15953.0,1255.0,,12864.1,4911.0,,,16871.0,-6569.6,7471.2,6078.0,,8527.1,2455.0,True,,True,True,,,False,True,True,True,,True,True
New York,363681,566670.0,828226.0,,367535.3,698755.0,,,504757.0,407407.6,469290.6,453299.5,,459558.9,444122.0,202989.0,464545.0,,3854.3,335074.0,,,141076.0,43726.6,105609.6,89618.5,,95877.9,80441.0,False,,True,False,,,True,True,True,True,,True,True
North Carolina,159460,269340.0,285056.0,,261421.7,155794.0,,,295902.0,119111.1,200496.5,274646.0,,235775.4,275018.0,109880.0,125596.0,,101961.7,-3666.0,,,136442.0,-40348.9,41036.5,115186.0,,76315.4,115558.0,False,,True,True,,,False,True,True,False,,True,False
North Dakota,3646,6036.0,2962.0,,6376.6,382.0,,,7668.0,1906.4,5607.9,3715.5,,11384.7,3916.0,2390.0,-684.0,,2730.6,-3264.0,,,4022.0,-1739.6,1961.9,69.5,,7738.7,270.0,True,,False,False,,,False,True,True,True,,False,True
Ohio,117895,230004.0,187026.0,,213771.7,72413.0,,,239705.0,83375.5,157564.9,158160.5,,196899.6,149773.0,112109.0,69131.0,,95876.7,-45482.0,,,121810.0,-34519.5,39669.9,40265.5,,79004.6,31878.0,True,,True,True,,,False,True,True,True,,True,True
Oklahoma,58387,110904.0,92242.0,,118392.5,79514.0,,,115008.0,37817.7,66502.4,74751.5,,82294.0,72071.0,52517.0,33855.0,,60005.5,21127.0,,,56621.0,-20569.3,8115.4,16364.5,,23907.0,13684.0,True,,False,True,,,False,True,True,True,,True,True
Oregon,19479,31128.0,19019.0,,33433.7,25344.0,,,32494.0,20115.6,34037.2,17387.5,,23715.6,17821.0,11649.0,-460.0,,13954.7,5865.0,,,13015.0,636.6,14558.2,-2091.5,,4236.6,-1658.0,True,,False,True,,,False,True,False,True,,True,True
Pennsylvania,145542,228576.0,245860.0,,190949.1,70550.0,,,230822.0,82389.0,216494.0,155671.5,,188012.6,158899.0,83034.0,100318.0,,45407.1,-74992.0,,,85280.0,-63153.0,70952.0,10129.5,,42470.6,13357.0,False,,True,True,,,False,True,True,True,,True,True
Rhode Island,18386,31752.0,47664.0,,27275.4,4250.0,,,36381.0,4377.4,21136.1,27288.0,,15808.7,7051.0,13366.0,29278.0,,8889.4,-14136.0,,,17995.0,-14008.6,2750.1,8902.0,,-2577.3,-11335.0,False,,True,False,,,False,False,True,True,,True,True
South Carolina,110668,188202.0,163589.0,,181408.2,367179.0,,,187282.0,111799.3,108538.9,147389.0,,189685.8,157199.0,77534.0,52921.0,,70740.2,256511.0,,,76614.0,1131.3,-2129.1,36721.0,,79017.8,46531.0,True,,True,False,,,True,True,True,True,,False,True
South Dakota,6415,10110.0,4323.0,,10134.0,7268.0,,,10650.0,2752.6,8893.6,5503.0,,8956.9,6616.0,3695.0,-2092.0,,3719.0,853.0,,,4235.0,-3662.4,2478.6,-912.0,,2541.9,201.0,True,,False,True,,,False,True,True,True,,True,True
Tennessee,76330,150174.0,104827.0,,129681.9,85894.0,,,147944.0,29525.8,109477.9,84013.0,,134359.0,89959.0,73844.0,28497.0,,53351.9,9564.0,,,71614.0,-46804.2,33147.9,7683.0,,58029.0,13629.0,True,,True,True,,,True,True,True,True,,True,True
Texas,450218,778866.0,944475.0,,799727.7,741463.0,,,866937.0,678489.6,630340.4,555283.0,,544349.5,489699.0,328648.0,494257.0,,349509.7,291245.0,,,416719.0,228271.6,180122.4,105065.0,,94131.5,39481.0,False,,False,True,,,False,True,True,True,,True,True
Utah,39549,75822.0,65262.0,,83182.3,190619.0,,,80032.0,15712.2,47941.4,52160.5,,37232.5,42350.0,36273.0,25713.0,,43633.3,151070.0,,,40483.0,-23836.8,8392.4,12611.5,,-2316.5,2801.0,True,,False,False,,,False,True,True,True,,True,True
Vermont,5056,5958.0,4375.0,,7650.4,13068.0,,,6614.0,4386.8,6811.8,5311.0,,1529.8,5230.0,902.0,-681.0,,2594.4,8012.0,,,1558.0,-669.2,1755.8,255.0,,-3526.2,174.0,True,,False,False,,,False,True,False,True,,False,True
Virginia,115882,235584.0,224552.0,,256776.0,222568.0,,,156377.0,249373.9,166348.8,148604.0,,121023.5,179738.0,119702.0,108670.0,,140894.0,106686.0,,,40495.0,133491.9,50466.8,32722.0,,5141.5,63856.0,True,,False,True,,,True,False,True,True,,True,True
Washington,44334,85368.0,155410.0,,63355.9,63428.0,,,70603.0,22327.2,86976.2,66984.0,,61361.8,41747.0,41034.0,111076.0,,19021.9,19094.0,,,26269.0,-22006.8,42642.2,22650.0,,17027.8,-2587.0,False,,True,True,,,True,True,False,True,,True,True
West Virginia,18538,39768.0,29017.0,,36077.8,38609.0,,,41213.0,16877.2,26631.4,25609.0,,26188.8,26934.0,21230.0,10479.0,,17539.8,20071.0,,,22675.0,-1660.8,8093.4,7071.0,,7650.8,8396.0,True,,True,True,,,False,True,True,True,,True,True
Wisconsin,41272,82368.0,69287.0,,79829.5,27079.0,,,77368.0,24124.2,83389.8,52659.5,,50234.1,48588.0,41096.0,28015.0,,38557.5,-14193.0,,,36096.0,-17147.8,42117.8,11387.5,,8962.1,7316.0,True,,True,True,,,True,True,False,True,,True,True
Wyoming,4181,9090.0,7417.0,,10199.6,16707.0,,,11057.0,3003.7,5693.3,7692.0,,6378.8,4409.0,4909.0,3236.0,,6018.6,12526.0,,,6876.0,-1177.3,1512.3,3511.0,,2197.8,228.0,True,,False,False,,,False,True,True,True,,True,True
US,3950215,7413648.0,7639480.0,6718290.0,5512143.8,9246762.0,6900272.1,7068151.0,6884423.0,3710110.2,5849128.0,4961674.0,5930075.0,6664870.9,5097251.0,3463433.0,3689265.0,2768075.0,1561928.8,5296547.0,2950057.1,3117936.0,2934208.0,-240104.8,1898913.0,1011459.0,1979860.0,2714655.9,1147036.0,False,True,True,False,True,True,True,True,True,True,True,True,True
