,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01075,141,144.0,32.0,,,,,,314.0,47.6,145.2,74.0,,,,,3.0,-109.0,,,,,,173.0,-93.4,4.2,-67.0,,,,,False,,,,,,False,False,False,False,,,,
01077,787,1914.0,1302.0,,,,,,2116.0,714.4,1361.7,1268.5,,837.7,,,1127.0,515.0,,,,,,1329.0,-72.6,574.7,481.5,,50.7,,,True,,,,,,False,True,True,True,,True,,
01079,324,648.0,327.0,,,,,,915.0,141.0,453.3,395.0,,305.6,,,324.0,3.0,,,,,,591.0,-183.0,129.3,71.0,,-18.4,,,True,,,,,,False,True,True,True,,True,,
01081,1933,4464.0,2108.0,,,,,,2739.0,2829.1,3172.2,3789.0,,2729.9,2121.0,,2531.0,175.0,,,,,,806.0,896.1,1239.2,1856.0,,796.9,188.0,,True,,,,,,True,True,True,True,,True,True,
01083,1115,2148.0,1298.0,,,,,,2093.0,795.5,1376.2,1429.5,,2123.6,,,1033.0,183.0,,,,,,978.0,-319.5,261.2,314.5,,1008.6,,,True,,,,,,True,True,True,True,,True,,
01085,184,318.0,182.0,,,,,,123.0,67.0,200.2,270.0,,,,,134.0,-2.0,,,,,,-61.0,-117.0,16.2,86.0,,,,,True,,,,,,True,True,True,True,,,,
01087,259,456.0,580.0,,,,,,221.0,249.6,274.3,384.0,,,,,197.0,321.0,,,,,,-38.0,-9.4,15.3,125.0,,,,,False,,,,,,True,True,True,True,,,,
01089,4516,7836.0,17832.0,,,,,,7688.0,2797.4,6441.5,5651.5,,5012.3,6766.0,,3320.0,13316.0,,,,,,3172.0,-1718.6,1925.5,1135.5,,496.3,2250.0,,False,,,,,,True,True,True,True,,True,True,
01091,465,624.0,358.0,,,,,,419.0,98.2,328.1,597.0,,,,,159.0,-107.0,,,,,,-46.0,-366.8,-136.9,132.0,,,,,True,,,,,,True,False,True,True,,,,
01093,360,510.0,102.0,,,,,,705.0,295.2,394.6,334.0,,134.4,,,150.0,-258.0,,,,,,345.0,-64.8,34.6,-26.0,,-225.6,,,False,,,,,,False,True,True,True,,False,,
01095,1038,1572.0,861.0,,,,,,2521.0,541.6,1334.4,909.5,,1256.1,,,534.0,-177.0,,,,,,1483.0,-496.4,296.4,-128.5,,218.1,,,True,,,,,,False,True,True,True,,True,,
01097,4961,8262.0,8921.0,,,,,,8516.0,1745.2,6799.1,7545.0,,5966.8,4943.0,,3301.0,3960.0,,,,,,3555.0,-3215.8,1838.1,2584.0,,1005.8,-18.0,,False,,,,,,False,True,True,True,,True,True,
01099,148,420.0,90.0,,,,,,356.0,95.7,319.1,354.0,,,,,272.0,-58.0,,,,,,208.0,-52.3,171.1,206.0,,,,,True,,,,,,True,True,True,True,,,,
01101,2916,5982.0,14754.0,,,,,,3567.0,1876.3,4361.2,4902.0,,5446.0,3865.0,,3066.0,11838.0,,,,,,651.0,-1039.7,1445.2,1986.0,,2530.0,949.0,,False,,,,,,True,True,True,True,,True,True,
01103,1191,2514.0,2300.0,,,,,,3022.0,815.4,1751.5,1534.0,,1369.6,,,1323.0,1109.0,,,,,,1831.0,-375.6,560.5,343.0,,178.6,,,True,,,,,,False,True,True,True,,True,,
01105,104,180.0,84.0,,,,,,143.0,190.8,140.4,122.0,,,,,76.0,-20.0,,,,,,39.0,86.8,36.4,18.0,,,,,True,,,,,,True,False,True,True,,,,
01107,269,198.0,50.0,,,,,,457.0,67.8,258.0,61.0,,,,,-71.0,-219.0,,,,,,188.0,-201.2,-11.0,-208.0,,,,,False,,,,,,False,False,True,False,,,,
01109,311,888.0,176.0,,,,,,567.0,209.1,552.0,692.0,,552.7,,,577.0,-135.0,,,,,,256.0,-101.9,241.0,381.0,,241.7,,,True,,,,,,True,True,True,True,,True,,
01111,196,402.0,381.0,,,,,,417.0,160.8,282.4,336.0,,,,,206.0,185.0,,,,,,221.0,-35.2,86.4,140.0,,,,,True,,,,,,False,True,True,True,,,,
01113,533,1644.0,2049.0,,,,,,966.0,2166.9,1016.9,1979.5,,1207.6,,,1111.0,1516.0,,,,,,433.0,1633.9,483.9,1446.5,,674.6,,,False,,,,,,True,False,True,False,,True,,
01115,1242,1836.0,725.0,,,,,,1825.0,618.1,1343.9,1471.0,,810.4,,,594.0,-517.0,,,,,,583.0,-623.9,101.9,229.0,,-431.6,,,True,,,,,,True,False,True,True,,True,,
01117,3002,4962.0,9804.0,,,,,,4547.0,1708.3,3236.2,3551.5,,2761.8,2762.0,,1960.0,6802.0,,,,,,1545.0,-1293.7,234.2,549.5,,-240.2,-240.0,,False,,,,,,True,True,True,True,,True,True,
01119,104,102.0,0.0,,,,,,206.0,1.5,114.2,29.0,,,,,-2.0,-104.0,,,,,,102.0,-102.5,10.2,-75.0,,,,,False,,,,,,False,False,False,False,,,,
01121,1198,1800.0,390.0,,,,,,1651.0,835.8,1247.9,1667.0,,1469.8,,,602.0,-808.0,,,,,,453.0,-362.2,49.9,469.0,,271.8,,,False,,,,,,True,True,True,True,,True,,
01123,547,3216.0,157.0,,,,,,660.0,61.7,1224.2,226.0,,1381.0,,,2669.0,-390.0,,,,,,113.0,-485.3,677.2,-321.0,,834.0,,,True,,,,,,True,True,True,True,,True,,
01125,2899,5040.0,3820.0,,,,,,4447.0,714.2,3156.1,2816.5,,4188.5,2101.0,,2141.0,921.0,,,,,,1548.0,-2184.8,257.1,-82.5,,1289.5,-798.0,,True,,,,,,True,False,True,True,,True,True,
01127,572,888.0,119.0,,,,,,1615.0,157.0,832.3,448.0,,1110.2,,,316.0,-453.0,,,,,,1043.0,-415.0,260.3,-124.0,,538.2,,,False,,,,,,False,False,True,True,,False,,
01129,162,282.0,72.0,,,,,,376.0,79.8,188.7,229.0,,,,,120.0,-90.0,,,,,,214.0,-82.2,26.7,67.0,,,,,True,,,,,,False,True,True,True,,,,
01131,154,318.0,282.0,,,,,,133.0,153.5,204.9,287.0,,,,,164.0,128.0,,,,,,-21.0,-0.5,50.9,133.0,,,,,True,,,,,,True,True,True,True,,,,
01133,260,468.0,176.0,,,,,,602.0,129.7,350.4,223.0,,136.2,,,208.0,-84.0,,,,,,342.0,-130.3,90.4,-37.0,,-123.8,,,True,,,,,,False,True,True,True,,True,,
02013,292,186.0,,,,,,,,2.9,102.9,6.0,,,,,-106.0,,,,,,,,-289.1,-189.1,-286.0,,,,,,,,,,,,False,False,False,,,,
02016,335,288.0,,,,,,,,427.3,246.9,135.0,,,,,-47.0,,,,,,,,92.3,-88.1,-200.0,,,,,,,,,,,,False,False,False,,,,
02020,1893,2706.0,1767.0,,,,,,,654.4,2254.8,1487.0,,4155.6,1337.0,,813.0,-126.0,,,,,,,-1238.6,361.8,-406.0,,2262.6,-556.0,,True,,,,,,,False,True,True,,False,True,
02050,452,1248.0,0.0,,,,,,,257.9,449.9,796.0,,,,,796.0,-452.0,,,,,,,-194.1,-2.1,344.0,,,,,True,,,,,,,True,True,True,,,,
02060,0,0.0,0.0,,,,,,,0.1,0.0,,,,,,0.0,0.0,,,,,,,0.1,0.0,,,,,,True,,,,,,,False,True,,,,,
02068,11,6.0,0.0,,,,,,,5.1,7.9,9.0,,,,,-5.0,-11.0,,,,,,,-5.9,-3.1,-2.0,,,,,False,,,,,,,False,True,True,,,,
02070,46,78.0,,,,,,,,4.0,35.9,14.0,,,,,32.0,,,,,,,,-42.0,-10.1,-32.0,,,,,,,,,,,,False,True,False,,,,
02090,550,1062.0,,,,,,,,407.3,692.0,609.0,,583.8,,,512.0,,,,,,,,-142.7,142.0,59.0,,33.8,,,,,,,,,,True,True,True,,True,,
02100,4,6.0,0.0,,,,,,,90.6,7.7,0.0,,,,,2.0,-4.0,,,,,,,86.6,3.7,-4.0,,,,,False,,,,,,,False,False,False,,,,
02105,0,0.0,0.0,,,,,,,0.2,0.0,,,,,,0.0,0.0,,,,,,,0.2,0.0,,,,,,True,,,,,,,False,True,,,,,
02110,137,192.0,37.0,,,,,,,139.4,101.8,114.0,,,,,55.0,-100.0,,,,,,,2.4,-35.2,-23.0,,,,,False,,,,,,,True,True,True,,,,
02122,158,336.0,324.0,,,,,,,117.2,276.6,189.0,,323.3,,,178.0,166.0,,,,,,,-40.8,118.6,31.0,,165.3,,,True,,,,,,,True,True,True,,True,,
02130,103,30.0,1.0,,,,,,,7.0,40.0,22.0,,,,,-73.0,-102.0,,,,,,,-96.0,-63.0,-81.0,,,,,False,,,,,,,False,True,False,,,,
02150,41,144.0,,,,,,,,55.5,124.7,81.0,,,,,103.0,,,,,,,,14.5,83.7,40.0,,,,,,,,,,,,True,True,True,,,,
02158,138,606.0,,,,,,,,239.1,240.9,655.0,,,,,468.0,,,,,,,,101.1,102.9,517.0,,,,,,,,,,,,True,True,False,,,,
02164,12,42.0,,,,,,,,139.4,19.9,17.0,,,,,30.0,,,,,,,,127.4,7.9,5.0,,,,,,,,,,,,False,True,True,,,,
02170,1528,1290.0,1055.0,,,,,,,358.1,821.8,869.0,,2161.1,,,-238.0,-473.0,,,,,,,-1169.9,-706.2,-659.0,,633.1,,,False,,,,,,,False,False,False,,False,,
02180,24,66.0,,,,,,,,244.6,33.5,11.0,,,,,42.0,,,,,,,,220.6,9.5,-13.0,,,,,,,,,,,,False,True,True,,,,
02185,43,114.0,0.0,,,,,,,455.6,176.8,11.0,,,,,71.0,-43.0,,,,,,,412.6,133.8,-32.0,,,,,True,,,,,,,False,False,True,,,,
02188,31,252.0,,,,,,,,44.4,172.8,185.0,,,,,221.0,,,,,,,,13.4,141.8,154.0,,,,,,,,,,,,True,True,True,,,,
02195,92,6.0,2.0,,,,,,,20.5,19.5,17.0,,,,,-86.0,-90.0,,,,,,,-71.5,-72.5,-75.0,,,,,False,,,,,,,True,True,True,,,,
02198,7,0.0,0.0,,,,,,,0.3,5.7,6.0,,,,,-7.0,-7.0,,,,,,,-6.7,-1.3,-1.0,,,,,False,,,,,,,True,True,True,,,,
02220,26,48.0,0.0,,,,,,,108.4,34.3,5.0,,,,,22.0,-26.0,,,,,,,82.4,8.3,-21.0,,,,,False,,,,,,,False,True,True,,,,
02230,4,0.0,0.0,,,,,,,0.0,4.4,0.0,,,,,-4.0,-4.0,,,,,,,-4.0,0.4,-4.0,,,,,False,,,,,,,True,True,False,,,,
02240,73,72.0,,,,,,,,28.3,15.7,43.0,,,,,-1.0,,,,,,,,-44.7,-57.3,-30.0,,,,,,,,,,,,False,False,False,,,,
02261,50,72.0,,,,,,,,48.7,72.7,28.0,,,,,22.0,,,,,,,,-1.3,22.7,-22.0,,,,,,,,,,,,True,False,False,,,,
02275,5,6.0,0.0,,,,,,,733.2,14.9,0.0,,,,,1.0,-5.0,,,,,,,728.2,9.9,-5.0,,,,,False,,,,,,,False,False,False,,,,
02282,5,18.0,0.0,,,,,,,0.9,6.8,12.0,,,,,13.0,-5.0,,,,,,,-4.1,1.8,7.0,,,,,True,,,,,,,True,True,True,,,,
02290,76,54.0,,,,,,,,21.4,44.7,13.0,,,,,-22.0,,,,,,,,-54.6,-31.3,-63.0,,,,,,,,,,,,False,False,False,,,,
04001,1755,1986.0,2168.0,,,,,,2324.0,521.8,1444.4,1862.5,,907.2,,,231.0,413.0,,,,,,569.0,-1233.2,-310.6,107.5,,-847.8,,,False,,,,,,False,False,False,True,,False,,
04003,1243,3276.0,2383.0,,,,,,2863.0,681.7,2533.0,1796.5,,2662.1,,,2033.0,1140.0,,,,,,1620.0,-561.3,1290.0,553.5,,1419.1,,,True,,,,,,True,True,True,True,,True,,
04005,2101,4950.0,4890.0,,,,,,2894.0,2656.7,3402.7,3380.0,,2588.4,3048.0,,2849.0,2789.0,,,,,,793.0,555.7,1301.7,1279.0,,487.4,947.0,,True,,,,,,True,True,True,True,,True,True,
04007,715,2226.0,1783.0,,,,,,1891.0,542.5,1222.3,1996.0,,1066.8,,,1511.0,1068.0,,,,,,1176.0,-172.5,507.3,1281.0,,351.8,,,True,,,,,,True,True,True,True,,True,,
04009,550,2778.0,2301.0,,,,,,1217.0,313.0,1296.2,1426.0,,1195.6,,,2228.0,1751.0,,,,,,667.0,-237.0,746.2,876.0,,645.6,,,True,,,,,,True,True,True,True,,True,,
04011,52,174.0,,,,,,,355.0,25.7,100.2,85.0,,,,,122.0,,,,,,,303.0,-26.3,48.2,33.0,,,,,,,,,,,False,True,True,True,,,,
04012,319,870.0,657.0,,,,,,1025.0,210.9,518.7,605.0,,,,,551.0,338.0,,,,,,706.0,-108.1,199.7,286.0,,,,,True,,,,,,False,True,True,True,,,,
04013,70780,186894.0,316669.0,,,,,,162081.0,68663.7,146823.5,136749.0,,83675.3,100901.0,,116114.0,245889.0,,,,,,91301.0,-2116.3,76043.5,65969.0,,12895.3,30121.0,,False,,,,,,True,True,True,True,,True,True,
04015,3273,8874.0,6709.0,,,,,,3516.0,1561.0,5165.4,5341.5,,2551.5,5676.0,,5601.0,3436.0,,,,,,243.0,-1712.0,1892.4,2068.5,,-721.5,2403.0,,True,,,,,,True,True,True,True,,True,True,
04017,1843,4224.0,1701.0,,,,,,3709.0,3613.8,2556.7,3019.0,,2310.7,,,2381.0,-142.0,,,,,,1866.0,1770.8,713.7,1176.0,,467.7,,,True,,,,,,True,True,True,True,,True,,
04019,14625,41052.0,67366.0,,,,,,34156.0,18619.8,28980.9,32455.5,,33334.8,20936.0,,26427.0,52741.0,,,,,,19531.0,3994.8,14355.9,17830.5,,18709.8,6311.0,,False,,,,,,True,True,True,True,,True,True,
04021,7382,17484.0,11400.0,,,,,,15479.0,5380.8,12535.2,18169.5,,12020.7,9938.0,,10102.0,4018.0,,,,,,8097.0,-2001.2,5153.2,10787.5,,4638.7,2556.0,,True,,,,,,True,True,True,False,,True,True,
04023,403,1530.0,627.0,,,,,,2280.0,483.9,971.9,1104.0,,772.4,,,1127.0,224.0,,,,,,1877.0,80.9,568.9,701.0,,369.4,,,True,,,,,,False,True,True,True,,True,,
04025,2376,5994.0,3274.0,,,,,,4513.0,2298.5,5019.9,4462.0,,2056.4,2266.0,,3618.0,898.0,,,,,,2137.0,-77.5,2643.9,2086.0,,-319.6,-110.0,,True,,,,,,True,True,True,True,,True,True,
04027,2411,8424.0,1464.0,,,,,,8650.0,2258.8,5628.8,4318.0,,2951.2,2880.0,,6013.0,-947.0,,,,,,6239.0,-152.2,3217.8,1907.0,,540.2,469.0,,True,,,,,,False,True,True,True,,True,True,
05001,328,768.0,660.0,,,,,,407.0,254.7,366.2,570.5,,,,,440.0,332.0,,,,,,79.0,-73.3,38.2,242.5,,,,,True,,,,,,True,True,True,True,,,,
05003,277,552.0,590.0,,,,,,501.0,161.3,299.0,529.0,,,,,275.0,313.0,,,,,,224.0,-115.7,22.0,252.0,,,,,False,,,,,,True,True,True,True,,,,
05005,368,474.0,68.0,,,,,,519.0,98.7,434.0,318.0,,,,,106.0,-300.0,,,,,,151.0,-269.3,66.0,-50.0,,,,,False,,,,,,False,False,True,True,,,,
05007,3435,6666.0,1337.0,,,,,,5740.0,1354.3,5584.4,4210.0,,8151.8,2070.0,,3231.0,-2098.0,,,,,,2305.0,-2080.7,2149.4,775.0,,4716.8,-1365.0,,True,,,,,,True,True,True,True,,False,True,
05009,515,954.0,557.0,,,,,,504.0,262.3,499.8,949.0,,,,,439.0,42.0,,,,,,-11.0,-252.7,-15.2,434.0,,,,,True,,,,,,True,True,True,True,,,,
05011,127,264.0,96.0,,,,,,290.0,72.6,198.8,131.0,,,,,137.0,-31.0,,,,,,163.0,-54.4,71.8,4.0,,,,,True,,,,,,False,True,True,True,,,,
05013,89,150.0,32.0,,,,,,162.0,56.2,81.1,127.0,,,,,61.0,-57.0,,,,,,73.0,-32.8,-7.9,38.0,,,,,True,,,,,,False,True,True,True,,,,
05015,260,450.0,88.0,,,,,,391.0,147.0,383.8,287.0,,,,,190.0,-172.0,,,,,,131.0,-113.0,123.8,27.0,,,,,True,,,,,,True,True,True,True,,,,
05017,64,186.0,,,,,,,219.0,27.4,132.3,180.0,,,,,122.0,,,,,,,155.0,-36.6,68.3,116.0,,,,,,,,,,,False,True,True,True,,,,
05019,318,576.0,169.0,,,,,,583.0,251.4,301.2,571.0,,,,,258.0,-149.0,,,,,,265.0,-66.6,-16.8,253.0,,,,,True,,,,,,False,True,True,True,,,,
05021,171,324.0,99.0,,,,,,208.0,67.5,214.9,219.0,,,,,153.0,-72.0,,,,,,37.0,-103.5,43.9,48.0,,,,,True,,,,,,True,True,True,True,,,,
05023,209,510.0,90.0,,,,,,423.0,98.1,299.9,303.0,,,,,301.0,-119.0,,,,,,214.0,-110.9,90.9,94.0,,,,,True,,,,,,True,True,True,True,,,,
05025,190,342.0,269.0,,,,,,178.0,132.3,144.6,339.0,,,,,152.0,79.0,,,,,,-12.0,-57.7,-45.4,149.0,,,,,True,,,,,,True,True,True,True,,,,
05027,428,396.0,118.0,,,,,,638.0,124.3,307.9,425.0,,,,,-32.0,-310.0,,,,,,210.0,-303.7,-120.1,-3.0,,,,,False,,,,,,False,False,False,True,,,,
05029,277,696.0,207.0,,,,,,418.0,128.2,384.7,362.5,,,,,419.0,-70.0,,,,,,141.0,-148.8,107.7,85.5,,,,,True,,,,,,True,True,True,True,,,,
05031,1045,2184.0,788.0,,,,,,2085.0,505.7,1995.8,1585.5,,1970.7,,,1139.0,-257.0,,,,,,1040.0,-539.3,950.8,540.5,,925.7,,,True,,,,,,True,True,True,True,,True,,
05033,933,2172.0,1613.0,,,,,,1766.0,536.7,1379.2,1602.0,,,,,1239.0,680.0,,,,,,833.0,-396.3,446.2,669.0,,,,,True,,,,,,True,True,True,True,,,,
05035,570,1128.0,346.0,,,,,,740.0,446.8,802.8,564.0,,802.7,,,558.0,-224.0,,,,,,170.0,-123.2,232.8,-6.0,,232.7,,,True,,,,,,True,True,True,True,,True,,
05037,133,492.0,204.0,,,,,,345.0,110.8,257.9,319.0,,,,,359.0,71.0,,,,,,212.0,-22.2,124.9,186.0,,,,,True,,,,,,True,True,True,True,,,,
