,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
01021,302,312.0,,320.0,,282.0,245.0,184.0,,,,,293.4,,319.9,,,549.0,378.9,,232.9,91.0,,154.0,223.0,,,,301.0,330.1,,,,,,194.9,,,,276.1,10.0,,18.0,,-20.0,-57.0,-118.0,,,,,-8.6,,17.9,,,247.0,76.9,,-69.1,-211.0,,-148.0,-79.0,,,,-1.0,28.1,,,,,,-107.1,,,,-25.9,,False,,False,False,False,,,,,True,,False,,,False,False,,False,False,,False,False,,,,True,False,,,,,,False,,,,False
01023,17,40.0,,38.5,,40.0,59.0,44.0,,,,,41.5,,40.7,,,159.0,63.5,,44.6,,,24.0,22.5,,,,57.0,44.2,,,,,,,,,,87.3,23.0,,21.5,,23.0,42.0,27.0,,,,,24.5,,23.7,,,142.0,46.5,,27.6,,,7.0,5.5,,,,40.0,27.2,,,,,,,,,,70.3,,True,,False,False,False,,,,,False,,False,,,False,False,,False,,,True,True,,,,False,False,,,,,,,,,,False
01025,118,580.0,,578.7,,364.0,378.0,550.0,,,,,343.3,,118.2,,,282.0,1356.8,,336.7,,,268.0,317.5,,,,375.0,92.7,,,,,,369.8,,,,652.2,462.0,,460.7,,246.0,260.0,432.0,,,,,225.3,,0.2,,,164.0,1238.8,,218.7,,,150.0,199.5,,,,257.0,-25.3,,,,,,251.8,,,,534.2,,True,,True,True,True,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,,,,,,True,,,,False
01027,108,124.0,,132.3,,101.0,97.0,80.0,,,,,100.7,,101.0,,,160.0,72.5,,82.2,,,60.0,94.4,,,,108.0,150.4,,,,,,,,,,130.3,16.0,,24.3,,-7.0,-11.0,-28.0,,,,,-7.3,,-7.0,,,52.0,-35.5,,-25.8,,,-48.0,-13.6,,,,0.0,42.4,,,,,,,,,,22.3,,False,,True,True,False,,,,,True,,True,,,False,False,,False,,,False,True,,,,True,False,,,,,,,,,,False
01029,85,208.0,,191.3,,144.0,129.0,65.0,,,,,100.2,,80.0,,,190.0,248.7,,101.0,,,107.0,118.8,,,,152.0,189.2,,,,,,,,,,140.4,123.0,,106.3,,59.0,44.0,-20.0,,,,,15.2,,-5.0,,,105.0,163.7,,16.0,,,22.0,33.8,,,,67.0,104.2,,,,,,,,,,55.4,,True,,True,True,True,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,,,,,,,,,,True
01031,198,856.0,,887.8,,647.0,619.0,892.0,,,,,446.8,,357.5,,,620.0,968.9,,541.7,199.0,,553.0,530.4,,,,642.0,884.9,,,,,,795.0,,,,698.8,658.0,,689.8,,449.0,421.0,694.0,,,,,248.8,,159.5,,,422.0,770.9,,343.7,1.0,,355.0,332.4,,,,444.0,686.9,,,,,,597.0,,,,500.8,,False,,True,True,False,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,False,,,,,,True,,,,True
01033,156,628.0,,631.5,,557.0,468.0,661.0,,,,,431.9,,351.1,,,674.0,1108.7,,518.6,180.0,,342.0,393.4,,,,578.0,354.5,,,,,,366.0,,,,697.8,472.0,,475.5,,401.0,312.0,505.0,,,,,275.9,,195.1,,,518.0,952.7,,362.6,24.0,,186.0,237.4,,,,422.0,198.5,,,,,,210.0,,,,541.8,,False,,True,True,False,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,,,,,,True,,,,False
01035,41,120.0,,122.5,,103.0,95.0,112.0,,,,,79.0,,82.5,,,134.0,77.1,,66.9,,,90.0,75.0,,,,98.0,113.2,,,,,,,,,,116.2,79.0,,81.5,,62.0,54.0,71.0,,,,,38.0,,41.5,,,93.0,36.1,,25.9,,,49.0,34.0,,,,57.0,72.2,,,,,,,,,,75.2,,False,,True,True,True,,,,,True,,True,,,False,True,,True,,,True,True,,,,True,True,,,,,,,,,,True
01037,157,288.0,,266.6,,184.0,195.0,359.0,,,,,60.2,,147.5,,,122.0,632.3,,93.1,,,311.0,170.6,,,,166.0,105.1,,,,,,,,,,202.1,131.0,,109.6,,27.0,38.0,202.0,,,,,-96.8,,-9.5,,,-35.0,475.3,,-63.9,,,154.0,13.6,,,,9.0,-51.9,,,,,,,,,,45.1,,True,,True,True,False,,,,,True,,True,,,True,False,,True,,,False,True,,,,True,True,,,,,,,,,,True
01039,273,800.0,,836.6,,496.0,493.0,1062.0,,,,,323.0,,306.8,,,431.0,1385.9,,374.1,183.0,,521.0,445.3,,,,519.0,584.0,,,,,,618.1,,,,402.4,527.0,,563.6,,223.0,220.0,789.0,,,,,50.0,,33.8,,,158.0,1112.9,,101.1,-90.0,,248.0,172.3,,,,246.0,311.0,,,,,,345.1,,,,129.4,,False,,True,True,False,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,,,,,,True,,,,True
01041,116,232.0,,290.6,,160.0,147.0,164.0,,,,,119.0,,129.9,,,155.0,206.4,,129.5,,,86.5,131.4,,,,176.0,94.4,,,,,,,,,,245.9,116.0,,174.6,,44.0,31.0,48.0,,,,,3.0,,13.9,,,39.0,90.4,,13.5,,,-29.5,15.4,,,,60.0,-21.6,,,,,,,,,,129.9,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,,,,,,,,,,False
01043,271,876.0,,888.3,,648.0,674.0,592.0,,,,,579.0,,466.4,,,1163.0,888.7,,562.6,172.0,,490.0,534.8,,,,696.0,632.6,,,,,,1123.2,,,,797.1,605.0,,617.3,,377.0,403.0,321.0,,,,,308.0,,195.4,,,892.0,617.7,,291.6,-99.0,,219.0,263.8,,,,425.0,361.6,,,,,,852.2,,,,526.1,,False,,True,True,True,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,,,,,,False,,,,True
01045,285,536.0,,538.0,,407.0,369.0,378.0,,,,,377.5,,338.7,,,608.0,427.1,,335.6,204.5,,281.0,363.7,,,,439.0,364.1,,,,,,278.5,,,,546.2,251.0,,253.0,,122.0,84.0,93.0,,,,,92.5,,53.7,,,323.0,142.1,,50.6,-80.5,,-4.0,78.7,,,,154.0,79.1,,,,,,-6.5,,,,261.2,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,,,,,,True,,,,False
01047,164,292.0,,295.5,,215.0,192.0,258.0,,,,,239.4,,168.5,,,414.0,155.6,,247.6,88.5,,85.0,142.6,,,,224.0,158.2,,,,,,192.8,,,,289.5,128.0,,131.5,,51.0,28.0,94.0,,,,,75.4,,4.5,,,250.0,-8.4,,83.6,-75.5,,-79.0,-21.4,,,,60.0,-5.8,,,,,,28.8,,,,125.5,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,,,,,,True,,,,True
01049,247,684.0,,722.7,,575.0,487.0,638.0,,,,,585.1,,371.7,,,933.0,659.6,,522.1,174.5,,351.0,454.5,,,,631.0,530.7,,,,,,243.9,,,,691.9,437.0,,475.7,,328.0,240.0,391.0,,,,,338.1,,124.7,,,686.0,412.6,,275.1,-72.5,,104.0,207.5,,,,384.0,283.7,,,,,,-3.1,,,,444.9,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,,,,,,True,,,,False
01051,640,1340.0,,1374.4,,934.0,884.0,1091.0,,,,,816.5,,723.2,,,869.0,1042.6,,782.5,335.0,,883.0,851.9,,,,1042.0,533.8,,,,,,1047.0,,,,1146.9,700.0,,734.4,,294.0,244.0,451.0,,,,,176.5,,83.2,,,229.0,402.6,,142.5,-305.0,,243.0,211.9,,,,402.0,-106.2,,,,,,407.0,,,,506.9,,False,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,,,,,,True,,,,True
01053,169,540.0,,540.6,,345.0,332.0,243.0,,,,,328.5,,265.8,,,446.0,535.5,,309.7,174.5,,249.0,293.7,,,,379.0,429.3,,,,,,193.0,,,,509.7,371.0,,371.6,,176.0,163.0,74.0,,,,,159.5,,96.8,,,277.0,366.5,,140.7,5.5,,80.0,124.7,,,,210.0,260.3,,,,,,24.0,,,,340.7,,False,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,,,,,,True,,,,True
01055,633,1424.0,,1408.7,,1124.0,1092.0,1482.0,,,,,951.5,,429.5,,,1267.0,1478.1,,855.2,370.5,,700.5,876.4,,,,1112.0,849.0,,,,,,1245.6,,,,1238.2,791.0,,775.7,,491.0,459.0,849.0,,,,,318.5,,-203.5,,,634.0,845.1,,222.2,-262.5,,67.5,243.4,,,,479.0,216.0,,,,,,612.6,,,,605.2,,True,,True,True,False,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,,,,,,True,,,,True
01057,110,272.0,,266.7,,178.0,164.0,173.0,,,,,142.4,,122.5,,,211.0,164.8,,155.1,,,86.0,154.6,,,,193.0,189.1,,,,,,,,,,255.6,162.0,,156.7,,68.0,54.0,63.0,,,,,32.4,,12.5,,,101.0,54.8,,45.1,,,-24.0,44.6,,,,83.0,79.1,,,,,,,,,,145.6,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,,,,,,,,,,True
01059,104,284.0,,293.2,,235.0,219.0,179.0,,,,,267.7,,138.5,,,445.0,224.9,,203.6,85.0,,151.0,197.7,,,,308.0,189.4,,,,,,183.6,,,,275.2,180.0,,189.2,,131.0,115.0,75.0,,,,,163.7,,34.5,,,341.0,120.9,,99.6,-19.0,,47.0,93.7,,,,204.0,85.4,,,,,,79.6,,,,171.2,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,False,True,,,,,,True,,,,True
01061,88,340.0,,289.5,,304.0,257.0,341.0,,,,,215.5,,121.8,,,335.0,709.5,,225.3,,,201.0,197.3,,,,320.0,346.6,,,,,,180.7,,,,294.2,252.0,,201.5,,216.0,169.0,253.0,,,,,127.5,,33.8,,,247.0,621.5,,137.3,,,113.0,109.3,,,,232.0,258.6,,,,,,92.7,,,,206.2,,True,,True,True,False,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,False,,,,,,True,,,,True
01063,63,116.0,,120.7,,66.0,66.0,61.0,,,,,60.7,,53.1,,,90.0,63.7,,57.6,,,82.0,59.1,,,,59.0,46.3,,,,,,,,,,95.9,53.0,,57.7,,3.0,3.0,-2.0,,,,,-2.3,,-9.9,,,27.0,0.7,,-5.4,,,19.0,-3.9,,,,-4.0,-16.7,,,,,,,,,,32.9,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,,,,,,,,,,True
01065,128,288.0,,312.4,,183.0,159.0,215.0,,,,,168.9,,47.1,,,192.0,339.4,,161.4,,,75.0,131.5,,,,159.0,111.6,,,,,,,,,,265.0,160.0,,184.4,,55.0,31.0,87.0,,,,,40.9,,-80.9,,,64.0,211.4,,33.4,,,-53.0,3.5,,,,31.0,-16.4,,,,,,,,,,137.0,,False,,True,True,True,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,,,,,,,,,,True
01067,97,344.0,,334.8,,209.0,218.0,87.0,,,,,154.1,,110.9,,,209.0,116.7,,165.9,,,281.5,195.5,,,,256.0,178.2,,,,,,,,,,286.2,247.0,,237.8,,112.0,121.0,-10.0,,,,,57.1,,13.9,,,112.0,19.7,,68.9,,,184.5,98.5,,,,159.0,81.2,,,,,,,,,,189.2,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,,,,,,,,,,True
01069,432,1324.0,,1376.9,,1232.0,1114.0,1365.0,,,,,917.7,,756.3,,,1195.0,5929.8,,908.2,338.5,,433.5,790.7,,,,1278.0,1607.0,,,,,,962.7,,,,1131.7,892.0,,944.9,,800.0,682.0,933.0,,,,,485.7,,324.3,,,763.0,5497.8,,476.2,-93.5,,1.5,358.7,,,,846.0,1175.0,,,,,,530.7,,,,699.7,,False,,True,True,False,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,False,,,,,,True,,,,True
01071,204,608.0,,557.8,,524.0,486.0,540.0,,,,,433.7,,172.3,,,626.0,1125.3,,389.1,157.0,,304.5,383.3,,,,514.0,575.5,,,,,,755.9,,,,769.4,404.0,,353.8,,320.0,282.0,336.0,,,,,229.7,,-31.7,,,422.0,921.3,,185.1,-47.0,,100.5,179.3,,,,310.0,371.5,,,,,,551.9,,,,565.4,,True,,True,True,True,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,,,,,,False,,,,False
01073,3673,7996.0,,7591.4,6273.4,5133.0,5124.0,6501.0,,,,,5259.2,,4397.6,,4102.1,6887.0,4537.5,,5270.4,2866.0,,3545.5,4563.3,,,,5165.0,5135.3,,,,,,6181.3,2860.0,,,5967.9,4323.0,,3918.4,2600.4,1460.0,1451.0,2828.0,,,,,1586.2,,724.6,,429.1,3214.0,864.5,,1597.4,-807.0,,-127.5,890.3,,,,1492.0,1462.3,,,,,,2508.3,-813.0,,,2294.9,,True,True,True,True,True,,,,,True,,True,,True,True,True,,True,True,,True,True,,,,True,True,,,,,,True,True,,,True
01075,73,128.0,,117.1,,104.0,89.0,61.0,,,,,81.6,,75.6,,,173.0,133.8,,71.6,,,45.0,68.9,,,,122.0,119.6,,,,,,,,,,140.7,55.0,,44.1,,31.0,16.0,-12.0,,,,,8.6,,2.6,,,100.0,60.8,,-1.4,,,-28.0,-4.1,,,,49.0,46.6,,,,,,,,,,67.7,,True,,True,True,True,,,,,True,,True,,,False,False,,True,,,True,True,,,,True,True,,,,,,,,,,False
01077,284,864.0,,857.4,,777.0,598.0,918.0,,,,,614.3,,567.8,,,1126.0,979.4,,547.4,251.5,,475.0,623.0,,,,919.0,381.0,,,,,,531.3,,,,770.3,580.0,,573.4,,493.0,314.0,634.0,,,,,330.3,,283.8,,,842.0,695.4,,263.4,-32.5,,191.0,339.0,,,,635.0,97.0,,,,,,247.3,,,,486.3,,True,,True,True,False,,,,,True,,True,,,False,False,,True,True,,True,True,,,,False,True,,,,,,True,,,,True
01079,140,356.0,,343.4,,305.0,244.0,310.0,,,,,213.8,,201.5,,,466.0,432.2,,191.9,87.0,,214.5,232.6,,,,325.0,208.3,,,,,,198.2,,,,310.7,216.0,,203.4,,165.0,104.0,170.0,,,,,73.8,,61.5,,,326.0,292.2,,51.9,-53.0,,74.5,92.6,,,,185.0,68.3,,,,,,58.2,,,,170.7,,True,,True,True,True,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,,,,,,True,,,,True
01081,793,2392.0,,2329.2,,1550.0,1639.0,2098.0,,,,,1438.2,,1251.1,,1481.1,1581.0,1475.8,,1603.0,935.5,,1490.5,1411.4,,,,1661.0,1332.0,,,,,,1845.2,848.0,,,2973.5,1599.0,,1536.2,,757.0,846.0,1305.0,,,,,645.2,,458.1,,688.1,788.0,682.8,,810.0,142.5,,697.5,618.4,,,,868.0,539.0,,,,,,1052.2,55.0,,,2180.5,,True,,True,True,True,,,,,True,,True,,True,True,True,,True,True,,True,True,,,,True,True,,,,,,True,True,,,False
01083,521,1184.0,,1113.3,,815.0,947.0,723.0,,,,,721.9,,759.3,,,1094.0,806.2,,631.1,451.0,,746.0,767.4,,,,1107.0,954.8,,,,,,1396.9,,,,922.0,663.0,,592.3,,294.0,426.0,202.0,,,,,200.9,,238.3,,,573.0,285.2,,110.1,-70.0,,225.0,246.4,,,,586.0,433.8,,,,,,875.9,,,,401.0,,True,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,,,,,,False,,,,True
01085,64,252.0,,235.3,,131.0,133.0,184.0,,,,,113.0,,74.7,,,103.0,411.3,,115.2,,,51.0,111.6,,,,150.0,93.4,,,,,,,,,,241.3,188.0,,171.3,,67.0,69.0,120.0,,,,,49.0,,10.7,,,39.0,347.3,,51.2,,,-13.0,47.6,,,,86.0,29.4,,,,,,,,,,177.3,,True,,True,True,True,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,,,,,,,,,,True
01087,147,232.0,,232.6,,163.0,146.0,207.0,,,,,107.3,,221.9,,,193.0,225.5,,152.2,,,140.0,165.6,,,,140.0,89.7,,,,,,,,,,122.3,85.0,,85.6,,16.0,-1.0,60.0,,,,,-39.7,,74.9,,,46.0,78.5,,5.2,,,-7.0,18.6,,,,-7.0,-57.3,,,,,,,,,,-24.7,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,,,,,,,,,,True
