,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,38031,41878.0,34020.8,43485.1,32267.0,32270.0,30759.0,,38848.9,22839.0,33076.4,,22513.1,,29667.9,61921.9,31830.0,22060.7,40075.0,37421.3,14556.0,27850.3,23214.5,32287.7,29518.0,40830.6,29600.3,31240.0,36901.0,,23052.6,39074.0,47838.8,,47140.7,31845.0,64622.2,37714.0,37076.1,,3847.0,-4010.2,5454.1,-5764.0,-5761.0,-7272.0,,817.9,-15192.0,-4954.6,,-15517.9,,-8363.1,23890.9,-6201.0,-15970.3,2044.0,-609.7,-23475.0,-10180.7,-14816.5,-5743.3,-8513.0,2799.6,-8430.7,-6791.0,-1130.0,,-14978.4,1043.0,9807.8,,9109.7,-6186.0,26591.2,-317.0,-954.9,,False,False,False,False,False,,True,False,False,,False,,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,,False,True,False,,False,False,False,True,True,
Hawaii,763,564.0,1051.2,573.2,489.0,700.0,348.0,,571.3,356.0,600.8,,951.7,,400.5,986.2,,463.6,610.0,1748.8,371.5,483.9,405.0,488.2,432.0,524.9,687.1,342.0,1242.0,,335.7,429.0,1940.5,,948.3,477.2,1160.5,503.0,324.4,,-199.0,288.2,-189.8,-274.0,-63.0,-415.0,,-191.7,-407.0,-162.2,,188.7,,-362.5,223.2,,-299.4,-153.0,985.8,-391.5,-279.1,-358.0,-274.8,-331.0,-238.1,-75.9,-421.0,479.0,,-427.3,-334.0,1177.5,,185.3,-285.8,397.5,-260.0,-438.6,,False,True,False,True,False,,True,False,True,,True,,False,False,,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,,True,False,False,False,False,
Idaho,3781,3334.0,2270.9,3309.5,2698.0,3406.0,2378.0,,3110.2,1886.0,9099.3,,744.7,,2595.7,5199.3,4001.0,2450.1,3282.0,4418.6,2674.0,2296.9,1402.0,2468.3,1364.5,3134.5,2916.0,2695.0,5397.0,,2215.2,2738.0,2895.7,,3153.1,2877.3,5690.3,2824.0,2282.8,,-447.0,-1510.1,-471.5,-1083.0,-375.0,-1403.0,,-670.8,-1895.0,5318.3,,-3036.3,,-1185.3,1418.3,220.0,-1330.9,-499.0,637.6,-1107.0,-1484.1,-2379.0,-1312.7,-2416.5,-646.5,-865.0,-1086.0,1616.0,,-1565.8,-1043.0,-885.3,,-627.9,-903.7,1909.3,-957.0,-1498.2,,False,False,False,True,False,,False,False,False,,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
Illinois,24451,24426.0,19667.4,24159.4,20369.0,24122.0,18622.0,,23002.1,18653.0,24597.8,,20350.8,,18611.0,36607.2,25315.0,14680.4,19676.0,33140.4,9798.0,15967.6,14807.5,20337.9,48568.5,21845.7,20824.9,17342.0,25603.0,,17834.7,19211.0,36956.5,,22034.3,22065.9,54389.0,21141.0,21148.4,,-25.0,-4783.6,-291.6,-4082.0,-329.0,-5829.0,,-1448.9,-5798.0,146.8,,-4100.2,,-5840.0,12156.2,864.0,-9770.6,-4775.0,8689.4,-14653.0,-8483.4,-9643.5,-4113.1,24117.5,-2605.3,-3626.1,-7109.0,1152.0,,-6616.3,-5240.0,12505.5,,-2416.7,-2385.1,29938.0,-3310.0,-3302.6,,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
Indiana,11856,14006.0,13867.6,14155.4,11476.0,14718.0,10946.0,,13418.0,13289.0,13626.5,,12246.3,,9919.5,20397.4,15749.0,7442.6,10890.0,15928.9,5517.0,9046.9,7903.0,11214.9,7938.5,11400.7,11243.5,9550.0,19283.0,,15391.1,10889.0,6584.0,,24583.6,13260.6,33194.0,11691.0,8586.0,,2150.0,2011.6,2299.4,-380.0,2862.0,-910.0,,1562.0,1433.0,1770.5,,390.3,,-1936.5,8541.4,3893.0,-4413.4,-966.0,4072.9,-6339.0,-2809.1,-3953.0,-641.1,-3917.5,-455.3,-612.5,-2306.0,7427.0,,3535.1,-967.0,-5272.0,,12727.6,1404.6,21338.0,-165.0,-3270.0,,True,False,True,False,True,,True,True,True,,True,,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,,False,True,False,,False,True,False,True,False,
Iowa,7347,60610.0,5153.5,9511.2,10643.0,17472.0,4913.0,,9898.2,4680.0,13405.0,,2674.4,,5137.9,101705.5,10322.0,4368.4,6433.0,18555.0,27629.0,5280.1,2024.0,17996.4,,6037.3,29040.8,26155.0,31114.0,,14199.9,,607.3,,47617.3,31357.6,40084.2,10249.0,49417.5,,53263.0,-2193.5,2164.2,3296.0,10125.0,-2434.0,,2551.2,-2667.0,6058.0,,-4672.6,,-2209.1,94358.5,2975.0,-2978.6,-914.0,11208.0,20282.0,-2066.9,-5323.0,10649.4,,-1309.7,21693.8,18808.0,23767.0,,6852.9,,-6739.7,,40270.3,24010.6,32737.2,2902.0,42070.5,,True,True,True,True,True,,True,True,True,,True,,True,False,True,True,True,True,True,True,True,True,,True,True,True,True,,True,,True,,True,True,True,True,True,
Kansas,4973,9480.0,7078.5,9437.6,7494.0,7724.0,9144.0,,7946.7,1603.0,7869.8,,1925.2,,9006.0,12632.6,8993.0,3455.0,9634.0,8830.8,3582.5,5697.7,3449.5,5365.8,3249.6,8004.7,7040.7,7662.0,11759.0,,6744.2,9472.0,2831.5,,8534.5,7838.7,,8410.0,8134.6,,4507.0,2105.5,4464.6,2521.0,2751.0,4171.0,,2973.7,-3370.0,2896.8,,-3047.8,,4033.0,7659.6,4020.0,-1518.0,4661.0,3857.8,-1390.5,724.7,-1523.5,392.8,-1723.4,3031.7,2067.7,2689.0,6786.0,,1771.2,4499.0,-2141.5,,3561.5,2865.7,,3437.0,3161.6,,True,True,True,True,True,,True,True,True,,True,,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,,True,True,True,,True,True,,True,True,
Kentucky,14166,17856.0,13002.4,17907.7,13686.0,15626.0,12090.0,,16064.4,9279.0,64087.1,,12976.5,,11980.8,23727.0,13122.0,14451.3,12683.0,15996.2,7419.0,13608.0,10167.0,13296.5,7947.7,14881.7,13140.3,12010.0,20396.0,,13863.5,17004.0,6171.4,,16415.2,13424.6,47652.3,13102.0,17422.7,,3690.0,-1163.6,3741.7,-480.0,1460.0,-2076.0,,1898.4,-4887.0,49921.1,,-1189.5,,-2185.2,9561.0,-1044.0,285.3,-1483.0,1830.2,-6747.0,-558.0,-3999.0,-869.5,-6218.3,715.7,-1025.7,-2156.0,6230.0,,-302.5,2838.0,-7994.6,,2249.2,-741.4,33486.3,-1064.0,3256.7,,True,False,True,True,True,,True,False,False,,True,,True,False,True,True,True,True,False,True,False,True,False,True,True,True,False,,True,True,False,,True,True,False,True,True,
Louisiana,10758,7404.0,8002.4,17086.3,7438.0,10475.0,4766.0,,8382.8,8356.0,328042.5,,36777.2,,6001.3,15929.7,8833.0,5437.1,3984.0,13489.1,3225.0,8169.2,6233.5,6946.8,4341.3,8790.3,8800.3,4097.0,14233.0,,4879.1,5537.0,19242.1,,13915.1,7309.7,20623.4,3971.0,5922.3,,-3354.0,-2755.6,6328.3,-3320.0,-283.0,-5992.0,,-2375.2,-2402.0,317284.5,,26019.2,,-4756.7,5171.7,-1925.0,-5320.9,-6774.0,2731.1,-7533.0,-2588.8,-4524.5,-3811.2,-6416.7,-1967.7,-1957.7,-6661.0,3475.0,,-5878.9,-5221.0,8484.1,,3157.1,-3448.3,9865.4,-6787.0,-4835.7,,True,False,True,True,False,,True,True,False,,False,,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,,False,False,False,,True,False,False,False,False,
Maine,2272,1884.0,1009.0,1813.9,1528.0,1979.0,1251.0,,1888.0,867.0,2907.6,,2253.0,,1236.3,2836.1,1987.0,1457.3,1437.0,2759.6,2229.5,1397.5,1094.0,1578.7,1016.3,2189.4,1599.2,1134.0,2481.0,,978.8,1081.0,5782.3,,3057.4,1240.7,2752.0,1516.0,906.4,,-388.0,-1263.0,-458.1,-744.0,-293.0,-1021.0,,-384.0,-1405.0,635.6,,-19.0,,-1035.7,564.1,-285.0,-814.7,-835.0,487.6,-42.5,-874.5,-1178.0,-693.3,-1255.7,-82.6,-672.8,-1138.0,209.0,,-1293.2,-1191.0,3510.3,,785.4,-1031.3,480.0,-756.0,-1365.6,,False,False,False,True,False,,True,False,False,,True,,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,,False,False,False,,False,False,False,False,False,
Maryland,10873,11202.0,9566.8,16167.6,8817.0,9662.0,8093.0,,10821.8,10510.0,9797.0,,7655.9,,8056.8,15697.8,12275.0,8364.0,9452.0,14224.6,4134.5,7680.8,6402.5,8407.1,9992.9,11347.8,8688.5,7475.0,3510.0,,7535.8,9228.0,18418.0,,11527.1,9724.3,2423.2,9675.0,7111.5,,329.0,-1306.2,5294.6,-2056.0,-1211.0,-2780.0,,-51.2,-363.0,-1076.0,,-3217.1,,-2816.2,4824.8,1402.0,-2509.0,-1421.0,3351.6,-6738.5,-3192.2,-4470.5,-2465.9,-880.1,474.8,-2184.5,-3398.0,-7363.0,,-3337.2,-1645.0,7545.0,,654.1,-1148.7,-8449.8,-1198.0,-3761.5,,False,False,False,False,False,,True,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
Massachusetts,22167,23738.0,21703.4,23786.9,17887.0,16372.0,18007.0,,20004.5,15283.0,39346.3,,20115.4,,17488.9,33563.5,23053.0,15029.5,21443.0,17464.3,8718.5,14959.9,13330.0,17766.6,13570.5,20710.9,17295.4,15098.0,16517.0,,20405.0,19684.0,29568.0,,15999.7,15805.0,18487.2,21381.0,14312.2,,1571.0,-463.6,1619.9,-4280.0,-5795.0,-4160.0,,-2162.5,-6884.0,17179.3,,-2051.6,,-4678.1,11396.5,886.0,-7137.5,-724.0,-4702.7,-13448.5,-7207.1,-8837.0,-4400.4,-8596.5,-1456.1,-4871.6,-7069.0,-5650.0,,-1762.0,-2483.0,7401.0,,-6167.3,-6362.0,-3679.8,-786.0,-7854.8,,True,False,False,False,False,,False,False,False,,False,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,True,False,
Michigan,19803,14626.0,9226.6,14474.8,12162.0,15731.0,13676.0,,12903.4,2472.0,161467.7,,2425.2,,10527.9,19432.5,15650.0,8986.9,13288.0,19715.7,5286.5,10565.8,9986.5,11324.3,1698.5,10797.2,12052.8,11127.0,18291.0,,11281.4,13140.0,4764.3,,19416.4,14199.0,16203.6,13862.0,13947.0,,-5177.0,-10576.4,-5328.2,-7641.0,-4072.0,-6127.0,,-6899.6,-17331.0,141664.7,,-17377.8,,-9275.1,-370.5,-4153.0,-10816.1,-6515.0,-87.3,-14516.5,-9237.2,-9816.5,-8478.7,-18104.5,-9005.8,-7750.2,-8676.0,-1512.0,,-8521.6,-6663.0,-15038.7,,-386.6,-5604.0,-3599.4,-5941.0,-5856.0,,False,False,False,True,False,,False,False,False,,False,,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,,False,False,False,,True,False,True,False,False,
Minnesota,10959,10732.0,5264.3,10851.3,9889.0,10659.0,8158.0,,9872.6,3004.0,12597.3,,9315.8,,9905.8,16807.8,9599.0,8118.4,11307.0,13426.5,4006.5,8938.3,9277.5,10514.9,4323.9,7708.9,10127.7,9780.0,13721.0,,6848.8,10444.0,3194.8,,11175.5,9155.3,15562.8,11395.0,10284.6,,-227.0,-5694.7,-107.7,-1070.0,-300.0,-2801.0,,-1086.4,-7955.0,1638.3,,-1643.2,,-1053.2,5848.8,-1360.0,-2840.6,348.0,2467.5,-6952.5,-2020.7,-1681.5,-444.1,-6635.1,-3250.1,-831.3,-1179.0,2762.0,,-4110.2,-515.0,-7764.2,,216.5,-1803.7,4603.8,436.0,-674.4,,False,True,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,True,False,False,False,False,
