,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Georgia,115920,218500.0,183557.0,,204542.8,229499.0,,,197972.0,208097.3,145477.6,117832.6,152753.5,,,203371.2,182566.0,102580.0,67637.0,,88622.8,113579.0,,,82052.0,92177.3,29557.6,1912.6,36833.5,,,87451.2,66646.0,True,,True,False,,,True,True,True,True,True,,,True,True
Hawaii,2066,3790.0,3502.0,,3536.5,9244.0,,,,1692.1,7445.6,2286.9,2895.0,,,2981.8,2716.0,1724.0,1436.0,,1470.5,7178.0,,,,-373.9,5379.6,220.9,829.0,,,915.8,650.0,True,,True,False,,,,True,False,True,True,,,True,True
Idaho,10248,16790.0,11352.0,,15738.7,7155.0,,,13820.0,9617.3,14374.8,12457.7,9938.5,,,11763.9,10521.0,6542.0,1104.0,,5490.7,-3093.0,,,3572.0,-630.7,4126.8,2209.7,-309.5,,,1515.9,273.0,True,,True,True,,,True,True,True,True,True,,,True,True
Illinois,73314,126730.0,95066.0,,118153.2,29726.0,,,118147.0,45876.4,147813.1,93639.7,74167.5,,,83385.4,100722.0,53416.0,21752.0,,44839.2,-43588.0,,,44833.0,-27437.6,74499.1,20325.7,853.5,,,10071.4,27408.0,True,,True,True,,,True,True,False,True,True,,,True,True
Indiana,41557,82200.0,60703.0,,75358.2,49763.0,,,78992.0,25842.8,73541.5,39075.0,49980.0,,,133438.5,57670.0,40643.0,19146.0,,33801.2,8206.0,,,37435.0,-15714.2,31984.5,-2482.0,8423.0,,,91881.5,16113.0,True,,True,True,,,True,True,True,True,True,,,False,True
Iowa,20419,32440.0,26418.0,,32944.0,119668.0,,,28131.0,13854.5,26930.6,19809.3,22005.0,,,15223.7,23690.0,12021.0,5999.0,,12525.0,99249.0,,,7712.0,-6564.5,6511.6,-609.7,1586.0,,,-5195.3,3271.0,True,,False,False,,,True,True,True,True,True,,,True,True
Kansas,21232,40240.0,27465.0,,41477.0,12623.0,,,37757.0,11365.9,29565.6,19347.1,17402.0,,,34914.4,21467.0,19008.0,6233.0,,20245.0,-8609.0,,,16525.0,-9866.1,8333.6,-1884.9,-3830.0,,,13682.4,235.0,True,,False,True,,,True,True,True,True,True,,,True,True
Kentucky,49069,82740.0,79132.0,,84455.7,31008.0,,,74078.0,50096.0,58178.8,55399.4,59991.5,,,51939.3,72128.0,33671.0,30063.0,,35386.7,-18061.0,,,25009.0,1027.0,9109.8,6330.4,10922.5,,,2870.3,23059.0,True,,False,True,,,True,True,True,True,True,,,True,True
Louisiana,35769,85105.0,91165.0,,71825.4,56591.0,,,78136.0,25516.6,56545.4,40765.2,55340.0,,,97091.1,65425.0,49336.0,55396.0,,36056.4,20822.0,,,42367.0,-10252.4,20776.4,4996.2,19571.0,,,61322.1,29656.0,False,,True,True,,,True,True,True,True,True,,,False,True
Maine,6471,12850.0,10156.0,,13026.0,6845.0,,,15385.0,16838.9,11560.8,7588.5,11511.5,,,11704.0,10447.0,6379.0,3685.0,,6555.0,374.0,,,8914.0,10367.9,5089.8,1117.5,5040.5,,,5233.0,3976.0,True,,False,True,,,False,False,True,True,True,,,True,True
Maryland,33884,67095.0,76889.0,,65416.0,764826.0,,,59379.0,29139.1,57936.9,42839.8,48098.5,,,54197.6,60594.0,33211.0,43005.0,,31532.0,730942.0,,,25495.0,-4744.9,24052.9,8955.8,14214.5,,,20313.6,26710.0,False,,True,False,,,True,True,True,True,True,,,True,True
Massachusetts,68571,126335.0,127517.0,,113954.5,84638.0,,,118484.0,53576.4,61357.4,69246.6,75128.5,,,204069.7,93098.0,57764.0,58946.0,,45383.5,16067.0,,,49913.0,-14994.6,-7213.6,675.6,6557.5,,,135498.7,24527.0,False,,True,True,,,True,True,True,True,True,,,False,True
Michigan,45934,66960.0,75868.0,,54303.7,12257.0,,,64076.0,25055.1,74576.6,39705.1,42354.5,,,82536.5,47182.0,21026.0,29934.0,,8369.7,-33677.0,,,18142.0,-20878.9,28642.6,-6228.9,-3579.5,,,36602.5,1248.0,False,,True,False,,,True,True,False,True,True,,,False,True
Minnesota,28297,35055.0,36381.0,,36888.7,8244.0,,,47432.0,8713.0,44364.8,18180.6,21106.0,,,25990.6,30633.0,6758.0,8084.0,,8591.7,-20053.0,,,19135.0,-19584.0,16067.8,-10116.4,-7191.0,,,-2306.4,2336.0,False,,False,False,,,False,False,False,False,False,,,True,True
Mississippi,23131,55835.0,39981.0,,50817.7,36493.0,,,52957.0,34469.8,35539.3,41665.3,36074.5,,,38355.3,49316.0,32704.0,16850.0,,27686.7,13362.0,,,29826.0,11338.8,12408.3,18534.3,12943.5,,,15224.3,26185.0,True,,True,True,,,True,True,True,True,True,,,True,True
Missouri,35291,55670.0,49245.0,,48865.9,34322.0,,,46852.0,15397.5,40974.6,39401.6,32246.0,,,58152.2,38923.0,20379.0,13954.0,,13574.9,-969.0,,,11561.0,-19893.5,5683.6,4110.6,-3045.0,,,22861.2,3632.0,True,,True,True,,,True,True,True,True,True,,,False,True
Montana,6894,11760.0,8109.0,,10733.7,4203.0,,,11242.0,4599.6,7771.5,6498.0,7872.5,,,6433.5,9264.0,4866.0,1215.0,,3839.7,-2691.0,,,4348.0,-2294.4,877.5,-396.0,978.5,,,-460.5,2370.0,True,,True,True,,,True,True,True,True,True,,,True,True
Nebraska,12083,18580.0,12774.0,,18744.3,4196.0,,,18741.0,8540.3,19147.0,11699.2,10870.5,,,30640.0,15903.0,6497.0,691.0,,6661.3,-7887.0,,,6658.0,-3542.7,7064.0,-383.8,-1212.5,,,18557.0,3820.0,True,,False,False,,,False,True,False,True,True,,,False,True
Nevada,18611,38180.0,41834.0,,34197.1,21556.0,,,27845.0,15615.0,28571.2,17034.2,25322.5,,,44552.2,30008.0,19569.0,23223.0,,15586.1,2945.0,,,9234.0,-2996.0,9960.2,-1576.8,6711.5,,,25941.2,11397.0,False,,True,True,,,True,True,True,True,True,,,False,True
New Hampshire,11040,18930.0,12572.0,,18526.0,8892.0,,,20662.0,27664.4,14166.6,12160.8,13780.0,,,17175.4,14877.0,7890.0,1532.0,,7486.0,-2148.0,,,9622.0,16624.4,3126.6,1120.8,2740.0,,,6135.4,3837.0,True,,True,True,,,False,False,True,True,True,,,True,True
New Jersey,117547,175035.0,174697.0,,144999.3,109490.0,,,139189.0,92904.0,105083.9,134044.7,130024.5,,,113844.2,140762.0,57488.0,57150.0,,27452.3,-8057.0,,,21642.0,-24643.0,-12463.1,16497.7,12477.5,,,-3702.8,23215.0,True,,True,True,,,True,True,True,True,True,,,True,True
New Mexico,13203,24800.0,22360.0,,23254.8,17809.0,,,25806.0,9710.2,17412.1,16487.4,16347.5,,,26556.6,16780.0,11597.0,9157.0,,10051.8,4606.0,,,12603.0,-3492.8,4209.1,3284.4,3144.5,,,13353.6,3577.0,True,,True,True,,,False,True,True,True,True,,,False,True
New York,278295,426930.0,438746.0,,316626.1,435815.0,,,349309.0,432936.4,337822.1,270564.6,309144.5,,,331314.9,353966.0,148635.0,160451.0,,38331.1,157520.0,,,71014.0,154641.4,59527.1,-7730.4,30849.5,,,53019.9,75671.0,False,,True,False,,,True,False,True,True,True,,,True,True
North Carolina,119549,199555.0,105935.0,,193466.6,111084.0,,,216225.0,147207.1,132237.5,126374.7,147021.5,,,172614.6,143092.0,80006.0,-13614.0,,73917.6,-8465.0,,,96676.0,27658.1,12688.5,6825.7,27472.5,,,53065.6,23543.0,True,,True,True,,,False,True,True,True,True,,,True,True
North Dakota,2805,4205.0,1889.0,,3971.5,720.0,,,5814.0,2324.7,4751.3,1504.7,2549.0,,,1730.5,2858.0,1400.0,-916.0,,1166.5,-2085.0,,,3009.0,-480.3,1946.3,-1300.3,-256.0,,,-1074.5,53.0,True,,True,False,,,False,True,False,True,True,,,True,True
Ohio,84955,164700.0,143486.0,,148924.8,58067.0,,,160076.0,83122.3,106533.1,124509.6,95469.0,,,159994.9,111239.0,79745.0,58531.0,,63969.8,-26888.0,,,75121.0,-1832.7,21578.1,39554.6,10514.0,,,75039.9,26284.0,True,,True,True,,,True,True,True,True,True,,,True,True
Oklahoma,41946,82205.0,70647.0,,78484.5,60841.0,,,87058.0,32099.9,48897.5,48367.2,53121.5,,,66003.6,62328.0,40259.0,28701.0,,36538.5,18895.0,,,45112.0,-9846.1,6951.5,6421.2,11175.5,,,24057.6,20382.0,True,,True,True,,,False,True,True,True,True,,,True,True
Oregon,14663,24080.0,30668.0,,21479.1,20163.0,,,21378.0,11461.5,21325.6,19714.1,15356.5,,,18919.9,18926.0,9417.0,16005.0,,6816.1,5500.0,,,6715.0,-3201.5,6662.6,5051.1,693.5,,,4256.9,4263.0,False,,True,True,,,True,True,True,True,True,,,True,True
Pennsylvania,106652,194450.0,168118.0,,188570.1,53930.0,,,159087.0,85588.4,152337.2,123869.2,135783.0,,,174694.2,148290.0,87798.0,61466.0,,81918.1,-52722.0,,,52435.0,-21063.6,45685.2,17217.2,29131.0,,,68042.2,41638.0,True,,True,True,,,True,True,True,True,True,,,True,True
Rhode Island,13683,23515.0,21097.0,,23413.0,2547.0,,,24372.0,7368.2,17965.6,16865.3,16376.5,,,16412.0,17427.0,9832.0,7414.0,,9730.0,-11136.0,,,10689.0,-6314.8,4282.6,3182.3,2693.5,,,2729.0,3744.0,True,,True,False,,,False,True,True,True,True,,,True,True
South Carolina,84672,129980.0,100534.0,,127487.3,292849.0,,,128604.0,92746.0,78297.3,91453.8,94430.0,,,129587.8,95972.0,45308.0,15862.0,,42815.3,208177.0,,,43932.0,8074.0,-6374.7,6781.8,9758.0,,,44915.8,11300.0,True,,True,False,,,True,True,True,True,True,,,True,True
South Dakota,5308,5535.0,3432.0,,5329.4,5834.0,,,7411.0,1259.2,6324.4,3559.5,2684.0,,,5809.6,3495.0,227.0,-1876.0,,21.4,526.0,,,2103.0,-4048.8,1016.4,-1748.5,-2624.0,,,501.6,-1813.0,False,,True,False,,,False,False,False,False,False,,,False,False
Tennessee,57464,94330.0,73897.0,,82856.4,49366.0,,,104234.0,34867.6,73235.2,45845.7,54195.0,,,78110.0,68331.0,36866.0,16433.0,,25392.4,-8098.0,,,46770.0,-22596.4,15771.2,-11618.3,-3269.0,,,20646.0,10867.0,True,,True,True,,,False,True,True,True,True,,,True,True
Texas,329425,603965.0,747382.0,,610334.2,597860.0,,,629156.0,548788.3,454661.5,435402.3,502173.5,,,474301.5,447621.0,274540.0,417957.0,,280909.2,268435.0,,,299731.0,219363.3,125236.5,105977.3,172748.5,,,144876.5,118196.0,False,,False,True,,,False,True,True,True,True,,,True,True
Utah,29008,52705.0,40305.0,,48144.8,163507.0,,,52804.0,11402.2,30281.7,44913.7,37124.0,,,29402.0,37322.0,23697.0,11297.0,,19136.8,134499.0,,,23796.0,-17605.8,1273.7,15905.7,8116.0,,,394.0,8314.0,True,,True,False,,,False,True,True,True,True,,,True,True
Vermont,4133,4615.0,4315.0,,4483.1,11290.0,,,4333.0,5392.1,4045.7,5372.4,3864.0,,,2709.2,4057.0,482.0,182.0,,350.1,7157.0,,,200.0,1259.1,-87.3,1239.4,-269.0,,,-1423.8,-76.0,True,,True,False,,,True,False,True,False,True,,,False,True
Virginia,82316,167830.0,165541.0,,161622.1,169944.0,,,138172.0,321758.4,114233.9,114926.6,130881.5,,,131126.7,118467.0,85514.0,83225.0,,79306.1,87628.0,,,55856.0,239442.4,31917.9,32610.6,48565.5,,,48810.7,36151.0,True,,True,False,,,True,False,True,True,True,,,True,True
Washington,32935,56995.0,68634.0,,44971.1,50882.0,,,57352.0,22014.5,62143.9,48359.0,46970.5,,,40501.1,42898.0,24060.0,35699.0,,12036.1,17947.0,,,24417.0,-10920.5,29208.9,15424.0,14035.5,,,7566.1,9963.0,False,,True,True,,,False,True,False,True,True,,,True,True
West Virginia,12950,27940.0,22242.0,,25294.3,26283.0,,,28409.0,15320.7,18057.0,15890.1,20280.0,,,18838.7,22181.0,14990.0,9292.0,,12344.3,13333.0,,,15459.0,2370.7,5107.0,2940.1,7330.0,,,5888.7,9231.0,True,,True,True,,,False,True,True,True,True,,,True,True
Wisconsin,30278,54970.0,45173.0,,50557.8,24482.0,,,50823.0,21428.4,58487.1,34494.7,36163.0,,,45014.3,37365.0,24692.0,14895.0,,20279.8,-5796.0,,,20545.0,-8849.6,28209.1,4216.7,5885.0,,,14736.3,7087.0,True,,True,True,,,True,True,False,True,True,,,True,True
Wyoming,3060,5605.0,3198.0,,4504.6,12815.0,,,6206.0,3219.7,4124.2,3245.0,3878.0,,,7533.1,2223.0,2545.0,138.0,,1444.6,9755.0,,,3146.0,159.7,1064.2,185.0,818.0,,,4473.1,-837.0,True,,True,False,,,False,True,True,True,True,,,False,True
US,2888330,5290345.0,5176437.0,3734956.0,5006676.1,5000432.0,4525072.3,5187108.0,4620771.0,3534798.5,4003365.3,3238052.2,3634935.5,4514088.0,4196458.0,5957231.7,3913281.0,2402015.0,2288107.0,846626.0,2118346.1,2112102.0,1636742.3,2298778.0,1732441.0,646468.5,1115035.3,349722.2,746605.5,1625758.0,1308128.0,3068901.7,1024951.0,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True
