,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01027,46,52.0,,54.0,,42.0,32.0,27.0,,,,,26.1,,34.9,,,76.5,52.0,61.2,,33.2,,,23.0,33.9,,,,46.0,42.0,,,,,,,33.7,,,,52.8,42.5,6.0,,8.0,,-4.0,-14.0,-19.0,,,,,-19.9,,-11.1,,,30.5,6.0,15.2,,-12.8,,,-23.0,-12.1,,,,0.0,-4.0,,,,,,,-12.3,,,,6.8,-3.5,,False,,True,False,False,,,,,False,,False,,,False,False,False,,False,,,False,False,,,,True,True,,,,,,,False,,,,False,True
01029,50,34.0,,22.6,,24.0,23.0,24.0,,,,,26.6,,17.7,,,59.0,62.0,4.1,,38.1,,,14.0,20.0,,,,16.0,31.0,,,,,,,27.2,,,,32.8,37.3,-16.0,,-27.4,,-26.0,-27.0,-26.0,,,,,-23.4,,-32.3,,,9.0,12.0,-45.9,,-11.9,,,-36.0,-30.0,,,,-34.0,-19.0,,,,,,,-22.8,,,,-17.2,-12.7,,False,,False,False,False,,,,,False,,False,,,True,True,False,,True,,,False,False,,,,False,False,,,,,,,False,,,,False,True
01031,70,100.0,,117.1,,99.0,88.0,67.0,,,,,100.3,,23.6,,,188.3,273.0,18.9,,159.7,153.0,,37.0,78.2,,,,42.0,102.0,,,,,,138.8,148.1,,,,96.0,184.2,30.0,,47.1,,29.0,18.0,-3.0,,,,,30.3,,-46.4,,,118.3,203.0,-51.1,,89.7,83.0,,-33.0,8.2,,,,-28.0,32.0,,,,,,68.8,78.1,,,,26.0,114.2,,False,,True,True,True,,,,,False,,False,,,False,False,False,,False,False,,False,True,,,,True,False,,,,,,False,False,,,,True,False
01033,57,76.0,,93.8,,84.0,67.0,37.0,,,,,105.2,,40.0,,,131.6,151.0,17.3,,166.3,221.0,,3.0,48.1,,,,38.0,119.0,,,,,,95.7,90.8,,,,6.2,158.9,19.0,,36.8,,27.0,10.0,-20.0,,,,,48.2,,-17.0,,,74.6,94.0,-39.7,,109.3,164.0,,-54.0,-8.9,,,,-19.0,62.0,,,,,,38.7,33.8,,,,-50.8,101.9,,False,,False,True,False,,,,,False,,True,,,False,False,False,,False,False,,False,True,,,,False,False,,,,,,False,False,,,,False,False
01035,8,28.0,,29.9,,22.0,17.0,28.0,,,,,19.0,,11.2,,,35.8,46.0,14.7,,29.9,,,7.5,15.0,,,,17.0,23.0,,,,,,,46.3,,,,25.8,32.6,20.0,,21.9,,14.0,9.0,20.0,,,,,11.0,,3.2,,,27.8,38.0,6.7,,21.9,,,-0.5,7.0,,,,9.0,15.0,,,,,,,38.3,,,,17.8,24.6,,False,,True,True,False,,,,,True,,True,,,False,False,True,,False,,,True,True,,,,True,True,,,,,,,False,,,,True,False
01037,45,44.0,,31.5,,36.0,28.0,61.0,,,,,22.4,,46.7,,,68.2,32.0,171.5,,45.2,,,15.0,31.3,,,,,44.0,,,,,,,29.5,,,,40.5,68.2,-1.0,,-13.5,,-9.0,-17.0,16.0,,,,,-22.6,,1.7,,,23.2,-13.0,126.5,,0.2,,,-30.0,-13.7,,,,,-1.0,,,,,,,-15.5,,,,-4.5,23.2,,False,,False,False,False,,,,,False,,False,,,False,False,False,,True,,,False,False,,,,,False,,,,,,,False,,,,False,False
01039,109,148.0,,184.1,,120.0,75.0,148.0,,,,,77.7,,50.6,,,201.0,187.0,35.0,,140.4,165.0,,42.0,74.0,,,,79.0,118.0,,,,,,163.5,79.2,,,,133.4,136.8,39.0,,75.1,,11.0,-34.0,39.0,,,,,-31.3,,-58.4,,,92.0,78.0,-74.0,,31.4,56.0,,-67.0,-35.0,,,,-30.0,9.0,,,,,,54.5,-29.8,,,,24.4,27.8,,False,,True,True,False,,,,,True,,False,,,False,False,False,,True,False,,False,True,,,,True,True,,,,,,False,True,,,,True,True
01041,46,62.0,,69.6,,46.0,38.0,46.0,,,,,28.1,,16.9,,,86.0,62.0,33.1,,49.8,,,32.0,41.0,,,,37.0,50.0,,,,,,,35.5,,,,48.5,58.9,16.0,,23.6,,0.0,-8.0,0.0,,,,,-17.9,,-29.1,,,40.0,16.0,-12.9,,3.8,,,-14.0,-5.0,,,,-9.0,4.0,,,,,,,-10.5,,,,2.5,12.9,,False,,True,True,True,,,,,False,,False,,,False,False,True,,True,,,True,True,,,,True,True,,,,,,,True,,,,True,True
01043,171,68.0,,105.1,,94.0,91.0,80.0,,,,,143.2,,44.3,,,108.9,350.0,18.2,,220.1,230.0,,24.0,58.4,,,,24.0,100.0,,,,,,310.9,67.7,,,,10.7,170.4,-103.0,,-65.9,,-77.0,-80.0,-91.0,,,,,-27.8,,-126.7,,,-62.1,179.0,-152.8,,49.1,59.0,,-147.0,-112.6,,,,-147.0,-71.0,,,,,,139.9,-103.3,,,,-160.3,-0.6,,True,,True,True,True,,,,,True,,False,,,True,False,False,,True,True,,False,False,,,,False,True,,,,,,False,False,,,,False,True
01045,93,156.0,,158.5,,132.0,106.0,165.0,,,,,94.0,,68.2,,,237.4,261.0,81.0,,147.3,206.5,,100.0,107.8,,,,125.0,135.0,,,,,,119.9,85.0,,,,123.9,146.3,63.0,,65.5,,39.0,13.0,72.0,,,,,1.0,,-24.8,,,144.4,168.0,-12.0,,54.3,113.5,,7.0,14.8,,,,32.0,42.0,,,,,,26.9,-8.0,,,,30.9,53.3,,False,,True,True,False,,,,,True,,True,,,False,False,True,,True,False,,True,True,,,,True,True,,,,,,True,True,,,,True,True
01047,100,100.0,,99.4,,56.0,50.0,32.0,,,,,56.5,,20.8,,,134.4,118.0,1.7,,61.6,145.5,,16.0,41.0,,,,94.0,79.0,,,,,,89.1,139.0,,,,24.1,94.2,0.0,,-0.6,,-44.0,-50.0,-68.0,,,,,-43.5,,-79.2,,,34.4,18.0,-98.3,,-38.4,45.5,,-84.0,-59.0,,,,-6.0,-21.0,,,,,,-10.9,39.0,,,,-75.9,-5.8,,False,,False,False,False,,,,,False,,False,,,False,False,False,,False,False,,False,False,,,,False,False,,,,,,False,False,,,,False,False
01049,108,112.0,,121.1,,99.0,96.0,73.0,,,,,141.8,,42.3,,,178.9,300.0,30.1,,177.2,265.0,,24.0,69.7,,,,55.0,115.0,,,,,,98.1,93.0,,,,60.6,174.4,4.0,,13.1,,-9.0,-12.0,-35.0,,,,,33.8,,-65.7,,,70.9,192.0,-77.9,,69.2,157.0,,-84.0,-38.3,,,,-53.0,7.0,,,,,,-9.9,-15.0,,,,-47.4,66.4,,False,,False,False,False,,,,,False,,False,,,False,False,False,,False,False,,False,False,,,,False,False,,,,,,False,False,,,,False,False
01051,281,280.0,,282.6,,226.0,215.0,210.0,,,,,200.2,,100.3,,,443.8,304.0,125.3,,288.4,330.0,,170.0,210.6,,,,169.0,237.0,,,,,,219.6,183.8,,,,165.2,340.4,-1.0,,1.6,,-55.0,-66.0,-71.0,,,,,-80.8,,-180.7,,,162.8,23.0,-155.7,,7.4,49.0,,-111.0,-70.4,,,,-112.0,-44.0,,,,,,-61.4,-97.2,,,,-115.8,59.4,,False,,False,False,False,,,,,False,,False,,,False,False,False,,False,False,,False,False,,,,False,False,,,,,,False,False,,,,False,False
01053,56,74.0,,68.9,,70.0,56.0,55.0,,,,,71.9,,71.3,,,107.6,171.0,35.1,,127.4,141.5,,13.0,49.7,,,,39.0,70.0,,,,,,82.0,76.0,,,,68.4,108.8,18.0,,12.9,,14.0,0.0,-1.0,,,,,15.9,,15.3,,,51.6,115.0,-20.9,,71.4,85.5,,-43.0,-6.3,,,,-17.0,14.0,,,,,,26.0,20.0,,,,12.4,52.8,,True,,True,True,True,,,,,True,,True,,,False,False,False,,False,False,,False,True,,,,True,True,,,,,,False,False,,,,True,False
01055,371,212.0,,252.0,,185.0,185.0,137.0,,,,,225.0,,107.0,,,315.2,416.0,44.3,,294.2,360.5,,70.0,155.7,,,,106.0,213.0,,,,,,352.8,224.8,,,,68.5,322.6,-159.0,,-119.0,,-186.0,-186.0,-234.0,,,,,-146.0,,-264.0,,,-55.8,45.0,-326.7,,-76.8,-10.5,,-301.0,-215.3,,,,-265.0,-158.0,,,,,,-18.2,-146.2,,,,-302.5,-48.4,,True,,False,False,False,,,,,True,,False,,,True,True,False,,True,True,,False,False,,,,False,True,,,,,,True,True,,,,False,True
01057,44,86.0,,85.9,,43.0,32.0,23.0,,,,,34.9,,8.4,,,106.3,58.0,10.2,,63.6,,,3.0,31.4,,,,46.0,58.0,,,,,,,62.9,,,,78.6,71.0,42.0,,41.9,,-1.0,-12.0,-21.0,,,,,-9.1,,-35.6,,,62.3,14.0,-33.8,,19.6,,,-41.0,-12.6,,,,2.0,14.0,,,,,,,18.9,,,,34.6,27.0,,True,,True,True,True,,,,,True,,True,,,False,True,True,,True,,,True,True,,,,True,True,,,,,,,True,,,,True,True
01059,53,18.0,,22.3,,36.0,39.0,28.0,,,,,63.2,,3.4,,,47.4,128.0,18.7,,87.0,103.0,,6.0,22.7,,,,10.0,68.0,,,,,,40.0,38.5,,,,1.7,71.9,-35.0,,-30.7,,-17.0,-14.0,-25.0,,,,,10.2,,-49.6,,,-5.6,75.0,-34.3,,34.0,50.0,,-47.0,-30.3,,,,-43.0,15.0,,,,,,-13.0,-14.5,,,,-51.3,18.9,,True,,True,True,True,,,,,True,,False,,,True,False,True,,True,False,,False,True,,,,False,True,,,,,,True,True,,,,False,True
01061,35,52.0,,41.6,,38.0,34.0,33.0,,,,,45.5,,21.9,,,71.8,144.0,5.5,,71.7,,,15.0,29.2,,,,22.0,40.0,,,,,,53.7,47.3,,,,28.1,89.3,17.0,,6.6,,3.0,-1.0,-2.0,,,,,10.5,,-13.1,,,36.8,109.0,-29.5,,36.7,,,-20.0,-5.8,,,,-13.0,5.0,,,,,,18.7,12.3,,,,-6.9,54.3,,True,,True,True,True,,,,,True,,True,,,False,False,False,,False,,,False,True,,,,True,True,,,,,,False,True,,,,True,False
01063,24,28.0,,29.3,,21.0,20.0,14.0,,,,,17.3,,25.2,,,38.1,19.0,21.7,,23.4,,,27.0,18.0,,,,29.0,21.0,,,,,,,19.8,,,,32.6,26.2,4.0,,5.3,,-3.0,-4.0,-10.0,,,,,-6.7,,1.2,,,14.1,-5.0,-2.3,,-0.6,,,3.0,-6.0,,,,5.0,-3.0,,,,,,,-4.2,,,,8.6,2.2,,False,,True,False,False,,,,,False,,True,,,False,False,True,,True,,,True,False,,,,False,True,,,,,,,False,,,,False,True
01065,68,72.0,,82.6,,39.0,37.0,20.0,,,,,40.5,,65.3,,,117.3,43.0,2.6,,58.8,,,15.0,36.9,,,,86.0,37.0,,,,,,57.7,51.3,,,,65.1,78.0,4.0,,14.6,,-29.0,-31.0,-48.0,,,,,-27.5,,-2.7,,,49.3,-25.0,-65.4,,-9.2,,,-53.0,-31.1,,,,18.0,-31.0,,,,,,-10.3,-16.7,,,,-2.9,10.0,,False,,False,False,False,,,,,False,,True,,,False,False,False,,False,,,False,False,,,,False,False,,,,,,False,False,,,,True,False
01067,38,50.0,,46.4,,39.0,35.0,45.0,,,,,35.1,,9.7,,,80.3,76.0,12.2,,57.2,,,20.0,33.7,,,,21.0,37.0,,,,,,,51.0,,,,45.8,60.8,12.0,,8.4,,1.0,-3.0,7.0,,,,,-2.9,,-28.3,,,42.3,38.0,-25.8,,19.2,,,-18.0,-4.3,,,,-17.0,-1.0,,,,,,,13.0,,,,7.8,22.8,,True,,True,True,True,,,,,True,,False,,,False,False,False,,False,,,False,True,,,,False,True,,,,,,,False,,,,True,False
01069,141,236.0,,261.3,,207.0,169.0,137.0,,,,,206.0,,108.9,,,342.4,506.0,78.9,,301.8,417.5,,77.0,148.7,,,,121.0,210.0,,,,,,306.0,242.7,,,,212.2,267.9,95.0,,120.3,,66.0,28.0,-4.0,,,,,65.0,,-32.1,,,201.4,365.0,-62.1,,160.8,276.5,,-64.0,7.7,,,,-20.0,69.0,,,,,,165.0,101.7,,,,71.2,126.9,,False,,True,True,True,,,,,True,,True,,,False,False,True,,False,False,,True,True,,,,True,True,,,,,,False,False,,,,True,False
01071,123,44.0,,30.7,,48.0,68.0,33.0,,,,,103.4,,25.4,,,95.0,169.0,10.6,,139.1,183.5,,13.0,49.7,,,,19.0,67.0,,,,,,138.6,53.5,,,,4.3,131.9,-79.0,,-92.3,,-75.0,-55.0,-90.0,,,,,-19.6,,-97.6,,,-28.0,46.0,-112.4,,16.1,60.5,,-110.0,-73.3,,,,-104.0,-56.0,,,,,,15.6,-69.5,,,,-118.7,8.9,,False,,True,True,False,,,,,True,,False,,,True,True,False,,True,True,,False,True,,,,False,True,,,,,,True,True,,,,False,True
01073,1917,1428.0,,1427.8,1165.4,1011.0,1101.0,886.0,,,,,1222.9,,789.7,,823.8,1931.7,2010.0,497.3,,1823.4,1970.0,,717.0,978.5,,,,717.0,1105.0,,,,,,1779.4,1066.3,682.0,,,193.5,1824.8,-489.0,,-489.2,-751.6,-906.0,-816.0,-1031.0,,,,,-694.1,,-1127.3,,-1093.2,14.7,93.0,-1419.7,,-93.6,53.0,,-1200.0,-938.5,,,,-1200.0,-812.0,,,,,,-137.6,-850.7,-1235.0,,,-1723.5,-92.2,,False,False,False,False,False,,,,,False,,False,,False,True,True,False,,True,True,,False,False,,,,False,False,,,,,,True,False,False,,,False,True
