,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01035,5,3.0,,4.4,,5.0,5.0,7.0,,,,,8.0,,,13.2,,,22.0,6.9,,7.8,,,0.0,3.5,,,,,6.0,,,,,,,15.7,,,,0.0,7.9,-2.0,,-0.6,,0.0,0.0,2.0,,,,,3.0,,,8.2,,,17.0,1.9,,2.8,,,-5.0,-1.5,,,,,1.0,,,,,,,10.7,,,,-5.0,2.9,,True,,True,True,False,,,,,False,,,False,,,False,True,,False,,,False,True,,,,,True,,,,,,,False,,,,False,False
01037,15,30.0,,28.9,,15.0,14.0,24.0,,,,,9.7,,,8.7,,,15.0,5.5,,13.4,,,11.0,14.8,,,,22.0,20.0,,,,,,,20.2,,,,22.1,28.0,15.0,,13.9,,0.0,-1.0,9.0,,,,,-5.3,,,-6.3,,,0.0,-9.5,,-1.6,,,-4.0,-0.2,,,,7.0,5.0,,,,,,,5.2,,,,7.1,13.0,,True,,True,True,True,,,,,True,,,True,,,True,True,,True,,,True,True,,,,True,True,,,,,,,True,,,,True,True
01039,45,57.0,,74.0,,45.0,35.0,42.0,,,,,34.3,,,24.1,,,100.0,48.8,,43.2,41.5,,17.0,37.2,,,,41.0,45.0,,,,,,,52.3,,,,50.1,54.3,12.0,,29.0,,0.0,-10.0,-3.0,,,,,-10.7,,,-20.9,,,55.0,3.8,,-1.8,-3.5,,-28.0,-7.8,,,,-4.0,0.0,,,,,,,7.3,,,,5.1,9.3,,False,,True,True,True,,,,,True,,,False,,,False,True,,True,True,,False,True,,,,True,True,,,,,,,True,,,,True,True
01041,24,22.0,,23.6,,19.0,13.0,21.0,,,,,12.6,,,14.0,,,33.0,18.9,,17.2,,,7.0,12.9,,,,16.0,20.0,,,,,,,24.9,,,,14.8,21.0,-2.0,,-0.4,,-5.0,-11.0,-3.0,,,,,-11.4,,,-10.0,,,9.0,-5.1,,-6.8,,,-17.0,-11.1,,,,-8.0,-4.0,,,,,,,0.9,,,,-9.2,-3.0,,True,,False,False,False,,,,,False,,,False,,,False,False,,False,,,False,False,,,,False,False,,,,,,,True,,,,False,False
01043,102,69.0,,91.6,,45.0,54.0,37.0,,,,,64.6,,,64.0,,,182.0,18.8,,61.6,34.0,,36.0,43.1,,,,53.0,48.0,,,,,,,65.2,,,,38.1,82.7,-33.0,,-10.4,,-57.0,-48.0,-65.0,,,,,-37.4,,,-38.0,,,80.0,-83.2,,-40.4,-68.0,,-66.0,-58.9,,,,-49.0,-54.0,,,,,,,-36.8,,,,-63.9,-19.3,,True,,False,False,False,,,,,False,,,False,,,False,False,,False,False,,False,False,,,,False,False,,,,,,,False,,,,False,True
01045,43,50.0,,50.6,,48.0,40.0,46.0,,,,,38.8,,,59.1,,,141.0,60.9,,50.2,41.0,,26.0,38.6,,,,38.0,43.0,,,,,,,55.2,,,,33.0,53.6,7.0,,7.6,,5.0,-3.0,3.0,,,,,-4.2,,,16.1,,,98.0,17.9,,7.2,-2.0,,-17.0,-4.4,,,,-5.0,0.0,,,,,,,12.2,,,,-10.0,10.6,,False,,True,True,True,,,,,True,,,False,,,False,False,,False,True,,False,True,,,,True,True,,,,,,,False,,,,False,False
01047,27,73.0,,73.8,,52.0,25.0,25.0,,,,,28.3,,,28.7,,,55.0,222.5,,27.1,34.5,,2.0,28.1,,,,77.0,56.0,,,,,,,59.1,,,,80.0,49.0,46.0,,46.8,,25.0,-2.0,-2.0,,,,,1.3,,,1.7,,,28.0,195.5,,0.1,7.5,,-25.0,1.1,,,,50.0,29.0,,,,,,,32.1,,,,53.0,22.0,,False,,True,True,True,,,,,True,,,True,,,True,False,,True,True,,True,True,,,,False,True,,,,,,,True,,,,False,True
01049,66,42.0,,40.7,,36.0,45.0,28.0,,,,,63.7,,,24.2,,,153.0,27.4,,56.0,59.0,,16.0,38.9,,,,27.0,33.0,,,,,,,32.2,,,,24.0,65.8,-24.0,,-25.3,,-30.0,-21.0,-38.0,,,,,-2.3,,,-41.8,,,87.0,-38.6,,-10.0,-7.0,,-50.0,-27.1,,,,-39.0,-33.0,,,,,,,-33.8,,,,-42.0,-0.2,,False,,False,True,False,,,,,True,,,False,,,False,False,,True,True,,False,False,,,,False,False,,,,,,,False,,,,False,True
01051,138,143.0,,143.9,,108.0,96.0,139.0,,,,,90.4,,,144.8,,,149.0,99.8,,96.6,95.5,,67.0,97.1,,,,107.0,103.0,,,,,,,140.8,,,,91.7,141.5,5.0,,5.9,,-30.0,-42.0,1.0,,,,,-47.6,,,6.8,,,11.0,-38.2,,-41.4,-42.5,,-71.0,-40.9,,,,-31.0,-35.0,,,,,,,2.8,,,,-46.3,3.5,,False,,False,False,True,,,,,False,,,False,,,False,False,,False,False,,False,False,,,,False,False,,,,,,,True,,,,False,True
01053,22,32.0,,30.1,,29.0,37.0,21.0,,,,,32.0,,,0.0,,,84.0,20.5,,37.9,25.0,,48.0,23.4,,,,20.0,27.0,,,,,,,38.2,,,,22.4,41.5,10.0,,8.1,,7.0,15.0,-1.0,,,,,10.0,,,-22.0,,,62.0,-1.5,,15.9,3.0,,26.0,1.4,,,,-2.0,5.0,,,,,,,16.2,,,,0.4,19.5,,True,,True,False,True,,,,,False,,,False,,,False,True,,False,True,,False,True,,,,True,True,,,,,,,False,,,,True,False
01055,250,121.0,,146.1,,114.0,99.0,121.0,,,,,103.1,,,44.5,,,208.0,60.4,,91.1,88.0,,70.0,96.4,,,,82.0,97.0,,,,,,,140.1,,,,106.4,125.7,-129.0,,-103.9,,-136.0,-151.0,-129.0,,,,,-146.9,,,-205.5,,,-42.0,-189.6,,-158.9,-162.0,,-180.0,-153.6,,,,-168.0,-153.0,,,,,,,-109.9,,,,-143.6,-124.3,,True,,False,False,False,,,,,False,,,False,,,True,False,,False,False,,False,False,,,,False,False,,,,,,,True,,,,False,True
01057,24,20.0,,23.1,,19.0,12.0,3.0,,,,,15.0,,,16.1,,,30.0,39.3,,19.7,,,4.0,12.1,,,,17.0,20.0,,,,,,,23.8,,,,16.6,21.5,-4.0,,-0.9,,-5.0,-12.0,-21.0,,,,,-9.0,,,-7.9,,,6.0,15.3,,-4.3,,,-20.0,-11.9,,,,-7.0,-4.0,,,,,,,-0.2,,,,-7.4,-2.5,,True,,False,False,False,,,,,False,,,False,,,False,False,,False,,,False,False,,,,False,False,,,,,,,True,,,,False,True
01059,18,35.0,,36.0,,24.0,21.0,4.0,,,,,28.8,,,0.0,,,57.0,4.6,,20.8,14.0,,5.0,19.7,,,,29.0,46.0,,,,,,,28.8,,,,17.0,36.2,17.0,,18.0,,6.0,3.0,-14.0,,,,,10.8,,,-18.0,,,39.0,-13.4,,2.8,-4.0,,-13.0,1.7,,,,11.0,28.0,,,,,,,10.8,,,,-1.0,18.2,,False,,True,True,True,,,,,True,,,False,,,False,True,,True,True,,True,True,,,,True,False,,,,,,,True,,,,True,False
01061,15,20.0,,16.7,,19.0,19.0,7.0,,,,,19.0,,,14.1,,,83.0,20.2,,22.5,,,12.0,20.1,,,,12.0,15.0,,,,,,,17.6,,,,21.9,19.2,5.0,,1.7,,4.0,4.0,-8.0,,,,,4.0,,,-0.9,,,68.0,5.2,,7.5,,,-3.0,5.1,,,,-3.0,0.0,,,,,,,2.6,,,,6.9,4.2,,True,,True,True,False,,,,,True,,,True,,,False,False,,False,,,True,False,,,,True,True,,,,,,,True,,,,False,True
01063,12,12.0,,12.4,,8.0,8.0,8.0,,,,,7.8,,,22.4,,,8.0,8.1,,7.1,,,5.0,8.6,,,,9.0,8.0,,,,,,,9.1,,,,12.2,10.9,0.0,,0.4,,-4.0,-4.0,-4.0,,,,,-4.2,,,10.4,,,-4.0,-3.9,,-4.9,,,-7.0,-3.4,,,,-3.0,-4.0,,,,,,,-2.9,,,,0.2,-1.1,,False,,False,False,False,,,,,False,,,False,,,False,False,,False,,,False,False,,,,False,False,,,,,,,False,,,,False,False
01065,31,37.0,,40.9,,22.0,20.0,7.0,,,,,17.9,,,21.3,,,20.0,65.7,,18.4,,,10.0,22.4,,,,38.0,19.0,,,,,,,31.5,,,,37.5,32.7,6.0,,9.9,,-9.0,-11.0,-24.0,,,,,-13.1,,,-9.7,,,-11.0,34.7,,-12.6,,,-21.0,-8.6,,,,7.0,-12.0,,,,,,,0.5,,,,6.5,1.7,,False,,False,False,False,,,,,False,,,False,,,False,False,,False,,,False,False,,,,False,False,,,,,,,True,,,,False,True
01067,14,21.0,,23.4,,18.0,14.0,14.0,,,,,14.6,,,12.7,,,41.0,17.9,,17.0,,,7.0,14.4,,,,11.0,14.0,,,,,,,18.6,,,,20.8,19.0,7.0,,9.4,,4.0,0.0,0.0,,,,,0.6,,,-1.3,,,27.0,3.9,,3.0,,,-7.0,0.4,,,,-3.0,0.0,,,,,,,4.6,,,,6.8,5.0,,False,,True,True,True,,,,,True,,,True,,,False,True,,True,,,False,True,,,,True,True,,,,,,,True,,,,True,True
01069,59,82.0,,86.8,,76.0,82.0,75.0,,,,,82.0,,,90.6,,,287.0,56.3,,101.7,83.5,,58.0,77.5,,,,51.0,64.0,,,,,,,96.8,,,,21.2,97.9,23.0,,27.8,,17.0,23.0,16.0,,,,,23.0,,,31.6,,,228.0,-2.7,,42.7,24.5,,-1.0,18.5,,,,-8.0,5.0,,,,,,,37.8,,,,-37.8,38.9,,False,,True,False,True,,,,,True,,,False,,,False,True,,False,False,,True,True,,,,True,True,,,,,,,False,,,,False,False
01071,64,59.0,,45.6,,42.0,37.0,2.0,,,,,47.5,,,18.9,,,83.0,12.2,,46.9,37.5,,11.0,38.1,,,,43.0,41.0,,,,,,,52.5,,,,60.0,65.2,-5.0,,-18.4,,-22.0,-27.0,-62.0,,,,,-16.5,,,-45.1,,,19.0,-51.8,,-17.1,-26.5,,-53.0,-25.9,,,,-21.0,-23.0,,,,,,,-11.5,,,,-4.0,1.2,,False,,False,False,False,,,,,False,,,False,,,False,False,,False,False,,False,False,,,,False,False,,,,,,,False,,,,True,True
01073,1089,828.0,,810.0,648.4,648.0,607.0,818.0,,,,,574.2,,,812.1,,594.7,976.0,378.5,,702.8,435.0,,354.0,671.6,,,,651.0,567.0,,,,,,,923.0,596.0,,,768.3,930.6,-261.0,,-279.0,-440.6,-441.0,-482.0,-271.0,,,,,-514.8,,,-276.9,,-494.3,-113.0,-710.5,,-386.2,-654.0,,-735.0,-417.4,,,,-438.0,-522.0,,,,,,,-166.0,-493.0,,,-320.7,-158.4,,False,False,False,False,False,,,,,False,,,False,,False,True,False,,False,False,,False,False,,,,False,False,,,,,,,True,False,,,False,True
01075,14,33.0,,33.0,,21.0,15.0,8.0,,,,,9.7,,,1.6,,,24.0,33.2,,9.5,,,9.0,17.9,,,,32.0,22.0,,,,,,,24.2,,,,34.2,22.8,19.0,,19.0,,7.0,1.0,-6.0,,,,,-4.3,,,-12.4,,,10.0,19.2,,-4.5,,,-5.0,3.9,,,,18.0,8.0,,,,,,,10.2,,,,20.2,8.8,,True,,True,True,True,,,,,True,,,True,,,True,False,,True,,,True,True,,,,True,True,,,,,,,True,,,,False,True
01077,40,79.0,,80.7,,81.0,56.0,45.0,,,,,64.8,,,42.6,,,114.0,38.7,,64.2,59.5,,22.0,59.1,,,,53.0,113.0,,,,,,,72.4,,,,92.5,95.0,39.0,,40.7,,41.0,16.0,5.0,,,,,24.8,,,2.6,,,74.0,-1.3,,24.2,19.5,,-18.0,19.1,,,,13.0,73.0,,,,,,,32.4,,,,52.5,55.0,,False,,False,True,True,,,,,True,,,True,,,False,True,,True,True,,True,True,,,,True,False,,,,,,,True,,,,False,False
