,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Hawaii,40,17.0,19.2,21.3,,,18.2,23.1,19.6,-23.0,-20.8,-18.7,,,-21.8,-16.9,-20.4,True,True,,,True,True,True
Idaho,269,122.4,132.8,99.3,88.0,,96.8,110.4,102.2,-146.6,-136.2,-169.7,-181.0,,-172.2,-158.6,-166.8,True,False,False,,False,False,False
Illinois,7937,9886.3,7470.6,7631.1,8098.0,,7586.2,7075.2,9754.2,1949.3,-466.4,-305.9,161.0,,-350.8,-861.8,1817.2,True,True,True,,True,True,True
Indiana,3128,3476.0,3096.8,2997.4,2508.0,,2815.7,3169.7,3609.8,348.0,-31.2,-130.6,-620.0,,-312.3,41.7,481.8,True,True,False,,True,True,False
Iowa,975,1068.3,1145.0,1059.1,797.0,,882.3,880.4,1026.2,93.3,170.0,84.1,-178.0,,-92.7,-94.6,51.2,False,True,False,,True,False,True
Kansas,406,351.3,305.2,359.5,336.0,,290.6,202.7,350.8,-54.7,-100.8,-46.5,-70.0,,-115.4,-203.3,-55.2,False,True,False,,False,False,False
Kentucky,810,755.9,694.0,729.1,596.0,,760.7,718.3,940.2,-54.1,-116.0,-80.9,-214.0,,-49.3,-91.7,130.2,False,False,False,,True,False,False
Louisiana,4430,3704.9,3671.9,3882.7,3783.0,,3338.6,3238.6,3907.6,-725.1,-758.1,-547.3,-647.0,,-1091.4,-1191.4,-522.4,False,True,True,,False,False,True
Maine,127,108.9,121.2,150.3,128.0,,109.8,164.1,135.1,-18.1,-5.8,23.3,1.0,,-17.2,37.1,8.1,True,False,True,,True,False,True
Maryland,3636,4621.9,3830.3,4230.0,3880.0,,3534.0,3734.7,4488.2,985.9,194.3,594.0,244.0,,-102.0,98.7,852.2,True,True,True,,True,True,True
Massachusetts,8826,10352.0,8422.6,8344.2,8915.0,,8477.2,8294.6,9191.8,1526.0,-403.4,-481.8,89.0,,-348.8,-531.4,365.8,True,True,True,,True,True,True
Michigan,6586,6804.3,6447.2,7415.7,7487.0,,6675.9,6273.8,6727.7,218.3,-138.8,829.7,901.0,,89.9,-312.2,141.7,True,False,False,,True,False,True
Minnesota,1705,2498.1,2035.3,2323.4,2351.0,,1842.1,1457.6,2587.9,793.1,330.3,618.4,646.0,,137.1,-247.4,882.9,True,True,True,,True,True,False
Mississippi,2080,1546.4,1796.9,1273.4,1104.0,,1197.5,1400.0,1756.9,-533.6,-283.1,-806.6,-976.0,,-882.5,-680.0,-323.1,True,False,False,,False,False,True
Missouri,1378,1195.0,1293.4,1364.4,1126.0,,1680.6,1264.8,1839.4,-179.0,-80.6,-9.6,-248.0,,306.6,-109.2,465.4,True,True,False,,False,True,False
Montana,82,27.9,20.6,24.1,19.0,,22.3,18.4,22.9,-54.1,-61.4,-57.9,-63.0,,-59.7,-63.6,-59.1,False,False,False,,False,False,False
Nebraska,361,463.0,362.5,398.9,285.0,,329.4,246.0,468.9,102.0,1.5,37.9,-76.0,,-31.6,-115.0,107.9,True,True,True,,True,False,False
Nevada,1069,684.4,679.3,679.5,608.0,,615.7,757.4,779.1,-384.6,-389.7,-389.5,-461.0,,-453.3,-311.6,-289.9,False,False,False,,False,True,True
New Hampshire,423,621.1,507.5,600.9,342.0,,504.0,457.0,718.1,198.1,84.5,177.9,-81.0,,81.0,34.0,295.1,True,True,True,,True,True,False
New Jersey,15910,16937.0,13371.8,13877.5,13972.0,,14026.4,13027.2,14534.0,2883.0,-682.2,-176.5,-82.0,,-27.6,-1026.8,480.0,True,True,True,,True,True,True
New Mexico,711,780.4,791.8,776.0,535.0,,587.3,560.4,831.1,69.4,80.8,65.0,-176.0,,-123.7,-150.6,120.1,False,True,False,,False,False,False
New York,32809,34819.6,31658.8,32881.0,32808.0,,31603.2,32569.6,32440.3,2780.6,-380.2,842.0,769.0,,-435.8,530.6,401.3,True,True,True,,True,True,True
North Carolina,2343,2017.7,2646.5,1980.9,2172.0,,2276.7,2943.8,2624.3,-325.3,303.5,-362.1,-171.0,,-66.3,600.8,281.3,True,False,True,,True,False,True
North Dakota,121,91.7,92.7,115.4,166.0,,98.3,92.8,130.8,-29.3,-28.3,-5.6,45.0,,-22.7,-28.2,9.8,True,True,False,,True,True,True
Ohio,3824,4153.3,3522.2,3320.2,3167.0,,3317.5,3229.8,4315.5,329.3,-301.8,-503.8,-657.0,,-506.5,-594.2,491.5,True,False,False,,False,False,False
Oklahoma,657,456.4,438.5,528.0,521.0,,401.7,556.9,461.4,-200.6,-218.5,-129.0,-136.0,,-255.3,-100.1,-195.6,False,True,True,,False,True,True
Oregon,386,261.6,227.7,345.7,222.0,,219.5,336.6,251.8,-121.4,-155.3,-37.3,-161.0,,-163.5,-46.4,-131.2,False,True,False,,False,True,False
Pennsylvania,7451,8624.1,8245.6,7867.4,6742.0,,7513.7,7429.1,8261.1,1173.1,794.6,416.4,-709.0,,62.7,-21.9,810.1,True,True,True,,True,True,True
Rhode Island,1027,1373.3,1072.9,1093.6,994.0,,1079.5,781.2,1317.3,396.3,95.9,116.6,17.0,,102.5,-195.8,340.3,True,True,True,,True,True,True
South Carolina,2260,1078.3,1615.7,1763.9,869.0,,1001.1,1974.3,1427.4,-1181.7,-644.3,-496.1,-1391.0,,-1258.9,-285.7,-832.6,True,True,False,,False,True,True
South Dakota,152,163.6,115.6,151.8,97.0,,97.1,101.7,148.0,11.6,-36.4,-0.2,-55.0,,-54.9,-50.3,-4.0,False,True,False,,False,False,True
Tennessee,1345,970.0,810.2,1236.2,1049.0,,716.8,797.6,903.9,-375.0,-534.8,-108.8,-296.0,,-628.2,-547.4,-441.1,False,True,True,,False,False,False
Texas,10273,3250.6,3656.7,3608.3,3502.0,10504.0,2604.9,4306.5,3576.0,-6856.4,-6450.3,-6498.7,-6605.0,397.0,-7502.1,-5800.5,-6531.0,True,True,True,True,False,True,True
Utah,363,298.4,527.7,335.4,263.0,,211.5,348.2,365.2,-64.6,164.7,-27.6,-100.0,,-151.5,-14.8,2.2,False,True,False,,False,True,True
Vermont,58,55.0,68.9,59.6,58.0,,65.6,54.4,61.9,-3.0,10.9,1.6,0.0,,7.6,-3.6,3.9,False,True,True,,False,False,False
Virginia,2381,2201.4,2327.1,1957.6,1999.0,,1864.9,1918.2,2692.5,-179.6,-53.9,-423.4,-382.0,,-516.1,-462.8,311.5,True,False,False,,False,False,False
Washington,1766,1748.4,1518.8,1466.2,1407.0,,1346.6,1577.2,1767.0,-17.6,-247.2,-299.8,-359.0,,-419.4,-188.8,1.0,False,False,False,,False,False,True
West Virginia,160,123.4,101.6,125.0,87.0,,125.4,146.9,123.9,-36.6,-58.4,-35.0,-73.0,,-34.6,-13.1,-36.1,False,True,False,,True,True,True
Wisconsin,1094,1090.6,1047.4,1098.2,1055.0,,862.5,873.3,1355.8,44.6,1.4,52.2,9.0,,-183.5,-172.7,309.8,True,False,True,,False,False,False
Wyoming,30,26.9,25.4,19.5,18.0,,19.4,33.4,25.8,-3.1,-4.6,-10.5,-12.0,,-10.6,3.4,-4.2,False,False,False,,False,False,False
US,169524,161408.3,148646.8,156995.0,141754.0,145111.0,131743.2,146440.8,161850.7,-5218.7,-17980.2,-9632.0,-24873.0,-21516.0,-34883.8,-20186.2,-4776.3,False,False,False,False,False,False,True
