,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,STH-3PU,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-STH-3PU,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Montana,82,35.7,43.6,31.7,30.0,39.8,,22.0,25.2,46.8,47.2,32.3,-46.3,-38.4,-50.3,-52.0,-42.2,,-60.0,-56.8,-35.2,-34.8,-49.7,True,False,False,True,,False,False,True,True,False
Nebraska,361,424.7,336.6,404.9,334.0,356.0,,372.0,334.1,283.4,352.6,475.5,63.7,-24.4,43.9,-27.0,-5.0,,11.0,-26.9,-77.6,-8.4,114.5,True,True,True,True,,True,True,False,True,False
Nevada,1069,589.1,1106.2,730.0,554.0,912.2,,558.0,648.9,938.3,1487.5,741.4,-479.9,37.2,-339.0,-515.0,-156.8,,-511.0,-420.1,-130.7,418.5,-327.6,True,True,False,True,,False,True,True,True,True
New Hampshire,423,559.0,453.2,568.1,378.0,456.1,,563.0,482.7,449.9,438.6,514.4,136.0,30.2,145.1,-45.0,33.1,,140.0,59.7,26.9,15.6,91.4,True,False,True,True,,False,True,True,True,True
New Jersey,15910,28936.1,13464.7,15812.5,16279.0,15796.9,,15610.0,15286.3,13656.2,16267.3,15873.8,13026.1,-2445.3,-97.5,369.0,-113.1,,-300.0,-623.7,-2253.8,357.3,-36.2,True,True,True,True,,True,True,True,True,True
New Mexico,711,649.7,687.0,693.4,708.0,686.6,,616.0,599.4,624.5,617.6,695.5,-61.3,-24.0,-17.6,-3.0,-24.4,,-95.0,-111.6,-86.5,-93.4,-15.5,True,True,True,True,,False,False,False,False,True
New York,32809,33262.1,31755.2,32768.2,32016.0,32511.2,,31701.0,31782.2,32694.0,31936.5,32521.9,1134.1,-372.8,640.2,-112.0,383.2,,-427.0,-345.8,566.0,-191.5,393.9,True,True,True,True,,True,True,True,True,True
North Carolina,2343,2236.6,2377.6,1896.7,2065.0,1953.7,,1761.0,1950.9,2113.3,2105.8,2404.8,-106.4,34.6,-446.3,-278.0,-389.3,,-582.0,-392.1,-229.7,-237.2,61.8,True,False,False,False,,False,False,False,False,True
North Dakota,121,92.7,95.5,87.1,103.0,95.9,,90.0,93.6,90.4,100.9,104.2,-28.3,-25.5,-33.9,-18.0,-25.1,,-31.0,-27.4,-30.6,-20.1,-16.8,True,False,True,True,,False,True,False,True,True
Ohio,3824,3540.7,3474.6,3671.8,3292.0,3601.2,,3413.0,3565.5,3900.6,4440.4,3789.8,-283.3,-349.4,-152.2,-532.0,-222.8,,-411.0,-258.5,76.6,616.4,-34.2,False,True,False,True,,False,True,True,False,True
Oklahoma,657,494.7,737.1,459.0,447.0,467.3,,403.0,461.9,710.9,708.3,538.0,-162.3,80.1,-198.0,-210.0,-189.7,,-254.0,-195.1,53.9,51.3,-119.0,True,False,False,False,,False,False,True,True,True
Oregon,386,284.3,386.2,331.3,376.0,300.3,,350.0,269.5,391.8,405.1,318.2,-101.7,0.2,-54.7,-10.0,-85.7,,-36.0,-116.5,5.8,19.1,-67.8,True,True,True,True,,True,False,True,True,True
Pennsylvania,7451,7860.9,7443.9,7586.7,7444.0,7521.5,,7446.0,7279.7,7345.8,7115.9,8002.9,409.9,-7.1,135.7,-7.0,70.5,,-5.0,-171.3,-105.2,-335.1,551.9,True,True,True,True,,True,True,True,True,False
Rhode Island,1027,1153.3,1042.4,1186.1,1178.0,993.6,,1078.0,1077.2,844.6,977.7,1191.7,126.3,15.4,159.1,151.0,-33.4,,51.0,50.2,-182.4,-49.3,164.7,True,False,False,True,,True,True,False,True,False
South Carolina,2260,1148.0,1966.6,1111.5,874.0,1201.4,,875.0,875.5,1843.6,1551.1,1365.9,-1112.0,-293.4,-1148.5,-1386.0,-1058.6,,-1385.0,-1384.5,-416.4,-708.9,-894.1,True,False,False,True,,False,False,True,True,True
South Dakota,152,159.6,125.2,163.3,113.0,123.7,,154.0,104.8,111.3,117.0,156.4,7.6,-26.8,11.3,-39.0,-28.3,,2.0,-47.2,-40.7,-35.0,4.4,False,False,False,False,,True,False,False,False,True
Tennessee,1345,981.7,1137.9,1154.8,1345.0,747.4,,760.0,761.8,882.5,1099.0,1146.4,-363.3,-207.1,-190.2,0.0,-597.6,,-585.0,-583.2,-462.5,-246.0,-198.6,True,True,True,False,,False,False,False,True,True
Texas,10273,3848.9,6294.3,5528.9,3382.0,3392.2,4682.0,3307.0,3962.8,6163.1,7908.0,4707.1,-6194.1,-3748.7,-4514.1,-6661.0,-6650.8,-5361.0,-6736.0,-6080.2,-3879.9,-2135.0,-5335.9,True,True,False,False,True,False,True,True,True,True
Utah,363,228.7,549.8,288.1,228.0,258.8,,226.0,222.2,334.4,289.5,322.5,-134.3,186.8,-74.9,-135.0,-104.2,,-137.0,-140.8,-28.6,-73.5,-40.5,False,True,False,True,,False,False,True,True,True
Vermont,58,56.0,61.5,63.3,56.0,64.9,,,61.3,51.2,57.8,61.8,-2.0,3.5,5.3,-2.0,6.9,,,3.3,-6.8,-0.2,3.8,False,False,False,False,,,False,False,True,False
Virginia,2381,2561.7,2026.9,2083.8,2173.0,2058.6,,2191.0,1888.1,1920.0,1871.0,2218.0,180.7,-354.1,-297.2,-208.0,-322.4,,-190.0,-492.9,-461.0,-510.0,-163.0,False,False,False,False,,False,False,False,False,True
Washington,1766,1584.3,1623.0,1641.9,1375.0,1536.5,,1421.0,1398.0,1688.4,1779.5,1710.0,-181.7,-143.0,-124.1,-391.0,-229.5,,-345.0,-368.0,-77.6,13.5,-56.0,True,True,False,False,,False,False,True,True,True
West Virginia,160,120.4,115.5,121.0,97.0,123.3,,107.0,118.5,138.9,166.2,117.8,-39.6,-44.5,-39.0,-63.0,-36.7,,-53.0,-41.5,-21.1,6.2,-42.2,False,True,False,True,,False,False,True,True,False
Wisconsin,1094,1003.3,1000.1,1070.9,960.0,1057.7,,947.0,874.5,946.5,1221.3,1160.5,-54.7,-57.9,12.9,-98.0,-0.3,,-111.0,-183.5,-111.5,163.3,102.5,False,True,False,True,,False,False,False,False,False
Wyoming,30,20.0,44.7,21.9,21.0,36.0,,63.0,21.4,36.9,26.1,28.9,-10.0,14.7,-8.1,-9.0,6.0,,33.0,-8.6,6.9,-3.9,-1.1,False,True,True,True,,False,True,True,True,True
US,169524,165739.0,158364.1,153223.2,135094.0,152039.5,137250.0,142818.0,145622.4,162210.3,175863.2,157710.3,-2827.0,-10201.9,-15342.8,-33472.0,-16526.5,-31316.0,-25748.0,-22943.6,-6355.7,7297.2,-10855.7,False,False,False,False,False,False,False,False,False,False
