,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR
Oklahoma,657,583.7,403.8,420.0,392.3,503.3,-73.3,-253.2,-237.0,-264.7,-153.7,False,False,False,False
Oregon,386,207.3,172.9,176.0,213.1,241.3,-178.7,-213.1,-210.0,-172.9,-144.7,False,False,True,True
Pennsylvania,7451,10104.1,6374.9,5943.0,8018.9,6168.7,2653.1,-1076.1,-1508.0,567.9,-1282.3,True,True,True,True
Rhode Island,1027,1912.3,813.4,980.0,990.0,635.5,992.3,-106.6,60.0,70.0,-284.5,True,True,True,True
South Carolina,2260,1134.6,717.3,648.0,889.6,992.7,-1125.4,-1542.7,-1612.0,-1370.4,-1267.3,False,False,False,False
South Dakota,152,192.3,127.8,158.0,92.4,76.2,40.3,-24.2,6.0,-59.6,-75.8,True,True,False,False
Tennessee,1345,668.0,637.5,691.0,483.4,492.6,-677.0,-707.5,-654.0,-861.6,-852.4,False,True,False,False
Texas,10273,3271.0,2991.5,3098.0,2966.3,3337.9,-6887.0,-7166.5,-7060.0,-7191.7,-6820.1,False,False,False,True
Utah,363,286.7,357.7,190.0,264.5,178.1,-76.3,-5.3,-173.0,-98.5,-184.9,True,False,False,False
Vermont,58,65.9,57.0,55.0,68.2,54.3,7.9,-1.0,-3.0,10.2,-3.7,True,True,False,True
Virginia,2381,3589.9,2076.6,2168.0,2674.0,2815.3,1208.9,-304.4,-213.0,293.0,434.3,True,True,True,True
Washington,1766,1736.9,1390.3,1308.0,1299.8,1344.2,-29.1,-375.7,-458.0,-466.2,-421.8,False,False,False,False
West Virginia,160,107.6,120.0,78.0,146.3,141.3,-52.4,-40.0,-82.0,-13.7,-18.7,True,False,True,True
Wisconsin,1094,1482.3,1059.2,1144.0,897.8,1997.6,446.3,23.2,108.0,-138.2,961.6,True,True,True,False
Wyoming,30,59.4,25.1,18.0,18.1,20.4,29.4,-4.9,-12.0,-11.9,-9.6,True,True,True,True
US,169524,176711.3,128611.8,138180.0,129142.1,127146.2,10480.3,-37619.2,-28051.0,-37088.9,-39084.8,False,False,False,False
