,actual_deaths,Baseline,Auquan-SEIR,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,4669,4475.1,4634.0,4505.0,4487.0,4411.0,4687.0,,4411.5,4419.0,4429.3,4332.4,4395.0,4439.4,4367.0,4604.9,4471.9,4513.8,4351.7,4501.1,4103.9,4468.1,,3598.6,4543.9,4972.0,,,4174.5,,4396.0,4431.0,,4406.0,4208.0,4645.0,4564.0,4518.0,4427.2,4110.0,-193.9,-35.0,-164.0,-182.0,-258.0,18.0,,-257.5,-250.0,-239.7,-336.6,-274.0,-229.6,-302.0,-64.1,-197.1,-155.2,-317.3,-167.9,-565.1,-200.9,,-1070.4,-125.1,303.0,,,-494.5,,-273.0,-238.0,,-263.0,-461.0,-24.0,-105.0,-151.0,-241.8,-559.0,True,True,True,False,True,,False,False,False,False,False,False,False,True,False,True,False,True,False,False,,False,True,False,,,False,,False,False,,False,False,True,True,True,False,False
Hawaii,40,26.0,34.0,29.0,26.0,32.0,43.0,,33.0,30.0,32.1,,,33.3,,28.8,42.8,38.7,36.4,26.5,27.8,28.6,,50.3,36.1,33.0,,,27.9,,32.0,26.5,,33.0,,31.4,26.0,29.0,29.4,,-14.0,-6.0,-11.0,-14.0,-8.0,3.0,,-7.0,-10.0,-7.9,,,-6.7,,-11.2,2.8,-1.3,-3.6,-13.5,-12.2,-11.4,,10.3,-3.9,-7.0,,,-12.1,,-8.0,-13.5,,-7.0,,-8.6,-14.0,-11.0,-10.6,,True,True,False,True,True,,True,True,True,,,True,,True,True,True,True,True,True,True,,True,True,True,,,True,,True,True,,True,,True,False,True,True,
Idaho,269,291.7,279.0,274.0,299.0,291.0,260.0,,285.2,248.0,361.1,306.1,,229.4,242.0,306.4,336.1,268.0,225.7,259.1,247.5,333.7,,204.9,296.4,442.0,,,221.5,,299.0,300.1,,263.0,,261.9,290.0,491.0,308.3,258.0,22.7,10.0,5.0,30.0,22.0,-9.0,,16.2,-21.0,92.1,37.1,,-39.6,-27.0,37.4,67.1,-1.0,-43.3,-9.9,-21.5,64.7,,-64.1,27.4,173.0,,,-47.5,,30.0,31.1,,-6.0,,-7.1,21.0,222.0,39.3,-11.0,True,True,False,True,True,,True,True,False,False,,False,False,False,False,True,False,True,True,False,,False,False,False,,,False,,False,False,,True,,True,True,False,False,True
Illinois,7937,7944.3,8331.0,7937.0,7923.3,7949.0,8074.0,,7933.9,7741.0,7888.9,7941.7,,7741.7,7991.0,7970.0,7881.9,7948.7,7902.4,7955.6,8286.6,7943.2,8380.5,7720.6,7965.1,7848.0,,,7995.8,,7929.0,7952.9,,7940.0,8137.7,8407.1,7964.0,7859.0,7968.8,7621.0,7.3,394.0,0.0,-13.7,12.0,137.0,,-3.1,-196.0,-48.1,4.7,,-195.3,54.0,33.0,-55.1,11.7,-34.6,18.6,349.6,6.2,443.5,-216.4,28.1,-89.0,,,58.8,,-8.0,15.9,,3.0,200.7,470.1,27.0,-78.0,31.8,-316.0,False,True,False,False,False,,True,False,False,True,,False,False,False,False,False,False,False,False,True,False,False,False,False,,,False,,False,False,,True,False,False,False,False,False,False
Indiana,3128,3108.7,3205.0,3121.0,3122.9,3126.0,3128.0,,3103.6,3170.0,3086.6,3127.3,,3177.3,3031.0,3175.3,2990.8,3189.9,3094.2,3113.2,3276.3,3291.4,3005.5,2991.9,3138.3,3073.0,,,3206.1,,3104.0,3114.7,,3134.0,3102.9,3413.8,3148.0,3204.0,3147.1,3103.0,-19.3,77.0,-7.0,-5.1,-2.0,0.0,,-24.4,42.0,-41.4,-0.7,,49.3,-97.0,47.3,-137.2,61.9,-33.8,-14.8,148.3,163.4,-122.5,-136.1,10.3,-55.0,,,78.1,,-24.0,-13.3,,6.0,-25.1,285.8,20.0,76.0,19.1,-25.0,False,True,True,True,True,,False,False,False,True,,False,False,False,False,False,False,True,False,False,False,False,True,False,,,False,,False,True,,True,False,False,False,False,True,False
Iowa,975,969.0,1036.0,969.0,970.0,953.0,941.0,,965.1,935.0,947.2,928.9,,981.4,899.0,970.3,1014.0,996.8,935.0,953.4,940.5,983.9,,892.6,951.1,1005.5,,,931.8,,955.0,964.8,,944.0,945.5,1008.0,956.0,991.0,970.8,,-6.0,61.0,-6.0,-5.0,-22.0,-34.0,,-9.9,-40.0,-27.8,-46.1,,6.4,-76.0,-4.7,39.0,21.8,-40.0,-21.6,-34.5,8.9,,-82.4,-23.9,30.5,,,-43.2,,-20.0,-10.2,,-31.0,-29.5,33.0,-19.0,16.0,-4.2,,False,False,True,False,False,,False,False,False,False,,False,False,True,False,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,False,False,False,False,True,
Kansas,406,416.7,458.0,424.0,416.0,414.0,419.0,,434.4,387.0,421.5,,,388.9,447.0,418.2,468.4,408.6,383.3,405.8,399.2,415.6,,354.5,415.9,407.0,,,396.4,,396.0,414.1,,399.0,,434.9,414.0,443.0,416.8,,10.7,52.0,18.0,10.0,8.0,13.0,,28.4,-19.0,15.5,,,-17.1,41.0,12.2,62.4,2.6,-22.7,-0.2,-6.8,9.6,,-51.5,9.9,1.0,,,-9.6,,-10.0,8.1,,-7.0,,28.9,8.0,37.0,10.8,,False,False,True,True,False,,False,False,False,,,False,False,False,False,True,False,True,True,True,,False,True,True,,,True,,True,True,,True,,False,True,False,False,
Kentucky,810,820.0,851.0,834.0,828.0,838.0,835.0,,844.7,855.0,847.9,864.8,,809.1,807.0,853.8,919.7,834.3,804.1,821.3,885.6,835.9,837.5,866.7,838.4,833.0,,,798.7,,831.0,838.6,,825.0,799.7,913.8,854.0,863.0,839.8,,10.0,41.0,24.0,18.0,28.0,25.0,,34.7,45.0,37.9,54.8,,-0.9,-3.0,43.8,109.7,24.3,-5.9,11.3,75.6,25.9,27.5,56.7,28.4,23.0,,,-11.3,,21.0,28.6,,15.0,-10.3,103.8,44.0,53.0,29.8,,False,False,False,False,False,,False,False,False,False,,True,True,False,False,False,True,False,False,False,False,False,False,False,,,False,,False,False,,False,False,False,False,False,False,
Louisiana,4430,4460.1,4486.0,4455.0,4417.0,4402.0,4365.0,,4298.0,4387.0,4437.4,4357.1,,4371.4,4343.0,4550.4,4242.7,4639.5,4552.1,4357.4,4057.8,4499.8,,3942.3,4449.6,4567.0,,,4268.8,,4535.0,4386.0,,4438.0,,4909.5,4331.0,4746.0,4409.2,4197.0,30.1,56.0,25.0,-13.0,-28.0,-65.0,,-132.0,-43.0,7.4,-72.9,,-58.6,-87.0,120.4,-187.3,209.5,122.1,-72.6,-372.2,69.8,,-487.7,19.6,137.0,,,-161.2,,105.0,-44.0,,8.0,,479.5,-99.0,316.0,-20.8,-233.0,False,True,True,True,False,,False,False,True,False,,False,False,False,False,False,False,False,False,False,,False,True,False,,,False,,False,False,,True,,False,False,False,True,False
Maine,127,130.4,136.0,130.0,131.0,130.0,123.0,,126.1,125.0,131.1,129.9,,126.3,140.0,131.9,134.3,129.3,127.6,123.5,131.0,127.8,,126.4,131.4,133.0,,,134.6,,130.0,131.5,,128.0,127.8,130.7,127.0,133.0,129.1,,3.4,9.0,3.0,4.0,3.0,-4.0,,-0.9,-2.0,4.1,2.9,,-0.7,13.0,4.9,7.3,2.3,0.6,-3.5,4.0,0.8,,-0.6,4.4,6.0,,,7.6,,3.0,4.5,,1.0,0.8,3.7,0.0,6.0,2.1,,False,True,False,True,False,,True,True,False,True,,True,False,False,False,True,True,False,False,True,,True,False,False,,,False,,True,False,,True,True,False,True,False,True,
Maryland,3636,3654.3,3821.0,3671.0,3652.0,3655.0,3755.0,,3650.1,3709.0,3615.2,3674.8,,3619.5,3631.0,3701.8,3665.8,3667.9,3633.5,3650.2,3719.5,3904.1,,3585.3,3668.1,3556.0,,,3669.6,,3656.0,3654.1,,3675.0,,3886.6,3693.0,3721.0,3680.0,3631.0,18.3,185.0,35.0,16.0,19.0,119.0,,14.1,73.0,-20.8,38.8,,-16.5,-5.0,65.8,29.8,31.9,-2.5,14.2,83.5,268.1,,-50.7,32.1,-80.0,,,33.6,,20.0,18.1,,39.0,,250.6,57.0,85.0,44.0,-5.0,False,False,True,False,False,,True,False,False,False,,True,True,False,False,False,True,True,False,False,,False,False,False,,,False,,False,True,,False,,False,False,False,False,True
Massachusetts,8826,8840.4,9019.0,8822.0,8862.6,8862.0,8940.0,,8638.4,8660.0,8775.3,8868.6,,8895.9,8713.0,8870.9,8771.6,8696.5,8916.5,8802.6,8502.2,8851.5,,8617.0,8921.4,8680.0,,,8814.1,,8914.0,8861.5,,8856.0,,8915.9,8905.0,8931.0,8825.0,8641.0,14.4,193.0,-4.0,36.6,36.0,114.0,,-187.6,-166.0,-50.7,42.6,,69.9,-113.0,44.9,-54.4,-129.5,90.5,-23.4,-323.8,25.5,,-209.0,95.4,-146.0,,,-11.9,,88.0,35.5,,30.0,,89.9,79.0,105.0,-1.0,-185.0,False,True,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,,,True,,False,False,,False,,False,False,False,True,False
Michigan,6586,6562.9,6756.0,6551.0,6573.3,6576.0,6693.0,,6575.3,6633.0,6529.4,6634.5,,6522.4,6633.0,6562.9,6625.3,6551.7,6540.1,6546.0,6984.7,6481.0,6572.0,6685.6,6578.3,6480.0,,,6675.8,,6530.0,6586.2,,6553.0,6604.1,7105.0,6538.0,6542.0,6569.1,6493.0,-23.1,170.0,-35.0,-12.7,-10.0,107.0,,-10.7,47.0,-56.6,48.5,,-63.6,47.0,-23.1,39.3,-34.3,-45.9,-40.0,398.7,-105.0,-14.0,99.6,-7.7,-106.0,,,89.8,,-56.0,0.2,,-33.0,18.1,519.0,-48.0,-44.0,-16.9,-93.0,False,False,True,True,False,,True,False,False,False,,False,False,True,False,False,False,False,False,False,True,False,True,False,,,False,,False,True,,False,True,False,False,False,True,False
Minnesota,1705,1728.3,1846.0,1721.0,1716.1,1731.0,1791.0,,1768.4,1739.0,1702.3,1718.2,,1733.4,1660.0,1730.1,1767.1,1733.0,1722.7,1728.2,1745.3,1826.4,1709.0,1642.9,1729.6,1666.0,,,1717.5,,1742.0,1719.2,,1739.0,1762.2,1893.4,1725.0,1708.0,1746.3,,23.3,141.0,16.0,11.1,26.0,86.0,,63.4,34.0,-2.7,13.2,,28.4,-45.0,25.1,62.1,28.0,17.7,23.2,40.3,121.4,4.0,-62.1,24.6,-39.0,,,12.5,,37.0,14.2,,34.0,57.2,188.4,20.0,3.0,41.3,,False,True,True,False,False,,False,False,True,True,,False,False,False,False,False,True,True,False,False,True,False,False,False,,,True,,False,True,,False,False,False,True,True,False,
Mississippi,2080,2093.0,2027.0,2057.0,2123.2,2038.0,2081.0,,1846.0,2013.0,2080.0,2042.3,,1922.9,1856.0,2288.0,2020.3,1891.1,1916.5,2056.3,1910.0,2092.6,,1807.8,2223.6,2085.0,,,1873.6,,2027.0,2147.0,,2101.0,1980.1,2118.6,2183.0,2146.5,2137.3,1928.0,13.0,-53.0,-23.0,43.2,-42.0,1.0,,-234.0,-67.0,-0.0,-37.7,,-157.1,-224.0,208.0,-59.7,-188.9,-163.5,-23.7,-170.0,12.6,,-272.2,143.6,5.0,,,-206.4,,-53.0,67.0,,21.0,-99.9,38.6,103.0,66.5,57.3,-152.0,False,False,False,False,True,,False,False,True,False,,False,False,False,False,False,False,False,False,True,,False,False,True,,,False,,False,False,,False,False,False,False,False,False,False
Missouri,1378,1400.4,1469.0,1424.0,1428.1,1428.0,1632.0,,1487.6,1504.0,1407.5,1418.4,,1415.1,1376.0,1452.8,1489.2,1413.1,1347.1,1449.1,1421.7,1383.5,,1314.1,1479.4,1451.0,,,1419.1,,1368.0,1460.6,,1412.0,1358.5,1569.5,1509.0,1441.0,1442.7,1375.0,22.4,91.0,46.0,50.1,50.0,254.0,,109.6,126.0,29.5,40.4,,37.1,-2.0,74.8,111.2,35.1,-30.9,71.1,43.7,5.5,,-63.9,101.4,73.0,,,41.1,,-10.0,82.6,,34.0,-19.5,191.5,131.0,63.0,64.7,-3.0,False,False,False,False,False,,False,False,False,False,,False,True,False,False,False,False,False,False,True,,False,False,False,,,False,,True,False,,False,True,False,False,False,False,True
Montana,82,88.9,86.0,83.0,91.0,87.0,66.0,,79.0,78.0,115.3,87.4,,65.9,83.0,93.3,103.2,83.4,83.5,77.9,94.3,104.9,,108.1,91.0,113.0,,,70.9,,86.0,88.6,,86.0,,82.1,91.0,132.0,87.5,,6.9,4.0,1.0,9.0,5.0,-16.0,,-3.0,-4.0,33.3,5.4,,-16.1,1.0,11.3,21.2,1.4,1.5,-4.1,12.3,22.9,,26.1,9.0,31.0,,,-11.1,,4.0,6.6,,4.0,,0.1,9.0,50.0,5.5,,True,True,False,True,False,,True,True,False,True,,False,True,False,False,True,True,True,False,False,,False,False,False,,,False,,True,True,,True,,True,False,False,True,
Nebraska,361,361.7,425.0,366.0,364.0,365.0,375.0,,375.2,349.0,373.4,374.9,,405.3,353.0,374.5,407.5,358.9,356.4,361.0,367.0,362.4,,363.1,368.3,343.0,,,361.4,,368.0,361.3,,363.0,359.7,371.2,365.0,369.0,367.3,,0.7,64.0,5.0,3.0,4.0,14.0,,14.2,-12.0,12.4,13.9,,44.3,-8.0,13.5,46.5,-2.1,-4.6,0.0,6.0,1.4,,2.1,7.3,-18.0,,,0.4,,7.0,0.3,,2.0,-1.3,10.2,4.0,8.0,6.3,,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,True,False,False,,False,False,False,,,True,,False,True,,False,False,False,False,False,False,
