,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Georgia,4669,4151.6,3604.7,4931.7,3192.0,,3598.4,3552.5,4513.3,-517.4,-1064.3,262.7,-1477.0,,-1070.6,-1116.5,-155.7,False,True,False,,False,False,True
Hawaii,40,17.0,21.2,24.1,,,18.1,23.9,19.0,-23.0,-18.8,-15.9,,,-21.9,-16.1,-21.0,True,True,,,True,True,True
Idaho,269,104.7,145.2,113.2,116.0,,96.4,127.4,112.9,-164.3,-123.8,-155.8,-153.0,,-172.6,-141.6,-156.1,True,True,True,,False,True,True
Illinois,7937,9310.6,7380.2,8084.6,8061.0,,7594.0,7203.1,8617.4,1373.6,-556.8,147.6,124.0,,-343.0,-733.9,680.4,True,True,True,,True,True,True
Indiana,3128,3467.1,3002.5,3019.7,2667.0,,2829.7,3298.6,3565.6,339.1,-125.5,-108.3,-461.0,,-298.3,170.6,437.6,True,True,False,,True,True,False
Iowa,975,953.1,999.6,839.7,785.0,,872.8,880.1,962.4,-21.9,24.6,-135.3,-190.0,,-102.2,-94.9,-12.6,False,False,False,,False,False,True
Kansas,406,351.3,320.7,364.5,327.0,,291.6,217.7,360.7,-54.7,-85.3,-41.5,-79.0,,-114.4,-188.3,-45.3,False,True,False,,False,False,True
Kentucky,810,738.1,693.5,733.7,642.0,,783.5,712.3,782.9,-71.9,-116.5,-76.3,-168.0,,-26.5,-97.7,-27.1,False,False,False,,True,False,True
Louisiana,4430,3820.0,3635.3,3882.7,3878.0,,3326.8,3264.7,3756.2,-610.0,-794.7,-547.3,-552.0,,-1103.2,-1165.3,-673.8,False,True,True,,False,False,False
Maine,127,117.7,123.1,113.6,112.0,,109.3,135.2,122.6,-9.3,-3.9,-13.4,-15.0,,-17.7,8.2,-4.4,True,False,False,,False,True,True
Maryland,3636,4063.9,3651.3,3507.6,3696.0,,3521.1,3603.7,3912.5,427.9,15.3,-128.4,60.0,,-114.9,-32.3,276.5,True,True,True,,True,True,True
Massachusetts,8826,9687.7,8351.0,8610.7,8663.0,,8524.1,8263.2,8758.9,862.7,-474.0,-214.3,-162.0,,-300.9,-561.8,-66.1,True,True,True,,True,True,True
Michigan,6586,6671.4,6358.6,6415.3,6931.0,,6581.4,6321.7,6457.0,85.4,-227.4,-170.7,345.0,,-4.6,-264.3,-129.0,False,False,False,,True,False,False
Minnesota,1705,2064.1,1863.1,1777.1,2253.0,,1824.4,1508.1,2240.4,359.1,158.1,72.1,548.0,,119.4,-196.9,535.4,True,True,False,,True,True,False
Mississippi,2080,1307.3,1561.4,1189.7,1161.0,,1186.0,1215.0,1526.8,-772.7,-518.6,-890.3,-919.0,,-894.0,-865.0,-553.2,True,False,False,,False,False,True
Missouri,1378,1593.6,1290.1,1918.6,1196.0,,1607.8,1447.8,1351.0,225.6,-77.9,550.6,-172.0,,239.8,79.8,-17.0,True,False,True,,False,True,True
Montana,82,27.9,27.5,30.8,28.0,,23.3,20.5,29.0,-54.1,-54.5,-51.2,-54.0,,-58.7,-61.5,-53.0,False,True,True,,False,False,True
Nebraska,361,471.9,349.5,425.4,299.0,,333.1,265.1,499.0,110.9,-11.5,64.4,-62.0,,-27.9,-95.9,138.0,True,True,True,,True,True,False
Nevada,1069,675.6,698.1,700.6,655.0,,637.8,816.7,714.1,-393.4,-370.9,-368.4,-414.0,,-431.2,-252.3,-354.9,True,True,False,,False,True,True
New Hampshire,423,488.3,478.2,569.8,341.0,,488.6,436.2,529.4,65.3,55.2,146.8,-82.0,,65.6,13.2,106.4,True,False,False,,False,True,False
New Jersey,15910,15139.0,13447.6,13696.2,13927.0,,14009.7,12998.2,13668.4,1092.0,-599.4,-350.8,-120.0,,-37.3,-1048.8,-378.6,True,True,True,,True,True,True
New Mexico,711,736.1,681.2,727.2,535.0,,598.5,562.7,710.5,25.1,-29.8,16.2,-176.0,,-112.5,-148.3,-0.5,False,True,False,,False,False,True
New York,32809,33482.1,31699.8,31790.3,32303.0,,31898.2,32717.3,31843.7,1402.1,-380.2,-289.7,223.0,,-181.8,637.3,-236.3,True,True,True,,True,True,True
North Carolina,2343,1867.1,2516.3,1750.9,2009.0,,2076.6,2416.4,2086.7,-445.9,203.3,-562.1,-304.0,,-236.4,103.4,-226.3,True,False,True,,True,True,True
North Dakota,121,100.6,94.1,89.3,94.0,,96.5,87.9,121.3,-20.4,-26.9,-31.7,-27.0,,-24.5,-33.1,0.3,False,False,False,,False,False,True
Ohio,3824,3807.9,3370.3,3452.8,3200.0,,3345.7,3451.7,3981.7,-16.1,-453.7,-371.2,-624.0,,-478.3,-372.3,157.7,False,False,False,,False,False,False
Oklahoma,657,447.6,489.6,483.9,695.0,,424.0,734.4,518.0,-209.4,-167.4,-173.1,38.0,,-233.0,77.4,-139.0,True,True,True,,False,True,True
Oregon,386,282.3,279.9,439.6,250.0,,242.7,408.7,288.6,-101.7,-104.1,55.6,-134.0,,-141.3,24.7,-95.4,False,True,False,,False,True,True
Pennsylvania,7451,8057.3,7787.1,7387.8,6756.0,,7356.8,7385.9,7518.5,606.3,336.1,-63.2,-695.0,,-94.2,-65.1,67.5,True,True,False,,True,True,True
Rhode Island,1027,1373.3,1060.0,1101.9,1010.0,,1084.7,795.4,1197.4,360.3,47.0,88.9,-3.0,,71.7,-217.6,184.4,True,True,True,,True,True,True
South Carolina,2260,1069.4,1789.4,1017.3,1047.0,,1164.0,2208.5,1331.8,-1190.6,-470.6,-1242.7,-1213.0,,-1096.0,-51.5,-928.2,True,False,False,,True,True,True
South Dakota,152,128.1,119.3,151.0,93.0,,99.2,104.3,148.3,-23.9,-32.7,-1.0,-59.0,,-52.8,-47.7,-3.7,False,True,False,,False,False,True
Tennessee,1345,934.6,896.8,885.0,1161.0,,727.9,879.3,1028.4,-410.4,-448.2,-460.0,-184.0,,-617.1,-465.7,-316.6,False,False,True,,False,False,True
Texas,10268,3817.4,4148.1,6200.6,4707.0,5889.0,3501.5,5270.0,4537.8,-6273.6,-5942.9,-3890.4,-5384.0,-4202.0,-6589.5,-4821.0,-5553.2,True,True,True,True,False,True,True
Utah,363,307.3,581.0,305.1,289.0,,217.1,371.5,345.8,-55.7,218.0,-57.9,-74.0,,-145.9,8.5,-17.2,False,False,False,,False,True,True
Vermont,58,63.9,64.4,62.5,57.0,,63.3,52.2,62.4,5.9,6.4,4.5,-1.0,,5.3,-5.8,4.4,False,True,True,,True,True,True
Virginia,2381,2121.7,2087.9,1760.0,1885.0,,1849.7,1826.8,2093.2,-259.3,-293.1,-621.0,-496.0,,-531.3,-554.2,-287.8,False,False,False,,False,False,False
Washington,1766,1686.4,1553.4,1606.4,1477.0,,1372.7,1706.0,1730.4,-79.6,-212.6,-159.6,-289.0,,-393.3,-60.0,-35.6,False,False,False,,False,True,True
West Virginia,160,96.9,105.9,106.8,89.0,,122.9,136.3,116.6,-63.1,-54.1,-53.2,-71.0,,-37.1,-23.7,-43.4,True,True,False,,True,True,True
Wisconsin,1038,1152.6,994.0,976.9,952.0,,867.7,903.7,1185.4,114.6,-44.0,-61.1,-86.0,,-170.3,-134.3,147.4,True,True,True,,False,False,False
Wyoming,30,35.7,30.5,20.2,18.0,,21.6,37.3,41.7,5.7,0.5,-9.8,-12.0,,-8.4,7.3,11.7,True,False,False,,False,False,False
US,169463,153236.1,149058.9,152195.1,143031.0,135703.0,133897.6,152898.6,152400.0,-13400.9,-17578.1,-14441.9,-23606.0,-30934.0,-32739.4,-13738.4,-14237.0,False,False,False,False,False,False,False
