,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Georgia,4669,3340.3,3387.0,,4516.0,15839.7,5016.0,3406.1,3762.0,3417.5,3547.6,,3087.0,3443.0,,3816.8,5095.2,7817.2,4230.3,-1328.7,-1282.0,,-153.0,11170.7,347.0,-1262.9,-907.0,-1251.5,-1121.4,,-1582.0,-1226.0,,-852.2,426.2,3148.2,-438.7,True,,True,False,True,True,True,True,True,,False,True,,True,True,False,True
Hawaii,40,24.9,24.0,,29.0,86.8,21.0,18.1,,24.6,18.5,,58.6,19.0,,19.8,20.0,41.0,20.8,-15.1,-16.0,,-11.0,46.8,-19.0,-21.9,,-15.4,-21.5,,18.6,-21.0,,-20.2,-20.0,1.0,-19.2,False,,True,False,False,False,,False,False,,False,False,,False,False,True,False
Idaho,269,104.7,137.0,,285.7,309.3,198.0,108.3,220.0,158.4,145.5,,121.6,93.0,,111.6,364.7,209.2,119.8,-164.3,-132.0,,16.7,40.3,-71.0,-160.7,-49.0,-110.6,-123.5,,-147.4,-176.0,,-157.4,95.7,-59.8,-149.2,True,,True,True,True,True,True,True,True,,True,False,,True,True,True,True
Illinois,7937,7793.1,7785.0,,7425.8,8092.2,7223.0,7994.7,7952.0,7828.3,7206.7,9416.5,7717.7,12668.0,,7993.2,7410.0,8333.6,7759.0,-143.9,-152.0,,-511.2,155.2,-714.0,57.7,15.0,-108.7,-730.3,1479.5,-219.3,4731.0,,56.2,-527.0,396.6,-178.0,False,,False,False,False,True,True,True,False,False,False,False,,True,False,False,False
Indiana,3128,3126.4,2943.0,,2960.5,3206.5,2988.0,2897.2,2849.0,3213.4,3029.6,3126.0,2903.7,2888.0,,2972.4,3167.6,3368.0,3164.3,-1.6,-185.0,,-167.5,78.5,-140.0,-230.8,-279.0,85.4,-98.4,-2.0,-224.3,-240.0,,-155.6,39.6,240.0,36.3,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False
Iowa,975,808.9,892.0,,997.8,856.7,842.0,799.8,808.0,851.1,1047.1,,748.9,1123.0,,820.8,906.1,1024.9,826.8,-166.1,-83.0,,22.8,-118.3,-133.0,-175.2,-167.0,-123.9,72.1,,-226.1,148.0,,-154.2,-68.9,49.9,-148.2,True,,True,True,True,False,False,True,True,,False,True,,True,True,True,True
Kansas,406,371.9,372.0,,449.8,628.3,327.0,395.3,319.0,363.5,357.8,,369.6,378.0,,329.6,345.4,663.6,355.3,-34.1,-34.0,,43.8,222.3,-79.0,-10.7,-87.0,-42.5,-48.2,,-36.4,-28.0,,-76.4,-60.6,257.6,-50.7,True,,False,False,False,True,False,False,False,,False,True,,False,False,False,False
Kentucky,810,743.1,701.0,,702.9,1136.9,758.0,771.2,757.0,642.0,1380.8,1087.5,708.7,693.0,,703.2,801.9,772.5,771.3,-66.9,-109.0,,-107.1,326.9,-52.0,-38.8,-53.0,-168.0,570.8,277.5,-101.3,-117.0,,-106.8,-8.1,-37.5,-38.7,False,,False,False,True,True,True,False,False,False,False,False,,False,True,True,True
Louisiana,4430,3809.3,3636.0,,3885.0,3519.6,4215.0,3897.9,4612.0,3891.3,3510.9,,3495.1,3463.0,,3679.4,4077.9,4650.7,3931.9,-620.7,-794.0,,-545.0,-910.4,-215.0,-532.1,182.0,-538.7,-919.1,,-934.9,-967.0,,-750.6,-352.1,220.7,-498.1,False,,True,False,True,True,True,True,False,,False,False,,False,True,True,True
Maine,127,138.3,127.0,,122.3,146.8,126.0,119.1,123.0,121.7,189.5,,138.9,112.0,,113.8,139.5,127.5,126.9,11.3,0.0,,-4.7,19.8,-1.0,-7.9,-4.0,-5.3,62.5,,11.9,-15.0,,-13.2,12.5,0.5,-0.1,True,,True,False,True,True,True,True,False,,False,False,,False,False,True,True
Maryland,3636,3682.3,3605.0,,3465.3,3586.9,3381.0,3536.7,3679.0,3592.3,4300.7,,3523.6,3562.0,,3553.7,3631.8,3890.7,3671.7,46.3,-31.0,,-170.7,-49.1,-255.0,-99.3,43.0,-43.7,664.7,,-112.4,-74.0,,-82.3,-4.2,254.7,35.7,True,,False,False,False,False,True,True,False,,False,False,,False,True,False,True
Massachusetts,8826,8903.4,8734.0,,8337.6,8571.2,8375.0,9542.0,8848.0,8761.6,8486.2,,8714.2,8459.0,,8710.4,8349.8,9218.5,8664.4,77.4,-92.0,,-488.4,-254.8,-451.0,716.0,22.0,-64.4,-339.8,,-111.8,-367.0,,-115.6,-476.2,392.5,-161.6,False,,False,False,False,False,True,True,False,,False,False,,False,False,False,False
Michigan,6586,6575.3,6582.0,,6411.7,6750.1,6702.0,6576.0,6644.0,6611.8,7315.6,6868.0,6457.6,6396.0,,6443.7,6632.2,7319.9,6631.9,-10.7,-4.0,,-174.3,164.1,116.0,-10.0,58.0,25.8,729.6,282.0,-128.4,-190.0,,-142.3,46.2,733.9,45.9,True,,False,False,False,True,False,False,False,False,False,False,,False,False,False,False
Minnesota,1705,1789.1,1710.0,,1787.8,1770.1,1694.0,1774.7,1799.0,1709.1,2166.7,1996.5,1594.5,1673.5,,1715.6,1702.5,1827.2,1867.9,84.1,5.0,,82.8,65.1,-11.0,69.7,94.0,4.1,461.7,291.5,-110.5,-31.5,,10.6,-2.5,122.2,162.9,True,,True,True,True,True,False,True,False,False,False,True,,True,True,False,False
Mississippi,2080,1532.7,1299.0,,1761.0,1711.6,1872.0,1701.4,1750.0,1391.1,1911.4,,1420.0,1383.5,,1589.0,1822.8,2438.3,1693.9,-547.3,-781.0,,-319.0,-368.4,-208.0,-378.6,-330.0,-688.9,-168.6,,-660.0,-696.5,,-491.0,-257.2,358.3,-386.1,False,,True,True,True,True,True,False,True,,False,False,,True,True,True,True
Missouri,1378,1267.7,1193.0,,1437.7,5901.2,1498.0,1401.2,1273.0,1316.5,1903.2,,1161.0,1195.0,,1373.4,1591.4,1779.7,1305.5,-110.3,-185.0,,59.7,4523.2,120.0,23.2,-105.0,-61.5,525.2,,-217.0,-183.0,,-4.6,213.4,401.7,-72.5,False,,True,False,False,True,True,True,False,,False,False,,True,False,False,True
Montana,82,28.9,29.0,,51.9,219.6,36.0,21.9,32.0,48.9,31.1,,120.7,23.0,,31.9,106.5,112.7,32.1,-53.1,-53.0,,-30.1,137.6,-46.0,-60.1,-50.0,-33.1,-50.9,,38.7,-59.0,,-50.1,24.5,30.7,-49.9,True,,True,False,True,False,True,True,True,,True,False,,True,True,True,True
Nebraska,361,383.6,391.0,,352.0,390.5,312.0,411.1,369.0,354.2,499.2,,414.0,615.5,,342.2,316.3,386.4,400.3,22.6,30.0,,-9.0,29.5,-49.0,50.1,8.0,-6.8,138.2,,53.0,254.5,,-18.8,-44.7,25.4,39.3,False,,True,False,False,False,True,True,False,,False,False,,True,False,False,False
Nevada,1069,733.1,660.0,,1073.8,1893.2,1215.0,745.0,615.0,745.7,695.9,,601.3,592.5,,682.5,1418.0,1320.6,797.2,-335.9,-409.0,,4.8,824.2,146.0,-324.0,-454.0,-323.3,-373.1,,-467.7,-476.5,,-386.5,349.0,251.6,-271.8,False,,True,False,True,True,False,True,False,,False,False,,False,False,True,True
New Hampshire,423,463.0,445.0,,446.3,408.0,442.0,497.9,386.0,426.5,669.2,,422.5,474.0,,472.9,444.0,434.5,487.5,40.0,22.0,,23.3,-15.0,19.0,74.9,-37.0,3.5,246.2,,-0.5,51.0,,49.9,21.0,11.5,64.5,True,,True,True,True,False,True,True,False,,True,False,,False,True,True,False
New Jersey,15910,16593.3,18829.0,,13498.0,15873.3,15668.0,16142.1,17470.0,16116.1,13597.6,,15979.9,16417.0,,16074.2,15386.0,20094.0,15831.6,683.3,2919.0,,-2412.0,-36.7,-242.0,232.1,1560.0,206.1,-2312.4,,69.9,507.0,,164.2,-524.0,4184.0,-78.4,False,,False,True,True,True,False,True,False,,True,True,,True,True,False,True
New Mexico,711,636.0,594.0,,708.7,688.2,674.0,685.6,564.0,654.6,711.1,,582.5,661.0,,668.8,727.5,923.5,657.1,-75.0,-117.0,,-2.3,-22.8,-37.0,-25.4,-147.0,-56.4,0.1,,-128.5,-50.0,,-42.2,16.5,212.5,-53.9,False,,True,True,True,True,False,True,True,,False,True,,True,True,False,True
New York,32809,33746.4,34188.0,,32461.4,32558.0,32751.0,31799.0,34120.0,33176.5,27368.4,,32534.8,32453.5,,32603.5,32346.2,34003.4,32875.0,975.4,1417.0,,-309.6,-213.0,-20.0,-972.0,1349.0,405.5,-5402.6,,-236.2,-317.5,,-167.5,-424.8,1232.4,104.0,False,,True,True,True,True,False,True,False,,True,True,,True,True,False,True
North Carolina,2343,1838.9,1826.0,,2322.8,3168.8,3314.0,1793.5,1853.0,1755.5,1705.7,,1694.9,1884.5,,2115.4,2523.1,2308.1,1959.1,-504.1,-517.0,,-20.2,825.8,971.0,-549.5,-490.0,-587.5,-637.3,,-648.1,-458.5,,-227.6,180.1,-34.9,-383.9,False,,True,False,False,False,True,False,False,,False,True,,True,True,True,True
North Dakota,121,85.9,100.0,,98.6,131.5,96.0,90.6,111.0,101.5,109.8,,168.0,140.0,,84.2,96.1,110.8,100.2,-35.1,-21.0,,-22.4,10.5,-25.0,-30.4,-10.0,-19.5,-11.2,,47.0,19.0,,-36.8,-24.9,-10.2,-20.8,True,,True,True,True,True,True,True,True,,False,True,,False,True,True,True
Ohio,3824,3520.1,3310.0,,3699.9,3555.2,5600.0,4002.7,3260.0,3489.8,4430.6,3769.0,3175.8,3380.5,,3669.9,4171.5,5138.8,3612.0,-303.9,-514.0,,-124.1,-268.8,1776.0,178.7,-564.0,-334.2,606.6,-55.0,-648.2,-443.5,,-154.1,347.5,1314.8,-212.0,False,,True,True,False,True,False,False,False,True,False,False,,True,False,False,True
Oklahoma,657,474.1,486.0,,707.5,3285.0,706.0,483.9,472.0,474.0,623.4,,508.7,422.0,,470.6,784.0,640.6,520.0,-182.9,-171.0,,50.5,2628.0,49.0,-173.1,-185.0,-183.0,-33.6,,-148.3,-235.0,,-186.4,127.0,-16.4,-137.0,True,,True,False,True,True,False,False,True,,True,False,,False,True,True,True
Oregon,386,291.1,271.0,,358.5,1050.9,389.0,289.0,339.0,309.7,293.5,,347.5,246.0,,273.3,471.4,397.4,323.2,-94.9,-115.0,,-27.5,664.9,3.0,-97.0,-47.0,-76.3,-92.5,,-38.5,-140.0,,-112.7,85.4,11.4,-62.8,False,,True,False,True,False,True,True,True,,True,False,,False,True,True,True
Pennsylvania,7451,7614.0,7285.0,,7464.1,7265.1,7681.0,7980.6,7433.0,7414.7,7183.3,,7198.5,7368.5,,7449.1,7576.6,8681.8,7676.0,163.0,-166.0,,13.1,-185.9,230.0,529.6,-18.0,-36.3,-267.7,,-252.5,-82.5,,-1.9,125.6,1230.8,225.0,False,,True,False,False,False,True,True,False,,False,True,,True,True,False,False
Rhode Island,1021,1153.3,1054.0,,1057.4,1014.1,1052.0,1134.6,1213.0,1054.2,1015.7,,1039.1,1060.0,,1074.4,1007.1,1057.3,1101.2,132.3,33.0,,36.4,-6.9,31.0,113.6,192.0,33.2,-5.3,,18.1,39.0,,53.4,-13.9,36.3,80.2,True,,True,True,True,True,False,True,True,,True,True,,True,True,True,True
South Carolina,2260,1429.1,1195.0,,1904.8,5436.1,1849.0,1687.2,1703.0,1259.7,1020.1,,1410.4,1067.5,,1321.5,1987.8,2188.4,1563.9,-830.9,-1065.0,,-355.2,3176.1,-411.0,-572.8,-557.0,-1000.3,-1239.9,,-849.6,-1192.5,,-938.5,-272.2,-71.6,-696.1,False,,True,False,True,True,True,False,False,,False,False,,False,True,True,True
South Dakota,152,132.1,135.0,,124.1,177.8,125.0,157.8,123.0,123.0,235.4,,171.8,204.0,,107.6,115.5,147.0,152.0,-19.9,-17.0,,-27.9,25.8,-27.0,5.8,-29.0,-29.0,83.4,,19.8,52.0,,-44.4,-36.5,-5.0,0.0,True,,False,False,False,True,False,False,False,,True,False,,False,False,True,True
Tennessee,1345,1002.3,932.0,,1274.8,2346.3,1498.0,1122.0,1340.0,930.8,1032.7,,865.4,910.0,,932.4,1228.9,1902.8,1210.5,-342.7,-413.0,,-70.2,1001.3,153.0,-223.0,-5.0,-414.2,-312.3,,-479.6,-435.0,,-412.6,-116.1,557.8,-134.5,False,,True,False,True,True,True,False,True,,False,False,,False,True,False,True
Texas,10268,3951.7,3737.0,,6898.6,28620.8,7020.0,5309.9,5804.0,3107.4,3804.7,,3943.9,3448.0,3032.0,3849.5,6187.1,7488.3,4681.6,-5944.3,-6159.0,,-2997.4,18724.8,-2876.0,-4586.1,-4092.0,-6788.6,-6091.3,,-5952.1,-6448.0,-6864.0,-6046.5,-3708.9,-2407.7,-5214.4,False,,True,False,True,True,True,False,False,,False,False,False,False,True,True,True
Utah,363,283.6,324.0,,522.3,801.7,456.0,264.2,353.0,251.7,292.3,,341.5,347.5,,292.0,354.6,291.4,321.6,-79.4,-39.0,,159.3,438.7,93.0,-98.8,-10.0,-111.3,-70.7,,-21.5,-15.5,,-71.0,-8.4,-71.6,-41.4,True,,False,False,False,False,True,False,True,,True,True,,True,True,True,True
Vermont,58,56.0,62.0,,59.6,74.0,57.0,58.4,56.0,59.7,59.4,,63.9,56.0,,57.5,56.1,57.9,60.8,-2.0,4.0,,1.6,16.0,-1.0,0.4,-2.0,1.7,1.4,,5.9,-2.0,,-0.5,-1.9,-0.1,2.8,False,,True,False,True,True,False,True,True,,False,False,,True,True,True,False
Virginia,2381,2561.7,2222.0,,2074.5,2649.6,2039.0,2686.9,2320.0,2313.8,2266.6,,2353.4,2226.5,,2103.0,2177.2,2162.7,2260.5,180.7,-159.0,,-306.5,268.6,-342.0,305.9,-61.0,-67.2,-114.4,,-27.6,-154.5,,-278.0,-203.8,-218.3,-120.5,True,,False,False,False,False,True,True,True,,True,True,,False,False,False,True
Washington,1766,1646.0,1551.0,,1664.8,1782.0,1757.0,1629.2,1420.0,1599.8,1633.7,,1544.7,1534.0,,1542.9,1833.0,2051.2,1637.0,-120.0,-215.0,,-101.2,16.0,-9.0,-136.8,-346.0,-166.2,-132.3,,-221.3,-232.0,,-223.1,67.0,285.2,-129.0,False,,True,True,True,False,False,False,False,,False,False,,False,True,False,False
West Virginia,160,99.9,111.0,,124.5,1064.3,141.0,108.6,102.0,124.9,238.2,,107.3,99.0,,113.2,149.2,149.4,107.6,-60.1,-49.0,,-35.5,904.3,-19.0,-51.4,-58.0,-35.1,78.2,,-52.7,-61.0,,-46.8,-10.8,-10.6,-52.4,True,,True,False,True,True,True,True,False,,True,False,,True,True,True,True
Wisconsin,1038,907.3,968.0,,1031.8,1009.2,1021.0,1052.7,1031.0,976.5,1156.5,1232.0,912.1,973.5,,990.6,1176.6,1226.5,1042.4,-130.7,-70.0,,-6.2,-28.8,-17.0,14.7,-7.0,-61.5,118.5,194.0,-125.9,-64.5,,-47.4,138.6,188.5,4.4,True,,True,True,True,True,True,True,True,False,True,True,,True,False,False,True
Wyoming,30,20.0,29.0,,46.3,66.7,34.0,18.4,22.0,28.8,34.8,,41.0,20.0,,25.0,35.6,25.6,25.5,-10.0,-1.0,,16.3,36.7,4.0,-11.6,-8.0,-1.2,4.8,,11.0,-10.0,,-5.0,5.6,-4.4,-4.5,True,,False,False,True,False,True,True,True,,False,False,,True,True,True,True
US,169457,150956.6,146066.0,187741.0,162374.8,163728.0,172668.0,155950.9,164374.0,145197.0,148544.1,,143956.5,149744.5,130745.0,147548.1,164768.0,202756.0,154733.1,-18090.4,-22981.0,18694.0,-6672.2,-5319.0,3621.0,-13096.1,-4673.0,-23850.0,-20502.9,,-25090.5,-19302.5,-38302.0,-21498.9,-4279.0,33709.0,-14313.9,False,False,True,True,True,True,True,False,False,,False,False,False,False,True,False,True
