,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,4669,3697.6,,4637.8,4783.0,4023.0,4453.0,3391.7,3548.1,,3236.7,3820.5,,,3854.4,4935.3,5375.6,4153.4,3685.0,-971.4,,-31.2,114.0,-646.0,-216.0,-1277.3,-1120.9,,-1432.3,-848.5,,,-814.6,266.3,706.6,-515.6,-984.0,,True,True,True,True,False,False,,False,True,,,True,True,True,True,False
Hawaii,40,19.0,,31.5,22.0,,56.1,24.6,18.5,,41.2,19.0,,,19.8,27.3,35.1,21.5,,-21.0,,-8.5,-18.0,,16.1,-15.4,-21.5,,1.2,-21.0,,,-20.2,-12.7,-4.9,-18.5,,,True,True,,True,True,False,,True,False,,,True,True,True,True,
Idaho,269,145.7,,320.1,204.0,176.0,294.8,167.8,145.6,,155.9,104.0,,,136.4,172.0,208.4,165.4,,-123.3,,51.1,-65.0,-93.0,25.8,-101.2,-123.4,,-113.1,-165.0,,,-132.6,-97.0,-60.6,-103.6,,,True,True,True,True,True,False,,True,False,,,False,True,True,True,
Illinois,7937,9175.4,,7570.0,7504.0,8193.0,8741.3,7941.0,7208.2,9294.5,7739.6,8325.0,,,8629.4,7713.7,10022.0,7873.5,7301.0,1238.4,,-367.0,-433.0,256.0,804.3,4.0,-728.8,1357.5,-197.4,388.0,,,692.4,-223.3,2085.0,-63.5,-636.0,,True,True,True,True,True,True,False,True,True,,,True,True,False,True,True
Indiana,3128,3085.4,,3009.1,2991.0,3017.0,3345.5,3128.6,3032.6,3346.5,2976.4,3278.0,,,3051.2,3266.0,3423.0,3143.4,3203.0,-42.6,,-118.9,-137.0,-111.0,217.5,0.6,-95.4,218.5,-151.6,150.0,,,-76.8,138.0,295.0,15.4,75.0,,False,False,False,False,True,False,False,False,False,,,False,False,False,True,False
Iowa,975,902.6,,1012.2,848.0,864.0,1157.7,888.2,1049.7,,797.5,772.0,,,870.9,969.5,1012.3,905.4,,-72.4,,37.2,-127.0,-111.0,182.7,-86.8,74.7,,-177.5,-203.0,,,-104.1,-5.5,37.3,-69.6,,,True,False,False,False,False,False,,False,False,,,False,True,True,True,
Kansas,406,360.1,,498.4,334.0,497.0,629.2,360.9,357.7,,326.0,335.0,,,354.7,385.9,479.1,381.4,,-45.9,,92.4,-72.0,91.0,223.2,-45.1,-48.3,,-80.0,-71.0,,,-51.3,-20.1,73.1,-24.6,,,False,False,False,False,True,False,,False,False,,,False,True,False,True,
Kentucky,810,819.3,,754.3,793.0,814.0,1068.5,770.6,1380.2,867.0,819.1,810.0,,,772.8,847.6,1043.2,866.4,,9.3,,-55.7,-17.0,4.0,258.5,-39.4,570.2,57.0,9.1,0.0,,,-37.2,37.6,233.2,56.4,,,False,False,True,False,False,False,False,True,True,,,False,False,False,False,
Louisiana,4430,4037.7,,4128.6,4316.0,4497.0,4358.3,3806.1,3512.9,,3737.2,3649.0,,,3919.9,5598.3,5315.4,4166.5,4120.0,-392.3,,-301.4,-114.0,67.0,-71.7,-623.9,-917.1,,-692.8,-781.0,,,-510.1,1168.3,885.4,-263.5,-310.0,,True,True,True,True,False,False,,False,False,,,False,False,False,True,True
Maine,127,138.3,,121.6,123.0,114.0,165.1,119.2,189.4,,136.5,113.0,,,127.2,135.1,119.8,129.4,,11.3,,-5.4,-4.0,-13.0,38.1,-7.8,62.4,,9.5,-14.0,,,0.2,8.1,-7.2,2.4,,,True,True,False,False,True,False,,True,False,,,True,True,True,True,
Maryland,3636,3688.1,,3487.8,3414.0,3618.0,3888.3,3687.7,4302.4,,3540.0,3500.0,,,3636.9,3623.9,3940.1,3636.7,3674.0,52.1,,-148.2,-222.0,-18.0,252.3,51.7,666.4,,-96.0,-136.0,,,0.9,-12.1,304.1,0.7,38.0,,False,False,True,False,True,False,,False,False,,,True,True,False,True,True
Massachusetts,8826,9014.7,,8403.2,8475.0,9350.0,8776.7,8885.5,8486.3,,8688.2,9188.0,,,8793.2,8447.0,9590.6,8682.9,8779.0,188.7,,-422.8,-351.0,524.0,-49.3,59.5,-339.7,,-137.8,362.0,,,-32.8,-379.0,764.6,-143.1,-47.0,,False,False,False,True,True,False,,True,False,,,True,False,False,True,True
Michigan,6586,6780.3,,6500.3,6688.0,6489.0,7285.5,6635.6,7314.9,8706.0,6669.3,6691.5,,,6646.6,6699.4,7436.2,6738.4,6909.0,194.3,,-85.7,102.0,-97.0,699.5,49.6,728.9,2120.0,83.3,105.5,,,60.6,113.4,850.2,152.4,323.0,,True,True,True,False,True,False,False,True,True,,,True,True,False,True,False
Minnesota,1705,1695.4,,1786.2,1668.0,1786.0,2077.0,1784.9,2165.1,2003.5,1619.7,1592.0,,,1684.1,1748.0,1955.4,1743.5,,-9.6,,81.2,-37.0,81.0,372.0,79.9,460.1,298.5,-85.3,-113.0,,,-20.9,43.0,250.4,38.5,,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,
Mississippi,2080,1919.3,,1836.9,1712.0,1690.0,1847.4,1621.8,1930.9,,1731.1,1655.0,,,1766.9,1958.3,2105.7,1947.7,1939.0,-160.7,,-243.1,-368.0,-390.0,-232.6,-458.2,-149.1,,-348.9,-425.0,,,-313.1,-121.7,25.7,-132.3,-141.0,,False,False,False,False,False,True,,False,False,,,False,True,True,True,True
Missouri,1378,1291.1,,1406.3,1473.0,1388.0,1598.3,1240.5,1901.4,,1214.3,1329.0,,,1391.5,1647.7,1808.3,1374.7,,-86.9,,28.3,95.0,10.0,220.3,-137.5,523.4,,-163.7,-49.0,,,13.5,269.7,430.3,-3.3,,,True,False,True,False,False,False,,False,True,,,True,False,False,True,
Montana,82,58.1,,62.9,47.0,36.0,89.3,62.9,31.1,,126.2,46.0,,,49.3,153.4,180.4,59.2,,-23.9,,-19.1,-35.0,-46.0,7.3,-19.1,-50.9,,44.2,-36.0,,,-32.7,71.4,98.4,-22.8,,,True,False,False,True,True,False,,False,False,,,False,False,False,True,
Nebraska,361,289.9,,357.5,303.0,366.0,510.3,344.1,499.4,,357.6,469.0,,,302.9,310.2,384.7,352.8,,-71.1,,-3.5,-58.0,5.0,149.3,-16.9,138.4,,-3.4,108.0,,,-58.1,-50.8,23.7,-8.2,,,True,True,True,False,True,False,,True,False,,,True,True,True,True,
Nevada,1069,879.6,,1015.4,1049.0,886.0,1076.3,771.9,695.8,,864.2,635.0,,,810.4,1201.2,933.3,957.2,1317.0,-189.4,,-53.6,-20.0,-183.0,7.3,-297.1,-373.2,,-204.8,-434.0,,,-258.6,132.2,-135.7,-111.8,248.0,,True,True,True,True,False,False,,False,False,,,False,True,True,True,False
New Hampshire,423,439.6,,439.8,433.0,423.0,459.0,447.7,668.7,,422.6,469.0,,,446.6,432.2,429.7,426.5,,16.6,,16.8,10.0,0.0,36.0,24.7,245.7,,-0.4,46.0,,,23.6,9.2,6.7,3.5,,,False,True,True,False,False,False,,True,False,,,False,True,True,True,
New Jersey,15910,17050.1,,15915.4,15927.0,17145.0,16282.6,16212.7,13598.8,,16302.9,18967.5,,,16403.9,15639.6,18150.5,15948.4,15344.0,1140.1,,5.4,17.0,1235.0,372.6,302.7,-2311.2,,392.9,3057.5,,,493.9,-270.4,2240.5,38.4,-566.0,,True,True,False,True,True,False,,True,False,,,True,True,False,True,True
New Mexico,711,700.4,,700.8,675.0,832.0,881.4,652.9,710.5,,619.4,720.0,,,697.0,741.9,830.7,694.0,,-10.6,,-10.2,-36.0,121.0,170.4,-58.1,-0.5,,-91.6,9.0,,,-14.0,30.9,119.7,-17.0,,,True,False,False,False,False,True,,False,True,,,False,False,False,False,
New York,32809,33049.4,,32502.3,32620.0,33820.0,33449.8,33027.4,27366.6,,32470.2,33168.0,,,32755.4,32434.3,33319.3,32833.2,33068.0,285.4,,-261.7,-144.0,1056.0,685.8,263.4,-5397.4,,-293.8,404.0,,,-8.6,-329.7,555.3,69.2,304.0,,True,True,False,False,True,False,,False,False,,,True,False,False,True,False
North Carolina,2343,2002.9,,2289.7,3155.0,2381.0,3079.9,1885.0,1700.2,,1915.1,2261.0,,,2091.0,2408.4,2263.3,2133.1,2042.0,-340.1,,-53.3,812.0,38.0,736.9,-458.0,-642.8,,-427.9,-82.0,,,-252.0,65.4,-79.7,-209.9,-301.0,,True,False,True,False,False,False,,False,True,,,True,True,True,True,True
North Dakota,121,121.0,,105.8,97.0,128.0,161.7,118.1,109.8,,113.9,87.0,,,102.1,112.6,191.9,119.0,,0.0,,-15.2,-24.0,7.0,40.7,-2.9,-11.2,,-7.1,-34.0,,,-18.9,-8.4,70.9,-2.0,,,False,False,False,False,False,False,,False,False,,,False,False,False,False,
Ohio,3824,3772.0,,3899.0,5119.0,3613.0,4333.1,3613.5,4428.7,4016.0,3374.0,3636.0,,,3795.0,4352.5,4604.0,3912.6,3743.0,-52.0,,75.0,1295.0,-211.0,509.1,-210.5,604.7,192.0,-450.0,-188.0,,,-29.0,528.5,780.0,88.6,-81.0,,False,False,False,False,False,False,False,False,False,,,True,False,False,False,False
Oklahoma,657,538.6,,708.9,673.0,835.0,960.6,502.1,621.2,,580.9,437.5,,,522.0,768.2,608.2,544.9,,-118.4,,51.9,16.0,178.0,303.6,-154.9,-35.8,,-76.1,-219.5,,,-135.0,111.2,-48.8,-112.1,,,True,True,False,False,False,True,,True,False,,,False,True,True,True,
Oregon,386,326.3,,360.6,363.0,371.0,637.5,307.4,293.1,,357.9,319.0,,,306.2,439.1,369.9,373.9,,-59.7,,-25.4,-23.0,-15.0,251.5,-78.6,-92.9,,-28.1,-67.0,,,-79.8,53.1,-16.1,-12.1,,,True,True,True,False,False,False,,True,False,,,False,True,True,True,
Pennsylvania,7451,7637.4,,7487.5,7565.0,7646.0,7880.2,7404.0,7185.2,,7323.6,7705.0,,,7626.9,7557.7,8323.1,7665.7,7650.0,186.4,,36.5,114.0,195.0,429.2,-47.0,-265.8,,-127.4,254.0,,,175.9,106.7,872.1,214.7,199.0,,True,True,False,False,True,False,,True,False,,,True,True,False,False,False
Rhode Island,1027,1053.7,,1052.4,1032.0,1151.0,963.8,1045.8,1015.3,,1035.1,1170.0,,,1045.5,1010.1,1073.4,1043.2,,37.7,,36.4,16.0,135.0,-52.2,29.8,-0.7,,19.1,154.0,,,29.5,-5.9,57.4,27.2,,,True,True,False,False,True,True,,True,False,,,True,True,False,True,
South Carolina,2260,1645.9,,1926.1,1756.0,1659.0,2047.6,1627.8,1022.1,,1876.5,1357.0,,,1577.7,1801.6,1843.2,1979.6,1874.0,-614.1,,-333.9,-504.0,-601.0,-212.4,-632.2,-1237.9,,-383.5,-903.0,,,-682.3,-458.4,-416.8,-280.4,-386.0,,True,True,True,True,False,False,,True,False,,,False,True,True,True,True
South Dakota,152,167.3,,123.7,132.0,136.0,190.2,137.1,236.2,,183.8,151.0,,,132.3,128.7,186.1,152.8,,15.3,,-28.3,-20.0,-16.0,38.2,-14.9,84.2,,31.8,-1.0,,,-19.7,-23.3,34.1,0.8,,,False,False,False,False,True,False,,False,True,,,False,False,False,True,
Tennessee,1345,1207.3,,1423.7,1420.0,1510.0,1714.2,979.1,1033.4,,1195.4,1234.0,,,1126.4,1298.8,1714.7,1475.2,1384.0,-137.7,,78.7,75.0,165.0,369.2,-365.9,-311.6,,-149.6,-111.0,,,-218.6,-46.2,369.7,130.2,39.0,,True,True,False,False,False,False,,False,True,,,False,True,False,True,True
Texas,10268,6008.9,,7668.3,6822.0,6846.0,7206.4,5402.7,3810.1,,6155.7,4126.5,,7319.0,5971.6,7390.9,8959.7,6710.8,6925.0,-3736.1,,-2076.7,-2923.0,-2899.0,-2538.6,-4342.3,-5934.9,,-3589.3,-5618.5,,-2426.0,-3773.4,-2354.1,-785.3,-3034.2,-2820.0,,True,True,True,True,False,False,,True,False,,True,False,True,True,True,True
Utah,363,365.6,,508.9,425.0,390.0,612.1,301.9,291.3,,402.4,306.0,,,358.4,378.4,366.2,416.3,,2.6,,145.9,62.0,27.0,249.1,-61.1,-71.7,,39.4,-57.0,,,-4.6,15.4,3.2,53.3,,,False,False,False,False,False,False,,False,False,,,False,False,False,False,
Vermont,58,56.0,,59.5,56.0,56.0,67.8,58.2,59.4,,56.9,57.0,,,56.3,56.0,57.9,59.2,,-2.0,,1.5,-2.0,-2.0,9.8,0.2,1.4,,-1.1,-1.0,,,-1.7,-2.0,-0.1,1.2,,,True,False,False,False,True,True,,True,True,,,True,True,True,True,
Virginia,2381,2514.9,,2159.9,2145.0,2397.0,2878.5,2511.9,2269.7,,2427.9,2268.0,,,2329.7,2307.8,2342.0,2416.7,2647.0,133.9,,-221.1,-236.0,16.0,497.5,130.9,-111.3,,46.9,-113.0,,,-51.3,-73.2,-39.0,35.7,266.0,,False,False,True,False,True,True,,True,True,,,True,True,True,True,False
Washington,1766,1821.7,,1712.6,1759.0,1842.0,2142.3,1751.6,1632.8,,1663.2,1602.0,,,1717.6,1950.0,1762.4,1720.7,1892.0,55.7,,-53.4,-7.0,76.0,376.3,-14.4,-133.2,,-102.8,-164.0,,,-48.4,184.0,-3.6,-45.3,126.0,,True,True,False,False,True,False,,False,False,,,True,False,True,True,False
West Virginia,160,105.7,,147.1,175.0,121.0,201.9,134.3,238.3,,115.6,114.0,,,109.6,193.5,176.7,112.5,,-54.3,,-12.9,15.0,-39.0,41.9,-25.7,78.3,,-44.4,-46.0,,,-50.4,33.5,16.7,-47.5,,,True,True,True,True,True,False,,True,True,,,True,True,True,True,
Wisconsin,1038,936.6,,1098.3,1005.0,990.0,1554.6,971.0,1155.8,1050.0,906.0,1119.0,,,954.0,1155.5,1200.7,1034.6,,-101.4,,60.3,-33.0,-48.0,516.6,-67.0,117.8,12.0,-132.0,81.0,,,-84.0,117.5,162.7,-3.4,,,True,True,True,False,True,False,True,False,True,,,True,False,False,True,
Wyoming,30,25.9,,41.1,31.0,28.0,74.8,26.2,34.8,,39.4,38.0,,,24.6,34.0,25.1,28.3,,-4.1,,11.1,1.0,-2.0,44.8,-3.8,4.8,,9.4,8.0,,,-5.4,4.0,-4.9,-1.7,,,False,True,True,False,True,False,,False,False,,,False,True,False,True,
US,169463,160680.7,177623.0,160276.1,167507.0,158406.0,174987.8,153264.1,148543.5,,153859.1,155729.0,181634.1,141732.0,157941.9,167825.9,193783.5,162819.7,156514.0,-8203.3,8739.0,-8607.9,-1377.0,-10478.0,6103.8,-15619.9,-20340.5,,-15024.9,-13155.0,12750.1,-27152.0,-10942.1,-1058.1,24899.5,-6064.3,-12370.0,False,False,True,False,True,False,False,,False,False,False,False,False,True,False,True,False
