,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,4669,4506.7,4637.0,4549.1,4550.0,4547.0,4537.0,4564.0,,4417.0,4591.1,4525.7,4395.0,4630.1,4468.4,4605.4,4380.3,4715.0,4495.1,4519.4,4454.1,,4163.6,4552.0,4394.0,,4569.2,4657.2,,4500.0,4538.2,,4473.0,4411.3,4577.6,4532.0,4501.7,4211.0,-162.3,-32.0,-119.9,-119.0,-122.0,-132.0,-105.0,,-252.0,-77.9,-143.3,-274.0,-38.9,-200.6,-63.6,-288.7,46.0,-173.9,-149.6,-214.9,,-505.4,-117.0,-275.0,,-99.8,-11.8,,-169.0,-130.8,,-196.0,-257.7,-91.4,-137.0,-167.3,-458.0,True,True,True,True,True,True,,False,True,True,False,True,False,True,False,True,False,True,False,,False,True,False,,True,True,,False,True,,False,False,True,True,False,False
Hawaii,40,35.3,38.0,36.7,36.0,36.0,37.0,45.0,,38.0,34.6,,,41.6,27.6,33.6,40.1,40.2,36.4,33.3,33.8,,31.3,37.6,30.0,,,37.6,,36.0,36.7,,38.0,,33.4,31.0,35.1,,-4.7,-2.0,-3.3,-4.0,-4.0,-3.0,5.0,,-2.0,-5.4,,,1.6,-12.4,-6.4,0.1,0.2,-3.6,-6.7,-6.2,,-8.7,-2.4,-10.0,,,-2.4,,-4.0,-3.3,,-2.0,,-6.6,-9.0,-4.9,,True,True,True,True,True,False,,True,False,,,True,False,False,True,True,True,False,False,,False,True,False,,,True,,True,True,,True,,False,False,False,
Idaho,269,271.3,292.0,276.3,276.0,273.0,275.0,270.0,,259.0,318.3,273.8,,280.5,282.1,283.1,309.3,294.6,267.1,272.2,283.3,,291.2,277.8,321.0,,,273.1,,271.0,264.8,,264.0,265.7,265.7,279.0,278.5,,2.3,23.0,7.3,7.0,4.0,6.0,1.0,,-10.0,49.3,4.8,,11.5,13.1,14.1,40.3,25.6,-1.9,3.2,14.3,,22.2,8.8,52.0,,,4.1,,2.0,-4.2,,-5.0,-3.3,-3.3,10.0,9.5,,False,False,False,False,False,True,,False,False,False,,False,False,False,False,False,True,False,False,,False,False,False,,,False,,True,False,,False,False,False,False,False,
Illinois,7937,7957.3,8225.0,7978.5,7978.0,7980.0,7970.0,8034.0,,7884.0,7952.3,,,8001.0,7752.0,7983.9,7787.3,7947.4,7943.8,7975.2,8120.2,8151.0,7808.1,7983.9,7903.0,,7947.1,8019.8,,8017.0,7992.4,,7961.0,7993.1,8172.0,7986.0,7969.6,7592.0,20.3,288.0,41.5,41.0,43.0,33.0,97.0,,-53.0,15.3,,,64.0,-185.0,46.9,-149.7,10.4,6.8,38.2,183.2,214.0,-128.9,46.9,-34.0,,10.1,82.8,,80.0,55.4,,24.0,56.1,235.0,49.0,32.6,-345.0,False,False,False,False,False,False,,False,True,,,False,False,False,False,True,True,False,False,False,False,False,False,,True,False,,False,False,,False,False,False,False,False,False
Indiana,3068,3097.6,3186.0,3100.3,3099.0,3101.0,3112.0,3119.0,,3134.0,3104.4,3116.8,,3107.3,3135.1,3144.7,2939.1,3149.7,3109.0,3106.8,3077.1,3124.0,3060.2,3102.9,3115.0,,3102.4,3170.4,,3101.0,3095.9,,3115.0,3113.4,3246.3,3107.0,3122.9,3063.0,-30.4,58.0,-27.7,-29.0,-27.0,-16.0,-9.0,,6.0,-23.6,-11.2,,-20.7,7.1,16.7,-188.9,21.7,-19.0,-21.2,-50.9,-4.0,-67.8,-25.1,-13.0,,-25.6,42.4,,-27.0,-32.1,,-13.0,-14.6,118.3,-21.0,-5.1,-65.0,False,True,True,True,True,True,,True,True,True,,True,True,True,False,True,True,True,False,True,False,True,True,,True,False,,True,False,,True,True,False,True,True,False
Iowa,975,976.4,1028.0,980.2,969.0,980.0,977.0,953.0,,951.0,983.6,974.1,,978.9,954.6,973.2,992.9,974.9,964.5,970.1,981.5,,968.7,978.2,983.0,,976.9,952.9,,1001.0,977.2,,968.0,966.3,987.3,983.0,975.3,930.0,1.4,53.0,5.2,-6.0,5.0,2.0,-22.0,,-24.0,8.6,-0.9,,3.9,-20.4,-1.8,17.9,-0.1,-10.5,-4.9,6.5,,-6.3,3.2,8.0,,1.9,-22.1,,26.0,2.2,,-7.0,-8.7,12.3,8.0,0.3,-45.0,False,False,False,False,False,False,,False,False,True,,False,False,False,False,True,False,False,False,,False,False,False,,False,False,,False,False,,False,False,False,False,True,False
Kansas,406,396.3,441.0,402.9,402.0,402.0,403.0,414.0,,403.0,406.8,411.2,,398.8,428.4,410.9,430.2,416.2,393.5,399.1,407.2,,410.2,396.6,404.0,,,405.5,,405.0,398.1,,395.0,389.4,412.4,400.0,401.7,,-9.7,35.0,-3.1,-4.0,-4.0,-3.0,8.0,,-3.0,0.8,5.2,,-7.2,22.4,4.9,24.2,10.2,-12.5,-6.9,1.2,,4.2,-9.4,-2.0,,,-0.5,,-1.0,-7.9,,-11.0,-16.6,6.4,-6.0,-4.3,,False,True,True,True,True,True,,True,True,True,,True,False,True,False,False,False,True,True,,True,True,True,,,True,,True,True,,False,False,True,True,True,
Kentucky,810,799.6,843.0,803.9,802.0,804.0,809.0,815.0,,819.0,819.3,815.6,,810.3,864.8,829.1,851.7,826.0,797.1,801.2,807.4,807.0,844.6,805.0,802.0,,813.0,816.9,,809.0,800.5,,805.0,798.0,853.2,808.0,808.9,,-10.4,33.0,-6.1,-8.0,-6.0,-1.0,5.0,,9.0,9.3,5.6,,0.3,54.8,19.1,41.7,16.0,-12.9,-8.8,-2.6,-3.0,34.6,-5.0,-8.0,,3.0,6.9,,-1.0,-9.5,,-5.0,-12.0,43.2,-2.0,-1.1,,False,True,True,True,True,True,,True,True,True,,True,False,False,False,False,False,True,True,True,False,True,True,,True,True,,True,True,,True,False,False,True,True,
Louisiana,4430,4482.4,4534.0,4458.4,4468.0,4465.0,4462.0,4406.0,,4400.0,4505.5,4451.4,,4445.5,4441.3,4505.4,4307.8,4591.0,4457.3,4457.5,4449.8,,4289.8,4471.0,4510.5,,4480.8,4647.5,,4476.0,4455.2,,4469.0,,4667.8,4406.0,4454.8,4299.0,52.4,104.0,28.4,38.0,35.0,32.0,-24.0,,-30.0,75.5,21.4,,15.5,11.3,75.4,-122.2,161.0,27.3,27.5,19.8,,-140.2,41.0,80.5,,50.8,217.5,,46.0,25.2,,39.0,,237.8,-24.0,24.8,-131.0,False,True,True,True,True,True,,True,False,True,,True,True,False,False,False,True,True,True,,False,True,False,,True,False,,True,True,,True,,False,True,True,False
Maine,127,126.7,132.0,126.8,126.0,127.0,127.0,125.0,,126.0,128.9,127.8,,130.5,125.9,127.3,129.6,128.1,126.5,125.1,126.7,,133.5,126.9,127.0,,,129.6,,129.0,126.6,,126.0,126.9,128.7,127.0,126.6,,-0.3,5.0,-0.2,-1.0,0.0,0.0,-2.0,,-1.0,1.9,0.8,,3.5,-1.1,0.3,2.6,1.1,-0.5,-1.9,-0.3,,6.5,-0.1,0.0,,,2.6,,2.0,-0.4,,-1.0,-0.1,1.7,0.0,-0.4,,False,True,False,True,True,False,,False,False,False,,False,False,True,False,False,False,False,True,,False,True,True,,,False,,False,False,,False,True,False,True,False,
Maryland,3636,3645.0,3771.0,3648.9,3652.0,3648.0,3650.0,3674.0,,3678.0,3645.9,3641.7,,3651.2,3654.7,3670.1,3643.1,3672.9,3629.0,3647.3,3620.3,,3611.8,3648.3,3623.0,,3665.2,3657.0,,3641.0,3644.8,,3650.0,3650.7,3776.9,3648.0,3659.6,3674.0,9.0,135.0,12.9,16.0,12.0,14.0,38.0,,42.0,9.9,5.7,,15.2,18.7,34.1,7.1,36.9,-7.0,11.3,-15.7,,-24.2,12.3,-13.0,,29.2,21.0,,5.0,8.8,,14.0,14.7,140.9,12.0,23.6,38.0,False,False,False,False,False,False,,False,False,True,,False,False,False,True,False,True,False,False,,False,False,False,,False,False,,True,True,,False,False,False,False,False,False
Massachusetts,8826,8818.1,8960.0,8818.4,8823.0,8816.0,8816.0,8837.0,,8742.0,8811.3,8832.0,,8818.7,8792.9,8838.1,8794.9,8791.2,8822.9,8810.6,8821.5,,8709.4,8824.3,8754.0,,8830.1,9045.5,,8857.0,8806.0,,8821.0,8814.3,8878.1,8835.0,8822.6,8684.0,-7.9,134.0,-7.6,-3.0,-10.0,-10.0,11.0,,-84.0,-14.7,6.0,,-7.3,-33.1,12.1,-31.1,-34.8,-3.1,-15.4,-4.5,,-116.6,-1.7,-72.0,,4.1,219.5,,31.0,-20.0,,-5.0,-11.7,52.1,9.0,-3.4,-142.0,False,True,True,False,False,False,,False,False,True,,True,False,False,False,False,True,False,True,,False,True,False,,True,False,,False,False,,True,False,False,False,True,False
Michigan,6586,6572.1,6701.0,6580.2,6595.0,6583.0,6575.0,6592.0,,6604.0,6564.7,6585.2,,6603.4,6557.6,6581.1,6546.4,6568.2,6557.8,6579.0,6538.4,6714.0,6527.2,6575.2,6539.0,,6492.0,6665.9,,6567.0,6582.7,,6571.0,6561.2,6806.3,6582.0,6572.9,6521.0,-13.9,115.0,-5.8,9.0,-3.0,-11.0,6.0,,18.0,-21.3,-0.8,,17.4,-28.4,-4.9,-39.6,-17.8,-28.2,-7.0,-47.6,128.0,-58.8,-10.8,-47.0,,-94.0,79.9,,-19.0,-3.3,,-15.0,-24.8,220.3,-4.0,-13.1,-65.0,False,True,True,True,True,True,,False,False,True,,False,False,True,False,False,False,True,False,False,False,True,False,,False,False,,False,True,,False,False,False,True,True,False
Minnesota,1705,1735.7,1818.0,1733.2,1733.0,1732.0,1733.0,1760.0,,1731.0,1732.4,1736.4,,1735.0,1711.9,1736.6,1725.3,1743.2,1732.2,1737.7,1749.9,1719.0,1684.8,1734.4,1698.0,,1732.1,1714.6,,1739.0,1733.9,,1738.0,1745.1,1812.4,1734.0,1743.0,,30.7,113.0,28.2,28.0,27.0,28.0,55.0,,26.0,27.4,31.4,,30.0,6.9,31.6,20.3,38.2,27.2,32.7,44.9,14.0,-20.2,29.4,-7.0,,27.1,9.6,,34.0,28.9,,33.0,40.1,107.4,29.0,38.0,,False,True,True,True,True,False,,True,True,False,,True,True,False,True,False,True,False,False,True,True,True,True,,True,True,,False,True,,False,False,False,True,False,
Mississippi,2080,2061.4,2144.0,2056.8,2060.0,2055.0,2045.0,2010.0,,2037.0,2125.9,2040.0,,2070.4,2067.4,2104.6,2037.0,2027.4,2017.3,2045.4,2023.8,,2018.2,2042.4,2094.0,,2102.7,2030.8,,2032.0,2033.4,,2050.0,2043.9,2113.3,2071.0,2064.7,1901.0,-18.6,64.0,-23.2,-20.0,-25.0,-35.0,-70.0,,-43.0,45.9,-40.0,,-9.6,-12.6,24.6,-43.0,-52.6,-62.7,-34.6,-56.2,,-61.8,-37.6,14.0,,22.7,-49.2,,-48.0,-46.6,,-30.0,-36.1,33.3,-9.0,-15.3,-179.0,False,False,False,False,False,False,,False,False,False,,True,True,False,False,False,False,False,False,,False,False,True,,False,False,,False,False,,False,False,False,True,True,False
Missouri,1398,1383.7,1454.0,1377.8,1392.0,1378.0,1393.0,1416.0,,1422.0,1405.2,1406.4,,1392.0,1494.2,1438.8,1403.3,1410.9,1371.6,1397.7,1383.5,,1402.8,1393.2,1379.0,,1322.1,1387.1,,1354.0,1378.5,,1385.0,1381.5,1489.4,1396.0,1394.4,1338.0,5.7,76.0,-0.2,14.0,0.0,15.0,38.0,,44.0,27.2,28.4,,14.0,116.2,60.8,25.3,32.9,-6.4,19.7,5.5,,24.8,15.2,1.0,,-55.9,9.1,,-24.0,0.5,,7.0,3.5,111.4,18.0,16.4,-40.0,False,True,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,True,,False,False,True,,False,False,,False,True,,False,True,False,False,False,False
Montana,82,87.0,95.0,88.8,85.0,89.0,88.0,77.0,,83.0,96.9,88.4,,94.3,86.0,91.5,96.3,94.7,84.9,83.1,95.3,,94.9,88.1,90.0,,,86.8,,87.0,87.0,,86.0,90.2,85.4,90.0,87.0,,5.0,13.0,6.8,3.0,7.0,6.0,-5.0,,1.0,14.9,6.4,,12.3,4.0,9.5,14.3,12.7,2.9,1.1,13.3,,12.9,6.1,8.0,,,4.8,,5.0,5.0,,4.0,8.2,3.4,8.0,5.0,,False,False,True,False,False,False,,True,False,False,,False,True,False,False,False,True,True,False,,False,False,False,,,True,,False,False,,True,False,True,False,False,
Nebraska,361,356.1,402.0,357.2,359.0,358.0,358.0,364.0,,356.0,364.9,,,362.5,361.8,362.6,372.6,360.2,353.0,357.1,358.0,,370.5,358.4,351.0,,,363.4,,357.0,356.4,,357.0,360.1,364.8,360.0,359.5,,-4.9,41.0,-3.8,-2.0,-3.0,-3.0,3.0,,-5.0,3.9,,,1.5,0.8,1.6,11.6,-0.8,-8.0,-3.9,-3.0,,9.5,-2.6,-10.0,,,2.4,,-4.0,-4.6,,-4.0,-0.9,3.8,-1.0,-1.5,,False,True,True,True,True,True,,False,True,,,True,True,True,False,True,False,True,True,,False,True,False,,,True,,True,True,,True,True,True,True,True,
Nevada,1069,1064.1,1083.0,1067.9,1037.0,1066.0,1056.0,1033.0,,1012.0,1101.5,1050.4,,1102.8,1023.8,1066.8,1057.8,1082.5,1031.3,1052.6,1063.7,,1034.5,1084.6,1091.0,,1081.4,1063.8,,1046.0,1062.0,,1041.0,1030.9,1061.4,1059.0,1056.3,973.0,-4.9,14.0,-1.1,-32.0,-3.0,-13.0,-36.0,,-57.0,32.5,-18.6,,33.8,-45.2,-2.2,-11.2,13.5,-37.7,-16.4,-5.3,,-34.5,15.6,22.0,,12.4,-5.2,,-23.0,-7.0,,-28.0,-38.1,-7.6,-10.0,-12.7,-96.0,False,True,False,True,False,False,,False,False,False,,False,False,True,False,False,False,False,False,,False,False,False,,False,False,,False,False,,False,False,False,False,False,False
New Hampshire,423,420.7,431.0,423.2,423.0,422.0,423.0,421.0,,423.0,426.5,431.3,,422.8,430.2,427.5,425.7,423.5,426.7,419.5,434.4,,425.3,421.7,420.0,,,422.2,,422.0,422.5,,423.0,430.5,428.8,422.0,427.7,,-2.3,8.0,0.2,0.0,-1.0,0.0,-2.0,,0.0,3.5,8.3,,-0.2,7.2,4.5,2.7,0.5,3.7,-3.5,11.4,,2.3,-1.3,-3.0,,,-0.8,,-1.0,-0.5,,0.0,7.5,5.8,-1.0,4.7,,False,True,True,True,True,True,,True,False,False,,True,False,False,False,True,False,False,False,,False,True,False,,,True,,True,True,,True,False,False,True,False,
