,2020-07-06_2020-07-18,2020-07-13_2020-07-25,2020-07-20_2020-08-01,2020-07-27_2020-08-08,2020-08-03_2020-08-15,2020-08-10_2020-08-22,2020-08-17_2020-08-29,2020-08-24_2020-09-05,2020-08-31_2020-09-12,2020-09-07_2020-09-19,2020-09-14_2020-09-26,2020-09-21_2020-10-03,2020-09-28_2020-10-10,2020-10-05_2020-10-17,2020-10-12_2020-10-24,2020-10-19_2020-10-31,2020-10-26_2020-11-07,2020-11-02_2020-11-14,2020-11-09_2020-11-21,2020-11-16_2020-11-28,2020-11-23_2020-12-05,2020-11-30_2020-12-12,2020-12-07_2020-12-19,2020-12-14_2020-12-26,2020-12-21_2021-01-02,2020-12-28_2021-01-09,2021-01-04_2021-01-16,2021-01-11_2021-01-23,2021-01-18_2021-01-30,2021-01-25_2021-02-06,2021-02-01_2021-02-13,2021-02-08_2021-02-20,2021-02-15_2021-02-27,2021-02-22_2021-03-06
num_states_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,34,29,26,18,25
num_states_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,32,,46,44,21,17,33,33,,,,,,,,,,,
num_states_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,35,16,18,31,22,24,22,10,45,47,42,23
num_states_beat_baseline-OliverWyman-Navigator,31,23,18,13,9,24,28,25,22,,24,27,27,31,35,41,42,43,46,26,20,39,35,22,7,39,20,20,2,7,30,30,36,14
num_states_beat_baseline-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,18,32,32,35,26,28,17,32,45,28,34,34,27,15
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-RobertWalraven-ESG,1,11,13,18,25,17,22,9,10,11,9,8,1,8,12,39,15,24,44,20,21,20,23,22,29,6,13,21,36,36,44,43,40,18
num_states_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,32,17
num_states_beat_baseline-TTU-squider,,,,,,,17,7,,,12,,8,12,7,2,6,12,11,5,11,12,14,13,12,16,10,24,24,19,23,16,18,12
num_states_beat_baseline-UCF-AEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UCLA-SuEIR,27,31,22,11,21,25,24,21,22,23,9,9,14,4,4,0,4,3,7,6,26,27,25,26,22,14,17,27,45,40,32,31,,17
num_states_beat_baseline-UCSB-ACTS,,,,,,,,,,,,,,,,,25,30,24,14,15,16,13,5,5,16,22,24,4,2,,,,
