,2020-07-06_2020-07-11,2020-07-13_2020-07-18,2020-07-20_2020-07-25,2020-07-27_2020-08-01,2020-08-03_2020-08-08,2020-08-10_2020-08-15,2020-08-17_2020-08-22,2020-08-24_2020-08-29,2020-08-31_2020-09-05,2020-09-07_2020-09-12,2020-09-14_2020-09-19,2020-09-21_2020-09-26,2020-09-28_2020-10-03,2020-10-05_2020-10-10,2020-10-12_2020-10-17,2020-10-19_2020-10-24,2020-10-26_2020-10-31,2020-11-02_2020-11-07,2020-11-09_2020-11-14,2020-11-16_2020-11-21,2020-11-23_2020-11-28
perc_beat_baseline-USC-SI_kJalpha,0.4008067473,0.3919066715,0.3138818412,0.4810400867,0.3856421356,0.4196106705,0.4303706369,0.3843941028,0.4069683908,0.3904625314,0.3827956989,0.4435686134,0.3596993558,0.4065014483,0.3560630428,0.3724293059,0.3457583548,0.411311054,0.3730719794,,
perc_beat_baseline-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UVA-Ensemble,,,0.3007518797,0.4586466165,0.5789473684,0.3984962406,0.3308270677,0.4282632147,0.3466379,0.2950701691,0.3033261027,0.4014388489,0.4626758024,0.2943770673,0.2660187185,0.2506310855,0.3515064562,0.6186521878,0.4791937581,0.4251038007,0.3982753114
perc_beat_baseline-Yu_Group-CLEP,,,,,,0.3243071042,0.3303599873,,0.343102899,0.3187340153,0.3762755102,0.3370571337,0.2836700337,,0.3341346154,,,,,,0.321416858
mean_abs_error-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-CDDEP-SEIR_MCMC,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-CEID-Walk,,,,,,38.11547278,39.45116205,31.54794651,31.36969118,29.90499841,27.63346068,34.31588666,32.69751671,30.59764406,32.02527857,40.70888252,47.65023878,80.64603629,97.34065584,86.02212671,82.15994906
mean_abs_error-CMU-TimeSeries,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-COVIDhub-baseline,36.18051576,37.07545368,37.01782872,35.68767908,41.21107927,37.94746896,38.36708055,31.22795288,30.46322827,29.29067176,27.42852595,33.72906718,31.76408787,30.13753582,31.73957338,39.9904489,47.44794651,80.42534225,97.48901624,85.62113976,81.56001273
mean_abs_error-COVIDhub-ensemble,,,35.57083731,30.18401783,35.21330786,35.57784145,27.86819484,27.46354664,27.49124483,21.84208851,28.76249602,31.91435848,26.37981535,30.40114613,33.55778415,43.39573384,47.65743394,76.17191977,94.78892073,82.54600446,73.96466094
mean_abs_error-CU-select,,48.99617956,52.99108564,,,,,,,,,,,,,,,,,,
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-Covid19Sim-Simulator,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-DDS-NBDS,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-FAIR-NRAR,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-IHME-CurveFit,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-JCB-PRM,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-JHUAPL-Bucky,,,,,,,,,33.81610952,41.50983763,,38.44660936,37.03600764,32.30483922,36.28701051,55.8228908,66.54342566,99.58529131,116.9384273,145.9496339,169.2354027
mean_abs_error-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-Karlen-pypm,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-LANL-GrowthRate,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-LNQ-ens1,,,35.42219039,28.08943012,33.01779688,32.22053486,23.37201528,25.91518625,26.18866603,19.59083095,27.23107291,28.53581662,23.95708373,28.73164597,26.78774276,39.11957975,,,,,
mean_abs_error-MITCovAlliance-SIR,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-OliverWyman-Navigator,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-PandemicCentral-USCounty,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,55.27628144,35.90483922,36.71136581,47.76504298,35.77035976,45.31416746,51.7440624,44.3162687,47.30690863,,,,,,,
mean_abs_error-TTU-squider,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UCF-AEM,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UCLA-SuEIR,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UMass-MechBayes,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-USACE-ERDC_SEIR,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-USC-SI_kJalpha,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UVA-Ensemble,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-Yu_Group-CLEP,,,,,,,,,,,,,,,,,,,,,
